 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91
1,27937,27937,41395,41395,9935,9935,25787,25787,12724,12724,49216,49216,53455,53455,19312,19312,17223,17223,62587,62587,13001,13001,24785,24785,19307,19307,66896,66896,38090,38090,29611,29611,12347,12347,12009,12009,29767,29767,56161,56161,10442,10442,21880,21880,21170,21170,38588,38588,16050,16050,24276,24276,67962,67962,22204,22204,41477,41477,15110,15110,28819,28819,38431,38431,21749,21749,29425,29425,41377,41377,42552,42552,27888,27888,9965,9965,21800,21800,122156,122156,46498,46498,31361,31361,5859,5859,5520,5520,39436,39436,40800,40800,33520,33520,23079,23079,90694,90694,99117,99117,28459,28459,33820,33820,110395,110395,37005,37005,41842,41842,52019,52019,50474,50474,35689,35689,44611,44611,71970,71970,26350,26350,18872,18872,53197,53197,18686,18686,15030,15030,78565,78565,62555,62555,8934,8934,8715,8715,39217,39217,14033,14033,56380,56380,3706,3706,25634,25634,38776,38776,7798,7798,40890,40890,26306,26306,15823,15823,6369,6369,16815,16815,13888,13888,30516,30516,27399,27399,29698,29698,31490,31490,21122,21122,22630,22630,39390,39390,50615,50615,30044,30044
2,28628,28628,41322,41322,9831,9831,25362,25362,13346,13346,48498,48498,52332,52332,18296,18296,35778,35778,55064,55064,13267,13267,23979,23979,18016,18016,55299,55299,36964,36964,29363,29363,12421,12421,11946,11946,29033,29033,48156,48156,9987,9987,22264,22264,21326,21326,39226,39226,15690,15690,24454,24454,72339,72339,21698,21698,40403,40403,15662,15662,29091,29091,37131,37131,22462,22462,29380,29380,40763,40763,41448,41448,27053,27053,9916,9916,21017,21017,120294,120294,46161,46161,31613,31613,5741,5741,5715,5715,38404,38404,40163,40163,35691,35691,23618,23618,98699,98699,96903,96903,27473,27473,34770,34770,110031,110031,36032,36032,40612,40612,50920,50920,53492,53492,34765,34765,46976,46976,70554,70554,26432,26432,18946,18946,55545,55545,17553,17553,14465,14465,74870,74870,62625,62625,8584,8584,8600,8600,37665,37665,13695,13695,56322,56322,3687,3687,25280,25280,38955,38955,7970,7970,41508,41508,27813,27813,15672,15672,6411,6411,15570,15570,14300,14300,31620,31620,26890,26890,29343,29343,30427,30427,21194,21194,22742,22742,39842,39842,51283,51283,29665,29665
3,28787,28787,40937,40937,9254,9254,24724,24724,13851,13851,46589,46589,53600,53600,17960,17960,43477,43477,49582,49582,12796,12796,23817,23817,16703,16703,48976,48976,36416,36416,29056,29056,12679,12679,11965,11965,29003,29003,43555,43555,10187,10187,22748,22748,21173,21173,39471,39471,15249,15249,24611,24611,74341,74341,23848,23848,40755,40755,15438,15438,30667,30667,36944,36944,21520,21520,28568,28568,40731,40731,41169,41169,26863,26863,9782,9782,19975,19975,120571,120571,46466,46466,32743,32743,5671,5671,5842,5842,37994,37994,39630,39630,38437,38437,23061,23061,113950,113950,96579,96579,28702,28702,36101,36101,116129,116129,35992,35992,40223,40223,51365,51365,52434,52434,34465,34465,47548,47548,70179,70179,26885,26885,18532,18532,41429,41429,17583,17583,14790,14790,70682,70682,63493,63493,8481,8481,8775,8775,35966,35966,13788,13788,54392,54392,3727,3727,25274,25274,36188,36188,7705,7705,42507,42507,29530,29530,16529,16529,6436,6436,15502,15502,15109,15109,30851,30851,26493,26493,27965,27965,30136,30136,20854,20854,22619,22619,41107,41107,50671,50671,29506,29506
4,28407,28407,40271,40271,9863,9863,24929,24929,14105,14105,46891,46891,51925,51925,17726,17726,40362,40362,45644,45644,13198,13198,23684,23684,16386,16386,46567,46567,36247,36247,28734,28734,13078,13078,11969,11969,28989,28989,44245,44245,9856,9856,23035,23035,20989,20989,38655,38655,14768,14768,24522,24522,76656,76656,24011,24011,41788,41788,15003,15003,33313,33313,37793,37793,21892,21892,28628,28628,39990,39990,41849,41849,26401,26401,9700,9700,19946,19946,118990,118990,46452,46452,34741,34741,5704,5704,5694,5694,37215,37215,38874,38874,40426,40426,22267,22267,123522,123522,95989,95989,29390,29390,38050,38050,120594,120594,35767,35767,41195,41195,50978,50978,53536,53536,34261,34261,48479,48479,69073,69073,26754,26754,17917,17917,34130,34130,17688,17688,13963,13963,67215,67215,64653,64653,8433,8433,8352,8352,35995,35995,13937,13937,53313,53313,3793,3793,24970,24970,35702,35702,7708,7708,42725,42725,31436,31436,15982,15982,6653,6653,15442,15442,15865,15865,30541,30541,26528,26528,27137,27137,30021,30021,20711,20711,23302,23302,44446,44446,52743,52743,29812,29812
5,28632,28632,40735,40735,8966,8966,25526,25526,14477,14477,47682,47682,52803,52803,17326,17326,36176,36176,43873,43873,13285,13285,24235,24235,16706,16706,48518,48518,36091,36091,28231,28231,13760,13760,11750,11750,29593,29593,45564,45564,9961,9961,22946,22946,20444,20444,38336,38336,15278,15278,24689,24689,78512,78512,24223,24223,41994,41994,15613,15613,37194,37194,37072,37072,21955,21955,28664,28664,39765,39765,40339,40339,25576,25576,9681,9681,19955,19955,118278,118278,47445,47445,35340,35340,5735,5735,5805,5805,35622,35622,38401,38401,44103,44103,22211,22211,129786,129786,97698,97698,29287,29287,38467,38467,122403,122403,34646,34646,41310,41310,50869,50869,54075,54075,33616,33616,48784,48784,68277,68277,26583,26583,17316,17316,31435,31435,17118,17118,14469,14469,63231,63231,66158,66158,8413,8413,8426,8426,34957,34957,14108,14108,51232,51232,3836,3836,24591,24591,34200,34200,7916,7916,44063,44063,33495,33495,16050,16050,6512,6512,14920,14920,16251,16251,30831,30831,26691,26691,27488,27488,29645,29645,21218,21218,23692,23692,47423,47423,54794,54794,30234,30234
6,28932,28932,40817,40817,8608,8608,24985,24985,14987,14987,48098,48098,53261,53261,17952,17952,34874,34874,42945,42945,13664,13664,24059,24059,17284,17284,49877,49877,36751,36751,27896,27896,14339,14339,11593,11593,29327,29327,47670,47670,9842,9842,23863,23863,21481,21481,39463,39463,15274,15274,25212,25212,78416,78416,23520,23520,42067,42067,15566,15566,39635,39635,37418,37418,22001,22001,28388,28388,39789,39789,40622,40622,26429,26429,9674,9674,20252,20252,119006,119006,47583,47583,33737,33737,5905,5905,5746,5746,35967,35967,38643,38643,47107,47107,22826,22826,134587,134587,96707,96707,30000,30000,38503,38503,125122,125122,35476,35476,41960,41960,51048,51048,53514,53514,33733,33733,49869,49869,68743,68743,26637,26637,16913,16913,30554,30554,17419,17419,13845,13845,60294,60294,66710,66710,8053,8053,8612,8612,35137,35137,14478,14478,52188,52188,3665,3665,25212,25212,34920,34920,7815,7815,45213,45213,34536,34536,16910,16910,6884,6884,14780,14780,16726,16726,31379,31379,26549,26549,28908,28908,30160,30160,22011,22011,25348,25348,47624,47624,58003,58003,31261,31261
7,29835,29835,40460,40460,8348,8348,25271,25271,14910,14910,48632,48632,53384,53384,17562,17562,35152,35152,41142,41142,13285,13285,24297,24297,17809,17809,51117,51117,35747,35747,27828,27828,14026,14026,11573,11573,28817,28817,48246,48246,10138,10138,22556,22556,21654,21654,39697,39697,15311,15311,25730,25730,75613,75613,22554,22554,40964,40964,15240,15240,39983,39983,38029,38029,21338,21338,28612,28612,40375,40375,41044,41044,25170,25170,9186,9186,20174,20174,119232,119232,48171,48171,32657,32657,5774,5774,5709,5709,35469,35469,38209,38209,47719,47719,22563,22563,136767,136767,97684,97684,29567,29567,38838,38838,127231,127231,35315,35315,43215,43215,51143,51143,53064,53064,33623,33623,49273,49273,68731,68731,27511,27511,16762,16762,29935,29935,17049,17049,14416,14416,55955,55955,66823,66823,8453,8453,8632,8632,34600,34600,15144,15144,51590,51590,3636,3636,25256,25256,33871,33871,7613,7613,45684,45684,35756,35756,17791,17791,6955,6955,14836,14836,16394,16394,31174,31174,27380,27380,30136,30136,30777,30777,21795,21795,25470,25470,46546,46546,58725,58725,31473,31473
8,29450,29450,40529,40529,8353,8353,25063,25063,15055,15055,49035,49035,53648,53648,17883,17883,38060,38060,39996,39996,13855,13855,24315,24315,18035,18035,51561,51561,36789,36789,27847,27847,15558,15558,11868,11868,28334,28334,49406,49406,10305,10305,22191,22191,22904,22904,39136,39136,15310,15310,25711,25711,74250,74250,21568,21568,40843,40843,15124,15124,40759,40759,37447,37447,21453,21453,28363,28363,39400,39400,40521,40521,25662,25662,9500,9500,20366,20366,118162,118162,48235,48235,31233,31233,5921,5921,5975,5975,36063,36063,38311,38311,47940,47940,21953,21953,138664,138664,98758,98758,30738,30738,40780,40780,128577,128577,34692,34692,44363,44363,49441,49441,51909,51909,32931,32931,48545,48545,67547,67547,27899,27899,16175,16175,30935,30935,17125,17125,13678,13678,52074,52074,69580,69580,8313,8313,8583,8583,33567,33567,15857,15857,52275,52275,3625,3625,24741,24741,32868,32868,7851,7851,45872,45872,36058,36058,19395,19395,6884,6884,14626,14626,16450,16450,30574,30574,26879,26879,29301,29301,30661,30661,21728,21728,25549,25549,43490,43490,57117,57117,31607,31607
9,30248,30248,40581,40581,8314,8314,25382,25382,14906,14906,48012,48012,53406,53406,17181,17181,44192,44192,39322,39322,13430,13430,24798,24798,18540,18540,54358,54358,37069,37069,27673,27673,16347,16347,11727,11727,28736,28736,51019,51019,10259,10259,22635,22635,26498,26498,38811,38811,15020,15020,25708,25708,74571,74571,20831,20831,40926,40926,15469,15469,41560,41560,37690,37690,21138,21138,28752,28752,39250,39250,40536,40536,25063,25063,9276,9276,20567,20567,118069,118069,48684,48684,31452,31452,5958,5958,5768,5768,36453,36453,37415,37415,47212,47212,22553,22553,139763,139763,98790,98790,30124,30124,40004,40004,129588,129588,35031,35031,44103,44103,49399,49399,51596,51596,33504,33504,48983,48983,66885,66885,28009,28009,15672,15672,30819,30819,17173,17173,13804,13804,49711,49711,71407,71407,7956,7956,8854,8854,34359,34359,16934,16934,53568,53568,3708,3708,24355,24355,33456,33456,7661,7661,45972,45972,37587,37587,21758,21758,7067,7067,15031,15031,15815,15815,31281,31281,27073,27073,30003,30003,30955,30955,21195,21195,26552,26552,39987,39987,55546,55546,32488,32488
10,29768,29768,39906,39906,8322,8322,24702,24702,15490,15490,48369,48369,53823,53823,16941,16941,47857,47857,40329,40329,14057,14057,24473,24473,18828,18828,56232,56232,36638,36638,27779,27779,17146,17146,11649,11649,28429,28429,53672,53672,10694,10694,22666,22666,36174,36174,39552,39552,15165,15165,25779,25779,75898,75898,20530,20530,40126,40126,15470,15470,42490,42490,37161,37161,21686,21686,28793,28793,39451,39451,40989,40989,25324,25324,9510,9510,20637,20637,118502,118502,46046,46046,30409,30409,5699,5699,6126,6126,36092,36092,37904,37904,48826,48826,22484,22484,141584,141584,100445,100445,30279,30279,39572,39572,129617,129617,35912,35912,45466,45466,48985,48985,50034,50034,33360,33360,48698,48698,68543,68543,28562,28562,16336,16336,30821,30821,17180,17180,13831,13831,47197,47197,72535,72535,8220,8220,8552,8552,34304,34304,17103,17103,52983,52983,3649,3649,24291,24291,33052,33052,7885,7885,46987,46987,37578,37578,21103,21103,7076,7076,14163,14163,14941,14941,30153,30153,27203,27203,24913,24913,30684,30684,19904,19904,26711,26711,38237,38237,47814,47814,31617,31617
