 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23
1,8713,8713,23006,23006,13265,13265,33689,33689,40381,40381,14834,14834,8431,8431,16511,16511,26634,26634,18244,18244,6438,6438,16358,16358,4918,4918,10585,10585,14387,14387,23493,23493,43540,43540,93709,93709,125380,125380,16614,16614,15296,15296,7156,7156,19694,19694
2,8928,8928,22961,22961,13633,13633,34354,34354,39900,39900,14726,14726,8636,8636,16156,16156,26812,26812,18833,18833,9008,9008,16235,16235,5146,5146,10438,10438,15037,15037,24001,24001,43898,43898,104593,104593,128363,128363,18140,18140,16190,16190,7065,7065,20380,20380
3,8548,8548,22588,22588,14615,14615,35825,35825,39180,39180,14998,14998,8670,8670,16963,16963,27099,27099,19474,19474,11747,11747,16193,16193,5019,5019,11537,11537,16446,16446,24198,24198,44280,44280,106781,106781,133898,133898,19107,19107,19978,19978,7315,7315,21905,21905
4,8954,8954,22395,22395,19936,19936,37745,37745,38703,38703,15272,15272,9709,9709,16444,16444,26947,26947,19728,19728,11496,11496,16008,16008,5130,5130,13933,13933,18842,18842,23866,23866,44152,44152,108865,108865,137032,137032,19848,19848,39229,39229,7132,7132,23834,23834
5,9512,9512,22702,22702,28327,28327,38390,38390,38751,38751,15445,15445,11773,11773,16582,16582,27463,27463,23774,23774,11241,11241,16037,16037,5223,5223,27610,27610,21679,21679,23027,23027,45517,45517,110693,110693,141121,141121,20375,20375,62791,62791,7170,7170,24957,24957
6,9310,9310,23415,23415,34750,34750,40577,40577,39903,39903,16043,16043,12831,12831,16494,16494,27228,27228,30236,30236,11304,11304,15932,15932,5144,5144,40510,40510,23368,23368,22566,22566,46820,46820,112878,112878,142400,142400,21447,21447,66264,66264,7264,7264,27358,27358
7,9614,9614,24056,24056,37148,37148,43452,43452,38644,38644,16296,16296,12398,12398,16717,16717,27594,27594,30897,30897,11419,11419,15860,15860,5286,5286,41088,41088,21807,21807,23985,23985,46517,46517,112844,112844,143867,143867,22264,22264,67703,67703,7343,7343,28706,28706
8,9681,9681,24633,24633,39426,39426,50438,50438,39947,39947,19994,19994,12643,12643,16580,16580,28691,28691,30778,30778,11129,11129,16352,16352,5275,5275,41054,41054,20520,20520,23079,23079,45888,45888,113337,113337,145439,145439,23034,23034,69316,69316,7035,7035,30014,30014
9,10394,10394,24416,24416,41442,41442,70703,70703,40598,40598,21667,21667,12901,12901,17575,17575,28951,28951,31018,31018,10658,10658,15972,15972,5523,5523,41803,41803,20263,20263,23761,23761,47404,47404,115354,115354,146011,146011,24308,24308,69089,69089,7279,7279,31138,31138
10,10408,10408,25395,25395,41319,41319,104820,104820,40043,40043,21267,21267,12794,12794,17147,17147,29056,29056,30468,30468,10388,10388,15983,15983,5512,5512,42264,42264,19008,19008,24040,24040,47027,47027,115785,115785,148404,148404,26025,26025,70007,70007,7550,7550,31237,31237
