 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25
1,27706,27706,10316,10316,26188,26188,24694,24694,14482,14482,17742,17742,30516,30516,7125,7125,22285,22285,16624,16624,6909,6909,11799,11799,35560,35560,23164,23164,18160,18160,10517,10517,27005,27005,33448,33448,34604,34604,21760,21760,22354,22354,47641,47641,7735,7735,69202,69202,33661,33661
2,27135,27135,10086,10086,25889,25889,25547,25547,14333,14333,17228,17228,30513,30513,6511,6511,20803,20803,16622,16622,6936,6936,11376,11376,36223,36223,22910,22910,17998,17998,10393,10393,28065,28065,31183,31183,34569,34569,21246,21246,21399,21399,45853,45853,7739,7739,61583,61583,33141,33141
3,27197,27197,9934,9934,25613,25613,24707,24707,14982,14982,16872,16872,30195,30195,6064,6064,25847,25847,16407,16407,6707,6707,11780,11780,36676,36676,23619,23619,17420,17420,10509,10509,29455,29455,30936,30936,35604,35604,21441,21441,21273,21273,44400,44400,8274,8274,52117,52117,33170,33170
4,26130,26130,9603,9603,25128,25128,25555,25555,14999,14999,16544,16544,30202,30202,6054,6054,32723,32723,16164,16164,6897,6897,11658,11658,36500,36500,23608,23608,17299,17299,10489,10489,29765,29765,30273,30273,34193,34193,20090,20090,21225,21225,45970,45970,8219,8219,50445,50445,32852,32852
5,26588,26588,9516,9516,25291,25291,25691,25691,14762,14762,16568,16568,29884,29884,6307,6307,36521,36521,16497,16497,6901,6901,11889,11889,36965,36965,23135,23135,17560,17560,10357,10357,29521,29521,29227,29227,34579,34579,20544,20544,21485,21485,46254,46254,8170,8170,48729,48729,32372,32372
6,25761,25761,9567,9567,25054,25054,25623,25623,15469,15469,16950,16950,29863,29863,6148,6148,37110,37110,16182,16182,6698,6698,12348,12348,37235,37235,23035,23035,17623,17623,10189,10189,29377,29377,30092,30092,35053,35053,20239,20239,21325,21325,47489,47489,8592,8592,47685,47685,33298,33298
7,25832,25832,9709,9709,24652,24652,25411,25411,15519,15519,16924,16924,29794,29794,5957,5957,37909,37909,16824,16824,6613,6613,12407,12407,37092,37092,23058,23058,17373,17373,10361,10361,29274,29274,30028,30028,33932,33932,20276,20276,21816,21816,50302,50302,8604,8604,48701,48701,33754,33754
8,25087,25087,9481,9481,24480,24480,25041,25041,15695,15695,16992,16992,30674,30674,5681,5681,35881,35881,16951,16951,6326,6326,12850,12850,37110,37110,23158,23158,17398,17398,10535,10535,28589,28589,30550,30550,34538,34538,20357,20357,21600,21600,52196,52196,8458,8458,50185,50185,34504,34504
9,25798,25798,9228,9228,24524,24524,25295,25295,15304,15304,17581,17581,30512,30512,5759,5759,36780,36780,17015,17015,6877,6877,12788,12788,37476,37476,23298,23298,16990,16990,10363,10363,28351,28351,30387,30387,34548,34548,19803,19803,21887,21887,53421,53421,8682,8682,50430,50430,33956,33956
10,25787,25787,9135,9135,24528,24528,25178,25178,15646,15646,17545,17545,33625,33625,6100,6100,38260,38260,17564,17564,6173,6173,13181,13181,37852,37852,23257,23257,16854,16854,10672,10672,27974,27974,30600,30600,35487,35487,19321,19321,21951,21951,55269,55269,8585,8585,51725,51725,34534,34534
11,24906,24906,9176,9176,24379,24379,25313,25313,14983,14983,17616,17616,34369,34369,6260,6260,38899,38899,16285,16285,6317,6317,13741,13741,38779,38779,23089,23089,16633,16633,10433,10433,27306,27306,31576,31576,36455,36455,19832,19832,22251,22251,60352,60352,8646,8646,54238,54238,38334,38334
12,25318,25318,9073,9073,23146,23146,24706,24706,14626,14626,17176,17176,42160,42160,5623,5623,38884,38884,16107,16107,5865,5865,13643,13643,37740,37740,22641,22641,16351,16351,9222,9222,26642,26642,32391,32391,36359,36359,18960,18960,22295,22295,64563,64563,8832,8832,55069,55069,38744,38744
13,24594,24594,8672,8672,22922,22922,24803,24803,14607,14607,16699,16699,69470,69470,5346,5346,37129,37129,16093,16093,5868,5868,13968,13968,37488,37488,22585,22585,15740,15740,9517,9517,27354,27354,31147,31147,36376,36376,19380,19380,21856,21856,63612,63612,8806,8806,55435,55435,37096,37096
14,26038,26038,8977,8977,23347,23347,25455,25455,14681,14681,16933,16933,81723,81723,5927,5927,39214,39214,16395,16395,6148,6148,13628,13628,39033,39033,22696,22696,15870,15870,9784,9784,28534,28534,30517,30517,37018,37018,19763,19763,21772,21772,62547,62547,8566,8566,55324,55324,36430,36430
15,27836,27836,8843,8843,23169,23169,25229,25229,14648,14648,16723,16723,79959,79959,5663,5663,37040,37040,16090,16090,6025,6025,14027,14027,38971,38971,23363,23363,15849,15849,9665,9665,29137,29137,31842,31842,37078,37078,19612,19612,21430,21430,58836,58836,8544,8544,55131,55131,36280,36280
16,29409,29409,8582,8582,23064,23064,25002,25002,14753,14753,16660,16660,80974,80974,5628,5628,37223,37223,16368,16368,5718,5718,14878,14878,38836,38836,22984,22984,15880,15880,9864,9864,29844,29844,31054,31054,37234,37234,19998,19998,21822,21822,57681,57681,9127,9127,54172,54172,37124,37124
17,28805,28805,8881,8881,23434,23434,25321,25321,14878,14878,17041,17041,78271,78271,5590,5590,32802,32802,15583,15583,5810,5810,14558,14558,38767,38767,23131,23131,15595,15595,9847,9847,29964,29964,30210,30210,37110,37110,19485,19485,22031,22031,57502,57502,9089,9089,54840,54840,37082,37082
18,29229,29229,8983,8983,23171,23171,25606,25606,14978,14978,16768,16768,75672,75672,5682,5682,32368,32368,16138,16138,5765,5765,14495,14495,39816,39816,23142,23142,15293,15293,9822,9822,29763,29763,31584,31584,38263,38263,19077,19077,21905,21905,57902,57902,9336,9336,55548,55548,37929,37929
19,28041,28041,9063,9063,23191,23191,25237,25237,14777,14777,16513,16513,72042,72042,5822,5822,30258,30258,15538,15538,5600,5600,14514,14514,40137,40137,22907,22907,16118,16118,9845,9845,29208,29208,31011,31011,38193,38193,19419,19419,22385,22385,60503,60503,8979,8979,56461,56461,37958,37958
20,29480,29480,9306,9306,23287,23287,24798,24798,14450,14450,17121,17121,62490,62490,5509,5509,26712,26712,15990,15990,5515,5515,14513,14513,39543,39543,23108,23108,15957,15957,10225,10225,28934,28934,30936,30936,38511,38511,19660,19660,21835,21835,62392,62392,8827,8827,57118,57118,38579,38579
21,29094,29094,9918,9918,23298,23298,25148,25148,14612,14612,16585,16585,44821,44821,5500,5500,25335,25335,16088,16088,5512,5512,14592,14592,39392,39392,22965,22965,15343,15343,10073,10073,29290,29290,30717,30717,41497,41497,19038,19038,21527,21527,62480,62480,8855,8855,56064,56064,38288,38288
22,30335,30335,12076,12076,23363,23363,25058,25058,14660,14660,16301,16301,32705,32705,5567,5567,25780,25780,16234,16234,5720,5720,15063,15063,39186,39186,22549,22549,15289,15289,10264,10264,32143,32143,30460,30460,47971,47971,19408,19408,21469,21469,64155,64155,8978,8978,54673,54673,37913,37913
23,30614,30614,14745,14745,22912,22912,25153,25153,14487,14487,16873,16873,30344,30344,5813,5813,22163,22163,15738,15738,5639,5639,14408,14408,39434,39434,22663,22663,15311,15311,10300,10300,39080,39080,30262,30262,71022,71022,19051,19051,21971,21971,66395,66395,8713,8713,51296,51296,39115,39115
24,30441,30441,13728,13728,23134,23134,24427,24427,13878,13878,16223,16223,33952,33952,5877,5877,19881,19881,16000,16000,5439,5439,14910,14910,39780,39780,22443,22443,15228,15228,9830,9830,39106,39106,29079,29079,77546,77546,18853,18853,21224,21224,66301,66301,8464,8464,49437,49437,37796,37796
25,31024,31024,12972,12972,23293,23293,25190,25190,14349,14349,16308,16308,35764,35764,5450,5450,19204,19204,15651,15651,5704,5704,15585,15585,40747,40747,22483,22483,14945,14945,10372,10372,34829,34829,30064,30064,67867,67867,18553,18553,21474,21474,67096,67096,8687,8687,49716,49716,39111,39111
26,31704,31704,12409,12409,23320,23320,25336,25336,13803,13803,16069,16069,36529,36529,5194,5194,18492,18492,16468,16468,5570,5570,17578,17578,40557,40557,22508,22508,14585,14585,10507,10507,33492,33492,29649,29649,64598,64598,18408,18408,21702,21702,66429,66429,8374,8374,49528,49528,38953,38953
27,30718,30718,12104,12104,22774,22774,24205,24205,13758,13758,16023,16023,36069,36069,5216,5216,16721,16721,16372,16372,5381,5381,18735,18735,40470,40470,22358,22358,14286,14286,10235,10235,33685,33685,28944,28944,64869,64869,18448,18448,21437,21437,65866,65866,8329,8329,50339,50339,38645,38645
