 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11
1,2486,2486,19478,19478,9855,9855,12021,12021,20266,20266,15777,15777,21945,21945,8526,8526,7061,7061,6717,6717,13933,13933
2,2358,2358,19556,19556,9913,9913,12876,12876,20597,20597,16626,16626,19027,19027,8143,8143,7209,7209,7206,7206,13216,13216
3,2703,2703,20249,20249,9323,9323,13923,13923,21164,21164,17138,17138,17174,17174,8624,8624,7149,7149,7278,7278,13547,13547
4,2512,2512,19517,19517,9150,9150,14277,14277,20817,20817,17810,17810,16197,16197,8580,8580,7451,7451,7994,7994,13705,13705
5,2392,2392,20040,20040,8971,8971,14895,14895,21470,21470,18743,18743,15218,15218,8318,8318,7553,7553,8167,8167,13733,13733
6,2382,2382,19921,19921,8850,8850,15991,15991,21878,21878,19699,19699,14712,14712,8436,8436,7606,7606,8490,8490,13588,13588
7,2343,2343,19068,19068,8694,8694,16025,16025,22323,22323,20452,20452,14715,14715,8150,8150,7671,7671,8875,8875,13620,13620
8,2426,2426,19084,19084,8668,8668,15912,15912,22232,22232,20514,20514,14603,14603,8360,8360,7530,7530,8869,8869,13663,13663
9,2264,2264,19510,19510,8948,8948,16829,16829,21818,21818,21414,21414,14395,14395,8107,8107,7255,7255,9503,9503,13209,13209
10,2249,2249,19483,19483,8985,8985,16604,16604,21882,21882,21399,21399,15001,15001,8091,8091,7642,7642,9541,9541,12838,12838
11,2118,2118,18668,18668,8532,8532,17600,17600,21201,21201,21939,21939,15145,15145,7773,7773,7140,7140,9823,9823,13146,13146
12,2307,2307,18715,18715,8879,8879,17603,17603,20585,20585,23145,23145,15114,15114,7235,7235,7042,7042,10476,10476,12906,12906
13,2000,2000,19167,19167,8780,8780,17810,17810,20313,20313,24051,24051,14994,14994,7600,7600,7106,7106,10631,10631,12676,12676
14,2162,2162,18816,18816,8729,8729,17582,17582,20114,20114,23089,23089,14849,14849,7020,7020,7003,7003,10968,10968,12821,12821
15,2079,2079,18814,18814,8684,8684,18023,18023,20283,20283,23850,23850,15347,15347,6972,6972,7208,7208,10598,10598,12925,12925
