 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98
1,131873,131873,16486,16486,31106,31106,39947,39947,18050,18050,4986,4986,19805,19805,688,688,38515,38515,14137,14137,39805,39805,79265,79265,46958,46958,21389,21389,21470,21470,43655,43655,14336,14336,17736,17736,33474,33474,16891,16891,25531,25531,12557,12557,112785,112785,33667,33667,48339,48339,25738,25738,57713,57713,14765,14765,43424,43424,23674,23674,144086,144086,60384,60384,25352,25352,25952,25952,37367,37367,51313,51313,11357,11357,57841,57841,9453,9453,41826,41826,19035,19035,25175,25175,15392,15392,15649,15649,57640,57640,26657,26657,81384,81384,34310,34310,10604,10604,30,30,9274,9274,7685,7685,153609,153609,7449,7449,11179,11179,14917,14917,61984,61984,27290,27290,48704,48704,47115,47115,44198,44198,36177,36177,48809,48809,22154,22154,7872,7872,52399,52399,21114,21114,40257,40257,14972,14972,33593,33593,21889,21889,26868,26868,13704,13704,10013,10013,32894,32894,11908,11908,94174,94174,12292,12292,18589,18589,17196,17196,45409,45409,43559,43559,26184,26184,18540,18540,19938,19938,15186,15186,19949,19949,15765,15765,14975,14975,20736,20736,17424,17424,17994,17994,22903,22903,4721,4721,6559,6559,158002,158002,10640,10640,5570,5570
2,126928,126928,16496,16496,31364,31364,38620,38620,17651,17651,4863,4863,19835,19835,758,758,39194,39194,12935,12935,40131,40131,79666,79666,46787,46787,21034,21034,21125,21125,42860,42860,14780,14780,17232,17232,33815,33815,16832,16832,25300,25300,12651,12651,109063,109063,33147,33147,47544,47544,23970,23970,57758,57758,14700,14700,42250,42250,23508,23508,139164,139164,59092,59092,25689,25689,26353,26353,37124,37124,50894,50894,11531,11531,55784,55784,9713,9713,41220,41220,19158,19158,28961,28961,15596,15596,15356,15356,54140,54140,26694,26694,80034,80034,35289,35289,10713,10713,32,32,9221,9221,9311,9311,154497,154497,7809,7809,10695,10695,14868,14868,62860,62860,27101,27101,45941,45941,45900,45900,41827,41827,36126,36126,46767,46767,22936,22936,7976,7976,51966,51966,20681,20681,41385,41385,15749,15749,33093,33093,22307,22307,26652,26652,13128,13128,9743,9743,32493,32493,11724,11724,93390,93390,12486,12486,17869,17869,17204,17204,45433,45433,43788,43788,26052,26052,18370,18370,19626,19626,15498,15498,20754,20754,15296,15296,15031,15031,21421,21421,17799,17799,18028,18028,19567,19567,4525,4525,6618,6618,153923,153923,10981,10981,5589,5589
3,125454,125454,16661,16661,31950,31950,36973,36973,18434,18434,5025,5025,19997,19997,671,671,38453,38453,14490,14490,40423,40423,79807,79807,47029,47029,21806,21806,21496,21496,40089,40089,14568,14568,17693,17693,33503,33503,17081,17081,25007,25007,13027,13027,106264,106264,32613,32613,47046,47046,23163,23163,58399,58399,15241,15241,42563,42563,23460,23460,140011,140011,58341,58341,25280,25280,26077,26077,37212,37212,51702,51702,11915,11915,55058,55058,9205,9205,41768,41768,18549,18549,25535,25535,15617,15617,15154,15154,56299,56299,27785,27785,79541,79541,36339,36339,11061,11061,27,27,9500,9500,7474,7474,135230,135230,7730,7730,10589,10589,15138,15138,64495,64495,27911,27911,45537,45537,47205,47205,42124,42124,36069,36069,46186,46186,23165,23165,7811,7811,52907,52907,20906,20906,40498,40498,16006,16006,34866,34866,22264,22264,26400,26400,13069,13069,10158,10158,31606,31606,11950,11950,87563,87563,12117,12117,18605,18605,19231,19231,46774,46774,45045,45045,25608,25608,18190,18190,18248,18248,15669,15669,25115,25115,15680,15680,14855,14855,21265,21265,17915,17915,18128,18128,19185,19185,4326,4326,6436,6436,149025,149025,10610,10610,5661,5661
4,122602,122602,16705,16705,32784,32784,34986,34986,17986,17986,4898,4898,20411,20411,779,779,39564,39564,14411,14411,42018,42018,79346,79346,48161,48161,21623,21623,21715,21715,39253,39253,16026,16026,17528,17528,33797,33797,17505,17505,24706,24706,12529,12529,104066,104066,33619,33619,47789,47789,23498,23498,59545,59545,14846,14846,41905,41905,23797,23797,137316,137316,59258,59258,25270,25270,25029,25029,37610,37610,53449,53449,12089,12089,55547,55547,9816,9816,41759,41759,18770,18770,24140,24140,15951,15951,15450,15450,53884,53884,26932,26932,79798,79798,38637,38637,11401,11401,17,17,10052,10052,6844,6844,114484,114484,7392,7392,10538,10538,15112,15112,65376,65376,28445,28445,44526,44526,47761,47761,40269,40269,34864,34864,44266,44266,23734,23734,8120,8120,52960,52960,20944,20944,41591,41591,16492,16492,35309,35309,22573,22573,26679,26679,12763,12763,10348,10348,31386,31386,12115,12115,80694,80694,12168,12168,17997,17997,22903,22903,46920,46920,45995,45995,26633,26633,18591,18591,18387,18387,15374,15374,29262,29262,15947,15947,15281,15281,21176,21176,18568,18568,18093,18093,19091,19091,4421,4421,6528,6528,141935,141935,10667,10667,5623,5623
5,119586,119586,17661,17661,32873,32873,35247,35247,17946,17946,4997,4997,20653,20653,701,701,40749,40749,14165,14165,42776,42776,79553,79553,48431,48431,21797,21797,22019,22019,38047,38047,15673,15673,17720,17720,34241,34241,17623,17623,25328,25328,12806,12806,99105,99105,33724,33724,47630,47630,22440,22440,60474,60474,14935,14935,41849,41849,23765,23765,137778,137778,58753,58753,25164,25164,25730,25730,37832,37832,53689,53689,12099,12099,54155,54155,9480,9480,41225,41225,18556,18556,24190,24190,16648,16648,15452,15452,54779,54779,27834,27834,79279,79279,39116,39116,11667,11667,30,30,10395,10395,6799,6799,100359,100359,7600,7600,10807,10807,14978,14978,67024,67024,28825,28825,43275,43275,48225,48225,39625,39625,35875,35875,42710,42710,24445,24445,8545,8545,52338,52338,21263,21263,41367,41367,16929,16929,35626,35626,23086,23086,27085,27085,14105,14105,10018,10018,31057,31057,12043,12043,72625,72625,12396,12396,17712,17712,25550,25550,47570,47570,46418,46418,26401,26401,18269,18269,17569,17569,15438,15438,32196,32196,16020,16020,15334,15334,21313,21313,19091,19091,18138,18138,18954,18954,4183,4183,6329,6329,135693,135693,10484,10484,5471,5471
6,118360,118360,17638,17638,33283,33283,34657,34657,18686,18686,5095,5095,20692,20692,803,803,41022,41022,14206,14206,42347,42347,81580,81580,49852,49852,22143,22143,21713,21713,35449,35449,15286,15286,17483,17483,34513,34513,17902,17902,25337,25337,12482,12482,97177,97177,34015,34015,46948,46948,22244,22244,60819,60819,15150,15150,41765,41765,23574,23574,138434,138434,58076,58076,25975,25975,26052,26052,38063,38063,53713,53713,12268,12268,53462,53462,10384,10384,41052,41052,19142,19142,23640,23640,17219,17219,15819,15819,57119,57119,27846,27846,79752,79752,40082,40082,12251,12251,26,26,10552,10552,6984,6984,90919,90919,7772,7772,10612,10612,15648,15648,68764,68764,29356,29356,44980,44980,48662,48662,39091,39091,34261,34261,41575,41575,24820,24820,8544,8544,51536,51536,21318,21318,41293,41293,17482,17482,36231,36231,23310,23310,26993,26993,15907,15907,9985,9985,30988,30988,11496,11496,65828,65828,12479,12479,17754,17754,25389,25389,47755,47755,48767,48767,25807,25807,18725,18725,17231,17231,15131,15131,32356,32356,16453,16453,14797,14797,21513,21513,18965,18965,18858,18858,18928,18928,4404,4404,6138,6138,129849,129849,10633,10633,5539,5539
7,116376,116376,16964,16964,33221,33221,33541,33541,18401,18401,5124,5124,21088,21088,770,770,40915,40915,14589,14589,43894,43894,79974,79974,49559,49559,22686,22686,22521,22521,35043,35043,15427,15427,18046,18046,33657,33657,17636,17636,25772,25772,12296,12296,93827,93827,33529,33529,46393,46393,22319,22319,61370,61370,15348,15348,42030,42030,23938,23938,140282,140282,56921,56921,25535,25535,25359,25359,38106,38106,54524,54524,12492,12492,53855,53855,10071,10071,41466,41466,19086,19086,24134,24134,17872,17872,15476,15476,54679,54679,28725,28725,79396,79396,41884,41884,12504,12504,23,23,10476,10476,7724,7724,87899,87899,8270,8270,11549,11549,15091,15091,69701,69701,28469,28469,43331,43331,47840,47840,38882,38882,33963,33963,41043,41043,24388,24388,8720,8720,52448,52448,21927,21927,41832,41832,17319,17319,36651,36651,23494,23494,27947,27947,17836,17836,10248,10248,31450,31450,11798,11798,59189,59189,12564,12564,17423,17423,26655,26655,48952,48952,70073,70073,26027,26027,18350,18350,17116,17116,15134,15134,33103,33103,15932,15932,14784,14784,21345,21345,19057,19057,18689,18689,18902,18902,4396,4396,6133,6133,124097,124097,10545,10545,5516,5516
8,116841,116841,17361,17361,33974,33974,32233,32233,18819,18819,5129,5129,21355,21355,834,834,41656,41656,14691,14691,43090,43090,79795,79795,49885,49885,23457,23457,22085,22085,33672,33672,15790,15790,18219,18219,35221,35221,18051,18051,25292,25292,12761,12761,89533,89533,33533,33533,46022,46022,20876,20876,62351,62351,15325,15325,43029,43029,23680,23680,144304,144304,57353,57353,26020,26020,25441,25441,37999,37999,55461,55461,12548,12548,52781,52781,10015,10015,41645,41645,18909,18909,24051,24051,18029,18029,15727,15727,55072,55072,28878,28878,79012,79012,41143,41143,12473,12473,29,29,10948,10948,7378,7378,85682,85682,8535,8535,12013,12013,15644,15644,70544,70544,29349,29349,45785,45785,48198,48198,38267,38267,34598,34598,41365,41365,25267,25267,8825,8825,52912,52912,21279,21279,41429,41429,17154,17154,37430,37430,23644,23644,27106,27106,18587,18587,10414,10414,32148,32148,11942,11942,57478,57478,12730,12730,17307,17307,26822,26822,49476,49476,90270,90270,26050,26050,17990,17990,16967,16967,14990,14990,33931,33931,16730,16730,14962,14962,21439,21439,19751,19751,19152,19152,18643,18643,4266,4266,6112,6112,117372,117372,10668,10668,5508,5508
9,114808,114808,17301,17301,34150,34150,32740,32740,19271,19271,5230,5230,21373,21373,731,731,40841,40841,14541,14541,44988,44988,80495,80495,51184,51184,23402,23402,22930,22930,33214,33214,15809,15809,18187,18187,35535,35535,17846,17846,25009,25009,12867,12867,87484,87484,34078,34078,45476,45476,21857,21857,63119,63119,15129,15129,41770,41770,23821,23821,142727,142727,56907,56907,26099,26099,26791,26791,38565,38565,56601,56601,13434,13434,52516,52516,10355,10355,41147,41147,19131,19131,24395,24395,18232,18232,15498,15498,54056,54056,28878,28878,78757,78757,41026,41026,12765,12765,30,30,10711,10711,7718,7718,85410,85410,8674,8674,13384,13384,15186,15186,70429,70429,29537,29537,46952,46952,48349,48349,37766,37766,35171,35171,41181,41181,25220,25220,9000,9000,51668,51668,21678,21678,41826,41826,17474,17474,37319,37319,23453,23453,27388,27388,19595,19595,10323,10323,31661,31661,11456,11456,54830,54830,12278,12278,17411,17411,26962,26962,51019,51019,93400,93400,26345,26345,18149,18149,16119,16119,14882,14882,35005,35005,16401,16401,15082,15082,21328,21328,19839,19839,19184,19184,18572,18572,4242,4242,6311,6311,110324,110324,10362,10362,5679,5679
10,115911,115911,17895,17895,35709,35709,31133,31133,18696,18696,5330,5330,21824,21824,887,887,41792,41792,14762,14762,45727,45727,80359,80359,52130,52130,23191,23191,23070,23070,33095,33095,15705,15705,18285,18285,34564,34564,18392,18392,25334,25334,13357,13357,84393,84393,33927,33927,46772,46772,20938,20938,63094,63094,15508,15508,40383,40383,24385,24385,143813,143813,57047,57047,26505,26505,26762,26762,38678,38678,56690,56690,13049,13049,51698,51698,10350,10350,41321,41321,19184,19184,24465,24465,18636,18636,15808,15808,50358,50358,28697,28697,79383,79383,42430,42430,12761,12761,25,25,10720,10720,7586,7586,83261,83261,8332,8332,13728,13728,15602,15602,72314,72314,29833,29833,46636,46636,49234,49234,36988,36988,35271,35271,41346,41346,25415,25415,9238,9238,51213,51213,21882,21882,41862,41862,17274,17274,37919,37919,23339,23339,27089,27089,18525,18525,10801,10801,31407,31407,11334,11334,53806,53806,11997,11997,17143,17143,26799,26799,49440,49440,89857,89857,25741,25741,18198,18198,16606,16606,14702,14702,35540,35540,16611,16611,14815,14815,21498,21498,19925,19925,19596,19596,18806,18806,4214,4214,5927,5927,104640,104640,10182,10182,5572,5572
