 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23
1,5279,5279,37474,37474,20590,20590,44995,44995,32673,32673,61011,61011,30649,30649,34268,34268,47133,47133,38085,38085,59161,59161,38533,38533,37032,37032,2977,2977,17613,17613,15151,15151,35401,35401,40091,40091,44355,44355,78632,78632,5153,5153,17743,17743,14920,14920
2,5373,5373,37498,37498,20000,20000,46002,46002,31508,31508,59905,59905,29424,29424,34117,34117,45784,45784,37088,37088,56127,56127,38232,38232,35331,35331,3231,3231,16574,16574,15116,15116,34398,34398,40823,40823,44365,44365,76542,76542,5285,5285,17629,17629,14803,14803
3,5321,5321,37869,37869,20383,20383,45458,45458,31616,31616,55763,55763,29438,29438,33155,33155,44124,44124,36580,36580,56245,56245,33985,33985,35487,35487,3499,3499,16276,16276,15149,15149,34450,34450,41052,41052,42082,42082,74590,74590,4938,4938,16929,16929,13979,13979
4,5396,5396,38732,38732,20917,20917,46387,46387,31622,31622,60061,60061,29640,29640,33423,33423,43472,43472,36718,36718,57142,57142,33539,33539,35988,35988,3804,3804,15988,15988,15335,15335,34306,34306,41311,41311,40174,40174,74442,74442,5118,5118,17187,17187,13954,13954
5,5393,5393,39780,39780,21448,21448,47005,47005,32246,32246,67192,67192,29500,29500,33283,33283,43720,43720,36388,36388,58340,58340,33134,33134,35325,35325,3979,3979,15715,15715,15413,15413,33774,33774,40423,40423,40255,40255,71350,71350,5139,5139,16796,16796,14173,14173
6,5608,5608,40593,40593,21698,21698,47007,47007,32764,32764,67688,67688,29313,29313,33566,33566,43376,43376,36669,36669,60241,60241,43814,43814,35699,35699,4004,4004,16343,16343,15411,15411,33326,33326,42912,42912,41103,41103,70498,70498,5129,5129,16714,16714,13888,13888
7,5608,5608,40916,40916,22140,22140,47572,47572,32624,32624,66571,66571,30083,30083,34129,34129,44018,44018,37469,37469,60912,60912,35844,35844,35995,35995,4182,4182,15574,15574,15687,15687,33395,33395,43735,43735,40606,40606,69455,69455,5469,5469,17101,17101,14087,14087
8,5846,5846,41857,41857,21984,21984,49136,49136,33425,33425,67043,67043,29546,29546,35564,35564,44140,44140,37333,37333,61526,61526,35618,35618,36021,36021,4037,4037,15522,15522,16210,16210,32883,32883,44211,44211,40850,40850,69277,69277,5461,5461,17407,17407,14160,14160
9,5982,5982,42545,42545,22753,22753,50996,50996,33788,33788,69932,69932,29757,29757,36668,36668,44782,44782,38186,38186,60871,60871,34539,34539,36318,36318,4168,4168,15709,15709,16396,16396,33132,33132,44861,44861,42097,42097,68225,68225,5577,5577,17763,17763,14222,14222
10,5399,5399,43408,43408,22464,22464,52706,52706,34819,34819,71138,71138,30257,30257,36386,36386,45296,45296,38033,38033,61481,61481,35517,35517,36759,36759,4312,4312,16049,16049,16500,16500,33428,33428,46468,46468,41925,41925,68186,68186,5464,5464,17587,17587,14498,14498
