 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11
1,32431,32431,22682,22682,11745,11745,11004,11004,10952,10952,6160,6160,16986,16986,1916,1916,27831,27831,7767,7767,10553,10553
2,32009,32009,15117,15117,11550,11550,11543,11543,10306,10306,6265,6265,18076,18076,2012,2012,29719,29719,8231,8231,11357,11357
3,31544,31544,12897,12897,11468,11468,12021,12021,9721,9721,6501,6501,18308,18308,1976,1976,30342,30342,8202,8202,11292,11292
4,30740,30740,12927,12927,11385,11385,12140,12140,9429,9429,6866,6866,18678,18678,2256,2256,30703,30703,8241,8241,11311,11311
5,30354,30354,12161,12161,11337,11337,12508,12508,9049,9049,7271,7271,19833,19833,2106,2106,31499,31499,8110,8110,11546,11546
6,31618,31618,12473,12473,11289,11289,13177,13177,8906,8906,7540,7540,19466,19466,2243,2243,32233,32233,8747,8747,11924,11924
7,30710,30710,13027,13027,11076,11076,13760,13760,8819,8819,7626,7626,20071,20071,2392,2392,31814,31814,8558,8558,11908,11908
8,31361,31361,12557,12557,10897,10897,13908,13908,8996,8996,8171,8171,20561,20561,2367,2367,33040,33040,8997,8997,12002,12002
9,31355,31355,12503,12503,10380,10380,14034,14034,8637,8637,8253,8253,20799,20799,2259,2259,32931,32931,8692,8692,12171,12171
10,31324,31324,12540,12540,10169,10169,13847,13847,8795,8795,8460,8460,21405,21405,2367,2367,33112,33112,9073,9073,11990,11990
11,30442,30442,12119,12119,10020,10020,14200,14200,8508,8508,9031,9031,22141,22141,2413,2413,35307,35307,10183,10183,12924,12924
12,30127,30127,12269,12269,9687,9687,14360,14360,8658,8658,9232,9232,22310,22310,2511,2511,36197,36197,10168,10168,14040,14040
13,30245,30245,12367,12367,9735,9735,14540,14540,9194,9194,10014,10014,22544,22544,2495,2495,36085,36085,10030,10030,14052,14052
14,31032,31032,12920,12920,9689,9689,14195,14195,9542,9542,9802,9802,22357,22357,2347,2347,34314,34314,9332,9332,13397,13397
15,30650,30650,12579,12579,10089,10089,14569,14569,9334,9334,11303,11303,22987,22987,2287,2287,33190,33190,8562,8562,12511,12511
16,31016,31016,12817,12817,9755,9755,15106,15106,9616,9616,21160,21160,22897,22897,2349,2349,31246,31246,7960,7960,11935,11935
17,31165,31165,13208,13208,10031,10031,14795,14795,9410,9410,19783,19783,23099,23099,2338,2338,29689,29689,7613,7613,11209,11209
18,32291,32291,12777,12777,9901,9901,14472,14472,8953,8953,15010,15010,23115,23115,2283,2283,29133,29133,7469,7469,11180,11180
19,32330,32330,12935,12935,9789,9789,14793,14793,9204,9204,14739,14739,23467,23467,2441,2441,28530,28530,7382,7382,11080,11080
20,31776,31776,12957,12957,9773,9773,14798,14798,9214,9214,14455,14455,22915,22915,2410,2410,27278,27278,6869,6869,10793,10793
21,32079,32079,20256,20256,10408,10408,14793,14793,9126,9126,14658,14658,23557,23557,2368,2368,26651,26651,6665,6665,10638,10638
22,32369,32369,14933,14933,10535,10535,14858,14858,9182,9182,15888,15888,23577,23577,2338,2338,26955,26955,6526,6526,10110,10110
23,32837,32837,14009,14009,10305,10305,14489,14489,9498,9498,16657,16657,23708,23708,2456,2456,25972,25972,6158,6158,10167,10167
24,32961,32961,13514,13514,10108,10108,14451,14451,9316,9316,17406,17406,23608,23608,2436,2436,26654,26654,6587,6587,10163,10163
25,33672,33672,12987,12987,10528,10528,14427,14427,9276,9276,17025,17025,22933,22933,2378,2378,25180,25180,6087,6087,9785,9785
26,32952,32952,14011,14011,10023,10023,14775,14775,9401,9401,18349,18349,23627,23627,2452,2452,25165,25165,6228,6228,10093,10093
27,32600,32600,14898,14898,10044,10044,14863,14863,9525,9525,19251,19251,23441,23441,2376,2376,24824,24824,6044,6044,9649,9649
28,32562,32562,18204,18204,10230,10230,14941,14941,9407,9407,19902,19902,23044,23044,2342,2342,24694,24694,6001,6001,9265,9265
29,33370,33370,39950,39950,10172,10172,14394,14394,9158,9158,20777,20777,22896,22896,2527,2527,24233,24233,5558,5558,9324,9324
30,33305,33305,34863,34863,10262,10262,14651,14651,9601,9601,20599,20599,23057,23057,2349,2349,23704,23704,5756,5756,8973,8973
31,32950,32950,30692,30692,10278,10278,14606,14606,9738,9738,20528,20528,23313,23313,2456,2456,23938,23938,5962,5962,9291,9291
32,33178,33178,27897,27897,10339,10339,14952,14952,9719,9719,21429,21429,23149,23149,2325,2325,23068,23068,5467,5467,9005,9005
33,33949,33949,26659,26659,10087,10087,14802,14802,9830,9830,21117,21117,22814,22814,2516,2516,23374,23374,5591,5591,8944,8944
34,33513,33513,25507,25507,9892,9892,14441,14441,9800,9800,19604,19604,23259,23259,2368,2368,23192,23192,5859,5859,8627,8627
35,33903,33903,24112,24112,10070,10070,14764,14764,9910,9910,20158,20158,22463,22463,2468,2468,22321,22321,5178,5178,8581,8581
36,33655,33655,24270,24270,9941,9941,14132,14132,9507,9507,19703,19703,23051,23051,2453,2453,22172,22172,4888,4888,8199,8199
37,33954,33954,23660,23660,10091,10091,14452,14452,9918,9918,19893,19893,22763,22763,2489,2489,21924,21924,4911,4911,8474,8474
38,33783,33783,23734,23734,10381,10381,14485,14485,10182,10182,21751,21751,22628,22628,2351,2351,21697,21697,4858,4858,8319,8319
39,33951,33951,22854,22854,10129,10129,14409,14409,10375,10375,22450,22450,22740,22740,2424,2424,21713,21713,5090,5090,8401,8401
40,35048,35048,22893,22893,10040,10040,14541,14541,10125,10125,22458,22458,22694,22694,2434,2434,21935,21935,5228,5228,8381,8381
