 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117
1,18395,18395,31786,31786,40715,40715,19377,19377,15193,15193,22883,22883,44524,44524,12736,12736,92649,92649,13416,13416,36311,36311,118221,118221,59363,59363,13872,13872,27399,27399,22401,22401,41159,41159,49610,49610,20425,20425,19880,19880,30797,30797,37947,37947,58498,58498,53346,53346,60097,60097,12103,12103,31375,31375,53857,53857,40619,40619,24578,24578,2649,2649,13782,13782,11822,11822,27548,27548,20232,20232,25459,25459,20432,20432,15695,15695,26380,26380,53201,53201,17296,17296,68789,68789,26692,26692,30362,30362,21175,21175,50278,50278,9620,9620,29350,29350,41796,41796,14635,14635,32930,32930,22408,22408,24020,24020,25619,25619,23924,23924,11441,11441,24565,24565,10494,10494,21154,21154,20512,20512,23236,23236,39563,39563,14357,14357,21286,21286,19612,19612,23289,23289,16610,16610,28593,28593,30628,30628,16473,16473,27155,27155,14794,14794,25975,25975,16901,16901,27174,27174,18268,18268,20738,20738,22383,22383,23190,23190,21680,21680,26746,26746,27175,27175,23817,23817,5444,5444,31894,31894,7864,7864,1986,1986,61736,61736,19759,19759,22719,22719,17179,17179,12273,12273,19212,19212,10972,10972,39611,39611,30096,30096,23478,23478,11691,11691,172523,172523,23342,23342,11498,11498,38501,38501,21866,21866,21471,21471,14722,14722,7932,7932,6199,6199,6205,6205,18763,18763,15008,15008,44540,44540,13126,13126,21615,21615,45610,45610,8880,8880,20007,20007,9159,9159
2,19570,19570,30696,30696,39776,39776,19438,19438,14565,14565,21856,21856,43858,43858,12524,12524,92529,92529,13350,13350,36433,36433,115213,115213,61577,61577,14953,14953,27836,27836,23359,23359,41047,41047,47947,47947,20210,20210,20120,20120,31399,31399,35872,35872,59864,59864,53337,53337,61779,61779,12221,12221,31491,31491,53172,53172,41696,41696,24132,24132,2459,2459,13890,13890,11832,11832,26679,26679,20612,20612,26780,26780,20349,20349,15803,15803,25212,25212,51578,51578,17349,17349,66628,66628,27449,27449,30902,30902,20884,20884,48163,48163,10117,10117,28613,28613,40680,40680,14815,14815,32753,32753,22018,22018,23391,23391,24964,24964,23928,23928,11872,11872,28571,28571,10364,10364,20642,20642,20028,20028,23088,23088,40516,40516,13940,13940,21581,21581,18683,18683,22889,22889,16920,16920,26778,26778,30324,30324,16330,16330,27503,27503,14554,14554,25632,25632,16446,16446,28010,28010,18519,18519,21110,21110,22100,22100,22479,22479,21179,21179,26181,26181,27352,27352,23341,23341,5856,5856,32761,32761,7756,7756,1898,1898,62803,62803,18795,18795,22658,22658,17619,17619,12554,12554,19207,19207,10932,10932,40093,40093,30310,30310,23805,23805,12120,12120,166165,166165,23610,23610,11613,11613,37521,37521,21999,21999,22043,22043,14443,14443,8057,8057,6367,6367,6071,6071,18104,18104,14541,14541,43851,43851,13609,13609,22220,22220,46929,46929,9042,9042,20305,20305,9155,9155
3,19077,19077,29733,29733,39316,39316,19914,19914,15270,15270,21698,21698,42897,42897,12636,12636,93527,93527,13019,13019,35894,35894,114106,114106,61763,61763,16663,16663,28512,28512,23396,23396,42133,42133,48799,48799,20085,20085,20762,20762,30990,30990,34579,34579,61031,61031,52151,52151,64681,64681,12009,12009,32150,32150,51782,51782,46969,46969,24065,24065,2642,2642,13443,13443,12165,12165,26574,26574,20440,20440,26596,26596,20479,20479,15646,15646,25002,25002,51262,51262,17733,17733,66145,66145,26789,26789,32939,32939,20884,20884,50445,50445,10120,10120,29118,29118,40673,40673,14290,14290,32350,32350,22042,22042,23444,23444,25385,25385,24652,24652,11542,11542,31189,31189,10923,10923,20696,20696,20005,20005,22753,22753,45705,45705,13724,13724,22455,22455,19012,19012,22790,22790,17020,17020,25201,25201,30398,30398,15882,15882,27709,27709,14964,14964,24596,24596,16466,16466,28511,28511,18473,18473,21423,21423,22243,22243,22831,22831,21148,21148,26402,26402,28607,28607,23114,23114,6106,6106,32922,32922,7892,7892,1859,1859,61029,61029,19484,19484,22545,22545,18161,18161,12561,12561,18888,18888,11336,11336,40818,40818,30277,30277,24206,24206,12078,12078,164307,164307,23525,23525,11644,11644,37327,37327,22067,22067,24927,24927,14960,14960,8425,8425,6434,6434,6174,6174,18124,18124,14632,14632,44249,44249,13158,13158,22525,22525,46520,46520,8734,8734,20033,20033,9495,9495
4,19247,19247,29177,29177,39545,39545,19205,19205,14509,14509,21701,21701,43079,43079,12489,12489,95038,95038,13045,13045,36168,36168,111923,111923,63063,63063,17120,17120,28283,28283,23322,23322,43176,43176,47580,47580,18875,18875,20197,20197,32012,32012,35100,35100,63588,63588,50358,50358,67067,67067,11822,11822,36329,36329,51455,51455,52955,52955,23979,23979,2686,2686,13754,13754,12118,12118,26347,26347,20409,20409,27776,27776,20537,20537,15533,15533,25546,25546,51121,51121,17560,17560,66598,66598,26918,26918,39636,39636,21180,21180,48180,48180,9664,9664,29324,29324,40510,40510,14739,14739,31944,31944,22070,22070,23308,23308,25512,25512,24035,24035,12121,12121,37374,37374,10696,10696,20975,20975,20165,20165,22361,22361,46567,46567,13573,13573,23895,23895,18886,18886,22683,22683,17335,17335,23372,23372,30324,30324,16591,16591,28165,28165,15044,15044,25308,25308,16649,16649,30373,30373,18880,18880,21377,21377,22244,22244,22997,22997,21073,21073,26623,26623,28855,28855,23437,23437,6120,6120,32975,32975,7806,7806,1955,1955,61110,61110,20107,20107,22245,22245,18329,18329,12524,12524,19722,19722,11357,11357,41180,41180,31107,31107,24179,24179,12570,12570,163943,163943,24284,24284,11449,11449,36816,36816,21852,21852,28068,28068,14799,14799,8669,8669,6671,6671,6236,6236,18137,18137,14645,14645,44610,44610,13274,13274,22715,22715,46238,46238,8849,8849,20430,20430,10018,10018
5,19614,19614,29441,29441,40240,40240,17710,17710,14408,14408,21568,21568,43790,43790,12434,12434,96533,96533,12768,12768,36760,36760,112689,112689,63534,63534,17111,17111,28583,28583,23437,23437,44213,44213,46503,46503,18308,18308,20829,20829,32447,32447,34362,34362,66570,66570,50363,50363,68039,68039,11363,11363,38463,38463,51797,51797,53023,53023,23758,23758,2774,2774,13516,13516,11644,11644,26355,26355,20531,20531,27695,27695,20805,20805,15525,15525,25296,25296,50483,50483,17639,17639,68258,68258,27224,27224,45663,45663,20502,20502,46923,46923,9900,9900,29248,29248,41196,41196,14669,14669,32066,32066,21384,21384,23591,23591,25516,25516,24880,24880,11480,11480,40999,40999,10618,10618,20981,20981,20452,20452,22756,22756,47238,47238,13901,13901,24339,24339,18217,18217,22884,22884,17069,17069,21316,21316,30527,30527,16244,16244,28570,28570,14929,14929,25140,25140,16347,16347,32901,32901,18880,18880,21046,21046,22137,22137,22839,22839,21385,21385,26422,26422,28337,28337,23506,23506,6183,6183,32980,32980,8146,8146,1984,1984,62071,62071,19921,19921,22329,22329,18357,18357,12492,12492,19608,19608,11776,11776,41560,41560,30886,30886,23977,23977,12403,12403,164070,164070,24605,24605,11633,11633,36357,36357,22015,22015,28392,28392,14786,14786,9360,9360,6691,6691,6457,6457,18084,18084,14807,14807,44640,44640,13912,13912,22838,22838,47683,47683,9017,9017,20756,20756,9973,9973
6,19410,19410,28973,28973,39707,39707,17272,17272,14052,14052,21981,21981,44438,44438,12246,12246,97693,97693,13355,13355,36593,36593,113968,113968,65003,65003,17246,17246,28447,28447,23555,23555,45591,45591,47311,47311,17376,17376,20649,20649,32913,32913,34712,34712,70499,70499,51218,51218,68980,68980,11511,11511,41076,41076,51817,51817,54932,54932,24537,24537,2744,2744,13768,13768,12286,12286,27418,27418,20391,20391,28133,28133,20967,20967,15357,15357,24688,24688,50965,50965,17315,17315,70927,70927,27040,27040,49921,49921,20495,20495,47279,47279,9488,9488,28989,28989,40632,40632,14549,14549,30889,30889,21886,21886,22878,22878,26348,26348,24581,24581,11706,11706,40688,40688,10748,10748,21041,21041,20116,20116,23191,23191,48090,48090,14291,14291,25222,25222,18127,18127,23112,23112,17334,17334,20224,20224,30420,30420,17408,17408,31014,31014,14870,14870,24727,24727,16700,16700,35379,35379,18744,18744,21502,21502,22448,22448,23381,23381,21666,21666,26529,26529,29187,29187,23499,23499,6074,6074,33691,33691,8296,8296,2150,2150,61810,61810,20011,20011,22083,22083,18845,18845,12447,12447,20011,20011,11863,11863,44733,44733,30815,30815,24196,24196,12805,12805,169650,169650,24639,24639,11239,11239,36639,36639,22111,22111,29087,29087,14705,14705,9236,9236,6572,6572,6525,6525,18312,18312,14721,14721,43731,43731,13522,13522,23432,23432,48115,48115,8697,8697,21342,21342,10060,10060
7,20346,20346,28064,28064,39523,39523,17219,17219,13702,13702,21838,21838,44376,44376,12570,12570,97929,97929,14184,14184,36278,36278,114117,114117,66369,66369,17728,17728,29620,29620,23284,23284,45782,45782,46896,46896,17242,17242,21163,21163,33215,33215,35444,35444,75205,75205,51663,51663,68842,68842,11024,11024,41583,41583,51790,51790,56009,56009,24031,24031,2924,2924,13403,13403,12125,12125,27088,27088,20335,20335,29433,29433,21414,21414,15274,15274,24493,24493,49339,49339,17201,17201,73293,73293,26706,26706,54273,54273,20758,20758,45422,45422,9591,9591,28995,28995,41394,41394,14662,14662,30320,30320,21367,21367,23752,23752,26075,26075,25181,25181,12144,12144,41650,41650,10750,10750,20505,20505,20462,20462,22728,22728,47537,47537,14087,14087,25438,25438,18798,18798,22784,22784,17196,17196,19189,19189,30825,30825,17758,17758,34959,34959,14889,14889,25034,25034,17447,17447,36514,36514,18364,18364,23352,23352,22255,22255,23954,23954,22069,22069,26582,26582,29525,29525,23260,23260,6094,6094,34788,34788,8306,8306,2190,2190,62210,62210,20494,20494,21667,21667,19572,19572,12411,12411,20350,20350,11917,11917,51342,51342,31491,31491,23390,23390,13036,13036,169070,169070,24433,24433,11466,11466,36416,36416,21825,21825,28954,28954,14737,14737,9274,9274,6682,6682,6580,6580,17889,17889,14814,14814,44570,44570,13350,13350,23767,23767,48440,48440,8762,8762,21291,21291,10851,10851
8,20156,20156,26465,26465,39189,39189,17371,17371,13435,13435,21720,21720,45684,45684,12136,12136,100514,100514,14194,14194,37102,37102,119620,119620,69216,69216,17848,17848,30087,30087,23335,23335,46802,46802,47081,47081,17601,17601,21474,21474,33477,33477,36396,36396,79704,79704,53801,53801,71254,71254,10645,10645,42290,42290,53480,53480,56497,56497,24158,24158,2790,2790,13518,13518,12381,12381,26984,26984,20295,20295,30057,30057,22268,22268,15264,15264,24682,24682,49254,49254,17968,17968,74513,74513,27710,27710,53755,53755,20615,20615,44667,44667,9366,9366,29293,29293,41691,41691,14968,14968,30827,30827,21548,21548,23971,23971,25866,25866,25327,25327,11738,11738,43463,43463,10804,10804,20700,20700,20573,20573,22802,22802,48215,48215,13977,13977,26079,26079,18110,18110,23344,23344,17865,17865,19402,19402,30935,30935,19404,19404,38928,38928,14933,14933,24907,24907,17812,17812,36990,36990,18923,18923,26464,26464,22102,22102,24764,24764,21888,21888,27184,27184,28955,28955,23930,23930,6209,6209,35888,35888,8321,8321,2077,2077,62623,62623,20084,20084,20710,20710,20449,20449,12423,12423,20353,20353,12300,12300,55125,55125,31971,31971,23059,23059,13446,13446,169512,169512,24934,24934,11735,11735,37095,37095,22577,22577,29680,29680,14378,14378,9358,9358,6737,6737,6339,6339,17970,17970,14825,14825,44943,44943,13679,13679,24748,24748,48271,48271,8891,8891,21826,21826,10274,10274
9,20324,20324,26432,26432,39101,39101,17709,17709,13407,13407,22013,22013,45898,45898,12495,12495,103920,103920,14976,14976,38317,38317,123241,123241,71202,71202,17769,17769,30596,30596,23306,23306,46654,46654,45210,45210,16705,16705,22095,22095,34438,34438,36544,36544,81505,81505,55399,55399,70742,70742,10822,10822,43137,43137,53939,53939,57158,57158,24323,24323,2864,2864,14047,14047,12311,12311,26840,26840,20496,20496,30393,30393,22875,22875,15395,15395,24492,24492,50417,50417,18164,18164,75730,75730,27346,27346,54793,54793,20648,20648,44368,44368,9295,9295,29218,29218,42325,42325,14798,14798,31493,31493,21189,21189,23523,23523,26287,26287,25601,25601,12049,12049,44376,44376,11119,11119,20911,20911,20776,20776,22627,22627,47953,47953,14532,14532,26139,26139,18255,18255,23427,23427,17615,17615,19478,19478,30413,30413,21032,21032,41655,41655,15045,15045,25007,25007,19686,19686,36924,36924,19120,19120,28980,28980,21784,21784,25702,25702,21912,21912,27039,27039,28971,28971,23710,23710,6120,6120,36363,36363,8756,8756,2093,2093,64485,64485,20191,20191,20188,20188,19857,19857,12552,12552,20211,20211,12197,12197,56874,56874,32318,32318,23611,23611,13128,13128,169637,169637,24383,24383,11556,11556,37910,37910,22279,22279,29686,29686,14549,14549,9132,9132,6950,6950,6669,6669,18026,18026,15307,15307,45256,45256,13727,13727,25845,25845,48233,48233,8953,8953,22096,22096,10757,10757
10,20024,20024,26419,26419,38863,38863,17721,17721,12424,12424,22208,22208,46690,46690,12096,12096,106680,106680,14612,14612,38700,38700,129044,129044,73807,73807,17534,17534,31588,31588,22907,22907,46490,46490,45093,45093,17197,17197,22331,22331,34544,34544,36259,36259,84307,84307,58052,58052,71450,71450,10408,10408,44306,44306,53942,53942,56944,56944,24237,24237,3047,3047,14116,14116,12837,12837,27082,27082,20567,20567,30925,30925,23189,23189,15103,15103,25214,25214,49622,49622,17530,17530,77883,77883,26664,26664,54512,54512,20605,20605,43621,43621,9181,9181,29535,29535,41925,41925,15015,15015,31801,31801,21256,21256,24306,24306,26622,26622,26017,26017,12245,12245,43108,43108,11072,11072,21077,21077,20959,20959,21934,21934,49065,49065,14186,14186,26831,26831,18542,18542,23396,23396,17995,17995,19722,19722,30151,30151,21070,21070,43135,43135,15652,15652,25155,25155,23011,23011,37441,37441,18922,18922,33961,33961,21850,21850,27891,27891,22148,22148,27834,27834,29382,29382,23554,23554,6460,6460,36539,36539,8311,8311,1941,1941,65072,65072,20204,20204,20174,20174,20916,20916,12397,12397,20158,20158,12323,12323,58487,58487,33125,33125,22341,22341,13329,13329,171770,171770,24781,24781,11368,11368,38374,38374,22506,22506,30115,30115,14267,14267,8872,8872,6604,6604,6659,6659,17592,17592,15606,15606,45544,45544,13283,13283,26029,26029,49093,49093,8738,8738,22186,22186,10601,10601
