 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91
1,4909,4909,31557,31557,28821,28821,9950,9950,12198,12198,16511,16511,23130,23130,15114,15114,14118,14118,28677,28677,10774,10774,16603,16603,10382,10382,52120,52120,18600,18600,36827,36827,23472,23472,23983,23983,23053,23053,48623,48623,17055,17055,26679,26679,13895,13895,8149,8149,43931,43931,20203,20203,20299,20299,17005,17005,17464,17464,14370,14370,24264,24264,30153,30153,2070,2070,2699,2699,35901,35901,15505,15505,10294,10294,32806,32806,19675,19675,10722,10722,18527,18527,38914,38914,10784,10784,7834,7834,6313,6313,10229,10229,8712,8712,12475,12475,6082,6082,17276,17276,2222,2222,13340,13340,24561,24561,19844,19844,12495,12495,11023,11023,19533,19533,22111,22111,11441,11441,8974,8974,11731,11731,16818,16818,11784,11784,36837,36837,21434,21434,19626,19626,4409,4409,2677,2677,9529,9529,3033,3033,24058,24058,11214,11214,10837,10837,10629,10629,15017,15017,2876,2876,17733,17733,3981,3981,3086,3086,3302,3302,5956,5956,34491,34491,9783,9783,3463,3463,4675,4675,4833,4833,3096,3096,1871,1871,5467,5467,2369,2369,7894,7894
2,4682,4682,30767,30767,28263,28263,9718,9718,12586,12586,16179,16179,24929,24929,16304,16304,14189,14189,28918,28918,11055,11055,17069,17069,10591,10591,49376,49376,18681,18681,35721,35721,23343,23343,24630,24630,22924,22924,47470,47470,17266,17266,24896,24896,14083,14083,8870,8870,42416,42416,20142,20142,19942,19942,17346,17346,17801,17801,14314,14314,24018,24018,30455,30455,2105,2105,2799,2799,34934,34934,15144,15144,10455,10455,31657,31657,19228,19228,11011,11011,18646,18646,38668,38668,10903,10903,7810,7810,6125,6125,10321,10321,8439,8439,12501,12501,5955,5955,17970,17970,2125,2125,13184,13184,23651,23651,18919,18919,12047,12047,10661,10661,18638,18638,21839,21839,11078,11078,8954,8954,11878,11878,16412,16412,11603,11603,37597,37597,20792,20792,19428,19428,4533,4533,2558,2558,9022,9022,2773,2773,23551,23551,10775,10775,11126,11126,10374,10374,14817,14817,2799,2799,17527,17527,3940,3940,3154,3154,3265,3265,6039,6039,31815,31815,9611,9611,3293,3293,4099,4099,4629,4629,3024,3024,1725,1725,5470,5470,2404,2404,7113,7113
3,5025,5025,30854,30854,27165,27165,10048,10048,12240,12240,16071,16071,23854,23854,15716,15716,14490,14490,28006,28006,11174,11174,17490,17490,10408,10408,48826,48826,18661,18661,35353,35353,23643,23643,24787,24787,23394,23394,45067,45067,16899,16899,23779,23779,14694,14694,9050,9050,43338,43338,20261,20261,19450,19450,17173,17173,17818,17818,14081,14081,23865,23865,30399,30399,2107,2107,2802,2802,34388,34388,15684,15684,10519,10519,31969,31969,19272,19272,10781,10781,18901,18901,39069,39069,10881,10881,7935,7935,6119,6119,9942,9942,8508,8508,12551,12551,5691,5691,18143,18143,2246,2246,12617,12617,23422,23422,19056,19056,11834,11834,10527,10527,18322,18322,21327,21327,10065,10065,9007,9007,11632,11632,16110,16110,11546,11546,36771,36771,20433,20433,20044,20044,4302,4302,2553,2553,9106,9106,2731,2731,23761,23761,10706,10706,10787,10787,9946,9946,15139,15139,2690,2690,17406,17406,4020,4020,3012,3012,3016,3016,6299,6299,29783,29783,9657,9657,3395,3395,4106,4106,4581,4581,2912,2912,1743,1743,5268,5268,2277,2277,7296,7296
4,5183,5183,30410,30410,27658,27658,9990,9990,12427,12427,16339,16339,23465,23465,16486,16486,14532,14532,27571,27571,10979,10979,17383,17383,10384,10384,47976,47976,19107,19107,34636,34636,23585,23585,24833,24833,26799,26799,43563,43563,17105,17105,21812,21812,17821,17821,9414,9414,42152,42152,20158,20158,19573,19573,17494,17494,17753,17753,14244,14244,23890,23890,29673,29673,2035,2035,2957,2957,34063,34063,14730,14730,10169,10169,31761,31761,18819,18819,11239,11239,18271,18271,39096,39096,10976,10976,7516,7516,6206,6206,9617,9617,8578,8578,11847,11847,5534,5534,17174,17174,2262,2262,12758,12758,23355,23355,18870,18870,11885,11885,10324,10324,18211,18211,20595,20595,10242,10242,9164,9164,11453,11453,15670,15670,11203,11203,35880,35880,20400,20400,19033,19033,4302,4302,2666,2666,8948,8948,2755,2755,22927,22927,10744,10744,10637,10637,9845,9845,15575,15575,2815,2815,17654,17654,3989,3989,2971,2971,3120,3120,6302,6302,28862,28862,9475,9475,3499,3499,3958,3958,4474,4474,2890,2890,1659,1659,5353,5353,2409,2409,6158,6158
5,4978,4978,29737,29737,27742,27742,10668,10668,12994,12994,16152,16152,24566,24566,16682,16682,14695,14695,28116,28116,10821,10821,17565,17565,10648,10648,47490,47490,19462,19462,34263,34263,24297,24297,25061,25061,32822,32822,41439,41439,17296,17296,21927,21927,21177,21177,9069,9069,42131,42131,20378,20378,19704,19704,17460,17460,18276,18276,14217,14217,23745,23745,29099,29099,1970,1970,2721,2721,34768,34768,15172,15172,10298,10298,30775,30775,18397,18397,11156,11156,18141,18141,38581,38581,10924,10924,7943,7943,5817,5817,9812,9812,8234,8234,12105,12105,5381,5381,16985,16985,2235,2235,12566,12566,23354,23354,18655,18655,11880,11880,10457,10457,18021,18021,20869,20869,10092,10092,9508,9508,11206,11206,15821,15821,11154,11154,35845,35845,19938,19938,19925,19925,4180,4180,2552,2552,9141,9141,2630,2630,23034,23034,10624,10624,11494,11494,9979,9979,15807,15807,2700,2700,17563,17563,3827,3827,2971,2971,3005,3005,6267,6267,27353,27353,9121,9121,3451,3451,4051,4051,4718,4718,2695,2695,1753,1753,5223,5223,2248,2248,6239,6239
6,5319,5319,30453,30453,27611,27611,10873,10873,12789,12789,16234,16234,25149,25149,17267,17267,14759,14759,28311,28311,10803,10803,17389,17389,10706,10706,46845,46845,19520,19520,33972,33972,24849,24849,25806,25806,33277,33277,39434,39434,16784,16784,20918,20918,21925,21925,9283,9283,42111,42111,20276,20276,19544,19544,18554,18554,18546,18546,13486,13486,24516,24516,30161,30161,2111,2111,2495,2495,34761,34761,15110,15110,10513,10513,31190,31190,18156,18156,10904,10904,18276,18276,39104,39104,10973,10973,7909,7909,5993,5993,9940,9940,8461,8461,12186,12186,5233,5233,17166,17166,2300,2300,12427,12427,21932,21932,18876,18876,11549,11549,10601,10601,18033,18033,20932,20932,9984,9984,9380,9380,11012,11012,16004,16004,11157,11157,35996,35996,20133,20133,19980,19980,4093,4093,2784,2784,9031,9031,2800,2800,23906,23906,10736,10736,11015,11015,9685,9685,16230,16230,2591,2591,17031,17031,3827,3827,3076,3076,2825,2825,6438,6438,25869,25869,8792,8792,3251,3251,3805,3805,4466,4466,2723,2723,1728,1728,5012,5012,2394,2394,5477,5477
7,5156,5156,30350,30350,27729,27729,11162,11162,13072,13072,16390,16390,24890,24890,18420,18420,14849,14849,27484,27484,10899,10899,17794,17794,11065,11065,46373,46373,18933,18933,35632,35632,24933,24933,25759,25759,33190,33190,38545,38545,17336,17336,21715,21715,21992,21992,9663,9663,42107,42107,20923,20923,19764,19764,18051,18051,18551,18551,13385,13385,24218,24218,29522,29522,1868,1868,2720,2720,34332,34332,15575,15575,10793,10793,30784,30784,18846,18846,11122,11122,17908,17908,39313,39313,10594,10594,8019,8019,5841,5841,9755,9755,8041,8041,12413,12413,5053,5053,16436,16436,2348,2348,12439,12439,21767,21767,19471,19471,11490,11490,10091,10091,17513,17513,20916,20916,10366,10366,9456,9456,10795,10795,16347,16347,11059,11059,36627,36627,20538,20538,19855,19855,4376,4376,2980,2980,9044,9044,2687,2687,23379,23379,11033,11033,10992,10992,9623,9623,16471,16471,2931,2931,17775,17775,3773,3773,2822,2822,2940,2940,6085,6085,25291,25291,8769,8769,3238,3238,3589,3589,4443,4443,2777,2777,1673,1673,5067,5067,2266,2266,5745,5745
8,5509,5509,31555,31555,28391,28391,12567,12567,13603,13603,16589,16589,26402,26402,19969,19969,14527,14527,28211,28211,11023,11023,17393,17393,10530,10530,45179,45179,18741,18741,35792,35792,24818,24818,25214,25214,32594,32594,36023,36023,17023,17023,23250,23250,22121,22121,9641,9641,42008,42008,21896,21896,19733,19733,17792,17792,18496,18496,13432,13432,24233,24233,30293,30293,1982,1982,2525,2525,34399,34399,14692,14692,10416,10416,30202,30202,19296,19296,10915,10915,18093,18093,38566,38566,10955,10955,8091,8091,5930,5930,9165,9165,8129,8129,12266,12266,5067,5067,16322,16322,2265,2265,12759,12759,21483,21483,19161,19161,11746,11746,10524,10524,17370,17370,20329,20329,10247,10247,9570,9570,11078,11078,16066,16066,10817,10817,36754,36754,19893,19893,20104,20104,4207,4207,2809,2809,9077,9077,2549,2549,23298,23298,10920,10920,11078,11078,9796,9796,16526,16526,2809,2809,17324,17324,3652,3652,2950,2950,2934,2934,6284,6284,24343,24343,8459,8459,3165,3165,3685,3685,4648,4648,2439,2439,1751,1751,4993,4993,2359,2359,6045,6045
9,5079,5079,31605,31605,28324,28324,13954,13954,13566,13566,17039,17039,28406,28406,22547,22547,15068,15068,29305,29305,10953,10953,17931,17931,10859,10859,47798,47798,19730,19730,36114,36114,24723,24723,25925,25925,32997,32997,34601,34601,17497,17497,22369,22369,21626,21626,9623,9623,43191,43191,21989,21989,20176,20176,17017,17017,19336,19336,13291,13291,24250,24250,31167,31167,1998,1998,2843,2843,35133,35133,15138,15138,10780,10780,30765,30765,20207,20207,11424,11424,18514,18514,38398,38398,10775,10775,8578,8578,5994,5994,9653,9653,8376,8376,12448,12448,5009,5009,16427,16427,2294,2294,12507,12507,21845,21845,18443,18443,11721,11721,10657,10657,17466,17466,20326,20326,10095,10095,9944,9944,10772,10772,16074,16074,10831,10831,35161,35161,20037,20037,19974,19974,4176,4176,3016,3016,9028,9028,2554,2554,23395,23395,11020,11020,11151,11151,9661,9661,16662,16662,2770,2770,17528,17528,3627,3627,2849,2849,2937,2937,6534,6534,24868,24868,9096,9096,3143,3143,3685,3685,4305,4305,2655,2655,1720,1720,5046,5046,2326,2326,5377,5377
10,5508,5508,31832,31832,28876,28876,14110,14110,14224,14224,17329,17329,28938,28938,23598,23598,15540,15540,28524,28524,10972,10972,17863,17863,10667,10667,48079,48079,19655,19655,37297,37297,25226,25226,26246,26246,32787,32787,33893,33893,17330,17330,22680,22680,21108,21108,10227,10227,43869,43869,22534,22534,19932,19932,17360,17360,20388,20388,13485,13485,24752,24752,32434,32434,1845,1845,2653,2653,35258,35258,15279,15279,10720,10720,31559,31559,21216,21216,11224,11224,18193,18193,38840,38840,10821,10821,8167,8167,6147,6147,9624,9624,8294,8294,12175,12175,4759,4759,15636,15636,2384,2384,12421,12421,21198,21198,19177,19177,11525,11525,10811,10811,16867,16867,21201,21201,10264,10264,9950,9950,10874,10874,15952,15952,11062,11062,36897,36897,20167,20167,20022,20022,4072,4072,2779,2779,9049,9049,2711,2711,23175,23175,10855,10855,11062,11062,9594,9594,16711,16711,2927,2927,17417,17417,3632,3632,3022,3022,2736,2736,6486,6486,24440,24440,8853,8853,3362,3362,3659,3659,4309,4309,2742,2742,1596,1596,4962,4962,2257,2257,5383,5383
