 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27
1,17786,17786,15291,15291,25979,25979,17006,17006,22785,22785,47777,47777,23530,23530,12753,12753,36090,36090,35625,35625,22277,22277,28532,28532,89723,89723,13437,13437,33943,33943,14143,14143,17936,17936,14576,14576,18580,18580,113448,113448,40927,40927,11409,11409,13471,13471,47816,47816,41647,41647,4273,4273,17097,17097
2,17489,17489,15320,15320,23095,23095,17105,17105,22554,22554,47664,47664,22644,22644,12883,12883,31145,31145,27131,27131,22031,22031,26819,26819,86437,86437,13910,13910,32538,32538,13441,13441,18331,18331,13980,13980,18295,18295,95614,95614,38676,38676,11937,11937,13792,13792,48018,48018,41963,41963,4116,4116,16786,16786
3,17746,17746,15503,15503,22788,22788,17265,17265,22845,22845,49171,49171,22675,22675,12836,12836,29068,29068,22417,22417,23527,23527,26600,26600,86368,86368,13939,13939,33389,33389,13278,13278,20305,20305,13734,13734,17795,17795,81991,81991,34192,34192,12169,12169,13510,13510,46966,46966,42253,42253,4323,4323,16701,16701
4,17205,17205,15730,15730,22662,22662,16530,16530,22869,22869,47511,47511,23672,23672,13023,13023,26704,26704,21279,21279,23115,23115,26293,26293,85968,85968,14644,14644,34622,34622,13038,13038,20361,20361,13363,13363,17666,17666,69736,69736,33539,33539,12036,12036,13963,13963,44899,44899,42067,42067,4241,4241,16816,16816
5,17787,17787,15531,15531,22030,22030,17068,17068,22804,22804,49128,49128,22611,22611,13113,13113,26198,26198,23669,23669,24591,24591,25836,25836,85281,85281,15002,15002,37086,37086,12939,12939,21323,21323,13139,13139,17895,17895,63505,63505,32548,32548,12018,12018,13654,13654,44818,44818,42620,42620,4304,4304,16820,16820
6,18151,18151,15776,15776,22316,22316,17777,17777,23285,23285,48910,48910,22357,22357,12704,12704,25239,25239,29799,29799,24840,24840,26102,26102,86133,86133,15696,15696,38739,38739,12583,12583,21650,21650,12554,12554,18049,18049,60018,60018,29444,29444,12269,12269,14208,14208,44949,44949,43995,43995,4274,4274,17081,17081
7,18322,18322,16054,16054,21629,21629,17197,17197,23174,23174,48803,48803,21588,21588,12876,12876,25707,25707,36687,36687,25607,25607,26344,26344,84555,84555,15427,15427,39097,39097,12421,12421,22239,22239,12666,12666,18331,18331,57528,57528,28979,28979,12550,12550,13783,13783,45000,45000,123371,123371,4222,4222,16614,16614
8,18078,18078,15641,15641,21873,21873,18005,18005,23086,23086,48783,48783,22173,22173,13078,13078,28559,28559,38956,38956,25643,25643,26668,26668,85489,85489,15808,15808,41522,41522,12190,12190,22509,22509,12407,12407,18271,18271,56315,56315,29098,29098,12357,12357,14019,14019,44612,44612,131109,131109,4358,4358,17355,17355
9,18622,18622,16156,16156,21793,21793,18112,18112,23466,23466,48588,48588,21145,21145,12983,12983,30255,30255,40255,40255,26470,26470,26119,26119,86046,86046,16069,16069,48332,48332,12277,12277,23669,23669,12506,12506,18031,18031,58766,58766,29140,29140,12612,12612,14023,14023,44793,44793,117789,117789,4507,4507,16950,16950
10,18774,18774,16423,16423,22216,22216,17819,17819,23449,23449,47764,47764,21535,21535,12968,12968,30363,30363,37839,37839,26179,26179,26009,26009,86295,86295,16413,16413,50100,50100,11978,11978,25818,25818,12199,12199,17737,17737,59149,59149,29888,29888,12404,12404,14347,14347,44814,44814,95028,95028,4306,4306,16534,16534
