 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31
1,1977,1977,6553,6553,19624,19624,8257,8257,71161,71161,44354,44354,16836,16836,13307,13307,75564,75564,50340,50340,26888,26888,27679,27679,39746,39746,60908,60908,22633,22633,55615,55615,16466,16466,26599,26599,10474,10474,39311,39311,36242,36242,79371,79371,2602,2602,47439,47439,23908,23908,823,823,3179,3179,9264,9264,3122,3122,11980,11980,5977,5977
2,2036,2036,6765,6765,17537,17537,8070,8070,69390,69390,43726,43726,15724,15724,12620,12620,75823,75823,45616,45616,25767,25767,26962,26962,35980,35980,58939,58939,22346,22346,53776,53776,15634,15634,25621,25621,10211,10211,38336,38336,35608,35608,77834,77834,2503,2503,46715,46715,23207,23207,697,697,3017,3017,9001,9001,3187,3187,11364,11364,6007,6007
3,1937,1937,7083,7083,14638,14638,8103,8103,68617,68617,43716,43716,14999,14999,11947,11947,75002,75002,43309,43309,25422,25422,26150,26150,34705,34705,58700,58700,21902,21902,52955,52955,15779,15779,26178,26178,10730,10730,36623,36623,35276,35276,77603,77603,2441,2441,45274,45274,22693,22693,811,811,3080,3080,9409,9409,3137,3137,10906,10906,5867,5867
4,1911,1911,7043,7043,13329,13329,7614,7614,68482,68482,45368,45368,14055,14055,11207,11207,74690,74690,41343,41343,25415,25415,25929,25929,34313,34313,58380,58380,22315,22315,51914,51914,15794,15794,25652,25652,11254,11254,36262,36262,35225,35225,78028,78028,2418,2418,45324,45324,21877,21877,766,766,3179,3179,8823,8823,2918,2918,11110,11110,6157,6157
5,1799,1799,6708,6708,11469,11469,7882,7882,67331,67331,44594,44594,14475,14475,11365,11365,74057,74057,41967,41967,25310,25310,27417,27417,33746,33746,57829,57829,22160,22160,50605,50605,14619,14619,25450,25450,11114,11114,37035,37035,37097,37097,77208,77208,2445,2445,45069,45069,22105,22105,810,810,3169,3169,8721,8721,3050,3050,11873,11873,6163,6163
6,1856,1856,6840,6840,10805,10805,7316,7316,67640,67640,45248,45248,13350,13350,11070,11070,77055,77055,40549,40549,25370,25370,27598,27598,32208,32208,55844,55844,22536,22536,52005,52005,14787,14787,26394,26394,11851,11851,37272,37272,37140,37140,80838,80838,2414,2414,46004,46004,21876,21876,757,757,2872,2872,9200,9200,2859,2859,11319,11319,6368,6368
7,1731,1731,7468,7468,9214,9214,7297,7297,67290,67290,46989,46989,14132,14132,10858,10858,77272,77272,39894,39894,25774,25774,27044,27044,31894,31894,54855,54855,23221,23221,50823,50823,15835,15835,26001,26001,11962,11962,37259,37259,38495,38495,81491,81491,2611,2611,46369,46369,22071,22071,707,707,2998,2998,8765,8765,2472,2472,11883,11883,6334,6334
8,1674,1674,7338,7338,10640,10640,7589,7589,65430,65430,47659,47659,13468,13468,10798,10798,78046,78046,42357,42357,26232,26232,27912,27912,31322,31322,54498,54498,22802,22802,49956,49956,15254,15254,23727,23727,12420,12420,37408,37408,38441,38441,82326,82326,2546,2546,48875,48875,21663,21663,730,730,2922,2922,8761,8761,2689,2689,11714,11714,6419,6419
9,1756,1756,7502,7502,9097,9097,7520,7520,66513,66513,49011,49011,12437,12437,10812,10812,80215,80215,41802,41802,26362,26362,28114,28114,29921,29921,53906,53906,22844,22844,49497,49497,15306,15306,20002,20002,11795,11795,42504,42504,39755,39755,83223,83223,2713,2713,52144,52144,21593,21593,791,791,3141,3141,8350,8350,2723,2723,11762,11762,6039,6039
10,1707,1707,7558,7558,9215,9215,7425,7425,63809,63809,49256,49256,13017,13017,10970,10970,80784,80784,43063,43063,26541,26541,27860,27860,29225,29225,51841,51841,23144,23144,48513,48513,16182,16182,17289,17289,12018,12018,47158,47158,39155,39155,83643,83643,2696,2696,56362,56362,21571,21571,773,773,2909,2909,8702,8702,2531,2531,11905,11905,6626,6626
11,1910,1910,10027,10027,9720,9720,7781,7781,64541,64541,49098,49098,11789,11789,10763,10763,79096,79096,40834,40834,26114,26114,26390,26390,29150,29150,51480,51480,22608,22608,51560,51560,15471,15471,19630,19630,11665,11665,45201,45201,46055,46055,86471,86471,2485,2485,60677,60677,21882,21882,686,686,2769,2769,8560,8560,2225,2225,11361,11361,6423,6423
12,1605,1605,9900,9900,9419,9419,8081,8081,64111,64111,52107,52107,11611,11611,11053,11053,83518,83518,35091,35091,25380,25380,26669,26669,26986,26986,53742,53742,23056,23056,52996,52996,14602,14602,19618,19618,12516,12516,39429,39429,46223,46223,89611,89611,2538,2538,58012,58012,22806,22806,647,647,2588,2588,7378,7378,2059,2059,11220,11220,6352,6352
13,1704,1704,9407,9407,9604,9604,8108,8108,64833,64833,54883,54883,11164,11164,10909,10909,84870,84870,35968,35968,26077,26077,25781,25781,27024,27024,53780,53780,23501,23501,53324,53324,15166,15166,18335,18335,12418,12418,39879,39879,45516,45516,89918,89918,2433,2433,58734,58734,23177,23177,575,575,2738,2738,7180,7180,2035,2035,11622,11622,6814,6814
14,1767,1767,9213,9213,9401,9401,7738,7738,63281,63281,54511,54511,11677,11677,10716,10716,85621,85621,38041,38041,26565,26565,26510,26510,26939,26939,52924,52924,22975,22975,51325,51325,15566,15566,18034,18034,11877,11877,38571,38571,44009,44009,89335,89335,2518,2518,56202,56202,22628,22628,765,765,2803,2803,6827,6827,1920,1920,11661,11661,6416,6416
15,1837,1837,8647,8647,9119,9119,7870,7870,63008,63008,53356,53356,11223,11223,10774,10774,85661,85661,37469,37469,26716,26716,26523,26523,26143,26143,52391,52391,22281,22281,50318,50318,16103,16103,17149,17149,12101,12101,38576,38576,43621,43621,87544,87544,2570,2570,53305,53305,22635,22635,783,783,2846,2846,7163,7163,2117,2117,12121,12121,6504,6504
16,1737,1737,8580,8580,8794,8794,7660,7660,60632,60632,53286,53286,11426,11426,11072,11072,85420,85420,38404,38404,27031,27031,26715,26715,26627,26627,51253,51253,21737,21737,49521,49521,16250,16250,16853,16853,12055,12055,37974,37974,41695,41695,87853,87853,2670,2670,49810,49810,21855,21855,696,696,2581,2581,7324,7324,2042,2042,12201,12201,6803,6803
17,1854,1854,8227,8227,9060,9060,7334,7334,60150,60150,53733,53733,11157,11157,11082,11082,86544,86544,38770,38770,27303,27303,27183,27183,25601,25601,50029,50029,21793,21793,48875,48875,16263,16263,15375,15375,12094,12094,38243,38243,40997,40997,86864,86864,2597,2597,48944,48944,22886,22886,719,719,2525,2525,7707,7707,1931,1931,12460,12460,6456,6456
18,1655,1655,8324,8324,8948,8948,7228,7228,59649,59649,58917,58917,10320,10320,11032,11032,87599,87599,38528,38528,27548,27548,27177,27177,25598,25598,49147,49147,20955,20955,48559,48559,16748,16748,15963,15963,11770,11770,38524,38524,40401,40401,86796,86796,2733,2733,50867,50867,22467,22467,684,684,2804,2804,7639,7639,1799,1799,12517,12517,6507,6507
19,1673,1673,8330,8330,9346,9346,7478,7478,57761,57761,54295,54295,11392,11392,10853,10853,86122,86122,39506,39506,26816,26816,29189,29189,25383,25383,49774,49774,20670,20670,46436,46436,16068,16068,15301,15301,12436,12436,38097,38097,40681,40681,87502,87502,2644,2644,54744,54744,21972,21972,747,747,2533,2533,7796,7796,1958,1958,12673,12673,6764,6764
20,1770,1770,7851,7851,9316,9316,7723,7723,57451,57451,76174,76174,11948,11948,10942,10942,85942,85942,40285,40285,26776,26776,29272,29272,26513,26513,48720,48720,19968,19968,46028,46028,15310,15310,17960,17960,12077,12077,37276,37276,42658,42658,91913,91913,2806,2806,60083,60083,22722,22722,716,716,2865,2865,7640,7640,1737,1737,12933,12933,6652,6652
21,1685,1685,7531,7531,19053,19053,7683,7683,56048,56048,70981,70981,11623,11623,11034,11034,86214,86214,40325,40325,27156,27156,27781,27781,38144,38144,48782,48782,19730,19730,47760,47760,15952,15952,22011,22011,12351,12351,36218,36218,48121,48121,102419,102419,2806,2806,56176,56176,22815,22815,643,643,2768,2768,7618,7618,2004,2004,12723,12723,6554,6554
22,1763,1763,7764,7764,30641,30641,7414,7414,55304,55304,67331,67331,11370,11370,10911,10911,85743,85743,39782,39782,27589,27589,27882,27882,39161,39161,49076,49076,19715,19715,47335,47335,16088,16088,28304,28304,12533,12533,41597,41597,57828,57828,142846,142846,2772,2772,54831,54831,23406,23406,681,681,2763,2763,7738,7738,1820,1820,12450,12450,6709,6709
23,1799,1799,7597,7597,30554,30554,7476,7476,54191,54191,64567,64567,11349,11349,11255,11255,85641,85641,39814,39814,26772,26772,28038,28038,33456,33456,48034,48034,19514,19514,47183,47183,16076,16076,28983,28983,12157,12157,43009,43009,91758,91758,149778,149778,2826,2826,55012,55012,51475,51475,655,655,2802,2802,7533,7533,1814,1814,12844,12844,6704,6704
24,1697,1697,7628,7628,25102,25102,7591,7591,53624,53624,60648,60648,10875,10875,11376,11376,85072,85072,39919,39919,26776,26776,28023,28023,30642,30642,47856,47856,19569,19569,46562,46562,16604,16604,31648,31648,12350,12350,41672,41672,101255,101255,152568,152568,2945,2945,55266,55266,62226,62226,667,667,2786,2786,7701,7701,1767,1767,12414,12414,6427,6427
25,1785,1785,7797,7797,21527,21527,7574,7574,52252,52252,57376,57376,12062,12062,12262,12262,83127,83127,39867,39867,26914,26914,28093,28093,29391,29391,46044,46044,18953,18953,47142,47142,16188,16188,29903,29903,11709,11709,41850,41850,95367,95367,142762,142762,2724,2724,55381,55381,53564,53564,740,740,2706,2706,7169,7169,1703,1703,12709,12709,6656,6656
