 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48
1,17647,17647,19402,19402,28844,28844,46761,46761,44603,44603,24294,24294,19129,19129,20147,20147,46298,46298,12867,12867,32941,32941,22892,22892,24949,24949,51447,51447,30041,30041,35583,35583,20858,20858,15859,15859,29797,29797,153878,153878,20553,20553,42632,42632,83287,83287,68232,68232,116242,116242,51271,51271,98541,98541,79493,79493,31679,31679,60108,60108,53828,53828,60288,60288,25860,25860,20335,20335,56770,56770,18283,18283,34682,34682,23327,23327,93082,93082,283,283,134,134,105,105,77,77,25,25,102,102,29,29,22510,22510,32841,32841
2,17768,17768,19831,19831,28637,28637,46927,46927,45561,45561,24196,24196,18918,18918,21306,21306,45487,45487,12900,12900,34203,34203,21809,21809,24857,24857,50824,50824,29489,29489,35873,35873,20676,20676,15629,15629,30626,30626,150734,150734,20009,20009,42690,42690,81889,81889,68900,68900,118277,118277,53808,53808,98057,98057,82252,82252,31434,31434,60560,60560,55608,55608,61262,61262,25710,25710,20787,20787,59874,59874,18659,18659,35017,35017,23507,23507,92984,92984,291,291,168,168,79,79,71,71,36,36,107,107,43,43,23186,23186,34012,34012
3,17998,17998,20839,20839,28668,28668,47121,47121,47235,47235,24501,24501,19115,19115,21515,21515,46528,46528,12927,12927,35943,35943,21997,21997,25388,25388,52058,52058,30669,30669,36018,36018,20507,20507,15759,15759,30935,30935,151231,151231,20690,20690,43169,43169,82039,82039,68268,68268,117170,117170,53219,53219,100040,100040,83426,83426,32717,32717,62139,62139,55550,55550,60797,60797,26134,26134,21700,21700,60806,60806,18923,18923,35282,35282,23404,23404,93573,93573,272,272,170,170,166,166,99,99,45,45,138,138,21,21,23602,23602,34718,34718
4,18045,18045,21512,21512,28439,28439,47230,47230,49967,49967,24709,24709,19553,19553,21574,21574,46403,46403,13347,13347,39506,39506,21605,21605,25972,25972,52800,52800,31564,31564,35308,35308,20745,20745,16054,16054,30539,30539,151417,151417,20773,20773,43613,43613,83577,83577,67921,67921,116189,116189,52513,52513,99596,99596,84457,84457,32073,32073,64945,64945,56677,56677,60758,60758,26492,26492,22360,22360,61311,61311,18992,18992,35362,35362,23632,23632,95947,95947,356,356,193,193,130,130,122,122,51,51,152,152,26,26,23990,23990,35982,35982
5,18203,18203,21103,21103,29411,29411,47074,47074,51763,51763,25030,25030,20311,20311,20432,20432,43236,43236,13030,13030,41282,41282,19713,19713,25813,25813,51192,51192,31946,31946,34951,34951,20301,20301,16819,16819,30633,30633,145549,145549,19979,19979,42597,42597,84298,84298,68944,68944,113879,113879,57267,57267,98892,98892,83676,83676,32629,32629,62800,62800,60726,60726,59137,59137,26121,26121,22824,22824,62406,62406,18660,18660,35611,35611,23691,23691,92890,92890,361,361,151,151,133,133,111,111,28,28,157,157,32,32,24946,24946,37657,37657
6,17679,17679,21350,21350,29303,29303,46528,46528,56323,56323,25082,25082,20150,20150,21101,21101,43859,43859,13325,13325,44876,44876,19526,19526,26824,26824,51255,51255,34451,34451,34488,34488,21062,21062,16375,16375,31041,31041,142174,142174,20087,20087,43494,43494,85897,85897,69711,69711,113436,113436,56234,56234,98314,98314,85467,85467,33331,33331,64196,64196,60514,60514,58413,58413,26641,26641,23172,23172,63161,63161,19239,19239,36077,36077,24068,24068,94325,94325,322,322,156,156,111,111,132,132,39,39,158,158,52,52,26695,26695,37864,37864
7,18297,18297,22106,22106,29200,29200,47164,47164,60652,60652,25359,25359,20700,20700,21531,21531,43683,43683,13332,13332,47793,47793,19102,19102,28566,28566,52959,52959,37267,37267,33621,33621,20995,20995,17411,17411,31266,31266,140649,140649,19878,19878,43281,43281,85376,85376,69657,69657,110631,110631,56495,56495,101253,101253,86301,86301,33859,33859,65397,65397,61074,61074,57205,57205,26860,26860,23464,23464,64046,64046,18855,18855,36204,36204,23778,23778,95780,95780,355,355,188,188,122,122,110,110,62,62,133,133,58,58,27792,27792,38576,38576
8,18093,18093,21276,21276,29609,29609,47265,47265,64475,64475,25952,25952,19939,19939,20872,20872,43777,43777,13558,13558,50556,50556,17921,17921,29075,29075,53015,53015,43219,43219,33292,33292,20354,20354,17212,17212,30942,30942,138143,138143,20237,20237,42938,42938,85424,85424,69238,69238,110778,110778,56426,56426,98720,98720,85569,85569,34008,34008,65931,65931,61463,61463,56078,56078,27000,27000,24462,24462,63666,63666,19155,19155,36901,36901,23747,23747,95145,95145,391,391,170,170,154,154,132,132,52,52,161,161,42,42,28186,28186,40525,40525
9,18135,18135,21465,21465,29331,29331,47119,47119,68307,68307,25768,25768,20648,20648,21889,21889,42897,42897,13016,13016,54365,54365,17725,17725,29537,29537,52808,52808,48421,48421,33081,33081,21003,21003,18163,18163,31206,31206,136757,136757,20657,20657,42656,42656,86734,86734,69633,69633,111705,111705,57928,57928,99015,99015,84925,84925,34376,34376,65411,65411,62756,62756,54502,54502,27844,27844,23864,23864,64466,64466,19512,19512,36779,36779,23984,23984,94137,94137,372,372,216,216,127,127,130,130,44,44,135,135,39,39,27650,27650,39933,39933
10,17974,17974,20782,20782,29855,29855,46591,46591,71036,71036,25670,25670,20716,20716,21550,21550,43655,43655,13387,13387,57359,57359,17393,17393,30985,30985,53350,53350,56908,56908,33349,33349,20555,20555,17523,17523,31806,31806,136918,136918,20406,20406,42215,42215,87862,87862,70379,70379,112013,112013,58455,58455,99152,99152,86778,86778,34830,34830,66500,66500,61655,61655,53735,53735,27226,27226,24375,24375,64249,64249,19125,19125,36453,36453,24333,24333,94817,94817,429,429,226,226,150,150,147,147,58,58,156,156,53,53,27367,27367,40383,40383
