 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88
1,13978,13978,19982,19982,22502,22502,24127,24127,8636,8636,17834,17834,28325,28325,23181,23181,51829,51829,18494,18494,18612,18612,6629,6629,11407,11407,21536,21536,18084,18084,49494,49494,10504,10504,18678,18678,13959,13959,14221,14221,51121,51121,41831,41831,15019,15019,51733,51733,6676,6676,35445,35445,25425,25425,27270,27270,17702,17702,5911,5911,25407,25407,59106,59106,10537,10537,23312,23312,41997,41997,19461,19461,35557,35557,12797,12797,28583,28583,59695,59695,74264,74264,29071,29071,27572,27572,119223,119223,13122,13122,15920,15920,21504,21504,22436,22436,91393,91393,20553,20553,25728,25728,59528,59528,20673,20673,3781,3781,30125,30125,30253,30253,10467,10467,30306,30306,21205,21205,36385,36385,58968,58968,22972,22972,56861,56861,35327,35327,64448,64448,18431,18431,54588,54588,42434,42434,15772,15772,24136,24136,39946,39946,29855,29855,31028,31028,27744,27744,8870,8870,34730,34730,6849,6849,25706,25706,44653,44653,12566,12566,4274,4274,12069,12069,13698,13698,16690,16690,18376,18376,11002,11002,33281,33281,11382,11382
2,14158,14158,20339,20339,22435,22435,24091,24091,8493,8493,17391,17391,28012,28012,22523,22523,53896,53896,18507,18507,19158,19158,6640,6640,11258,11258,21719,21719,18601,18601,48693,48693,11198,11198,18979,18979,13343,13343,13943,13943,50498,50498,35734,35734,14774,14774,49293,49293,5862,5862,37393,37393,24517,24517,24409,24409,18697,18697,5966,5966,26924,26924,58685,58685,10886,10886,23176,23176,39706,39706,18928,18928,36226,36226,11746,11746,28011,28011,59636,59636,74919,74919,29951,29951,23797,23797,111121,111121,12934,12934,16007,16007,21708,21708,21127,21127,90104,90104,19520,19520,25848,25848,60342,60342,23078,23078,4020,4020,30455,30455,28200,28200,10641,10641,28326,28326,21623,21623,37120,37120,58876,58876,23525,23525,55588,55588,36117,36117,64260,64260,17805,17805,54431,54431,41548,41548,15493,15493,23732,23732,39202,39202,29324,29324,31071,31071,28674,28674,9143,9143,34454,34454,7427,7427,25828,25828,44972,44972,12426,12426,4716,4716,13256,13256,14023,14023,16780,16780,18781,18781,11332,11332,33038,33038,12282,12282
3,13605,13605,19668,19668,22124,22124,24196,24196,8251,8251,16891,16891,27386,27386,22011,22011,54245,54245,18182,18182,19344,19344,6513,6513,11420,11420,22790,22790,19008,19008,48800,48800,11036,11036,18514,18514,13396,13396,14422,14422,50072,50072,33550,33550,15217,15217,47084,47084,4815,4815,40879,40879,25771,25771,21084,21084,21736,21736,6106,6106,27208,27208,58045,58045,10675,10675,23799,23799,37379,37379,19406,19406,36055,36055,12035,12035,27895,27895,59959,59959,79518,79518,30769,30769,22165,22165,107595,107595,13514,13514,16146,16146,21379,21379,21155,21155,89473,89473,19646,19646,25341,25341,60543,60543,26056,26056,4142,4142,31868,31868,24299,24299,10983,10983,26189,26189,21500,21500,37086,37086,59516,59516,23496,23496,54166,54166,36683,36683,60196,60196,17626,17626,55416,55416,40681,40681,15671,15671,23850,23850,39585,39585,28868,28868,30767,30767,28257,28257,9009,9009,34526,34526,7479,7479,27476,27476,44693,44693,12275,12275,5022,5022,13617,13617,14337,14337,17034,17034,19502,19502,11974,11974,32949,32949,12287,12287
4,13272,13272,19457,19457,22572,22572,24297,24297,9184,9184,16732,16732,27070,27070,21789,21789,57969,57969,17108,17108,20109,20109,6706,6706,11462,11462,22549,22549,18731,18731,46656,46656,11779,11779,19163,19163,13287,13287,14991,14991,50587,50587,32948,32948,15193,15193,45478,45478,4135,4135,45001,45001,26295,26295,19771,19771,22588,22588,5864,5864,28880,28880,57798,57798,11481,11481,23305,23305,36426,36426,19659,19659,36485,36485,11461,11461,27624,27624,59279,59279,79821,79821,32120,32120,21129,21129,105448,105448,13556,13556,16934,16934,21609,21609,21574,21574,86355,86355,19638,19638,24725,24725,62173,62173,26677,26677,4219,4219,31193,31193,23433,23433,11014,11014,25105,25105,21953,21953,37182,37182,59897,59897,24147,24147,54348,54348,36520,36520,57361,57361,17767,17767,54330,54330,40673,40673,15496,15496,23998,23998,38884,38884,28514,28514,30474,30474,27875,27875,9146,9146,34649,34649,7479,7479,27693,27693,45617,45617,12574,12574,5090,5090,14405,14405,14775,14775,17326,17326,20123,20123,12457,12457,33241,33241,12104,12104
5,13571,13571,18837,18837,22325,22325,23649,23649,9088,9088,16865,16865,26968,26968,21213,21213,63941,63941,17250,17250,21366,21366,6762,6762,11360,11360,23214,23214,19418,19418,46759,46759,12408,12408,19674,19674,13804,13804,14720,14720,51784,51784,32060,32060,14932,14932,44440,44440,3873,3873,48948,48948,26685,26685,19339,19339,23229,23229,5967,5967,28922,28922,57539,57539,11273,11273,23497,23497,36094,36094,18838,18838,35460,35460,11142,11142,27477,27477,59076,59076,83488,83488,32744,32744,20628,20628,105463,105463,13943,13943,16562,16562,21622,21622,21276,21276,86189,86189,19679,19679,25375,25375,62400,62400,27503,27503,4285,4285,31467,31467,21993,21993,11309,11309,25270,25270,22224,22224,37671,37671,59852,59852,24615,24615,58555,58555,37643,37643,55996,55996,17587,17587,53424,53424,40393,40393,15830,15830,24705,24705,39463,39463,28088,28088,30341,30341,27873,27873,9121,9121,35673,35673,7316,7316,28409,28409,46332,46332,12828,12828,5439,5439,15130,15130,15065,15065,17889,17889,21081,21081,13553,13553,33778,33778,11486,11486
6,13165,13165,19294,19294,22371,22371,23646,23646,9069,9069,16292,16292,27357,27357,21420,21420,64337,64337,17041,17041,21332,21332,6583,6583,11633,11633,23756,23756,19268,19268,45797,45797,13638,13638,21939,21939,13754,13754,15439,15439,52660,52660,30874,30874,15310,15310,43928,43928,4238,4238,49834,49834,27042,27042,19312,19312,23099,23099,5769,5769,29110,29110,57597,57597,11512,11512,24511,24511,35147,35147,19310,19310,35752,35752,11569,11569,27628,27628,60335,60335,85708,85708,34135,34135,19762,19762,109878,109878,14444,14444,16803,16803,21584,21584,21666,21666,84452,84452,19278,19278,25190,25190,62039,62039,27482,27482,4459,4459,30388,30388,21211,21211,11618,11618,25882,25882,21917,21917,38830,38830,59677,59677,25159,25159,59510,59510,37895,37895,57421,57421,18518,18518,54535,54535,41272,41272,15888,15888,24535,24535,40920,40920,28143,28143,29802,29802,27508,27508,9313,9313,35253,35253,7280,7280,29486,29486,46498,46498,12036,12036,5655,5655,15390,15390,15947,15947,17880,17880,21680,21680,13423,13423,35265,35265,10704,10704
7,13541,13541,19027,19027,22028,22028,24503,24503,9551,9551,16935,16935,27858,27858,21574,21574,64215,64215,16994,16994,22002,22002,6583,6583,11555,11555,25327,25327,19431,19431,44328,44328,14754,14754,24284,24284,13440,13440,15327,15327,54759,54759,28798,28798,16042,16042,43961,43961,3978,3978,49766,49766,26510,26510,19848,19848,22590,22590,6244,6244,29527,29527,57540,57540,12397,12397,24819,24819,33973,33973,19444,19444,35546,35546,11264,11264,28009,28009,61252,61252,94202,94202,36925,36925,20212,20212,123044,123044,14473,14473,16622,16622,22116,22116,21085,21085,85284,85284,19592,19592,25487,25487,62674,62674,28579,28579,4771,4771,30237,30237,20373,20373,12075,12075,27297,27297,22379,22379,39576,39576,61096,61096,24583,24583,60501,60501,38256,38256,57058,57058,18677,18677,54718,54718,40600,40600,16046,16046,24189,24189,42043,42043,28648,28648,29428,29428,26982,26982,9399,9399,35119,35119,7376,7376,29823,29823,47090,47090,12856,12856,6119,6119,16494,16494,15765,15765,18338,18338,21959,21959,13766,13766,37333,37333,9256,9256
8,13056,13056,19110,19110,21756,21756,24240,24240,9427,9427,16257,16257,27594,27594,20561,20561,63248,63248,17199,17199,22989,22989,6929,6929,11928,11928,26471,26471,19261,19261,43878,43878,15800,15800,26404,26404,14549,14549,15630,15630,54909,54909,26960,26960,16121,16121,43180,43180,4278,4278,50488,50488,27618,27618,21189,21189,23336,23336,6318,6318,29762,29762,57847,57847,12852,12852,24812,24812,33600,33600,19644,19644,35881,35881,10885,10885,27650,27650,62313,62313,97638,97638,37585,37585,19994,19994,126790,126790,14281,14281,16826,16826,22481,22481,20781,20781,82851,82851,19217,19217,25630,25630,64734,64734,28168,28168,4637,4637,29973,29973,20216,20216,12179,12179,28036,28036,22651,22651,39129,39129,61602,61602,25551,25551,60588,60588,38565,38565,58573,58573,18368,18368,53732,53732,41542,41542,16172,16172,25067,25067,42013,42013,28157,28157,28547,28547,27267,27267,9226,9226,35692,35692,7409,7409,30444,30444,48016,48016,12547,12547,5891,5891,16564,16564,16067,16067,19002,19002,22650,22650,13989,13989,37941,37941,8918,8918
9,13651,13651,19061,19061,21617,21617,24716,24716,9684,9684,16769,16769,28102,28102,20966,20966,63553,63553,17130,17130,24337,24337,6796,6796,11722,11722,27470,27470,19487,19487,42781,42781,16360,16360,28018,28018,13443,13443,15862,15862,55288,55288,26333,26333,16077,16077,43089,43089,4832,4832,50580,50580,27676,27676,22464,22464,23648,23648,6203,6203,29907,29907,58444,58444,12453,12453,24876,24876,32926,32926,19773,19773,35975,35975,10843,10843,28329,28329,63181,63181,104220,104220,37901,37901,20309,20309,126867,126867,14499,14499,16642,16642,22679,22679,21459,21459,83481,83481,19581,19581,25349,25349,65965,65965,28491,28491,4958,4958,30042,30042,20272,20272,12485,12485,28808,28808,22485,22485,40293,40293,61032,61032,25612,25612,58263,58263,39048,39048,58920,58920,18874,18874,54752,54752,40973,40973,16389,16389,25127,25127,42512,42512,28685,28685,28320,28320,27454,27454,9147,9147,36174,36174,7849,7849,30559,30559,47740,47740,13075,13075,6395,6395,16874,16874,16490,16490,18523,18523,23185,23185,14391,14391,39314,39314,8991,8991
10,13794,13794,18819,18819,21447,21447,24548,24548,9947,9947,16230,16230,28106,28106,20984,20984,62672,62672,17561,17561,28067,28067,6750,6750,11920,11920,29270,29270,19973,19973,42781,42781,16760,16760,30154,30154,13045,13045,16223,16223,56175,56175,26007,26007,16122,16122,44061,44061,5260,5260,50829,50829,28058,28058,23127,23127,23082,23082,6567,6567,29464,29464,58498,58498,13280,13280,26249,26249,32631,32631,19505,19505,35973,35973,11071,11071,28801,28801,64325,64325,109898,109898,38149,38149,19973,19973,126428,126428,14685,14685,17390,17390,23797,23797,21680,21680,82105,82105,19307,19307,25970,25970,66100,66100,28310,28310,4917,4917,29615,29615,20139,20139,12730,12730,29619,29619,22829,22829,40134,40134,61465,61465,25390,25390,56363,56363,39542,39542,59661,59661,19042,19042,54206,54206,41857,41857,16854,16854,25654,25654,43447,43447,28652,28652,27629,27629,27254,27254,9733,9733,36337,36337,7708,7708,30825,30825,49625,49625,13210,13210,6804,6804,17240,17240,16849,16849,18914,18914,23375,23375,14538,14538,37929,37929,9110,9110
