 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21
1,16715,16715,10895,10895,19407,19407,14880,14880,12438,12438,22595,22595,51118,51118,41334,41334,47943,47943,77838,77838,113999,113999,35643,35643,28976,28976,9681,9681,31841,31841,35089,35089,11264,11264,28037,28037,45097,45097,15374,15374,31047,31047
2,17092,17092,10895,10895,18621,18621,15173,15173,12596,12596,22793,22793,50626,50626,40806,40806,46515,46515,75943,75943,110068,110068,35650,35650,27607,27607,9802,9802,31072,31072,32762,32762,11072,11072,27501,27501,43954,43954,15028,15028,30773,30773
3,17049,17049,11288,11288,17545,17545,15419,15419,12751,12751,22826,22826,49754,49754,42518,42518,45967,45967,76129,76129,111244,111244,36200,36200,27236,27236,10234,10234,30704,30704,33014,33014,11085,11085,26982,26982,43852,43852,14734,14734,29256,29256
4,17789,17789,11534,11534,17321,17321,16158,16158,12816,12816,23037,23037,50645,50645,42653,42653,48789,48789,73816,73816,108407,108407,35748,35748,27091,27091,10330,10330,31256,31256,32024,32024,11128,11128,26574,26574,43521,43521,14358,14358,29730,29730
5,18013,18013,11913,11913,16835,16835,15726,15726,12912,12912,23922,23922,51282,51282,43386,43386,46752,46752,74431,74431,107789,107789,36579,36579,26316,26316,10436,10436,31601,31601,32197,32197,10874,10874,27360,27360,44345,44345,14752,14752,31079,31079
6,18703,18703,11781,11781,16803,16803,16838,16838,13507,13507,24096,24096,52005,52005,43953,43953,47770,47770,74841,74841,108912,108912,35646,35646,26841,26841,10339,10339,31758,31758,32613,32613,11761,11761,27148,27148,44465,44465,14869,14869,31231,31231
7,19430,19430,11982,11982,17085,17085,16275,16275,13496,13496,24635,24635,52750,52750,44056,44056,47204,47204,76032,76032,114139,114139,36139,36139,26557,26557,10504,10504,32810,32810,30706,30706,11279,11279,27982,27982,43436,43436,15280,15280,31907,31907
8,19019,19019,12296,12296,16781,16781,16798,16798,13348,13348,25279,25279,52083,52083,45419,45419,47277,47277,76150,76150,115968,115968,35660,35660,26946,26946,10402,10402,31945,31945,31125,31125,10664,10664,27786,27786,43257,43257,15269,15269,32541,32541
9,19943,19943,12651,12651,16332,16332,17152,17152,13285,13285,25740,25740,54058,54058,44933,44933,48210,48210,73044,73044,115914,115914,36798,36798,27076,27076,10737,10737,32153,32153,31888,31888,11241,11241,27855,27855,43444,43444,15695,15695,33749,33749
10,19521,19521,12451,12451,15795,15795,17342,17342,13688,13688,26013,26013,55069,55069,45344,45344,46868,46868,76091,76091,114766,114766,36627,36627,26910,26910,10656,10656,32692,32692,31290,31290,11410,11410,28270,28270,43362,43362,15987,15987,34635,34635
11,18883,18883,11692,11692,15294,15294,16842,16842,13217,13217,25334,25334,53364,53364,42528,42528,44114,44114,79585,79585,109013,109013,37140,37140,29301,29301,10261,10261,30656,30656,32726,32726,13292,13292,28209,28209,47533,47533,15791,15791,36648,36648
12,19587,19587,12183,12183,14447,14447,16565,16565,12401,12401,23625,23625,50365,50365,42109,42109,46105,46105,75400,75400,107386,107386,35795,35795,29502,29502,9626,9626,30040,30040,31941,31941,13133,13133,29462,29462,46938,46938,15731,15731,37096,37096
13,20068,20068,12197,12197,14736,14736,16545,16545,12826,12826,23418,23418,50549,50549,42090,42090,46212,46212,74965,74965,104640,104640,36304,36304,29392,29392,10072,10072,29968,29968,31709,31709,12695,12695,29757,29757,46758,46758,15804,15804,36718,36718
14,20274,20274,12616,12616,14994,14994,16848,16848,12929,12929,24213,24213,51223,51223,42369,42369,46004,46004,73564,73564,103301,103301,35523,35523,29337,29337,9968,9968,30407,30407,30728,30728,12316,12316,28954,28954,45530,45530,15236,15236,36534,36534
15,19971,19971,12765,12765,14336,14336,17454,17454,12865,12865,24664,24664,51342,51342,41636,41636,42308,42308,74266,74266,102172,102172,36179,36179,28611,28611,9714,9714,29857,29857,30911,30911,12138,12138,29311,29311,44854,44854,15645,15645,36694,36694
16,19891,19891,13373,13373,15098,15098,16932,16932,13373,13373,24841,24841,52691,52691,42642,42642,42929,42929,70513,70513,101869,101869,37176,37176,29882,29882,9892,9892,30523,30523,31305,31305,11424,11424,29366,29366,45008,45008,15705,15705,37195,37195
17,19797,19797,12515,12515,15160,15160,17145,17145,13765,13765,25808,25808,54083,54083,41912,41912,39989,39989,71394,71394,101375,101375,36761,36761,29387,29387,10188,10188,31014,31014,29627,29627,11675,11675,29903,29903,44714,44714,15828,15828,36910,36910
18,20521,20521,12548,12548,15976,15976,17083,17083,13965,13965,25638,25638,54834,54834,41888,41888,38969,38969,68633,68633,104408,104408,36833,36833,29562,29562,10134,10134,30719,30719,30430,30430,11692,11692,30391,30391,45155,45155,16505,16505,38769,38769
19,21144,21144,12774,12774,15388,15388,17515,17515,14491,14491,26406,26406,55460,55460,43498,43498,39314,39314,67208,67208,105764,105764,37453,37453,29390,29390,10607,10607,31649,31649,30850,30850,11492,11492,30424,30424,44805,44805,16339,16339,39547,39547
20,21163,21163,13259,13259,15980,15980,17713,17713,14145,14145,27804,27804,55310,55310,43581,43581,36167,36167,64475,64475,107204,107204,36995,36995,28914,28914,10941,10941,31454,31454,30662,30662,11444,11444,30171,30171,45303,45303,15629,15629,38851,38851
21,21498,21498,13163,13163,15921,15921,18106,18106,14601,14601,26270,26270,56567,56567,43265,43265,35548,35548,62393,62393,104970,104970,37234,37234,28501,28501,10421,10421,31462,31462,30987,30987,11200,11200,29975,29975,45070,45070,16079,16079,38760,38760
22,21251,21251,13144,13144,16170,16170,17323,17323,14370,14370,28113,28113,57036,57036,44095,44095,32661,32661,61861,61861,105473,105473,37261,37261,26765,26765,10721,10721,31573,31573,31259,31259,11295,11295,30284,30284,44586,44586,16112,16112,38807,38807
23,20937,20937,13657,13657,16344,16344,18443,18443,14664,14664,26528,26528,56329,56329,44858,44858,31518,31518,60508,60508,101180,101180,36911,36911,26072,26072,10622,10622,31875,31875,30613,30613,11175,11175,30278,30278,43400,43400,15842,15842,38132,38132
24,21084,21084,13058,13058,16656,16656,18483,18483,15096,15096,26323,26323,55815,55815,44387,44387,31243,31243,57996,57996,100418,100418,36804,36804,24639,24639,10455,10455,31829,31829,29986,29986,11059,11059,29959,29959,43249,43249,16071,16071,36897,36897
25,21097,21097,27490,27490,16939,16939,18379,18379,14714,14714,27331,27331,57015,57015,44037,44037,30482,30482,57208,57208,102685,102685,37029,37029,23898,23898,10097,10097,31660,31660,30102,30102,11149,11149,29232,29232,43667,43667,16089,16089,37637,37637
26,21240,21240,27463,27463,17119,17119,18569,18569,14842,14842,29102,29102,56890,56890,44563,44563,30108,30108,56810,56810,111043,111043,37891,37891,23748,23748,10442,10442,32099,32099,30569,30569,11156,11156,30087,30087,42647,42647,15692,15692,37402,37402
27,21342,21342,25921,25921,17565,17565,18544,18544,15000,15000,28001,28001,56847,56847,44457,44457,29877,29877,57193,57193,102587,102587,37173,37173,23618,23618,10655,10655,32206,32206,30094,30094,11003,11003,30688,30688,43968,43968,16112,16112,38744,38744
28,21434,21434,23544,23544,17308,17308,18546,18546,15196,15196,28085,28085,57591,57591,44230,44230,28258,28258,55520,55520,108572,108572,38419,38419,23421,23421,10380,10380,31800,31800,30413,30413,10893,10893,29723,29723,43686,43686,16425,16425,41464,41464
29,21703,21703,20454,20454,17617,17617,18625,18625,14928,14928,30049,30049,56713,56713,44108,44108,27606,27606,56274,56274,110546,110546,38245,38245,23153,23153,10323,10323,32533,32533,30349,30349,10875,10875,29971,29971,43470,43470,16257,16257,73592,73592
30,21577,21577,17164,17164,17757,17757,18141,18141,15150,15150,34548,34548,58154,58154,43854,43854,26088,26088,55465,55465,123161,123161,39452,39452,22664,22664,10391,10391,31866,31866,29844,29844,11299,11299,29961,29961,43633,43633,16608,16608,98157,98157
31,20984,20984,15689,15689,17272,17272,18248,18248,15910,15910,33655,33655,59197,59197,43657,43657,25604,25604,54266,54266,150351,150351,42059,42059,22233,22233,10359,10359,31191,31191,29467,29467,11427,11427,30733,30733,47354,47354,16551,16551,96375,96375
