 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31
1,22578,22578,7260,7260,27973,27973,46139,46139,11116,11116,14410,14410,21240,21240,27955,27955,17897,17897,30739,30739,16619,16619,12882,12882,26389,26389,24828,24828,17689,17689,18967,18967,1128,1128,1090,1090,64,64,45,45,30110,30110,172,172,25267,25267,45730,45730,30427,30427,30427,30427,43286,43286,33860,33860,33141,33141,19879,19879,55039,55039
2,24542,24542,7724,7724,29511,29511,43013,43013,11239,11239,14439,14439,21630,21630,27798,27798,18530,18530,31048,31048,17386,17386,13143,13143,26999,26999,26212,26212,16806,16806,19288,19288,1287,1287,1160,1160,60,60,42,42,30132,30132,112,112,23995,23995,40731,40731,28017,28017,24404,24404,41830,41830,35425,35425,31089,31089,19524,19524,46129,46129
3,26135,26135,8070,8070,31793,31793,38274,38274,11344,11344,14716,14716,23325,23325,28608,28608,19102,19102,31767,31767,18653,18653,13200,13200,26867,26867,29085,29085,16403,16403,20087,20087,1216,1216,1209,1209,74,74,41,41,30579,30579,140,140,23361,23361,38013,38013,27146,27146,21316,21316,40632,40632,37026,37026,28714,28714,19679,19679,40207,40207
4,27771,27771,7871,7871,32304,32304,34665,34665,11361,11361,14147,14147,23637,23637,29398,29398,19242,19242,32575,32575,19092,19092,13222,13222,27478,27478,29499,29499,16540,16540,20072,20072,1285,1285,1210,1210,82,82,34,34,31212,31212,128,128,23426,23426,35768,35768,27159,27159,19121,19121,39789,39789,39694,39694,27489,27489,19085,19085,35406,35406
5,28314,28314,8436,8436,33496,33496,31999,31999,11541,11541,14266,14266,24551,24551,29589,29589,20790,20790,35583,35583,19779,19779,13580,13580,27211,27211,28637,28637,16815,16815,20378,20378,1239,1239,1202,1202,54,54,18,18,31650,31650,120,120,23828,23828,34234,34234,28503,28503,17662,17662,39757,39757,44325,44325,26908,26908,19381,19381,31538,31538
6,29442,29442,8377,8377,34219,34219,30177,30177,11544,11544,14164,14164,25481,25481,29821,29821,20481,20481,45489,45489,19702,19702,13489,13489,27597,27597,27131,27131,16490,16490,20385,20385,1235,1235,1320,1320,75,75,22,22,32640,32640,108,108,24412,24412,33724,33724,28577,28577,17435,17435,38416,38416,48493,48493,27692,27692,19289,19289,29373,29373
7,30062,30062,8419,8419,35861,35861,29110,29110,11842,11842,14387,14387,25502,25502,29959,29959,20776,20776,61082,61082,19959,19959,13790,13790,27933,27933,26171,26171,16714,16714,20530,20530,1259,1259,1324,1324,76,76,26,26,32321,32321,189,189,24198,24198,34918,34918,29472,29472,17293,17293,38397,38397,51934,51934,26741,26741,19129,19129,30556,30556
8,31013,31013,8956,8956,35836,35836,27868,27868,12182,12182,14538,14538,27111,27111,30288,30288,20731,20731,71614,71614,20467,20467,14381,14381,32862,32862,26478,26478,16330,16330,20960,20960,1420,1420,1347,1347,89,89,35,35,32403,32403,158,158,24721,24721,37067,37067,28863,28863,16912,16912,38044,38044,53037,53037,25659,25659,19312,19312,30124,30124
9,31209,31209,9028,9028,36271,36271,27549,27549,11867,11867,14567,14567,27285,27285,29787,29787,21022,21022,76782,76782,21100,21100,14234,14234,43431,43431,26231,26231,16302,16302,21125,21125,1404,1404,1344,1344,77,77,21,21,32976,32976,149,149,23749,23749,39734,39734,29024,29024,16932,16932,37400,37400,53189,53189,25609,25609,19309,19309,29589,29589
10,32826,32826,9221,9221,36222,36222,27081,27081,12007,12007,14315,14315,27000,27000,30448,30448,21726,21726,83632,83632,20653,20653,14236,14236,58996,58996,25652,25652,16147,16147,20684,20684,1411,1411,1340,1340,98,98,21,21,33784,33784,148,148,23909,23909,43690,43690,28971,28971,16587,16587,35826,35826,54200,54200,25078,25078,19275,19275,28639,28639
