 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7
1,1548,1548,2832,2832,8850,8850,11263,11263,1665,1665,6158,6158,2092,2092
2,1516,1516,3097,3097,8297,8297,11693,11693,1653,1653,6123,6123,2355,2355
3,1623,1623,2982,2982,8003,8003,11378,11378,1828,1828,6115,6115,2108,2108
4,1589,1589,2752,2752,7943,7943,11662,11662,1556,1556,6472,6472,2352,2352
5,1614,1614,2839,2839,7990,7990,11083,11083,1494,1494,6225,6225,2458,2458
6,1283,1283,2862,2862,7737,7737,11782,11782,1661,1661,6007,6007,2537,2537
7,1259,1259,2721,2721,7702,7702,11432,11432,1620,1620,5858,5858,2553,2553
8,1385,1385,2757,2757,7708,7708,11389,11389,1585,1585,5699,5699,2495,2495
9,1284,1284,2830,2830,7595,7595,11591,11591,1596,1596,5725,5725,2675,2675
10,1349,1349,2903,2903,7703,7703,11753,11753,1435,1435,5357,5357,2702,2702
11,1248,1248,2769,2769,7663,7663,10712,10712,1549,1549,4943,4943,2373,2373
12,1220,1220,2783,2783,7622,7622,10671,10671,1409,1409,4407,4407,2009,2009
13,1404,1404,2702,2702,7798,7798,10401,10401,1466,1466,4649,4649,2109,2109
14,1369,1369,2676,2676,7683,7683,11014,11014,1341,1341,4557,4557,2098,2098
15,1373,1373,2812,2812,7664,7664,10967,10967,1566,1566,4270,4270,2114,2114
16,1481,1481,2571,2571,7648,7648,11454,11454,1367,1367,4333,4333,2293,2293
17,1345,1345,2651,2651,7861,7861,11364,11364,1585,1585,4161,4161,2055,2055
18,1182,1182,2708,2708,7530,7530,11700,11700,1330,1330,4245,4245,2237,2237
19,1265,1265,2922,2922,7588,7588,11064,11064,1388,1388,4135,4135,2011,2011
20,1379,1379,2951,2951,7505,7505,11836,11836,1605,1605,4066,4066,2179,2179
21,1542,1542,2679,2679,7400,7400,11237,11237,1575,1575,4006,4006,2339,2339
22,1360,1360,2743,2743,7422,7422,11904,11904,1337,1337,3816,3816,2042,2042
23,1311,1311,2833,2833,7960,7960,11216,11216,1480,1480,3890,3890,2244,2244
24,1384,1384,2848,2848,7617,7617,11888,11888,1450,1450,3676,3676,2124,2124
25,1292,1292,2639,2639,7529,7529,11687,11687,1497,1497,3749,3749,2152,2152
26,1446,1446,2971,2971,7221,7221,11567,11567,1579,1579,3705,3705,2100,2100
27,1373,1373,2629,2629,7267,7267,11713,11713,1748,1748,3621,3621,2016,2016
28,1355,1355,2633,2633,7527,7527,11575,11575,1589,1589,3605,3605,1977,1977
29,1207,1207,2930,2930,7352,7352,11734,11734,1312,1312,3490,3490,2081,2081
30,1359,1359,2876,2876,7139,7139,11808,11808,1673,1673,3449,3449,1905,1905
31,1434,1434,2903,2903,7570,7570,11598,11598,1545,1545,3528,3528,2045,2045
32,1490,1490,2727,2727,7436,7436,11499,11499,1486,1486,3558,3558,2045,2045
33,1344,1344,2602,2602,7257,7257,11662,11662,1434,1434,3212,3212,2038,2038
34,1297,1297,2654,2654,7175,7175,11576,11576,1498,1498,3283,3283,1853,1853
35,1443,1443,2656,2656,7175,7175,11873,11873,1523,1523,3155,3155,2046,2046
36,1440,1440,2660,2660,7076,7076,11239,11239,1561,1561,2957,2957,1904,1904
37,1418,1418,2644,2644,7240,7240,11369,11369,1516,1516,3311,3311,1764,1764
38,1306,1306,2718,2718,6757,6757,11713,11713,1436,1436,2980,2980,1709,1709
39,1376,1376,2848,2848,7318,7318,11928,11928,1516,1516,3070,3070,1689,1689
40,1366,1366,2855,2855,7416,7416,11841,11841,1554,1554,3041,3041,1960,1960
