 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133
1,53000,53000,57671,57671,40041,40041,10981,10981,13081,13081,77669,77669,37607,37607,32455,32455,40735,40735,33689,33689,88421,88421,23121,23121,10059,10059,9676,9676,41486,41486,20581,20581,53636,53636,67080,67080,23154,23154,24145,24145,18608,18608,63098,63098,57384,57384,16386,16386,82555,82555,10067,10067,10903,10903,45245,45245,36002,36002,26219,26219,9518,9518,31053,31053,23716,23716,60122,60122,94860,94860,8421,8421,6581,6581,10062,10062,13290,13290,13477,13477,35485,35485,108082,108082,16498,16498,27751,27751,39211,39211,6159,6159,5696,5696,70166,70166,20416,20416,107580,107580,29956,29956,42068,42068,30564,30564,19404,19404,28533,28533,46260,46260,81696,81696,26928,26928,24220,24220,15118,15118,41964,41964,11762,11762,90575,90575,27730,27730,131819,131819,25373,25373,8756,8756,87308,87308,47096,47096,33605,33605,22904,22904,56425,56425,90081,90081,23378,23378,22648,22648,38490,38490,146545,146545,39202,39202,46645,46645,30919,30919,58193,58193,112879,112879,37513,37513,21468,21468,34428,34428,19636,19636,28073,28073,72719,72719,21922,21922,59622,59622,122989,122989,139219,139219,72834,72834,25980,25980,55758,55758,38075,38075,148009,148009,39025,39025,68890,68890,97356,97356,68978,68978,103910,103910,47329,47329,73810,73810,14180,14180,77541,77541,153452,153452,102181,102181,27042,27042,22635,22635,62328,62328,37875,37875,14440,14440,55298,55298,48622,48622,82989,82989,32049,32049,10820,10820,34740,34740,33644,33644,15209,15209,21218,21218,16848,16848,50592,50592,26500,26500,17658,17658,16483,16483,12508,12508,10021,10021,33361,33361,23756,23756,10949,10949,7029,7029
2,47692,47692,58972,58972,40990,40990,11753,11753,13772,13772,74690,74690,38117,38117,33283,33283,42705,42705,30650,30650,83173,83173,25542,25542,10382,10382,9026,9026,40346,40346,20190,20190,53484,53484,69182,69182,20806,20806,23425,23425,16996,16996,67968,67968,54657,54657,15122,15122,82883,82883,9699,9699,10258,10258,45676,45676,34526,34526,24255,24255,10162,10162,30091,30091,23758,23758,61529,61529,94045,94045,8610,8610,7371,7371,10731,10731,13548,13548,13298,13298,33858,33858,110865,110865,16655,16655,27361,27361,39046,39046,6347,6347,5773,5773,73314,73314,20783,20783,111676,111676,25300,25300,42232,42232,32570,32570,18874,18874,28805,28805,50681,50681,86490,86490,27318,27318,24470,24470,15320,15320,45459,45459,12083,12083,98525,98525,29962,29962,137109,137109,27934,27934,8831,8831,87614,87614,48957,48957,35815,35815,23709,23709,57549,57549,94622,94622,24119,24119,23225,23225,40213,40213,147623,147623,47321,47321,48423,48423,31282,31282,61166,61166,112243,112243,41080,41080,22219,22219,36161,36161,20122,20122,30883,30883,72556,72556,22074,22074,64110,64110,132509,132509,138960,138960,89888,89888,29324,29324,56028,56028,40148,40148,152232,152232,41158,41158,71654,71654,102693,102693,70138,70138,105090,105090,53608,53608,77039,77039,14503,14503,80363,80363,158912,158912,103769,103769,28181,28181,22999,22999,62205,62205,39328,39328,14366,14366,54127,54127,52701,52701,84623,84623,32421,32421,11210,11210,36515,36515,34828,34828,15949,15949,21510,21510,17443,17443,54387,54387,27327,27327,18394,18394,17426,17426,13307,13307,10516,10516,34937,34937,25429,25429,11926,11926,7371,7371
3,45301,45301,55619,55619,42992,42992,11705,11705,14581,14581,73450,73450,38469,38469,33370,33370,43536,43536,28913,28913,80918,80918,29175,29175,10097,10097,8892,8892,37679,37679,20374,20374,53115,53115,69283,69283,19536,19536,22759,22759,16795,16795,71382,71382,53197,53197,14462,14462,84418,84418,9582,9582,10312,10312,45113,45113,34507,34507,24280,24280,10056,10056,28935,28935,24508,24508,62756,62756,92272,92272,8791,8791,7275,7275,10474,10474,14225,14225,13580,13580,34091,34091,115497,115497,16336,16336,27309,27309,38582,38582,5858,5858,5658,5658,73357,73357,21316,21316,112801,112801,23368,23368,43339,43339,33271,33271,18592,18592,29720,29720,54331,54331,87291,87291,30086,30086,24198,24198,15610,15610,46813,46813,12328,12328,110148,110148,31117,31117,137884,137884,29845,29845,8646,8646,85105,85105,49435,49435,37856,37856,24328,24328,56318,56318,98768,98768,24711,24711,23586,23586,40206,40206,150943,150943,54725,54725,50003,50003,32434,32434,63683,63683,113939,113939,46385,46385,22476,22476,36199,36199,22500,22500,31696,31696,82661,82661,22768,22768,65706,65706,141735,141735,138636,138636,102146,102146,30679,30679,54106,54106,41996,41996,154465,154465,44429,44429,73233,73233,106915,106915,70196,70196,107260,107260,62824,62824,76544,76544,14630,14630,80746,80746,163546,163546,106842,106842,28578,28578,24326,24326,62292,62292,39010,39010,15008,15008,54433,54433,57529,57529,88511,88511,33988,33988,11296,11296,36072,36072,35477,35477,16635,16635,22128,22128,17931,17931,57470,57470,27656,27656,19371,19371,17857,17857,13619,13619,10667,10667,36043,36043,26058,26058,11922,11922,7714,7714
4,42223,42223,51459,51459,43599,43599,11894,11894,14803,14803,75639,75639,39217,39217,32882,32882,43065,43065,26130,26130,76208,76208,34785,34785,10230,10230,8621,8621,35425,35425,21048,21048,52021,52021,68830,68830,17519,17519,23197,23197,15677,15677,73147,73147,52848,52848,13920,13920,84870,84870,9445,9445,9289,9289,45643,45643,33249,33249,23749,23749,9616,9616,28550,28550,24542,24542,63123,63123,92562,92562,8471,8471,7258,7258,10050,10050,13709,13709,13561,13561,32965,32965,116646,116646,16160,16160,27638,27638,39276,39276,5860,5860,5817,5817,73989,73989,21868,21868,114484,114484,22984,22984,44547,44547,33542,33542,17939,17939,31103,31103,57549,57549,92417,92417,32189,32189,24288,24288,15677,15677,48521,48521,11908,11908,117543,117543,33589,33589,140238,140238,31305,31305,8893,8893,83892,83892,50727,50727,38749,38749,25235,25235,56476,56476,103059,103059,25045,25045,23871,23871,41339,41339,154784,154784,55836,55836,51740,51740,33552,33552,65316,65316,113158,113158,54048,54048,22633,22633,37193,37193,23135,23135,34090,34090,87837,87837,23360,23360,69205,69205,150719,150719,138920,138920,112007,112007,31340,31340,51952,51952,44518,44518,157814,157814,46481,46481,74845,74845,108426,108426,69808,69808,108988,108988,77120,77120,74694,74694,14137,14137,81171,81171,173053,173053,107615,107615,28706,28706,24257,24257,62258,62258,40272,40272,15503,15503,57265,57265,61746,61746,89226,89226,34817,34817,12177,12177,34534,34534,36078,36078,16443,16443,24767,24767,17445,17445,59530,59530,27953,27953,21487,21487,18382,18382,13957,13957,10830,10830,37488,37488,26528,26528,12531,12531,7859,7859
5,40450,40450,48901,48901,43731,43731,11926,11926,14556,14556,74546,74546,39787,39787,32018,32018,44631,44631,24382,24382,73255,73255,39654,39654,10663,10663,8297,8297,36351,36351,22526,22526,50454,50454,66541,66541,16532,16532,22383,22383,15250,15250,76299,76299,52962,52962,13659,13659,85563,85563,9498,9498,8913,8913,44195,44195,32743,32743,23675,23675,9699,9699,28310,28310,24108,24108,63730,63730,94250,94250,8426,8426,7192,7192,10311,10311,13487,13487,13360,13360,33037,33037,113954,113954,16226,16226,27100,27100,39274,39274,5780,5780,6015,6015,73684,73684,22542,22542,114411,114411,22792,22792,45373,45373,34079,34079,17141,17141,31273,31273,59970,59970,94947,94947,32144,32144,25242,25242,15851,15851,50639,50639,12376,12376,119657,119657,34370,34370,141118,141118,31390,31390,8799,8799,83673,83673,52368,52368,40458,40458,25768,25768,56686,56686,107938,107938,25355,25355,24277,24277,42307,42307,152776,152776,56507,56507,52915,52915,33703,33703,65478,65478,114707,114707,69972,69972,23151,23151,37204,37204,24239,24239,35011,35011,88817,88817,23716,23716,72725,72725,156739,156739,137692,137692,117696,117696,32847,32847,46149,46149,45953,45953,158872,158872,47832,47832,75818,75818,112837,112837,71261,71261,111725,111725,89657,89657,75686,75686,13978,13978,82498,82498,178618,178618,108405,108405,29774,29774,24837,24837,61627,61627,40974,40974,15844,15844,61256,61256,67042,67042,90641,90641,36148,36148,12121,12121,32034,32034,37394,37394,17225,17225,25998,25998,18217,18217,62169,62169,28408,28408,21816,21816,18734,18734,13907,13907,11209,11209,38449,38449,27359,27359,12926,12926,7812,7812
6,38512,38512,47810,47810,43916,43916,11988,11988,15123,15123,72585,72585,39859,39859,31715,31715,43957,43957,23920,23920,70654,70654,45204,45204,10173,10173,8267,8267,34311,34311,25525,25525,49484,49484,66806,66806,15809,15809,21955,21955,15121,15121,76301,76301,51117,51117,13406,13406,84199,84199,9263,9263,8631,8631,42886,42886,31135,31135,21704,21704,9307,9307,27759,27759,24800,24800,64051,64051,93747,93747,8668,8668,7477,7477,9948,9948,13603,13603,13627,13627,32454,32454,114383,114383,16131,16131,27237,27237,39216,39216,6088,6088,5899,5899,74039,74039,23259,23259,117583,117583,22165,22165,45845,45845,34408,34408,16930,16930,31549,31549,59595,59595,96037,96037,32090,32090,24696,24696,16088,16088,51589,51589,12473,12473,124816,124816,35330,35330,140921,140921,32561,32561,9023,9023,83122,83122,53440,53440,40581,40581,26176,26176,56039,56039,105677,105677,25915,25915,24677,24677,42115,42115,156543,156543,58158,58158,53548,53548,34232,34232,66828,66828,113083,113083,80607,80607,23895,23895,37695,37695,24773,24773,36451,36451,89127,89127,24447,24447,74081,74081,160944,160944,138969,138969,121644,121644,32585,32585,40295,40295,47426,47426,160566,160566,50031,50031,77440,77440,113017,113017,72399,72399,113317,113317,96362,96362,76448,76448,14681,14681,80933,80933,183794,183794,109945,109945,27200,27200,25325,25325,62011,62011,41930,41930,16636,16636,63928,63928,76738,76738,92057,92057,37659,37659,12166,12166,29936,29936,37576,37576,17514,17514,26848,26848,18401,18401,64976,64976,28081,28081,22752,22752,18975,18975,14145,14145,11335,11335,39357,39357,27515,27515,13309,13309,8112,8112
7,38412,38412,46178,46178,43627,43627,12089,12089,15401,15401,72007,72007,40735,40735,31151,31151,45707,45707,22854,22854,69498,69498,49363,49363,9967,9967,8109,8109,33174,33174,27145,27145,48130,48130,66593,66593,14624,14624,22043,22043,14891,14891,78187,78187,50666,50666,12882,12882,84396,84396,9306,9306,8337,8337,41395,41395,29829,29829,22279,22279,8928,8928,27043,27043,24929,24929,63641,63641,93947,93947,8534,8534,7676,7676,9931,9931,13476,13476,13185,13185,32117,32117,114033,114033,16458,16458,26864,26864,39901,39901,5972,5972,6315,6315,74447,74447,23743,23743,118911,118911,22290,22290,45687,45687,35228,35228,16437,16437,31286,31286,61796,61796,96665,96665,32939,32939,24454,24454,15976,15976,52240,52240,12254,12254,124920,124920,37073,37073,141939,141939,32920,32920,8755,8755,83341,83341,55176,55176,41751,41751,26400,26400,56404,56404,108177,108177,26118,26118,25143,25143,43289,43289,161037,161037,59021,59021,54827,54827,35330,35330,67560,67560,115280,115280,86455,86455,23749,23749,37951,37951,28155,28155,36536,36536,87498,87498,24352,24352,74265,74265,167936,167936,136684,136684,122137,122137,33491,33491,36656,36656,48909,48909,159082,159082,50731,50731,77653,77653,114971,114971,73597,73597,115912,115912,101418,101418,77947,77947,14390,14390,82915,82915,187052,187052,110077,110077,27373,27373,25812,25812,62035,62035,42418,42418,17384,17384,65057,65057,79810,79810,93231,93231,38512,38512,12346,12346,29841,29841,38524,38524,18127,18127,26960,26960,18476,18476,66934,66934,28305,28305,22998,22998,19636,19636,14622,14622,11796,11796,41382,41382,28424,28424,13390,13390,8422,8422
8,36315,36315,45730,45730,44627,44627,11844,11844,15422,15422,68810,68810,41399,41399,31629,31629,44958,44958,21983,21983,67615,67615,50336,50336,9996,9996,8171,8171,32569,32569,27324,27324,47577,47577,66196,66196,14276,14276,21508,21508,14944,14944,76661,76661,51638,51638,13073,13073,82439,82439,8890,8890,8336,8336,40559,40559,29582,29582,22213,22213,9180,9180,26682,26682,25065,25065,62113,62113,94805,94805,8618,8618,7887,7887,10070,10070,13179,13179,13092,13092,31835,31835,112718,112718,16331,16331,27292,27292,39541,39541,6091,6091,6122,6122,76024,76024,24100,24100,120274,120274,22631,22631,45321,45321,35717,35717,16289,16289,30971,30971,61937,61937,98880,98880,32323,32323,25300,25300,15800,15800,53255,53255,12429,12429,125570,125570,38648,38648,141725,141725,34116,34116,8901,8901,82675,82675,56196,56196,42153,42153,27448,27448,56303,56303,109448,109448,26199,26199,25553,25553,43817,43817,166627,166627,60693,60693,55328,55328,35957,35957,68761,68761,113958,113958,89748,89748,24070,24070,37888,37888,27867,27867,38957,38957,87490,87490,24433,24433,76601,76601,173800,173800,136974,136974,125870,125870,33794,33794,34294,34294,50979,50979,161286,161286,52473,52473,79843,79843,116240,116240,73268,73268,119838,119838,105714,105714,82029,82029,14446,14446,82743,82743,195874,195874,110197,110197,26909,26909,26242,26242,61927,61927,43828,43828,17511,17511,65043,65043,81856,81856,94768,94768,38746,38746,12938,12938,30545,30545,38815,38815,18201,18201,27924,27924,18966,18966,68923,68923,29551,29551,23130,23130,20356,20356,14917,14917,11429,11429,41075,41075,29149,29149,13974,13974,8282,8282
9,36018,36018,46001,46001,43428,43428,12244,12244,15656,15656,67104,67104,41763,41763,31637,31637,46227,46227,21793,21793,65464,65464,51361,51361,10241,10241,8288,8288,33552,33552,27042,27042,46978,46978,64961,64961,14064,14064,20715,20715,14624,14624,79642,79642,50652,50652,12398,12398,84738,84738,9180,9180,8118,8118,39586,39586,29559,29559,21961,21961,9135,9135,26778,26778,24554,24554,61620,61620,95297,95297,8498,8498,7912,7912,9825,9825,13299,13299,13060,13060,31383,31383,111361,111361,16955,16955,27064,27064,39248,39248,6301,6301,6027,6027,76720,76720,23938,23938,121079,121079,23446,23446,44321,44321,35418,35418,16578,16578,31576,31576,63225,63225,99812,99812,31800,31800,24668,24668,15947,15947,54224,54224,12269,12269,127089,127089,38585,38585,141398,141398,33742,33742,9327,9327,81678,81678,56845,56845,42974,42974,27716,27716,56446,56446,111504,111504,26529,26529,25743,25743,44001,44001,178248,178248,60683,60683,56286,56286,36101,36101,68535,68535,114772,114772,94180,94180,23714,23714,38443,38443,29166,29166,41088,41088,87982,87982,24736,24736,76988,76988,178494,178494,137088,137088,127731,127731,35035,35035,33745,33745,52282,52282,160976,160976,53812,53812,80261,80261,120032,120032,73525,73525,122714,122714,108763,108763,82916,82916,14600,14600,83397,83397,208386,208386,110490,110490,26905,26905,26808,26808,61267,61267,44247,44247,18090,18090,66348,66348,83139,83139,95964,95964,39699,39699,12799,12799,32285,32285,39251,39251,19193,19193,28933,28933,19024,19024,70136,70136,29371,29371,23455,23455,20135,20135,15433,15433,12184,12184,41590,41590,29834,29834,14347,14347,8760,8760
10,35741,35741,45685,45685,43157,43157,12095,12095,15202,15202,65745,65745,42126,42126,31342,31342,45613,45613,22044,22044,65147,65147,51002,51002,10257,10257,7785,7785,33224,33224,27412,27412,46157,46157,66107,66107,14000,14000,21111,21111,14895,14895,80137,80137,47738,47738,12703,12703,83050,83050,8970,8970,8080,8080,38131,38131,30307,30307,21916,21916,9130,9130,26473,26473,24624,24624,61124,61124,95395,95395,8975,8975,7807,7807,9902,9902,13459,13459,13165,13165,31415,31415,109850,109850,16256,16256,27017,27017,39219,39219,5957,5957,6413,6413,78799,78799,24825,24825,121375,121375,23503,23503,43669,43669,36204,36204,16089,16089,31708,31708,63660,63660,100433,100433,31716,31716,24961,24961,16293,16293,54425,54425,12543,12543,129593,129593,39346,39346,140990,140990,34271,34271,9483,9483,79389,79389,56718,56718,43877,43877,28025,28025,56075,56075,109495,109495,26321,26321,26325,26325,44621,44621,195790,195790,60540,60540,57426,57426,36148,36148,69572,69572,117478,117478,97553,97553,23802,23802,39129,39129,30135,30135,43255,43255,87212,87212,25039,25039,78055,78055,183564,183564,136778,136778,129845,129845,35911,35911,33599,33599,54343,54343,160639,160639,54529,54529,81621,81621,120388,120388,75358,75358,124522,124522,111960,111960,84591,84591,14600,14600,84321,84321,220900,220900,111995,111995,26743,26743,27021,27021,62237,62237,44634,44634,17983,17983,66685,66685,85368,85368,97317,97317,40330,40330,12799,12799,33179,33179,39337,39337,18728,18728,29280,29280,19343,19343,71818,71818,29854,29854,24221,24221,20300,20300,16071,16071,12103,12103,42952,42952,30544,30544,13565,13565,8715,8715
