 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40
1,2664,2664,5845,5845,15336,15336,168510,168510,26411,26411,16654,16654,47649,47649,11580,11580,31491,31491,11188,11188,33025,33025,5207,5207,19435,19435,76387,76387,24315,24315,48515,48515,13529,13529,96409,96409,44505,44505,8567,8567,15024,15024,3435,3435,30975,30975,19750,19750,6781,6781,15800,15800,66025,66025,16368,16368,93262,93262,3602,3602,34747,34747,91239,91239,25456,25456,21165,21165,13357,13357,28008,28008,33446,33446,186120,186120,68694,68694,15098,15098
2,2720,2720,5935,5935,16194,16194,175712,175712,26504,26504,16413,16413,49311,49311,11890,11890,31126,31126,11586,11586,33925,33925,5114,5114,20234,20234,85463,85463,23050,23050,48380,48380,14415,14415,92134,92134,46806,46806,8612,8612,15692,15692,3367,3367,29669,29669,20227,20227,7217,7217,17610,17610,84478,84478,17354,17354,99273,99273,3957,3957,34224,34224,93411,93411,25949,25949,23119,23119,14293,14293,29399,29399,34766,34766,189762,189762,77547,77547,15018,15018
3,2474,2474,5714,5714,17146,17146,181142,181142,27592,27592,16847,16847,51240,51240,11630,11630,31532,31532,11986,11986,35913,35913,5221,5221,20435,20435,88153,88153,26137,26137,48995,48995,14303,14303,87488,87488,47810,47810,8301,8301,14821,14821,3162,3162,30620,30620,19859,19859,7015,7015,18614,18614,91003,91003,17297,17297,108226,108226,3993,3993,34414,34414,94069,94069,26411,26411,25371,25371,14956,14956,29549,29549,43463,43463,193042,193042,101667,101667,16001,16001
4,2741,2741,6167,6167,18005,18005,185450,185450,27433,27433,16892,16892,59312,59312,12042,12042,33138,33138,12012,12012,44310,44310,5605,5605,22192,22192,95869,95869,25679,25679,49512,49512,14601,14601,89959,89959,49300,49300,7969,7969,14397,14397,3241,3241,30556,30556,20408,20408,7162,7162,19241,19241,95854,95854,17662,17662,115139,115139,4305,4305,34769,34769,93839,93839,28315,28315,28461,28461,14502,14502,32482,32482,51480,51480,196396,196396,164525,164525,15940,15940
5,2709,2709,6213,6213,18749,18749,188216,188216,27955,27955,16840,16840,108808,108808,11892,11892,36521,36521,12343,12343,80731,80731,5437,5437,23975,23975,99997,99997,26439,26439,52808,52808,15192,15192,94179,94179,50051,50051,7921,7921,13805,13805,3224,3224,29613,29613,21098,21098,7112,7112,19790,19790,100494,100494,18352,18352,124052,124052,4382,4382,33948,33948,93755,93755,29660,29660,31655,31655,15612,15612,41507,41507,60242,60242,199279,199279,190372,190372,16821,16821
6,2765,2765,6228,6228,18977,18977,193625,193625,29148,29148,17729,17729,148616,148616,11783,11783,40511,40511,13376,13376,105144,105144,5666,5666,25616,25616,105953,105953,24932,24932,55763,55763,15758,15758,102931,102931,50856,50856,7959,7959,14125,14125,3279,3279,29586,29586,21734,21734,7278,7278,22286,22286,105061,105061,19515,19515,126824,126824,4645,4645,34687,34687,94901,94901,30614,30614,36223,36223,15552,15552,54555,54555,76199,76199,203805,203805,192490,192490,16556,16556
7,2877,2877,6189,6189,19502,19502,197753,197753,29018,29018,17643,17643,144795,144795,11896,11896,40529,40529,13587,13587,106649,106649,5662,5662,29006,29006,107425,107425,27712,27712,56553,56553,15407,15407,114352,114352,51325,51325,8449,8449,13225,13225,3098,3098,29388,29388,22439,22439,7080,7080,24094,24094,107269,107269,30826,30826,130000,130000,4653,4653,34365,34365,91335,91335,32499,32499,40217,40217,15752,15752,59686,59686,79656,79656,208627,208627,193027,193027,17054,17054
8,3184,3184,6232,6232,19925,19925,201432,201432,29567,29567,17700,17700,140525,140525,11740,11740,42331,42331,13655,13655,107525,107525,6195,6195,31856,31856,110426,110426,27632,27632,57970,57970,15667,15667,125285,125285,51369,51369,7763,7763,12754,12754,3083,3083,30196,30196,22186,22186,6887,6887,27532,27532,109230,109230,36175,36175,133526,133526,4527,4527,34698,34698,89822,89822,32868,32868,43215,43215,15976,15976,62902,62902,78673,78673,213931,213931,192522,192522,16828,16828
9,2965,2965,6229,6229,20593,20593,207604,207604,31360,31360,18041,18041,132423,132423,11524,11524,43557,43557,13684,13684,108775,108775,6356,6356,36620,36620,113916,113916,26803,26803,58527,58527,15727,15727,132819,132819,53043,53043,8028,8028,12419,12419,3222,3222,29504,29504,23281,23281,6943,6943,29883,29883,110705,110705,36910,36910,135243,135243,4530,4530,35942,35942,88851,88851,33709,33709,48455,48455,17918,17918,64188,64188,79201,79201,220650,220650,193511,193511,17084,17084
10,3086,3086,6324,6324,20567,20567,211040,211040,38110,38110,17719,17719,123225,123225,12085,12085,42197,42197,13177,13177,110202,110202,6418,6418,41754,41754,117316,117316,26386,26386,59965,59965,15912,15912,136295,136295,53531,53531,7935,7935,11887,11887,3102,3102,29065,29065,23362,23362,6681,6681,32556,32556,112036,112036,36873,36873,137863,137863,4713,4713,37738,37738,91270,91270,34315,34315,54226,54226,19433,19433,65929,65929,77837,77837,227782,227782,193902,193902,17226,17226
