 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66
1,7409,7409,10302,10302,5124,5124,17424,17424,2300,2300,11218,11218,11188,11188,16920,16920,43594,43594,59175,59175,7747,7747,19439,19439,14785,14785,29681,29681,58619,58619,38954,38954,31835,31835,42294,42294,58650,58650,12873,12873,12240,12240,13464,13464,40264,40264,42568,42568,44021,44021,22217,22217,19776,19776,4610,4610,30124,30124,144861,144861,95169,95169,97956,97956,47107,47107,22092,22092,100377,100377,4580,4580,16625,16625,24838,24838,5256,5256,14331,14331,45957,45957,9116,9116,15530,15530,8548,8548,8586,8586,18143,18143,18878,18878,51682,51682,691,691,36281,36281,8006,8006,21100,21100,7854,7854,7143,7143,11921,11921,8793,8793,10834,10834,7288,7288,15267,15267,15278,15278,3642,3642,5338,5338,20323,20323,5700,5700,5743,5743,3794,3794
2,12154,12154,15177,15177,6589,6589,17491,17491,2229,2229,11563,11563,11333,11333,17191,17191,43117,43117,57848,57848,7629,7629,19540,19540,14666,14666,28559,28559,56336,56336,38171,38171,29187,29187,31842,31842,58305,58305,13089,13089,11796,11796,13681,13681,38096,38096,35740,35740,38405,38405,21977,21977,24755,24755,4565,4565,29365,29365,147076,147076,95154,95154,102607,102607,46799,46799,22054,22054,130431,130431,4987,4987,16999,16999,24393,24393,5344,5344,14663,14663,46523,46523,8733,8733,15947,15947,8531,8531,8776,8776,17894,17894,19773,19773,54713,54713,698,698,36768,36768,8383,8383,20871,20871,8044,8044,7604,7604,12509,12509,8711,8711,11186,11186,7316,7316,15214,15214,15437,15437,3673,3673,5346,5346,20400,20400,5743,5743,5837,5837,3740,3740
3,13508,13508,17579,17579,6911,6911,17784,17784,2431,2431,11169,11169,10832,10832,17733,17733,42871,42871,58139,58139,7881,7881,20389,20389,13968,13968,28631,28631,56567,56567,36989,36989,27789,27789,27402,27402,58873,58873,13209,13209,11896,11896,13864,13864,40385,40385,34078,34078,38343,38343,22167,22167,30811,30811,4451,4451,29162,29162,150916,150916,91995,91995,101817,101817,47361,47361,22046,22046,150804,150804,5134,5134,18982,18982,24997,24997,5559,5559,14268,14268,47764,47764,8487,8487,15567,15567,8380,8380,9275,9275,19052,19052,20466,20466,59950,59950,746,746,39074,39074,8462,8462,20531,20531,8295,8295,7965,7965,13410,13410,8783,8783,11623,11623,7373,7373,15643,15643,15625,15625,3736,3736,5747,5747,20973,20973,5934,5934,6024,6024,3678,3678
4,13955,13955,18390,18390,7338,7338,17710,17710,2296,2296,11761,11761,11251,11251,17708,17708,42340,42340,57069,57069,7577,7577,20053,20053,13889,13889,28222,28222,54705,54705,35719,35719,27144,27144,26484,26484,59532,59532,13687,13687,11490,11490,13489,13489,41957,41957,37721,37721,41147,41147,22527,22527,33735,33735,4402,4402,29644,29644,154400,154400,86621,86621,106534,106534,49929,49929,23147,23147,154979,154979,5388,5388,18512,18512,25655,25655,5743,5743,14848,14848,48339,48339,8808,8808,16665,16665,9056,9056,9388,9388,18974,18974,21371,21371,62282,62282,781,781,40215,40215,9267,9267,21532,21532,8340,8340,8090,8090,13967,13967,8814,8814,11859,11859,7387,7387,16215,16215,15996,15996,3920,3920,5833,5833,21301,21301,5906,5906,6139,6139,3954,3954
5,14802,14802,18845,18845,7236,7236,18205,18205,2351,2351,11263,11263,11298,11298,17542,17542,42915,42915,57628,57628,7696,7696,20491,20491,13351,13351,28999,28999,54623,54623,36214,36214,26572,26572,25503,25503,60318,60318,13973,13973,11867,11867,13414,13414,44649,44649,42074,42074,44066,44066,23169,23169,36354,36354,4648,4648,29192,29192,156604,156604,84070,84070,107652,107652,51915,51915,23180,23180,156078,156078,5425,5425,18674,18674,26302,26302,5831,5831,14871,14871,48181,48181,9101,9101,16551,16551,8966,8966,9122,9122,18838,18838,21781,21781,67260,67260,840,840,41135,41135,9051,9051,21593,21593,8680,8680,8552,8552,14525,14525,9022,9022,11817,11817,7647,7647,16755,16755,16625,16625,3949,3949,6018,6018,21364,21364,6342,6342,6112,6112,3995,3995
6,14725,14725,19070,19070,7400,7400,18374,18374,2435,2435,11718,11718,11568,11568,17980,17980,41327,41327,57019,57019,7409,7409,21289,21289,13928,13928,28275,28275,54261,54261,36603,36603,26421,26421,25840,25840,59917,59917,13899,13899,11467,11467,13311,13311,47481,47481,40408,40408,45174,45174,23625,23625,38143,38143,4941,4941,30034,30034,158043,158043,81526,81526,107957,107957,54251,54251,24013,24013,159850,159850,5341,5341,19467,19467,26625,26625,5933,5933,14772,14772,49580,49580,9167,9167,16927,16927,9609,9609,9719,9719,19136,19136,22439,22439,69919,69919,827,827,42496,42496,9487,9487,21749,21749,9036,9036,8491,8491,15150,15150,9152,9152,12393,12393,7804,7804,16388,16388,16872,16872,4062,4062,6156,6156,21334,21334,6328,6328,6283,6283,4202,4202
7,15042,15042,19367,19367,7302,7302,18689,18689,2423,2423,11778,11778,11355,11355,18467,18467,42636,42636,56640,56640,7455,7455,21077,21077,12898,12898,28276,28276,54452,54452,39905,39905,26925,26925,25422,25422,60233,60233,14266,14266,11949,11949,13536,13536,49349,49349,43081,43081,42952,42952,23882,23882,38979,38979,4640,4640,29898,29898,161106,161106,76829,76829,111754,111754,56083,56083,24347,24347,160991,160991,5312,5312,18708,18708,25714,25714,6274,6274,14627,14627,50136,50136,9259,9259,17122,17122,9480,9480,9676,9676,19730,19730,22941,22941,72725,72725,726,726,43519,43519,9684,9684,22105,22105,8713,8713,8792,8792,15727,15727,9527,9527,12384,12384,7908,7908,16518,16518,17327,17327,4209,4209,6421,6421,22182,22182,6155,6155,6419,6419,4304,4304
8,15350,15350,19237,19237,7063,7063,18965,18965,2474,2474,11703,11703,11733,11733,18600,18600,43173,43173,55630,55630,7451,7451,21269,21269,13442,13442,28593,28593,54519,54519,47764,47764,27751,27751,25429,25429,59263,59263,13982,13982,12588,12588,13965,13965,48288,48288,45491,45491,41843,41843,24357,24357,41584,41584,4869,4869,29648,29648,163247,163247,73710,73710,114011,114011,56383,56383,24459,24459,164700,164700,5286,5286,19038,19038,26235,26235,6542,6542,15073,15073,50489,50489,8915,8915,16739,16739,9447,9447,9899,9899,19273,19273,23042,23042,72714,72714,777,777,44178,44178,9591,9591,22271,22271,8907,8907,8947,8947,16540,16540,9557,9557,12555,12555,8211,8211,17077,17077,17581,17581,4313,4313,6616,6616,23072,23072,6830,6830,6361,6361,4444,4444
9,15682,15682,19160,19160,6884,6884,19555,19555,2578,2578,11812,11812,11633,11633,18424,18424,43423,43423,56577,56577,7777,7777,21499,21499,12833,12833,29364,29364,53440,53440,58457,58457,27773,27773,25240,25240,60101,60101,14590,14590,12813,12813,14291,14291,46196,46196,46235,46235,41935,41935,23945,23945,42662,42662,5067,5067,28977,28977,163964,163964,73056,73056,116198,116198,55600,55600,24676,24676,165171,165171,5307,5307,19438,19438,26077,26077,6360,6360,15254,15254,51282,51282,9117,9117,17177,17177,9497,9497,10207,10207,19319,19319,23644,23644,75060,75060,831,831,44633,44633,10194,10194,22768,22768,8690,8690,8969,8969,16864,16864,9632,9632,12944,12944,8244,8244,17516,17516,18460,18460,4444,4444,6574,6574,22510,22510,6840,6840,6316,6316,4789,4789
10,15704,15704,19824,19824,6870,6870,19490,19490,2581,2581,12040,12040,11913,11913,18946,18946,43630,43630,57072,57072,7502,7502,21729,21729,13026,13026,28478,28478,53788,53788,68472,68472,28563,28563,24778,24778,60562,60562,14156,14156,13126,13126,13829,13829,43107,43107,45254,45254,41160,41160,24564,24564,43244,43244,5123,5123,29053,29053,165497,165497,70130,70130,119206,119206,54515,54515,25100,25100,167239,167239,5327,5327,18682,18682,26938,26938,6484,6484,14977,14977,51334,51334,9451,9451,17382,17382,9735,9735,10447,10447,18946,18946,23910,23910,78761,78761,822,822,45588,45588,9916,9916,23244,23244,8895,8895,9338,9338,17877,17877,9869,9869,13016,13016,8580,8580,17817,17817,18299,18299,4317,4317,6920,6920,22894,22894,6702,6702,6551,6551,4684,4684
