 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85
1,12163,12163,13880,13880,15394,15394,40791,40791,7719,7719,85216,85216,13446,13446,23674,23674,19590,19590,53672,53672,31253,31253,14445,14445,19340,19340,39784,39784,11761,11761,17772,17772,51690,51690,28549,28549,24572,24572,28728,28728,31647,31647,20368,20368,25351,25351,15719,15719,12387,12387,15462,15462,106913,106913,27153,27153,86133,86133,38081,38081,15024,15024,21526,21526,36330,36330,21364,21364,22039,22039,36607,36607,38161,38161,7026,7026,40888,40888,20175,20175,18300,18300,18805,18805,23253,23253,18039,18039,8633,8633,37405,37405,63931,63931,8730,8730,32738,32738,14661,14661,28082,28082,93598,93598,29113,29113,8471,8471,29613,29613,22023,22023,7141,7141,22382,22382,19966,19966,22119,22119,27104,27104,26955,26955,31968,31968,93203,93203,7961,7961,45018,45018,14585,14585,55997,55997,14821,14821,89687,89687,36341,36341,24772,24772,39590,39590,57320,57320,34720,34720,55588,55588,17875,17875,67731,67731,8163,8163,22114,22114,36900,36900,12125,12125,19818,19818,13259,13259,6423,6423
2,11819,11819,13945,13945,15517,15517,41860,41860,7558,7558,85025,85025,13880,13880,23797,23797,19598,19598,53073,53073,29959,29959,15172,15172,19107,19107,37918,37918,11563,11563,17796,17796,52314,52314,28745,28745,24831,24831,28743,28743,32527,32527,20270,20270,25611,25611,16112,16112,11895,11895,15228,15228,103606,103606,27438,27438,86578,86578,37047,37047,15083,15083,22130,22130,36140,36140,22126,22126,22035,22035,36578,36578,37618,37618,7268,7268,40433,40433,20614,20614,18371,18371,18919,18919,24102,24102,18345,18345,8649,8649,37967,37967,64286,64286,8616,8616,32321,32321,14497,14497,27925,27925,93052,93052,31577,31577,8795,8795,29359,29359,22720,22720,7022,7022,22423,22423,19295,19295,22336,22336,27236,27236,26989,26989,31715,31715,90625,90625,7935,7935,43930,43930,15255,15255,56908,56908,14754,14754,88392,88392,35851,35851,24945,24945,36901,36901,58089,58089,34459,34459,59404,59404,18104,18104,70249,70249,7948,7948,22356,22356,35780,35780,12047,12047,19608,19608,12760,12760,6501,6501
3,12222,12222,14119,14119,15713,15713,40657,40657,7574,7574,85142,85142,13745,13745,23999,23999,18934,18934,53452,53452,28190,28190,14582,14582,19416,19416,37524,37524,12202,12202,17604,17604,53836,53836,28254,28254,24274,24274,28327,28327,32941,32941,19584,19584,25790,25790,16010,16010,12517,12517,15199,15199,106584,106584,27604,27604,89674,89674,37642,37642,15372,15372,22214,22214,36648,36648,22402,22402,22361,22361,37041,37041,37099,37099,7253,7253,40283,40283,20833,20833,18144,18144,18666,18666,24980,24980,18373,18373,8775,8775,37831,37831,64288,64288,8928,8928,32984,32984,14938,14938,28457,28457,92924,92924,39191,39191,8720,8720,29272,29272,22434,22434,6182,6182,22107,22107,19100,19100,23232,23232,27873,27873,26443,26443,32363,32363,88117,88117,7874,7874,45309,45309,15199,15199,55367,55367,15174,15174,88801,88801,35700,35700,24951,24951,34544,34544,55611,55611,34285,34285,64576,64576,17625,17625,70551,70551,8018,8018,23005,23005,36660,36660,11706,11706,19345,19345,13068,13068,6609,6609
4,11743,11743,14049,14049,15637,15637,41473,41473,7702,7702,84105,84105,13591,13591,23878,23878,18975,18975,54337,54337,27597,27597,14602,14602,19492,19492,36665,36665,12155,12155,17702,17702,55026,55026,28254,28254,24700,24700,28409,28409,34020,34020,19907,19907,25329,25329,15539,15539,12018,12018,15230,15230,108831,108831,28237,28237,90219,90219,37596,37596,15903,15903,22465,22465,36857,36857,25119,25119,22438,22438,36965,36965,37681,37681,7054,7054,39235,39235,21010,21010,18905,18905,19353,19353,24128,24128,18380,18380,8939,8939,37904,37904,62907,62907,8932,8932,32797,32797,14706,14706,28463,28463,93401,93401,46475,46475,8803,8803,29147,29147,23032,23032,6192,6192,22661,22661,18545,18545,23244,23244,28055,28055,27681,27681,32554,32554,87292,87292,7668,7668,45225,45225,15126,15126,56800,56800,15439,15439,89788,89788,35992,35992,25715,25715,33148,33148,56089,56089,33995,33995,74298,74298,18076,18076,70986,70986,8222,8222,22776,22776,36724,36724,12018,12018,19402,19402,12769,12769,6497,6497
5,12087,12087,13827,13827,15730,15730,41865,41865,7747,7747,83545,83545,13974,13974,23598,23598,18852,18852,53625,53625,26578,26578,14367,14367,20126,20126,36467,36467,12009,12009,17908,17908,54182,54182,27968,27968,25661,25661,28707,28707,33448,33448,19919,19919,25274,25274,15829,15829,11844,11844,15696,15696,106408,106408,28622,28622,89152,89152,37872,37872,15336,15336,22730,22730,37999,37999,26941,26941,22910,22910,37580,37580,37879,37879,7107,7107,38803,38803,20542,20542,18820,18820,19501,19501,25241,25241,19114,19114,8883,8883,37595,37595,63475,63475,9091,9091,32968,32968,14832,14832,28849,28849,95487,95487,48308,48308,8826,8826,29198,29198,23351,23351,6091,6091,22850,22850,18132,18132,23856,23856,29504,29504,28002,28002,33219,33219,86754,86754,7944,7944,45423,45423,15068,15068,55631,55631,14965,14965,88576,88576,36041,36041,24625,24625,31973,31973,55501,55501,34003,34003,81947,81947,18353,18353,71723,71723,8385,8385,23467,23467,36252,36252,12202,12202,19482,19482,12759,12759,6468,6468
6,12012,12012,14049,14049,15892,15892,41773,41773,7537,7537,84930,84930,13793,13793,24287,24287,18917,18917,54019,54019,26383,26383,14897,14897,19580,19580,36933,36933,12097,12097,18375,18375,51077,51077,28269,28269,26779,26779,29207,29207,34032,34032,20136,20136,25532,25532,15875,15875,12248,12248,15554,15554,107850,107850,28062,28062,93286,93286,38110,38110,15836,15836,22936,22936,38252,38252,30262,30262,22784,22784,37719,37719,38484,38484,7188,7188,39122,39122,21501,21501,19538,19538,20221,20221,24705,24705,18695,18695,9166,9166,39346,39346,63972,63972,9199,9199,33400,33400,15241,15241,28820,28820,95001,95001,50463,50463,8956,8956,29441,29441,23340,23340,4981,4981,23299,23299,18179,18179,23826,23826,28191,28191,28114,28114,32987,32987,83331,83331,8337,8337,46212,46212,14762,14762,55810,55810,15151,15151,89356,89356,36460,36460,24752,24752,30556,30556,54109,54109,33754,33754,93581,93581,18214,18214,69115,69115,8119,8119,22942,22942,36881,36881,12386,12386,19992,19992,12871,12871,6588,6588
7,11860,11860,14400,14400,16033,16033,41070,41070,7677,7677,84014,84014,13960,13960,23783,23783,18537,18537,53006,53006,26191,26191,16715,16715,19374,19374,34929,34929,11670,11670,18179,18179,49128,49128,28235,28235,27718,27718,29433,29433,34212,34212,19828,19828,24803,24803,15884,15884,11970,11970,15573,15573,109409,109409,29280,29280,93238,93238,38106,38106,15784,15784,23981,23981,38906,38906,32027,32027,23293,23293,38048,38048,37881,37881,7101,7101,39435,39435,21627,21627,18874,18874,20958,20958,25756,25756,18961,18961,9613,9613,38382,38382,64166,64166,9454,9454,33822,33822,15130,15130,28828,28828,97215,97215,52683,52683,9031,9031,29942,29942,23613,23613,5082,5082,23369,23369,18785,18785,24252,24252,29770,29770,28613,28613,33910,33910,82239,82239,8029,8029,46270,46270,15189,15189,57110,57110,15053,15053,89079,89079,36675,36675,25622,25622,30466,30466,54641,54641,33124,33124,105031,105031,18199,18199,71632,71632,8242,8242,23318,23318,36365,36365,12650,12650,19480,19480,13061,13061,6514,6514
8,12051,12051,14268,14268,15620,15620,41677,41677,7579,7579,82999,82999,14378,14378,24508,24508,19272,19272,52629,52629,26041,26041,15015,15015,19746,19746,35654,35654,12020,12020,18202,18202,47539,47539,28424,28424,27502,27502,29290,29290,35037,35037,20460,20460,24950,24950,15735,15735,12523,12523,16160,16160,106904,106904,29527,29527,95173,95173,38009,38009,16019,16019,24130,24130,39953,39953,32700,32700,24050,24050,38875,38875,38628,38628,7567,7567,37962,37962,21804,21804,18624,18624,22425,22425,25608,25608,19493,19493,9023,9023,38758,38758,64393,64393,9338,9338,34369,34369,15190,15190,28901,28901,96933,96933,50612,50612,9177,9177,30337,30337,24206,24206,5023,5023,23900,23900,19623,19623,24483,24483,30567,30567,28084,28084,33871,33871,79984,79984,8038,8038,46540,46540,14852,14852,58019,58019,15635,15635,88138,88138,36131,36131,25482,25482,29955,29955,54879,54879,33842,33842,117150,117150,18729,18729,72020,72020,8392,8392,23526,23526,36880,36880,12460,12460,19632,19632,13126,13126,6800,6800
9,12417,12417,14107,14107,15771,15771,42695,42695,7654,7654,84595,84595,14322,14322,24749,24749,19858,19858,53024,53024,26252,26252,15613,15613,19876,19876,35607,35607,12118,12118,17921,17921,46167,46167,28285,28285,28578,28578,29441,29441,33627,33627,19939,19939,24997,24997,15814,15814,12612,12612,16224,16224,109153,109153,29218,29218,98120,98120,37600,37600,16042,16042,24173,24173,39809,39809,33311,33311,23908,23908,37637,37637,39103,39103,7681,7681,39322,39322,21405,21405,18741,18741,24279,24279,24888,24888,20101,20101,9581,9581,38439,38439,64248,64248,9611,9611,34396,34396,15358,15358,29485,29485,99090,99090,51913,51913,9103,9103,29908,29908,24142,24142,4838,4838,24128,24128,18807,18807,24934,24934,30518,30518,29423,29423,34995,34995,78323,78323,7720,7720,46617,46617,15145,15145,57884,57884,15186,15186,89423,89423,36445,36445,25443,25443,29119,29119,55799,55799,33959,33959,130529,130529,18306,18306,72786,72786,8299,8299,24424,24424,37202,37202,12471,12471,19693,19693,13103,13103,6655,6655
10,11811,11811,14697,14697,16404,16404,41979,41979,7198,7198,85184,85184,14767,14767,24598,24598,20738,20738,52993,52993,26973,26973,15191,15191,19312,19312,35034,35034,12061,12061,18154,18154,46020,46020,29010,29010,29231,29231,29837,29837,35178,35178,20165,20165,25142,25142,16066,16066,12209,12209,16171,16171,111282,111282,30073,30073,98746,98746,38077,38077,16193,16193,23771,23771,40139,40139,34452,34452,24109,24109,37826,37826,39642,39642,7454,7454,39147,39147,21855,21855,18960,18960,25411,25411,25474,25474,19727,19727,9906,9906,39500,39500,64064,64064,9950,9950,35135,35135,15149,15149,28917,28917,98750,98750,51390,51390,9592,9592,29509,29509,24880,24880,3886,3886,24185,24185,18731,18731,24108,24108,30379,30379,28910,28910,35071,35071,75374,75374,7778,7778,47115,47115,15354,15354,59670,59670,14994,14994,90386,90386,36008,36008,25538,25538,29088,29088,56683,56683,33987,33987,137793,137793,18597,18597,72486,72486,8339,8339,24036,24036,36564,36564,12470,12470,19813,19813,12674,12674,6883,6883
