 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2
1,55161,55161,16206,16206
2,54839,54839,15318,15318
3,56890,56890,15866,15866
4,57077,57077,16132,16132
5,57886,57886,16106,16106
6,57995,57995,16555,16555
7,56474,56474,16279,16279
8,55588,55588,15765,15765
9,54738,54738,16507,16507
10,53173,53173,15990,15990
11,51472,51472,16055,16055
12,51265,51265,16077,16077
13,49820,49820,16682,16682
14,49537,49537,16493,16493
15,47650,47650,16168,16168
16,47493,47493,16325,16325
17,46428,46428,15827,15827
18,45614,45614,15644,15644
19,45181,45181,15473,15473
20,44668,44668,15637,15637
21,43405,43405,15708,15708
22,43899,43899,14740,14740
23,43357,43357,14988,14988
24,43687,43687,14687,14687
25,43119,43119,14523,14523
26,42054,42054,14909,14909
27,41840,41840,14439,14439
28,41669,41669,14654,14654
29,41471,41471,14110,14110
30,41191,41191,14394,14394
31,41067,41067,14059,14059
32,41718,41718,13846,13846
33,41716,41716,13968,13968
34,41600,41600,13637,13637
35,42550,42550,14140,14140
36,43897,43897,13846,13846
37,44038,44038,13688,13688
38,45282,45282,13747,13747
39,46301,46301,13193,13193
40,47062,47062,13253,13253
