 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88
1,18504,18504,37350,37350,28640,28640,42662,42662,40695,40695,76294,76294,52930,52930,16776,16776,3847,3847,11267,11267,10818,10818,31880,31880,17512,17512,38075,38075,5812,5812,13190,13190,26250,26250,108975,108975,4530,4530,14398,14398,11856,11856,62453,62453,32473,32473,8989,8989,81082,81082,39388,39388,24419,24419,60783,60783,2158,2158,12703,12703,2685,2685,13098,13098,57312,57312,67031,67031,11218,11218,20258,20258,601,601,9840,9840,49456,49456,25284,25284,41992,41992,17405,17405,21286,21286,9007,9007,21020,21020,48484,48484,15269,15269,19182,19182,37256,37256,14333,14333,20404,20404,27762,27762,11259,11259,9984,9984,27784,27784,26348,26348,43864,43864,47228,47228,66271,66271,17030,17030,64555,64555,32871,32871,26108,26108,25977,25977,14845,14845,61738,61738,19185,19185,42969,42969,39751,39751,20045,20045,22788,22788,714,714,37654,37654,23495,23495,22234,22234,23679,23679,17330,17330,8641,8641,18118,18118,14633,14633,26018,26018,6647,6647,57480,57480,21814,21814,12257,12257,27707,27707,21518,21518,14638,14638
2,18731,18731,36288,36288,29263,29263,45967,45967,41290,41290,77889,77889,53387,53387,17087,17087,3796,3796,11253,11253,11083,11083,32257,32257,18009,18009,37801,37801,6133,6133,13489,13489,27354,27354,108761,108761,4469,4469,14474,14474,12053,12053,62217,62217,32086,32086,9156,9156,81345,81345,39644,39644,24144,24144,62977,62977,2088,2088,12725,12725,2666,2666,13580,13580,60528,60528,67815,67815,11441,11441,20469,20469,685,685,9703,9703,49177,49177,25371,25371,42533,42533,19279,19279,20992,20992,8652,8652,21688,21688,47493,47493,15418,15418,18812,18812,37013,37013,14399,14399,20155,20155,27643,27643,11164,11164,10171,10171,27520,27520,26155,26155,45312,45312,46777,46777,66860,66860,17464,17464,63728,63728,33709,33709,26330,26330,25640,25640,14846,14846,62517,62517,19333,19333,42664,42664,40216,40216,20067,20067,23147,23147,847,847,37798,37798,22168,22168,21850,21850,23804,23804,17851,17851,8577,8577,17494,17494,14123,14123,25447,25447,6899,6899,57769,57769,21895,21895,12287,12287,27651,27651,20969,20969,15022,15022
3,19147,19147,36420,36420,30058,30058,44449,44449,40951,40951,77513,77513,52024,52024,17751,17751,3818,3818,11450,11450,10672,10672,33297,33297,17104,17104,38484,38484,6000,6000,13466,13466,25596,25596,109310,109310,4392,4392,14492,14492,12198,12198,61563,61563,31645,31645,8595,8595,80648,80648,38745,38745,24702,24702,62044,62044,2155,2155,12788,12788,2716,2716,13598,13598,60661,60661,67103,67103,11446,11446,19974,19974,652,652,8499,8499,48430,48430,25766,25766,42497,42497,18695,18695,20307,20307,8910,8910,21501,21501,48452,48452,15552,15552,19066,19066,37135,37135,14411,14411,20629,20629,27206,27206,10562,10562,10498,10498,28004,28004,26644,26644,44796,44796,47318,47318,66035,66035,17443,17443,64337,64337,33482,33482,27080,27080,26627,26627,14392,14392,62150,62150,19839,19839,42963,42963,40935,40935,19854,19854,23272,23272,808,808,37355,37355,22337,22337,21927,21927,23743,23743,17145,17145,8591,8591,16781,16781,14132,14132,25418,25418,6756,6756,57255,57255,21103,21103,11886,11886,27261,27261,19901,19901,14490,14490
4,19171,19171,36927,36927,29552,29552,52798,52798,41844,41844,80442,80442,53647,53647,18319,18319,3741,3741,11644,11644,10962,10962,34433,34433,17950,17950,40039,40039,6184,6184,13770,13770,27536,27536,109738,109738,4388,4388,14698,14698,12372,12372,62473,62473,32121,32121,8844,8844,81431,81431,39516,39516,24611,24611,63483,63483,2239,2239,12840,12840,2883,2883,13232,13232,62885,62885,68953,68953,11153,11153,20078,20078,709,709,8413,8413,51003,51003,26302,26302,43139,43139,19649,19649,20206,20206,9155,9155,22098,22098,48973,48973,15926,15926,19335,19335,37251,37251,14721,14721,20918,20918,27915,27915,11131,11131,10427,10427,27528,27528,26324,26324,45249,45249,47511,47511,66667,66667,17591,17591,64891,64891,33688,33688,26840,26840,25892,25892,14679,14679,62886,62886,19697,19697,42610,42610,40602,40602,19916,19916,23582,23582,791,791,37597,37597,20647,20647,21935,21935,23360,23360,17187,17187,8755,8755,16818,16818,14328,14328,25752,25752,6726,6726,57575,57575,21006,21006,12253,12253,26934,26934,20339,20339,15017,15017
5,19732,19732,37425,37425,30823,30823,60825,60825,41925,41925,81929,81929,52924,52924,17753,17753,3929,3929,11319,11319,10726,10726,35755,35755,18179,18179,40820,40820,5978,5978,13660,13660,28495,28495,108798,108798,4544,4544,14562,14562,12500,12500,62439,62439,31868,31868,9270,9270,80779,80779,38269,38269,25334,25334,64123,64123,2006,2006,13184,13184,2803,2803,13526,13526,64830,64830,68020,68020,11714,11714,19626,19626,733,733,8094,8094,50984,50984,25870,25870,44288,44288,20542,20542,20998,20998,8947,8947,22342,22342,49139,49139,15502,15502,19053,19053,38084,38084,14393,14393,21243,21243,28546,28546,10841,10841,10552,10552,28196,28196,25520,25520,45951,45951,47994,47994,67064,67064,17704,17704,65956,65956,34685,34685,27082,27082,26336,26336,14731,14731,63834,63834,19209,19209,43338,43338,40753,40753,19691,19691,23730,23730,728,728,37554,37554,20620,20620,21898,21898,23842,23842,17506,17506,9158,9158,16607,16607,14526,14526,25668,25668,6896,6896,57703,57703,21353,21353,11891,11891,27090,27090,20280,20280,14199,14199
6,19621,19621,37406,37406,31150,31150,57636,57636,42898,42898,78374,78374,51521,51521,17992,17992,3659,3659,10904,10904,10720,10720,35267,35267,18380,18380,40367,40367,6125,6125,13505,13505,25809,25809,110205,110205,4450,4450,14711,14711,13013,13013,62578,62578,32616,32616,9663,9663,80785,80785,36870,36870,25713,25713,65423,65423,2118,2118,13080,13080,3009,3009,14063,14063,64595,64595,68666,68666,12111,12111,19814,19814,710,710,8297,8297,50140,50140,25925,25925,45143,45143,20355,20355,20542,20542,8786,8786,22252,22252,49422,49422,16099,16099,19246,19246,37705,37705,14660,14660,20754,20754,28826,28826,11046,11046,11233,11233,28938,28938,25646,25646,45862,45862,48159,48159,67801,67801,17671,17671,64656,64656,35539,35539,27508,27508,26647,26647,15545,15545,63960,63960,19014,19014,42469,42469,40638,40638,19621,19621,23852,23852,801,801,37933,37933,20322,20322,22447,22447,23818,23818,17416,17416,9617,9617,16273,16273,14547,14547,26056,26056,6877,6877,57583,57583,21248,21248,12307,12307,27372,27372,20411,20411,14167,14167
7,19507,19507,38161,38161,31160,31160,55293,55293,42533,42533,81077,81077,53047,53047,18669,18669,3779,3779,11141,11141,10795,10795,36173,36173,18686,18686,41004,41004,6143,6143,13367,13367,25992,25992,110843,110843,4410,4410,14233,14233,13217,13217,61384,61384,32311,32311,8479,8479,81682,81682,38600,38600,25708,25708,65610,65610,2183,2183,13311,13311,2608,2608,13746,13746,62998,62998,66422,66422,12030,12030,19269,19269,672,672,8795,8795,49730,49730,26307,26307,44114,44114,20034,20034,20637,20637,9463,9463,21925,21925,49753,49753,15665,15665,19635,19635,37909,37909,14594,14594,21881,21881,28314,28314,10757,10757,10787,10787,28590,28590,26091,26091,46441,46441,48992,48992,67628,67628,17955,17955,64733,64733,34840,34840,27455,27455,26762,26762,15111,15111,64454,64454,19361,19361,43795,43795,41821,41821,20616,20616,23880,23880,715,715,39790,39790,19747,19747,22416,22416,23888,23888,17453,17453,9767,9767,16059,16059,14609,14609,27073,27073,7253,7253,57895,57895,21112,21112,12436,12436,27006,27006,20043,20043,14067,14067
8,20064,20064,37374,37374,31850,31850,53136,53136,42959,42959,81776,81776,53268,53268,18372,18372,3915,3915,10877,10877,10565,10565,37783,37783,18763,18763,41902,41902,5989,5989,13468,13468,27195,27195,110778,110778,4345,4345,14725,14725,13253,13253,62563,62563,31538,31538,8812,8812,81662,81662,37950,37950,25429,25429,64735,64735,2364,2364,13549,13549,2959,2959,13565,13565,64310,64310,65583,65583,12780,12780,19839,19839,752,752,8207,8207,50579,50579,26845,26845,45335,45335,20480,20480,20164,20164,9023,9023,22123,22123,50607,50607,15647,15647,19562,19562,38872,38872,15004,15004,21957,21957,29334,29334,10874,10874,10710,10710,28177,28177,25876,25876,46069,46069,50077,50077,68233,68233,18105,18105,64327,64327,35882,35882,27843,27843,26705,26705,15342,15342,64602,64602,19970,19970,43809,43809,41815,41815,20986,20986,24358,24358,738,738,39178,39178,19798,19798,22448,22448,23934,23934,17310,17310,10568,10568,15987,15987,14532,14532,26470,26470,6993,6993,57899,57899,21061,21061,12079,12079,27706,27706,19798,19798,13885,13885
9,20088,20088,38199,38199,32556,32556,49613,49613,44050,44050,83410,83410,53914,53914,19024,19024,3886,3886,11040,11040,11020,11020,38814,38814,19398,19398,42738,42738,6337,6337,13386,13386,27680,27680,111382,111382,4440,4440,14623,14623,13418,13418,62981,62981,31503,31503,9010,9010,81908,81908,40147,40147,26683,26683,67260,67260,2248,2248,13513,13513,2794,2794,13966,13966,66209,66209,66055,66055,13051,13051,18687,18687,718,718,8580,8580,52595,52595,26821,26821,46296,46296,20392,20392,21343,21343,8783,8783,22718,22718,52025,52025,15989,15989,20147,20147,39422,39422,14644,14644,22703,22703,29211,29211,10557,10557,10990,10990,29331,29331,26523,26523,47236,47236,50401,50401,68402,68402,18126,18126,65300,65300,36407,36407,28358,28358,26833,26833,15372,15372,65833,65833,19295,19295,44101,44101,41880,41880,21609,21609,24225,24225,650,650,39111,39111,19096,19096,23079,23079,24860,24860,17115,17115,11999,11999,15896,15896,14332,14332,26178,26178,6899,6899,57669,57669,20707,20707,12452,12452,27517,27517,20208,20208,14279,14279
10,20727,20727,38183,38183,33705,33705,46166,46166,44700,44700,84899,84899,54262,54262,19569,19569,4015,4015,11592,11592,11363,11363,38455,38455,19609,19609,43359,43359,6474,6474,13188,13188,28799,28799,112963,112963,4465,4465,15190,15190,13574,13574,63175,63175,31809,31809,9389,9389,83009,83009,37614,37614,26814,26814,68365,68365,2061,2061,13400,13400,3038,3038,14016,14016,66682,66682,66748,66748,13067,13067,19193,19193,757,757,8818,8818,52939,52939,27130,27130,47230,47230,20437,20437,21768,21768,9065,9065,23583,23583,51590,51590,16236,16236,20290,20290,39860,39860,15383,15383,23513,23513,29719,29719,10755,10755,11062,11062,29649,29649,26266,26266,48531,48531,51057,51057,69600,69600,18751,18751,65932,65932,35945,35945,28902,28902,27398,27398,15476,15476,66900,66900,19313,19313,44781,44781,42626,42626,23242,23242,24946,24946,644,644,39657,39657,18549,18549,22460,22460,24620,24620,17207,17207,12826,12826,15406,15406,14628,14628,27026,27026,7036,7036,58762,58762,21050,21050,12249,12249,27794,27794,19791,19791,13953,13953
11,22258,22258,38070,38070,36653,36653,42415,42415,44783,44783,84984,84984,51839,51839,23389,23389,4096,4096,11027,11027,11535,11535,47936,47936,19073,19073,47206,47206,6468,6468,13394,13394,27363,27363,109522,109522,4892,4892,13304,13304,13522,13522,59911,59911,30361,30361,10724,10724,84668,84668,38718,38718,27575,27575,70551,70551,2427,2427,14457,14457,3223,3223,15066,15066,70040,70040,65925,65925,14707,14707,20311,20311,682,682,9731,9731,52497,52497,25919,25919,52000,52000,20254,20254,22697,22697,8446,8446,23036,23036,55359,55359,16706,16706,21006,21006,40569,40569,15765,15765,24044,24044,31500,31500,10573,10573,11174,11174,31862,31862,26399,26399,49793,49793,52871,52871,72394,72394,19299,19299,68237,68237,37162,37162,28938,28938,28297,28297,15926,15926,67285,67285,17754,17754,45268,45268,44074,44074,23345,23345,24309,24309,672,672,39904,39904,16880,16880,22381,22381,23456,23456,16857,16857,13643,13643,14614,14614,14413,14413,25483,25483,6819,6819,57065,57065,19752,19752,11950,11950,27770,27770,19388,19388,13745,13745
12,22949,22949,39992,39992,37332,37332,42438,42438,47099,47099,85248,85248,49894,49894,23197,23197,4364,4364,10885,10885,11838,11838,47168,47168,20064,20064,47995,47995,6833,6833,13942,13942,26586,26586,109220,109220,4824,4824,13763,13763,13813,13813,60339,60339,28948,28948,10243,10243,86728,86728,38183,38183,27998,27998,74416,74416,2503,2503,14558,14558,3125,3125,15625,15625,73352,73352,68518,68518,15064,15064,20824,20824,778,778,10064,10064,55041,55041,26471,26471,53041,53041,20485,20485,23472,23472,9054,9054,23957,23957,57004,57004,17922,17922,21638,21638,42713,42713,16058,16058,24018,24018,32686,32686,10243,10243,10115,10115,32278,32278,26544,26544,50943,50943,53880,53880,73842,73842,19869,19869,68251,68251,39195,39195,29788,29788,29165,29165,16151,16151,71659,71659,17828,17828,47541,47541,44819,44819,22742,22742,24817,24817,663,663,41438,41438,15184,15184,21615,21615,24369,24369,17478,17478,13290,13290,13755,13755,14036,14036,25403,25403,6930,6930,58305,58305,18945,18945,11717,11717,28052,28052,17885,17885,13383,13383
13,23151,23151,39807,39807,36581,36581,40752,40752,47292,47292,88033,88033,52087,52087,23474,23474,4193,4193,11533,11533,12015,12015,47393,47393,19962,19962,48088,48088,6903,6903,13762,13762,28414,28414,108876,108876,5007,5007,13965,13965,14301,14301,59833,59833,29686,29686,10109,10109,88756,88756,40083,40083,27885,27885,71309,71309,2454,2454,14851,14851,3222,3222,15672,15672,70739,70739,68124,68124,13802,13802,20951,20951,787,787,9558,9558,54116,54116,26635,26635,52802,52802,20843,20843,22608,22608,9264,9264,24050,24050,56397,56397,17584,17584,21517,21517,42659,42659,15950,15950,23468,23468,32241,32241,10738,10738,10715,10715,32235,32235,27422,27422,50877,50877,54372,54372,74225,74225,19886,19886,68764,68764,37978,37978,29073,29073,29525,29525,16663,16663,70858,70858,17448,17448,47203,47203,44656,44656,25823,25823,24669,24669,714,714,41711,41711,15783,15783,21658,21658,24256,24256,17670,17670,13132,13132,13923,13923,14870,14870,26337,26337,7118,7118,59265,59265,19881,19881,12052,12052,27397,27397,18361,18361,13458,13458
14,22848,22848,39617,39617,35736,35736,37514,37514,47396,47396,87956,87956,52648,52648,22841,22841,4070,4070,11158,11158,11484,11484,45962,45962,20003,20003,48165,48165,6777,6777,13484,13484,28921,28921,109360,109360,4896,4896,14006,14006,14126,14126,60349,60349,29748,29748,9888,9888,87481,87481,37843,37843,28038,28038,71028,71028,2516,2516,15092,15092,3177,3177,15132,15132,69796,69796,68580,68580,14333,14333,18893,18893,797,797,9849,9849,53783,53783,27649,27649,51135,51135,20346,20346,22842,22842,9373,9373,23314,23314,56430,56430,17623,17623,21918,21918,41647,41647,16022,16022,23161,23161,31798,31798,10520,10520,10522,10522,32092,32092,27390,27390,50853,50853,54852,54852,73475,73475,19469,19469,67174,67174,38784,38784,29334,29334,29111,29111,16207,16207,70743,70743,18431,18431,47363,47363,44643,44643,28138,28138,25209,25209,743,743,40678,40678,16205,16205,22057,22057,24610,24610,17302,17302,13056,13056,14347,14347,14556,14556,26979,26979,6962,6962,58737,58737,19523,19523,12674,12674,28255,28255,19105,19105,13415,13415
