 ,IntDen1,RawIntDen1
1,24021348,24021348
2,23027106,23027106
3,21985924,21985924
4,21088998,21088998
5,20514652,20514652
6,19997804,19997804
7,19463644,19463644
8,18898336,18898336
9,18371718,18371718
10,17961960,17961960
11,17505748,17505748
12,17116620,17116620
13,16990676,16990676
14,16704259,16704259
15,16390415,16390415
16,16172096,16172096
17,15819407,15819407
18,15524963,15524963
19,15299486,15299486
20,15186254,15186254
21,15125666,15125666
22,14927172,14927172
23,14673991,14673991
24,14516133,14516133
25,14344955,14344955
26,14176881,14176881
27,14064031,14064031
28,13940249,13940249
29,13776825,13776825
30,13586234,13586234
31,13466973,13466973
32,13375815,13375815
33,13224717,13224717
34,13088099,13088099
35,12975391,12975391
36,12893892,12893892
37,12778234,12778234
38,12692154,12692154
39,12600002,12600002
40,12470633,12470633
