 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18
1,9983,9983,9582,9582,21542,21542,7454,7454,8037,8037,3037,3037,9524,9524,9882,9882,17808,17808,6618,6618,11229,11229,7295,7295,3040,3040,8404,8404,11106,11106,22348,22348,14467,14467,5249,5249
2,10060,10060,10052,10052,21047,21047,7199,7199,7875,7875,3138,3138,9229,9229,10005,10005,17964,17964,6750,6750,11264,11264,7544,7544,3063,3063,9218,9218,11181,11181,23891,23891,15019,15019,5345,5345
3,9787,9787,10135,10135,21318,21318,7569,7569,8037,8037,3218,3218,9222,9222,10431,10431,17953,17953,6831,6831,11133,11133,7844,7844,3080,3080,9652,9652,11536,11536,24417,24417,14739,14739,5497,5497
4,9571,9571,9901,9901,19520,19520,7289,7289,8350,8350,2928,2928,9200,9200,9843,9843,18823,18823,7323,7323,11083,11083,7416,7416,3250,3250,9764,9764,11462,11462,25931,25931,15412,15412,5325,5325
5,9602,9602,9891,9891,21079,21079,7345,7345,8079,8079,3027,3027,8798,8798,9908,9908,18669,18669,7337,7337,10819,10819,7577,7577,3156,3156,9622,9622,11411,11411,25550,25550,15439,15439,5378,5378
6,8668,8668,10289,10289,20975,20975,7381,7381,8583,8583,3217,3217,8778,8778,9864,9864,18407,18407,7016,7016,10567,10567,7540,7540,3383,3383,9909,9909,11683,11683,26832,26832,15435,15435,5406,5406
7,8808,8808,10474,10474,19180,19180,7448,7448,8669,8669,3302,3302,9073,9073,10057,10057,18520,18520,7213,7213,10992,10992,7384,7384,3518,3518,10341,10341,11565,11565,26140,26140,15264,15264,5636,5636
8,8814,8814,10338,10338,20740,20740,7457,7457,8648,8648,3156,3156,9174,9174,10350,10350,18493,18493,7180,7180,11053,11053,7480,7480,3377,3377,10328,10328,11150,11150,26384,26384,15229,15229,5716,5716
9,8211,8211,10671,10671,20702,20702,7524,7524,8641,8641,3416,3416,9666,9666,10707,10707,18355,18355,7147,7147,10977,10977,7830,7830,3449,3449,10215,10215,11554,11554,27421,27421,15754,15754,5926,5926
10,7996,7996,10025,10025,19438,19438,7475,7475,8639,8639,3411,3411,9130,9130,10673,10673,18465,18465,7618,7618,10982,10982,7812,7812,3495,3495,10744,10744,11807,11807,27302,27302,15125,15125,5836,5836
11,8222,8222,10335,10335,20269,20269,7345,7345,9249,9249,3380,3380,9484,9484,11013,11013,18665,18665,7546,7546,10775,10775,8082,8082,3204,3204,10234,10234,11367,11367,27792,27792,14545,14545,6126,6126
12,8421,8421,10841,10841,18485,18485,7151,7151,9101,9101,3143,3143,9610,9610,11080,11080,18244,18244,7234,7234,10326,10326,8369,8369,3593,3593,10270,10270,10926,10926,29321,29321,14086,14086,5636,5636
13,8458,8458,10719,10719,19871,19871,7173,7173,9029,9029,3206,3206,9394,9394,10965,10965,18682,18682,7476,7476,10463,10463,7988,7988,3302,3302,10487,10487,11353,11353,28934,28934,14783,14783,5769,5769
