 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130
1,68451,68451,24256,24256,32420,32420,118650,118650,149001,149001,27488,27488,36097,36097,33182,33182,43362,43362,21366,21366,91150,91150,57673,57673,67617,67617,97554,97554,12777,12777,77443,77443,15090,15090,37158,37158,49526,49526,83340,83340,54816,54816,50786,50786,28939,28939,59247,59247,18163,18163,55541,55541,114369,114369,39707,39707,140845,140845,28618,28618,25565,25565,15479,15479,85436,85436,47213,47213,88342,88342,160428,160428,68692,68692,24237,24237,17176,17176,23281,23281,47196,47196,19771,19771,101308,101308,70922,70922,11428,11428,101339,101339,38504,38504,30894,30894,43245,43245,48938,48938,92133,92133,27520,27520,63056,63056,24239,24239,69867,69867,47649,47649,100634,100634,72593,72593,31370,31370,37922,37922,30366,30366,19590,19590,140790,140790,291723,291723,68978,68978,66374,66374,58916,58916,39055,39055,27001,27001,20192,20192,8415,8415,43738,43738,11822,11822,29787,29787,39364,39364,64620,64620,47816,47816,33896,33896,30831,30831,26381,26381,75144,75144,39195,39195,25572,25572,20958,20958,20561,20561,27591,27591,45597,45597,39116,39116,23708,23708,28388,28388,51751,51751,18408,18408,65158,65158,39180,39180,32454,32454,14108,14108,57709,57709,29724,29724,69408,69408,28509,28509,64558,64558,92907,92907,38247,38247,27196,27196,34007,34007,79948,79948,25062,25062,35969,35969,17754,17754,37326,37326,9704,9704,164637,164637,21103,21103,41104,41104,8807,8807,27934,27934,50394,50394,40848,40848,35335,35335,12589,12589,23064,23064,17191,17191,128862,128862,19930,19930,16336,16336,33987,33987,12350,12350,27829,27829,18952,18952,22778,22778
2,68098,68098,23293,23293,32064,32064,117967,117967,147904,147904,28088,28088,35975,35975,32631,32631,43039,43039,21360,21360,91022,91022,57836,57836,65818,65818,95868,95868,12730,12730,77778,77778,15167,15167,36730,36730,47732,47732,82658,82658,55189,55189,49265,49265,29155,29155,63363,63363,18216,18216,56481,56481,112107,112107,39490,39490,138423,138423,28680,28680,26021,26021,15156,15156,82484,82484,46634,46634,88548,88548,158251,158251,68799,68799,24508,24508,17869,17869,22652,22652,46912,46912,19079,19079,105549,105549,69383,69383,11451,11451,101148,101148,38440,38440,30640,30640,42726,42726,48410,48410,92316,92316,27592,27592,61987,61987,24906,24906,69839,69839,47906,47906,102369,102369,71780,71780,30477,30477,37738,37738,30296,30296,19669,19669,141155,141155,293339,293339,69110,69110,65362,65362,57838,57838,43059,43059,27285,27285,19952,19952,8949,8949,44109,44109,11804,11804,29716,29716,39353,39353,89040,89040,47680,47680,33834,33834,30402,30402,28245,28245,110338,110338,38599,38599,25134,25134,20727,20727,20189,20189,27015,27015,44500,44500,38853,38853,23120,23120,28845,28845,51046,51046,18382,18382,65303,65303,37926,37926,31811,31811,14577,14577,57525,57525,29426,29426,69164,69164,29439,29439,64038,64038,92883,92883,37176,37176,26375,26375,32569,32569,79273,79273,24929,24929,35602,35602,17533,17533,35970,35970,8926,8926,155216,155216,20886,20886,40259,40259,9330,9330,27208,27208,49538,49538,40245,40245,35892,35892,13695,13695,23686,23686,16988,16988,127584,127584,19693,19693,16303,16303,32986,32986,12340,12340,27337,27337,18459,18459,22799,22799
3,68913,68913,22734,22734,31741,31741,119331,119331,148718,148718,27571,27571,35487,35487,32501,32501,43153,43153,21020,21020,92115,92115,59302,59302,65073,65073,96885,96885,12718,12718,80398,80398,14699,14699,37011,37011,46194,46194,82993,82993,55197,55197,48683,48683,28915,28915,70373,70373,17977,17977,56293,56293,112839,112839,40321,40321,137549,137549,29130,29130,26926,26926,15594,15594,83032,83032,47061,47061,88791,88791,160228,160228,71362,71362,24702,24702,17342,17342,22463,22463,46057,46057,19188,19188,106006,106006,69960,69960,10679,10679,102036,102036,38763,38763,31637,31637,41280,41280,48647,48647,92700,92700,27165,27165,62777,62777,25160,25160,69993,69993,48344,48344,117290,117290,72243,72243,29938,29938,37444,37444,30139,30139,19509,19509,144443,144443,294909,294909,69219,69219,66237,66237,57836,57836,49395,49395,26342,26342,19397,19397,20489,20489,43314,43314,12315,12315,34493,34493,38831,38831,127279,127279,48615,48615,34540,34540,32260,32260,33008,33008,162497,162497,39190,39190,25521,25521,20689,20689,20035,20035,27089,27089,45768,45768,38513,38513,22171,22171,31328,31328,51020,51020,20953,20953,64858,64858,37453,37453,31580,31580,14629,14629,57824,57824,29083,29083,69327,69327,41471,41471,63085,63085,93177,93177,37084,37084,26081,26081,32251,32251,80178,80178,24953,24953,36615,36615,17226,17226,35635,35635,9200,9200,151417,151417,21077,21077,39312,39312,9194,9194,27710,27710,48883,48883,39680,39680,37190,37190,14436,14436,24299,24299,17301,17301,128066,128066,19352,19352,17150,17150,32975,32975,12601,12601,27849,27849,18046,18046,23596,23596
4,67870,67870,22730,22730,31544,31544,119724,119724,148330,148330,28038,28038,35559,35559,33192,33192,43362,43362,21948,21948,90298,90298,61293,61293,62389,62389,96299,96299,12183,12183,82127,82127,15040,15040,36071,36071,44125,44125,83301,83301,54823,54823,48395,48395,30133,30133,79468,79468,18716,18716,56740,56740,114687,114687,41528,41528,138024,138024,30101,30101,27838,27838,15955,15955,82469,82469,47890,47890,89439,89439,162344,162344,72752,72752,24057,24057,17524,17524,23332,23332,47459,47459,18923,18923,107589,107589,71241,71241,14261,14261,102687,102687,38041,38041,32117,32117,40449,40449,47205,47205,92612,92612,27621,27621,62158,62158,25372,25372,71183,71183,48965,48965,116588,116588,71848,71848,30435,30435,38623,38623,30780,30780,19488,19488,144491,144491,304255,304255,69305,69305,66938,66938,58222,58222,58396,58396,26921,26921,20085,20085,18457,18457,43768,43768,11808,11808,33606,33606,39689,39689,141872,141872,48734,48734,34691,34691,32355,32355,33781,33781,177350,177350,38557,38557,25608,25608,20747,20747,20464,20464,27414,27414,45265,45265,39115,39115,22741,22741,31417,31417,51491,51491,30614,30614,64561,64561,37781,37781,31068,31068,14778,14778,57002,57002,28932,28932,69074,69074,101194,101194,62800,62800,92990,92990,35815,35815,26160,26160,32121,32121,80884,80884,25067,25067,36833,36833,17089,17089,34565,34565,8942,8942,151289,151289,21714,21714,39408,39408,9251,9251,27402,27402,48762,48762,39938,39938,38245,38245,14566,14566,24552,24552,17335,17335,128379,128379,19472,19472,16813,16813,33067,33067,12633,12633,28688,28688,18040,18040,24115,24115
5,67214,67214,22479,22479,31654,31654,122830,122830,148182,148182,27617,27617,35870,35870,32890,32890,44495,44495,21271,21271,88839,88839,62428,62428,60284,60284,94102,94102,12521,12521,82759,82759,15293,15293,36525,36525,40487,40487,82545,82545,54875,54875,47390,47390,29882,29882,90460,90460,17848,17848,56341,56341,113868,113868,40879,40879,135653,135653,30322,30322,27703,27703,15821,15821,79493,79493,48256,48256,89150,89150,161754,161754,73338,73338,24180,24180,17304,17304,23550,23550,48936,48936,19644,19644,106432,106432,72340,72340,23512,23512,102765,102765,37945,37945,31959,31959,40399,40399,47843,47843,92794,92794,27979,27979,62235,62235,25463,25463,70255,70255,50588,50588,113990,113990,71262,71262,29944,29944,38358,38358,30862,30862,20014,20014,145788,145788,322003,322003,69281,69281,73606,73606,56464,56464,63792,63792,27747,27747,20253,20253,15371,15371,43541,43541,11721,11721,32771,32771,39547,39547,144637,144637,48738,48738,35030,35030,33030,33030,33494,33494,172852,172852,38634,38634,25944,25944,20367,20367,20568,20568,27282,27282,47513,47513,38128,38128,21766,21766,31605,31605,52357,52357,30385,30385,64664,64664,37231,37231,30985,30985,14992,14992,57425,57425,28613,28613,68790,68790,103465,103465,63410,63410,92585,92585,36218,36218,26073,26073,31740,31740,80865,80865,25589,25589,37111,37111,17482,17482,34610,34610,9323,9323,150281,150281,22270,22270,39003,39003,9604,9604,27584,27584,50281,50281,39294,39294,40288,40288,14249,14249,24550,24550,17493,17493,130327,130327,19487,19487,17352,17352,33315,33315,12730,12730,30879,30879,17849,17849,26614,26614
6,67633,67633,22429,22429,30971,30971,123576,123576,147454,147454,27639,27639,36150,36150,33327,33327,43411,43411,21814,21814,89496,89496,65748,65748,57285,57285,94421,94421,12294,12294,83445,83445,15305,15305,35458,35458,37669,37669,83882,83882,54591,54591,47035,47035,30082,30082,102721,102721,18332,18332,57720,57720,114117,114117,40989,40989,135471,135471,32606,32606,26087,26087,15949,15949,80489,80489,48537,48537,89643,89643,160673,160673,74784,74784,24575,24575,17802,17802,23806,23806,48707,48707,19096,19096,106930,106930,71251,71251,19200,19200,103996,103996,37652,37652,32505,32505,40031,40031,47073,47073,92835,92835,29073,29073,62852,62852,25179,25179,69117,69117,56996,56996,113114,113114,72513,72513,29528,29528,38443,38443,31890,31890,19869,19869,146181,146181,351180,351180,69477,69477,105773,105773,57051,57051,60461,60461,28808,28808,19855,19855,14566,14566,44642,44642,11684,11684,32212,32212,41721,41721,144443,144443,49027,49027,35380,35380,34383,34383,34082,34082,169170,169170,37745,37745,25809,25809,19926,19926,20838,20838,26967,26967,45043,45043,39034,39034,22476,22476,31449,31449,53303,53303,29716,29716,65024,65024,37036,37036,30775,30775,20280,20280,58147,58147,28656,28656,69619,69619,96246,96246,64021,64021,92927,92927,35618,35618,25757,25757,31475,31475,80366,80366,25929,25929,37422,37422,17320,17320,34390,34390,9101,9101,148686,148686,23624,23624,38558,38558,9172,9172,27645,27645,54386,54386,39083,39083,43227,43227,14323,14323,25738,25738,17392,17392,130654,130654,19907,19907,17075,17075,34408,34408,12639,12639,41641,41641,18378,18378,30545,30545
7,67059,67059,22945,22945,30749,30749,124121,124121,146703,146703,28456,28456,35529,35529,33614,33614,44199,44199,22455,22455,90012,90012,68519,68519,55492,55492,92864,92864,12803,12803,85407,85407,16111,16111,35866,35866,35733,35733,83852,83852,55088,55088,47235,47235,30036,30036,116865,116865,18211,18211,57425,57425,114187,114187,41161,41161,136833,136833,35350,35350,25412,25412,15955,15955,82284,82284,48706,48706,90649,90649,160888,160888,74978,74978,23904,23904,17582,17582,24091,24091,49147,49147,19283,19283,107360,107360,72496,72496,17764,17764,105299,105299,35968,35968,31814,31814,38831,38831,46883,46883,94029,94029,29879,29879,62920,62920,25669,25669,70754,70754,58754,58754,112313,112313,71723,71723,29605,29605,39220,39220,31344,31344,19714,19714,145869,145869,370273,370273,69048,69048,114190,114190,57259,57259,53434,53434,28913,28913,20646,20646,13811,13811,43519,43519,11397,11397,32394,32394,40641,40641,146282,146282,49457,49457,35825,35825,34976,34976,34357,34357,165604,165604,37495,37495,26100,26100,20273,20273,20683,20683,27201,27201,46848,46848,38942,38942,22280,22280,32204,32204,53330,53330,28505,28505,63773,63773,36339,36339,30300,30300,38253,38253,58828,58828,28527,28527,68838,68838,88711,88711,63735,63735,93332,93332,35875,35875,26431,26431,32104,32104,81844,81844,25640,25640,37062,37062,17306,17306,34148,34148,9268,9268,147130,147130,24985,24985,39420,39420,8914,8914,27318,27318,59105,59105,38409,38409,45314,45314,14461,14461,26671,26671,17686,17686,134318,134318,19483,19483,17326,17326,32938,32938,12565,12565,53072,53072,19235,19235,34799,34799
8,68196,68196,22453,22453,31891,31891,125564,125564,147988,147988,28582,28582,37103,37103,33378,33378,44998,44998,21869,21869,89246,89246,75681,75681,54441,54441,92753,92753,12502,12502,86446,86446,15864,15864,36575,36575,34661,34661,83576,83576,55646,55646,47132,47132,29579,29579,130884,130884,18273,18273,57527,57527,111412,111412,41527,41527,140372,140372,36335,36335,25106,25106,16137,16137,82539,82539,49344,49344,90793,90793,156803,156803,74546,74546,24431,24431,17318,17318,24823,24823,48608,48608,19265,19265,107485,107485,73250,73250,17734,17734,114770,114770,35751,35751,31342,31342,39566,39566,46611,46611,94716,94716,30075,30075,64036,64036,26227,26227,70645,70645,58828,58828,109138,109138,71712,71712,28632,28632,39033,39033,32686,32686,20260,20260,146826,146826,378217,378217,69646,69646,103002,103002,57813,57813,47116,47116,29913,29913,20159,20159,14576,14576,44258,44258,11525,11525,33119,33119,40486,40486,156410,156410,53397,53397,36135,36135,36119,36119,34049,34049,161545,161545,37467,37467,25700,25700,19857,19857,20685,20685,26916,26916,45452,45452,40535,40535,22535,22535,32104,32104,53408,53408,28165,28165,63352,63352,36760,36760,30493,30493,30555,30555,57734,57734,29541,29541,70027,70027,82452,82452,65138,65138,93330,93330,35859,35859,26058,26058,31719,31719,82645,82645,25759,25759,36631,36631,17229,17229,34615,34615,9110,9110,146036,146036,25390,25390,39429,39429,9334,9334,27873,27873,61988,61988,38974,38974,45998,45998,14519,14519,27686,27686,17263,17263,137629,137629,18975,18975,17649,17649,32651,32651,12703,12703,52178,52178,18734,18734,39159,39159
9,69219,69219,22293,22293,31893,31893,127789,127789,148576,148576,28158,28158,36414,36414,33808,33808,45362,45362,22197,22197,89286,89286,86860,86860,54365,54365,92349,92349,12971,12971,87550,87550,16021,16021,36616,36616,34792,34792,83361,83361,55650,55650,47895,47895,29797,29797,146597,146597,18508,18508,57657,57657,105220,105220,42394,42394,142960,142960,36153,36153,24755,24755,16284,16284,86650,86650,50494,50494,92420,92420,155218,155218,74845,74845,24960,24960,17752,17752,25217,25217,49096,49096,19467,19467,108176,108176,75065,75065,17724,17724,148179,148179,36388,36388,31665,31665,38574,38574,47544,47544,96022,96022,30730,30730,63037,63037,26099,26099,71140,71140,59477,59477,108269,108269,73108,73108,29924,29924,39440,39440,33059,33059,20533,20533,148046,148046,380878,380878,70634,70634,97770,97770,58600,58600,45414,45414,30655,30655,21085,21085,13871,13871,44670,44670,11826,11826,34274,34274,40920,40920,175944,175944,56842,56842,36538,36538,36430,36430,35556,35556,146861,146861,37546,37546,26304,26304,20317,20317,20667,20667,27688,27688,48503,48503,42884,42884,24168,24168,32181,32181,53552,53552,26443,26443,64480,64480,36640,36640,30704,30704,27821,27821,60716,60716,30100,30100,69741,69741,69686,69686,66853,66853,93861,93861,35837,35837,26017,26017,32194,32194,84380,84380,26549,26549,36753,36753,17022,17022,34875,34875,9141,9141,144805,144805,25443,25443,40388,40388,9101,9101,28632,28632,62630,62630,39715,39715,43383,43383,14792,14792,28578,28578,18130,18130,138609,138609,19658,19658,17893,17893,34063,34063,12619,12619,50380,50380,18445,18445,39385,39385
10,68457,68457,22276,22276,32027,32027,129650,129650,148956,148956,28616,28616,36761,36761,33962,33962,44906,44906,23200,23200,88452,88452,101846,101846,53157,53157,92095,92095,13243,13243,88034,88034,16648,16648,36716,36716,33204,33204,84254,84254,56231,56231,48513,48513,30165,30165,158589,158589,18499,18499,57102,57102,96465,96465,43433,43433,145887,145887,36892,36892,24902,24902,16627,16627,85198,85198,52225,52225,93213,93213,152707,152707,74376,74376,24657,24657,17462,17462,26243,26243,48741,48741,20028,20028,104400,104400,74776,74776,17503,17503,163583,163583,35773,35773,31952,31952,38882,38882,46055,46055,95992,95992,30570,30570,64209,64209,26860,26860,71107,71107,61036,61036,108270,108270,73189,73189,29211,29211,40064,40064,33006,33006,20089,20089,150012,150012,379818,379818,71689,71689,92020,92020,58128,58128,42348,42348,30942,30942,20934,20934,14413,14413,45332,45332,11294,11294,34929,34929,41682,41682,171768,171768,56403,56403,36330,36330,37710,37710,34859,34859,120108,120108,37459,37459,25953,25953,20720,20720,21302,21302,28340,28340,48435,48435,48672,48672,28278,28278,32733,32733,52595,52595,23002,23002,63654,63654,37341,37341,31063,31063,24794,24794,59400,59400,29733,29733,71179,71179,59058,59058,73943,73943,95413,95413,35492,35492,26916,26916,33057,33057,86432,86432,26598,26598,36146,36146,16748,16748,35170,35170,9229,9229,145366,145366,25117,25117,39757,39757,9309,9309,27702,27702,78510,78510,39673,39673,39826,39826,14693,14693,29651,29651,17654,17654,139246,139246,19048,19048,17941,17941,33971,33971,12429,12429,47288,47288,18372,18372,37710,37710
