 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24
1,20067,20067,47639,47639,13994,13994,54196,54196,9365,9365,21732,21732,13370,13370,14524,14524,5084,5084,21512,21512,16705,16705,21742,21742,9810,9810,9751,9751,20960,20960,5945,5945,48726,48726,49202,49202,42019,42019,2149,2149,34910,34910,7197,7197,22165,22165,2871,2871
2,19148,19148,46448,46448,13931,13931,53541,53541,9112,9112,21567,21567,14297,14297,14750,14750,5026,5026,22521,22521,16598,16598,22627,22627,10397,10397,10008,10008,21959,21959,5825,5825,50303,50303,50121,50121,59619,59619,2442,2442,36564,36564,7918,7918,23015,23015,3057,3057
3,19512,19512,45685,45685,14128,14128,52680,52680,9131,9131,21305,21305,14668,14668,14758,14758,5330,5330,23388,23388,16556,16556,22808,22808,10670,10670,10396,10396,23271,23271,5733,5733,49666,49666,48263,48263,61784,61784,2371,2371,36370,36370,7823,7823,23632,23632,3139,3139
4,19896,19896,45648,45648,14460,14460,52019,52019,9259,9259,21475,21475,15644,15644,15256,15256,5785,5785,23029,23029,16619,16619,23625,23625,10988,10988,10311,10311,23891,23891,5706,5706,50602,50602,48945,48945,47698,47698,2635,2635,35897,35897,8441,8441,24276,24276,3366,3366
5,18978,18978,45400,45400,14617,14617,51307,51307,9389,9389,21665,21665,15624,15624,15853,15853,5475,5475,22885,22885,17594,17594,23511,23511,10707,10707,10804,10804,24676,24676,5921,5921,51018,51018,49850,49850,44766,44766,2761,2761,35129,35129,8460,8460,25542,25542,3445,3445
6,19294,19294,45145,45145,14985,14985,52092,52092,9292,9292,21812,21812,16081,16081,15391,15391,5536,5536,24142,24142,16970,16970,24533,24533,11152,11152,11171,11171,25281,25281,6022,6022,53762,53762,51264,51264,42832,42832,2723,2723,35897,35897,8730,8730,25681,25681,3217,3217
7,19184,19184,43657,43657,14344,14344,51041,51041,9398,9398,21326,21326,16983,16983,15406,15406,5672,5672,24359,24359,16976,16976,24362,24362,11324,11324,11078,11078,25950,25950,6126,6126,52031,52031,49125,49125,42517,42517,2807,2807,35621,35621,8890,8890,26188,26188,3391,3391
8,18945,18945,43934,43934,14214,14214,50351,50351,9626,9626,21186,21186,16966,16966,16190,16190,5999,5999,23874,23874,17568,17568,24018,24018,11597,11597,10777,10777,26166,26166,6040,6040,52586,52586,49764,49764,43122,43122,2863,2863,35301,35301,9147,9147,26606,26606,3385,3385
9,19247,19247,43802,43802,14510,14510,50200,50200,9775,9775,21613,21613,17124,17124,16113,16113,5487,5487,24227,24227,18370,18370,24506,24506,11218,11218,11194,11194,26240,26240,5968,5968,53941,53941,49515,49515,43392,43392,2828,2828,34709,34709,9436,9436,26604,26604,3578,3578
10,18927,18927,43324,43324,14768,14768,49938,49938,10562,10562,21403,21403,17411,17411,16148,16148,5985,5985,24109,24109,19424,19424,24448,24448,11753,11753,11698,11698,26621,26621,6261,6261,53620,53620,50519,50519,44258,44258,2746,2746,35337,35337,9175,9175,26636,26636,3668,3668
11,19351,19351,44230,44230,14041,14041,50354,50354,11458,11458,21787,21787,17935,17935,15425,15425,5771,5771,22857,22857,20680,20680,24503,24503,11195,11195,11585,11585,26836,26836,5950,5950,51579,51579,46364,46364,45019,45019,3040,3040,33809,33809,9548,9548,27486,27486,3894,3894
12,19426,19426,45108,45108,13948,13948,50558,50558,17492,17492,21401,21401,18109,18109,15152,15152,5998,5998,23090,23090,19379,19379,24902,24902,11223,11223,11801,11801,27084,27084,5591,5591,52138,52138,46489,46489,47268,47268,2965,2965,34516,34516,9846,9846,28704,28704,3652,3652
13,19937,19937,43929,43929,13952,13952,51223,51223,22427,22427,21987,21987,17994,17994,15899,15899,6012,6012,23258,23258,18697,18697,24860,24860,11273,11273,11611,11611,27460,27460,5708,5708,54264,54264,47577,47577,49876,49876,3169,3169,34095,34095,10119,10119,27717,27717,3766,3766
14,19402,19402,44919,44919,13784,13784,51108,51108,24073,24073,21667,21667,17738,17738,16041,16041,5965,5965,23944,23944,19190,19190,24970,24970,11709,11709,11596,11596,28004,28004,5936,5936,57000,57000,48884,48884,50576,50576,3012,3012,34812,34812,9980,9980,28231,28231,3987,3987
15,19029,19029,44815,44815,14168,14168,51352,51352,23981,23981,21595,21595,18212,18212,15799,15799,6209,6209,24466,24466,18911,18911,25172,25172,11588,11588,11733,11733,27683,27683,5932,5932,57247,57247,49195,49195,51620,51620,3042,3042,35206,35206,10011,10011,27955,27955,3886,3886
16,19283,19283,44236,44236,14213,14213,50104,50104,24669,24669,21061,21061,18650,18650,16222,16222,5897,5897,24301,24301,19225,19225,25019,25019,11636,11636,11743,11743,27503,27503,6104,6104,57486,57486,50138,50138,50320,50320,3137,3137,34956,34956,9952,9952,28677,28677,3772,3772
17,19864,19864,44212,44212,14534,14534,50870,50870,24280,24280,21602,21602,18698,18698,16508,16508,6076,6076,24238,24238,18616,18616,25790,25790,11571,11571,11952,11952,28145,28145,6054,6054,55237,55237,49736,49736,50923,50923,3045,3045,34336,34336,10125,10125,28336,28336,3913,3913
18,19202,19202,44466,44466,14337,14337,50818,50818,23732,23732,21510,21510,18230,18230,16060,16060,6084,6084,24510,24510,18958,18958,25122,25122,11415,11415,11627,11627,27949,27949,6385,6385,53105,53105,47625,47625,51216,51216,3055,3055,34040,34040,10205,10205,28460,28460,4022,4022
19,19760,19760,44717,44717,14535,14535,49987,49987,23961,23961,21439,21439,18522,18522,16508,16508,6091,6091,24876,24876,19313,19313,25364,25364,11473,11473,11889,11889,28437,28437,6904,6904,51807,51807,49166,49166,51147,51147,2879,2879,34517,34517,10115,10115,28310,28310,3769,3769
20,19726,19726,44941,44941,14530,14530,49770,49770,24416,24416,21136,21136,18406,18406,15929,15929,5865,5865,25526,25526,18883,18883,25411,25411,11605,11605,11909,11909,28996,28996,6661,6661,50499,50499,48302,48302,52369,52369,3083,3083,34388,34388,10357,10357,28418,28418,4143,4143
21,20131,20131,45470,45470,14671,14671,50547,50547,24354,24354,21626,21626,18719,18719,16392,16392,6046,6046,24975,24975,18803,18803,25126,25126,11649,11649,11751,11751,28057,28057,6848,6848,47334,47334,48320,48320,52995,52995,3043,3043,33899,33899,10234,10234,27908,27908,4065,4065
22,19731,19731,45222,45222,14571,14571,50148,50148,23809,23809,21320,21320,18520,18520,15899,15899,6124,6124,24864,24864,19222,19222,25477,25477,11401,11401,11762,11762,28776,28776,6525,6525,46165,46165,49109,49109,53004,53004,3127,3127,33659,33659,10113,10113,28208,28208,3975,3975
23,19687,19687,44634,44634,14948,14948,50250,50250,23247,23247,21283,21283,18668,18668,15866,15866,6101,6101,24794,24794,19154,19154,25138,25138,11397,11397,11730,11730,28212,28212,6740,6740,43037,43037,49501,49501,49664,49664,2979,2979,33639,33639,9839,9839,28392,28392,3885,3885
24,19157,19157,43604,43604,14995,14995,50602,50602,23916,23916,21318,21318,18609,18609,15772,15772,6269,6269,25242,25242,19460,19460,25448,25448,11842,11842,12021,12021,28679,28679,7154,7154,42130,42130,49649,49649,49873,49873,2991,2991,33752,33752,10135,10135,28220,28220,3834,3834
25,19721,19721,44888,44888,14842,14842,50721,50721,23259,23259,21259,21259,18794,18794,15915,15915,6196,6196,25538,25538,20041,20041,25403,25403,11880,11880,11958,11958,28396,28396,6970,6970,36483,36483,49964,49964,50247,50247,2954,2954,33370,33370,10046,10046,28074,28074,3846,3846
26,19188,19188,44526,44526,15001,15001,51582,51582,23538,23538,21601,21601,18636,18636,15946,15946,5864,5864,24727,24727,19294,19294,24976,24976,11585,11585,12103,12103,28649,28649,6951,6951,33175,33175,50741,50741,49519,49519,2989,2989,32770,32770,9685,9685,28115,28115,3915,3915
27,19240,19240,44166,44166,14704,14704,52225,52225,23278,23278,21205,21205,18397,18397,15806,15806,6064,6064,24658,24658,19494,19494,25320,25320,11742,11742,11998,11998,28847,28847,7103,7103,34973,34973,48169,48169,47174,47174,3046,3046,32561,32561,10202,10202,27731,27731,3955,3955
28,19792,19792,45613,45613,15181,15181,55442,55442,23390,23390,21516,21516,18952,18952,15758,15758,6193,6193,25808,25808,19538,19538,25016,25016,11465,11465,11945,11945,28902,28902,7139,7139,31751,31751,49311,49311,47922,47922,3069,3069,32195,32195,10219,10219,27792,27792,4065,4065
29,19786,19786,45468,45468,15379,15379,59031,59031,24045,24045,21835,21835,18912,18912,16288,16288,5921,5921,25249,25249,19511,19511,25014,25014,11531,11531,11813,11813,27947,27947,7171,7171,28607,28607,49217,49217,46583,46583,3157,3157,32048,32048,10090,10090,27736,27736,4320,4320
30,19587,19587,46604,46604,15254,15254,64505,64505,23795,23795,21104,21104,18636,18636,16353,16353,5848,5848,25761,25761,18836,18836,25295,25295,11685,11685,12001,12001,28692,28692,7157,7157,28849,28849,49495,49495,46769,46769,3047,3047,32367,32367,9779,9779,27566,27566,3969,3969
31,19853,19853,45945,45945,14586,14586,72894,72894,23942,23942,20918,20918,18374,18374,16113,16113,6064,6064,25158,25158,19476,19476,25015,25015,11511,11511,11954,11954,28677,28677,7257,7257,27915,27915,48954,48954,45189,45189,3012,3012,32394,32394,9939,9939,27637,27637,4163,4163
32,20008,20008,46029,46029,15013,15013,84155,84155,23688,23688,21697,21697,18536,18536,16219,16219,6139,6139,25016,25016,19550,19550,24793,24793,11720,11720,11851,11851,27887,27887,7304,7304,25452,25452,49231,49231,44157,44157,3030,3030,32585,32585,10071,10071,27070,27070,4003,4003
33,20221,20221,46814,46814,14884,14884,96257,96257,23709,23709,21462,21462,19195,19195,15945,15945,5860,5860,25560,25560,19089,19089,24566,24566,11394,11394,11752,11752,28233,28233,7295,7295,25595,25595,49332,49332,44693,44693,2915,2915,31597,31597,9831,9831,26855,26855,3990,3990
34,20086,20086,46828,46828,14664,14664,103670,103670,23914,23914,21474,21474,18328,18328,16186,16186,5983,5983,25620,25620,19757,19757,24983,24983,11518,11518,11503,11503,28452,28452,7289,7289,24712,24712,49815,49815,43197,43197,3078,3078,31915,31915,9810,9810,26734,26734,3938,3938
35,20247,20247,49922,49922,15303,15303,106514,106514,24188,24188,21967,21967,18951,18951,15894,15894,5798,5798,25221,25221,19877,19877,24623,24623,11378,11378,11677,11677,28155,28155,7206,7206,24779,24779,49837,49837,40899,40899,3107,3107,32288,32288,10115,10115,27529,27529,3840,3840
36,20187,20187,50218,50218,14709,14709,102768,102768,23836,23836,21602,21602,18440,18440,16081,16081,5971,5971,25276,25276,19451,19451,25486,25486,11309,11309,11942,11942,28418,28418,7516,7516,24521,24521,49561,49561,37999,37999,2929,2929,31877,31877,9933,9933,26863,26863,3860,3860
37,20524,20524,50814,50814,15302,15302,94449,94449,24319,24319,21806,21806,18656,18656,15724,15724,6007,6007,25561,25561,19125,19125,24630,24630,11071,11071,11625,11625,28007,28007,7624,7624,24677,24677,49898,49898,37368,37368,2918,2918,32255,32255,9609,9609,26965,26965,3778,3778
38,20154,20154,51304,51304,15262,15262,83991,83991,24968,24968,21682,21682,18911,18911,15732,15732,5987,5987,25291,25291,19114,19114,24487,24487,11558,11558,11368,11368,27848,27848,7483,7483,24071,24071,49893,49893,34247,34247,2975,2975,31243,31243,9820,9820,26399,26399,3751,3751
39,20279,20279,51917,51917,14779,14779,75091,75091,24157,24157,21548,21548,18614,18614,16098,16098,6177,6177,25466,25466,18489,18489,24342,24342,11186,11186,11781,11781,27571,27571,7438,7438,23331,23331,49118,49118,32211,32211,3129,3129,31336,31336,9793,9793,26314,26314,3863,3863
40,20992,20992,52059,52059,15277,15277,65407,65407,19388,19388,21482,21482,18716,18716,15298,15298,5858,5858,25413,25413,18067,18067,24400,24400,11288,11288,11271,11271,28023,28023,7002,7002,23653,23653,49829,49829,29859,29859,2929,2929,31780,31780,9828,9828,26148,26148,3854,3854
