 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11
1,11203,11203,5816,5816,9335,9335,15415,15415,36373,36373,6127,6127,39118,39118,10600,10600,16079,16079,19646,19646,21404,21404
2,11917,11917,6160,6160,9533,9533,15495,15495,41857,41857,6197,6197,40335,40335,11175,11175,16953,16953,20836,20836,21588,21588
3,12361,12361,6694,6694,9710,9710,16132,16132,46218,46218,6453,6453,41197,41197,11411,11411,16824,16824,20821,20821,21623,21623
4,12686,12686,6962,6962,9625,9625,17069,17069,47546,47546,6321,6321,42093,42093,11590,11590,17625,17625,21209,21209,22255,22255
5,13053,13053,7321,7321,10321,10321,17308,17308,46908,46908,6226,6226,43257,43257,11853,11853,18204,18204,21789,21789,22792,22792
6,13631,13631,7738,7738,10147,10147,17073,17073,45229,45229,6639,6639,45255,45255,12901,12901,18709,18709,21364,21364,23490,23490
7,13518,13518,7961,7961,9903,9903,16831,16831,44174,44174,6784,6784,46631,46631,12844,12844,20320,20320,22634,22634,23542,23542
8,13217,13217,8503,8503,10067,10067,16971,16971,43705,43705,6823,6823,46005,46005,13690,13690,20738,20738,22582,22582,24103,24103
9,13312,13312,8560,8560,9913,9913,16631,16631,41866,41866,6942,6942,46338,46338,13971,13971,20615,20615,22246,22246,24100,24100
10,12907,12907,8530,8530,9858,9858,16063,16063,40501,40501,6713,6713,47152,47152,13883,13883,21073,21073,22783,22783,23827,23827
11,12437,12437,8412,8412,9566,9566,15670,15670,38716,38716,6635,6635,46948,46948,14280,14280,20920,20920,22044,22044,24736,24736
12,12178,12178,7721,7721,9510,9510,15192,15192,38112,38112,6977,6977,46854,46854,14397,14397,22298,22298,22140,22140,25332,25332
13,11521,11521,7721,7721,9150,9150,15415,15415,37333,37333,6804,6804,45986,45986,14488,14488,22295,22295,21917,21917,25256,25256
14,11989,11989,7822,7822,9134,9134,14547,14547,36715,36715,7010,7010,46175,46175,14697,14697,22252,22252,21700,21700,25775,25775
15,11509,11509,7295,7295,9043,9043,14909,14909,36376,36376,6921,6921,46371,46371,14915,14915,22570,22570,22307,22307,25610,25610
16,11293,11293,7210,7210,8916,8916,14117,14117,35872,35872,7366,7366,45783,45783,14152,14152,22085,22085,21857,21857,26241,26241
17,11274,11274,6954,6954,8951,8951,14029,14029,35874,35874,7326,7326,46313,46313,14262,14262,22577,22577,21333,21333,26014,26014
18,11297,11297,6595,6595,8878,8878,13764,13764,34705,34705,7356,7356,48735,48735,13973,13973,21629,21629,21419,21419,26661,26661
19,10934,10934,6882,6882,8400,8400,14081,14081,34626,34626,6952,6952,48178,48178,14155,14155,22244,22244,21159,21159,26938,26938
20,11213,11213,6950,6950,8553,8553,13984,13984,33780,33780,7401,7401,47664,47664,14383,14383,21491,21491,21153,21153,26684,26684
21,11357,11357,7048,7048,8569,8569,13676,13676,32326,32326,7014,7014,48353,48353,14628,14628,22092,22092,20730,20730,26523,26523
22,10968,10968,6935,6935,8433,8433,13496,13496,31859,31859,7130,7130,47555,47555,14565,14565,21794,21794,20995,20995,26905,26905
23,11132,11132,6638,6638,8604,8604,13491,13491,31255,31255,7331,7331,46492,46492,14851,14851,21082,21082,20924,20924,26840,26840
24,10899,10899,6997,6997,8559,8559,13298,13298,30358,30358,7281,7281,46463,46463,14690,14690,21774,21774,20959,20959,26944,26944
25,11120,11120,6861,6861,8403,8403,13118,13118,30312,30312,7361,7361,46001,46001,14898,14898,21150,21150,20648,20648,27219,27219
26,10982,10982,6721,6721,8529,8529,13226,13226,29494,29494,7304,7304,44965,44965,14944,14944,20723,20723,21030,21030,27469,27469
27,10858,10858,6736,6736,8702,8702,13321,13321,29173,29173,7416,7416,44134,44134,15239,15239,21179,21179,20342,20342,27668,27668
28,10891,10891,6570,6570,8536,8536,13264,13264,28999,28999,7538,7538,44404,44404,15184,15184,21646,21646,20652,20652,26990,26990
29,10831,10831,6914,6914,8697,8697,13397,13397,28646,28646,7318,7318,43842,43842,15236,15236,21407,21407,20560,20560,27700,27700
30,11145,11145,6825,6825,8278,8278,13471,13471,28462,28462,7511,7511,44494,44494,15495,15495,21205,21205,19821,19821,27439,27439
31,11056,11056,6721,6721,8501,8501,13292,13292,28072,28072,7723,7723,43495,43495,15304,15304,21064,21064,19568,19568,27224,27224
32,11014,11014,6339,6339,8075,8075,12932,12932,27946,27946,7380,7380,41667,41667,15400,15400,20654,20654,20100,20100,28093,28093
33,10669,10669,6287,6287,8028,8028,13046,13046,27340,27340,7699,7699,41606,41606,15182,15182,21129,21129,19967,19967,28181,28181
34,10714,10714,6158,6158,7961,7961,12511,12511,27684,27684,7616,7616,41092,41092,15712,15712,21488,21488,19436,19436,28129,28129
35,10407,10407,5879,5879,8247,8247,12784,12784,27583,27583,7623,7623,40935,40935,15613,15613,20971,20971,19492,19492,27980,27980
36,9900,9900,5801,5801,7905,7905,12133,12133,27197,27197,7728,7728,39709,39709,15825,15825,20381,20381,19610,19610,28450,28450
37,9952,9952,5586,5586,8418,8418,11853,11853,26864,26864,7690,7690,38701,38701,15637,15637,20327,20327,19976,19976,28155,28155
38,10199,10199,5687,5687,7920,7920,12071,12071,26500,26500,7685,7685,38819,38819,16116,16116,20359,20359,19694,19694,28596,28596
39,9933,9933,5740,5740,8025,8025,11711,11711,26059,26059,7556,7556,38974,38974,15761,15761,19817,19817,19798,19798,28703,28703
40,9980,9980,5603,5603,7885,7885,11796,11796,25699,25699,7839,7839,39496,39496,15900,15900,19161,19161,19631,19631,28603,28603
