 ,IntDen1,RawIntDen1
1,14262,14262
2,14109,14109
3,14437,14437
4,15151,15151
5,14769,14769
6,15099,15099
7,14793,14793
8,15034,15034
9,15249,15249
10,15069,15069
11,15016,15016
12,13869,13869
13,13911,13911
14,14420,14420
15,14414,14414
16,14457,14457
17,14084,14084
18,14085,14085
19,14253,14253
20,14089,14089
21,13974,13974
22,14576,14576
23,14433,14433
24,14353,14353
25,14215,14215
26,14533,14533
27,14502,14502
28,14660,14660
29,14841,14841
30,14581,14581
31,14285,14285
32,14446,14446
33,14121,14121
34,13436,13436
35,13926,13926
36,14452,14452
37,14155,14155
38,13938,13938
39,13957,13957
40,14111,14111
