 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123
1,6007,6007,8367,8367,14511,14511,80728,80728,6934,6934,6031,6031,4263,4263,18226,18226,19090,19090,17433,17433,6791,6791,5922,5922,1762,1762,6280,6280,44829,44829,3531,3531,3714,3714,9428,9428,32120,32120,6944,6944,13403,13403,18839,18839,46365,46365,2880,2880,3847,3847,3381,3381,12535,12535,9255,9255,12089,12089,12750,12750,87867,87867,8110,8110,11938,11938,55121,55121,18264,18264,36162,36162,36130,36130,9267,9267,2582,2582,13373,13373,8992,8992,6839,6839,11512,11512,2628,2628,23357,23357,22685,22685,11207,11207,3489,3489,5212,5212,11114,11114,32382,32382,15442,15442,19046,19046,12228,12228,3801,3801,77787,77787,45164,45164,20906,20906,16313,16313,14379,14379,11455,11455,8804,8804,6431,6431,17854,17854,31199,31199,21312,21312,27916,27916,27193,27193,62975,62975,91026,91026,4125,4125,14009,14009,2379,2379,17090,17090,6635,6635,20862,20862,33733,33733,16376,16376,10977,10977,16676,16676,18997,18997,5373,5373,4414,4414,8191,8191,12608,12608,2397,2397,72580,72580,20261,20261,6740,6740,3855,3855,20254,20254,4515,4515,11802,11802,36230,36230,5048,5048,10363,10363,4314,4314,6517,6517,2531,2531,4346,4346,3236,3236,13945,13945,16533,16533,18531,18531,9721,9721,1803,1803,1643,1643,3531,3531,10838,10838,3241,3241,6253,6253,4528,4528,5369,5369,5450,5450,1870,1870,36525,36525,12888,12888,8361,8361,6283,6283,13396,13396,3646,3646,2632,2632,2798,2798
2,6347,6347,8155,8155,14813,14813,80358,80358,7258,7258,6239,6239,4231,4231,17240,17240,18256,18256,17291,17291,6414,6414,6066,6066,1791,1791,6318,6318,47811,47811,3393,3393,3457,3457,8956,8956,32093,32093,6783,6783,13862,13862,18378,18378,48557,48557,2941,2941,3775,3775,3520,3520,11894,11894,9070,9070,11942,11942,12420,12420,86658,86658,8640,8640,11719,11719,60415,60415,18461,18461,36234,36234,36784,36784,9613,9613,2657,2657,12738,12738,9412,9412,6650,6650,10914,10914,2748,2748,21500,21500,22470,22470,11288,11288,3776,3776,5144,5144,11163,11163,31716,31716,14774,14774,18201,18201,11875,11875,3745,3745,77770,77770,45610,45610,21588,21588,15998,15998,13673,13673,11578,11578,8769,8769,6385,6385,18324,18324,31243,31243,21701,21701,27246,27246,24279,24279,63154,63154,90606,90606,4529,4529,13543,13543,2484,2484,17222,17222,6180,6180,20571,20571,33188,33188,16275,16275,10997,10997,16714,16714,19344,19344,5470,5470,4780,4780,8371,8371,14079,14079,2304,2304,73067,73067,21386,21386,6893,6893,3977,3977,19710,19710,4505,4505,11892,11892,37407,37407,4584,4584,11521,11521,4237,4237,6473,6473,2454,2454,4446,4446,3160,3160,13223,13223,15783,15783,18720,18720,9869,9869,1824,1824,1608,1608,3579,3579,10896,10896,3286,3286,6186,6186,4649,4649,5379,5379,5509,5509,1831,1831,36106,36106,13307,13307,8589,8589,6346,6346,13201,13201,3674,3674,2756,2756,2842,2842
3,6431,6431,8433,8433,15271,15271,80453,80453,7514,7514,6625,6625,4401,4401,16620,16620,17018,17018,17040,17040,6804,6804,6174,6174,1924,1924,6522,6522,49441,49441,3541,3541,3806,3806,9075,9075,32450,32450,7049,7049,13958,13958,19112,19112,48824,48824,3004,3004,3819,3819,3640,3640,12610,12610,9400,9400,11765,11765,11867,11867,87111,87111,9115,9115,11755,11755,64474,64474,18005,18005,37485,37485,37621,37621,10303,10303,2769,2769,12658,12658,9104,9104,6883,6883,11633,11633,2867,2867,20087,20087,22162,22162,11279,11279,3877,3877,5455,5455,11382,11382,32626,32626,14944,14944,18091,18091,11282,11282,4258,4258,76898,76898,48634,48634,21881,21881,16436,16436,15983,15983,11259,11259,8514,8514,7022,7022,18429,18429,33440,33440,21075,21075,26679,26679,22135,22135,62820,62820,90353,90353,4742,4742,13121,13121,2797,2797,17365,17365,6539,6539,19821,19821,33178,33178,16656,16656,10817,10817,16894,16894,20013,20013,5607,5607,4835,4835,8825,8825,14283,14283,2302,2302,74363,74363,22242,22242,7176,7176,4116,4116,19110,19110,4660,4660,11966,11966,37842,37842,4857,4857,13621,13621,4444,4444,6696,6696,2500,2500,4322,4322,3305,3305,14172,14172,16547,16547,18194,18194,10171,10171,1971,1971,1905,1905,3658,3658,10865,10865,3381,3381,6537,6537,4581,4581,5825,5825,6039,6039,1882,1882,36101,36101,13504,13504,8394,8394,6665,6665,13401,13401,3833,3833,2837,2837,2826,2826
4,6385,6385,8802,8802,14896,14896,80676,80676,7258,7258,6219,6219,4367,4367,16329,16329,17513,17513,16976,16976,6415,6415,6183,6183,1792,1792,6374,6374,50537,50537,3788,3788,3531,3531,8741,8741,31486,31486,6717,6717,13614,13614,18873,18873,48233,48233,2961,2961,4197,4197,3996,3996,13015,13015,9354,9354,12240,12240,12315,12315,85009,85009,9709,9709,11662,11662,73197,73197,18566,18566,38627,38627,38463,38463,10502,10502,2804,2804,12455,12455,9061,9061,6900,6900,10695,10695,3153,3153,19676,19676,22543,22543,11154,11154,3811,3811,5427,5427,11080,11080,32355,32355,15631,15631,18138,18138,10828,10828,4343,4343,75247,75247,49382,49382,22257,22257,16337,16337,16373,16373,11240,11240,8800,8800,8186,8186,17340,17340,32651,32651,21014,21014,26595,26595,22093,22093,61105,61105,91018,91018,4892,4892,14250,14250,2836,2836,17010,17010,6385,6385,19206,19206,32528,32528,16093,16093,11389,11389,18968,18968,20226,20226,5838,5838,4823,4823,9289,9289,14926,14926,2275,2275,71976,71976,23086,23086,7283,7283,3937,3937,19632,19632,4690,4690,11736,11736,38791,38791,5119,5119,14274,14274,4521,4521,6825,6825,2552,2552,4399,4399,3493,3493,14039,14039,17290,17290,18293,18293,10853,10853,2001,2001,1745,1745,3974,3974,10967,10967,3443,3443,6204,6204,4760,4760,6012,6012,6185,6185,2010,2010,34524,34524,13349,13349,8452,8452,6669,6669,12967,12967,4213,4213,2965,2965,2926,2926
5,6897,6897,8721,8721,15802,15802,79879,79879,7265,7265,6626,6626,4611,4611,15958,15958,15519,15519,16602,16602,6641,6641,6192,6192,1862,1862,6616,6616,48882,48882,3634,3634,3442,3442,8594,8594,31783,31783,6819,6819,13427,13427,19622,19622,49087,49087,2968,2968,4747,4747,3726,3726,12754,12754,9758,9758,11652,11652,12563,12563,82958,82958,10099,10099,11086,11086,89047,89047,17170,17170,39464,39464,37682,37682,10689,10689,3009,3009,12300,12300,8777,8777,6835,6835,11544,11544,2787,2787,18926,18926,23271,23271,10793,10793,3681,3681,5966,5966,11343,11343,32437,32437,15356,15356,17322,17322,11026,11026,4727,4727,78708,78708,49995,49995,23009,23009,16234,16234,18104,18104,11110,11110,9356,9356,8311,8311,17611,17611,33209,33209,20740,20740,26753,26753,23842,23842,59710,59710,90936,90936,4997,4997,14977,14977,2786,2786,16457,16457,5910,5910,19717,19717,32735,32735,16732,16732,10937,10937,20571,20571,21047,21047,6484,6484,4961,4961,9802,9802,15342,15342,2404,2404,72482,72482,24142,24142,7810,7810,4305,4305,19681,19681,4690,4690,11807,11807,40313,40313,5277,5277,16240,16240,4809,4809,6925,6925,2778,2778,4299,4299,3855,3855,14127,14127,17675,17675,18799,18799,11242,11242,2095,2095,1778,1778,3993,3993,10911,10911,3653,3653,6492,6492,4570,4570,6135,6135,5903,5903,1889,1889,36090,36090,14853,14853,8364,8364,6866,6866,12951,12951,3942,3942,3094,3094,2957,2957
6,7450,7450,9340,9340,16579,16579,80860,80860,7879,7879,6590,6590,4691,4691,16124,16124,16201,16201,16514,16514,6342,6342,6235,6235,1929,1929,6324,6324,50106,50106,3634,3634,3533,3533,8387,8387,31577,31577,6872,6872,13484,13484,19632,19632,52030,52030,2820,2820,4293,4293,4003,4003,12979,12979,9870,9870,11406,11406,12157,12157,83734,83734,11057,11057,11371,11371,103150,103150,17618,17618,40034,40034,39560,39560,11836,11836,3019,3019,11734,11734,8989,8989,7162,7162,11437,11437,3034,3034,20650,20650,22887,22887,11271,11271,3851,3851,5807,5807,11301,11301,33434,33434,15379,15379,16684,16684,11046,11046,5068,5068,83926,83926,50461,50461,23530,23530,17191,17191,20323,20323,11589,11589,9579,9579,7649,7649,17316,17316,33923,33923,20553,20553,26964,26964,26980,26980,60811,60811,89072,89072,4777,4777,17147,17147,3050,3050,16981,16981,6483,6483,17767,17767,32385,32385,17504,17504,10719,10719,21575,21575,20881,20881,6690,6690,5345,5345,10683,10683,15215,15215,2378,2378,72593,72593,25763,25763,8243,8243,4425,4425,18689,18689,4642,4642,11242,11242,41353,41353,5303,5303,17806,17806,7619,7619,6869,6869,2944,2944,4334,4334,3943,3943,13886,13886,17717,17717,18785,18785,11790,11790,2079,2079,1958,1958,3909,3909,11195,11195,3663,3663,6548,6548,5075,5075,6129,6129,6373,6373,2063,2063,34735,34735,14423,14423,7949,7949,6420,6420,12742,12742,4027,4027,3031,3031,2996,2996
7,7580,7580,9018,9018,17488,17488,80617,80617,7517,7517,6650,6650,4585,4585,17242,17242,16817,16817,17295,17295,6452,6452,6524,6524,1930,1930,6190,6190,50647,50647,3892,3892,3471,3471,8190,8190,31219,31219,6811,6811,13796,13796,19442,19442,53682,53682,2916,2916,4602,4602,3873,3873,13393,13393,9494,9494,11779,11779,11946,11946,83011,83011,11167,11167,11506,11506,112381,112381,17654,17654,41485,41485,39853,39853,11973,11973,3070,3070,11722,11722,9274,9274,7014,7014,11256,11256,3036,3036,21385,21385,23458,23458,11282,11282,3813,3813,6215,6215,11742,11742,33539,33539,16417,16417,16267,16267,10949,10949,5417,5417,90922,90922,52707,52707,23907,23907,17015,17015,22477,22477,11073,11073,10180,10180,6905,6905,17661,17661,35188,35188,21025,21025,27065,27065,30924,30924,61566,61566,89843,89843,5267,5267,18650,18650,3046,3046,16776,16776,6135,6135,16612,16612,32739,32739,17669,17669,10988,10988,21450,21450,21334,21334,6988,6988,5464,5464,10968,10968,14571,14571,2454,2454,72650,72650,28414,28414,8096,8096,4709,4709,18006,18006,4952,4952,11318,11318,41227,41227,5440,5440,18276,18276,6071,6071,6966,6966,2925,2925,4615,4615,4177,4177,14104,14104,18217,18217,18858,18858,11080,11080,2088,2088,2199,2199,3880,3880,10851,10851,3639,3639,6471,6471,5169,5169,6222,6222,6440,6440,2030,2030,33813,33813,14834,14834,7500,7500,6580,6580,12898,12898,4193,4193,3056,3056,3008,3008
8,7792,7792,9794,9794,17816,17816,80380,80380,8106,8106,6941,6941,4407,4407,17744,17744,18040,18040,17109,17109,6306,6306,6644,6644,1898,1898,6482,6482,51066,51066,3821,3821,3687,3687,7765,7765,32103,32103,6649,6649,13574,13574,20199,20199,53314,53314,2931,2931,4638,4638,4106,4106,13473,13473,10001,10001,11808,11808,11715,11715,85293,85293,11832,11832,11242,11242,118036,118036,17599,17599,41916,41916,40459,40459,12572,12572,2975,2975,11534,11534,9563,9563,6977,6977,11250,11250,3025,3025,25215,25215,23971,23971,11358,11358,4080,4080,6165,6165,11819,11819,33169,33169,16501,16501,15914,15914,10643,10643,5682,5682,96078,96078,52234,52234,24024,24024,17527,17527,25140,25140,10809,10809,9871,9871,7188,7188,17622,17622,35794,35794,21473,21473,27275,27275,36621,36621,63611,63611,90527,90527,4771,4771,20146,20146,3110,3110,16749,16749,6464,6464,15185,15185,32456,32456,18224,18224,11292,11292,20786,20786,21691,21691,7053,7053,5505,5505,10935,10935,14009,14009,2414,2414,73862,73862,31301,31301,8534,8534,4805,4805,17444,17444,5248,5248,11764,11764,41716,41716,5703,5703,18491,18491,5934,5934,7050,7050,3192,3192,4573,4573,4174,4174,14222,14222,18392,18392,18798,18798,10871,10871,2233,2233,1974,1974,4137,4137,10997,10997,3874,3874,6567,6567,5128,5128,6352,6352,6038,6038,2141,2141,33618,33618,15408,15408,7695,7695,6747,6747,12542,12542,4351,4351,3072,3072,3175,3175
9,8171,8171,9945,9945,18759,18759,80352,80352,7855,7855,6723,6723,4931,4931,18254,18254,18358,18358,17420,17420,6660,6660,6554,6554,1997,1997,6645,6645,49935,49935,4129,4129,3719,3719,7845,7845,31286,31286,6784,6784,13533,13533,20219,20219,54050,54050,2778,2778,4906,4906,4311,4311,13588,13588,9522,9522,11463,11463,11403,11403,83997,83997,12959,12959,11966,11966,119745,119745,17766,17766,42786,42786,40634,40634,13304,13304,3148,3148,11491,11491,9860,9860,6680,6680,11331,11331,3122,3122,28488,28488,24232,24232,10949,10949,4100,4100,6609,6609,12201,12201,33869,33869,15883,15883,15999,15999,10813,10813,6068,6068,100077,100077,52187,52187,24865,24865,17216,17216,27788,27788,11093,11093,10113,10113,7138,7138,17617,17617,36757,36757,22957,22957,28048,28048,40589,40589,64383,64383,91189,91189,5021,5021,24521,24521,3294,3294,16862,16862,6344,6344,13186,13186,32596,32596,18979,18979,11023,11023,21193,21193,22218,22218,7782,7782,5704,5704,11774,11774,14144,14144,2444,2444,73627,73627,34440,34440,8677,8677,4698,4698,16435,16435,5833,5833,11871,11871,42860,42860,5989,5989,20605,20605,5815,5815,7253,7253,3145,3145,4520,4520,4460,4460,13926,13926,18745,18745,18732,18732,11404,11404,2428,2428,2213,2213,4360,4360,10735,10735,3942,3942,6338,6338,5412,5412,6566,6566,6653,6653,2001,2001,32432,32432,15328,15328,8339,8339,6608,6608,12556,12556,4411,4411,3075,3075,3226,3226
10,7896,7896,9840,9840,19374,19374,80254,80254,7934,7934,7001,7001,4991,4991,19424,19424,19282,19282,17254,17254,6775,6775,6586,6586,2145,2145,6391,6391,49736,49736,4043,4043,3827,3827,7564,7564,31914,31914,6925,6925,13758,13758,20503,20503,54732,54732,2856,2856,5155,5155,4555,4555,13465,13465,9494,9494,11965,11965,10990,10990,85317,85317,13820,13820,11795,11795,121167,121167,18326,18326,44216,44216,41553,41553,14030,14030,3424,3424,11779,11779,9961,9961,6786,6786,11454,11454,3234,3234,30011,30011,24293,24293,11408,11408,4205,4205,6531,6531,11898,11898,35376,35376,16210,16210,15825,15825,10960,10960,5925,5925,104519,104519,52497,52497,25133,25133,17616,17616,28482,28482,11048,11048,10073,10073,7450,7450,17852,17852,37403,37403,23743,23743,28987,28987,42823,42823,64480,64480,91770,91770,5141,5141,28019,28019,3314,3314,17173,17173,6128,6128,11753,11753,32601,32601,19043,19043,11279,11279,21376,21376,22455,22455,8269,8269,6006,6006,11746,11746,14714,14714,2298,2298,74604,74604,36921,36921,8638,8638,4803,4803,16563,16563,6209,6209,11908,11908,44004,44004,5974,5974,20949,20949,6452,6452,7280,7280,3093,3093,4523,4523,4580,4580,13753,13753,19100,19100,18651,18651,10887,10887,2276,2276,2044,2044,4357,4357,10543,10543,3840,3840,6437,6437,5153,5153,6956,6956,6606,6606,2233,2233,32759,32759,15394,15394,7935,7935,6393,6393,13075,13075,4471,4471,3208,3208,3297,3297
