 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5
1,3638,3638,10165,10165,10017,10017,1600,1600,4717,4717
2,3723,3723,9396,9396,10921,10921,1648,1648,4863,4863
3,3869,3869,9380,9380,10674,10674,1727,1727,4958,4958
4,4171,4171,9916,9916,11007,11007,1856,1856,4957,4957
5,4146,4146,9868,9868,11720,11720,2124,2124,5166,5166
6,3906,3906,9924,9924,12576,12576,1990,1990,5119,5119
7,4188,4188,10529,10529,12619,12619,2332,2332,5177,5177
8,3977,3977,10447,10447,12817,12817,2434,2434,5291,5291
9,3911,3911,10888,10888,13283,13283,2468,2468,5425,5425
10,4034,4034,11071,11071,13141,13141,2663,2663,5073,5073
11,4433,4433,11001,11001,15097,15097,2899,2899,5639,5639
12,4367,4367,11236,11236,15686,15686,3033,3033,5900,5900
13,4205,4205,11386,11386,15734,15734,3155,3155,5853,5853
14,4065,4065,11656,11656,15467,15467,3192,3192,5815,5815
15,4107,4107,12173,12173,15510,15510,3079,3079,5681,5681
16,4259,4259,12052,12052,15147,15147,3186,3186,5878,5878
17,4126,4126,11915,11915,14380,14380,3220,3220,5899,5899
18,4396,4396,11268,11268,14051,14051,3165,3165,5719,5719
19,4649,4649,11316,11316,13455,13455,3048,3048,5835,5835
20,4908,4908,11071,11071,13230,13230,2971,2971,5957,5957
21,5953,5953,11393,11393,12655,12655,2948,2948,5830,5830
22,6181,6181,11938,11938,12549,12549,3089,3089,5731,5731
23,6243,6243,15374,15374,13313,13313,3075,3075,6218,6218
24,6165,6165,33973,33973,19206,19206,10750,10750,6124,6124
25,6081,6081,40188,40188,22715,22715,10778,10778,6248,6248
26,5666,5666,39130,39130,29294,29294,6225,6225,6123,6123
27,5631,5631,37006,37006,33975,33975,4221,4221,6097,6097
28,5549,5549,30466,30466,31009,31009,5452,5452,6050,6050
29,5049,5049,27178,27178,32888,32888,10833,10833,6171,6171
30,5000,5000,30720,30720,28685,28685,13655,13655,6163,6163
31,5417,5417,34931,34931,27406,27406,10415,10415,6180,6180
32,4851,4851,36082,36082,26391,26391,5205,5205,6052,6052
33,5394,5394,36946,36946,23039,23039,4012,4012,6091,6091
34,5047,5047,37565,37565,23272,23272,5257,5257,5903,5903
35,5022,5022,37384,37384,25471,25471,5399,5399,6167,6167
36,5220,5220,39253,39253,25420,25420,4627,4627,5849,5849
37,4852,4852,36282,36282,28210,28210,3786,3786,6147,6147
38,5119,5119,31786,31786,30045,30045,3466,3466,5951,5951
39,5026,5026,30647,30647,32569,32569,3040,3040,6517,6517
40,4993,4993,29362,29362,30097,30097,2848,2848,5826,5826
