 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42
1,11053,11053,6220,6220,24398,24398,24923,24923,10879,10879,25451,25451,38036,38036,12539,12539,15166,15166,10181,10181,5057,5057,17428,17428,5815,5815,10225,10225,10802,10802,27257,27257,13046,13046,28618,28618,30897,30897,16161,16161,35919,35919,7154,7154,3422,3422,27841,27841,15555,15555,25085,25085,15538,15538,4409,4409,4557,4557,11948,11948,1805,1805,7010,7010,9137,9137,13237,13237,9379,9379,14418,14418,5826,5826,5035,5035,3806,3806,4634,4634,6350,6350,10396,10396
2,11060,11060,6238,6238,23530,23530,23765,23765,11379,11379,27101,27101,37000,37000,11755,11755,14320,14320,10415,10415,5129,5129,17602,17602,5724,5724,9574,9574,11030,11030,27156,27156,11901,11901,27677,27677,29751,29751,15926,15926,34169,34169,6584,6584,3280,3280,24769,24769,14770,14770,20045,20045,15268,15268,4187,4187,4463,4463,10825,10825,1788,1788,7272,7272,9000,9000,12797,12797,9013,9013,14781,14781,5711,5711,5047,5047,3565,3565,4469,4469,6033,6033,9799,9799
3,11740,11740,6202,6202,24004,24004,23448,23448,11540,11540,28886,28886,41623,41623,10481,10481,14560,14560,10012,10012,5084,5084,18213,18213,5664,5664,10120,10120,11146,11146,25150,25150,11266,11266,28313,28313,27217,27217,16151,16151,32784,32784,7004,7004,3419,3419,24151,24151,15578,15578,18168,18168,14513,14513,4264,4264,4796,4796,10751,10751,1772,1772,7332,7332,8841,8841,12487,12487,8733,8733,15297,15297,5817,5817,5166,5166,3556,3556,4594,4594,6003,6003,10249,10249
4,11599,11599,6166,6166,23808,23808,23300,23300,11168,11168,30631,30631,41551,41551,11313,11313,13955,13955,9777,9777,5421,5421,18771,18771,5478,5478,9957,9957,11124,11124,25296,25296,11008,11008,28692,28692,27127,27127,14772,14772,32994,32994,7149,7149,3313,3313,22369,22369,14631,14631,16479,16479,14312,14312,4347,4347,4817,4817,11132,11132,1815,1815,7871,7871,8684,8684,12869,12869,8653,8653,15498,15498,6451,6451,5220,5220,3669,3669,4402,4402,5898,5898,10152,10152
5,11613,11613,6161,6161,23711,23711,22518,22518,11582,11582,31282,31282,39919,39919,11804,11804,13800,13800,10127,10127,4910,4910,18416,18416,5614,5614,9970,9970,10712,10712,25717,25717,9976,9976,28360,28360,26637,26637,15406,15406,31162,31162,6576,6576,3082,3082,20937,20937,14057,14057,15280,15280,13929,13929,4372,4372,4964,4964,10649,10649,1814,1814,7570,7570,8347,8347,12692,12692,8577,8577,16037,16037,6378,6378,5437,5437,3702,3702,4639,4639,5988,5988,10216,10216
6,11697,11697,6208,6208,23428,23428,22664,22664,11429,11429,32160,32160,40232,40232,11626,11626,13524,13524,9814,9814,5042,5042,18032,18032,6013,6013,9904,9904,11100,11100,26154,26154,9633,9633,26542,26542,25829,25829,14905,14905,30497,30497,6419,6419,3137,3137,19880,19880,13452,13452,13907,13907,13792,13792,4355,4355,4985,4985,10820,10820,1873,1873,7660,7660,8369,8369,12363,12363,8453,8453,16344,16344,6325,6325,5411,5411,3633,3633,4744,4744,6240,6240,9961,9961
7,11495,11495,6440,6440,23585,23585,22460,22460,11611,11611,32061,32061,38106,38106,11916,11916,12932,12932,10156,10156,4756,4756,18432,18432,6160,6160,9717,9717,10938,10938,26748,26748,9517,9517,26029,26029,25663,25663,13741,13741,30357,30357,5844,5844,2985,2985,19102,19102,12649,12649,13809,13809,13600,13600,4051,4051,5159,5159,11067,11067,1987,1987,8029,8029,7910,7910,12475,12475,8625,8625,16446,16446,6437,6437,5607,5607,3900,3900,4646,4646,5930,5930,9843,9843
8,11609,11609,6048,6048,23060,23060,22739,22739,11406,11406,32201,32201,38199,38199,11447,11447,13278,13278,10473,10473,4862,4862,18987,18987,6015,6015,9795,9795,10877,10877,25834,25834,9681,9681,26135,26135,24744,24744,14613,14613,30472,30472,6280,6280,2997,2997,18152,18152,13469,13469,13429,13429,13865,13865,4202,4202,5118,5118,11579,11579,1973,1973,8360,8360,8265,8265,12377,12377,8782,8782,16839,16839,6442,6442,5743,5743,3922,3922,4983,4983,6112,6112,10380,10380
9,11504,11504,6153,6153,23372,23372,22101,22101,11765,11765,32545,32545,39561,39561,11182,11182,13172,13172,10475,10475,5055,5055,18867,18867,6362,6362,9598,9598,10949,10949,26711,26711,9623,9623,25456,25456,24789,24789,13550,13550,29540,29540,5847,5847,2824,2824,16524,16524,12581,12581,13298,13298,13488,13488,3890,3890,5301,5301,11162,11162,2088,2088,7878,7878,8175,8175,12536,12536,8843,8843,17239,17239,6707,6707,5890,5890,4111,4111,4842,4842,6294,6294,10161,10161
10,11279,11279,6190,6190,23045,23045,22349,22349,11679,11679,32572,32572,41272,41272,11562,11562,13132,13132,9997,9997,5136,5136,19043,19043,6174,6174,9678,9678,11618,11618,25513,25513,9693,9693,25819,25819,24506,24506,14226,14226,28759,28759,6151,6151,2887,2887,15718,15718,12479,12479,13490,13490,13516,13516,4454,4454,5268,5268,11105,11105,2069,2069,8375,8375,8292,8292,12545,12545,8601,8601,17490,17490,6712,6712,6055,6055,4131,4131,5059,5059,6522,6522,10577,10577
