 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100
1,42848,42848,21395,21395,37802,37802,37892,37892,14110,14110,35707,35707,23648,23648,51405,51405,56853,56853,7115,7115,17542,17542,35082,35082,52271,52271,8849,8849,21530,21530,27555,27555,35071,35071,26138,26138,23140,23140,62571,62571,30096,30096,43593,43593,17355,17355,51597,51597,13571,13571,26041,26041,8931,8931,28392,28392,63612,63612,16119,16119,13100,13100,25183,25183,27926,27926,32364,32364,9496,9496,31337,31337,41617,41617,13718,13718,22494,22494,15212,15212,35760,35760,16941,16941,55699,55699,2169,2169,31687,31687,17362,17362,73792,73792,20994,20994,25498,25498,91873,91873,19327,19327,21996,21996,35140,35140,9140,9140,19180,19180,21633,21633,43018,43018,19356,19356,75986,75986,12145,12145,30395,30395,10089,10089,16697,16697,37848,37848,56090,56090,25854,25854,21322,21322,18095,18095,16017,16017,53107,53107,19180,19180,24518,24518,10061,10061,18844,18844,9302,9302,35349,35349,9881,9881,24372,24372,40632,40632,27623,27623,18243,18243,17624,17624,23032,23032,6524,6524,3152,3152,23166,23166,2718,2718,24605,24605,19454,19454,9576,9576,6447,6447,15710,15710,1759,1759,11491,11491,3365,3365,5094,5094,462,462,14081,14081,3615,3615,3069,3069
2,41991,41991,21696,21696,37367,37367,38196,38196,13969,13969,36200,36200,22833,22833,50804,50804,55233,55233,7618,7618,17858,17858,34434,34434,52762,52762,9168,9168,20557,20557,27336,27336,34996,34996,25871,25871,23545,23545,61431,61431,30168,30168,44256,44256,16856,16856,51245,51245,13405,13405,25776,25776,9087,9087,28331,28331,63020,63020,16398,16398,13029,13029,25216,25216,27048,27048,32030,32030,9416,9416,31301,31301,41476,41476,13833,13833,21542,21542,15303,15303,35301,35301,17246,17246,54249,54249,2303,2303,31372,31372,17821,17821,76444,76444,21128,21128,25453,25453,89478,89478,19560,19560,21372,21372,34709,34709,8852,8852,19047,19047,22204,22204,43081,43081,19294,19294,74704,74704,12385,12385,30285,30285,9692,9692,17160,17160,39504,39504,54868,54868,26232,26232,21644,21644,17628,17628,15992,15992,52171,52171,19504,19504,24092,24092,9768,9768,18825,18825,9564,9564,35232,35232,10018,10018,24580,24580,39330,39330,26401,26401,18692,18692,17553,17553,23545,23545,6787,6787,3226,3226,23192,23192,2827,2827,23885,23885,19245,19245,9940,9940,6984,6984,15098,15098,1772,1772,11270,11270,3439,3439,5107,5107,480,480,13722,13722,3628,3628,3124,3124
3,41062,41062,21081,21081,37294,37294,38946,38946,14117,14117,35923,35923,23024,23024,50082,50082,54614,54614,7459,7459,18041,18041,34765,34765,53046,53046,9062,9062,20779,20779,26898,26898,35298,35298,26276,26276,23189,23189,60573,60573,30547,30547,44076,44076,16948,16948,51022,51022,14125,14125,24919,24919,8993,8993,28500,28500,62551,62551,16127,16127,13097,13097,25056,25056,27027,27027,33686,33686,9548,9548,30167,30167,41081,41081,13960,13960,22031,22031,15428,15428,35086,35086,17301,17301,53994,53994,2408,2408,30995,30995,17921,17921,79455,79455,21240,21240,24950,24950,89188,89188,20450,20450,22092,22092,35325,35325,8877,8877,18636,18636,22807,22807,43647,43647,19480,19480,74311,74311,12579,12579,30770,30770,10215,10215,16984,16984,41358,41358,54338,54338,25949,25949,22133,22133,18223,18223,16250,16250,52090,52090,19679,19679,24919,24919,9847,9847,19060,19060,9718,9718,34337,34337,9792,9792,24465,24465,39807,39807,26509,26509,18373,18373,18019,18019,23397,23397,6908,6908,3358,3358,23411,23411,2759,2759,24477,24477,19893,19893,10057,10057,7060,7060,15200,15200,1823,1823,11004,11004,3537,3537,5168,5168,518,518,13343,13343,3560,3560,3371,3371
4,39950,39950,21513,21513,37273,37273,39143,39143,14487,14487,36625,36625,22494,22494,49894,49894,53888,53888,7647,7647,18282,18282,34333,34333,53294,53294,9291,9291,20407,20407,26553,26553,35565,35565,25889,25889,21913,21913,60108,60108,30333,30333,44101,44101,17295,17295,50989,50989,13365,13365,25471,25471,8950,8950,29043,29043,63015,63015,17314,17314,12675,12675,24659,24659,26828,26828,34193,34193,9616,9616,30107,30107,41485,41485,13951,13951,21194,21194,15049,15049,34844,34844,16994,16994,52791,52791,2524,2524,31229,31229,18104,18104,83580,83580,21373,21373,25008,25008,87873,87873,20961,20961,22040,22040,34555,34555,8724,8724,18728,18728,23412,23412,43181,43181,19617,19617,73772,73772,12360,12360,30302,30302,10037,10037,17251,17251,41868,41868,54488,54488,25172,25172,23011,23011,18397,18397,16235,16235,51876,51876,19704,19704,24753,24753,9904,9904,19229,19229,9702,9702,33755,33755,10017,10017,24885,24885,39374,39374,25985,25985,17954,17954,18295,18295,23777,23777,6919,6919,3470,3470,23534,23534,2793,2793,24270,24270,19942,19942,9725,9725,6975,6975,14405,14405,1704,1704,11790,11790,3552,3552,5536,5536,530,530,11489,11489,3899,3899,3228,3228
5,40703,40703,21697,21697,38088,38088,39674,39674,14757,14757,37123,37123,22643,22643,51101,51101,52425,52425,7472,7472,18521,18521,34425,34425,53761,53761,9429,9429,20463,20463,26414,26414,35628,35628,25681,25681,22649,22649,60100,60100,30495,30495,43898,43898,17475,17475,51119,51119,13348,13348,25318,25318,9341,9341,29182,29182,63141,63141,17974,17974,12971,12971,25026,25026,27178,27178,34585,34585,9422,9422,30435,30435,40751,40751,14147,14147,21710,21710,15151,15151,34471,34471,16625,16625,52601,52601,2565,2565,30754,30754,17928,17928,87941,87941,21864,21864,24663,24663,87501,87501,21721,21721,21784,21784,34488,34488,8381,8381,19178,19178,23816,23816,43786,43786,19902,19902,74101,74101,12888,12888,30263,30263,10001,10001,17489,17489,42889,42889,54981,54981,26138,26138,23659,23659,18143,18143,16249,16249,50960,50960,20229,20229,24925,24925,9898,9898,19553,19553,9941,9941,34808,34808,9754,9754,24683,24683,39657,39657,25374,25374,18107,18107,20273,20273,24178,24178,7086,7086,3497,3497,23627,23627,2716,2716,24291,24291,20428,20428,10151,10151,7084,7084,14632,14632,1798,1798,11750,11750,3553,3553,5410,5410,510,510,11292,11292,3922,3922,3185,3185
6,40344,40344,22063,22063,37368,37368,39930,39930,14726,14726,37060,37060,22718,22718,50433,50433,53404,53404,7620,7620,18104,18104,34357,34357,54529,54529,9480,9480,20881,20881,26622,26622,36484,36484,25641,25641,22505,22505,60119,60119,30554,30554,45055,45055,17232,17232,51363,51363,13479,13479,26106,26106,9652,9652,29676,29676,62585,62585,18444,18444,13103,13103,24832,24832,27943,27943,34937,34937,9680,9680,30701,30701,41104,41104,14423,14423,21369,21369,15091,15091,34021,34021,16900,16900,51721,51721,2513,2513,31009,31009,18885,18885,92161,92161,21671,21671,24393,24393,86258,86258,21907,21907,21691,21691,34288,34288,8430,8430,18469,18469,24077,24077,44332,44332,20042,20042,73590,73590,12763,12763,30632,30632,10644,10644,17086,17086,44054,44054,53716,53716,25494,25494,24905,24905,17826,17826,16475,16475,51847,51847,20907,20907,25133,25133,9896,9896,19850,19850,9800,9800,34356,34356,10238,10238,24517,24517,39753,39753,24839,24839,18276,18276,23514,23514,24356,24356,6871,6871,3652,3652,24817,24817,2768,2768,25237,25237,20655,20655,9881,9881,7526,7526,14782,14782,1922,1922,11398,11398,3655,3655,5523,5523,524,524,10682,10682,3996,3996,3326,3326
7,40990,40990,22264,22264,38875,38875,40166,40166,15391,15391,37716,37716,22940,22940,51311,51311,52987,52987,7684,7684,18514,18514,34873,34873,54400,54400,9629,9629,20401,20401,26899,26899,36381,36381,26194,26194,21947,21947,59850,59850,30581,30581,44964,44964,17533,17533,51984,51984,14180,14180,25599,25599,9794,9794,29562,29562,62914,62914,18329,18329,13307,13307,25625,25625,27312,27312,35620,35620,9773,9773,30682,30682,41774,41774,14039,14039,21702,21702,14623,14623,34861,34861,17335,17335,52693,52693,2769,2769,30422,30422,17867,17867,94045,94045,21580,21580,24900,24900,86911,86911,21458,21458,21567,21567,34581,34581,8475,8475,19029,19029,24780,24780,46767,46767,20307,20307,73629,73629,13205,13205,30837,30837,9896,9896,17935,17935,44164,44164,55144,55144,25425,25425,25241,25241,18577,18577,16578,16578,52644,52644,20691,20691,25398,25398,10002,10002,19927,19927,9859,9859,34482,34482,10468,10468,24811,24811,40363,40363,24997,24997,18438,18438,26370,26370,24319,24319,7456,7456,3452,3452,24913,24913,2922,2922,24665,24665,20845,20845,9857,9857,7596,7596,14519,14519,1960,1960,12026,12026,3767,3767,5568,5568,439,439,9775,9775,3982,3982,3500,3500
8,41188,41188,22409,22409,38125,38125,40625,40625,15334,15334,38150,38150,23618,23618,51599,51599,53270,53270,7440,7440,19103,19103,35226,35226,55041,55041,9593,9593,20650,20650,26881,26881,37588,37588,26383,26383,21971,21971,60137,60137,30918,30918,45366,45366,17781,17781,51742,51742,13716,13716,26231,26231,9803,9803,30016,30016,62067,62067,19047,19047,13314,13314,26303,26303,26939,26939,35749,35749,9745,9745,30486,30486,41144,41144,14719,14719,21770,21770,14884,14884,33758,33758,17573,17573,52683,52683,2652,2652,30389,30389,18335,18335,98684,98684,22218,22218,24848,24848,85769,85769,21990,21990,21877,21877,34841,34841,8656,8656,18802,18802,25545,25545,46641,46641,20461,20461,72582,72582,12846,12846,31277,31277,10335,10335,18089,18089,45243,45243,54211,54211,25578,25578,24792,24792,18412,18412,16988,16988,52616,52616,20754,20754,25309,25309,10460,10460,19703,19703,10057,10057,34004,34004,10560,10560,25490,25490,39614,39614,24972,24972,18383,18383,29756,29756,24309,24309,7422,7422,3638,3638,25008,25008,2949,2949,25149,25149,21223,21223,10036,10036,7467,7467,14538,14538,1901,1901,12203,12203,3791,3791,5609,5609,544,544,9715,9715,4138,4138,3590,3590
9,42452,42452,22162,22162,38915,38915,41437,41437,15678,15678,38081,38081,23089,23089,52076,52076,52925,52925,7724,7724,18500,18500,35385,35385,55495,55495,10072,10072,20505,20505,27235,27235,37474,37474,26625,26625,22024,22024,61121,61121,30858,30858,45426,45426,18063,18063,52908,52908,13997,13997,25761,25761,9711,9711,30227,30227,62359,62359,18963,18963,13372,13372,26037,26037,27025,27025,35987,35987,9882,9882,30486,30486,42051,42051,14259,14259,21985,21985,15317,15317,33771,33771,17296,17296,51734,51734,2736,2736,31261,31261,18059,18059,99516,99516,21508,21508,25003,25003,85735,85735,22443,22443,22032,22032,34255,34255,8341,8341,17837,17837,25407,25407,47340,47340,20464,20464,73328,73328,12751,12751,31233,31233,10178,10178,17783,17783,45834,45834,53735,53735,26226,26226,25489,25489,18446,18446,17002,17002,53284,53284,21060,21060,24968,24968,10284,10284,20025,20025,10143,10143,34225,34225,10911,10911,25072,25072,39896,39896,25089,25089,18214,18214,33216,33216,25210,25210,7393,7393,3537,3537,25241,25241,2963,2963,24878,24878,21531,21531,9929,9929,7540,7540,14891,14891,1837,1837,12387,12387,4023,4023,5722,5722,512,512,10140,10140,3923,3923,3490,3490
10,40837,40837,21987,21987,38425,38425,42416,42416,15593,15593,38658,38658,23325,23325,51823,51823,53230,53230,7851,7851,18434,18434,34983,34983,54966,54966,9653,9653,20828,20828,26349,26349,37697,37697,25794,25794,22101,22101,62228,62228,30910,30910,45813,45813,18007,18007,53448,53448,13985,13985,26695,26695,9927,9927,29720,29720,62710,62710,19633,19633,13831,13831,25309,25309,27261,27261,36418,36418,9328,9328,31101,31101,42049,42049,14432,14432,21901,21901,15270,15270,34207,34207,17532,17532,51897,51897,2597,2597,30553,30553,18028,18028,102459,102459,21992,21992,25555,25555,86115,86115,22801,22801,22467,22467,34938,34938,8434,8434,18384,18384,25611,25611,47665,47665,20607,20607,73089,73089,13313,13313,30970,30970,10377,10377,18079,18079,45723,45723,54358,54358,25264,25264,25722,25722,18305,18305,17096,17096,53720,53720,21189,21189,25500,25500,10750,10750,19305,19305,10051,10051,33692,33692,10587,10587,25487,25487,39411,39411,25469,25469,18658,18658,36094,36094,25124,25124,7700,7700,3779,3779,25603,25603,2957,2957,24956,24956,21305,21305,9977,9977,7873,7873,14434,14434,2101,2101,12698,12698,4025,4025,5787,5787,515,515,10921,10921,4272,4272,3612,3612
