 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152
1,34401,34401,61142,61142,30923,30923,34904,34904,16852,16852,22581,22581,12927,12927,53901,53901,37384,37384,16719,16719,120731,120731,32507,32507,20966,20966,30156,30156,17161,17161,23176,23176,23428,23428,4697,4697,57119,57119,5350,5350,28749,28749,20106,20106,16618,16618,29665,29665,7337,7337,17114,17114,13654,13654,45845,45845,14998,14998,31745,31745,5465,5465,29434,29434,50630,50630,46788,46788,55661,55661,17734,17734,20744,20744,40022,40022,13697,13697,1715,1715,19615,19615,19096,19096,4225,4225,19839,19839,13779,13779,27286,27286,8719,8719,61300,61300,35353,35353,15048,15048,25564,25564,2275,2275,19659,19659,12335,12335,3742,3742,23277,23277,7067,7067,6726,6726,59690,59690,12766,12766,14247,14247,59755,59755,3487,3487,31572,31572,3242,3242,10617,10617,3927,3927,42984,42984,55013,55013,30754,30754,14581,14581,19834,19834,23957,23957,35393,35393,30872,30872,38731,38731,85509,85509,39904,39904,35846,35846,38284,38284,19364,19364,6966,6966,20669,20669,8631,8631,20198,20198,26226,26226,83313,83313,45404,45404,33915,33915,45491,45491,17030,17030,16129,16129,22146,22146,7241,7241,75013,75013,56117,56117,61147,61147,33944,33944,30838,30838,76015,76015,56776,56776,24992,24992,19287,19287,141099,141099,42166,42166,13502,13502,29914,29914,28881,28881,40519,40519,37125,37125,78539,78539,22810,22810,60028,60028,57013,57013,65252,65252,46272,46272,22902,22902,25800,25800,56017,56017,51656,51656,137563,137563,43315,43315,46725,46725,21692,21692,51068,51068,55434,55434,15394,15394,44165,44165,12720,12720,35021,35021,30223,30223,46025,46025,31016,31016,68623,68623,25343,25343,19660,19660,25137,25137,15465,15465,5521,5521,45215,45215,22212,22212,12154,12154,7417,7417,25422,25422,22581,22581,50699,50699,39137,39137,23318,23318,26802,26802,53408,53408,24948,24948,7673,7673
2,33681,33681,60413,60413,31541,31541,33903,33903,16934,16934,22151,22151,13099,13099,52559,52559,37196,37196,15836,15836,109608,109608,32206,32206,55420,55420,29153,29153,15475,15475,20780,20780,22721,22721,5122,5122,45498,45498,5266,5266,28442,28442,20076,20076,16763,16763,25164,25164,7079,7079,16774,16774,13266,13266,45317,45317,14816,14816,30743,30743,5571,5571,30720,30720,42055,42055,46100,46100,54340,54340,17800,17800,21075,21075,40550,40550,14391,14391,1629,1629,18686,18686,19134,19134,4423,4423,21347,21347,13610,13610,27176,27176,8574,8574,65715,65715,35066,35066,14519,14519,25128,25128,2620,2620,18359,18359,12129,12129,3866,3866,24752,24752,7139,7139,6818,6818,58012,58012,13014,13014,13921,13921,59526,59526,3891,3891,32641,32641,3758,3758,10542,10542,4362,4362,41599,41599,54429,54429,30844,30844,14444,14444,20033,20033,23142,23142,34792,34792,30871,30871,38080,38080,82214,82214,38737,38737,35521,35521,37119,37119,18548,18548,7201,7201,20555,20555,9487,9487,20163,20163,25055,25055,82885,82885,45306,45306,31777,31777,45333,45333,16327,16327,16449,16449,21937,21937,7436,7436,73488,73488,54901,54901,68957,68957,33310,33310,32799,32799,78154,78154,60502,60502,24497,24497,19640,19640,153687,153687,41955,41955,13658,13658,30482,30482,27613,27613,38999,38999,36389,36389,77841,77841,22924,22924,63274,63274,55485,55485,63648,63648,48993,48993,22709,22709,25822,25822,55763,55763,54205,54205,134020,134020,42320,42320,45786,45786,21254,21254,51068,51068,54292,54292,15073,15073,43805,43805,12501,12501,34672,34672,30151,30151,45971,45971,30930,30930,69361,69361,25338,25338,19113,19113,26643,26643,15195,15195,5886,5886,44594,44594,23073,23073,12039,12039,7710,7710,24865,24865,22506,22506,48835,48835,38883,38883,23660,23660,27175,27175,53683,53683,24719,24719,7886,7886
3,34477,34477,60484,60484,31844,31844,34111,34111,15875,15875,21448,21448,12585,12585,53764,53764,35548,35548,15711,15711,103699,103699,31304,31304,66702,66702,29014,29014,15223,15223,18923,18923,22780,22780,5257,5257,39386,39386,5245,5245,28137,28137,20526,20526,16622,16622,21522,21522,6871,6871,16231,16231,13096,13096,43196,43196,14340,14340,30416,30416,5436,5436,31170,31170,36878,36878,45607,45607,54804,54804,18143,18143,21009,21009,40793,40793,15090,15090,1661,1661,17391,17391,18891,18891,4542,4542,23341,23341,13474,13474,27837,27837,8234,8234,69426,69426,34107,34107,14508,14508,28900,28900,2527,2527,17881,17881,12096,12096,3888,3888,27162,27162,6795,6795,6884,6884,57874,57874,13064,13064,13905,13905,60503,60503,4007,4007,32124,32124,3714,3714,11179,11179,4367,4367,41543,41543,54457,54457,30401,30401,14114,14114,19713,19713,23392,23392,34826,34826,31150,31150,37826,37826,83961,83961,38506,38506,34963,34963,37006,37006,18031,18031,7083,7083,21663,21663,11086,11086,20459,20459,24622,24622,84839,84839,44206,44206,29836,29836,45849,45849,16847,16847,16856,16856,21834,21834,7839,7839,71623,71623,56971,56971,72192,72192,33066,33066,35341,35341,81014,81014,65687,65687,24482,24482,19375,19375,174152,174152,41753,41753,14074,14074,31666,31666,26954,26954,38860,38860,35991,35991,80376,80376,23307,23307,62784,62784,55612,55612,63249,63249,51067,51067,22993,22993,25947,25947,56058,56058,38626,38626,131995,131995,43326,43326,47539,47539,21262,21262,53800,53800,51976,51976,15577,15577,42799,42799,12381,12381,35129,35129,27913,27913,45430,45430,31798,31798,70973,70973,25813,25813,20018,20018,28296,28296,16198,16198,6007,6007,43464,43464,22368,22368,11867,11867,8035,8035,24615,24615,22362,22362,47664,47664,38839,38839,23384,23384,28481,28481,53292,53292,23961,23961,7815,7815
4,34202,34202,60788,60788,31272,31272,33665,33665,16815,16815,21771,21771,12421,12421,52318,52318,35858,35858,15357,15357,98330,98330,30863,30863,56708,56708,29607,29607,14974,14974,18524,18524,22298,22298,4975,4975,36055,36055,5223,5223,27595,27595,21268,21268,16842,16842,19859,19859,6689,6689,16145,16145,12917,12917,41968,41968,14571,14571,29639,29639,5082,5082,31543,31543,37602,37602,46513,46513,54545,54545,18265,18265,20817,20817,40101,40101,16296,16296,1804,1804,16132,16132,18879,18879,4927,4927,26399,26399,13348,13348,27745,27745,7679,7679,72176,72176,34437,34437,14263,14263,30800,30800,2813,2813,17704,17704,12104,12104,4257,4257,29157,29157,7235,7235,6674,6674,57222,57222,12626,12626,13922,13922,62412,62412,4256,4256,31747,31747,4143,4143,11436,11436,4513,4513,42325,42325,54614,54614,29996,29996,14044,14044,19579,19579,23140,23140,34536,34536,33398,33398,38544,38544,82908,82908,39226,39226,34328,34328,36242,36242,18148,18148,7129,7129,21100,21100,11303,11303,20217,20217,24577,24577,87342,87342,44343,44343,28334,28334,45308,45308,16595,16595,16927,16927,21679,21679,7102,7102,69937,69937,56333,56333,73565,73565,31922,31922,37021,37021,82811,82811,70611,70611,24456,24456,18642,18642,187057,187057,42382,42382,14512,14512,33476,33476,25407,25407,38816,38816,37031,37031,83109,83109,23232,23232,64195,64195,55102,55102,63324,63324,51802,51802,23121,23121,25121,25121,55564,55564,30913,30913,129251,129251,42613,42613,47723,47723,21379,21379,56944,56944,51095,51095,15324,15324,42415,42415,11249,11249,34377,34377,27623,27623,45263,45263,31430,31430,73186,73186,25741,25741,19480,19480,30456,30456,15898,15898,6088,6088,43932,43932,21967,21967,11749,11749,8218,8218,24550,24550,22174,22174,46448,46448,38779,38779,24074,24074,31871,31871,54963,54963,24364,24364,7599,7599
5,34256,34256,60736,60736,31444,31444,33020,33020,15370,15370,22393,22393,12572,12572,53050,53050,36408,36408,15158,15158,96431,96431,30633,30633,48882,48882,29230,29230,14570,14570,18658,18658,22769,22769,5291,5291,38415,38415,5205,5205,27079,27079,21932,21932,16751,16751,18837,18837,6806,6806,16112,16112,13219,13219,41366,41366,14607,14607,29788,29788,5415,5415,31313,31313,38478,38478,45564,45564,55174,55174,18118,18118,20284,20284,39670,39670,16451,16451,1762,1762,15781,15781,19485,19485,5272,5272,28016,28016,13392,13392,27895,27895,8287,8287,73779,73779,34822,34822,14495,14495,30900,30900,3018,3018,18528,18528,12325,12325,4565,4565,33029,33029,6992,6992,6941,6941,57072,57072,13059,13059,13811,13811,64565,64565,4441,4441,32762,32762,4124,4124,11899,11899,4741,4741,41769,41769,54733,54733,30599,30599,14744,14744,19909,19909,23015,23015,34204,34204,42590,42590,38266,38266,81372,81372,37930,37930,35119,35119,35254,35254,17883,17883,7191,7191,19892,19892,10351,10351,20480,20480,24279,24279,89307,89307,43725,43725,27679,27679,45519,45519,16646,16646,17415,17415,21182,21182,7307,7307,67761,67761,57423,57423,73507,73507,31800,31800,40453,40453,83879,83879,70075,70075,24748,24748,18942,18942,194545,194545,42376,42376,14438,14438,33714,33714,24641,24641,39151,39151,37366,37366,84636,84636,22837,22837,65438,65438,54719,54719,60974,60974,52033,52033,22998,22998,24316,24316,55056,55056,28569,28569,126033,126033,43997,43997,48604,48604,20818,20818,58483,58483,49743,49743,15405,15405,41147,41147,12700,12700,34617,34617,26213,26213,45732,45732,31346,31346,78863,78863,25885,25885,19832,19832,32448,32448,15713,15713,6744,6744,44038,44038,21968,21968,11819,11819,8431,8431,24706,24706,22003,22003,46268,46268,39502,39502,24312,24312,34694,34694,57362,57362,24651,24651,7527,7527
6,34817,34817,60946,60946,32052,32052,32730,32730,15086,15086,21938,21938,12464,12464,54066,54066,36747,36747,15673,15673,95266,95266,30473,30473,45562,45562,30053,30053,14594,14594,19100,19100,22671,22671,5084,5084,39751,39751,5151,5151,26883,26883,23047,23047,17330,17330,18883,18883,6929,6929,16548,16548,13282,13282,39578,39578,14590,14590,29220,29220,5448,5448,31171,31171,40541,40541,45387,45387,56241,56241,19108,19108,21137,21137,41022,41022,16709,16709,1730,1730,15403,15403,19919,19919,5173,5173,28124,28124,13803,13803,27959,27959,8197,8197,73331,73331,35293,35293,14489,14489,29943,29943,3040,3040,18115,18115,12203,12203,4533,4533,38471,38471,7024,7024,6748,6748,56761,56761,13307,13307,13876,13876,66504,66504,4536,4536,32513,32513,4455,4455,12096,12096,4910,4910,42089,42089,55565,55565,30187,30187,15558,15558,20035,20035,23387,23387,34103,34103,62356,62356,37232,37232,80980,80980,38262,38262,34989,34989,36052,36052,18054,18054,7006,7006,19555,19555,9948,9948,20735,20735,24185,24185,87897,87897,43985,43985,26517,26517,45995,45995,16331,16331,17568,17568,22035,22035,7091,7091,66997,66997,58135,58135,73821,73821,31991,31991,43866,43866,84763,84763,67347,67347,24600,24600,18987,18987,200839,200839,42274,42274,14719,14719,33798,33798,23958,23958,39137,39137,37868,37868,86559,86559,23080,23080,65303,65303,55711,55711,61448,61448,53813,53813,22908,22908,23832,23832,55457,55457,27689,27689,122839,122839,43487,43487,49129,49129,20329,20329,57771,57771,50012,50012,15802,15802,41420,41420,11817,11817,34712,34712,27066,27066,45728,45728,31088,31088,82765,82765,26657,26657,20567,20567,33694,33694,16267,16267,6823,6823,43205,43205,22743,22743,11946,11946,9040,9040,24524,24524,22382,22382,48022,48022,40399,40399,25506,25506,35307,35307,59827,59827,25631,25631,7897,7897
7,34066,34066,59788,59788,32485,32485,32559,32559,14453,14453,22145,22145,12639,12639,53768,53768,37182,37182,15047,15047,94903,94903,30650,30650,46224,46224,30625,30625,14627,14627,19599,19599,22986,22986,5073,5073,41451,41451,5193,5193,26535,26535,22318,22318,17577,17577,19157,19157,6694,6694,16560,16560,13178,13178,38580,38580,14220,14220,29910,29910,5575,5575,29776,29776,40776,40776,44969,44969,57078,57078,18761,18761,21485,21485,40982,40982,16904,16904,1692,1692,14741,14741,20296,20296,5308,5308,28213,28213,13259,13259,28879,28879,8250,8250,71127,71127,35899,35899,14219,14219,28630,28630,3105,3105,17545,17545,12321,12321,4977,4977,43510,43510,7415,7415,6927,6927,55862,55862,12706,12706,13862,13862,65310,65310,4706,4706,31577,31577,4402,4402,11962,11962,4764,4764,42703,42703,55475,55475,29866,29866,15330,15330,20175,20175,22766,22766,34754,34754,72099,72099,36288,36288,79889,79889,38652,38652,34347,34347,34735,34735,17944,17944,6735,6735,21071,21071,9581,9581,20487,20487,24030,24030,87166,87166,43194,43194,25598,25598,46382,46382,16645,16645,17504,17504,21098,21098,7002,7002,66557,66557,57835,57835,72725,72725,31551,31551,44275,44275,83918,83918,66268,66268,24963,24963,19064,19064,203775,203775,43396,43396,14323,14323,33915,33915,24536,24536,38625,38625,39122,39122,87520,87520,22923,22923,65351,65351,55353,55353,60857,60857,53014,53014,23909,23909,23713,23713,56010,56010,27188,27188,117770,117770,44018,44018,49560,49560,20555,20555,59336,59336,49350,49350,15637,15637,41689,41689,9344,9344,35114,35114,26064,26064,47857,47857,31010,31010,84434,84434,27177,27177,21168,21168,35085,35085,17661,17661,6680,6680,43405,43405,22264,22264,11537,11537,8815,8815,25180,25180,22123,22123,49542,49542,40765,40765,25663,25663,33692,33692,60577,60577,25811,25811,7636,7636
8,33982,33982,60466,60466,32447,32447,32371,32371,14357,14357,21961,21961,12678,12678,54327,54327,37432,37432,15534,15534,92665,92665,30734,30734,49138,49138,30077,30077,14451,14451,19940,19940,23184,23184,4887,4887,41889,41889,5187,5187,26607,26607,24629,24629,17444,17444,18810,18810,6842,6842,16919,16919,13462,13462,37091,37091,14105,14105,29361,29361,5228,5228,28743,28743,41664,41664,45199,45199,58013,58013,18410,18410,22715,22715,40575,40575,17167,17167,1678,1678,14482,14482,20559,20559,5552,5552,28464,28464,13517,13517,28905,28905,8113,8113,69326,69326,35738,35738,14426,14426,26354,26354,3128,3128,17356,17356,12167,12167,5058,5058,46614,46614,7414,7414,6872,6872,55730,55730,13088,13088,14206,14206,65197,65197,4699,4699,32798,32798,4423,4423,12552,12552,4999,4999,42161,42161,56431,56431,30425,30425,15231,15231,20235,20235,23372,23372,33883,33883,73771,73771,36123,36123,78262,78262,37955,37955,34346,34346,35222,35222,17539,17539,6540,6540,20763,20763,8883,8883,20156,20156,23040,23040,86009,86009,42489,42489,24750,24750,45520,45520,16493,16493,18066,18066,21562,21562,6923,6923,66715,66715,57737,57737,73449,73449,31996,31996,44395,44395,86763,86763,64379,64379,24293,24293,18651,18651,205179,205179,43851,43851,14530,14530,36025,36025,23734,23734,39130,39130,40454,40454,88624,88624,22972,22972,64733,64733,54412,54412,60872,60872,53198,53198,24085,24085,23194,23194,55784,55784,27608,27608,114737,114737,42872,42872,51295,51295,20704,20704,59661,59661,47802,47802,15430,15430,42494,42494,8580,8580,34840,34840,25276,25276,46429,46429,31450,31450,82497,82497,28898,28898,21874,21874,36010,36010,19750,19750,7016,7016,42830,42830,22046,22046,11534,11534,8738,8738,24849,24849,21744,21744,49238,49238,40807,40807,25435,25435,30807,30807,59627,59627,25720,25720,7398,7398
9,34318,34318,60390,60390,33042,33042,33356,33356,14230,14230,22335,22335,12691,12691,53839,53839,36414,36414,14989,14989,93357,93357,29941,29941,52524,52524,30127,30127,15455,15455,20044,20044,23435,23435,4904,4904,43578,43578,5112,5112,26504,26504,24839,24839,17417,17417,18594,18594,6873,6873,17315,17315,13423,13423,35743,35743,13885,13885,29045,29045,5368,5368,27112,27112,42630,42630,45029,45029,57866,57866,18687,18687,26222,26222,40301,40301,17119,17119,1820,1820,14079,14079,20259,20259,5508,5508,28721,28721,13277,13277,28932,28932,7888,7888,69203,69203,35125,35125,14330,14330,25999,25999,3150,3150,17517,17517,12202,12202,5211,5211,47537,47537,7128,7128,6778,6778,55295,55295,13157,13157,13724,13724,64968,64968,4817,4817,32188,32188,4393,4393,11676,11676,4963,4963,42015,42015,58365,58365,29634,29634,15336,15336,20671,20671,23188,23188,33798,33798,74463,74463,35912,35912,78020,78020,38071,38071,34127,34127,34464,34464,18052,18052,6130,6130,20048,20048,8730,8730,19979,19979,23391,23391,86798,86798,42449,42449,24391,24391,46367,46367,16409,16409,18167,18167,21430,21430,7150,7150,67181,67181,57357,57357,73370,73370,31346,31346,43599,43599,90129,90129,61632,61632,24618,24618,18983,18983,204993,204993,43843,43843,14607,14607,35347,35347,23651,23651,39569,39569,40447,40447,88477,88477,23237,23237,64596,64596,54116,54116,60748,60748,53591,53591,24176,24176,22821,22821,55940,55940,27599,27599,111655,111655,43338,43338,52378,52378,20316,20316,60129,60129,48691,48691,16137,16137,44287,44287,8742,8742,35208,35208,25710,25710,47554,47554,31174,31174,82945,82945,30541,30541,22236,22236,37461,37461,21863,21863,6990,6990,43144,43144,22746,22746,11299,11299,9334,9334,24889,24889,22163,22163,49346,49346,38760,38760,26706,26706,28181,28181,57450,57450,26706,26706,7338,7338
10,33794,33794,60498,60498,32926,32926,31979,31979,13997,13997,21604,21604,12521,12521,54171,54171,36839,36839,14850,14850,94743,94743,30696,30696,56025,56025,30255,30255,15468,15468,20230,20230,23017,23017,4908,4908,45256,45256,5348,5348,26436,26436,26551,26551,17734,17734,18805,18805,6566,6566,17050,17050,13624,13624,34904,34904,14077,14077,28539,28539,5395,5395,24444,24444,45166,45166,45061,45061,58268,58268,18806,18806,36299,36299,41105,41105,17499,17499,1666,1666,14779,14779,20430,20430,6360,6360,29722,29722,13665,13665,28855,28855,8165,8165,70283,70283,34358,34358,14047,14047,25338,25338,3356,3356,17613,17613,11993,11993,5345,5345,47522,47522,7267,7267,7122,7122,54448,54448,13285,13285,13574,13574,65507,65507,5199,5199,32063,32063,4367,4367,12111,12111,4822,4822,41659,41659,59292,59292,29707,29707,15733,15733,20295,20295,23214,23214,34193,34193,74564,74564,34643,34643,77094,77094,38609,38609,33569,33569,34155,34155,17465,17465,6210,6210,19601,19601,8587,8587,20320,20320,22791,22791,82493,82493,42201,42201,23975,23975,46507,46507,16527,16527,17902,17902,21745,21745,7054,7054,66276,66276,58568,58568,75010,75010,31888,31888,45183,45183,93351,93351,58453,58453,23970,23970,19309,19309,207695,207695,45629,45629,14343,14343,35019,35019,23328,23328,39759,39759,41202,41202,88068,88068,23945,23945,63611,63611,53629,53629,60745,60745,53369,53369,24254,24254,23807,23807,57555,57555,27671,27671,107716,107716,43503,43503,53061,53061,20111,20111,60343,60343,48049,48049,15950,15950,43922,43922,8608,8608,35207,35207,25291,25291,48340,48340,32181,32181,81751,81751,29916,29916,21046,21046,37746,37746,21350,21350,7276,7276,42131,42131,22083,22083,11486,11486,9165,9165,25023,25023,22692,22692,42917,42917,37556,37556,27111,27111,26396,26396,50140,50140,26041,26041,7226,7226
