 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139
1,10613,10613,24459,24459,16311,16311,29643,29643,10863,10863,57569,57569,97553,97553,45036,45036,11399,11399,20945,20945,17377,17377,15883,15883,32903,32903,10011,10011,18617,18617,13849,13849,43549,43549,13912,13912,34784,34784,27280,27280,14269,14269,35536,35536,40209,40209,38509,38509,23286,23286,23926,23926,31752,31752,51667,51667,9895,9895,8014,8014,41125,41125,31437,31437,60939,60939,9283,9283,25274,25274,35615,35615,10855,10855,29410,29410,17872,17872,27738,27738,9916,9916,38429,38429,29823,29823,17954,17954,13447,13447,27756,27756,108947,108947,10361,10361,13689,13689,60284,60284,42930,42930,35233,35233,34087,34087,35560,35560,7348,7348,14320,14320,33265,33265,17316,17316,38533,38533,57830,57830,22196,22196,40805,40805,14960,14960,17738,17738,12121,12121,8625,8625,27382,27382,17808,17808,113450,113450,33502,33502,20571,20571,20480,20480,50542,50542,66374,66374,25101,25101,67942,67942,23976,23976,34416,34416,24760,24760,65319,65319,16081,16081,69148,69148,83742,83742,13046,13046,14952,14952,62788,62788,30565,30565,59874,59874,28894,28894,10525,10525,18756,18756,20742,20742,8126,8126,30672,30672,21110,21110,36670,36670,12104,12104,8719,8719,30599,30599,20716,20716,98096,98096,27203,27203,166319,166319,33434,33434,53473,53473,45324,45324,53228,53228,165218,165218,11182,11182,50558,50558,6916,6916,61237,61237,161969,161969,24333,24333,17768,17768,22309,22309,15377,15377,164140,164140,10919,10919,19546,19546,5414,5414,9548,9548,15621,15621,15884,15884,16173,16173,34575,34575,26112,26112,19422,19422,43165,43165,18410,18410,31489,31489,93910,93910,9379,9379,47625,47625,28603,28603,34139,34139,53303,53303,33921,33921,11431,11431
2,11194,11194,24386,24386,16055,16055,29235,29235,10719,10719,57964,57964,104241,104241,46357,46357,12296,12296,21277,21277,17443,17443,15505,15505,38044,38044,9558,9558,18689,18689,13521,13521,43493,43493,14162,14162,38723,38723,28864,28864,14372,14372,36017,36017,41543,41543,39086,39086,23898,23898,24078,24078,32112,32112,51360,51360,9922,9922,8372,8372,40764,40764,31454,31454,63647,63647,9342,9342,25390,25390,36679,36679,12859,12859,28823,28823,18128,18128,28442,28442,9764,9764,57153,57153,30696,30696,19361,19361,18563,18563,27801,27801,111820,111820,10277,10277,14009,14009,65159,65159,42962,42962,33899,33899,34194,34194,35024,35024,7384,7384,14787,14787,32721,32721,17455,17455,38134,38134,57176,57176,21755,21755,40966,40966,15049,15049,18096,18096,12507,12507,8832,8832,27854,27854,17615,17615,115671,115671,31401,31401,20056,20056,20426,20426,57007,57007,65250,65250,25019,25019,66508,66508,23311,23311,34432,34432,25541,25541,104672,104672,17404,17404,69508,69508,83466,83466,13127,13127,14925,14925,55437,55437,29995,29995,71406,71406,29282,29282,10734,10734,19576,19576,21797,21797,8646,8646,30303,30303,21719,21719,37544,37544,11760,11760,8851,8851,31503,31503,22017,22017,100527,100527,28048,28048,184807,184807,32886,32886,54315,54315,46733,46733,63923,63923,167371,167371,12927,12927,54243,54243,7123,7123,62174,62174,167600,167600,25632,25632,18620,18620,24504,24504,15757,15757,177080,177080,10746,10746,20431,20431,5803,5803,9977,9977,16194,16194,15858,15858,17496,17496,49788,49788,26194,26194,20524,20524,49425,49425,28391,28391,31924,31924,100287,100287,9011,9011,69203,69203,29380,29380,35293,35293,53942,53942,35051,35051,11929,11929
3,11011,11011,25804,25804,15614,15614,28750,28750,11097,11097,59570,59570,112258,112258,46583,46583,12779,12779,21165,21165,17777,17777,15658,15658,37965,37965,9510,9510,19246,19246,13667,13667,43017,43017,15479,15479,38653,38653,31576,31576,14489,14489,37808,37808,42408,42408,40576,40576,25162,25162,26326,26326,32208,32208,50495,50495,10141,10141,8338,8338,40242,40242,31940,31940,66677,66677,9515,9515,25760,25760,37170,37170,22751,22751,28793,28793,18662,18662,29550,29550,10080,10080,66188,66188,30926,30926,20929,20929,23918,23918,28041,28041,113381,113381,10222,10222,14392,14392,66077,66077,43511,43511,34910,34910,35311,35311,35087,35087,7498,7498,15170,15170,32934,32934,17018,17018,37897,37897,59233,59233,21370,21370,41214,41214,17937,17937,19261,19261,12785,12785,9009,9009,27903,27903,17887,17887,117612,117612,28574,28574,19814,19814,21156,21156,59013,59013,63503,63503,25301,25301,68379,68379,23848,23848,35240,35240,25319,25319,134812,134812,18921,18921,70390,70390,84548,84548,13327,13327,16230,16230,51357,51357,30512,30512,83096,83096,29119,29119,10823,10823,19864,19864,22880,22880,8239,8239,30998,30998,22574,22574,38713,38713,12017,12017,8705,8705,32777,32777,23847,23847,101523,101523,27764,27764,188902,188902,31366,31366,54991,54991,46635,46635,65046,65046,174240,174240,16735,16735,56100,56100,6781,6781,64823,64823,171015,171015,30621,30621,18417,18417,26839,26839,16433,16433,186541,186541,11413,11413,20707,20707,6161,6161,9363,9363,16326,16326,16258,16258,18096,18096,50713,50713,27061,27061,19199,19199,54940,54940,32962,32962,32722,32722,105041,105041,9758,9758,74093,74093,30042,30042,36097,36097,55019,55019,37389,37389,11907,11907
4,10848,10848,27862,27862,15357,15357,28401,28401,11081,11081,60302,60302,119172,119172,48169,48169,12461,12461,22445,22445,17763,17763,16010,16010,38710,38710,9609,9609,19852,19852,13811,13811,42762,42762,21721,21721,38991,38991,41762,41762,14420,14420,42257,42257,42997,42997,42663,42663,25593,25593,33297,33297,35360,35360,49755,49755,10517,10517,8331,8331,40791,40791,31782,31782,73533,73533,9387,9387,25854,25854,38080,38080,32080,32080,29313,29313,19515,19515,30138,30138,9997,9997,68397,68397,31278,31278,24546,24546,23116,23116,28493,28493,114142,114142,10794,10794,14575,14575,67005,67005,44135,44135,34550,34550,35397,35397,36311,36311,7788,7788,15904,15904,32564,32564,17153,17153,38271,38271,57993,57993,21536,21536,42514,42514,20895,20895,19708,19708,12761,12761,9461,9461,28156,28156,18137,18137,120686,120686,26652,26652,20460,20460,20843,20843,55483,55483,62395,62395,25706,25706,69437,69437,23884,23884,35346,35346,25763,25763,142533,142533,21637,21637,71451,71451,86622,86622,13125,13125,19822,19822,49459,49459,31178,31178,91183,91183,29488,29488,11128,11128,20742,20742,22931,22931,9026,9026,31452,31452,23722,23722,39701,39701,12134,12134,8980,8980,33244,33244,27028,27028,102635,102635,27685,27685,191996,191996,32074,32074,54843,54843,47338,47338,65652,65652,179958,179958,17640,17640,57487,57487,7163,7163,67138,67138,174545,174545,55861,55861,16766,16766,32249,32249,15892,15892,195282,195282,11434,11434,21956,21956,6125,6125,9803,9803,16825,16825,16353,16353,19172,19172,51947,51947,27591,27591,16607,16607,57461,57461,33223,33223,33587,33587,107149,107149,9497,9497,76708,76708,30297,30297,37248,37248,56337,56337,40099,40099,12114,12114
5,11057,11057,39870,39870,15036,15036,28961,28961,11551,11551,61023,61023,125309,125309,52959,52959,13258,13258,23701,23701,17872,17872,16017,16017,38474,38474,9637,9637,20968,20968,13986,13986,42976,42976,31235,31235,40002,40002,67259,67259,14946,14946,53048,53048,44225,44225,43227,43227,25885,25885,51675,51675,44258,44258,50386,50386,10719,10719,8786,8786,41716,41716,32470,32470,76074,76074,9497,9497,26172,26172,38617,38617,35320,35320,29540,29540,20179,20179,37986,37986,9736,9736,72065,72065,31946,31946,28464,28464,22884,22884,28634,28634,116163,116163,10720,10720,14782,14782,68826,68826,45029,45029,36938,36938,35249,35249,36882,36882,7913,7913,18807,18807,33808,33808,17520,17520,38965,38965,58883,58883,21524,21524,43741,43741,32723,32723,20705,20705,13030,13030,9989,9989,28994,28994,18347,18347,121757,121757,24335,24335,21658,21658,21470,21470,49133,49133,61092,61092,25289,25289,69176,69176,24504,24504,36798,36798,26149,26149,147039,147039,25405,25405,73944,73944,87315,87315,13631,13631,36810,36810,48733,48733,30710,30710,95705,95705,32032,32032,11149,11149,21516,21516,23320,23320,9172,9172,31546,31546,26244,26244,40226,40226,12511,12511,8907,8907,34893,34893,31423,31423,103598,103598,26692,26692,196661,196661,32729,32729,56426,56426,47949,47949,66234,66234,184145,184145,18509,18509,59411,59411,7238,7238,68150,68150,179240,179240,87051,87051,16374,16374,40999,40999,16559,16559,204706,204706,11990,11990,23207,23207,6444,6444,9770,9770,17238,17238,16204,16204,19632,19632,53044,53044,27949,27949,15453,15453,56054,56054,32859,32859,33718,33718,108687,108687,9625,9625,78521,78521,31402,31402,37508,37508,56051,56051,42021,42021,12139,12139
6,11038,11038,56880,56880,15089,15089,29670,29670,12174,12174,62293,62293,127199,127199,60014,60014,13859,13859,26946,26946,17615,17615,16201,16201,39105,39105,9937,9937,24742,24742,14687,14687,42936,42936,39307,39307,39822,39822,95918,95918,14921,14921,64127,64127,44716,44716,44998,44998,26836,26836,60237,60237,48730,48730,52634,52634,11096,11096,9201,9201,41671,41671,32289,32289,79013,79013,9608,9608,25805,25805,38456,38456,35704,35704,29460,29460,22075,22075,51684,51684,10527,10527,72264,72264,32153,32153,29809,29809,22332,22332,28777,28777,117467,117467,10740,10740,15162,15162,70491,70491,46686,46686,40446,40446,36754,36754,36424,36424,8187,8187,23366,23366,33328,33328,17659,17659,38621,38621,58459,58459,21805,21805,43215,43215,42607,42607,20997,20997,13096,13096,9644,9644,29356,29356,18685,18685,123132,123132,22666,22666,21494,21494,22187,22187,40828,40828,59919,59919,25756,25756,71139,71139,24980,24980,36520,36520,26959,26959,149981,149981,29447,29447,74421,74421,88161,88161,13590,13590,53197,53197,46839,46839,31512,31512,97849,97849,36256,36256,11914,11914,22663,22663,23516,23516,9530,9530,32172,32172,28861,28861,40619,40619,12854,12854,9168,9168,36086,36086,33266,33266,103982,103982,26411,26411,199060,199060,33326,33326,57940,57940,48207,48207,67140,67140,187905,187905,18792,18792,60750,60750,7497,7497,70212,70212,179733,179733,90951,90951,15977,15977,46616,46616,17370,17370,205565,205565,12172,12172,32696,32696,6372,6372,10030,10030,17592,17592,16668,16668,19417,19417,52811,52811,28480,28480,13941,13941,53068,53068,31675,31675,34700,34700,111274,111274,9483,9483,79203,79203,31971,31971,38232,38232,57912,57912,45137,45137,12152,12152
7,11294,11294,75205,75205,14724,14724,30295,30295,12499,12499,60624,60624,130538,130538,61382,61382,14607,14607,36415,36415,18113,18113,16807,16807,38749,38749,9693,9693,29157,29157,14719,14719,43181,43181,42347,42347,40322,40322,104414,104414,16586,16586,67425,67425,44577,44577,49061,49061,26592,26592,61840,61840,49232,49232,50978,50978,11296,11296,8356,8356,42008,42008,32641,32641,79589,79589,9780,9780,27692,27692,38857,38857,35124,35124,29124,29124,27101,27101,52904,52904,10194,10194,72989,72989,31475,31475,30542,30542,22896,22896,28434,28434,117175,117175,11517,11517,15717,15717,70513,70513,53699,53699,45549,45549,37185,37185,36537,36537,8509,8509,24958,24958,33882,33882,18254,18254,38241,38241,58577,58577,21070,21070,43756,43756,43736,43736,21214,21214,13356,13356,9953,9953,29750,29750,18876,18876,124446,124446,21841,21841,21478,21478,21990,21990,33750,33750,58185,58185,25658,25658,71954,71954,25438,25438,36786,36786,27337,27337,150935,150935,31666,31666,75174,75174,88130,88130,13724,13724,54284,54284,45256,45256,31913,31913,99869,99869,35964,35964,11998,11998,22739,22739,23513,23513,9862,9862,32020,32020,31090,31090,40215,40215,12521,12521,9329,9329,35235,35235,31774,31774,104010,104010,27893,27893,200242,200242,34445,34445,58039,58039,48615,48615,67962,67962,189656,189656,18431,18431,62970,62970,7609,7609,71192,71192,181087,181087,90783,90783,16028,16028,50595,50595,17195,17195,212876,212876,12371,12371,54569,54569,6637,6637,9780,9780,17335,17335,16464,16464,20558,20558,52996,52996,29011,29011,13961,13961,47852,47852,31648,31648,35365,35365,111662,111662,9372,9372,79982,79982,32262,32262,38270,38270,56817,56817,47365,47365,12340,12340
8,11150,11150,88124,88124,14890,14890,31021,31021,14721,14721,63025,63025,144109,144109,63660,63660,14977,14977,49637,49637,18188,18188,17163,17163,39228,39228,9755,9755,34571,34571,14724,14724,44517,44517,45443,45443,40687,40687,100466,100466,18298,18298,66815,66815,46133,46133,56542,56542,27629,27629,61171,61171,50784,50784,52924,52924,14072,14072,8350,8350,43175,43175,33936,33936,88015,88015,9376,9376,26881,26881,39038,39038,33486,33486,29788,29788,35126,35126,53075,53075,10496,10496,74920,74920,32901,32901,31193,31193,22283,22283,28761,28761,119086,119086,11349,11349,15510,15510,72325,72325,75847,75847,51114,51114,37545,37545,36094,36094,9790,9790,25007,25007,33562,33562,18086,18086,39384,39384,57757,57757,20879,20879,44552,44552,44109,44109,21325,21325,13236,13236,10150,10150,29682,29682,19005,19005,124648,124648,20606,20606,21624,21624,22027,22027,29081,29081,57063,57063,25968,25968,71949,71949,24815,24815,37785,37785,27190,27190,155914,155914,33325,33325,77513,77513,88995,88995,14139,14139,53695,53695,43871,43871,31649,31649,100720,100720,35784,35784,12422,12422,23889,23889,23728,23728,9630,9630,32291,32291,33325,33325,41100,41100,12994,12994,9454,9454,36993,36993,29989,29989,104932,104932,27137,27137,203387,203387,35232,35232,56885,56885,49518,49518,68280,68280,192344,192344,18738,18738,64765,64765,7740,7740,72805,72805,184771,184771,92245,92245,15985,15985,53820,53820,17560,17560,216529,216529,12549,12549,58290,58290,6865,6865,10023,10023,17743,17743,16282,16282,21131,21131,53731,53731,29278,29278,13571,13571,43685,43685,33025,33025,35236,35236,114599,114599,9881,9881,80673,80673,33589,33589,38815,38815,58318,58318,49304,49304,12214,12214
9,11084,11084,90180,90180,14752,14752,30909,30909,21734,21734,62634,62634,183928,183928,63925,63925,16029,16029,63081,63081,18373,18373,17423,17423,39364,39364,9968,9968,36486,36486,14973,14973,45815,45815,47112,47112,40456,40456,91796,91796,18567,18567,59967,59967,45973,45973,78028,78028,27108,27108,60538,60538,50739,50739,53978,53978,15520,15520,8745,8745,45159,45159,34279,34279,109217,109217,10007,10007,27405,27405,39568,39568,32899,32899,29449,29449,37400,37400,53805,53805,10675,10675,75981,75981,33019,33019,31362,31362,21993,21993,29114,29114,119143,119143,11589,11589,16410,16410,73492,73492,107954,107954,59508,59508,38610,38610,36603,36603,12225,12225,24556,24556,34440,34440,18262,18262,38954,38954,58775,58775,21408,21408,45448,45448,45086,45086,21445,21445,13672,13672,10246,10246,29782,29782,18670,18670,126591,126591,20230,20230,22033,22033,22144,22144,26329,26329,56031,56031,25726,25726,72465,72465,25183,25183,36749,36749,27370,27370,158944,158944,33114,33114,77568,77568,89116,89116,14249,14249,54819,54819,41469,41469,32244,32244,104123,104123,36588,36588,12540,12540,23816,23816,23807,23807,9765,9765,32474,32474,34972,34972,41984,41984,13303,13303,9636,9636,37661,37661,28676,28676,105602,105602,27964,27964,206636,206636,35585,35585,58607,58607,49998,49998,67950,67950,195693,195693,18391,18391,67555,67555,7741,7741,74040,74040,186412,186412,91669,91669,16222,16222,56413,56413,17226,17226,219456,219456,12794,12794,59028,59028,6794,6794,10295,10295,17780,17780,16883,16883,21070,21070,53616,53616,30154,30154,13256,13256,39573,39573,32434,32434,35513,35513,116401,116401,9383,9383,81274,81274,33984,33984,39891,39891,58522,58522,50988,50988,12781,12781
10,11378,11378,90059,90059,14701,14701,32219,32219,22231,22231,63465,63465,207848,207848,64294,64294,17210,17210,68622,68622,17931,17931,17767,17767,39632,39632,9759,9759,37904,37904,14874,14874,47146,47146,47858,47858,41078,41078,82145,82145,19951,19951,54611,54611,45827,45827,116357,116357,27195,27195,60875,60875,51182,51182,54140,54140,15057,15057,8827,8827,46363,46363,34312,34312,119990,119990,9899,9899,28011,28011,39974,39974,32839,32839,29268,29268,38833,38833,53166,53166,10844,10844,76502,76502,32656,32656,30922,30922,20894,20894,28646,28646,120968,120968,12690,12690,16771,16771,74002,74002,120506,120506,66941,66941,39723,39723,37650,37650,13072,13072,24960,24960,34038,34038,18665,18665,38810,38810,57878,57878,20053,20053,45264,45264,45244,45244,22302,22302,13308,13308,10846,10846,28911,28911,19157,19157,126862,126862,19372,19372,21586,21586,22284,22284,24637,24637,54891,54891,26349,26349,72730,72730,25304,25304,38001,38001,27843,27843,161533,161533,32294,32294,80119,80119,89669,89669,14264,14264,55904,55904,39501,39501,32409,32409,105878,105878,36123,36123,13121,13121,24301,24301,24180,24180,10015,10015,32778,32778,36504,36504,43468,43468,13279,13279,9565,9565,37579,37579,26844,26844,107164,107164,28374,28374,205856,205856,34303,34303,58240,58240,48486,48486,69550,69550,197607,197607,18699,18699,70842,70842,7748,7748,75151,75151,188360,188360,92547,92547,16482,16482,56654,56654,17609,17609,222435,222435,12720,12720,60850,60850,7155,7155,10176,10176,17761,17761,16862,16862,21493,21493,53790,53790,33471,33471,13679,13679,37574,37574,34044,34044,35169,35169,116732,116732,9685,9685,81355,81355,33225,33225,38921,38921,58907,58907,52272,52272,12510,12510
