 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80
1,55823,55823,28172,28172,10387,10387,26594,26594,15494,15494,29979,29979,25333,25333,13253,13253,12234,12234,30883,30883,44494,44494,12123,12123,13694,13694,12653,12653,28089,28089,33404,33404,11978,11978,40821,40821,32445,32445,78099,78099,26497,26497,18537,18537,45925,45925,16995,16995,28516,28516,17642,17642,24756,24756,33684,33684,29867,29867,64030,64030,39556,39556,31117,31117,152227,152227,5543,5543,21098,21098,21071,21071,30628,30628,27875,27875,11950,11950,106551,106551,28711,28711,17992,17992,21960,21960,14601,14601,55764,55764,8699,8699,41148,41148,19845,19845,33627,33627,87383,87383,7502,7502,35605,35605,13316,13316,57882,57882,17189,17189,24376,24376,12516,12516,25108,25108,16887,16887,35849,35849,32863,32863,19847,19847,12737,12737,17429,17429,65238,65238,82478,82478,14446,14446,27692,27692,12414,12414,72763,72763,10408,10408,16475,16475,33762,33762,44212,44212,103412,103412,11787,11787,41432,41432,19093,19093,25585,25585,25888,25888
2,53790,53790,29588,29588,10253,10253,26156,26156,15485,15485,29229,29229,25138,25138,13099,13099,11782,11782,30401,30401,44678,44678,12655,12655,13445,13445,12713,12713,26792,26792,32160,32160,12215,12215,38892,38892,31777,31777,77449,77449,26336,26336,19495,19495,46583,46583,16648,16648,27959,27959,17206,17206,24929,24929,32704,32704,29607,29607,64175,64175,38856,38856,30773,30773,152306,152306,5381,5381,21906,21906,21216,21216,30978,30978,28311,28311,12235,12235,107889,107889,29076,29076,17447,17447,22409,22409,14228,14228,52371,52371,8039,8039,40775,40775,19204,19204,32565,32565,82608,82608,7359,7359,35280,35280,13288,13288,57607,57607,17979,17979,22777,22777,12846,12846,24638,24638,16857,16857,35661,35661,32911,32911,19447,19447,11913,11913,17201,17201,64625,64625,81105,81105,14353,14353,27941,27941,12287,12287,69290,69290,10801,10801,16345,16345,33466,33466,44425,44425,91102,91102,12293,12293,41092,41092,19282,19282,25623,25623,25000,25000
3,51790,51790,35280,35280,10459,10459,26124,26124,15501,15501,28542,28542,24523,24523,13752,13752,11843,11843,31047,31047,43868,43868,12218,12218,13586,13586,12687,12687,25993,25993,31183,31183,12626,12626,39106,39106,31733,31733,76798,76798,27361,27361,19955,19955,46595,46595,17993,17993,28433,28433,17572,17572,25272,25272,33458,33458,29486,29486,64870,64870,38827,38827,30646,30646,148809,148809,6004,6004,21790,21790,20384,20384,31347,31347,29656,29656,11873,11873,111493,111493,29372,29372,16925,16925,22388,22388,13758,13758,51495,51495,7898,7898,55486,55486,19119,19119,31954,31954,80084,80084,7064,7064,35540,35540,13289,13289,57358,57358,17270,17270,22678,22678,12697,12697,24586,24586,16911,16911,35280,35280,33291,33291,19861,19861,12090,12090,17252,17252,64693,64693,80865,80865,13548,13548,28208,28208,12443,12443,67643,67643,10923,10923,15944,15944,34387,34387,44491,44491,79607,79607,12225,12225,40907,40907,19344,19344,25814,25814,25094,25094
4,51154,51154,41718,41718,10594,10594,25129,25129,16354,16354,27739,27739,25087,25087,15151,15151,12138,12138,30068,30068,43015,43015,12190,12190,13475,13475,12857,12857,25995,25995,31027,31027,12975,12975,38233,38233,31603,31603,76588,76588,26553,26553,19451,19451,46553,46553,20179,20179,28540,28540,17449,17449,27285,27285,34021,34021,29662,29662,66024,66024,37937,37937,30015,30015,147037,147037,6588,6588,23346,23346,20105,20105,31694,31694,31080,31080,11710,11710,114039,114039,29627,29627,16803,16803,22720,22720,13704,13704,49617,49617,7817,7817,69050,69050,19332,19332,31433,31433,75943,75943,7333,7333,34500,34500,13415,13415,56772,56772,17875,17875,21667,21667,12829,12829,24964,24964,16976,16976,35366,35366,32803,32803,19542,19542,13057,13057,17495,17495,64320,64320,79221,79221,13425,13425,28310,28310,13176,13176,69241,69241,11068,11068,16537,16537,32989,32989,44819,44819,75641,75641,12322,12322,40219,40219,19596,19596,25361,25361,24878,24878
5,51219,51219,47471,47471,10421,10421,24963,24963,16883,16883,27488,27488,25126,25126,16836,16836,12102,12102,29992,29992,43031,43031,12009,12009,13122,13122,13613,13613,24856,24856,31069,31069,13530,13530,38002,38002,30636,30636,76239,76239,26527,26527,20228,20228,47040,47040,24320,24320,27766,27766,17447,17447,29514,29514,33793,33793,29335,29335,68810,68810,38191,38191,30314,30314,148259,148259,6802,6802,23226,23226,20260,20260,31633,31633,32793,32793,11690,11690,117526,117526,29044,29044,17055,17055,23481,23481,13454,13454,48911,48911,7646,7646,72709,72709,20367,20367,31326,31326,74128,74128,7735,7735,34524,34524,13239,13239,55404,55404,17858,17858,21772,21772,13179,13179,26679,26679,16836,16836,35553,35553,32744,32744,19156,19156,12009,12009,17449,17449,65148,65148,80029,80029,14001,14001,29428,29428,14133,14133,69637,69637,10907,10907,17576,17576,33861,33861,45584,45584,72748,72748,12358,12358,40192,40192,20114,20114,25240,25240,24894,24894
6,50372,50372,49101,49101,10411,10411,25054,25054,17221,17221,26737,26737,25207,25207,18596,18596,12402,12402,30260,30260,43398,43398,12359,12359,12827,12827,13760,13760,24105,24105,31844,31844,13478,13478,38716,38716,31209,31209,76251,76251,26410,26410,20290,20290,48315,48315,25873,25873,28605,28605,17831,17831,29560,29560,33176,33176,29563,29563,69173,69173,37880,37880,30844,30844,147052,147052,6873,6873,23517,23517,20028,20028,31999,31999,32630,32630,11909,11909,121384,121384,29807,29807,16760,16760,23111,23111,12930,12930,48484,48484,7909,7909,77480,77480,22715,22715,31093,31093,71909,71909,7394,7394,35369,35369,13392,13392,56998,56998,18031,18031,22022,22022,12814,12814,26375,26375,17066,17066,35291,35291,33227,33227,20290,20290,12342,12342,16907,16907,65514,65514,80106,80106,14246,14246,28998,28998,15038,15038,72201,72201,11198,11198,18637,18637,34085,34085,46687,46687,72265,72265,12523,12523,40496,40496,20642,20642,25450,25450,25261,25261
7,50557,50557,49017,49017,10555,10555,24087,24087,16952,16952,25847,25847,24882,24882,19612,19612,12215,12215,29956,29956,42847,42847,11887,11887,13185,13185,14404,14404,23799,23799,32085,32085,13651,13651,37589,37589,31013,31013,76057,76057,26242,26242,20132,20132,48044,48044,26331,26331,27823,27823,17631,17631,31460,31460,33309,33309,30235,30235,70555,70555,37371,37371,31429,31429,148120,148120,7190,7190,24261,24261,20737,20737,32024,32024,36060,36060,12352,12352,123542,123542,29286,29286,17053,17053,23914,23914,13213,13213,47735,47735,7911,7911,77826,77826,25384,25384,30292,30292,70428,70428,7577,7577,35304,35304,13313,13313,57444,57444,18145,18145,22535,22535,12100,12100,27427,27427,17925,17925,35081,35081,32786,32786,20337,20337,12612,12612,17688,17688,68191,68191,81087,81087,14414,14414,29432,29432,16205,16205,75042,75042,11060,11060,19500,19500,32811,32811,47157,47157,72413,72413,12899,12899,40774,40774,21311,21311,25839,25839,26242,26242
8,49659,49659,49393,49393,10709,10709,24054,24054,17452,17452,25075,25075,24995,24995,19939,19939,12317,12317,29118,29118,41730,41730,12305,12305,12913,12913,15842,15842,23709,23709,32636,32636,13555,13555,37844,37844,30316,30316,74893,74893,26348,26348,20346,20346,48720,48720,26178,26178,27466,27466,17675,17675,34220,34220,32428,32428,30236,30236,70724,70724,37414,37414,32400,32400,147901,147901,7508,7508,24767,24767,20764,20764,31896,31896,37563,37563,12622,12622,125256,125256,29472,29472,16535,16535,24027,24027,12957,12957,47414,47414,7667,7667,82769,82769,26929,26929,30560,30560,67681,67681,7103,7103,35033,35033,13129,13129,60927,60927,17832,17832,23067,23067,12346,12346,26950,26950,18170,18170,34875,34875,32860,32860,19878,19878,12559,12559,17733,17733,69069,69069,80086,80086,14704,14704,29962,29962,16734,16734,77049,77049,10935,10935,19966,19966,33529,33529,48007,48007,74328,74328,12698,12698,40897,40897,22606,22606,25681,25681,26520,26520
9,49233,49233,48751,48751,10533,10533,23215,23215,17679,17679,24399,24399,24545,24545,20416,20416,12726,12726,29755,29755,42585,42585,12942,12942,13059,13059,17605,17605,23109,23109,32553,32553,14293,14293,37593,37593,30424,30424,75043,75043,26523,26523,20248,20248,50144,50144,25680,25680,27729,27729,17856,17856,38956,38956,33145,33145,30821,30821,70493,70493,37561,37561,34447,34447,152121,152121,8420,8420,25787,25787,22421,22421,32966,32966,38275,38275,13238,13238,127234,127234,30094,30094,16799,16799,23885,23885,12998,12998,45889,45889,7668,7668,82152,82152,27829,27829,31100,31100,65810,65810,7334,7334,35880,35880,13440,13440,62899,62899,18178,18178,22743,22743,11827,11827,27389,27389,18320,18320,35441,35441,33714,33714,20014,20014,12983,12983,17992,17992,69351,69351,80830,80830,14712,14712,29715,29715,17368,17368,79090,79090,10999,10999,20024,20024,33412,33412,48718,48718,75845,75845,12178,12178,41158,41158,22491,22491,26033,26033,27011,27011
10,49319,49319,49068,49068,10704,10704,23407,23407,18192,18192,24383,24383,25185,25185,20766,20766,13696,13696,29542,29542,41856,41856,12557,12557,13407,13407,19975,19975,23424,23424,33596,33596,15080,15080,38048,38048,30483,30483,75877,75877,26880,26880,20986,20986,53051,53051,26065,26065,27694,27694,17657,17657,46698,46698,33208,33208,30797,30797,70451,70451,37444,37444,35054,35054,157308,157308,8980,8980,26523,26523,23736,23736,35290,35290,39344,39344,13959,13959,129261,129261,29802,29802,16470,16470,23869,23869,12955,12955,46208,46208,7867,7867,82373,82373,28409,28409,30872,30872,64412,64412,7752,7752,35634,35634,13483,13483,69568,69568,18171,18171,22794,22794,11895,11895,27841,27841,19075,19075,35505,35505,33445,33445,20609,20609,13600,13600,18211,18211,69921,69921,81693,81693,14759,14759,30054,30054,18130,18130,81921,81921,11278,11278,20534,20534,34532,34532,49087,49087,77760,77760,12854,12854,41367,41367,23027,23027,25997,25997,27424,27424
