 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94
1,100468,100468,25903,25903,23403,23403,41319,41319,16957,16957,19193,19193,31410,31410,25997,25997,11625,11625,15413,15413,19546,19546,11630,11630,86014,86014,15,15,3799,3799,91096,91096,33669,33669,43710,43710,47117,47117,42562,42562,29668,29668,32753,32753,35583,35583,11876,11876,53623,53623,57653,57653,62419,62419,39046,39046,18639,18639,79943,79943,46455,46455,9271,9271,86622,86622,12305,12305,12936,12936,11812,11812,83644,83644,32630,32630,20649,20649,5818,5818,21918,21918,25178,25178,41055,41055,6308,6308,35477,35477,26388,26388,4460,4460,13170,13170,25131,25131,41708,41708,78069,78069,37248,37248,34743,34743,86182,86182,17147,17147,16908,16908,11693,11693,95185,95185,13729,13729,11730,11730,15248,15248,12501,12501,34593,34593,11535,11535,18495,18495,116977,116977,14774,14774,19168,19168,79442,79442,41752,41752,44828,44828,65086,65086,10286,10286,58791,58791,46801,46801,84397,84397,62568,62568,7615,7615,36869,36869,36264,36264,14127,14127,11168,11168,13028,13028,32653,32653,57410,57410,39671,39671,4644,4644,10196,10196,14362,14362,48709,48709,21764,21764,11588,11588,29600,29600,12733,12733
2,95083,95083,25217,25217,22442,22442,37821,37821,17885,17885,18804,18804,25827,25827,27225,27225,11753,11753,15338,15338,20127,20127,12289,12289,82391,82391,33,33,3878,3878,93175,93175,32978,32978,47128,47128,39086,39086,32728,32728,31333,31333,33726,33726,38879,38879,12438,12438,53636,53636,55149,55149,58177,58177,41278,41278,21300,21300,78609,78609,42289,42289,9925,9925,74274,74274,13553,13553,13934,13934,12174,12174,78810,78810,29838,29838,21851,21851,6584,6584,21436,21436,25416,25416,38927,38927,6451,6451,30319,30319,27645,27645,4201,4201,13672,13672,26801,26801,42752,42752,80399,80399,35822,35822,37659,37659,80685,80685,13817,13817,17147,17147,12481,12481,91393,91393,12018,12018,11861,11861,14116,14116,12923,12923,35363,35363,12023,12023,19537,19537,121269,121269,14493,14493,20093,20093,81601,81601,38065,38065,39692,39692,58483,58483,10766,10766,54469,54469,43947,43947,91818,91818,63652,63652,7592,7592,38619,38619,35212,35212,14228,14228,10666,10666,13747,13747,35094,35094,57853,57853,40443,40443,4804,4804,10385,10385,14791,14791,51572,51572,22533,22533,10861,10861,30298,30298,13020,13020
3,92185,92185,24366,24366,21227,21227,36827,36827,18517,18517,18724,18724,22655,22655,27451,27451,11609,11609,15792,15792,21910,21910,12908,12908,78900,78900,20,20,4045,4045,94946,94946,33480,33480,50457,50457,34614,34614,26937,26937,33554,33554,35976,35976,42650,42650,12868,12868,51816,51816,51235,51235,54920,54920,43380,43380,25028,25028,78602,78602,40483,40483,9935,9935,61246,61246,14298,14298,15689,15689,12818,12818,74932,74932,31035,31035,23612,23612,6734,6734,22361,22361,26199,26199,37576,37576,6707,6707,25384,25384,28925,28925,3995,3995,13514,13514,27951,27951,44577,44577,81257,81257,34840,34840,39632,39632,74699,74699,12622,12622,17265,17265,12900,12900,91427,91427,11077,11077,12787,12787,13607,13607,13966,13966,37540,37540,12624,12624,19400,19400,124563,124563,15003,15003,22022,22022,84017,84017,35287,35287,36369,36369,52961,52961,11043,11043,50060,50060,41443,41443,98414,98414,63675,63675,7558,7558,40574,40574,34097,34097,14660,14660,10771,10771,14249,14249,40369,40369,56246,56246,42174,42174,5230,5230,10989,10989,15411,15411,53689,53689,24038,24038,11135,11135,30882,30882,13596,13596
4,88237,88237,24023,24023,21248,21248,35481,35481,18986,18986,19480,19480,20809,20809,28408,28408,11435,11435,16100,16100,22519,22519,13346,13346,76274,76274,28,28,4096,4096,96366,96366,35829,35829,49971,49971,30674,30674,23797,23797,34944,34944,37065,37065,47874,47874,12761,12761,50492,50492,48040,48040,48254,48254,43931,43931,25056,25056,77432,77432,36880,36880,10193,10193,52300,52300,14824,14824,16080,16080,13347,13347,68649,68649,32759,32759,24730,24730,6667,6667,22900,22900,27003,27003,36134,36134,7083,7083,21095,21095,30642,30642,3899,3899,14017,14017,29759,29759,45576,45576,81763,81763,33026,33026,41977,41977,69838,69838,11215,11215,18148,18148,12798,12798,89384,89384,10063,10063,12675,12675,14364,14364,14973,14973,38713,38713,13261,13261,19157,19157,127487,127487,14824,14824,22682,22682,85387,85387,32412,32412,34160,34160,47219,47219,11582,11582,47363,47363,39862,39862,105106,105106,62482,62482,7812,7812,42452,42452,32518,32518,15185,15185,10841,10841,15552,15552,44205,44205,57010,57010,44247,44247,5487,5487,11234,11234,15414,15414,54899,54899,24704,24704,10985,10985,32310,32310,13907,13907
5,85763,85763,23236,23236,20794,20794,34322,34322,20515,20515,19560,19560,19195,19195,28545,28545,11415,11415,16434,16434,23163,23163,13641,13641,72091,72091,22,22,4120,4120,94973,94973,41801,41801,50662,50662,28462,28462,21730,21730,35762,35762,37646,37646,52599,52599,13176,13176,47226,47226,44321,44321,44297,44297,45222,45222,25015,25015,75512,75512,33991,33991,10833,10833,44569,44569,15556,15556,15734,15734,13353,13353,64712,64712,35199,35199,26313,26313,6880,6880,22740,22740,27319,27319,35149,35149,7256,7256,16892,16892,31864,31864,3966,3966,13700,13700,29924,29924,47148,47148,82914,82914,32133,32133,43954,43954,64345,64345,9532,9532,18171,18171,13028,13028,87745,87745,9485,9485,13388,13388,15398,15398,15161,15161,40150,40150,13821,13821,19059,19059,128443,128443,15642,15642,23922,23922,86702,86702,29749,29749,32334,32334,43844,43844,12306,12306,44089,44089,38251,38251,108782,108782,62554,62554,8249,8249,44533,44533,31149,31149,15443,15443,10604,10604,15936,15936,46326,46326,56617,56617,46493,46493,5763,5763,12008,12008,16285,16285,55475,55475,26055,26055,10793,10793,32203,32203,14303,14303
6,80438,80438,22538,22538,20293,20293,32884,32884,21302,21302,20537,20537,18122,18122,29230,29230,11504,11504,16882,16882,24053,24053,13701,13701,70507,70507,28,28,4078,4078,95778,95778,58170,58170,48359,48359,25866,25866,19733,19733,36987,36987,37450,37450,57643,57643,13434,13434,44815,44815,41636,41636,41913,41913,47313,47313,24437,24437,74556,74556,31756,31756,10759,10759,39526,39526,16414,16414,15604,15604,14009,14009,61645,61645,37069,37069,28510,28510,6831,6831,22562,22562,27937,27937,33955,33955,7088,7088,15225,15225,32812,32812,4023,4023,14179,14179,31114,31114,48592,48592,83723,83723,29859,29859,46328,46328,60892,60892,9019,9019,18763,18763,13328,13328,88059,88059,9027,9027,13575,13575,14802,14802,15094,15094,40391,40391,14386,14386,19472,19472,128451,128451,15164,15164,24790,24790,88538,88538,27672,27672,30668,30668,41148,41148,12194,12194,39874,39874,36329,36329,114614,114614,62583,62583,8762,8762,45265,45265,28791,28791,15681,15681,10475,10475,16269,16269,46647,46647,55597,55597,47705,47705,5992,5992,12191,12191,17153,17153,54840,54840,26486,26486,10821,10821,33699,33699,14703,14703
7,77655,77655,21941,21941,19260,19260,32086,32086,20975,20975,20499,20499,17019,17019,29615,29615,11555,11555,16752,16752,24048,24048,14018,14018,67693,67693,36,36,4176,4176,95353,95353,78073,78073,47269,47269,24479,24479,19264,19264,38595,38595,37870,37870,61029,61029,13559,13559,43509,43509,39852,39852,37495,37495,47889,47889,23167,23167,74888,74888,30483,30483,10559,10559,35731,35731,16864,16864,14901,14901,14015,14015,59145,59145,38608,38608,30913,30913,7047,7047,21771,21771,27940,27940,33786,33786,6976,6976,13935,13935,33537,33537,4154,4154,14730,14730,31313,31313,48315,48315,84098,84098,29341,29341,47805,47805,56520,56520,8525,8525,19445,19445,13459,13459,85826,85826,8033,8033,13864,13864,14271,14271,15449,15449,40023,40023,14639,14639,18862,18862,130975,130975,14807,14807,24985,24985,89469,89469,25078,25078,29841,29841,36845,36845,12374,12374,38558,38558,34992,34992,117120,117120,62059,62059,10601,10601,47483,47483,27591,27591,16177,16177,10604,10604,16791,16791,46029,46029,54249,54249,48893,48893,5798,5798,13343,13343,17147,17147,56626,56626,27207,27207,10985,10985,33801,33801,14992,14992
8,73959,73959,21071,21071,18352,18352,30806,30806,21954,21954,21079,21079,16215,16215,29507,29507,11193,11193,17268,17268,24603,24603,14586,14586,66343,66343,29,29,4333,4333,94336,94336,86452,86452,46946,46946,22682,22682,17825,17825,38515,38515,37909,37909,61855,61855,13330,13330,40826,40826,37192,37192,35678,35678,48579,48579,22694,22694,72608,72608,27607,27607,10788,10788,33129,33129,16898,16898,14318,14318,14492,14492,56757,56757,40600,40600,33128,33128,7065,7065,21365,21365,28224,28224,33343,33343,7256,7256,12420,12420,35036,35036,4332,4332,14175,14175,31182,31182,49272,49272,81861,81861,27977,27977,49212,49212,52003,52003,7958,7958,19735,19735,13323,13323,84063,84063,7651,7651,14163,14163,13382,13382,16483,16483,39563,39563,15194,15194,18555,18555,129655,129655,14930,14930,25872,25872,90601,90601,23182,23182,28874,28874,34455,34455,12411,12411,34811,34811,32416,32416,119776,119776,61646,61646,11052,11052,48845,48845,26579,26579,15818,15818,10796,10796,17170,17170,43973,43973,53781,53781,50230,50230,6189,6189,12919,12919,17919,17919,56702,56702,27760,27760,10372,10372,35311,35311,15612,15612
9,71410,71410,21243,21243,18163,18163,29518,29518,22562,22562,21481,21481,15650,15650,30407,30407,10702,10702,17373,17373,25786,25786,14635,14635,64468,64468,25,25,4312,4312,93088,93088,83666,83666,48435,48435,21667,21667,17177,17177,39670,39670,36933,36933,64520,64520,12952,12952,38251,38251,35046,35046,34003,34003,48128,48128,21319,21319,70069,70069,27545,27545,10999,10999,29977,29977,17346,17346,13750,13750,13910,13910,54962,54962,39690,39690,35042,35042,7157,7157,20958,20958,27352,27352,32776,32776,7431,7431,11505,11505,35283,35283,4197,4197,14182,14182,31490,31490,49314,49314,81441,81441,26023,26023,50811,50811,49641,49641,7716,7716,20102,20102,12754,12754,81818,81818,7145,7145,13882,13882,12278,12278,16285,16285,39342,39342,15409,15409,17976,17976,129738,129738,14742,14742,25395,25395,91974,91974,22074,22074,27398,27398,32507,32507,12588,12588,31826,31826,31072,31072,121983,121983,61297,61297,10813,10813,49460,49460,25863,25863,16264,16264,10695,10695,17095,17095,41472,41472,53478,53478,48881,48881,5971,5971,13342,13342,17780,17780,56454,56454,28746,28746,10686,10686,36270,36270,15617,15617
10,67991,67991,20815,20815,17542,17542,29859,29859,22751,22751,21653,21653,14875,14875,33391,33391,10876,10876,17263,17263,25318,25318,14787,14787,62686,62686,18,18,4286,4286,89838,89838,80020,80020,48528,48528,20558,20558,16481,16481,40558,40558,36057,36057,66422,66422,13684,13684,37262,37262,34062,34062,31108,31108,48362,48362,21104,21104,69518,69518,25893,25893,10885,10885,28824,28824,17663,17663,13725,13725,14681,14681,52604,52604,41386,41386,37733,37733,6972,6972,20331,20331,27944,27944,31906,31906,7517,7517,11287,11287,36223,36223,4283,4283,13974,13974,33203,33203,49231,49231,78154,78154,24909,24909,52723,52723,46214,46214,7125,7125,21004,21004,12822,12822,79576,79576,7030,7030,13968,13968,11826,11826,15977,15977,38993,38993,15685,15685,18171,18171,130190,130190,14676,14676,26658,26658,91736,91736,20915,20915,27427,27427,30605,30605,13105,13105,30683,30683,30388,30388,122724,122724,60890,60890,10603,10603,50315,50315,24795,24795,16268,16268,10462,10462,17163,17163,38266,38266,53521,53521,50364,50364,6347,6347,13909,13909,18008,18008,56151,56151,28773,28773,10559,10559,37852,37852,15855,15855
