 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154
1,22593,22593,10609,10609,27379,27379,35238,35238,23615,23615,42452,42452,56985,56985,15041,15041,33157,33157,35164,35164,43966,43966,44000,44000,35951,35951,129548,129548,37403,37403,22003,22003,130310,130310,35595,35595,67126,67126,16246,16246,22802,22802,7478,7478,14380,14380,23463,23463,26756,26756,9824,9824,15016,15016,59345,59345,11599,11599,77334,77334,47767,47767,19542,19542,60537,60537,24746,24746,36313,36313,12096,12096,11840,11840,209939,209939,40006,40006,24463,24463,26955,26955,10268,10268,94983,94983,51108,51108,20824,20824,17398,17398,36555,36555,89382,89382,103237,103237,20692,20692,45715,45715,68431,68431,75905,75905,54804,54804,43011,43011,39495,39495,12930,12930,48866,48866,27024,27024,58387,58387,24880,24880,97138,97138,48310,48310,34951,34951,49657,49657,15172,15172,9250,9250,54144,54144,26088,26088,13197,13197,19040,19040,30460,30460,62500,62500,15369,15369,99850,99850,70156,70156,75947,75947,131817,131817,26524,26524,63621,63621,41483,41483,14277,14277,33051,33051,18841,18841,50495,50495,9341,9341,16457,16457,14513,14513,47118,47118,46049,46049,37191,37191,24450,24450,9612,9612,6995,6995,42315,42315,28558,28558,20404,20404,86338,86338,12372,12372,117964,117964,46602,46602,42408,42408,22688,22688,79612,79612,6488,6488,42559,42559,26653,26653,20395,20395,26493,26493,75742,75742,30013,30013,16769,16769,36392,36392,31988,31988,11132,11132,20997,20997,22452,22452,42753,42753,2192,2192,30217,30217,7679,7679,24482,24482,25222,25222,25356,25356,7333,7333,42750,42750,18071,18071,14240,14240,23789,23789,20524,20524,55605,55605,27180,27180,45465,45465,82084,82084,21640,21640,20603,20603,13103,13103,12071,12071,25480,25480,11083,11083,44216,44216,28895,28895,20163,20163,133398,133398,25157,25157,91836,91836,31437,31437,16206,16206,32444,32444,33693,33693,25923,25923,15841,15841,24800,24800,14736,14736
2,23373,23373,10975,10975,28994,28994,34702,34702,24488,24488,46683,46683,57227,57227,14087,14087,32458,32458,36442,36442,54471,54471,32765,32765,37001,37001,125517,125517,37282,37282,23288,23288,141006,141006,42620,42620,67145,67145,15417,15417,24573,24573,7525,7525,15137,15137,27727,27727,26184,26184,9943,9943,18011,18011,69620,69620,12072,12072,75681,75681,49479,49479,18422,18422,59974,59974,24097,24097,37437,37437,13041,13041,11298,11298,196237,196237,47297,47297,24589,24589,28464,28464,10587,10587,96017,96017,54592,54592,19579,19579,17843,17843,36219,36219,88297,88297,104182,104182,20445,20445,45981,45981,67766,67766,74010,74010,54014,54014,42956,42956,42436,42436,14277,14277,45421,45421,26834,26834,58260,58260,25147,25147,95550,95550,49368,49368,35193,35193,67038,67038,15421,15421,9456,9456,60972,60972,26784,26784,12991,12991,19083,19083,31088,31088,65337,65337,16208,16208,98740,98740,80653,80653,78040,78040,128734,128734,26164,26164,72270,72270,41403,41403,14554,14554,33881,33881,19356,19356,49877,49877,9243,9243,15700,15700,13738,13738,47772,47772,46853,46853,38167,38167,24404,24404,9802,9802,6847,6847,44123,44123,27654,27654,24036,24036,88290,88290,12673,12673,112723,112723,45785,45785,42430,42430,22827,22827,77677,77677,6779,6779,41734,41734,26458,26458,21645,21645,31632,31632,73729,73729,30055,30055,16326,16326,35751,35751,30108,30108,11030,11030,21247,21247,22384,22384,41217,41217,2229,2229,29736,29736,7827,7827,25851,25851,25001,25001,25613,25613,7798,7798,49689,49689,22398,22398,15115,15115,24662,24662,20865,20865,56179,56179,29349,29349,45309,45309,82585,82585,22209,22209,21495,21495,13437,13437,12264,12264,25689,25689,11527,11527,43813,43813,28413,28413,27063,27063,132832,132832,24672,24672,92849,92849,31090,31090,15718,15718,31786,31786,33320,33320,26164,26164,17938,17938,25436,25436,14340,14340
3,24856,24856,11020,11020,27871,27871,34702,34702,24739,24739,48608,48608,56001,56001,14588,14588,32611,32611,36392,36392,59121,59121,27740,27740,36997,36997,122774,122774,37653,37653,29621,29621,146933,146933,43619,43619,66049,66049,15083,15083,26445,26445,8035,8035,15988,15988,31635,31635,25944,25944,9443,9443,21402,21402,77108,77108,11788,11788,76083,76083,48138,48138,19804,19804,59079,59079,23941,23941,37790,37790,13839,13839,11456,11456,187706,187706,55078,55078,25274,25274,31014,31014,10574,10574,97140,97140,80876,80876,19012,19012,19254,19254,35889,35889,87141,87141,104729,104729,20720,20720,45278,45278,66164,66164,72606,72606,53175,53175,43197,43197,55591,55591,13387,13387,43490,43490,26633,26633,59568,59568,26553,26553,94213,94213,50696,50696,36738,36738,71552,71552,15802,15802,9375,9375,63637,63637,31176,31176,13171,13171,19207,19207,31578,31578,59726,59726,17389,17389,100585,100585,80499,80499,79219,79219,127503,127503,26583,26583,87489,87489,42584,42584,14900,14900,32656,32656,19497,19497,50527,50527,9198,9198,15251,15251,13305,13305,48234,48234,46867,46867,37404,37404,44603,44603,10290,10290,6580,6580,44073,44073,28308,28308,29472,29472,80720,80720,17115,17115,108906,108906,45843,45843,42836,42836,22519,22519,77695,77695,6969,6969,42541,42541,26768,26768,22271,22271,32899,32899,74099,74099,32909,32909,16369,16369,36076,36076,29808,29808,11011,11011,21015,21015,22549,22549,42012,42012,2170,2170,29934,29934,7801,7801,28746,28746,25277,25277,25818,25818,7679,7679,53694,53694,23582,23582,15922,15922,25251,25251,20129,20129,55691,55691,38668,38668,43633,43633,81744,81744,22371,22371,22447,22447,13789,13789,12255,12255,25944,25944,12395,12395,44947,44947,28053,28053,29279,29279,135508,135508,25007,25007,93678,93678,31821,31821,15806,15806,32150,32150,34476,34476,26973,26973,18179,18179,26032,26032,14646,14646
4,27359,27359,12261,12261,29155,29155,34691,34691,24331,24331,49882,49882,55582,55582,14209,14209,33653,33653,37313,37313,62321,62321,23586,23586,38614,38614,121233,121233,37313,37313,30899,30899,152205,152205,43568,43568,66571,66571,15681,15681,27737,27737,8178,8178,18728,18728,35038,35038,25871,25871,9710,9710,21771,21771,80157,80157,11753,11753,76092,76092,48276,48276,19319,19319,59377,59377,23444,23444,37872,37872,13794,13794,11180,11180,181131,181131,54197,54197,30057,30057,33847,33847,10417,10417,96690,96690,137654,137654,18803,18803,26357,26357,35856,35856,85756,85756,106776,106776,22093,22093,45696,45696,65272,65272,70717,70717,52914,52914,44400,44400,79384,79384,14203,14203,42890,42890,26069,26069,60468,60468,26633,26633,95143,95143,50751,50751,38420,38420,72033,72033,15262,15262,9280,9280,70926,70926,35931,35931,13312,13312,20275,20275,33414,33414,54482,54482,18658,18658,100723,100723,81534,81534,79438,79438,128454,128454,28238,28238,118838,118838,44541,44541,15471,15471,32505,32505,19508,19508,50453,50453,8995,8995,15343,15343,13567,13567,48966,48966,48093,48093,36110,36110,45556,45556,9995,9995,6880,6880,46198,46198,28637,28637,34977,34977,67690,67690,33797,33797,108757,108757,44760,44760,43877,43877,23746,23746,79102,79102,6994,6994,44509,44509,26886,26886,22784,22784,32450,32450,73810,73810,42001,42001,16931,16931,35949,35949,29198,29198,10973,10973,21067,21067,23449,23449,41870,41870,2143,2143,33965,33965,7941,7941,34857,34857,25832,25832,26413,26413,8056,8056,51833,51833,24696,24696,17291,17291,25482,25482,21119,21119,57607,57607,40227,40227,44577,44577,85063,85063,22986,22986,22419,22419,13542,13542,12671,12671,26121,26121,12891,12891,44606,44606,27971,27971,30651,30651,136449,136449,24946,24946,95185,95185,32081,32081,16309,16309,32124,32124,34724,34724,27067,27067,18228,18228,26604,26604,14577,14577
5,28894,28894,12542,12542,29626,29626,33902,33902,24861,24861,51261,51261,55363,55363,13868,13868,33760,33760,38345,38345,63356,63356,22005,22005,38513,38513,123357,123357,38396,38396,31347,31347,156627,156627,44606,44606,66349,66349,15364,15364,28917,28917,9397,9397,23687,23687,35161,35161,26179,26179,9883,9883,21729,21729,83253,83253,11835,11835,74581,74581,48808,48808,19216,19216,59400,59400,24420,24420,38933,38933,14052,14052,10935,10935,173319,173319,52237,52237,45995,45995,33918,33918,10995,10995,98598,98598,142591,142591,18254,18254,38378,38378,36926,36926,84957,84957,108336,108336,22289,22289,45799,45799,67405,67405,68553,68553,53144,53144,43593,43593,89094,89094,14787,14787,41882,41882,27008,27008,63517,63517,27886,27886,95215,95215,50926,50926,38846,38846,72166,72166,15741,15741,9091,9091,70987,70987,38535,38535,13521,13521,27390,27390,33758,33758,52112,52112,19557,19557,102298,102298,81585,81585,79283,79283,126781,126781,32058,32058,144392,144392,51663,51663,15740,15740,32258,32258,19096,19096,50883,50883,9193,9193,15300,15300,13365,13365,48801,48801,48264,48264,33934,33934,40204,40204,10216,10216,6584,6584,54294,54294,29568,29568,40625,40625,59096,59096,29713,29713,110949,110949,45079,45079,42999,42999,24660,24660,79724,79724,7348,7348,46362,46362,27911,27911,23230,23230,33307,33307,74905,74905,66429,66429,17164,17164,36181,36181,28189,28189,11531,11531,21964,21964,24062,24062,42432,42432,2034,2034,49288,49288,8028,8028,34997,34997,25679,25679,26885,26885,7838,7838,44107,44107,24991,24991,19257,19257,25548,25548,21186,21186,58773,58773,40438,40438,44259,44259,87046,87046,23029,23029,21835,21835,13111,13111,13085,13085,27268,27268,13747,13747,44312,44312,28130,28130,30489,30489,138241,138241,25501,25501,94695,94695,31737,31737,16329,16329,31991,31991,35059,35059,29472,29472,17992,17992,26968,26968,13990,13990
6,29105,29105,12633,12633,29808,29808,33419,33419,24953,24953,51444,51444,55278,55278,14348,14348,34622,34622,38027,38027,66092,66092,20834,20834,38961,38961,132351,132351,38722,38722,31151,31151,157204,157204,44360,44360,66695,66695,16016,16016,28909,28909,15872,15872,24808,24808,36852,36852,26327,26327,9651,9651,22584,22584,85370,85370,11911,11911,75877,75877,49330,49330,19590,19590,57936,57936,26398,26398,39304,39304,13819,13819,11136,11136,168626,168626,51752,51752,53697,53697,34410,34410,11464,11464,99170,99170,143687,143687,18429,18429,48808,48808,36452,36452,84215,84215,109542,109542,22544,22544,45772,45772,70163,70163,68500,68500,52393,52393,44246,44246,92159,92159,15394,15394,42526,42526,28512,28512,64821,64821,28576,28576,95021,95021,50185,50185,38547,38547,74096,74096,15686,15686,9149,9149,72101,72101,40497,40497,13270,13270,36963,36963,33603,33603,49550,49550,21113,21113,100793,100793,78563,78563,79867,79867,126263,126263,35978,35978,149587,149587,63497,63497,15776,15776,32302,32302,19713,19713,51612,51612,9390,9390,15485,15485,13538,13538,49989,49989,48282,48282,31697,31697,36616,36616,10251,10251,6604,6604,69150,69150,30223,30223,39249,39249,57979,57979,27876,27876,110894,110894,45022,45022,44268,44268,25490,25490,80150,80150,7339,7339,48139,48139,28452,28452,22927,22927,33441,33441,75850,75850,88350,88350,17106,17106,37275,37275,28207,28207,11490,11490,26955,26955,24586,24586,42704,42704,1932,1932,68096,68096,8487,8487,35698,35698,26203,26203,27476,27476,8234,8234,36960,36960,25620,25620,19922,19922,25198,25198,21166,21166,58551,58551,42915,42915,44449,44449,90237,90237,22965,22965,21538,21538,13364,13364,13625,13625,29944,29944,13642,13642,45167,45167,27898,27898,31436,31436,139278,139278,24738,24738,96052,96052,32153,32153,16372,16372,32933,32933,36305,36305,42916,42916,17839,17839,27374,27374,12956,12956
7,29835,29835,13116,13116,30864,30864,32817,32817,25267,25267,53098,53098,53205,53205,13840,13840,35643,35643,38440,38440,67239,67239,18517,18517,39257,39257,147246,147246,40833,40833,32137,32137,159249,159249,43848,43848,65617,65617,16207,16207,29545,29545,26924,26924,24249,24249,37599,37599,26408,26408,9748,9748,22922,22922,87127,87127,11827,11827,74697,74697,49530,49530,19573,19573,58772,58772,25887,25887,39261,39261,13831,13831,11105,11105,163509,163509,45808,45808,51812,51812,34786,34786,12186,12186,99444,99444,146342,146342,18654,18654,39562,39562,36517,36517,83683,83683,111028,111028,23051,23051,46402,46402,75518,75518,65227,65227,52093,52093,44416,44416,93048,93048,15125,15125,40275,40275,28387,28387,66040,66040,28586,28586,92610,92610,50980,50980,39108,39108,72249,72249,15501,15501,9737,9737,73551,73551,41094,41094,13296,13296,37051,37051,34151,34151,49410,49410,21898,21898,102247,102247,69468,69468,81260,81260,125596,125596,38619,38619,147740,147740,69812,69812,17138,17138,32665,32665,18852,18852,51385,51385,9407,9407,14800,14800,13940,13940,49981,49981,48773,48773,29667,29667,34193,34193,10726,10726,6172,6172,74809,74809,29869,29869,36656,36656,57602,57602,26981,26981,108200,108200,45712,45712,44603,44603,28893,28893,79797,79797,7546,7546,52380,52380,28405,28405,23359,23359,33857,33857,75336,75336,90387,90387,17095,17095,38869,38869,28251,28251,15207,15207,28496,28496,24742,24742,43241,43241,1769,1769,69132,69132,8568,8568,36953,36953,25867,25867,27321,27321,8311,8311,31458,31458,26346,26346,20788,20788,25970,25970,21170,21170,60429,60429,42800,42800,44169,44169,88900,88900,23405,23405,20977,20977,13427,13427,15519,15519,36770,36770,13701,13701,43939,43939,27834,27834,32287,32287,138420,138420,24200,24200,95229,95229,32037,32037,15753,15753,32886,32886,35422,35422,65208,65208,18156,18156,26832,26832,13928,13928
8,29852,29852,12889,12889,31369,31369,32064,32064,25614,25614,52609,52609,50824,50824,13653,13653,36859,36859,37636,37636,68602,68602,17906,17906,40645,40645,153094,153094,53752,53752,31193,31193,161798,161798,44073,44073,65822,65822,16310,16310,30662,30662,25041,25041,24620,24620,37658,37658,25619,25619,9715,9715,23396,23396,87173,87173,11830,11830,74569,74569,50394,50394,19021,19021,58091,58091,27634,27634,39399,39399,14242,14242,10925,10925,161133,161133,43086,43086,52445,52445,33960,33960,12590,12590,99805,99805,145758,145758,18822,18822,32091,32091,37066,37066,84013,84013,110712,110712,23712,23712,45669,45669,83635,83635,64335,64335,50691,50691,45050,45050,92631,92631,15456,15456,40241,40241,28902,28902,69950,69950,29847,29847,91179,91179,51275,51275,39747,39747,73150,73150,15410,15410,9426,9426,73513,73513,40108,40108,13425,13425,37474,37474,34127,34127,47380,47380,22908,22908,101553,101553,62294,62294,81832,81832,126084,126084,38741,38741,144648,144648,70216,70216,21428,21428,32812,32812,19341,19341,50758,50758,9740,9740,15169,15169,13795,13795,50912,50912,49401,49401,29168,29168,32225,32225,11167,11167,6404,6404,77183,77183,31122,31122,32284,32284,58100,58100,25626,25626,106664,106664,44962,44962,44626,44626,36446,36446,80167,80167,7703,7703,53791,53791,29396,29396,24358,24358,33493,33493,74666,74666,93378,93378,17427,17427,44113,44113,28079,28079,19480,19480,28775,28775,24870,24870,43717,43717,1814,1814,68680,68680,8752,8752,36560,36560,25646,25646,27638,27638,8180,8180,28709,28709,26092,26092,21861,21861,25339,25339,21340,21340,61322,61322,43171,43171,44634,44634,90373,90373,23129,23129,20472,20472,13136,13136,21881,21881,38495,38495,14365,14365,44956,44956,27162,27162,32226,32226,137914,137914,23635,23635,95949,95949,32263,32263,16143,16143,32951,32951,35308,35308,74071,74071,18856,18856,26643,26643,13238,13238
9,32337,32337,14674,14674,32229,32229,31924,31924,26450,26450,53649,53649,50684,50684,14006,14006,41951,41951,38255,38255,70344,70344,17739,17739,39558,39558,154848,154848,56153,56153,31403,31403,165285,165285,44205,44205,66186,66186,16402,16402,38610,38610,26965,26965,24361,24361,39102,39102,26014,26014,9954,9954,22900,22900,88699,88699,11382,11382,74947,74947,50613,50613,19531,19531,57633,57633,30792,30792,38736,38736,13802,13802,10764,10764,157281,157281,43676,43676,53127,53127,34552,34552,12985,12985,101250,101250,144472,144472,19320,19320,28176,28176,37097,37097,83661,83661,112273,112273,23737,23737,46301,46301,97543,97543,63621,63621,50634,50634,45222,45222,94949,94949,15359,15359,40005,40005,30343,30343,105288,105288,30622,30622,89838,89838,50432,50432,44114,44114,73974,73974,16204,16204,9628,9628,72845,72845,40715,40715,13305,13305,37809,37809,34289,34289,47726,47726,22813,22813,101646,101646,58764,58764,83485,83485,125067,125067,39021,39021,144991,144991,70635,70635,30879,30879,33781,33781,19969,19969,51855,51855,9756,9756,14829,14829,14309,14309,49978,49978,49005,49005,28112,28112,30651,30651,11552,11552,6411,6411,80886,80886,35443,35443,30455,30455,56018,56018,24907,24907,106417,106417,44712,44712,46196,46196,50884,50884,80995,80995,7580,7580,55455,55455,31171,31171,24639,24639,33769,33769,73842,73842,95992,95992,21640,21640,51141,51141,28178,28178,19427,19427,28250,28250,24787,24787,44179,44179,1967,1967,70680,70680,8439,8439,36489,36489,26114,26114,28038,28038,8471,8471,27462,27462,27509,27509,22742,22742,25577,25577,21563,21563,61343,61343,43130,43130,44187,44187,90534,90534,24183,24183,20319,20319,13518,13518,22302,22302,38955,38955,14821,14821,51583,51583,26939,26939,32616,32616,139802,139802,23899,23899,96767,96767,32819,32819,16089,16089,31853,31853,35338,35338,71230,71230,18884,18884,26820,26820,14114,14114
10,32994,32994,21880,21880,32227,32227,31783,31783,26161,26161,54620,54620,50097,50097,13645,13645,49942,49942,38368,38368,71115,71115,17107,17107,41059,41059,153978,153978,56823,56823,31723,31723,168733,168733,45598,45598,65750,65750,16584,16584,62463,62463,26289,26289,24067,24067,40242,40242,25597,25597,10011,10011,22883,22883,90706,90706,11121,11121,73562,73562,50615,50615,19800,19800,57869,57869,34768,34768,39641,39641,13922,13922,11117,11117,155908,155908,43839,43839,53352,53352,35524,35524,13105,13105,101576,101576,145532,145532,22199,22199,25805,25805,37754,37754,82414,82414,112222,112222,25175,25175,46850,46850,108107,108107,62027,62027,50420,50420,45965,45965,95007,95007,15459,15459,39504,39504,31311,31311,172592,172592,31167,31167,88944,88944,51280,51280,67451,67451,75145,75145,19419,19419,9808,9808,73773,73773,41823,41823,13213,13213,37293,37293,33539,33539,47925,47925,22389,22389,102631,102631,56550,56550,81916,81916,125457,125457,38651,38651,143297,143297,69315,69315,30748,30748,34084,34084,19542,19542,52097,52097,9569,9569,14333,14333,14245,14245,50655,50655,48489,48489,27241,27241,30366,30366,12590,12590,6488,6488,82240,82240,62601,62601,28930,28930,54076,54076,24098,24098,104909,104909,44865,44865,45623,45623,66426,66426,82058,82058,7780,7780,54584,54584,33727,33727,24990,24990,33535,33535,74275,74275,97336,97336,29030,29030,57950,57950,27732,27732,19211,19211,28660,28660,26024,26024,44194,44194,1868,1868,71409,71409,8805,8805,36360,36360,26976,26976,29283,29283,8270,8270,26811,26811,27321,27321,24042,24042,25628,25628,21510,21510,62250,62250,44080,44080,44513,44513,91445,91445,25165,25165,20339,20339,13259,13259,23247,23247,38337,38337,14632,14632,67974,67974,27880,27880,32720,32720,139704,139704,23424,23424,98199,98199,32475,32475,16278,16278,31962,31962,34941,34941,54390,54390,19342,19342,27915,27915,13954,13954
