 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156,IntDen157,RawIntDen157,IntDen158,RawIntDen158,IntDen159,RawIntDen159,IntDen160,RawIntDen160,IntDen161,RawIntDen161,IntDen162,RawIntDen162,IntDen163,RawIntDen163,IntDen164,RawIntDen164,IntDen165,RawIntDen165,IntDen166,RawIntDen166,IntDen167,RawIntDen167,IntDen168,RawIntDen168,IntDen169,RawIntDen169,IntDen170,RawIntDen170,IntDen171,RawIntDen171,IntDen172,RawIntDen172,IntDen173,RawIntDen173,IntDen174,RawIntDen174,IntDen175,RawIntDen175,IntDen176,RawIntDen176,IntDen177,RawIntDen177,IntDen178,RawIntDen178,IntDen179,RawIntDen179,IntDen180,RawIntDen180
1,43820,43820,74274,74274,38138,38138,29716,29716,18192,18192,120712,120712,52440,52440,29300,29300,27582,27582,64214,64214,36914,36914,34981,34981,29173,29173,18315,18315,8721,8721,18100,18100,80575,80575,29703,29703,42439,42439,18080,18080,66041,66041,45321,45321,15334,15334,20696,20696,26209,26209,284,284,10140,10140,47361,47361,11420,11420,11101,11101,16193,16193,12895,12895,15558,15558,14909,14909,43984,43984,4466,4466,30111,30111,28127,28127,74677,74677,11638,11638,50702,50702,14117,14117,16529,16529,65855,65855,15633,15633,100646,100646,19434,19434,24223,24223,13403,13403,30125,30125,19313,19313,33618,33618,32531,32531,19966,19966,74615,74615,42012,42012,67152,67152,34146,34146,42782,42782,26291,26291,43934,43934,17178,17178,39765,39765,8357,8357,31415,31415,11450,11450,12435,12435,130708,130708,7611,7611,77852,77852,66127,66127,27263,27263,163797,163797,30029,30029,74353,74353,39082,39082,33461,33461,43595,43595,23575,23575,29975,29975,25643,25643,35175,35175,42819,42819,59197,59197,18458,18458,26635,26635,29607,29607,75864,75864,51527,51527,15302,15302,14400,14400,49197,49197,129223,129223,42669,42669,30624,30624,49563,49563,79074,79074,7248,7248,29760,29760,133216,133216,24371,24371,33243,33243,23004,23004,50747,50747,18447,18447,24550,24550,30431,30431,46074,46074,22246,22246,62352,62352,141621,141621,14336,14336,18736,18736,18011,18011,26563,26563,7942,7942,15918,15918,62597,62597,22944,22944,16227,16227,37699,37699,130270,130270,45665,45665,25438,25438,30094,30094,77722,77722,49529,49529,160841,160841,20178,20178,88146,88146,1975,1975,106774,106774,72773,72773,16507,16507,149740,149740,6930,6930,4730,4730,22913,22913,33079,33079,23880,23880,17136,17136,39939,39939,89942,89942,147057,147057,21398,21398,146287,146287,52659,52659,77807,77807,46838,46838,31503,31503,18949,18949,81957,81957,53519,53519,45340,45340,48063,48063,23712,23712,41678,41678,65055,65055,25502,25502,50831,50831,19944,19944,22353,22353,63557,63557,105509,105509,34692,34692,36951,36951,18424,18424,21857,21857,14850,14850,11941,11941,9183,9183,142338,142338,67353,67353,20900,20900,9192,9192,7971,7971,22416,22416,17576,17576,34948,34948,47453,47453
2,46142,46142,74788,74788,36599,36599,29704,29704,17660,17660,117581,117581,53734,53734,28501,28501,28533,28533,63902,63902,36068,36068,34865,34865,28478,28478,18414,18414,8675,8675,19182,19182,81779,81779,30391,30391,42100,42100,17948,17948,65931,65931,44799,44799,15514,15514,20141,20141,27002,27002,319,319,10617,10617,42488,42488,11861,11861,10785,10785,16633,16633,13617,13617,15536,15536,14675,14675,43634,43634,4593,4593,30975,30975,27721,27721,75616,75616,11768,11768,50818,50818,14472,14472,16968,16968,65623,65623,16361,16361,100161,100161,19182,19182,25141,25141,13259,13259,30277,30277,19332,19332,33465,33465,35260,35260,19201,19201,74369,74369,45273,45273,68846,68846,33252,33252,44091,44091,29327,29327,43802,43802,16646,16646,39207,39207,8240,8240,30729,30729,11586,11586,13678,13678,131292,131292,7751,7751,76179,76179,68057,68057,27142,27142,157836,157836,30779,30779,74612,74612,39409,39409,32560,32560,43437,43437,23713,23713,30427,30427,25547,25547,34453,34453,41975,41975,57360,57360,19392,19392,26614,26614,30278,30278,75942,75942,53858,53858,15439,15439,14494,14494,46786,46786,124152,124152,44079,44079,30022,30022,49681,49681,78038,78038,6830,6830,29106,29106,133500,133500,23736,23736,34678,34678,23324,23324,50376,50376,17904,17904,23959,23959,30937,30937,45592,45592,22015,22015,61166,61166,137327,137327,13958,13958,18384,18384,17909,17909,26815,26815,7937,7937,16526,16526,59371,59371,23615,23615,17088,17088,36005,36005,127616,127616,47510,47510,23312,23312,27788,27788,78886,78886,47619,47619,158724,158724,19246,19246,83902,83902,2481,2481,106642,106642,75331,75331,16199,16199,149988,149988,7061,7061,5695,5695,23293,23293,32723,32723,24857,24857,16511,16511,41587,41587,86453,86453,143394,143394,21053,21053,145781,145781,50757,50757,77439,77439,46781,46781,32451,32451,18782,18782,81473,81473,49564,49564,51588,51588,45201,45201,24483,24483,42010,42010,62910,62910,25542,25542,50160,50160,19800,19800,21881,21881,66375,66375,104327,104327,32944,32944,35892,35892,18090,18090,21931,21931,14536,14536,11792,11792,9166,9166,140835,140835,67280,67280,20611,20611,8980,8980,7339,7339,21591,21591,16666,16666,33717,33717,46052,46052
3,49525,49525,75346,75346,36812,36812,30694,30694,17466,17466,117317,117317,54641,54641,29013,29013,30967,30967,62004,62004,35703,35703,35613,35613,28023,28023,18069,18069,8501,8501,20965,20965,83764,83764,31553,31553,41398,41398,18344,18344,67261,67261,46888,46888,15642,15642,20956,20956,27736,27736,256,256,10841,10841,39258,39258,11999,11999,10785,10785,16796,16796,14365,14365,15450,15450,14785,14785,46170,46170,4636,4636,32737,32737,27433,27433,75365,75365,11677,11677,51202,51202,14893,14893,17043,17043,66129,66129,16788,16788,100668,100668,19539,19539,28457,28457,13359,13359,31908,31908,20155,20155,33796,33796,37255,37255,19085,19085,73138,73138,47500,47500,71404,71404,33068,33068,46041,46041,38399,38399,44455,44455,17265,17265,40125,40125,8135,8135,30651,30651,12022,12022,16867,16867,139799,139799,8061,8061,76818,76818,71700,71700,26799,26799,158080,158080,32635,32635,74654,74654,39803,39803,32176,32176,43216,43216,24252,24252,31169,31169,25284,25284,33883,33883,41688,41688,55686,55686,19530,19530,26484,26484,29997,29997,75971,75971,55168,55168,15905,15905,14747,14747,47480,47480,120966,120966,44408,44408,29284,29284,51542,51542,79591,79591,6504,6504,28316,28316,137333,137333,23333,23333,33924,33924,23405,23405,49797,49797,17628,17628,23811,23811,30746,30746,45058,45058,22238,22238,61242,61242,135010,135010,13854,13854,18197,18197,18654,18654,27071,27071,8071,8071,17673,17673,57336,57336,23589,23589,16917,16917,35587,35587,122353,122353,51629,51629,23345,23345,26480,26480,79486,79486,46114,46114,158580,158580,19084,19084,81581,81581,2657,2657,108500,108500,78632,78632,16352,16352,149492,149492,7357,7357,6364,6364,23849,23849,31401,31401,25846,25846,17301,17301,41440,41440,87608,87608,142481,142481,20874,20874,146869,146869,48960,48960,78087,78087,46840,46840,34148,34148,19711,19711,70931,70931,48281,48281,53459,53459,45714,45714,27272,27272,41290,41290,61609,61609,25539,25539,49752,49752,19538,19538,22517,22517,66165,66165,102812,102812,32513,32513,34599,34599,18000,18000,21499,21499,14630,14630,11422,11422,8790,8790,138824,138824,61567,61567,19778,19778,8629,8629,7766,7766,21392,21392,16277,16277,32988,32988,45494,45494
4,54215,54215,75146,75146,37263,37263,30480,30480,17342,17342,115848,115848,55247,55247,29603,29603,32772,32772,60151,60151,36512,36512,37086,37086,28393,28393,18463,18463,8614,8614,23807,23807,84691,84691,31546,31546,41459,41459,18072,18072,67549,67549,49983,49983,15596,15596,25666,25666,27476,27476,267,267,11227,11227,34247,34247,12377,12377,10336,10336,16598,16598,14718,14718,15522,15522,14786,14786,48334,48334,4605,4605,35369,35369,26057,26057,76125,76125,11838,11838,51257,51257,14575,14575,17184,17184,67406,67406,17566,17566,101258,101258,19385,19385,30447,30447,13755,13755,32661,32661,21025,21025,33781,33781,41059,41059,19696,19696,73311,73311,50631,50631,73426,73426,31927,31927,47054,47054,42058,42058,44680,44680,17546,17546,39623,39623,8189,8189,30431,30431,11754,11754,17298,17298,146244,146244,7894,7894,77269,77269,76608,76608,27767,27767,161798,161798,33282,33282,74281,74281,40009,40009,31962,31962,42367,42367,24537,24537,33028,33028,24744,24744,35485,35485,42789,42789,53690,53690,19631,19631,26361,26361,29475,29475,76695,76695,57343,57343,16446,16446,14329,14329,51523,51523,119248,119248,45394,45394,29670,29670,51411,51411,78004,78004,6536,6536,30268,30268,138951,138951,22653,22653,35012,35012,23177,23177,47864,47864,17671,17671,23553,23553,30687,30687,44089,44089,22766,22766,61894,61894,134249,134249,13988,13988,18662,18662,23545,23545,26911,26911,8092,8092,17878,17878,55945,55945,23345,23345,16826,16826,35748,35748,126639,126639,50859,50859,22548,22548,26788,26788,81327,81327,46662,46662,157482,157482,18860,18860,80591,80591,3027,3027,108656,108656,80432,80432,15932,15932,145784,145784,7107,7107,7185,7185,24262,24262,31415,31415,26623,26623,20739,20739,42932,42932,89069,89069,140724,140724,20528,20528,145426,145426,48015,48015,77717,77717,48370,48370,35088,35088,20333,20333,70406,70406,47726,47726,52829,52829,47104,47104,31892,31892,41453,41453,62355,62355,25464,25464,49140,49140,19681,19681,22044,22044,68312,68312,102880,102880,31794,31794,34311,34311,17926,17926,21803,21803,14855,14855,11672,11672,8906,8906,140082,140082,57406,57406,20073,20073,8577,8577,7427,7427,20447,20447,15855,15855,32443,32443,45617,45617
5,56465,56465,74998,74998,36018,36018,30439,30439,17163,17163,115345,115345,56129,56129,28915,28915,34469,34469,58686,58686,34939,34939,37753,37753,28853,28853,18300,18300,8816,8816,25433,25433,85995,85995,32623,32623,42173,42173,18662,18662,66937,66937,53907,53907,16017,16017,40144,40144,27989,27989,314,314,11280,11280,30805,30805,12507,12507,9976,9976,16854,16854,15367,15367,15975,15975,15509,15509,49031,49031,4822,4822,36632,36632,26895,26895,75799,75799,11739,11739,51213,51213,14746,14746,17430,17430,67171,67171,17975,17975,101116,101116,19789,19789,30239,30239,13397,13397,33826,33826,22684,22684,33272,33272,44463,44463,19702,19702,73039,73039,53654,53654,74514,74514,31104,31104,48991,48991,44615,44615,45106,45106,17700,17700,40117,40117,8111,8111,30103,30103,11981,11981,16943,16943,145701,145701,8103,8103,77728,77728,81291,81291,28173,28173,168691,168691,34316,34316,74199,74199,40423,40423,31011,31011,41227,41227,24050,24050,33669,33669,25709,25709,39286,39286,42423,42423,51430,51430,20443,20443,26600,26600,29652,29652,74992,74992,58657,58657,16420,16420,14605,14605,56390,56390,114857,114857,49012,49012,29562,29562,52379,52379,78261,78261,6707,6707,31853,31853,141333,141333,22734,22734,34948,34948,23891,23891,47308,47308,17743,17743,23814,23814,30915,30915,44017,44017,22730,22730,63306,63306,131837,131837,14110,14110,19688,19688,26893,26893,27343,27343,7857,7857,18652,18652,55288,55288,24093,24093,16851,16851,36487,36487,133974,133974,51411,51411,22992,22992,27357,27357,82075,82075,46366,46366,158402,158402,19056,19056,82401,82401,3290,3290,111064,111064,82953,82953,16151,16151,143924,143924,6944,6944,7648,7648,24597,24597,30579,30579,27721,27721,28809,28809,44800,44800,86279,86279,139502,139502,20768,20768,145262,145262,47794,47794,77936,77936,47519,47519,35992,35992,20580,20580,70165,70165,47733,47733,54362,54362,48870,48870,36652,36652,43107,43107,61600,61600,25502,25502,49270,49270,19470,19470,22612,22612,70618,70618,102250,102250,31090,31090,33350,33350,17491,17491,22018,22018,14983,14983,11585,11585,8747,8747,135462,135462,56736,56736,19429,19429,8819,8819,7687,7687,20778,20778,16679,16679,32513,32513,45455,45455
6,59329,59329,73144,73144,35385,35385,29830,29830,16476,16476,113544,113544,56638,56638,29098,29098,34760,34760,58710,58710,35270,35270,38551,38551,28925,28925,18436,18436,8691,8691,26324,26324,86578,86578,33741,33741,41854,41854,18932,18932,67279,67279,56573,56573,16209,16209,34080,34080,28074,28074,302,302,11675,11675,28774,28774,12456,12456,10137,10137,16746,16746,15917,15917,15419,15419,15247,15247,50696,50696,5185,5185,37540,37540,27387,27387,76078,76078,12313,12313,51277,51277,14861,14861,17798,17798,68549,68549,18305,18305,98791,98791,19722,19722,31051,31051,13608,13608,36437,36437,25090,25090,33160,33160,47938,47938,19454,19454,73233,73233,56724,56724,77396,77396,31886,31886,53315,53315,50276,50276,44131,44131,18169,18169,41256,41256,8458,8458,29703,29703,12218,12218,17136,17136,147618,147618,8497,8497,77948,77948,83974,83974,28480,28480,179103,179103,35197,35197,74246,74246,41598,41598,31906,31906,41508,41508,24386,24386,34872,34872,26507,26507,40837,40837,43291,43291,51022,51022,21023,21023,26555,26555,29797,29797,73760,73760,59792,59792,16286,16286,14660,14660,58733,58733,113951,113951,53836,53836,29312,29312,53085,53085,78879,78879,6506,6506,34544,34544,141806,141806,23140,23140,36035,36035,23740,23740,47203,47203,17790,17790,24185,24185,31769,31769,45251,45251,24212,24212,63886,63886,131038,131038,13916,13916,19543,19543,29379,29379,27044,27044,8070,8070,18944,18944,55557,55557,23648,23648,16521,16521,36652,36652,133886,133886,51269,51269,22537,22537,25216,25216,82660,82660,46614,46614,157304,157304,18198,18198,81031,81031,3086,3086,110600,110600,84096,84096,15748,15748,139526,139526,7399,7399,8074,8074,25027,25027,29859,29859,29296,29296,30472,30472,45110,45110,84632,84632,139607,139607,20876,20876,145825,145825,47180,47180,79449,79449,48967,48967,36323,36323,21750,21750,85999,85999,46917,46917,53612,53612,50450,50450,39439,39439,43327,43327,61971,61971,25293,25293,49139,49139,18983,18983,22337,22337,69785,69785,100794,100794,32248,32248,33724,33724,17796,17796,22272,22272,14997,14997,11952,11952,9183,9183,137895,137895,57983,57983,19625,19625,8646,8646,8022,8022,21060,21060,16207,16207,32587,32587,44954,44954
7,60980,60980,71065,71065,36337,36337,30329,30329,16603,16603,114041,114041,57267,57267,29371,29371,35490,35490,58451,58451,34974,34974,40021,40021,29789,29789,18701,18701,8923,8923,26722,26722,87538,87538,34737,34737,42150,42150,19771,19771,67263,67263,59107,59107,16344,16344,29874,29874,28420,28420,305,305,11740,11740,25465,25465,12935,12935,10050,10050,17320,17320,16013,16013,15818,15818,16150,16150,49611,49611,5017,5017,38585,38585,27273,27273,75863,75863,12371,12371,51734,51734,16381,16381,18148,18148,67484,67484,19429,19429,100714,100714,20154,20154,31813,31813,14172,14172,39741,39741,28403,28403,33808,33808,52977,52977,19777,19777,72431,72431,62268,62268,77910,77910,31182,31182,60715,60715,50708,50708,43760,43760,20069,20069,41406,41406,8194,8194,29634,29634,11973,11973,17215,17215,146198,146198,7848,7848,77467,77467,85297,85297,28343,28343,188251,188251,35578,35578,74245,74245,41953,41953,31411,31411,41541,41541,25301,25301,34973,34973,29829,29829,42385,42385,44450,44450,50324,50324,22212,22212,26766,26766,29631,29631,73405,73405,61011,61011,17109,17109,15113,15113,58100,58100,112321,112321,58401,58401,28879,28879,52909,52909,78165,78165,6472,6472,38803,38803,145574,145574,22961,22961,36888,36888,24292,24292,47003,47003,17751,17751,23592,23592,32338,32338,46113,46113,24629,24629,65931,65931,131541,131541,14147,14147,20211,20211,32249,32249,27853,27853,7850,7850,19645,19645,56251,56251,23753,23753,16567,16567,36823,36823,133762,133762,51238,51238,22189,22189,23571,23571,84779,84779,46795,46795,157620,157620,18396,18396,81954,81954,3385,3385,112249,112249,88005,88005,15932,15932,133866,133866,7412,7412,8286,8286,25787,25787,28808,28808,31192,31192,29396,29396,46576,46576,86913,86913,138319,138319,20297,20297,144313,144313,48084,48084,79755,79755,48818,48818,37246,37246,22160,22160,72518,72518,46784,46784,54926,54926,51293,51293,39773,39773,44399,44399,62082,62082,25385,25385,48278,48278,19845,19845,22636,22636,69884,69884,101118,101118,31421,31421,33993,33993,17784,17784,22913,22913,15205,15205,12034,12034,9759,9759,137103,137103,57242,57242,20012,20012,8828,8828,8390,8390,20990,20990,16262,16262,33217,33217,45468,45468
8,62455,62455,68232,68232,35925,35925,30390,30390,16584,16584,112684,112684,59575,59575,29266,29266,36600,36600,60641,60641,34599,34599,41914,41914,29885,29885,19215,19215,9082,9082,27296,27296,88692,88692,36326,36326,42509,42509,19599,19599,67614,67614,60655,60655,16524,16524,28215,28215,28155,28155,313,313,12028,12028,23374,23374,13256,13256,10589,10589,17056,17056,17205,17205,15525,15525,16078,16078,49540,49540,4637,4637,40646,40646,27540,27540,75950,75950,12502,12502,51345,51345,19477,19477,18635,18635,68870,68870,19551,19551,100673,100673,20742,20742,32081,32081,13804,13804,44039,44039,31212,31212,34472,34472,55495,55495,19338,19338,73188,73188,68214,68214,79087,79087,31479,31479,68366,68366,51425,51425,43985,43985,23903,23903,42714,42714,8557,8557,29607,29607,12207,12207,16779,16779,149361,149361,8165,8165,78181,78181,86288,86288,30227,30227,193899,193899,36498,36498,75987,75987,42032,42032,32448,32448,41587,41587,25490,25490,36615,36615,35188,35188,43618,43618,45239,45239,48640,48640,23811,23811,26950,26950,29771,29771,73402,73402,61457,61457,17226,17226,14964,14964,57882,57882,111822,111822,62943,62943,28878,28878,54477,54477,80002,80002,6545,6545,55326,55326,146384,146384,23129,23129,39867,39867,24453,24453,47616,47616,18564,18564,23463,23463,33390,33390,47192,47192,25317,25317,67445,67445,130067,130067,14287,14287,20757,20757,36711,36711,28641,28641,7979,7979,19494,19494,55170,55170,24248,24248,16483,16483,37290,37290,135668,135668,51186,51186,22601,22601,23187,23187,86451,86451,47797,47797,157987,157987,19081,19081,89128,89128,3529,3529,113226,113226,90250,90250,15959,15959,128158,128158,7901,7901,8428,8428,25508,25508,27912,27912,32906,32906,29309,29309,47003,47003,86654,86654,143442,143442,20858,20858,144791,144791,48414,48414,81913,81913,50012,50012,38150,38150,23981,23981,73006,73006,47373,47373,54160,54160,51809,51809,41098,41098,46256,46256,61777,61777,25835,25835,49425,49425,19990,19990,22633,22633,71326,71326,101247,101247,31375,31375,33798,33798,17533,17533,23612,23612,15840,15840,11999,11999,9431,9431,137062,137062,57182,57182,20310,20310,8622,8622,8662,8662,21314,21314,16272,16272,33519,33519,45917,45917
9,63834,63834,66120,66120,34385,34385,30284,30284,17006,17006,114595,114595,59551,59551,29630,29630,37424,37424,61602,61602,34191,34191,41406,41406,30030,30030,20262,20262,9154,9154,27440,27440,90286,90286,37874,37874,43190,43190,20131,20131,66723,66723,62712,62712,16610,16610,28159,28159,28390,28390,351,351,12259,12259,21789,21789,12977,12977,10199,10199,17548,17548,17660,17660,15647,15647,16220,16220,49364,49364,4957,4957,42053,42053,28828,28828,77298,77298,12492,12492,52059,52059,21333,21333,18054,18054,69854,69854,20583,20583,101222,101222,21181,21181,32632,32632,14108,14108,47897,47897,33243,33243,34731,34731,57793,57793,19269,19269,72968,72968,74816,74816,81820,81820,31599,31599,75130,75130,49835,49835,43347,43347,28104,28104,43429,43429,8810,8810,30597,30597,12453,12453,17763,17763,150067,150067,8112,8112,78871,78871,87586,87586,31524,31524,194912,194912,36912,36912,76603,76603,43384,43384,32082,32082,41536,41536,26315,26315,36436,36436,41803,41803,45122,45122,45321,45321,48985,48985,26408,26408,26862,26862,30015,30015,74649,74649,62554,62554,17519,17519,15259,15259,58060,58060,108991,108991,65019,65019,28795,28795,55104,55104,80727,80727,6920,6920,71209,71209,148398,148398,23860,23860,42341,42341,24738,24738,49224,49224,18245,18245,23652,23652,33950,33950,48220,48220,25156,25156,69934,69934,130475,130475,14623,14623,21619,21619,41715,41715,29127,29127,8306,8306,20447,20447,56180,56180,24240,24240,16342,16342,37731,37731,140348,140348,50960,50960,24185,24185,22640,22640,88771,88771,48206,48206,159506,159506,19434,19434,98566,98566,3649,3649,114917,114917,93606,93606,15680,15680,124091,124091,7835,7835,8515,8515,27137,27137,27433,27433,34918,34918,30056,30056,47847,47847,85051,85051,148124,148124,21571,21571,145590,145590,48725,48725,82172,82172,50559,50559,38628,38628,26242,26242,72369,72369,48821,48821,55722,55722,51623,51623,41857,41857,47015,47015,62312,62312,25893,25893,48397,48397,19946,19946,23209,23209,73255,73255,102181,102181,31706,31706,34120,34120,17892,17892,23732,23732,15878,15878,12482,12482,9551,9551,136855,136855,58459,58459,20601,20601,8636,8636,8872,8872,21496,21496,16396,16396,33985,33985,45878,45878
10,66002,66002,65540,65540,35973,35973,30428,30428,17622,17622,114204,114204,60624,60624,29256,29256,38416,38416,63341,63341,33999,33999,43694,43694,29643,29643,20636,20636,9124,9124,27758,27758,91071,91071,39893,39893,43170,43170,21328,21328,66490,66490,63945,63945,17378,17378,27694,27694,28849,28849,315,315,12661,12661,20944,20944,13827,13827,10147,10147,18183,18183,19338,19338,16576,16576,16684,16684,48348,48348,5029,5029,45071,45071,27692,27692,76876,76876,12702,12702,51834,51834,23402,23402,18458,18458,70732,70732,20629,20629,102500,102500,21509,21509,33206,33206,14533,14533,51079,51079,33028,33028,34649,34649,59964,59964,19258,19258,73843,73843,78144,78144,83349,83349,31844,31844,79219,79219,49350,49350,43575,43575,31064,31064,44050,44050,8699,8699,30476,30476,12841,12841,17480,17480,152833,152833,8496,8496,79708,79708,88226,88226,34928,34928,196755,196755,37639,37639,76199,76199,44886,44886,32059,32059,41110,41110,26841,26841,37704,37704,45513,45513,45498,45498,45881,45881,47625,47625,27381,27381,27681,27681,30406,30406,76108,76108,64500,64500,17781,17781,15415,15415,58596,58596,108495,108495,66364,66364,28952,28952,56728,56728,80811,80811,6657,6657,69292,69292,150411,150411,24185,24185,46694,46694,25344,25344,49922,49922,18405,18405,23872,23872,33957,33957,48762,48762,25864,25864,72574,72574,129659,129659,15235,15235,22049,22049,45340,45340,29070,29070,8209,8209,20666,20666,54905,54905,24653,24653,16368,16368,38556,38556,141634,141634,50935,50935,25960,25960,22016,22016,89757,89757,49003,49003,160952,160952,19452,19452,107937,107937,3728,3728,116081,116081,96236,96236,15896,15896,119926,119926,7858,7858,8599,8599,26690,26690,27362,27362,37689,37689,29926,29926,48790,48790,84897,84897,152913,152913,21760,21760,144809,144809,48855,48855,84100,84100,51899,51899,39607,39607,27946,27946,72265,72265,48731,48731,54961,54961,52374,52374,42937,42937,47682,47682,60803,60803,26702,26702,49081,49081,19517,19517,23363,23363,76389,76389,103595,103595,31911,31911,34403,34403,18065,18065,24146,24146,15948,15948,12879,12879,10104,10104,138742,138742,58452,58452,20599,20599,9007,9007,8847,8847,21126,21126,16753,16753,33599,33599,46686,46686
