 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125
1,63484,63484,37740,37740,17292,17292,21796,21796,17158,17158,32778,32778,19271,19271,31261,31261,43057,43057,31129,31129,5012,5012,25842,25842,33491,33491,46435,46435,77058,77058,57965,57965,26314,26314,28165,28165,41979,41979,42495,42495,17323,17323,26543,26543,41639,41639,22108,22108,253783,253783,52130,52130,25206,25206,55982,55982,16230,16230,16930,16930,31094,31094,70427,70427,24807,24807,48916,48916,26993,26993,7382,7382,21541,21541,50268,50268,50057,50057,17132,17132,7406,7406,19897,19897,28336,28336,18547,18547,50234,50234,135997,135997,128430,128430,75128,75128,26849,26849,75363,75363,15010,15010,62154,62154,54190,54190,215705,215705,6656,6656,70380,70380,37339,37339,17207,17207,33708,33708,17786,17786,131788,131788,30447,30447,21220,21220,13025,13025,38414,38414,26697,26697,35781,35781,38088,38088,19934,19934,30329,30329,38722,38722,15196,15196,53817,53817,3641,3641,25175,25175,4358,4358,9535,9535,34504,34504,12642,12642,94729,94729,23430,23430,5018,5018,24107,24107,31333,31333,59764,59764,16605,16605,17111,17111,88877,88877,24703,24703,31142,31142,15501,15501,25989,25989,37528,37528,107670,107670,11741,11741,58632,58632,12769,12769,6448,6448,63306,63306,63103,63103,53504,53504,49231,49231,31388,31388,51950,51950,12110,12110,13655,13655,35858,35858,25216,25216,42213,42213,69632,69632,50298,50298,36529,36529,82315,82315,42967,42967,86867,86867,20119,20119,119729,119729,50388,50388,16537,16537,96222,96222,121832,121832,12371,12371,108319,108319,35314,35314,8684,8684
2,62223,62223,36674,36674,16031,16031,20305,20305,18369,18369,16893,16893,18882,18882,31017,31017,32529,32529,30399,30399,4964,4964,25366,25366,34358,34358,46774,46774,75649,75649,56433,56433,26422,26422,27496,27496,40785,40785,42432,42432,17226,17226,26771,26771,41334,41334,18780,18780,251561,251561,51032,51032,24740,24740,41465,41465,15569,15569,15931,15931,19625,19625,70882,70882,24562,24562,45372,45372,26669,26669,6845,6845,20834,20834,49783,49783,48474,48474,17432,17432,7254,7254,20333,20333,27785,27785,18720,18720,50936,50936,135768,135768,125352,125352,66153,66153,26648,26648,65872,65872,14846,14846,60127,60127,46524,46524,207148,207148,6962,6962,66247,66247,25385,25385,18004,18004,33521,33521,16164,16164,130244,130244,30288,30288,26898,26898,12590,12590,37633,37633,28711,28711,36056,36056,32600,32600,19317,19317,30316,30316,37019,37019,14518,14518,51545,51545,3796,3796,25790,25790,4522,4522,9573,9573,33389,33389,12789,12789,96569,96569,24342,24342,5239,5239,25062,25062,32292,32292,58457,58457,16954,16954,17800,17800,98696,98696,25675,25675,30867,30867,15367,15367,26628,26628,40335,40335,107634,107634,11612,11612,62610,62610,14477,14477,6448,6448,66314,66314,59763,59763,53949,53949,48602,48602,31627,31627,51585,51585,12527,12527,14280,14280,39072,39072,24579,24579,39974,39974,43974,43974,50613,50613,35876,35876,75496,75496,42561,42561,86053,86053,20447,20447,121051,121051,54349,54349,16821,16821,98828,98828,67645,67645,12336,12336,111037,111037,35721,35721,8808,8808
3,63580,63580,36436,36436,14671,14671,20256,20256,20900,20900,18672,18672,19363,19363,30929,30929,31921,31921,30159,30159,5325,5325,25529,25529,33136,33136,46643,46643,75004,75004,55783,55783,26967,26967,28152,28152,38422,38422,41071,41071,17097,17097,26107,26107,40734,40734,17344,17344,250560,250560,50474,50474,24346,24346,38137,38137,15062,15062,16139,16139,16817,16817,70828,70828,24551,24551,43681,43681,26148,26148,6788,6788,21173,21173,49075,49075,47715,47715,17063,17063,6648,6648,19624,19624,26713,26713,18160,18160,52325,52325,132494,132494,126306,126306,62269,62269,26117,26117,61655,61655,14675,14675,59264,59264,44901,44901,195541,195541,7008,7008,58956,58956,20926,20926,18949,18949,34233,34233,16608,16608,131037,131037,29507,29507,42449,42449,12292,12292,37104,37104,29245,29245,36219,36219,28885,28885,18559,18559,29634,29634,38971,38971,14298,14298,49874,49874,3639,3639,25463,25463,4473,4473,9374,9374,35891,35891,12984,12984,93614,93614,25318,25318,5472,5472,25036,25036,32447,32447,58552,58552,19609,19609,17766,17766,107699,107699,27162,27162,31616,31616,15491,15491,26459,26459,41160,41160,105869,105869,12057,12057,62708,62708,12630,12630,6632,6632,66893,66893,55233,55233,53301,53301,47190,47190,31533,31533,49480,49480,12417,12417,13559,13559,67718,67718,25261,25261,37175,37175,35589,35589,49995,49995,35743,35743,70677,70677,42779,42779,88166,88166,19920,19920,120014,120014,55185,55185,16938,16938,99688,99688,45672,45672,12750,12750,110231,110231,35804,35804,8841,8841
4,59016,59016,35887,35887,15502,15502,20269,20269,9904,9904,21237,21237,19293,19293,31355,31355,31733,31733,30149,30149,5292,5292,25496,25496,33137,33137,48431,48431,74872,74872,55602,55602,27202,27202,28480,28480,37363,37363,40383,40383,17502,17502,26619,26619,40097,40097,15831,15831,252942,252942,49849,49849,24057,24057,40155,40155,15173,15173,15240,15240,16147,16147,69441,69441,24800,24800,43320,43320,26000,26000,6707,6707,20898,20898,47055,47055,47019,47019,17310,17310,6474,6474,20639,20639,26969,26969,18164,18164,53253,53253,130373,130373,127572,127572,59541,59541,25424,25424,56653,56653,15289,15289,59331,59331,44428,44428,169089,169089,6889,6889,55145,55145,43684,43684,17971,17971,34149,34149,15683,15683,129141,129141,30163,30163,50110,50110,13054,13054,37587,37587,29810,29810,36898,36898,26919,26919,19206,19206,30594,30594,38001,38001,15050,15050,47040,47040,3907,3907,25602,25602,4464,4464,9640,9640,36181,36181,12919,12919,89157,89157,26500,26500,5709,5709,24851,24851,32116,32116,58902,58902,19652,19652,17416,17416,111706,111706,28453,28453,31995,31995,15918,15918,24004,24004,40446,40446,102304,102304,12569,12569,61915,61915,13491,13491,6571,6571,69754,69754,54423,54423,54518,54518,45204,45204,31979,31979,47132,47132,12621,12621,13765,13765,83365,83365,24547,24547,33413,33413,33003,33003,48911,48911,36786,36786,66482,66482,42463,42463,88147,88147,20095,20095,120379,120379,57146,57146,17024,17024,100710,100710,40820,40820,12730,12730,110247,110247,35762,35762,8671,8671
5,57514,57514,34571,34571,16137,16137,19391,19391,9636,9636,15429,15429,19485,19485,31619,31619,30672,30672,28745,28745,5460,5460,25667,25667,33967,33967,49536,49536,74281,74281,56035,56035,26778,26778,28659,28659,36419,36419,39166,39166,17169,17169,26634,26634,39455,39455,15534,15534,250677,250677,49100,49100,23731,23731,35209,35209,15485,15485,14629,14629,15625,15625,69161,69161,24292,24292,41069,41069,25264,25264,6496,6496,20594,20594,46380,46380,45633,45633,17288,17288,6597,6597,22062,22062,26815,26815,17687,17687,55290,55290,134167,134167,129921,129921,56816,56816,25814,25814,53722,53722,15316,15316,60468,60468,42504,42504,158314,158314,7022,7022,53243,53243,49922,49922,17949,17949,34262,34262,14473,14473,124901,124901,28676,28676,48379,48379,13368,13368,37194,37194,29583,29583,37019,37019,24183,24183,18785,18785,30751,30751,38383,38383,15973,15973,45778,45778,3889,3889,25702,25702,4755,4755,9793,9793,37095,37095,13303,13303,85633,85633,27453,27453,5094,5094,21800,21800,32753,32753,58662,58662,21257,21257,20117,20117,116374,116374,29910,29910,32182,32182,15688,15688,20957,20957,41021,41021,98791,98791,12618,12618,61630,61630,12459,12459,6769,6769,71133,71133,50474,50474,55478,55478,44955,44955,32313,32313,44751,44751,12608,12608,14060,14060,71357,71357,23820,23820,29451,29451,32098,32098,48462,48462,36560,36560,64865,64865,43241,43241,88329,88329,20352,20352,120753,120753,58698,58698,16886,16886,100737,100737,38244,38244,12605,12605,110020,110020,34831,34831,8800,8800
6,58922,58922,34833,34833,15811,15811,19422,19422,10092,10092,15425,15425,19484,19484,32055,32055,30651,30651,29482,29482,5358,5358,26059,26059,36224,36224,51114,51114,72856,72856,56864,56864,28082,28082,28259,28259,76209,76209,40640,40640,17299,17299,26404,26404,40914,40914,15155,15155,251010,251010,50676,50676,23736,23736,35025,35025,14941,14941,15517,15517,15953,15953,70374,70374,24572,24572,41235,41235,25705,25705,6559,6559,20548,20548,44902,44902,44893,44893,17701,17701,6509,6509,19712,19712,27362,27362,18446,18446,57865,57865,132847,132847,132427,132427,52752,52752,25648,25648,51077,51077,15269,15269,59766,59766,40263,40263,151135,151135,6793,6793,50279,50279,48966,48966,17919,17919,34210,34210,13368,13368,117801,117801,28485,28485,42258,42258,13544,13544,36775,36775,30247,30247,37541,37541,21713,21713,17953,17953,31353,31353,38209,38209,14575,14575,41978,41978,4024,4024,25287,25287,4679,4679,10097,10097,37759,37759,13779,13779,82614,82614,28999,28999,4967,4967,17822,17822,33000,33000,58234,58234,19842,19842,18858,18858,120089,120089,32312,32312,33391,33391,16025,16025,17347,17347,40103,40103,95227,95227,13116,13116,60252,60252,13257,13257,6952,6952,73226,73226,48124,48124,56986,56986,43876,43876,31530,31530,32794,32794,13682,13682,14561,14561,66108,66108,22577,22577,25513,25513,32276,32276,46814,46814,35764,35764,61392,61392,43064,43064,87113,87113,20366,20366,119073,119073,60199,60199,16579,16579,100032,100032,37711,37711,12998,12998,110474,110474,35622,35622,8476,8476
7,59160,59160,34932,34932,15910,15910,19401,19401,9585,9585,15460,15460,19179,19179,31787,31787,31395,31395,29159,29159,5386,5386,26754,26754,36128,36128,52809,52809,73609,73609,56504,56504,27563,27563,27942,27942,36362,36362,39596,39596,17425,17425,26684,26684,40102,40102,15492,15492,252642,252642,49418,49418,24245,24245,34867,34867,15516,15516,15085,15085,16409,16409,70211,70211,25112,25112,40693,40693,25441,25441,7002,7002,20655,20655,45693,45693,43536,43536,17482,17482,6197,6197,19911,19911,26982,26982,18224,18224,60384,60384,131417,131417,143883,143883,50681,50681,25962,25962,47743,47743,15045,15045,59923,59923,38885,38885,146346,146346,6859,6859,48725,48725,50200,50200,17410,17410,33530,33530,12576,12576,115111,115111,29004,29004,33374,33374,13812,13812,35746,35746,30317,30317,37297,37297,20600,20600,16984,16984,32352,32352,37377,37377,15263,15263,39767,39767,3945,3945,24976,24976,4758,4758,9810,9810,38044,38044,13770,13770,81829,81829,29276,29276,5412,5412,18017,18017,31544,31544,58720,58720,20829,20829,19059,19059,119568,119568,34164,34164,34578,34578,16329,16329,16162,16162,39330,39330,93539,93539,13267,13267,57949,57949,12813,12813,7248,7248,75916,75916,45299,45299,56440,56440,41787,41787,31349,31349,22189,22189,14552,14552,14975,14975,66066,66066,22092,22092,22394,22394,31233,31233,44336,44336,34865,34865,58601,58601,42590,42590,86551,86551,21760,21760,116204,116204,59978,59978,16695,16695,97972,97972,37165,37165,13102,13102,110092,110092,35359,35359,7230,7230
8,59054,59054,34975,34975,16641,16641,19015,19015,9933,9933,15146,15146,19555,19555,32879,32879,31207,31207,28718,28718,5672,5672,26427,26427,34648,34648,54987,54987,72985,72985,57775,57775,28336,28336,28050,28050,36681,36681,40256,40256,17538,17538,26310,26310,39258,39258,15974,15974,252694,252694,50333,50333,23998,23998,34455,34455,15304,15304,15250,15250,16061,16061,71405,71405,25395,25395,40117,40117,25567,25567,6749,6749,20598,20598,46042,46042,42154,42154,17480,17480,6446,6446,20280,20280,27232,27232,18975,18975,62890,62890,132650,132650,134790,134790,49066,49066,24944,24944,45431,45431,15352,15352,59281,59281,37528,37528,141338,141338,6576,6576,45764,45764,50145,50145,17484,17484,33279,33279,11348,11348,111775,111775,28273,28273,28688,28688,13433,13433,35627,35627,30447,30447,38114,38114,18649,18649,17135,17135,32674,32674,37742,37742,15052,15052,37560,37560,3987,3987,25259,25259,5016,5016,9573,9573,38485,38485,14154,14154,82994,82994,31090,31090,5511,5511,18634,18634,30394,30394,56029,56029,19212,19212,20026,20026,121411,121411,36968,36968,34939,34939,16270,16270,15051,15051,38920,38920,90532,90532,13627,13627,53911,53911,13385,13385,6809,6809,77436,77436,42496,42496,57419,57419,40926,40926,31623,31623,19951,19951,14677,14677,15104,15104,66169,66169,21641,21641,20369,20369,31476,31476,41732,41732,34426,34426,57507,57507,43033,43033,85388,85388,21876,21876,115369,115369,60692,60692,16362,16362,97629,97629,37647,37647,13185,13185,107197,107197,34945,34945,6624,6624
9,58576,58576,34163,34163,15202,15202,19464,19464,9852,9852,15457,15457,19895,19895,31803,31803,31182,31182,28947,28947,5584,5584,26476,26476,34194,34194,55689,55689,73187,73187,58587,58587,28598,28598,27397,27397,36401,36401,39467,39467,17975,17975,26995,26995,40343,40343,15352,15352,250713,250713,50221,50221,24163,24163,33414,33414,15780,15780,15136,15136,16479,16479,71329,71329,25442,25442,39086,39086,25084,25084,6792,6792,20708,20708,46010,46010,40289,40289,17497,17497,6076,6076,20319,20319,26758,26758,18368,18368,63548,63548,128145,128145,137909,137909,46959,46959,24863,24863,43614,43614,14817,14817,59630,59630,35896,35896,138399,138399,6739,6739,44040,44040,43081,43081,16932,16932,32514,32514,10814,10814,105352,105352,27336,27336,27737,27737,14840,14840,34894,34894,29439,29439,38604,38604,17822,17822,16585,16585,32485,32485,37110,37110,14390,14390,35407,35407,4158,4158,23518,23518,4992,4992,10213,10213,39070,39070,14361,14361,80838,80838,31380,31380,5522,5522,18376,18376,27528,27528,56745,56745,24059,24059,19477,19477,122359,122359,36941,36941,36819,36819,16540,16540,14326,14326,38733,38733,88997,88997,13868,13868,50974,50974,16633,16633,7310,7310,78645,78645,41188,41188,56585,56585,40407,40407,32021,32021,18951,18951,15344,15344,15244,15244,63892,63892,20751,20751,18525,18525,31233,31233,39523,39523,33926,33926,55278,55278,42462,42462,84799,84799,23948,23948,114553,114553,57812,57812,16789,16789,96798,96798,37514,37514,12703,12703,104990,104990,34436,34436,6312,6312
10,59189,59189,33648,33648,15316,15316,18909,18909,10138,10138,15201,15201,18950,18950,31990,31990,31004,31004,28672,28672,5516,5516,26892,26892,34349,34349,56025,56025,73716,73716,58924,58924,28252,28252,26518,26518,37092,37092,39555,39555,17718,17718,26978,26978,39716,39716,14830,14830,250809,250809,50271,50271,24192,24192,33243,33243,15628,15628,14992,14992,16552,16552,71529,71529,25313,25313,38411,38411,25017,25017,6932,6932,21394,21394,45614,45614,38851,38851,17434,17434,6037,6037,19840,19840,27173,27173,19005,19005,65726,65726,129215,129215,136271,136271,43973,43973,24493,24493,41614,41614,15285,15285,59537,59537,34644,34644,133816,133816,6844,6844,42520,42520,26728,26728,17159,17159,32697,32697,9979,9979,102870,102870,26786,26786,26284,26284,13215,13215,34654,34654,29775,29775,39289,39289,17478,17478,16774,16774,32720,32720,36013,36013,14529,14529,33271,33271,4027,4027,23994,23994,5009,5009,10747,10747,38545,38545,14638,14638,82323,82323,32083,32083,5440,5440,18637,18637,26727,26727,54464,54464,24939,24939,21290,21290,125982,125982,38553,38553,37973,37973,16757,16757,14362,14362,38306,38306,86088,86088,14097,14097,47614,47614,13649,13649,7302,7302,79091,79091,39186,39186,57405,57405,39996,39996,31289,31289,19490,19490,15076,15076,15321,15321,65847,65847,20225,20225,17952,17952,30246,30246,38173,38173,33066,33066,53649,53649,43852,43852,84346,84346,24085,24085,114507,114507,56421,56421,16894,16894,95901,95901,37189,37189,12702,12702,105653,105653,34252,34252,6766,6766
