 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156
1,45132,45132,21276,21276,72406,72406,37699,37699,9563,9563,16728,16728,39566,39566,39748,39748,21502,21502,10332,10332,48749,48749,26381,26381,10662,10662,71084,71084,14805,14805,48255,48255,52800,52800,19105,19105,49418,49418,39592,39592,18070,18070,33492,33492,10061,10061,46102,46102,85423,85423,12348,12348,9288,9288,54084,54084,20639,20639,93316,93316,45553,45553,48606,48606,10167,10167,51266,51266,33562,33562,54840,54840,23803,23803,59631,59631,31683,31683,23514,23514,23986,23986,30512,30512,38139,38139,12432,12432,6208,6208,61086,61086,247877,247877,67155,67155,29641,29641,49924,49924,38378,38378,13330,13330,25890,25890,44860,44860,15023,15023,71916,71916,28675,28675,31697,31697,35460,35460,23994,23994,8435,8435,15322,15322,26038,26038,23539,23539,52555,52555,36567,36567,57286,57286,35006,35006,13853,13853,18655,18655,46144,46144,33212,33212,21339,21339,31182,31182,23923,23923,21277,21277,12337,12337,16150,16150,69642,69642,75084,75084,24118,24118,28926,28926,45331,45331,24583,24583,19645,19645,13981,13981,27829,27829,28116,28116,32218,32218,7844,7844,35247,35247,36065,36065,44910,44910,12062,12062,16122,16122,54776,54776,13962,13962,12563,12563,31943,31943,32993,32993,17526,17526,37401,37401,40190,40190,64861,64861,21064,21064,32301,32301,42517,42517,21424,21424,53277,53277,38532,38532,8096,8096,16060,16060,13497,13497,34200,34200,22629,22629,11138,11138,20251,20251,16197,16197,30546,30546,81931,81931,24206,24206,16760,16760,31457,31457,18362,18362,28390,28390,20754,20754,23245,23245,16004,16004,17276,17276,59913,59913,15012,15012,22271,22271,7215,7215,17605,17605,18284,18284,28888,28888,35841,35841,34579,34579,12470,12470,39607,39607,11483,11483,40438,40438,50537,50537,19869,19869,29312,29312,37952,37952,13472,13472,11392,11392,38613,38613,55517,55517,38505,38505,14592,14592,37000,37000,13108,13108,12772,12772,37007,37007
2,44510,44510,19026,19026,71545,71545,36766,36766,9138,9138,17575,17575,38538,38538,37956,37956,23709,23709,9855,9855,49295,49295,24945,24945,10213,10213,70652,70652,14352,14352,48951,48951,53537,53537,18750,18750,46123,46123,40018,40018,18734,18734,33496,33496,9788,9788,45332,45332,88816,88816,12374,12374,8946,8946,56290,56290,22251,22251,93151,93151,44336,44336,50849,50849,9919,9919,49798,49798,34766,34766,54652,54652,23919,23919,56803,56803,29360,29360,23743,23743,22797,22797,31572,31572,37540,37540,12375,12375,6184,6184,63671,63671,231963,231963,64849,64849,29133,29133,53690,53690,38156,38156,11985,11985,27496,27496,44677,44677,14771,14771,72627,72627,27432,27432,33150,33150,37173,37173,22709,22709,8256,8256,14504,14504,26347,26347,22683,22683,52287,52287,38504,38504,55530,55530,33648,33648,14190,14190,17809,17809,44981,44981,33790,33790,19625,19625,30992,30992,22603,22603,21823,21823,12135,12135,16941,16941,69637,69637,73051,73051,22599,22599,29244,29244,43660,43660,23846,23846,18836,18836,13270,13270,28454,28454,26848,26848,31777,31777,7639,7639,39734,39734,36161,36161,47485,47485,11670,11670,16442,16442,53292,53292,13534,13534,12740,12740,32408,32408,30654,30654,17432,17432,37213,37213,41917,41917,70091,70091,20640,20640,30695,30695,43134,43134,20965,20965,56654,56654,37110,37110,8371,8371,16156,16156,12751,12751,34426,34426,22792,22792,11874,11874,19823,19823,15881,15881,31289,31289,80833,80833,23642,23642,16750,16750,31804,31804,19051,19051,28126,28126,20893,20893,24808,24808,18216,18216,17626,17626,62204,62204,15523,15523,22362,22362,7974,7974,17723,17723,18477,18477,29053,29053,36755,36755,29705,29705,12747,12747,38956,38956,10956,10956,40138,40138,49223,49223,20467,20467,29595,29595,36979,36979,13683,13683,11250,11250,45117,45117,53759,53759,38049,38049,14788,14788,38172,38172,13396,13396,12887,12887,35809,35809
3,43716,43716,17241,17241,70566,70566,36521,36521,9168,9168,17901,17901,38126,38126,38011,38011,22361,22361,10399,10399,51892,51892,23924,23924,9963,9963,68721,68721,14461,14461,51284,51284,54811,54811,17786,17786,44213,44213,38539,38539,18757,18757,34290,34290,10000,10000,45002,45002,92156,92156,12540,12540,9055,9055,57616,57616,25087,25087,95738,95738,43626,43626,51516,51516,9951,9951,48678,48678,34142,34142,56336,56336,22719,22719,55253,55253,28427,28427,23250,23250,22205,22205,33924,33924,36714,36714,11646,11646,6549,6549,63979,63979,227240,227240,63512,63512,28973,28973,62092,62092,40195,40195,11646,11646,27133,27133,45739,45739,18276,18276,72396,72396,26472,26472,34755,34755,42920,42920,22742,22742,8444,8444,13960,13960,27566,27566,25989,25989,51820,51820,38712,38712,55849,55849,30429,30429,14442,14442,17810,17810,45071,45071,34304,34304,19034,19034,31756,31756,22522,22522,21835,21835,12503,12503,18931,18931,74615,74615,72474,72474,22910,22910,28474,28474,45685,45685,24529,24529,19629,19629,13623,13623,28762,28762,27092,27092,30942,30942,7536,7536,45236,45236,37265,37265,50061,50061,11780,11780,16128,16128,56939,56939,13220,13220,13195,13195,32811,32811,28753,28753,17238,17238,37623,37623,46064,46064,75143,75143,21231,21231,32165,32165,43189,43189,20998,20998,64823,64823,38829,38829,8771,8771,16256,16256,12721,12721,37118,37118,23490,23490,12060,12060,19992,19992,15987,15987,32253,32253,74287,74287,23526,23526,16248,16248,33289,33289,18546,18546,28121,28121,20510,20510,25949,25949,20384,20384,16946,16946,68313,68313,15674,15674,21976,21976,8142,8142,17750,17750,18225,18225,29298,29298,36107,36107,27544,27544,12607,12607,38721,38721,11037,11037,42604,42604,49755,49755,20283,20283,29737,29737,37793,37793,13656,13656,11537,11537,51307,51307,53243,53243,37844,37844,14399,14399,38081,38081,13331,13331,12533,12533,33212,33212
4,42847,42847,17028,17028,70782,70782,36244,36244,9248,9248,21794,21794,38550,38550,36748,36748,22164,22164,9765,9765,54272,54272,23572,23572,10106,10106,69375,69375,14738,14738,53442,53442,56319,56319,18240,18240,44569,44569,38720,38720,18949,18949,36066,36066,10021,10021,44897,44897,94698,94698,12860,12860,8795,8795,60224,60224,25753,25753,97881,97881,40690,40690,53093,53093,9844,9844,48234,48234,35000,35000,55697,55697,22907,22907,55343,55343,27435,27435,23667,23667,21564,21564,36742,36742,37124,37124,9278,9278,6579,6579,64718,64718,222763,222763,64580,64580,28516,28516,67372,67372,45292,45292,11290,11290,28133,28133,46718,46718,22679,22679,76262,76262,25777,25777,40013,40013,43961,43961,23387,23387,8384,8384,13548,13548,28767,28767,27357,27357,51214,51214,38933,38933,55220,55220,31629,31629,14656,14656,17327,17327,46620,46620,34795,34795,18190,18190,31570,31570,22310,22310,21917,21917,12570,12570,19245,19245,87024,87024,72505,72505,22188,22188,28824,28824,43771,43771,24534,24534,19655,19655,13743,13743,28925,28925,27305,27305,30414,30414,7869,7869,52705,52705,37320,37320,49048,49048,12089,12089,16735,16735,66088,66088,13142,13142,14036,14036,33535,33535,26454,26454,17066,17066,37966,37966,43676,43676,84982,84982,21294,21294,33479,33479,43074,43074,21063,21063,67314,67314,39637,39637,8730,8730,16752,16752,12729,12729,39647,39647,24648,24648,13201,13201,20046,20046,16524,16524,32493,32493,71392,71392,23597,23597,16289,16289,36327,36327,19340,19340,28365,28365,20457,20457,27103,27103,21765,21765,16861,16861,78397,78397,16282,16282,21676,21676,9015,9015,18002,18002,18870,18870,30002,30002,36338,36338,26799,26799,13142,13142,38461,38461,10862,10862,45628,45628,50301,50301,21110,21110,30555,30555,38035,38035,13623,13623,11449,11449,55580,55580,51914,51914,38267,38267,14498,14498,37666,37666,13759,13759,12960,12960,32143,32143
5,44124,44124,17173,17173,71740,71740,35947,35947,8956,8956,29023,29023,38457,38457,36922,36922,21598,21598,9566,9566,55881,55881,23752,23752,10145,10145,70575,70575,14518,14518,55454,55454,57259,57259,18560,18560,46532,46532,38282,38282,19425,19425,38017,38017,9879,9879,45325,45325,95514,95514,13063,13063,8756,8756,61740,61740,26125,26125,99336,99336,38944,38944,53536,53536,10175,10175,47437,47437,35629,35629,57740,57740,22746,22746,54795,54795,27003,27003,24093,24093,20480,20480,39118,39118,37139,37139,8601,8601,7535,7535,66588,66588,215236,215236,63628,63628,27571,27571,68774,68774,47072,47072,10986,10986,29592,29592,47022,47022,21469,21469,78577,78577,25553,25553,46966,46966,43518,43518,23741,23741,8352,8352,13010,13010,28180,28180,26178,26178,51881,51881,41260,41260,54660,54660,36074,36074,14404,14404,17679,17679,48519,48519,35540,35540,18688,18688,31694,31694,22197,22197,22138,22138,12559,12559,20058,20058,99453,99453,74393,74393,21421,21421,29224,29224,42070,42070,24675,24675,20664,20664,12904,12904,28424,28424,28513,28513,30458,30458,7926,7926,58008,58008,38665,38665,49839,49839,12023,12023,17398,17398,80992,80992,13435,13435,14227,14227,33853,33853,24107,24107,17266,17266,39467,39467,41486,41486,88776,88776,21119,21119,34622,34622,43194,43194,20785,20785,67315,67315,40995,40995,8836,8836,16718,16718,13030,13030,41316,41316,25623,25623,13129,13129,20004,20004,16525,16525,31825,31825,70146,70146,24042,24042,16497,16497,40676,40676,19813,19813,28710,28710,20555,20555,27684,27684,22153,22153,17032,17032,86884,86884,16651,16651,21644,21644,8475,8475,17900,17900,18533,18533,29757,29757,36968,36968,26642,26642,12956,12956,39030,39030,11335,11335,46860,46860,50979,50979,20830,20830,30983,30983,37035,37035,13589,13589,11406,11406,57336,57336,50928,50928,38303,38303,14922,14922,38848,38848,13908,13908,13083,13083,31568,31568
6,42765,42765,16553,16553,70777,70777,36736,36736,8593,8593,28829,28829,38527,38527,36914,36914,20244,20244,9324,9324,57984,57984,22831,22831,9795,9795,69080,69080,14768,14768,56406,56406,59995,59995,18719,18719,48924,48924,38285,38285,20159,20159,41244,41244,9810,9810,44953,44953,96988,96988,14067,14067,8538,8538,63715,63715,26659,26659,101239,101239,37199,37199,55272,55272,10238,10238,47589,47589,36122,36122,58753,58753,22447,22447,55718,55718,26924,26924,23951,23951,19946,19946,43154,43154,38673,38673,8726,8726,8778,8778,67041,67041,212555,212555,61939,61939,27253,27253,71343,71343,50287,50287,10918,10918,29431,29431,48274,48274,21600,21600,81390,81390,25345,25345,51761,51761,43106,43106,23979,23979,8883,8883,12801,12801,28277,28277,26433,26433,52414,52414,43111,43111,54323,54323,37678,37678,14220,14220,17917,17917,48321,48321,35850,35850,18046,18046,32129,32129,21744,21744,22344,22344,12146,12146,20006,20006,108994,108994,77567,77567,21474,21474,29651,29651,42402,42402,24310,24310,19920,19920,13255,13255,27750,27750,28947,28947,29475,29475,7779,7779,57816,57816,38957,38957,50757,50757,11812,11812,17148,17148,93241,93241,13824,13824,14712,14712,33453,33453,22461,22461,17493,17493,43555,43555,40637,40637,91274,91274,20989,20989,36115,36115,44068,44068,21312,21312,70034,70034,43991,43991,9050,9050,16719,16719,12933,12933,41400,41400,27462,27462,13356,13356,20138,20138,16455,16455,32340,32340,71485,71485,23814,23814,17318,17318,43565,43565,19684,19684,28593,28593,21171,21171,27944,27944,24178,24178,16924,16924,89428,89428,17018,17018,21342,21342,8795,8795,17878,17878,18784,18784,29539,29539,39604,39604,27021,27021,13206,13206,42491,42491,11316,11316,48206,48206,51905,51905,21657,21657,32003,32003,37978,37978,13746,13746,11298,11298,59526,59526,50091,50091,37215,37215,14509,14509,39095,39095,15296,15296,13422,13422,29691,29691
7,42111,42111,17146,17146,70904,70904,35530,35530,8541,8541,27800,27800,38339,38339,35966,35966,21343,21343,9044,9044,60144,60144,22333,22333,10053,10053,68126,68126,14651,14651,59105,59105,61804,61804,18682,18682,50034,50034,37739,37739,19829,19829,43384,43384,10445,10445,45131,45131,95903,95903,15790,15790,8513,8513,64918,64918,27692,27692,102098,102098,36073,36073,57615,57615,10229,10229,47310,47310,36701,36701,61899,61899,22325,22325,56621,56621,26317,26317,25706,25706,18393,18393,47142,47142,38514,38514,8470,8470,9065,9065,66216,66216,208820,208820,61462,61462,26022,26022,71763,71763,51284,51284,10103,10103,30104,30104,48674,48674,21960,21960,82412,82412,26505,26505,53805,53805,41329,41329,23973,23973,8329,8329,13169,13169,27343,27343,26188,26188,52071,52071,44072,44072,53031,53031,38385,38385,14369,14369,17889,17889,49101,49101,35468,35468,17275,17275,32933,32933,21828,21828,21694,21694,13153,13153,20656,20656,114146,114146,80049,80049,20977,20977,30197,30197,41402,41402,24268,24268,19787,19787,13304,13304,28709,28709,29460,29460,28886,28886,7860,7860,58346,58346,41632,41632,50837,50837,11700,11700,18220,18220,102982,102982,13739,13739,15044,15044,33441,33441,21772,21772,16920,16920,50597,50597,39458,39458,93661,93661,20978,20978,34113,34113,46170,46170,22335,22335,73283,73283,51566,51566,9573,9573,16477,16477,13290,13290,43937,43937,27444,27444,13940,13940,20010,20010,16557,16557,31594,31594,71244,71244,23633,23633,16928,16928,44391,44391,20378,20378,28797,28797,23443,23443,29358,29358,26956,26956,16607,16607,90154,90154,17952,17952,20836,20836,8857,8857,17489,17489,19109,19109,30086,30086,45817,45817,27515,27515,13582,13582,39442,39442,10866,10866,49709,49709,51306,51306,21717,21717,32706,32706,38345,38345,13580,13580,11445,11445,59845,59845,48628,48628,37712,37712,14407,14407,39461,39461,16747,16747,13503,13503,28064,28064
8,41798,41798,17525,17525,70516,70516,34286,34286,9014,9014,25998,25998,38213,38213,35273,35273,21721,21721,9096,9096,61999,61999,22042,22042,10362,10362,69556,69556,14491,14491,61492,61492,64118,64118,19438,19438,53618,53618,37847,37847,20141,20141,50195,50195,10579,10579,45571,45571,96111,96111,18647,18647,8657,8657,66641,66641,28120,28120,102133,102133,36301,36301,60057,60057,10668,10668,46947,46947,36479,36479,64493,64493,22583,22583,58607,58607,26461,26461,25516,25516,17602,17602,51345,51345,38596,38596,8592,8592,9809,9809,66339,66339,205091,205091,61822,61822,26009,26009,73887,73887,52270,52270,9972,9972,30025,30025,49731,49731,21971,21971,83130,83130,26287,26287,55555,55555,41694,41694,24432,24432,8876,8876,13659,13659,27426,27426,27268,27268,51966,51966,44727,44727,52512,52512,39294,39294,14219,14219,17571,17571,49640,49640,36115,36115,16519,16519,33805,33805,21444,21444,22505,22505,12880,12880,20228,20228,114694,114694,80749,80749,21304,21304,31430,31430,40494,40494,24644,24644,20070,20070,12968,12968,27713,27713,29205,29205,29703,29703,8116,8116,60842,60842,45673,45673,50710,50710,11720,11720,18282,18282,105699,105699,13453,13453,15439,15439,33871,33871,21924,21924,17700,17700,59552,59552,39968,39968,95653,95653,21377,21377,32040,32040,50846,50846,23023,23023,80124,80124,58252,58252,10224,10224,16688,16688,13814,13814,47725,47725,29270,29270,14123,14123,20626,20626,17113,17113,30893,30893,74012,74012,24125,24125,17562,17562,45248,45248,20675,20675,28916,28916,24723,24723,30423,30423,30014,30014,16941,16941,92123,92123,18087,18087,19833,19833,9019,9019,17697,17697,19169,19169,30886,30886,50113,50113,28814,28814,13643,13643,38966,38966,11387,11387,50400,50400,52121,52121,23246,23246,33411,33411,37908,37908,13777,13777,10948,10948,62574,62574,48406,48406,38125,38125,14524,14524,39242,39242,20884,20884,13761,13761,27112,27112
9,40801,40801,17191,17191,70366,70366,34658,34658,8553,8553,29529,29529,38227,38227,36264,36264,20049,20049,9057,9057,65414,65414,21775,21775,10428,10428,69856,69856,14122,14122,65645,65645,65779,65779,19775,19775,55533,55533,37646,37646,21205,21205,52935,52935,10649,10649,45447,45447,95438,95438,20881,20881,8586,8586,66514,66514,28683,28683,103078,103078,35982,35982,62772,62772,10489,10489,46487,46487,37356,37356,68618,68618,22590,22590,59509,59509,26021,26021,25830,25830,16806,16806,52909,52909,39082,39082,9840,9840,10799,10799,66377,66377,205459,205459,60970,60970,26091,26091,73757,73757,52646,52646,9744,9744,30504,30504,49703,49703,22423,22423,84238,84238,26148,26148,56071,56071,40960,40960,24469,24469,9039,9039,14185,14185,27517,27517,26594,26594,51964,51964,45682,45682,52014,52014,39145,39145,14361,14361,17572,17572,51514,51514,35877,35877,16532,16532,34399,34399,22426,22426,22137,22137,12706,12706,20154,20154,116411,116411,82619,82619,20873,20873,33746,33746,40832,40832,24587,24587,19862,19862,12994,12994,28095,28095,29185,29185,29972,29972,7905,7905,61682,61682,51175,51175,50778,50778,12083,12083,18276,18276,108497,108497,14218,14218,15461,15461,33445,33445,22005,22005,17400,17400,65947,65947,40095,40095,96908,96908,21289,21289,31065,31065,55227,55227,25165,25165,82097,82097,59497,59497,12412,12412,16959,16959,13282,13282,48712,48712,32325,32325,14964,14964,20397,20397,16312,16312,30315,30315,72776,72776,24162,24162,17771,17771,46997,46997,21285,21285,29015,29015,26157,26157,35379,35379,33900,33900,17417,17417,92048,92048,17914,17914,19209,19209,9424,9424,17769,17769,19140,19140,31047,31047,51162,51162,29021,29021,13568,13568,39237,39237,11080,11080,50615,50615,52627,52627,23634,23634,33523,33523,37766,37766,13891,13891,10995,10995,62824,62824,47664,47664,38578,38578,14326,14326,39062,39062,25275,25275,13676,13676,25651,25651
10,40249,40249,17735,17735,69274,69274,34340,34340,8704,8704,31242,31242,37942,37942,34724,34724,13036,13036,8172,8172,66110,66110,21627,21627,10447,10447,68654,68654,14158,14158,69085,69085,67466,67466,19730,19730,58281,58281,37998,37998,21250,21250,58929,58929,10597,10597,45476,45476,95347,95347,22829,22829,8311,8311,67361,67361,28713,28713,103380,103380,36094,36094,66369,66369,10436,10436,46251,46251,37700,37700,74650,74650,22347,22347,59413,59413,25964,25964,26093,26093,17155,17155,55924,55924,38932,38932,12191,12191,11107,11107,67792,67792,201077,201077,60906,60906,24879,24879,75473,75473,54009,54009,9831,9831,30210,30210,49995,49995,21163,21163,85211,85211,25830,25830,56929,56929,40258,40258,24542,24542,9275,9275,16252,16252,27290,27290,26788,26788,52138,52138,45736,45736,52071,52071,40550,40550,14695,14695,17205,17205,51032,51032,36037,36037,16501,16501,34541,34541,22545,22545,21848,21848,12752,12752,20395,20395,115266,115266,84542,84542,20754,20754,35374,35374,40507,40507,24846,24846,20331,20331,12735,12735,28441,28441,29134,29134,30341,30341,8293,8293,59972,59972,57099,57099,51248,51248,11859,11859,20209,20209,110213,110213,13679,13679,15146,15146,34360,34360,22179,22179,17681,17681,68359,68359,39887,39887,98852,98852,22025,22025,29762,29762,63141,63141,29638,29638,83825,83825,58913,58913,14584,14584,16924,16924,13268,13268,49585,49585,35784,35784,15226,15226,20770,20770,16808,16808,30067,30067,75618,75618,24194,24194,18936,18936,47560,47560,21424,21424,28704,28704,27277,27277,42069,42069,38618,38618,17581,17581,91903,91903,18475,18475,19320,19320,9898,9898,17894,17894,19072,19072,31760,31760,51956,51956,30272,30272,13611,13611,39923,39923,11208,11208,52553,52553,52640,52640,23798,23798,34357,34357,37825,37825,13920,13920,11014,11014,63347,63347,46294,46294,38598,38598,14381,14381,40065,40065,29986,29986,14114,14114,24466,24466
