 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132
1,36753,36753,12770,12770,35800,35800,10630,10630,57496,57496,10785,10785,68739,68739,8235,8235,16000,16000,38164,38164,16987,16987,59569,59569,15101,15101,121484,121484,40666,40666,37320,37320,6742,6742,100657,100657,17834,17834,29422,29422,22552,22552,16919,16919,29967,29967,54560,54560,14661,14661,8397,8397,12271,12271,31744,31744,35361,35361,33535,33535,24587,24587,31697,31697,9619,9619,19832,19832,15687,15687,30592,30592,33654,33654,14213,14213,57212,57212,14968,14968,16900,16900,27982,27982,24362,24362,30983,30983,76189,76189,15169,15169,6191,6191,35695,35695,52843,52843,65832,65832,115202,115202,13914,13914,75071,75071,38343,38343,8534,8534,23450,23450,25758,25758,30576,30576,40388,40388,20608,20608,18921,18921,20298,20298,20948,20948,42926,42926,9106,9106,33121,33121,29840,29840,9347,9347,23543,23543,30825,30825,10412,10412,26880,26880,17028,17028,12633,12633,10931,10931,5103,5103,16456,16456,16196,16196,17298,17298,10648,10648,16101,16101,21220,21220,43,43,18828,18828,27925,27925,13372,13372,28299,28299,20531,20531,7267,7267,29617,29617,13743,13743,11021,11021,15508,15508,15617,15617,32,32,71625,71625,37107,37107,24790,24790,6884,6884,69930,69930,16219,16219,20198,20198,27029,27029,23793,23793,13125,13125,38988,38988,7906,7906,34149,34149,19282,19282,8124,8124,33563,33563,70427,70427,78370,78370,9583,9583,7706,7706,108123,108123,39186,39186,7659,7659,16711,16711,11959,11959,29241,29241,52996,52996,15426,15426,7685,7685,31825,31825,10583,10583,13778,13778,7675,7675,26923,26923,13150,13150,14951,14951,3573,3573
2,36511,36511,12604,12604,37079,37079,10450,10450,56985,56985,10582,10582,68749,68749,8631,8631,15287,15287,37888,37888,16957,16957,57178,57178,14273,14273,123545,123545,40905,40905,37406,37406,6864,6864,95788,95788,17953,17953,29963,29963,22087,22087,16471,16471,29830,29830,56054,56054,13885,13885,8435,8435,12410,12410,30401,30401,34679,34679,32846,32846,24645,24645,32301,32301,9395,9395,19681,19681,15298,15298,30499,30499,32830,32830,13676,13676,56402,56402,14661,14661,17019,17019,27797,27797,24347,24347,30145,30145,75405,75405,14735,14735,5600,5600,34724,34724,51085,51085,65582,65582,110593,110593,14170,14170,73141,73141,36415,36415,8350,8350,22447,22447,25827,25827,29407,29407,41718,41718,23179,23179,18413,18413,20083,20083,20548,20548,45874,45874,9245,9245,33332,33332,28200,28200,10475,10475,23830,23830,29254,29254,9811,9811,25662,25662,16736,16736,12832,12832,10910,10910,4781,4781,16152,16152,15622,15622,15565,15565,10681,10681,15661,15661,20470,20470,44,44,18411,18411,31967,31967,12569,12569,27205,27205,19366,19366,7022,7022,27701,27701,12481,12481,11446,11446,15330,15330,15338,15338,26,26,92788,92788,38325,38325,24921,24921,6539,6539,69873,69873,15572,15572,20351,20351,26164,26164,22876,22876,12498,12498,37927,37927,7595,7595,32847,32847,19639,19639,8060,8060,38139,38139,65485,65485,73607,73607,9398,9398,7805,7805,100958,100958,40227,40227,9002,9002,16130,16130,11784,11784,29350,29350,53211,53211,15428,15428,7645,7645,31677,31677,9689,9689,14362,14362,7593,7593,26236,26236,12930,12930,13837,13837,2786,2786
3,36531,36531,13083,13083,38843,38843,10293,10293,57167,57167,10833,10833,67810,67810,8412,8412,15078,15078,37195,37195,17746,17746,56793,56793,14118,14118,126976,126976,42845,42845,37097,37097,7696,7696,88514,88514,17559,17559,29745,29745,22637,22637,16665,16665,29834,29834,57454,57454,13721,13721,8238,8238,12084,12084,30441,30441,34385,34385,32111,32111,25131,25131,31877,31877,9522,9522,19878,19878,16136,16136,30407,30407,32616,32616,13651,13651,55534,55534,15242,15242,16720,16720,26496,26496,24373,24373,30984,30984,73696,73696,14789,14789,5606,5606,33951,33951,51241,51241,66256,66256,106696,106696,13987,13987,73314,73314,36482,36482,8400,8400,22313,22313,25038,25038,29750,29750,43184,43184,30042,30042,18079,18079,19267,19267,20118,20118,50392,50392,9062,9062,32472,32472,26366,26366,11182,11182,25102,25102,29611,29611,9719,9719,25455,25455,16687,16687,13130,13130,10674,10674,4882,4882,16420,16420,15817,15817,13744,13744,11164,11164,15105,15105,20293,20293,39,39,18428,18428,35323,35323,12818,12818,26982,26982,19358,19358,6765,6765,27708,27708,12411,12411,10326,10326,14749,14749,15445,15445,27,27,109482,109482,39226,39226,25765,25765,6942,6942,69817,69817,15662,15662,20190,20190,26137,26137,22682,22682,12531,12531,37382,37382,7830,7830,31505,31505,19683,19683,7588,7588,62341,62341,61195,61195,66702,66702,8846,8846,7853,7853,99946,99946,45426,45426,9880,9880,16118,16118,11783,11783,28075,28075,52845,52845,16879,16879,7467,7467,32178,32178,9836,9836,14537,14537,7800,7800,26763,26763,12912,12912,13607,13607,2737,2737
4,36110,36110,13608,13608,43001,43001,10569,10569,56185,56185,10777,10777,67247,67247,8696,8696,14824,14824,36606,36606,17666,17666,55688,55688,14584,14584,125562,125562,54048,54048,37005,37005,8111,8111,82918,82918,17662,17662,28810,28810,21626,21626,16295,16295,29416,29416,56991,56991,12874,12874,8744,8744,12936,12936,29894,29894,33487,33487,32083,32083,24474,24474,31231,31231,9428,9428,19165,19165,16133,16133,29683,29683,32244,32244,13164,13164,55109,55109,14539,14539,16673,16673,25933,25933,23073,23073,30610,30610,70722,70722,14328,14328,5462,5462,32106,32106,50638,50638,66620,66620,103516,103516,13344,13344,72190,72190,35683,35683,7854,7854,21367,21367,24526,24526,29093,29093,42907,42907,34486,34486,17573,17573,19397,19397,19549,19549,56261,56261,8925,8925,31718,31718,25426,25426,10811,10811,25895,25895,28393,28393,8853,8853,24527,24527,15615,15615,13139,13139,10576,10576,5038,5038,15794,15794,15268,15268,12693,12693,12265,12265,15148,15148,19803,19803,33,33,18004,18004,36520,36520,11993,11993,25782,25782,18581,18581,6518,6518,26797,26797,12129,12129,10289,10289,14915,14915,15411,15411,27,27,115991,115991,41052,41052,26802,26802,6769,6769,67279,67279,15042,15042,19774,19774,26019,26019,22220,22220,12067,12067,36055,36055,7928,7928,31226,31226,20025,20025,7909,7909,74785,74785,58508,58508,61336,61336,9304,9304,7779,7779,94455,94455,51427,51427,9379,9379,15894,15894,11595,11595,28811,28811,52415,52415,17819,17819,7661,7661,32385,32385,9620,9620,15097,15097,7986,7986,25299,25299,12587,12587,12112,12112,2079,2079
5,35482,35482,13331,13331,50557,50557,10303,10303,57579,57579,10971,10971,66836,66836,9033,9033,15269,15269,36696,36696,17995,17995,54088,54088,14986,14986,130174,130174,68944,68944,37493,37493,8279,8279,78478,78478,17792,17792,29096,29096,21352,21352,16400,16400,29083,29083,57296,57296,13006,13006,9457,9457,12296,12296,29069,29069,34114,34114,33314,33314,24236,24236,30615,30615,9154,9154,19096,19096,15406,15406,30016,30016,31777,31777,13311,13311,54531,54531,14423,14423,16670,16670,26121,26121,22866,22866,31091,31091,71523,71523,14262,14262,5193,5193,32220,32220,50848,50848,65980,65980,101314,101314,13489,13489,71369,71369,35830,35830,8171,8171,21761,21761,24577,24577,29184,29184,43853,43853,37156,37156,17237,17237,19805,19805,19832,19832,58833,58833,8842,8842,31549,31549,24950,24950,10499,10499,27086,27086,28217,28217,9212,9212,23452,23452,15427,15427,14224,14224,10562,10562,5213,5213,15634,15634,15716,15716,12263,12263,12423,12423,15239,15239,19951,19951,45,45,18273,18273,37539,37539,11945,11945,25405,25405,18368,18368,6306,6306,26114,26114,12101,12101,10094,10094,14673,14673,15276,15276,32,32,117328,117328,41772,41772,27722,27722,6632,6632,68069,68069,15193,15193,19078,19078,26664,26664,22419,22419,11966,11966,36281,36281,7820,7820,30054,30054,20496,20496,7947,7947,74208,74208,55917,55917,56839,56839,9263,9263,7828,7828,90354,90354,55913,55913,9432,9432,16072,16072,11571,11571,29998,29998,52425,52425,17947,17947,7490,7490,32698,32698,9493,9493,16212,16212,8405,8405,23652,23652,12728,12728,12019,12019,2076,2076
6,36101,36101,13621,13621,60257,60257,10550,10550,57973,57973,10917,10917,67109,67109,8793,8793,15456,15456,36584,36584,18065,18065,53280,53280,15044,15044,128489,128489,71270,71270,39183,39183,8593,8593,74884,74884,17212,17212,29331,29331,21940,21940,16469,16469,29345,29345,58356,58356,13183,13183,9607,9607,12215,12215,29451,29451,33352,33352,33093,33093,24242,24242,30290,30290,8894,8894,19065,19065,15519,15519,29918,29918,31360,31360,13076,13076,54541,54541,14678,14678,18320,18320,25532,25532,23269,23269,31135,31135,71619,71619,13889,13889,5054,5054,32116,32116,52115,52115,63835,63835,97920,97920,13557,13557,69816,69816,35369,35369,8315,8315,21817,21817,24533,24533,28135,28135,45759,45759,38107,38107,17125,17125,20442,20442,19857,19857,60902,60902,9034,9034,31182,31182,24529,24529,10761,10761,27919,27919,27851,27851,8817,8817,23441,23441,15341,15341,17043,17043,10755,10755,5146,5146,14991,14991,16018,16018,11605,11605,12692,12692,14820,14820,19296,19296,46,46,18928,18928,38442,38442,12440,12440,24322,24322,18466,18466,6496,6496,25751,25751,12135,12135,10175,10175,14590,14590,15387,15387,33,33,116683,116683,43174,43174,28885,28885,6777,6777,67696,67696,15230,15230,19155,19155,26649,26649,22927,22927,12023,12023,35353,35353,8314,8314,30582,30582,20873,20873,7766,7766,73958,73958,52696,52696,54278,54278,10105,10105,8208,8208,88618,88618,61079,61079,9645,9645,16536,16536,11672,11672,30270,30270,53189,53189,18254,18254,7236,7236,33982,33982,9302,9302,17326,17326,8986,8986,24421,24421,12737,12737,11080,11080,1678,1678
7,36249,36249,14063,14063,75413,75413,10753,10753,60464,60464,11045,11045,66446,66446,8961,8961,15264,15264,42609,42609,17933,17933,53493,53493,15149,15149,130999,130999,70726,70726,45285,45285,9479,9479,72801,72801,17218,17218,29970,29970,21176,21176,16572,16572,28960,28960,58951,58951,12918,12918,9663,9663,12471,12471,29301,29301,33158,33158,33052,33052,24306,24306,29961,29961,8978,8978,18948,18948,15590,15590,30259,30259,31679,31679,13370,13370,53576,53576,14441,14441,23379,23379,25082,25082,22418,22418,31051,31051,73281,73281,13751,13751,5196,5196,31970,31970,54317,54317,64261,64261,96609,96609,13541,13541,69373,69373,34800,34800,8216,8216,21437,21437,24656,24656,28551,28551,45737,45737,37692,37692,17352,17352,20822,20822,20536,20536,60217,60217,8938,8938,31320,31320,23867,23867,10967,10967,28615,28615,27825,27825,8960,8960,23034,23034,15201,15201,21242,21242,10752,10752,5178,5178,14867,14867,15450,15450,11238,11238,12871,12871,15231,15231,19210,19210,37,37,17624,17624,38202,38202,14444,14444,23994,23994,17867,17867,6637,6637,25986,25986,12012,12012,9938,9938,14753,14753,15778,15778,32,32,116160,116160,44081,44081,30331,30331,6786,6786,68376,68376,15253,15253,19512,19512,26752,26752,22746,22746,11805,11805,35223,35223,8805,8805,29579,29579,20700,20700,7654,7654,74602,74602,50875,50875,51022,51022,9731,9731,8797,8797,87093,87093,62673,62673,9809,9809,17374,17374,11330,11330,30587,30587,52495,52495,18004,18004,6991,6991,36886,36886,9258,9258,19053,19053,9610,9610,24618,24618,13093,13093,11212,11212,1576,1576
8,37887,37887,13953,13953,121960,121960,10717,10717,63306,63306,11040,11040,66795,66795,9010,9010,15528,15528,49627,49627,18011,18011,53119,53119,14642,14642,130276,130276,70979,70979,55685,55685,9594,9594,69345,69345,16885,16885,29712,29712,21836,21836,16647,16647,29672,29672,59991,59991,12976,12976,9618,9618,13098,13098,29465,29465,33409,33409,32812,32812,24609,24609,29663,29663,9011,9011,19983,19983,15814,15814,29496,29496,31383,31383,13048,13048,53240,53240,14581,14581,29567,29567,25548,25548,21882,21882,31299,31299,83189,83189,13446,13446,4976,4976,31459,31459,56920,56920,63946,63946,93160,93160,13317,13317,69445,69445,34825,34825,8328,8328,22171,22171,24454,24454,27787,27787,46436,46436,38528,38528,17620,17620,21712,21712,20145,20145,59686,59686,8525,8525,31517,31517,23289,23289,10471,10471,28893,28893,26975,26975,9227,9227,22474,22474,14674,14674,28638,28638,10873,10873,5606,5606,14578,14578,15338,15338,11224,11224,12578,12578,15129,15129,18962,18962,31,31,18667,18667,39352,39352,15645,15645,23736,23736,18159,18159,6596,6596,25459,25459,11607,11607,10450,10450,14951,14951,15005,15005,29,29,115184,115184,47338,47338,31403,31403,6797,6797,69610,69610,15093,15093,19308,19308,26671,26671,23638,23638,12221,12221,34097,34097,8954,8954,29481,29481,22179,22179,7923,7923,73953,73953,49960,49960,49572,49572,10166,10166,10302,10302,85552,85552,65123,65123,9951,9951,17475,17475,11272,11272,32661,32661,51252,51252,18219,18219,7100,7100,41978,41978,9142,9142,20119,20119,9620,9620,24148,24148,13061,13061,12216,12216,2043,2043
9,37656,37656,13767,13767,122534,122534,10392,10392,65061,65061,11671,11671,66792,66792,9075,9075,15471,15471,56345,56345,18288,18288,53761,53761,15305,15305,132718,132718,70946,70946,60274,60274,10281,10281,65342,65342,17796,17796,29848,29848,23143,23143,17437,17437,29385,29385,60665,60665,12317,12317,9937,9937,12963,12963,29663,29663,33809,33809,33405,33405,23010,23010,29059,29059,9183,9183,19783,19783,15553,15553,29953,29953,32029,32029,13182,13182,53397,53397,14942,14942,31426,31426,24977,24977,21853,21853,30085,30085,112382,112382,13533,13533,4933,4933,30554,30554,63605,63605,63473,63473,91512,91512,13167,13167,68590,68590,34434,34434,7976,7976,21118,21118,23914,23914,27378,27378,45563,45563,37384,37384,16903,16903,22627,22627,20118,20118,59422,59422,8263,8263,29878,29878,22986,22986,10824,10824,29099,29099,25941,25941,8596,8596,22031,22031,15000,15000,33004,33004,10245,10245,5979,5979,14672,14672,15602,15602,10984,10984,12342,12342,14539,14539,18759,18759,24,24,19420,19420,39200,39200,16967,16967,22564,22564,17571,17571,6562,6562,25187,25187,11523,11523,10208,10208,14383,14383,14921,14921,21,21,114758,114758,53063,53063,31747,31747,6857,6857,67240,67240,14636,14636,18575,18575,25996,25996,24928,24928,12884,12884,33799,33799,9185,9185,30257,30257,23334,23334,7610,7610,72965,72965,50135,50135,47088,47088,10089,10089,12608,12608,84447,84447,64649,64649,9525,9525,17443,17443,12069,12069,38693,38693,51134,51134,17730,17730,7264,7264,49052,49052,9115,9115,19932,19932,9936,9936,23837,23837,13034,13034,11019,11019,1612,1612
10,38059,38059,14089,14089,122937,122937,10403,10403,64609,64609,11949,11949,66509,66509,9106,9106,15401,15401,60883,60883,18519,18519,54258,54258,15509,15509,131511,131511,70891,70891,63488,63488,11309,11309,63760,63760,17436,17436,30529,30529,24056,24056,18907,18907,29467,29467,62816,62816,12342,12342,9970,9970,13560,13560,30616,30616,33715,33715,33539,33539,23017,23017,29584,29584,9446,9446,20017,20017,15482,15482,29668,29668,33484,33484,12624,12624,52994,52994,14827,14827,31415,31415,24892,24892,21484,21484,31080,31080,141325,141325,13799,13799,4804,4804,31340,31340,71921,71921,62421,62421,88386,88386,12722,12722,68507,68507,33717,33717,8367,8367,21760,21760,23496,23496,27084,27084,48275,48275,37333,37333,16552,16552,23468,23468,20068,20068,59543,59543,8748,8748,30826,30826,23513,23513,10404,10404,29791,29791,26032,26032,8624,8624,22327,22327,14377,14377,34260,34260,10276,10276,5835,5835,14209,14209,15429,15429,11094,11094,12769,12769,14866,14866,18991,18991,33,33,25021,25021,38672,38672,17634,17634,22186,22186,17899,17899,6203,6203,25053,25053,11483,11483,9563,9563,14901,14901,15153,15153,13,13,113325,113325,59747,59747,31225,31225,6619,6619,65469,65469,14587,14587,18743,18743,26516,26516,27975,27975,13384,13384,35441,35441,10985,10985,31090,31090,26267,26267,7871,7871,73494,73494,48654,48654,46026,46026,9869,9869,13140,13140,83148,83148,66067,66067,10101,10101,18526,18526,11728,11728,44260,44260,51123,51123,17138,17138,7548,7548,54502,54502,8981,8981,20605,20605,9649,9649,24566,24566,13677,13677,10738,10738,1626,1626
