 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77
1,19740,19740,21949,21949,21434,21434,25732,25732,34752,34752,21165,21165,25325,25325,22127,22127,34139,34139,18592,18592,14186,14186,12098,12098,37360,37360,21673,21673,13955,13955,25013,25013,17337,17337,41496,41496,12479,12479,20115,20115,5287,5287,22558,22558,18665,18665,29528,29528,54106,54106,21380,21380,15772,15772,33164,33164,36371,36371,33941,33941,14976,14976,7899,7899,83674,83674,8728,8728,62148,62148,61942,61942,14326,14326,5188,5188,59103,59103,22584,22584,53320,53320,28432,28432,45194,45194,58296,58296,89708,89708,53597,53597,44245,44245,5612,5612,55195,55195,48452,48452,52546,52546,17318,17318,21064,21064,139638,139638,38012,38012,23008,23008,24672,24672,24611,24611,8694,8694,19445,19445,3514,3514,43,43,41091,41091,713,713,14500,14500,11951,11951,19661,19661,48789,48789,17577,17577,31075,31075,54109,54109,46167,46167,63697,63697,30237,30237,41272,41272,20484,20484,27294,27294
2,19468,19468,20927,20927,20060,20060,25883,25883,34139,34139,21223,21223,25156,25156,21546,21546,34096,34096,18133,18133,13671,13671,12291,12291,33627,33627,21432,21432,13733,13733,24579,24579,17219,17219,38214,38214,12603,12603,19530,19530,5009,5009,23135,23135,18491,18491,32390,32390,49981,49981,20828,20828,15965,15965,31916,31916,35951,35951,33445,33445,14672,14672,7883,7883,82363,82363,8531,8531,61045,61045,52470,52470,14025,14025,5211,5211,43074,43074,22660,22660,52763,52763,27680,27680,42033,42033,53555,53555,86732,86732,52481,52481,44545,44545,5809,5809,55591,55591,47861,47861,49873,49873,16284,16284,20679,20679,118357,118357,38350,38350,22204,22204,23352,23352,24840,24840,8008,8008,19787,19787,3389,3389,21,21,40731,40731,837,837,14610,14610,11890,11890,19366,19366,49169,49169,17400,17400,30298,30298,50995,50995,46833,46833,64256,64256,29173,29173,41320,41320,19538,19538,26648,26648
3,19460,19460,21599,21599,21768,21768,25473,25473,34680,34680,20946,20946,24684,24684,21231,21231,32499,32499,17505,17505,13188,13188,12277,12277,32170,32170,21139,21139,13890,13890,24629,24629,17387,17387,38000,38000,12828,12828,19802,19802,5075,5075,23294,23294,18890,18890,38311,38311,47709,47709,21187,21187,15883,15883,32946,32946,36783,36783,34368,34368,15127,15127,7909,7909,82915,82915,8569,8569,59905,59905,49778,49778,14141,14141,5421,5421,33721,33721,22684,22684,52350,52350,27902,27902,41091,41091,55122,55122,87732,87732,52412,52412,48588,48588,6799,6799,58147,58147,53770,53770,50903,50903,16943,16943,20467,20467,99664,99664,39724,39724,22484,22484,22608,22608,24773,24773,7868,7868,19733,19733,3641,3641,30,30,40048,40048,662,662,14768,14768,12169,12169,19282,19282,49423,49423,17301,17301,30547,30547,50864,50864,45892,45892,64548,64548,28975,28975,43001,43001,19595,19595,24154,24154
4,19704,19704,21307,21307,17432,17432,25453,25453,34764,34764,20431,20431,24220,24220,21184,21184,32953,32953,18136,18136,13328,13328,12310,12310,30797,30797,20729,20729,13799,13799,24516,24516,17170,17170,37754,37754,12441,12441,20198,20198,4890,4890,23267,23267,18501,18501,42985,42985,45427,45427,21691,21691,15441,15441,31803,31803,36459,36459,33247,33247,14643,14643,7610,7610,81367,81367,8604,8604,59436,59436,46624,46624,14445,14445,5235,5235,32434,32434,21842,21842,51065,51065,27811,27811,39866,39866,54722,54722,92036,92036,52459,52459,53278,53278,8819,8819,57240,57240,56783,56783,50525,50525,16706,16706,20186,20186,82671,82671,39356,39356,22484,22484,20944,20944,25480,25480,8168,8168,19404,19404,3521,3521,26,26,41292,41292,731,731,15104,15104,12070,12070,19287,19287,49725,49725,16714,16714,30701,30701,49619,49619,44428,44428,63647,63647,29144,29144,48578,48578,19721,19721,22081,22081
5,20277,20277,21776,21776,20207,20207,25096,25096,35065,35065,21187,21187,24922,24922,21352,21352,32718,32718,18081,18081,13484,13484,12449,12449,29616,29616,20939,20939,14102,14102,25093,25093,16880,16880,36913,36913,12756,12756,20475,20475,4938,4938,24031,24031,18599,18599,43547,43547,44553,44553,26455,26455,15959,15959,32091,32091,35662,35662,33370,33370,15021,15021,8298,8298,81570,81570,8572,8572,61495,61495,44286,44286,14166,14166,5660,5660,35322,35322,22266,22266,50779,50779,27662,27662,39173,39173,54667,54667,96500,96500,52198,52198,61331,61331,9089,9089,58903,58903,58253,58253,51372,51372,16714,16714,20343,20343,73778,73778,39255,39255,22191,22191,20492,20492,24807,24807,8008,8008,19493,19493,3728,3728,31,31,43251,43251,694,694,18083,18083,12068,12068,19197,19197,50185,50185,17216,17216,30116,30116,48104,48104,44344,44344,64649,64649,28821,28821,48182,48182,19676,19676,21294,21294
6,19846,19846,22116,22116,19333,19333,25268,25268,35710,35710,21184,21184,25010,25010,21298,21298,32145,32145,17827,17827,14009,14009,12763,12763,29782,29782,20061,20061,13866,13866,25252,25252,17396,17396,36323,36323,12884,12884,21592,21592,4905,4905,24476,24476,18334,18334,44017,44017,44525,44525,35355,35355,16110,16110,32202,32202,35602,35602,34128,34128,14814,14814,11504,11504,81572,81572,9831,9831,64303,64303,43268,43268,14145,14145,5271,5271,45027,45027,22575,22575,50871,50871,27289,27289,40236,40236,54301,54301,99964,99964,53380,53380,69587,69587,9526,9526,59871,59871,61249,61249,51734,51734,16526,16526,20381,20381,67479,67479,39759,39759,22008,22008,20438,20438,25610,25610,8247,8247,19942,19942,3628,3628,23,23,46932,46932,736,736,26307,26307,12228,12228,20117,20117,51250,51250,17093,17093,29990,29990,48754,48754,44676,44676,67268,67268,28739,28739,47063,47063,19862,19862,20439,20439
7,20126,20126,22348,22348,19274,19274,25688,25688,36126,36126,21691,21691,24282,24282,22249,22249,32116,32116,17962,17962,14211,14211,12787,12787,30408,30408,20109,20109,14037,14037,25679,25679,17544,17544,36091,36091,12660,12660,21900,21900,5034,5034,24142,24142,18655,18655,43549,43549,45217,45217,35349,35349,16237,16237,31890,31890,35159,35159,34233,34233,14920,14920,13926,13926,79879,79879,11029,11029,71232,71232,43818,43818,13963,13963,5426,5426,58707,58707,21814,21814,50873,50873,27549,27549,40626,40626,53599,53599,103169,103169,52251,52251,77643,77643,9285,9285,60820,60820,63429,63429,52005,52005,16848,16848,20201,20201,63621,63621,39884,39884,23400,23400,20067,20067,25623,25623,8279,8279,19125,19125,3669,3669,19,19,51212,51212,754,754,26144,26144,12259,12259,19962,19962,50969,50969,17554,17554,29191,29191,46685,46685,44765,44765,201948,201948,28370,28370,45624,45624,19496,19496,20265,20265
8,20022,20022,21541,21541,18232,18232,25717,25717,36700,36700,21741,21741,24174,24174,22667,22667,31491,31491,17662,17662,14557,14557,12520,12520,30488,30488,20154,20154,13943,13943,25906,25906,17011,17011,36043,36043,12311,12311,22109,22109,4771,4771,24911,24911,18292,18292,44084,44084,45741,45741,36264,36264,16273,16273,32237,32237,34814,34814,33807,33807,15040,15040,14196,14196,80236,80236,11239,11239,87012,87012,49591,49591,13994,13994,5408,5408,62319,62319,22112,22112,51483,51483,27471,27471,41211,41211,54849,54849,110944,110944,52467,52467,82108,82108,9320,9320,63038,63038,66564,66564,54781,54781,16562,16562,20408,20408,61640,61640,40191,40191,22750,22750,20065,20065,25280,25280,8325,8325,19300,19300,3518,3518,24,24,58254,58254,763,763,25059,25059,12129,12129,20323,20323,51512,51512,16770,16770,29097,29097,46864,46864,44239,44239,213467,213467,29031,29031,44474,44474,19590,19590,21322,21322
9,20064,20064,22239,22239,18430,18430,25580,25580,36359,36359,21288,21288,25160,25160,25985,25985,30944,30944,18463,18463,14600,14600,12718,12718,30169,30169,19851,19851,13978,13978,26467,26467,17435,17435,35918,35918,12834,12834,23090,23090,4850,4850,25516,25516,18910,18910,43582,43582,46386,46386,37228,37228,16216,16216,32187,32187,34481,34481,33684,33684,14683,14683,10925,10925,79441,79441,11353,11353,109109,109109,52084,52084,14248,14248,5577,5577,64086,64086,22482,22482,51635,51635,27311,27311,41149,41149,55633,55633,127871,127871,52461,52461,84079,84079,9343,9343,67499,67499,69217,69217,52889,52889,16476,16476,20284,20284,62464,62464,39898,39898,23382,23382,19184,19184,24742,24742,8313,8313,19504,19504,3426,3426,29,29,62471,62471,724,724,23060,23060,12431,12431,20597,20597,53579,53579,16977,16977,29079,29079,45262,45262,44019,44019,192217,192217,28838,28838,43812,43812,19733,19733,20869,20869
10,19505,19505,22779,22779,18172,18172,25674,25674,37265,37265,21355,21355,24759,24759,33242,33242,30768,30768,17810,17810,14548,14548,12862,12862,30444,30444,19148,19148,14035,14035,26678,26678,17732,17732,36238,36238,12861,12861,23801,23801,4665,4665,25658,25658,19457,19457,43683,43683,45959,45959,37220,37220,15919,15919,32385,32385,33723,33723,34261,34261,14749,14749,8646,8646,78536,78536,11433,11433,117539,117539,52800,52800,14290,14290,5374,5374,61703,61703,21919,21919,53072,53072,27233,27233,41775,41775,56016,56016,142550,142550,52274,52274,91824,91824,9180,9180,78087,78087,72647,72647,55261,55261,16304,16304,20366,20366,62448,62448,41346,41346,23838,23838,19195,19195,24607,24607,8519,8519,18586,18586,3669,3669,24,24,61591,61591,828,828,23101,23101,12474,12474,20507,20507,53682,53682,17129,17129,29053,29053,45548,45548,44145,44145,152061,152061,28904,28904,42837,42837,19027,19027,21686,21686
