 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79
1,6507,6507,2026,2026,63574,63574,3797,3797,3690,3690,6687,6687,1740,1740,5670,5670,9342,9342,54693,54693,40483,40483,97094,97094,24069,24069,13259,13259,50544,50544,21223,21223,23461,23461,4394,4394,13623,13623,45588,45588,16621,16621,47377,47377,81260,81260,49888,49888,46391,46391,67255,67255,50788,50788,40,40,136609,136609,14466,14466,52203,52203,122192,122192,218369,218369,89467,89467,28118,28118,108738,108738,56521,56521,28375,28375,11032,11032,69782,69782,25593,25593,21132,21132,73258,73258,60918,60918,34435,34435,127421,127421,24394,24394,95275,95275,48024,48024,60775,60775,60186,60186,89563,89563,55111,55111,50981,50981,69938,69938,16999,16999,15609,15609,16462,16462,5540,5540,21027,21027,25847,25847,20641,20641,16272,16272,46969,46969,34531,34531,13866,13866,41100,41100,5137,5137,1838,1838,2525,2525,6286,6286,33256,33256,9580,9580,13283,13283,29674,29674,89396,89396,20463,20463,19402,19402,8125,8125
2,6668,6668,2068,2068,65598,65598,3703,3703,3651,3651,6536,6536,1597,1597,5909,5909,9596,9596,55388,55388,33695,33695,128498,128498,25101,25101,13876,13876,48921,48921,21926,21926,23307,23307,4615,4615,13705,13705,44948,44948,16479,16479,50256,50256,81209,81209,51651,51651,45858,45858,66131,66131,49807,49807,34,34,124905,124905,15107,15107,52609,52609,111927,111927,209491,209491,99519,99519,28594,28594,106842,106842,55420,55420,43991,43991,11060,11060,62452,62452,26840,26840,21157,21157,71697,71697,60596,60596,35746,35746,128271,128271,26438,26438,89029,89029,48220,48220,57551,57551,57483,57483,80387,80387,44864,44864,47678,47678,67657,67657,16289,16289,15428,15428,15974,15974,5194,5194,20094,20094,22997,22997,20637,20637,16497,16497,46647,46647,35016,35016,13662,13662,38027,38027,5362,5362,1869,1869,2920,2920,6428,6428,33287,33287,9651,9651,13521,13521,33344,33344,89571,89571,20847,20847,18447,18447,7951,7951
3,6593,6593,2163,2163,70575,70575,3484,3484,3562,3562,6533,6533,1526,1526,5717,5717,9302,9302,57062,57062,29043,29043,127356,127356,25287,25287,14083,14083,48806,48806,22932,22932,23257,23257,4974,4974,13300,13300,43373,43373,15894,15894,55625,55625,83844,83844,55412,55412,44746,44746,64307,64307,47546,47546,33,33,115197,115197,15056,15056,53856,53856,99619,99619,206774,206774,107197,107197,28810,28810,106689,106689,55125,55125,57468,57468,10701,10701,54952,54952,28069,28069,21407,21407,68649,68649,60616,60616,36964,36964,128305,128305,28080,28080,82792,82792,48128,48128,55952,55952,55687,55687,76015,76015,38413,38413,45641,45641,68495,68495,17479,17479,16195,16195,16379,16379,5455,5455,19723,19723,21306,21306,20361,20361,16971,16971,46198,46198,34699,34699,14352,14352,37387,37387,5044,5044,1812,1812,2743,2743,6232,6232,33011,33011,8917,8917,14069,14069,34387,34387,90161,90161,20927,20927,18888,18888,7928,7928
4,6119,6119,1976,1976,74051,74051,2772,2772,3282,3282,6915,6915,1489,1489,5896,5896,9664,9664,63433,63433,26101,26101,121743,121743,26143,26143,14177,14177,46952,46952,23556,23556,24091,24091,5328,5328,12815,12815,40150,40150,15637,15637,60890,60890,83542,83542,59234,59234,45402,45402,63167,63167,47435,47435,47,47,105543,105543,15275,15275,52840,52840,85121,85121,213510,213510,110930,110930,29642,29642,103589,103589,53894,53894,54832,54832,10228,10228,45703,45703,30497,30497,21688,21688,63758,63758,59277,59277,37264,37264,130304,130304,29256,29256,74448,74448,48218,48218,51756,51756,54264,54264,69030,69030,33129,33129,43665,43665,66786,66786,17430,17430,16032,16032,17383,17383,5443,5443,19484,19484,19240,19240,20496,20496,16440,16440,45717,45717,34399,34399,13885,13885,35081,35081,5047,5047,1834,1834,2757,2757,6033,6033,33259,33259,8659,8659,13732,13732,34774,34774,90630,90630,21090,21090,17566,17566,8093,8093
5,6112,6112,1981,1981,77346,77346,2882,2882,3263,3263,6761,6761,1173,1173,5748,5748,9865,9865,86975,86975,23829,23829,118316,118316,27454,27454,14926,14926,46210,46210,24100,24100,24408,24408,5301,5301,12528,12528,37047,37047,15544,15544,67595,67595,82570,82570,60905,60905,45686,45686,61840,61840,45919,45919,69,69,97048,97048,15394,15394,52464,52464,72131,72131,213435,213435,114454,114454,30477,30477,101457,101457,47504,47504,50812,50812,10396,10396,39347,39347,30860,30860,22773,22773,58232,58232,58075,58075,38109,38109,130822,130822,29440,29440,67558,67558,47315,47315,49944,49944,51545,51545,64131,64131,29579,29579,40799,40799,65922,65922,16784,16784,16279,16279,20036,20036,5253,5253,19633,19633,17738,17738,19679,19679,16232,16232,45515,45515,34164,34164,13782,13782,33083,33083,4535,4535,1789,1789,2731,2731,6098,6098,33951,33951,8125,8125,14501,14501,35836,35836,90975,90975,21020,21020,16966,16966,8220,8220
6,6323,6323,1828,1828,79781,79781,2593,2593,3310,3310,6567,6567,1131,1131,5565,5565,10261,10261,127354,127354,22246,22246,111020,111020,27286,27286,15335,15335,45754,45754,25669,25669,24430,24430,4887,4887,11972,11972,32877,32877,15032,15032,72775,72775,84295,84295,60299,60299,45728,45728,59368,59368,44587,44587,20,20,86620,86620,15266,15266,51733,51733,60112,60112,205469,205469,117592,117592,30117,30117,97801,97801,29949,29949,43690,43690,9852,9852,31904,31904,31907,31907,22805,22805,53156,53156,57250,57250,38036,38036,128370,128370,30106,30106,59412,59412,48021,48021,46512,46512,49495,49495,57164,57164,26831,26831,38967,38967,62019,62019,16384,16384,15668,15668,24266,24266,5314,5314,18971,18971,16353,16353,19805,19805,15950,15950,45433,45433,33773,33773,15217,15217,32479,32479,4961,4961,1747,1747,2985,2985,6251,6251,34586,34586,8509,8509,14788,14788,36221,36221,91547,91547,20559,20559,16400,16400,8203,8203
7,6362,6362,2040,2040,82875,82875,2625,2625,3340,3340,6267,6267,1146,1146,5420,5420,10547,10547,150313,150313,20839,20839,106889,106889,27847,27847,15805,15805,47675,47675,24804,24804,24902,24902,5159,5159,12327,12327,30322,30322,14555,14555,77410,77410,84492,84492,58728,58728,44744,44744,56831,56831,43600,43600,40,40,82042,82042,15126,15126,49006,49006,53013,53013,196376,196376,116728,116728,30462,30462,93501,93501,22503,22503,35970,35970,9482,9482,28171,28171,31997,31997,23087,23087,47185,47185,55370,55370,38921,38921,126100,126100,30955,30955,53324,53324,47640,47640,42572,42572,48604,48604,53588,53588,24249,24249,37227,37227,59525,59525,15985,15985,15500,15500,24962,24962,5427,5427,18820,18820,14303,14303,19569,19569,15945,15945,45601,45601,33306,33306,14878,14878,31061,31061,4649,4649,1718,1718,2866,2866,6039,6039,34072,34072,8154,8154,15083,15083,36458,36458,90141,90141,20782,20782,16797,16797,8182,8182
8,6328,6328,1728,1728,85586,85586,2439,2439,3312,3312,6579,6579,1087,1087,5131,5131,10859,10859,155123,155123,20681,20681,100820,100820,29106,29106,15853,15853,48814,48814,25584,25584,26419,26419,5357,5357,11791,11791,26072,26072,13804,13804,83418,83418,83921,83921,56903,56903,44407,44407,56659,56659,43195,43195,36,36,73312,73312,14850,14850,45319,45319,45578,45578,188173,188173,118493,118493,30676,30676,87049,87049,19065,19065,28911,28911,9110,9110,24535,24535,32231,32231,23680,23680,43155,43155,53261,53261,39409,39409,122299,122299,31202,31202,47223,47223,46212,46212,39550,39550,46318,46318,48960,48960,22062,22062,35118,35118,56075,56075,16523,16523,16000,16000,25655,25655,5492,5492,18059,18059,13619,13619,19541,19541,15229,15229,45242,45242,32199,32199,14334,14334,27936,27936,4628,4628,1801,1801,2766,2766,6079,6079,34385,34385,8263,8263,15375,15375,36851,36851,91392,91392,20584,20584,16018,16018,8265,8265
9,6294,6294,1794,1794,88309,88309,2202,2202,3143,3143,6296,6296,1142,1142,5004,5004,10992,10992,156315,156315,20559,20559,93369,93369,29752,29752,16011,16011,49452,49452,25853,25853,27141,27141,5057,5057,11412,11412,22563,22563,13806,13806,87820,87820,83766,83766,54945,54945,45074,45074,58574,58574,41887,41887,37,37,68866,68866,14743,14743,43799,43799,40702,40702,180253,180253,117259,117259,30350,30350,81671,81671,18166,18166,24392,24392,8991,8991,22369,22369,32678,32678,24086,24086,38311,38311,50580,50580,38961,38961,119076,119076,31181,31181,41869,41869,46166,46166,37746,37746,44182,44182,45571,45571,20801,20801,34259,34259,53100,53100,15743,15743,15830,15830,26204,26204,5346,5346,17147,17147,12377,12377,18581,18581,15243,15243,44485,44485,31069,31069,14374,14374,27247,27247,4738,4738,1761,1761,2699,2699,6143,6143,34236,34236,8078,8078,15195,15195,36847,36847,90071,90071,20333,20333,15638,15638,8262,8262
10,6655,6655,1868,1868,90787,90787,2442,2442,3397,3397,6092,6092,1032,1032,5261,5261,10804,10804,157446,157446,20853,20853,86494,86494,30528,30528,16430,16430,49825,49825,25626,25626,26887,26887,4925,4925,11179,11179,19484,19484,12863,12863,92860,92860,83338,83338,52209,52209,44902,44902,71589,71589,41118,41118,45,45,63785,63785,14484,14484,40000,40000,36681,36681,175914,175914,116231,116231,31149,31149,76155,76155,20068,20068,21384,21384,8647,8647,20584,20584,33234,33234,24843,24843,34739,34739,48078,48078,38198,38198,114329,114329,30666,30666,37154,37154,45653,45653,35348,35348,42018,42018,44381,44381,19241,19241,32978,32978,49347,49347,15760,15760,15834,15834,26712,26712,5340,5340,17150,17150,11562,11562,18410,18410,15331,15331,44990,44990,30812,30812,14180,14180,24793,24793,4271,4271,1662,1662,2859,2859,6017,6017,33836,33836,7400,7400,15821,15821,36924,36924,92813,92813,20866,20866,15266,15266,8057,8057
