 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76
1,6555,6555,6911,6911,5891,5891,16383,16383,9998,9998,7653,7653,47080,47080,19657,19657,110071,110071,36153,36153,62176,62176,11160,11160,61422,61422,86610,86610,84219,84219,86743,86743,23422,23422,6989,6989,42777,42777,67266,67266,43731,43731,21029,21029,18372,18372,66070,66070,72210,72210,69501,69501,70832,70832,49975,49975,9000,9000,45632,45632,34165,34165,53576,53576,46289,46289,240286,240286,12631,12631,9677,9677,40702,40702,28680,28680,44296,44296,44328,44328,25675,25675,63126,63126,87252,87252,9773,9773,6150,6150,7506,7506,19876,19876,21805,21805,41242,41242,15836,15836,21112,21112,46876,46876,23909,23909,6695,6695,7915,7915,11718,11718,9267,9267,20997,20997,6345,6345,4624,4624,12796,12796,5949,5949,37735,37735,31274,31274,14817,14817,7392,7392,9753,9753,8584,8584,6988,6988,7306,7306,10894,10894,17460,17460,11425,11425,15837,15837,19223,19223,8162,8162
2,6230,6230,7105,7105,5598,5598,15488,15488,9736,9736,7209,7209,45819,45819,17753,17753,107693,107693,35477,35477,60684,60684,12032,12032,60513,60513,86205,86205,78071,78071,84158,84158,22225,22225,6824,6824,42994,42994,63820,63820,41815,41815,20178,20178,18113,18113,62531,62531,71327,71327,66976,66976,67157,67157,47667,47667,8808,8808,41296,41296,33412,33412,54094,54094,45303,45303,237120,237120,12434,12434,9476,9476,39784,39784,28040,28040,39382,39382,43596,43596,25257,25257,61925,61925,86550,86550,9237,9237,6095,6095,7580,7580,19037,19037,21205,21205,39552,39552,15490,15490,20723,20723,44280,44280,26374,26374,6654,6654,7790,7790,11784,11784,9573,9573,19718,19718,6166,6166,4751,4751,12566,12566,5823,5823,34638,34638,30733,30733,14409,14409,7364,7364,9684,9684,8320,8320,6908,6908,7079,7079,10990,10990,16331,16331,11262,11262,15186,15186,18476,18476,8308,8308
3,6303,6303,7349,7349,5627,5627,15436,15436,9656,9656,7472,7472,44994,44994,14541,14541,105771,105771,35553,35553,59816,59816,11997,11997,58583,58583,84810,84810,75563,75563,81040,81040,22074,22074,6749,6749,41991,41991,62060,62060,40242,40242,20664,20664,17536,17536,60932,60932,68539,68539,65163,65163,65505,65505,47828,47828,8932,8932,39998,39998,32801,32801,55536,55536,44020,44020,234393,234393,11789,11789,9441,9441,39835,39835,26594,26594,37181,37181,43286,43286,25011,25011,61761,61761,84039,84039,9259,9259,5611,5611,7783,7783,19035,19035,20982,20982,39876,39876,15838,15838,21287,21287,42052,42052,26755,26755,6791,6791,8006,8006,12082,12082,9817,9817,18623,18623,6113,6113,4734,4734,12063,12063,5886,5886,34601,34601,30862,30862,14292,14292,7160,7160,9339,9339,8342,8342,6743,6743,7124,7124,11032,11032,15835,15835,10972,10972,15232,15232,18072,18072,7858,7858
4,6503,6503,7466,7466,5753,5753,15316,15316,9646,9646,7199,7199,45334,45334,13266,13266,105555,105555,36872,36872,59057,59057,13700,13700,57515,57515,84474,84474,73382,73382,80385,80385,22029,22029,6644,6644,42755,42755,60324,60324,37716,37716,20225,20225,17368,17368,59585,59585,66853,66853,64277,64277,63846,63846,47545,47545,9630,9630,38080,38080,33035,33035,55895,55895,44594,44594,234112,234112,11585,11585,9616,9616,38775,38775,26072,26072,37891,37891,43076,43076,25217,25217,62841,62841,83255,83255,9086,9086,5808,5808,7715,7715,19347,19347,20140,20140,39437,39437,15593,15593,21047,21047,41018,41018,26298,26298,6975,6975,7473,7473,11814,11814,9902,9902,17265,17265,6022,6022,4556,4556,12474,12474,5925,5925,32360,32360,30734,30734,13966,13966,7540,7540,9487,9487,8471,8471,6688,6688,7217,7217,11218,11218,14886,14886,11117,11117,14926,14926,18007,18007,7820,7820
5,6235,6235,7083,7083,6011,6011,15257,15257,9428,9428,7451,7451,45238,45238,11396,11396,104557,104557,35911,35911,58829,58829,14191,14191,60039,60039,84462,84462,72923,72923,78230,78230,22217,22217,6479,6479,41911,41911,60453,60453,36831,36831,20495,20495,18304,18304,59704,59704,65178,65178,63519,63519,61232,61232,46825,46825,10262,10262,37793,37793,32907,32907,54242,54242,43245,43245,230119,230119,11743,11743,9657,9657,39337,39337,26571,26571,37916,37916,45274,45274,25206,25206,61877,61877,81977,81977,9427,9427,6071,6071,7788,7788,18209,18209,20374,20374,39487,39487,15655,15655,21449,21449,40259,40259,26496,26496,6730,6730,7533,7533,11219,11219,10140,10140,16775,16775,5988,5988,4832,4832,12464,12464,6003,6003,30970,30970,30521,30521,13852,13852,7171,7171,9989,9989,8750,8750,6921,6921,7341,7341,11508,11508,14807,14807,11051,11051,14930,14930,19124,19124,8463,8463
6,6351,6351,7195,7195,5670,5670,14276,14276,9905,9905,7135,7135,44266,44266,10462,10462,103771,103771,36897,36897,58337,58337,14560,14560,60271,60271,85610,85610,71653,71653,77751,77751,22324,22324,5975,5975,43564,43564,61766,61766,35417,35417,20566,20566,18765,18765,58824,58824,65880,65880,61747,61747,61171,61171,45079,45079,10875,10875,40265,40265,33071,33071,51342,51342,44237,44237,225166,225166,11678,11678,10001,10001,39781,39781,26495,26495,38358,38358,45874,45874,24000,24000,64253,64253,82918,82918,9592,9592,5492,5492,8164,8164,18127,18127,20111,20111,39943,39943,15711,15711,20876,20876,39890,39890,26719,26719,7031,7031,7873,7873,11345,11345,10121,10121,16643,16643,5959,5959,4740,4740,12406,12406,6174,6174,30000,30000,31084,31084,13782,13782,7193,7193,10316,10316,8188,8188,6655,6655,7435,7435,11478,11478,14305,14305,10974,10974,14366,14366,18600,18600,8310,8310
7,6309,6309,7909,7909,6136,6136,14530,14530,9785,9785,7535,7535,45096,45096,9031,9031,103554,103554,38437,38437,59594,59594,14986,14986,59301,59301,87592,87592,71903,71903,77442,77442,22601,22601,6206,6206,44873,44873,61334,61334,34802,34802,20297,20297,18350,18350,57470,57470,64516,64516,62263,62263,63045,63045,44373,44373,10954,10954,40593,40593,33899,33899,53265,53265,43956,43956,222121,222121,12325,12325,10041,10041,38899,38899,26318,26318,38358,38358,47062,47062,24191,24191,64677,64677,84235,84235,9997,9997,5755,5755,8163,8163,18418,18418,20236,20236,39442,39442,15885,15885,21067,21067,41273,41273,26745,26745,7292,7292,7687,7687,12017,12017,9914,9914,16973,16973,5999,5999,4990,4990,13124,13124,5955,5955,28424,28424,32163,32163,13397,13397,7464,7464,10352,10352,8700,8700,6644,6644,7493,7493,11586,11586,14207,14207,11364,11364,14858,14858,18843,18843,8619,8619
8,6569,6569,7612,7612,6016,6016,14721,14721,9679,9679,7242,7242,44325,44325,10483,10483,102863,102863,38732,38732,57004,57004,15968,15968,58876,58876,88090,88090,72983,72983,75154,75154,23060,23060,5596,5596,44746,44746,61370,61370,33360,33360,20739,20739,19052,19052,56691,56691,65012,65012,61580,61580,61730,61730,44432,44432,11853,11853,41171,41171,33277,33277,53854,53854,43109,43109,218917,218917,12249,12249,10527,10527,36679,36679,26309,26309,38395,38395,46735,46735,23317,23317,65332,65332,83819,83819,11885,11885,5382,5382,8503,8503,17880,17880,20057,20057,39114,39114,15722,15722,21404,21404,40817,40817,27042,27042,7015,7015,7575,7575,12086,12086,10042,10042,16768,16768,6295,6295,4839,4839,13110,13110,6101,6101,27147,27147,32726,32726,13065,13065,7278,7278,10585,10585,8869,8869,6789,6789,7672,7672,12030,12030,13458,13458,11872,11872,15373,15373,19191,19191,8373,8373
9,6754,6754,8067,8067,6043,6043,14536,14536,10252,10252,7235,7235,43818,43818,8878,8878,102036,102036,39954,39954,58091,58091,15626,15626,58578,58578,88028,88028,73635,73635,73844,73844,23339,23339,5672,5672,44975,44975,63429,63429,32702,32702,20924,20924,19115,19115,55149,55149,63804,63804,61592,61592,61431,61431,44468,44468,12337,12337,41473,41473,33699,33699,55041,55041,43348,43348,220160,220160,15896,15896,10203,10203,32145,32145,31368,31368,38844,38844,48439,48439,22483,22483,65737,65737,84963,84963,14090,14090,5355,5355,8103,8103,17603,17603,19972,19972,38711,38711,16160,16160,20850,20850,40208,40208,27493,27493,6790,6790,7601,7601,11977,11977,10175,10175,17147,17147,5919,5919,4586,4586,13180,13180,6250,6250,26842,26842,32696,32696,12651,12651,7620,7620,10986,10986,8517,8517,6871,6871,7741,7741,12187,12187,13341,13341,11459,11459,15483,15483,19176,19176,8577,8577
10,6386,6386,8098,8098,6013,6013,14123,14123,10096,10096,7358,7358,42273,42273,9110,9110,101511,101511,39618,39618,57353,57353,16129,16129,58194,58194,90242,90242,73151,73151,72380,72380,23299,23299,5833,5833,47173,47173,64034,64034,31009,31009,20751,20751,19020,19020,53696,53696,64563,64563,61804,61804,61331,61331,43008,43008,12534,12534,42122,42122,33867,33867,56623,56623,43524,43524,216135,216135,17364,17364,10062,10062,28499,28499,36117,36117,38161,38161,47516,47516,21575,21575,66221,66221,85046,85046,17123,17123,5240,5240,8614,8614,17641,17641,19797,19797,38452,38452,16775,16775,21301,21301,41037,41037,27228,27228,6928,6928,7953,7953,12320,12320,10229,10229,17958,17958,6192,6192,5055,5055,13214,13214,6039,6039,26189,26189,32338,32338,12585,12585,7882,7882,11199,11199,9491,9491,7139,7139,7753,7753,11934,11934,13040,13040,12184,12184,15034,15034,19104,19104,8300,8300
