 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67
1,47303,47303,38902,38902,107346,107346,13501,13501,18512,18512,24002,24002,35274,35274,40555,40555,17780,17780,85704,85704,73207,73207,29672,29672,59044,59044,57172,57172,42040,42040,39919,39919,29539,29539,30329,30329,56853,56853,33571,33571,50013,50013,79202,79202,27857,27857,40404,40404,102800,102800,26749,26749,126483,126483,85110,85110,29634,29634,87942,87942,8765,8765,174394,174394,105018,105018,108027,108027,120129,120129,113628,113628,23314,23314,14523,14523,29158,29158,18390,18390,97673,97673,43820,43820,13214,13214,14298,14298,153454,153454,80686,80686,37853,37853,57775,57775,58146,58146,71076,71076,50258,50258,18134,18134,70753,70753,124348,124348,15544,15544,24779,24779,27300,27300,24491,24491,19559,19559,28797,28797,37941,37941,43351,43351,22712,22712,18242,18242,84648,84648,18212,18212,27288,27288
2,47680,47680,37403,37403,106800,106800,13465,13465,18237,18237,24537,24537,34985,34985,41301,41301,18368,18368,86303,86303,71802,71802,28845,28845,58463,58463,58170,58170,45792,45792,41744,41744,27994,27994,29934,29934,56076,56076,32967,32967,50784,50784,76237,76237,27691,27691,41554,41554,100242,100242,26845,26845,125198,125198,85197,85197,29561,29561,89563,89563,8756,8756,178397,178397,102760,102760,108096,108096,124831,124831,115908,115908,24105,24105,15636,15636,28099,28099,18742,18742,95362,95362,45755,45755,12732,12732,14697,14697,151624,151624,82068,82068,38876,38876,59230,59230,61324,61324,73386,73386,49542,49542,18309,18309,74236,74236,124954,124954,16820,16820,25473,25473,26398,26398,24995,24995,19879,19879,28873,28873,37223,37223,44098,44098,23730,23730,18187,18187,88320,88320,18858,18858,28509,28509
3,49262,49262,35102,35102,108910,108910,13654,13654,18865,18865,25309,25309,35074,35074,42894,42894,18163,18163,86836,86836,72017,72017,29705,29705,58608,58608,58813,58813,49501,49501,43742,43742,28156,28156,29969,29969,57276,57276,34621,34621,51728,51728,75197,75197,27926,27926,43536,43536,101888,101888,27554,27554,125546,125546,85890,85890,30421,30421,93194,93194,8942,8942,174875,174875,103887,103887,109611,109611,124886,124886,117103,117103,24136,24136,16750,16750,28982,28982,19382,19382,96753,96753,45398,45398,13365,13365,14779,14779,153506,153506,82547,82547,38926,38926,60424,60424,62511,62511,75236,75236,51214,51214,18271,18271,77954,77954,126033,126033,16980,16980,26392,26392,26863,26863,25527,25527,19650,19650,29381,29381,36818,36818,42840,42840,23442,23442,18933,18933,90840,90840,18601,18601,30231,30231
4,49533,49533,32191,32191,110702,110702,13864,13864,18968,18968,26097,26097,35180,35180,45690,45690,18087,18087,88415,88415,72621,72621,29034,29034,58328,58328,60723,60723,54003,54003,47892,47892,27268,27268,31024,31024,57979,57979,35627,35627,51175,51175,74248,74248,27980,27980,43897,43897,102423,102423,28107,28107,128150,128150,86489,86489,28868,28868,95541,95541,8889,8889,173805,173805,104307,104307,109291,109291,126579,126579,119900,119900,23810,23810,19091,19091,28527,28527,19141,19141,97723,97723,46946,46946,13073,13073,14894,14894,154536,154536,83406,83406,40058,40058,59946,59946,63234,63234,77429,77429,51092,51092,18605,18605,80043,80043,127648,127648,16127,16127,26580,26580,26210,26210,26335,26335,19778,19778,30950,30950,36940,36940,42134,42134,24397,24397,19780,19780,91908,91908,19379,19379,30509,30509
5,49235,49235,30087,30087,109671,109671,13422,13422,18505,18505,25953,25953,35520,35520,47257,47257,18466,18466,89139,89139,71115,71115,29152,29152,56043,56043,61142,61142,55839,55839,50263,50263,25093,25093,31614,31614,57183,57183,36633,36633,50504,50504,69460,69460,27420,27420,45402,45402,102604,102604,29092,29092,126270,126270,88391,88391,29731,29731,97561,97561,9121,9121,174043,174043,104736,104736,108802,108802,127963,127963,120738,120738,24511,24511,21003,21003,26347,26347,21466,21466,94442,94442,47749,47749,12864,12864,15497,15497,154529,154529,85020,85020,40487,40487,62473,62473,64291,64291,78827,78827,52171,52171,18364,18364,82642,82642,126397,126397,17672,17672,27817,27817,27045,27045,26087,26087,19009,19009,30674,30674,35986,35986,42000,42000,25271,25271,19900,19900,96459,96459,19724,19724,31390,31390
6,50913,50913,29125,29125,110336,110336,14128,14128,18974,18974,26524,26524,35414,35414,51635,51635,18931,18931,90508,90508,71751,71751,28796,28796,56344,56344,61655,61655,58247,58247,54305,54305,25414,25414,32595,32595,57679,57679,38725,38725,50870,50870,65169,65169,27677,27677,46567,46567,103718,103718,29263,29263,128357,128357,89453,89453,29213,29213,99366,99366,8849,8849,173060,173060,106465,106465,108472,108472,130641,130641,122290,122290,24947,24947,22879,22879,24644,24644,21211,21211,95127,95127,48699,48699,13580,13580,15630,15630,154727,154727,87222,87222,41137,41137,62173,62173,64881,64881,80972,80972,54328,54328,18837,18837,86274,86274,128639,128639,17581,17581,29970,29970,27608,27608,26438,26438,19122,19122,31609,31609,35999,35999,41263,41263,25528,25528,20543,20543,96796,96796,20627,20627,32664,32664
7,51260,51260,28096,28096,111455,111455,13838,13838,18977,18977,27139,27139,35591,35591,55913,55913,18954,18954,92245,92245,71774,71774,29205,29205,56098,56098,63560,63560,60648,60648,57839,57839,23976,23976,34641,34641,58861,58861,42651,42651,51216,51216,60894,60894,27717,27717,47389,47389,103869,103869,30226,30226,128756,128756,90501,90501,29844,29844,103159,103159,9396,9396,169844,169844,107435,107435,111539,111539,130865,130865,123710,123710,24978,24978,24795,24795,22080,22080,21415,21415,95869,95869,49511,49511,13668,13668,16270,16270,156142,156142,91401,91401,42189,42189,62933,62933,65723,65723,83160,83160,53421,53421,18686,18686,88823,88823,130437,130437,18472,18472,31199,31199,27862,27862,26375,26375,19898,19898,32959,32959,35430,35430,41333,41333,25621,25621,21301,21301,99426,99426,24350,24350,32060,32060
8,51589,51589,27363,27363,108971,108971,13609,13609,19392,19392,26550,26550,35862,35862,59641,59641,19070,19070,91197,91197,70531,70531,30472,30472,55752,55752,64212,64212,63778,63778,60961,60961,22766,22766,35805,35805,59090,59090,50568,50568,50512,50512,57649,57649,27682,27682,47764,47764,102194,102194,30421,30421,127835,127835,90743,90743,29658,29658,105434,105434,9343,9343,172075,172075,108382,108382,108730,108730,129287,129287,124779,124779,24306,24306,25125,25125,18601,18601,21195,21195,93699,93699,50463,50463,13595,13595,15823,15823,154640,154640,93811,93811,42079,42079,65658,65658,65545,65545,85546,85546,54956,54956,18475,18475,89913,89913,128338,128338,19181,19181,31847,31847,27357,27357,26357,26357,19623,19623,32064,32064,34323,34323,40800,40800,25781,25781,21673,21673,101084,101084,29279,29279,32517,32517
9,51477,51477,25668,25668,111154,111154,13491,13491,18872,18872,26743,26743,35755,35755,63257,63257,18674,18674,92279,92279,71992,71992,31335,31335,55438,55438,63595,63595,63919,63919,65730,65730,22064,22064,37030,37030,59574,59574,57877,57877,50710,50710,55411,55411,27511,27511,48508,48508,102167,102167,30257,30257,129571,129571,92094,92094,29558,29558,105790,105790,9555,9555,173662,173662,108272,108272,109432,109432,129772,129772,124785,124785,26094,26094,25530,25530,17129,17129,21609,21609,94931,94931,51927,51927,13614,13614,16717,16717,157014,157014,94803,94803,42052,42052,65074,65074,66322,66322,86840,86840,55409,55409,18950,18950,91444,91444,129691,129691,18742,18742,31161,31161,27479,27479,25996,25996,19872,19872,31964,31964,34628,34628,40873,40873,26153,26153,21696,21696,101606,101606,31008,31008,33183,33183
10,52956,52956,24549,24549,111372,111372,13717,13717,19025,19025,26092,26092,35657,35657,66063,66063,19232,19232,91988,91988,72035,72035,33727,33727,55473,55473,65643,65643,65189,65189,68680,68680,21925,21925,37983,37983,59839,59839,69037,69037,50889,50889,52929,52929,28106,28106,49847,49847,104135,104135,31108,31108,130626,130626,93295,93295,29476,29476,107000,107000,9365,9365,172073,172073,111076,111076,108981,108981,131616,131616,126984,126984,26079,26079,26778,26778,16320,16320,21396,21396,95507,95507,52429,52429,13955,13955,16521,16521,156089,156089,97644,97644,43044,43044,65469,65469,66016,66016,88017,88017,54911,54911,18716,18716,92860,92860,130745,130745,19119,19119,30610,30610,27458,27458,25949,25949,20147,20147,32665,32665,33780,33780,40470,40470,26148,26148,22149,22149,102701,102701,30038,30038,33048,33048
