 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121
1,12171,12171,140686,140686,12357,12357,31438,31438,41038,41038,16538,16538,17076,17076,39648,39648,6887,6887,18252,18252,11736,11736,19643,19643,17166,17166,27753,27753,31524,31524,78912,78912,21531,21531,61302,61302,22757,22757,108357,108357,12961,12961,88331,88331,12655,12655,63476,63476,25346,25346,23825,23825,31858,31858,80532,80532,66871,66871,71254,71254,9696,9696,68381,68381,37486,37486,15086,15086,93444,93444,14177,14177,4535,4535,19063,19063,34063,34063,9656,9656,85125,85125,12819,12819,88801,88801,48756,48756,4638,4638,107476,107476,19455,19455,13089,13089,73989,73989,59419,59419,61377,61377,10060,10060,10387,10387,49189,49189,13837,13837,13539,13539,24521,24521,5118,5118,126072,126072,151222,151222,57072,57072,4192,4192,10247,10247,32108,32108,37025,37025,12537,12537,52828,52828,112461,112461,21994,21994,224101,224101,6932,6932,31066,31066,25107,25107,18620,18620,56451,56451,12146,12146,8028,8028,29532,29532,13644,13644,13535,13535,9968,9968,103465,103465,24421,24421,57194,57194,100722,100722,33608,33608,59960,59960,127655,127655,107813,107813,54205,54205,9483,9483,125259,125259,9714,9714,30189,30189,61955,61955,18004,18004,21264,21264,19175,19175,16074,16074,11207,11207,10780,10780,51796,51796,64622,64622,36808,36808,27747,27747,8188,8188,20499,20499,18819,18819,7858,7858,13350,13350,17506,17506,8669,8669,63388,63388,63927,63927,79775,79775,11433,11433,17849,17849,17313,17313,12156,12156,7409,7409,10620,10620
2,12527,12527,138182,138182,12480,12480,30066,30066,43946,43946,17238,17238,16730,16730,40186,40186,6797,6797,23966,23966,11806,11806,19669,19669,10783,10783,27717,27717,37633,37633,76692,76692,22680,22680,61538,61538,22292,22292,106410,106410,14008,14008,85746,85746,13197,13197,62774,62774,25201,25201,23406,23406,31043,31043,79135,79135,80447,80447,70342,70342,9755,9755,66756,66756,37806,37806,14798,14798,91955,91955,13903,13903,4371,4371,17835,17835,34843,34843,9505,9505,81110,81110,14271,14271,110290,110290,47209,47209,4685,4685,103756,103756,18999,18999,12639,12639,72188,72188,57113,57113,74600,74600,9558,9558,10514,10514,48442,48442,13572,13572,13657,13657,24485,24485,4829,4829,121265,121265,144302,144302,56856,56856,4044,4044,10588,10588,31177,31177,35273,35273,12780,12780,50639,50639,108386,108386,21175,21175,218270,218270,7022,7022,31517,31517,35416,35416,17597,17597,56561,56561,12724,12724,7963,7963,30512,30512,13519,13519,13489,13489,10228,10228,102277,102277,24632,24632,57012,57012,98338,98338,32822,32822,57507,57507,127334,127334,101003,101003,52341,52341,9705,9705,121911,121911,10098,10098,30220,30220,59615,59615,17993,17993,20968,20968,18759,18759,15524,15524,10931,10931,10694,10694,49115,49115,62593,62593,36651,36651,27132,27132,8063,8063,20494,20494,19349,19349,8104,8104,19179,19179,17681,17681,8530,8530,62730,62730,64296,64296,77059,77059,14414,14414,18267,18267,17756,17756,11890,11890,7523,7523,10757,10757
3,13258,13258,137501,137501,12111,12111,31049,31049,47328,47328,17664,17664,16875,16875,40704,40704,6808,6808,22105,22105,12062,12062,20278,20278,10947,10947,27735,27735,43269,43269,76535,76535,23915,23915,61454,61454,22392,22392,104447,104447,14167,14167,85024,85024,13428,13428,61652,61652,26194,26194,22999,22999,30765,30765,78993,78993,115435,115435,71954,71954,10184,10184,67420,67420,38448,38448,15232,15232,92472,92472,13894,13894,4458,4458,17455,17455,34581,34581,9675,9675,80878,80878,15726,15726,128579,128579,47865,47865,4887,4887,103259,103259,19704,19704,13043,13043,71385,71385,57299,57299,86786,86786,9708,9708,10791,10791,48284,48284,13997,13997,13847,13847,24812,24812,4677,4677,122123,122123,142857,142857,57206,57206,4066,4066,14951,14951,30488,30488,34674,34674,12080,12080,51751,51751,106862,106862,21498,21498,218309,218309,6850,6850,31528,31528,37555,37555,17966,17966,56821,56821,12875,12875,8077,8077,29835,29835,13622,13622,13198,13198,10261,10261,100012,100012,24118,24118,55327,55327,97913,97913,33199,33199,58139,58139,129212,129212,96531,96531,53487,53487,9905,9905,122567,122567,10373,10373,30042,30042,58500,58500,17766,17766,20765,20765,18792,18792,16052,16052,11095,11095,10685,10685,49748,49748,64661,64661,36127,36127,27359,27359,8199,8199,20494,20494,18970,18970,10257,10257,14303,14303,17621,17621,8472,8472,63120,63120,62959,62959,77299,77299,13018,13018,18397,18397,17577,17577,11799,11799,7435,7435,10621,10621
4,13507,13507,139476,139476,12290,12290,30511,30511,50954,50954,18468,18468,16863,16863,40221,40221,6642,6642,21561,21561,12247,12247,20294,20294,10948,10948,28318,28318,46094,46094,75304,75304,24621,24621,61592,61592,21858,21858,111571,111571,14926,14926,83335,83335,13629,13629,60319,60319,27177,27177,24424,24424,31442,31442,78253,78253,146379,146379,71408,71408,10300,10300,67848,67848,38498,38498,15106,15106,93454,93454,13580,13580,4678,4678,16664,16664,35392,35392,10029,10029,78980,78980,17406,17406,141400,141400,47738,47738,5160,5160,102421,102421,19994,19994,13211,13211,70572,70572,56736,56736,97435,97435,9600,9600,11014,11014,47770,47770,13883,13883,13646,13646,24657,24657,5136,5136,122024,122024,141502,141502,56562,56562,3644,3644,13490,13490,30443,30443,34285,34285,12264,12264,51737,51737,106495,106495,21580,21580,218119,218119,7110,7110,31973,31973,32783,32783,17889,17889,57500,57500,12850,12850,7933,7933,29162,29162,13437,13437,14167,14167,9947,9947,99830,99830,23867,23867,54741,54741,99342,99342,34477,34477,56523,56523,129317,129317,95017,95017,55236,55236,10036,10036,122424,122424,10137,10137,29733,29733,57037,57037,17598,17598,20471,20471,19253,19253,15949,15949,10880,10880,10837,10837,49875,49875,63746,63746,36386,36386,27468,27468,8104,8104,20419,20419,19057,19057,9100,9100,20954,20954,16945,16945,8912,8912,62637,62637,62346,62346,77756,77756,15275,15275,18795,18795,19618,19618,11792,11792,8116,8116,10622,10622
5,13214,13214,139233,139233,12666,12666,31421,31421,55934,55934,18746,18746,16558,16558,40405,40405,6595,6595,17688,17688,12465,12465,19740,19740,14752,14752,28344,28344,47495,47495,75825,75825,24914,24914,61238,61238,21433,21433,118846,118846,14414,14414,82421,82421,13784,13784,60698,60698,27253,27253,24021,24021,30476,30476,76509,76509,152726,152726,71268,71268,10618,10618,66813,66813,38954,38954,15004,15004,93345,93345,13680,13680,4598,4598,18235,18235,35970,35970,9518,9518,78377,78377,18966,18966,146511,146511,49290,49290,4900,4900,101178,101178,19879,19879,12783,12783,70489,70489,56465,56465,104359,104359,9579,9579,10755,10755,47388,47388,13726,13726,14123,14123,24908,24908,5050,5050,122940,122940,138662,138662,56376,56376,3694,3694,15046,15046,30169,30169,33908,33908,11977,11977,52033,52033,105617,105617,21439,21439,215044,215044,6414,6414,32094,32094,26385,26385,17883,17883,57311,57311,13365,13365,8021,8021,28033,28033,13669,13669,13864,13864,10179,10179,99323,99323,24316,24316,53280,53280,97802,97802,35247,35247,57700,57700,129258,129258,91763,91763,56095,56095,10288,10288,123348,123348,10476,10476,30127,30127,55863,55863,17949,17949,20205,20205,19472,19472,16499,16499,10923,10923,10913,10913,49779,49779,64321,64321,37189,37189,27002,27002,8089,8089,20547,20547,18910,18910,10195,10195,21109,21109,17126,17126,8893,8893,62293,62293,61571,61571,77909,77909,17951,17951,18778,18778,19969,19969,12092,12092,7666,7666,10550,10550
6,13389,13389,140386,140386,12634,12634,31302,31302,60428,60428,19491,19491,16289,16289,40504,40504,6921,6921,17408,17408,12761,12761,19733,19733,23727,23727,28400,28400,49263,49263,73692,73692,25727,25727,61379,61379,22039,22039,114270,114270,14517,14517,81801,81801,13893,13893,58593,58593,28361,28361,24181,24181,31011,31011,77156,77156,155279,155279,71814,71814,10362,10362,67072,67072,39251,39251,15009,15009,93559,93559,13407,13407,4363,4363,18069,18069,36027,36027,9958,9958,78624,78624,19634,19634,150236,150236,48405,48405,5080,5080,100040,100040,19715,19715,13423,13423,69216,69216,56958,56958,106316,106316,9824,9824,10672,10672,46985,46985,13333,13333,13936,13936,24375,24375,4439,4439,120639,120639,138491,138491,56086,56086,3286,3286,17780,17780,30982,30982,33930,33930,11965,11965,52526,52526,104759,104759,21804,21804,216981,216981,6909,6909,31812,31812,26942,26942,17530,17530,56096,56096,14042,14042,7967,7967,27620,27620,13646,13646,13892,13892,10248,10248,97992,97992,23838,23838,52661,52661,98224,98224,36837,36837,55988,55988,128382,128382,90050,90050,56583,56583,10184,10184,120852,120852,10636,10636,30331,30331,55579,55579,17906,17906,20326,20326,19450,19450,17004,17004,11215,11215,10808,10808,49810,49810,65586,65586,36455,36455,28552,28552,8387,8387,20585,20585,18943,18943,10506,10506,17040,17040,17484,17484,9214,9214,63469,63469,61008,61008,77559,77559,20958,20958,18761,18761,19236,19236,11823,11823,7695,7695,10562,10562
7,13486,13486,140996,140996,12454,12454,31924,31924,63875,63875,20257,20257,16519,16519,40467,40467,6848,6848,17175,17175,12823,12823,20733,20733,22575,22575,28827,28827,50661,50661,74509,74509,26458,26458,61788,61788,22102,22102,114942,114942,14553,14553,81463,81463,13825,13825,58335,58335,27911,27911,24589,24589,31337,31337,77548,77548,158579,158579,72699,72699,10981,10981,67893,67893,39699,39699,15516,15516,93985,93985,11965,11965,3661,3661,16801,16801,35470,35470,9944,9944,77195,77195,20860,20860,152876,152876,49000,49000,5172,5172,100574,100574,20337,20337,13637,13637,68237,68237,57164,57164,109908,109908,9633,9633,11358,11358,47688,47688,13723,13723,14525,14525,25081,25081,4449,4449,120878,120878,137718,137718,57946,57946,3305,3305,17222,17222,30342,30342,34054,34054,11881,11881,52506,52506,103641,103641,21720,21720,216790,216790,6799,6799,31677,31677,32442,32442,17953,17953,56803,56803,13563,13563,8196,8196,28014,28014,13551,13551,14097,14097,10100,10100,97605,97605,24351,24351,52055,52055,98262,98262,37095,37095,56444,56444,127338,127338,86850,86850,58648,58648,10373,10373,122389,122389,10768,10768,30047,30047,55604,55604,18513,18513,20454,20454,19365,19365,17149,17149,11514,11514,10349,10349,49238,49238,65347,65347,37187,37187,28375,28375,8102,8102,20543,20543,19374,19374,12442,12442,9723,9723,18393,18393,9435,9435,65100,65100,61394,61394,72225,72225,24709,24709,19005,19005,19467,19467,12198,12198,7931,7931,10547,10547
8,13605,13605,141562,141562,12775,12775,31976,31976,66222,66222,19999,19999,17031,17031,41201,41201,7048,7048,16936,16936,12737,12737,20298,20298,20197,20197,29462,29462,52002,52002,74683,74683,26531,26531,60972,60972,22244,22244,110765,110765,14474,14474,81189,81189,14239,14239,58102,58102,28262,28262,24148,24148,30903,30903,76750,76750,161508,161508,72131,72131,11030,11030,67269,67269,40331,40331,14892,14892,94121,94121,11105,11105,3675,3675,19545,19545,35726,35726,10261,10261,77142,77142,22282,22282,153379,153379,49312,49312,5103,5103,100107,100107,20478,20478,14087,14087,68399,68399,59836,59836,111170,111170,11923,11923,11512,11512,47414,47414,13627,13627,14442,14442,24454,24454,4523,4523,121557,121557,137592,137592,56944,56944,3085,3085,17647,17647,30868,30868,35511,35511,11692,11692,52109,52109,103725,103725,21754,21754,216953,216953,6759,6759,30790,30790,31232,31232,17767,17767,57496,57496,13766,13766,8285,8285,27568,27568,13757,13757,14319,14319,9811,9811,99353,99353,24117,24117,52260,52260,96205,96205,37806,37806,56211,56211,128221,128221,86657,86657,60152,60152,10652,10652,123790,123790,10594,10594,30780,30780,54109,54109,18840,18840,20152,20152,20276,20276,17062,17062,11493,11493,11188,11188,49972,49972,65519,65519,37376,37376,28132,28132,8616,8616,21000,21000,19473,19473,10880,10880,9615,9615,18170,18170,9596,9596,64201,64201,60803,60803,53200,53200,16872,16872,20340,20340,19737,19737,12002,12002,7570,7570,9974,9974
9,14408,14408,141690,141690,13302,13302,32046,32046,67724,67724,20869,20869,16639,16639,40896,40896,6804,6804,16962,16962,12755,12755,20513,20513,12337,12337,29344,29344,52493,52493,73932,73932,27071,27071,61523,61523,22229,22229,106736,106736,14551,14551,81008,81008,14279,14279,56471,56471,28875,28875,24387,24387,31633,31633,77235,77235,163348,163348,72877,72877,11289,11289,67200,67200,39845,39845,15237,15237,93898,93898,10275,10275,3907,3907,20860,20860,35590,35590,10112,10112,77599,77599,23573,23573,155006,155006,48590,48590,5324,5324,98404,98404,20410,20410,13740,13740,67906,67906,57596,57596,112379,112379,21107,21107,11239,11239,47034,47034,13568,13568,14564,14564,24658,24658,4511,4511,121763,121763,134055,134055,57038,57038,3224,3224,17995,17995,30469,30469,34149,34149,12165,12165,52433,52433,102844,102844,22047,22047,215327,215327,6877,6877,31534,31534,27160,27160,18094,18094,56282,56282,13811,13811,8213,8213,27509,27509,14188,14188,14691,14691,10657,10657,97260,97260,24794,24794,53212,53212,98249,98249,37078,37078,57451,57451,128505,128505,84584,84584,62487,62487,10952,10952,124581,124581,10524,10524,31031,31031,53571,53571,18666,18666,20367,20367,19852,19852,17429,17429,11660,11660,11344,11344,49326,49326,67191,67191,37180,37180,28988,28988,8307,8307,21291,21291,19375,19375,9506,9506,9542,9542,18600,18600,9852,9852,63301,63301,62138,62138,40533,40533,24681,24681,19734,19734,20325,20325,12137,12137,7747,7747,10361,10361
10,14215,14215,141791,141791,12888,12888,32317,32317,69907,69907,21309,21309,17012,17012,41195,41195,7146,7146,16731,16731,12624,12624,20905,20905,11750,11750,29162,29162,52089,52089,73630,73630,27088,27088,61127,61127,22126,22126,103257,103257,14883,14883,79755,79755,14456,14456,57136,57136,29234,29234,24618,24618,31807,31807,75558,75558,165572,165572,73352,73352,10936,10936,67970,67970,40925,40925,15002,15002,94429,94429,9777,9777,3653,3653,22841,22841,35963,35963,10157,10157,75835,75835,24590,24590,156641,156641,49880,49880,5200,5200,96800,96800,20053,20053,13753,13753,67398,67398,58239,58239,114404,114404,24952,24952,11370,11370,47459,47459,14002,14002,14447,14447,24750,24750,4427,4427,123131,123131,135397,135397,57945,57945,3225,3225,12569,12569,30517,30517,34398,34398,11471,11471,53153,53153,102508,102508,21698,21698,217443,217443,7096,7096,31312,31312,37200,37200,18034,18034,57433,57433,13733,13733,8433,8433,27114,27114,13693,13693,14612,14612,10558,10558,95972,95972,24477,24477,51255,51255,97273,97273,39030,39030,56434,56434,126409,126409,83810,83810,63188,63188,10866,10866,124674,124674,11102,11102,30312,30312,53704,53704,19442,19442,20657,20657,19660,19660,17807,17807,11851,11851,10967,10967,49952,49952,67300,67300,37455,37455,28804,28804,8664,8664,22145,22145,19926,19926,9166,9166,9444,9444,18674,18674,10020,10020,62623,62623,62950,62950,33990,33990,28311,28311,19473,19473,20258,20258,12163,12163,7866,7866,10432,10432
