 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137
1,16456,16456,15461,15461,18487,18487,27119,27119,17919,17919,31384,31384,46250,46250,16683,16683,15449,15449,18107,18107,9015,9015,34799,34799,29534,29534,18768,18768,12812,12812,8767,8767,45715,45715,21817,21817,19955,19955,721,721,23252,23252,49864,49864,20609,20609,14247,14247,10576,10576,13607,13607,25414,25414,24242,24242,15748,15748,31550,31550,1788,1788,26786,26786,74327,74327,58871,58871,32454,32454,21619,21619,13013,13013,19190,19190,12428,12428,73338,73338,370654,370654,22327,22327,26143,26143,36748,36748,12524,12524,5479,5479,16439,16439,3936,3936,10196,10196,26189,26189,9444,9444,102642,102642,34553,34553,10197,10197,6002,6002,29957,29957,8166,8166,35178,35178,27459,27459,20103,20103,20066,20066,12319,12319,86280,86280,62967,62967,13474,13474,5524,5524,3811,3811,11440,11440,4605,4605,11303,11303,5080,5080,20260,20260,9737,9737,15505,15505,16768,16768,7532,7532,2461,2461,33825,33825,3279,3279,7650,7650,44653,44653,11634,11634,10363,10363,21027,21027,4787,4787,20859,20859,23307,23307,8699,8699,4571,4571,7424,7424,15969,15969,25946,25946,6582,6582,9817,9817,11708,11708,7504,7504,9170,9170,2759,2759,5668,5668,1020,1020,26717,26717,14585,14585,17385,17385,16339,16339,37947,37947,11749,11749,40568,40568,12932,12932,29987,29987,16729,16729,6749,6749,19810,19810,64316,64316,19845,19845,34154,34154,68277,68277,17804,17804,47630,47630,96168,96168,44838,44838,70075,70075,122339,122339,104174,104174,80204,80204,111900,111900,57274,57274,10843,10843,10185,10185,107446,107446,147439,147439,89120,89120,54761,54761,36901,36901,138869,138869,20777,20777,43842,43842,8767,8767
2,16037,16037,16046,16046,18819,18819,25940,25940,17560,17560,31351,31351,47731,47731,17215,17215,16017,16017,17700,17700,8892,8892,37526,37526,29260,29260,18498,18498,12180,12180,8589,8589,39179,39179,20599,20599,19317,19317,651,651,21187,21187,43906,43906,21276,21276,14911,14911,10326,10326,12996,12996,24717,24717,23638,23638,16135,16135,28996,28996,1798,1798,26221,26221,75486,75486,59082,59082,28335,28335,21538,21538,12335,12335,20036,20036,13098,13098,63778,63778,367746,367746,21369,21369,26073,26073,40226,40226,12682,12682,5103,5103,16793,16793,3832,3832,10322,10322,25641,25641,9510,9510,102585,102585,34670,34670,10348,10348,6153,6153,27528,27528,8663,8663,32952,32952,28668,28668,20454,20454,20474,20474,12466,12466,85042,85042,61554,61554,14002,14002,5563,5563,3789,3789,11699,11699,4532,4532,11234,11234,5500,5500,19645,19645,10083,10083,16279,16279,16430,16430,7122,7122,2371,2371,32033,32033,3279,3279,7949,7949,43437,43437,12037,12037,10212,10212,21723,21723,4937,4937,21591,21591,22370,22370,8731,8731,4423,4423,7831,7831,16345,16345,26752,26752,7029,7029,9811,9811,11029,11029,7485,7485,9303,9303,2822,2822,5889,5889,1131,1131,26082,26082,14510,14510,16852,16852,16744,16744,38146,38146,11611,11611,40526,40526,13397,13397,30188,30188,16817,16817,6851,6851,19323,19323,58348,58348,20265,20265,30737,30737,61399,61399,16300,16300,40811,40811,92349,92349,42559,42559,67908,67908,120972,120972,93962,93962,76508,76508,105443,105443,53601,53601,11283,11283,10315,10315,109883,109883,149386,149386,84005,84005,57286,57286,36407,36407,139597,139597,20089,20089,42420,42420,8259,8259
3,15780,15780,16498,16498,18496,18496,25877,25877,17188,17188,30750,30750,48741,48741,17442,17442,15538,15538,16740,16740,9199,9199,39829,39829,28846,28846,18704,18704,12362,12362,8861,8861,37007,37007,20485,20485,19847,19847,722,722,19165,19165,38367,38367,21790,21790,15841,15841,10396,10396,12590,12590,25060,25060,24226,24226,16065,16065,27761,27761,1769,1769,25905,25905,79412,79412,59187,59187,26673,26673,22069,22069,12602,12602,20521,20521,13820,13820,58632,58632,364471,364471,21143,21143,25604,25604,43945,43945,12112,12112,5146,5146,17515,17515,3803,3803,10610,10610,27206,27206,9839,9839,104349,104349,36283,36283,10584,10584,6401,6401,24197,24197,8926,8926,30677,30677,28322,28322,20832,20832,20357,20357,12553,12553,83600,83600,59785,59785,14629,14629,6105,6105,4106,4106,11799,11799,5196,5196,11365,11365,5728,5728,19466,19466,10255,10255,16734,16734,16145,16145,7761,7761,2407,2407,33141,33141,3558,3558,8804,8804,42711,42711,11712,11712,10521,10521,21703,21703,5188,5188,21614,21614,22054,22054,8921,8921,4426,4426,8263,8263,17219,17219,27140,27140,6966,6966,10245,10245,10620,10620,7939,7939,9541,9541,2830,2830,5772,5772,1049,1049,26659,26659,15624,15624,18441,18441,17746,17746,37340,37340,11480,11480,38627,38627,13453,13453,31626,31626,17081,17081,7264,7264,18878,18878,53320,53320,21026,21026,28667,28667,55645,55645,16157,16157,34883,34883,91755,91755,38231,38231,64129,64129,116823,116823,85787,85787,72559,72559,99278,99278,51544,51544,11247,11247,10535,10535,114043,114043,154055,154055,79981,79981,59168,59168,36209,36209,137412,137412,20038,20038,40814,40814,7736,7736
4,15757,15757,16663,16663,18493,18493,25698,25698,16612,16612,28966,28966,52440,52440,18463,18463,15857,15857,16430,16430,9045,9045,42045,42045,27655,27655,19301,19301,12130,12130,8292,8292,36201,36201,19972,19972,19904,19904,808,808,17812,17812,35119,35119,21657,21657,16365,16365,10594,10594,12870,12870,24431,24431,23537,23537,17159,17159,26295,26295,1659,1659,25672,25672,81249,81249,58726,58726,25508,25508,22182,22182,12488,12488,20463,20463,14292,14292,55909,55909,357707,357707,21612,21612,25296,25296,44704,44704,12040,12040,5037,5037,17541,17541,3779,3779,10281,10281,25946,25946,9867,9867,104330,104330,35882,35882,10681,10681,6650,6650,22671,22671,9049,9049,29596,29596,29145,29145,21008,21008,20487,20487,12315,12315,82950,82950,60061,60061,14821,14821,5826,5826,3889,3889,11826,11826,5352,5352,11463,11463,6000,6000,20178,20178,10540,10540,16451,16451,16183,16183,7282,7282,2448,2448,32174,32174,3436,3436,8624,8624,42517,42517,11838,11838,10514,10514,21415,21415,5286,5286,21728,21728,22187,22187,9198,9198,4587,4587,8442,8442,18333,18333,26990,26990,7051,7051,10488,10488,9939,9939,7963,7963,9440,9440,2845,2845,5856,5856,1279,1279,26637,26637,15848,15848,18785,18785,18225,18225,37608,37608,11579,11579,38747,38747,13883,13883,32218,32218,17415,17415,7627,7627,18134,18134,48058,48058,21591,21591,24988,24988,48368,48368,15366,15366,30251,30251,89359,89359,35116,35116,62982,62982,114780,114780,78859,78859,69498,69498,90592,90592,48084,48084,11798,11798,10991,10991,114167,114167,153984,153984,73272,73272,61248,61248,36777,36777,137675,137675,17939,17939,39399,39399,7735,7735
5,15667,15667,16812,16812,18287,18287,24741,24741,16293,16293,29357,29357,58499,58499,19266,19266,16974,16974,16692,16692,9253,9253,46750,46750,27477,27477,19899,19899,12532,12532,8702,8702,35219,35219,19642,19642,19245,19245,768,768,16404,16404,33759,33759,21575,21575,16947,16947,10464,10464,12403,12403,24958,24958,23536,23536,16765,16765,24964,24964,1572,1572,25522,25522,85147,85147,58548,58548,24940,24940,21778,21778,12527,12527,20740,20740,15119,15119,55850,55850,350302,350302,21245,21245,25782,25782,45710,45710,12177,12177,5105,5105,17958,17958,4125,4125,10552,10552,27221,27221,10050,10050,105513,105513,36044,36044,10916,10916,6550,6550,21455,21455,8783,8783,29487,29487,30350,30350,21351,21351,21011,21011,12412,12412,82401,82401,64368,64368,15389,15389,6083,6083,4028,4028,11790,11790,5334,5334,12069,12069,5895,5895,19682,19682,11289,11289,16503,16503,16258,16258,7993,7993,2638,2638,31363,31363,3555,3555,8930,8930,42368,42368,12131,12131,10551,10551,20974,20974,5394,5394,21692,21692,22579,22579,9212,9212,4342,4342,8429,8429,19210,19210,27535,27535,7186,7186,10553,10553,9340,9340,7789,7789,9502,9502,2842,2842,5943,5943,1265,1265,27273,27273,16757,16757,19174,19174,19448,19448,38452,38452,11535,11535,38873,38873,14387,14387,33544,33544,18074,18074,7679,7679,17694,17694,42539,42539,22282,22282,21707,21707,43402,43402,14153,14153,27055,27055,86511,86511,33416,33416,62576,62576,109251,109251,72870,72870,65504,65504,84324,84324,46159,46159,11550,11550,11558,11558,115226,115226,156981,156981,66951,66951,62825,62825,37176,37176,134621,134621,16781,16781,37371,37371,7956,7956
6,15876,15876,17713,17713,18408,18408,24814,24814,16414,16414,28959,28959,58291,58291,19275,19275,17909,17909,17521,17521,9462,9462,54760,54760,26944,26944,22416,22416,12471,12471,8295,8295,33826,33826,19580,19580,19621,19621,728,728,16005,16005,34389,34389,22074,22074,17385,17385,10772,10772,12319,12319,24821,24821,24091,24091,17108,17108,24311,24311,1730,1730,25756,25756,87468,87468,59760,59760,24129,24129,23004,23004,12058,12058,21491,21491,15137,15137,59607,59607,344867,344867,21612,21612,25663,25663,45416,45416,12141,12141,5139,5139,18250,18250,3899,3899,10544,10544,27258,27258,10385,10385,107164,107164,34968,34968,10804,10804,6655,6655,20470,20470,9174,9174,30508,30508,30640,30640,21592,21592,21555,21555,12437,12437,83528,83528,65058,65058,15296,15296,6556,6556,4051,4051,12083,12083,5484,5484,11748,11748,6378,6378,19766,19766,11594,11594,16581,16581,16643,16643,7827,7827,2255,2255,31859,31859,3546,3546,9068,9068,43112,43112,12130,12130,11340,11340,20954,20954,5450,5450,21617,21617,21720,21720,8954,8954,4344,4344,8565,8565,19933,19933,27550,27550,7053,7053,10724,10724,8671,8671,7881,7881,9506,9506,2892,2892,6394,6394,1257,1257,27078,27078,16485,16485,19867,19867,19885,19885,37814,37814,11365,11365,37914,37914,15119,15119,34783,34783,18230,18230,7774,7774,17326,17326,37096,37096,22646,22646,19753,19753,40443,40443,12966,12966,25041,25041,83095,83095,31207,31207,60972,60972,103601,103601,67443,67443,63590,63590,77435,77435,44531,44531,11408,11408,11084,11084,116010,116010,155843,155843,62576,62576,63903,63903,38923,38923,128042,128042,14619,14619,34993,34993,8637,8637
7,15449,15449,17774,17774,18803,18803,25178,25178,17003,17003,28906,28906,57262,57262,19996,19996,18863,18863,17727,17727,9875,9875,64070,64070,25739,25739,25195,25195,12281,12281,8285,8285,31669,31669,20158,20158,20528,20528,854,854,15659,15659,34972,34972,21903,21903,17637,17637,10527,10527,11987,11987,25156,25156,24260,24260,18248,18248,23773,23773,1610,1610,26051,26051,97688,97688,60196,60196,24708,24708,24035,24035,12460,12460,22056,22056,15382,15382,70148,70148,344347,344347,20968,20968,25746,25746,46366,46366,12487,12487,5136,5136,18346,18346,4005,4005,10871,10871,27113,27113,10152,10152,107768,107768,35109,35109,11066,11066,6925,6925,19841,19841,9121,9121,32098,32098,31729,31729,21916,21916,22106,22106,12764,12764,85356,85356,65894,65894,16062,16062,6345,6345,4107,4107,12212,12212,5644,5644,12066,12066,6349,6349,19710,19710,12397,12397,16714,16714,16917,16917,8001,8001,2345,2345,31266,31266,3580,3580,9240,9240,42442,42442,12217,12217,10984,10984,21800,21800,5698,5698,21613,21613,21927,21927,8959,8959,4579,4579,9113,9113,20092,20092,28400,28400,7353,7353,10792,10792,8016,8016,7900,7900,9049,9049,2515,2515,6630,6630,1352,1352,26969,26969,16936,16936,20246,20246,20242,20242,38808,38808,12108,12108,37452,37452,15097,15097,35462,35462,18561,18561,8348,8348,16451,16451,34503,34503,22990,22990,17956,17956,37006,37006,13266,13266,23265,23265,81997,81997,28458,28458,59218,59218,98466,98466,63090,63090,61127,61127,72714,72714,42044,42044,11167,11167,11200,11200,117611,117611,157374,157374,59109,59109,64027,64027,40778,40778,123275,123275,14273,14273,31164,31164,8445,8445
8,15547,15547,17825,17825,18508,18508,24249,24249,16571,16571,28743,28743,56349,56349,21027,21027,18926,18926,17806,17806,10042,10042,70606,70606,25062,25062,27434,27434,13304,13304,8632,8632,29731,29731,20118,20118,20605,20605,811,811,15099,15099,36832,36832,22200,22200,18710,18710,10695,10695,11791,11791,25062,25062,24244,24244,19359,19359,22540,22540,1623,1623,25635,25635,102965,102965,61452,61452,24712,24712,25234,25234,12580,12580,22465,22465,14663,14663,71725,71725,337326,337326,20881,20881,25874,25874,45985,45985,12803,12803,4865,4865,18721,18721,3809,3809,10884,10884,27408,27408,10274,10274,108697,108697,34365,34365,11212,11212,6830,6830,19537,19537,9129,9129,32986,32986,31484,31484,22220,22220,21236,21236,12926,12926,86377,86377,66101,66101,16559,16559,6409,6409,3891,3891,12461,12461,5514,5514,12087,12087,6570,6570,19182,19182,12509,12509,16367,16367,16675,16675,8028,8028,2324,2324,29672,29672,3485,3485,9024,9024,43188,43188,13157,13157,11171,11171,21179,21179,5451,5451,21879,21879,22456,22456,9054,9054,4522,4522,9439,9439,21476,21476,28656,28656,7371,7371,11452,11452,7371,7371,8054,8054,9230,9230,2720,2720,6594,6594,1309,1309,27272,27272,17377,17377,20838,20838,20313,20313,39884,39884,11873,11873,36582,36582,15165,15165,36535,36535,19055,19055,8197,8197,15597,15597,31880,31880,23653,23653,16058,16058,33099,33099,12943,12943,20749,20749,79977,79977,26888,26888,56858,56858,93787,93787,57994,57994,58530,58530,67515,67515,39865,39865,11227,11227,11102,11102,116892,116892,157763,157763,54806,54806,64718,64718,41917,41917,120110,120110,12441,12441,29328,29328,9844,9844
9,15786,15786,18644,18644,18841,18841,24743,24743,16584,16584,28940,28940,56140,56140,22382,22382,19431,19431,17765,17765,9852,9852,76342,76342,24258,24258,29785,29785,12065,12065,8717,8717,29029,29029,20150,20150,20462,20462,798,798,15490,15490,39802,39802,22092,22092,18564,18564,10395,10395,12295,12295,24755,24755,24435,24435,19268,19268,22422,22422,1753,1753,26186,26186,110738,110738,61947,61947,25315,25315,25733,25733,12564,12564,22347,22347,14724,14724,70900,70900,336081,336081,21459,21459,25733,25733,46045,46045,12931,12931,5128,5128,19263,19263,4284,4284,11053,11053,27794,27794,10178,10178,109682,109682,34639,34639,11297,11297,6861,6861,19263,19263,9862,9862,33674,33674,32853,32853,22569,22569,22405,22405,12962,12962,86647,86647,64536,64536,17186,17186,6141,6141,4058,4058,12501,12501,5651,5651,12200,12200,6787,6787,18994,18994,12789,12789,16614,16614,17075,17075,8264,8264,2601,2601,30588,30588,3835,3835,9624,9624,43134,43134,13196,13196,11406,11406,21612,21612,5695,5695,21762,21762,22439,22439,9022,9022,4302,4302,9644,9644,22198,22198,28888,28888,7758,7758,11087,11087,6929,6929,7867,7867,9178,9178,2577,2577,6517,6517,1566,1566,27773,27773,17558,17558,20632,20632,22105,22105,39432,39432,12230,12230,36381,36381,15774,15774,37052,37052,18722,18722,8309,8309,14928,14928,29429,29429,23992,23992,14308,14308,31922,31922,12747,12747,18870,18870,78998,78998,25482,25482,56660,56660,90343,90343,54364,54364,56362,56362,63183,63183,39079,39079,11376,11376,11546,11546,117348,117348,158062,158062,51290,51290,65765,65765,42701,42701,117322,117322,11806,11806,27287,27287,10349,10349
10,15480,15480,18728,18728,18794,18794,24800,24800,16568,16568,29057,29057,54704,54704,26049,26049,19818,19818,17600,17600,10578,10578,79758,79758,23758,23758,32043,32043,11682,11682,8691,8691,28653,28653,19471,19471,20469,20469,775,775,15950,15950,41313,41313,22097,22097,18607,18607,10594,10594,12596,12596,24831,24831,25298,25298,19890,19890,22029,22029,1724,1724,26634,26634,116715,116715,63109,63109,25019,25019,25466,25466,12409,12409,22750,22750,15382,15382,70630,70630,331175,331175,21657,21657,25963,25963,45729,45729,13080,13080,4792,4792,19313,19313,4009,4009,10847,10847,27648,27648,10252,10252,112610,112610,34057,34057,11090,11090,7131,7131,19082,19082,9253,9253,34376,34376,32884,32884,22550,22550,22084,22084,13256,13256,87260,87260,61994,61994,17951,17951,6545,6545,4245,4245,12750,12750,5880,5880,12246,12246,6608,6608,19058,19058,13309,13309,16048,16048,17188,17188,8001,8001,2476,2476,29605,29605,3701,3701,9370,9370,43602,43602,13236,13236,11956,11956,21564,21564,5790,5790,21897,21897,22779,22779,8954,8954,4512,4512,9614,9614,22466,22466,28869,28869,7774,7774,11196,11196,6491,6491,7719,7719,9285,9285,2467,2467,6519,6519,1444,1444,28008,28008,18117,18117,20938,20938,22469,22469,40892,40892,12356,12356,35433,35433,16004,16004,37460,37460,19320,19320,8497,8497,14691,14691,26741,26741,24148,24148,13870,13870,29856,29856,12817,12817,16219,16219,76909,76909,23086,23086,54905,54905,86324,86324,51800,51800,54626,54626,58936,58936,37152,37152,11467,11467,11501,11501,117262,117262,159418,159418,47831,47831,66068,66068,41283,41283,115121,115121,10614,10614,25767,25767,11218,11218
