 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89
1,5083,5083,51481,51481,44120,44120,66215,66215,32466,32466,29157,29157,16832,16832,30955,30955,35528,35528,17201,17201,23816,23816,16736,16736,19146,19146,33394,33394,7787,7787,33763,33763,20290,20290,11517,11517,17627,17627,17131,17131,13925,13925,46162,46162,26866,26866,15905,15905,26209,26209,26298,26298,40894,40894,35242,35242,12986,12986,85706,85706,9209,9209,22318,22318,26266,26266,16134,16134,54138,54138,42502,42502,46212,46212,113203,113203,34895,34895,14617,14617,55490,55490,17255,17255,40514,40514,36151,36151,58261,58261,17478,17478,43979,43979,30741,30741,15871,15871,74439,74439,17529,17529,47962,47962,16157,16157,35444,35444,15011,15011,106875,106875,70590,70590,17596,17596,61054,61054,33746,33746,31203,31203,58292,58292,171460,171460,29352,29352,99150,99150,49971,49971,129046,129046,44330,44330,45028,45028,57691,57691,71637,71637,39994,39994,55104,55104,7912,7912,81921,81921,12901,12901,11896,11896,45892,45892,161715,161715,35791,35791,32807,32807,11884,11884,15289,15289,20289,20289,4259,4259,15365,15365,32324,32324,5830,5830,10980,10980
2,4977,4977,51888,51888,45000,45000,66009,66009,33721,33721,28799,28799,17146,17146,29054,29054,33388,33388,17387,17387,23774,23774,16741,16741,19221,19221,31666,31666,8012,8012,35339,35339,20205,20205,11180,11180,17822,17822,15907,15907,12535,12535,45899,45899,25800,25800,15906,15906,25195,25195,26158,26158,40302,40302,44196,44196,12743,12743,79355,79355,9086,9086,21063,21063,26328,26328,16629,16629,53192,53192,40867,40867,45337,45337,109623,109623,26249,26249,14945,14945,52419,52419,17158,17158,40281,40281,37261,37261,56480,56480,17180,17180,41947,41947,29800,29800,15942,15942,71598,71598,16335,16335,45403,45403,15758,15758,33607,33607,14259,14259,107473,107473,66679,66679,16869,16869,58320,58320,32684,32684,27657,27657,56950,56950,165530,165530,27102,27102,92807,92807,43847,43847,124915,124915,41458,41458,44632,44632,56665,56665,67916,67916,33285,33285,48248,48248,7968,7968,79507,79507,12282,12282,11925,11925,44889,44889,159961,159961,34567,34567,28701,28701,11608,11608,14437,14437,20496,20496,4449,4449,15373,15373,31601,31601,5278,5278,10705,10705
3,5246,5246,51971,51971,44994,44994,65638,65638,33979,33979,28749,28749,17806,17806,28891,28891,30846,30846,18041,18041,24013,24013,17030,17030,20513,20513,30716,30716,8418,8418,36468,36468,20009,20009,11460,11460,17508,17508,16156,16156,11107,11107,45185,45185,25477,25477,15432,15432,25301,25301,25641,25641,38174,38174,45549,45549,12596,12596,76537,76537,9369,9369,21031,21031,25753,25753,16396,16396,52370,52370,39758,39758,46427,46427,108470,108470,19236,19236,15146,15146,48801,48801,17216,17216,39733,39733,39221,39221,58427,58427,17222,17222,41086,41086,29254,29254,16266,16266,70729,70729,15836,15836,44547,44547,16363,16363,34049,34049,14094,14094,106596,106596,63133,63133,16980,16980,57367,57367,31735,31735,25681,25681,55960,55960,165689,165689,26565,26565,88896,88896,40629,40629,123923,123923,38400,38400,43696,43696,56333,56333,67580,67580,29615,29615,43446,43446,8007,8007,78458,78458,12316,12316,11293,11293,44739,44739,159677,159677,33884,33884,25390,25390,11875,11875,14477,14477,20135,20135,4603,4603,15614,15614,31259,31259,5293,5293,11165,11165
4,5154,5154,51799,51799,45859,45859,65550,65550,34119,34119,29528,29528,17959,17959,27588,27588,30466,30466,18335,18335,23613,23613,17541,17541,20394,20394,29289,29289,8201,8201,37770,37770,19391,19391,12378,12378,17753,17753,15829,15829,10410,10410,45938,45938,25244,25244,15599,15599,24452,24452,26627,26627,37492,37492,46307,46307,12295,12295,73618,73618,9277,9277,21559,21559,25494,25494,16739,16739,52872,52872,38805,38805,47116,47116,109040,109040,14969,14969,15675,15675,46932,46932,17102,17102,39597,39597,37949,37949,56209,56209,17457,17457,39337,39337,29507,29507,16932,16932,69775,69775,15776,15776,43550,43550,16034,16034,33126,33126,13788,13788,103386,103386,60736,60736,16788,16788,53011,53011,32599,32599,22420,22420,56307,56307,160949,160949,25393,25393,84394,84394,37165,37165,124701,124701,35569,35569,43647,43647,56782,56782,67128,67128,26971,26971,41638,41638,7432,7432,77905,77905,11965,11965,11245,11245,44797,44797,160907,160907,33824,33824,22556,22556,12084,12084,14563,14563,20381,20381,4732,4732,16093,16093,30705,30705,5060,5060,11521,11521
5,5546,5546,51452,51452,47020,47020,67599,67599,35661,35661,29073,29073,19003,19003,27733,27733,29191,29191,18580,18580,24758,24758,17145,17145,20926,20926,30027,30027,8822,8822,38850,38850,20668,20668,12137,12137,17486,17486,15443,15443,10502,10502,47544,47544,25505,25505,15623,15623,24358,24358,26387,26387,36710,36710,47856,47856,11589,11589,72478,72478,9776,9776,21931,21931,26253,26253,16748,16748,53320,53320,39044,39044,48004,48004,107028,107028,14331,14331,15379,15379,47611,47611,16896,16896,40113,40113,37608,37608,55021,55021,17475,17475,39526,39526,30237,30237,16972,16972,70771,70771,15591,15591,43171,43171,16039,16039,33558,33558,14334,14334,99584,99584,59219,59219,16493,16493,52599,52599,32733,32733,20430,20430,56761,56761,155909,155909,25321,25321,80753,80753,35560,35560,124096,124096,34491,34491,44058,44058,56930,56930,67103,67103,25668,25668,40771,40771,7603,7603,80676,80676,12016,12016,10945,10945,46664,46664,160089,160089,33850,33850,20778,20778,12017,12017,14288,14288,20998,20998,4641,4641,15690,15690,29923,29923,5270,5270,11443,11443
6,5309,5309,51872,51872,48592,48592,67774,67774,35713,35713,29943,29943,18817,18817,28002,28002,29241,29241,18720,18720,25080,25080,17981,17981,21250,21250,29806,29806,8231,8231,40177,40177,20507,20507,12468,12468,17970,17970,15462,15462,10367,10367,47464,47464,25827,25827,15404,15404,25082,25082,25915,25915,35670,35670,47416,47416,11777,11777,70068,70068,9821,9821,22258,22258,26893,26893,17213,17213,54288,54288,39561,39561,48145,48145,107145,107145,14296,14296,15521,15521,47621,47621,17700,17700,40227,40227,36965,36965,56521,56521,17420,17420,38968,38968,30186,30186,16979,16979,69470,69470,15099,15099,43403,43403,15812,15812,33006,33006,14114,14114,98135,98135,57211,57211,16261,16261,50907,50907,33181,33181,17814,17814,56808,56808,154267,154267,25019,25019,77394,77394,34438,34438,127513,127513,33497,33497,44148,44148,57312,57312,67386,67386,25104,25104,41059,41059,7707,7707,81084,81084,12520,12520,11239,11239,46117,46117,156968,156968,34303,34303,19862,19862,12003,12003,14237,14237,21518,21518,5029,5029,17113,17113,29695,29695,5079,5079,11770,11770
7,5409,5409,52416,52416,48888,48888,69435,69435,36151,36151,30659,30659,19450,19450,28078,28078,29207,29207,19525,19525,25984,25984,17970,17970,21896,21896,29022,29022,9130,9130,41198,41198,20254,20254,12748,12748,18337,18337,15958,15958,10248,10248,47869,47869,26180,26180,15158,15158,24158,24158,25564,25564,34491,34491,48613,48613,12002,12002,68070,68070,10219,10219,22095,22095,27745,27745,17732,17732,54749,54749,39188,39188,47818,47818,108055,108055,13790,13790,14988,14988,46691,46691,17810,17810,41177,41177,36676,36676,60179,60179,17154,17154,38875,38875,30294,30294,17369,17369,70652,70652,14729,14729,43695,43695,14782,14782,33225,33225,14306,14306,97955,97955,55783,55783,15508,15508,51670,51670,34435,34435,15673,15673,54978,54978,153368,153368,24439,24439,73752,73752,32561,32561,127590,127590,32190,32190,45537,45537,57240,57240,68552,68552,24084,24084,41762,41762,8093,8093,83967,83967,12495,12495,12004,12004,47086,47086,157630,157630,34885,34885,19306,19306,12368,12368,14821,14821,21534,21534,5004,5004,16316,16316,29919,29919,5223,5223,12304,12304
8,5266,5266,52197,52197,48743,48743,69179,69179,36253,36253,30931,30931,19867,19867,27875,27875,28230,28230,19820,19820,24830,24830,18294,18294,21691,21691,29642,29642,9202,9202,42365,42365,20413,20413,12801,12801,17933,17933,15364,15364,10173,10173,48562,48562,26587,26587,15527,15527,24859,24859,25970,25970,34559,34559,49010,49010,12010,12010,67050,67050,10605,10605,22487,22487,27587,27587,17889,17889,54115,54115,39221,39221,49161,49161,106562,106562,13672,13672,14916,14916,46587,46587,18025,18025,41920,41920,36080,36080,61595,61595,17574,17574,38192,38192,30380,30380,17328,17328,70688,70688,14427,14427,43974,43974,14443,14443,32896,32896,14461,14461,97227,97227,53839,53839,16102,16102,50226,50226,34128,34128,15241,15241,53983,53983,149512,149512,23599,23599,72668,72668,31520,31520,129740,129740,32211,32211,45143,45143,57655,57655,69075,69075,24726,24726,41995,41995,7780,7780,85199,85199,12994,12994,12335,12335,47856,47856,155343,155343,35169,35169,19501,19501,12369,12369,14432,14432,21582,21582,5003,5003,16728,16728,29428,29428,5151,5151,12433,12433
9,5370,5370,52679,52679,51010,51010,70293,70293,36992,36992,30704,30704,20039,20039,27554,27554,27562,27562,19348,19348,25559,25559,18367,18367,22177,22177,29256,29256,9488,9488,42726,42726,20927,20927,13339,13339,18732,18732,15355,15355,10381,10381,49617,49617,26626,26626,15391,15391,24037,24037,26405,26405,32858,32858,48990,48990,12013,12013,65278,65278,10399,10399,23266,23266,28660,28660,18270,18270,56332,56332,39724,39724,48837,48837,106868,106868,13335,13335,15043,15043,46590,46590,17967,17967,41013,41013,36421,36421,61554,61554,17618,17618,37895,37895,31448,31448,17378,17378,71749,71749,14152,14152,43797,43797,14454,14454,32333,32333,14072,14072,97245,97245,52575,52575,15611,15611,48924,48924,34430,34430,14795,14795,54373,54373,150096,150096,23504,23504,71217,71217,31010,31010,129318,129318,30989,30989,45322,45322,57482,57482,69487,69487,24883,24883,41684,41684,7789,7789,87106,87106,13050,13050,12604,12604,48210,48210,152861,152861,35198,35198,18698,18698,13380,13380,14767,14767,22381,22381,4970,4970,17141,17141,29099,29099,5160,5160,12234,12234
10,5375,5375,52576,52576,50739,50739,69795,69795,36859,36859,32071,32071,19637,19637,28076,28076,25913,25913,19768,19768,26041,26041,19074,19074,22897,22897,29072,29072,9170,9170,42013,42013,21004,21004,13498,13498,19065,19065,15768,15768,10112,10112,50309,50309,26408,26408,15164,15164,24282,24282,27135,27135,32062,32062,49158,49158,11941,11941,63257,63257,10526,10526,23493,23493,28929,28929,18836,18836,56756,56756,39673,39673,49169,49169,106824,106824,12863,12863,15016,15016,47335,47335,18556,18556,41805,41805,35817,35817,59882,59882,18032,18032,37795,37795,31598,31598,17330,17330,71382,71382,14014,14014,44605,44605,14263,14263,31629,31629,14653,14653,94752,94752,52190,52190,15719,15719,48298,48298,34803,34803,14264,14264,50661,50661,146408,146408,22718,22718,69214,69214,30661,30661,131809,131809,30471,30471,45388,45388,57315,57315,71252,71252,24765,24765,42773,42773,7882,7882,90264,90264,12777,12777,12904,12904,47860,47860,152198,152198,35658,35658,18567,18567,12989,12989,14491,14491,22456,22456,5090,5090,16905,16905,28923,28923,5089,5089,12767,12767
