 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137
1,12471,12471,16212,16212,16924,16924,4341,4341,12187,12187,11983,11983,9855,9855,9798,9798,2227,2227,2636,2636,6914,6914,18208,18208,47112,47112,19461,19461,13445,13445,30544,30544,24369,24369,6935,6935,17475,17475,9609,9609,3891,3891,20247,20247,27725,27725,6483,6483,29335,29335,14652,14652,8933,8933,15966,15966,24440,24440,2548,2548,19624,19624,48586,48586,38321,38321,15883,15883,12909,12909,35486,35486,17155,17155,22070,22070,74365,74365,35520,35520,2460,2460,12004,12004,17683,17683,3427,3427,31782,31782,33358,33358,4690,4690,12345,12345,26078,26078,17230,17230,14139,14139,23642,23642,26879,26879,25704,25704,31254,31254,28324,28324,20663,20663,15663,15663,15211,15211,90342,90342,141709,141709,4013,4013,9818,9818,33623,33623,12462,12462,17497,17497,7656,7656,14311,14311,47221,47221,18021,18021,6750,6750,3654,3654,5604,5604,157309,157309,13570,13570,6254,6254,4510,4510,62083,62083,4376,4376,10447,10447,9546,9546,52298,52298,6767,6767,9029,9029,2682,2682,19655,19655,10953,10953,15332,15332,65696,65696,39680,39680,7915,7915,17399,17399,21943,21943,8303,8303,11772,11772,9652,9652,14753,14753,46543,46543,40284,40284,24125,24125,73851,73851,9581,9581,10046,10046,34005,34005,19843,19843,7924,7924,16753,16753,18273,18273,16470,16470,18538,18538,37323,37323,36679,36679,42126,42126,29103,29103,48777,48777,16297,16297,16153,16153,19084,19084,30658,30658,22008,22008,48642,48642,51082,51082,36152,36152,104324,104324,7352,7352,51930,51930,75777,75777,2654,2654,3041,3041,2469,2469,12890,12890,1082,1082,26097,26097,17418,17418,7078,7078,14401,14401,15229,15229
2,12685,12685,16828,16828,17072,17072,4668,4668,12574,12574,12612,12612,10195,10195,10080,10080,2138,2138,2707,2707,7278,7278,18502,18502,43359,43359,20663,20663,13459,13459,31545,31545,24745,24745,7366,7366,17981,17981,9828,9828,3881,3881,20530,20530,28900,28900,7076,7076,28157,28157,14521,14521,9470,9470,14539,14539,24609,24609,2298,2298,25381,25381,47071,47071,38317,38317,16150,16150,15594,15594,36348,36348,16880,16880,22413,22413,72060,72060,36131,36131,2264,2264,12390,12390,17651,17651,3416,3416,30747,30747,34639,34639,4666,4666,12427,12427,26057,26057,17644,17644,14418,14418,24023,24023,25492,25492,25466,25466,32735,32735,29057,29057,20568,20568,13433,13433,15175,15175,90307,90307,142861,142861,4098,4098,9964,9964,32508,32508,12623,12623,17558,17558,7757,7757,15480,15480,45361,45361,17209,17209,6806,6806,3689,3689,5725,5725,157502,157502,14312,14312,6361,6361,4890,4890,67198,67198,4625,4625,10783,10783,9461,9461,53411,53411,7055,7055,9169,9169,2749,2749,20360,20360,11340,11340,15402,15402,60777,60777,36587,36587,8325,8325,17591,17591,20802,20802,8277,8277,12355,12355,9970,9970,13369,13369,41083,41083,32963,32963,23288,23288,72682,72682,9635,9635,10671,10671,33547,33547,20028,20028,7837,7837,15955,15955,18723,18723,13625,13625,18790,18790,38338,38338,32174,32174,39814,39814,23337,23337,47447,47447,14798,14798,16348,16348,15988,15988,32054,32054,20925,20925,48719,48719,47672,47672,32652,32652,104316,104316,7344,7344,53097,53097,63699,63699,2841,2841,3089,3089,2623,2623,12573,12573,1150,1150,26499,26499,14869,14869,7031,7031,14495,14495,15574,15574
3,13423,13423,16679,16679,17437,17437,4845,4845,12667,12667,12514,12514,10610,10610,10520,10520,2339,2339,2954,2954,7495,7495,19399,19399,39232,39232,20688,20688,13852,13852,32490,32490,25606,25606,7380,7380,18469,18469,10464,10464,4044,4044,21101,21101,29832,29832,7072,7072,29235,29235,15016,15016,9728,9728,11958,11958,24650,24650,2358,2358,34973,34973,44948,44948,39353,39353,16181,16181,16283,16283,39433,39433,16747,16747,21982,21982,68717,68717,36522,36522,2842,2842,12113,12113,17703,17703,3623,3623,31296,31296,36376,36376,5144,5144,12410,12410,26185,26185,18087,18087,14377,14377,23842,23842,25364,25364,26247,26247,32682,32682,29208,29208,20647,20647,12485,12485,16173,16173,90000,90000,144585,144585,4013,4013,10099,10099,31057,31057,12508,12508,16485,16485,7958,7958,15636,15636,43488,43488,16830,16830,6740,6740,3778,3778,5559,5559,157172,157172,14102,14102,6346,6346,4436,4436,69151,69151,4615,4615,10893,10893,9344,9344,53638,53638,7346,7346,9418,9418,2949,2949,20485,20485,11200,11200,15635,15635,56682,56682,35753,35753,7953,7953,17290,17290,19694,19694,7962,7962,12309,12309,9969,9969,12441,12441,38523,38523,29442,29442,22929,22929,70958,70958,10275,10275,10479,10479,33702,33702,20570,20570,8047,8047,15414,15414,18708,18708,12734,12734,19088,19088,38971,38971,28637,28637,37738,37738,20213,20213,45845,45845,14004,14004,16659,16659,13232,13232,34051,34051,20224,20224,48503,48503,44708,44708,26780,26780,103618,103618,7377,7377,53301,53301,54659,54659,2780,2780,3049,3049,2678,2678,12166,12166,1101,1101,26712,26712,14056,14056,6989,6989,13980,13980,15946,15946
4,13331,13331,17414,17414,17887,17887,5178,5178,13418,13418,12595,12595,11064,11064,10774,10774,2470,2470,2820,2820,7503,7503,19234,19234,36865,36865,21851,21851,13940,13940,33363,33363,24994,24994,7523,7523,18037,18037,10478,10478,4053,4053,21782,21782,30823,30823,7352,7352,28148,28148,15264,15264,9818,9818,10031,10031,24185,24185,2284,2284,36640,36640,43347,43347,40180,40180,15994,15994,16958,16958,41309,41309,17230,17230,22071,22071,65913,65913,37570,37570,2550,2550,12612,12612,18202,18202,3646,3646,30788,30788,36863,36863,5108,5108,13306,13306,25943,25943,17589,17589,14427,14427,24220,24220,24073,24073,25864,25864,33311,33311,30150,30150,20698,20698,12177,12177,16222,16222,91560,91560,146598,146598,4182,4182,10403,10403,28596,28596,12903,12903,16467,16467,8316,8316,16142,16142,42102,42102,16981,16981,6946,6946,3769,3769,5770,5770,157772,157772,13792,13792,6574,6574,4239,4239,69442,69442,4748,4748,10899,10899,9588,9588,53686,53686,7086,7086,9411,9411,3028,3028,20439,20439,11557,11557,15450,15450,53811,53811,32158,32158,8373,8373,17405,17405,19394,19394,8120,8120,11827,11827,9837,9837,11560,11560,36039,36039,27451,27451,23033,23033,67760,67760,10615,10615,10728,10728,33184,33184,21090,21090,8302,8302,15291,15291,19125,19125,12491,12491,19419,19419,41955,41955,28104,28104,37585,37585,18025,18025,45163,45163,13841,13841,16903,16903,12033,12033,36587,36587,20911,20911,47966,47966,43011,43011,23191,23191,101999,101999,7723,7723,52705,52705,48560,48560,2815,2815,2910,2910,2754,2754,12203,12203,1179,1179,28011,28011,14203,14203,7032,7032,14117,14117,15842,15842
5,13525,13525,18146,18146,18222,18222,5298,5298,13420,13420,13318,13318,11170,11170,11281,11281,2613,2613,3047,3047,7792,7792,20184,20184,35422,35422,22882,22882,14741,14741,35572,35572,25537,25537,8026,8026,19214,19214,10906,10906,4199,4199,22408,22408,30569,30569,7810,7810,27663,27663,15564,15564,10271,10271,8394,8394,24059,24059,2346,2346,36733,36733,42600,42600,40240,40240,16543,16543,17365,17365,41291,41291,17639,17639,22693,22693,62744,62744,40964,40964,2512,2512,12708,12708,18558,18558,3778,3778,31355,31355,37176,37176,5289,5289,13089,13089,26375,26375,18013,18013,14737,14737,24257,24257,23686,23686,27041,27041,33671,33671,30586,30586,20400,20400,12494,12494,16666,16666,89932,89932,148624,148624,4327,4327,10822,10822,27170,27170,12823,12823,15623,15623,8050,8050,16764,16764,40691,40691,17060,17060,6643,6643,4045,4045,5861,5861,158226,158226,13661,13661,6817,6817,4584,4584,70772,70772,4685,4685,11400,11400,9988,9988,54999,54999,7608,7608,9787,9787,2979,2979,20701,20701,11861,11861,16123,16123,50374,50374,30393,30393,8315,8315,17258,17258,18553,18553,8014,8014,12061,12061,10148,10148,11383,11383,34691,34691,26400,26400,23168,23168,65735,65735,10307,10307,10632,10632,34026,34026,20888,20888,8151,8151,15539,15539,19561,19561,11446,11446,19172,19172,43386,43386,27393,27393,35742,35742,16549,16549,44870,44870,13711,13711,16789,16789,11153,11153,41123,41123,21421,21421,48607,48607,42189,42189,20753,20753,103593,103593,7500,7500,54768,54768,43355,43355,2841,2841,3027,3027,2657,2657,12191,12191,1185,1185,28356,28356,14667,14667,6880,6880,13344,13344,16712,16712
6,13953,13953,18176,18176,18719,18719,5447,5447,14242,14242,13659,13659,11988,11988,10969,10969,2813,2813,2831,2831,7667,7667,20467,20467,33503,33503,23782,23782,14604,14604,36320,36320,25887,25887,8283,8283,19119,19119,11148,11148,4188,4188,22961,22961,30893,30893,7607,7607,27542,27542,15511,15511,9856,9856,7914,7914,24644,24644,2426,2426,37967,37967,42771,42771,40682,40682,16490,16490,17604,17604,39615,39615,18030,18030,22840,22840,59251,59251,50672,50672,2881,2881,12275,12275,17850,17850,3888,3888,32007,32007,36720,36720,5214,5214,12759,12759,26029,26029,17983,17983,14884,14884,24254,24254,23523,23523,27179,27179,33231,33231,30680,30680,20117,20117,12807,12807,16474,16474,90104,90104,149991,149991,4413,4413,10931,10931,25954,25954,13261,13261,15363,15363,8070,8070,17166,17166,39722,39722,16830,16830,6869,6869,3980,3980,6395,6395,158796,158796,13985,13985,7261,7261,4624,4624,71773,71773,5066,5066,11530,11530,9666,9666,56233,56233,7740,7740,9826,9826,3282,3282,20343,20343,11796,11796,16009,16009,41347,41347,29317,29317,8831,8831,17858,17858,18500,18500,8137,8137,11942,11942,10531,10531,11316,11316,33925,33925,25936,25936,23670,23670,65099,65099,10274,10274,11034,11034,34921,34921,21135,21135,8445,8445,16446,16446,19978,19978,11235,11235,19326,19326,44046,44046,27587,27587,34961,34961,16559,16559,42936,42936,13036,13036,17273,17273,10648,10648,45690,45690,23093,23093,48040,48040,42324,42324,20128,20128,101973,101973,7978,7978,77370,77370,40732,40732,2783,2783,3187,3187,2590,2590,11767,11767,1333,1333,29065,29065,14743,14743,7140,7140,14005,14005,16357,16357
7,14460,14460,18732,18732,18540,18540,5915,5915,14546,14546,13406,13406,12361,12361,11270,11270,2610,2610,2947,2947,8408,8408,20269,20269,32291,32291,24886,24886,14936,14936,37799,37799,26454,26454,8440,8440,19970,19970,11283,11283,4373,4373,23518,23518,31778,31778,7805,7805,27389,27389,15863,15863,10260,10260,7261,7261,24238,24238,2397,2397,39556,39556,43017,43017,41027,41027,17058,17058,18022,18022,39016,39016,18075,18075,23506,23506,55583,55583,67222,67222,2852,2852,12808,12808,18838,18838,4021,4021,32296,32296,36477,36477,5646,5646,13145,13145,25880,25880,18509,18509,15161,15161,24953,24953,23557,23557,27556,27556,32708,32708,31167,31167,19866,19866,12832,12832,17105,17105,91226,91226,149946,149946,4775,4775,11732,11732,23555,23555,13025,13025,15173,15173,7975,7975,18037,18037,39591,39591,16991,16991,7157,7157,4160,4160,6433,6433,158422,158422,13229,13229,7416,7416,4647,4647,72681,72681,4955,4955,11348,11348,9741,9741,57119,57119,7661,7661,9907,9907,3112,3112,21117,21117,11606,11606,16030,16030,30751,30751,29232,29232,8866,8866,17247,17247,18686,18686,8001,8001,12225,12225,10318,10318,11722,11722,35197,35197,26543,26543,23250,23250,64611,64611,10438,10438,11390,11390,35034,35034,21300,21300,8625,8625,19070,19070,19419,19419,11122,11122,19375,19375,45531,45531,27487,27487,33463,33463,16382,16382,43485,43485,13256,13256,17368,17368,10741,10741,48634,48634,24693,24693,48428,48428,41766,41766,20011,20011,100617,100617,8069,8069,100606,100606,41980,41980,2838,2838,3267,3267,2743,2743,12052,12052,1253,1253,30363,30363,15674,15674,7207,7207,13495,13495,16770,16770
8,14545,14545,19275,19275,19314,19314,5976,5976,14348,14348,14283,14283,12322,12322,11602,11602,2882,2882,3097,3097,8341,8341,21026,21026,30594,30594,25032,25032,15531,15531,39127,39127,26690,26690,8571,8571,20133,20133,11675,11675,4593,4593,23622,23622,32677,32677,8118,8118,27729,27729,16494,16494,10088,10088,6508,6508,24647,24647,2294,2294,40097,40097,43169,43169,41231,41231,17140,17140,18961,18961,38929,38929,18575,18575,23348,23348,47247,47247,78000,78000,2916,2916,12712,12712,19208,19208,4129,4129,32986,32986,36032,36032,5885,5885,13659,13659,26015,26015,18411,18411,15784,15784,29903,29903,23160,23160,27790,27790,32441,32441,31187,31187,20003,20003,13038,13038,17426,17426,89184,89184,146496,146496,4795,4795,11772,11772,21803,21803,12910,12910,15455,15455,8370,8370,18277,18277,39618,39618,16654,16654,7103,7103,4077,4077,6021,6021,161974,161974,13489,13489,7006,7006,4832,4832,73233,73233,4664,4664,11869,11869,9735,9735,58753,58753,7804,7804,10200,10200,3502,3502,21445,21445,11789,11789,16197,16197,24924,24924,30319,30319,8827,8827,17705,17705,18435,18435,7927,7927,11898,11898,10500,10500,11544,11544,37399,37399,26002,26002,22442,22442,63372,63372,10437,10437,11155,11155,34836,34836,22017,22017,8554,8554,24034,24034,19384,19384,10947,10947,19831,19831,44740,44740,27663,27663,33084,33084,16036,16036,42614,42614,12868,12868,17796,17796,10093,10093,50161,50161,26534,26534,48279,48279,40555,40555,20217,20217,99203,99203,8027,8027,107318,107318,41620,41620,3015,3015,3309,3309,2747,2747,11787,11787,1277,1277,31010,31010,14938,14938,7150,7150,13444,13444,16800,16800
9,14931,14931,19125,19125,19369,19369,6115,6115,15177,15177,15030,15030,12484,12484,11873,11873,2919,2919,3136,3136,8165,8165,21187,21187,28566,28566,26025,26025,16196,16196,40663,40663,26726,26726,8570,8570,20711,20711,11526,11526,4634,4634,24055,24055,33486,33486,8220,8220,26775,26775,16107,16107,10106,10106,6430,6430,24521,24521,2476,2476,38093,38093,45159,45159,40972,40972,17709,17709,19376,19376,39545,39545,18362,18362,23128,23128,36454,36454,83587,83587,2907,2907,12882,12882,18602,18602,4103,4103,33531,33531,36486,36486,6227,6227,13220,13220,25308,25308,18502,18502,15748,15748,41282,41282,23542,23542,28187,28187,33814,33814,31839,31839,20472,20472,13014,13014,17164,17164,89697,89697,147732,147732,4670,4670,11476,11476,21215,21215,12954,12954,15166,15166,8294,8294,18324,18324,38948,38948,16590,16590,6753,6753,4273,4273,6293,6293,162036,162036,13506,13506,7150,7150,4854,4854,73373,73373,4916,4916,11916,11916,9722,9722,58352,58352,7859,7859,10100,10100,3194,3194,21299,21299,11403,11403,16321,16321,22651,22651,31723,31723,8850,8850,17614,17614,17937,17937,7684,7684,12178,12178,10335,10335,11091,11091,40011,40011,25873,25873,22586,22586,62950,62950,10673,10673,11563,11563,35204,35204,21495,21495,8783,8783,29831,29831,19645,19645,11050,11050,19925,19925,45824,45824,28144,28144,32444,32444,16004,16004,42276,42276,12973,12973,17714,17714,9915,9915,50305,50305,28536,28536,48647,48647,40329,40329,20158,20158,97814,97814,8124,8124,104612,104612,41412,41412,2735,2735,3104,3104,2629,2629,11893,11893,1323,1323,30883,30883,15382,15382,6845,6845,13084,13084,15803,15803
10,14390,14390,19459,19459,20124,20124,6276,6276,15349,15349,15055,15055,12743,12743,12242,12242,2877,2877,2886,2886,8546,8546,21269,21269,28053,28053,26890,26890,15935,15935,42792,42792,26797,26797,8463,8463,21075,21075,11598,11598,4395,4395,24513,24513,34118,34118,8468,8468,25955,25955,16044,16044,10801,10801,6050,6050,24738,24738,2269,2269,30571,30571,46296,46296,41512,41512,17624,17624,19405,19405,40203,40203,18389,18389,23512,23512,31658,31658,89887,89887,3153,3153,12539,12539,18522,18522,4197,4197,35155,35155,35788,35788,6035,6035,12986,12986,25521,25521,18003,18003,15717,15717,58101,58101,22845,22845,28909,28909,33690,33690,31805,31805,20690,20690,12981,12981,17653,17653,90162,90162,149551,149551,4796,4796,11648,11648,19797,19797,13168,13168,15265,15265,8082,8082,18837,18837,38527,38527,16456,16456,6828,6828,4181,4181,6146,6146,162630,162630,13721,13721,7121,7121,4749,4749,72719,72719,4934,4934,11989,11989,9688,9688,57809,57809,7789,7789,10128,10128,3083,3083,21664,21664,11931,11931,16430,16430,21302,21302,33613,33613,8813,8813,17748,17748,17631,17631,7828,7828,12320,12320,10770,10770,11561,11561,44616,44616,26137,26137,22433,22433,61636,61636,10540,10540,12149,12149,35161,35161,21709,21709,8402,8402,33866,33866,19705,19705,10857,10857,19799,19799,45688,45688,27423,27423,31730,31730,15894,15894,40955,40955,14109,14109,18001,18001,10149,10149,51507,51507,29717,29717,48686,48686,40061,40061,20463,20463,96506,96506,8456,8456,95578,95578,39761,39761,2827,2827,2802,2802,2502,2502,11548,11548,1135,1135,31682,31682,14504,14504,7115,7115,13178,13178,15927,15927
