 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109
1,6190,6190,21130,21130,1741,1741,13136,13136,7570,7570,6264,6264,17582,17582,64483,64483,30171,30171,11144,11144,3953,3953,26160,26160,38582,38582,25946,25946,44195,44195,12138,12138,6533,6533,55357,55357,18512,18512,5344,5344,20379,20379,15246,15246,4852,4852,11885,11885,10049,10049,15236,15236,43975,43975,10793,10793,18318,18318,13751,13751,7488,7488,31216,31216,35279,35279,106778,106778,42400,42400,35589,35589,13207,13207,18134,18134,4061,4061,41414,41414,52858,52858,108389,108389,22794,22794,12132,12132,20977,20977,48313,48313,6187,6187,27635,27635,39949,39949,62174,62174,5344,5344,31477,31477,8897,8897,18265,18265,18830,18830,12139,12139,30223,30223,10915,10915,28718,28718,17867,17867,10070,10070,43751,43751,13710,13710,16181,16181,4579,4579,70579,70579,13198,13198,16849,16849,8505,8505,64363,64363,57198,57198,3651,3651,17751,17751,8539,8539,8941,8941,10621,10621,28270,28270,5567,5567,11871,11871,29464,29464,12658,12658,10106,10106,58044,58044,19518,19518,16038,16038,16125,16125,25242,25242,10640,10640,11394,11394,70399,70399,8911,8911,90759,90759,4123,4123,6572,6572,6848,6848,13488,13488,19874,19874,9618,9618,10847,10847,12698,12698,6708,6708,6252,6252,13795,13795,14868,14868,35657,35657,6220,6220,5902,5902,7579,7579,20663,20663
2,6002,6002,20732,20732,1667,1667,13305,13305,7115,7115,6396,6396,17031,17031,63761,63761,27714,27714,10873,10873,3660,3660,26138,26138,35329,35329,25136,25136,41086,41086,11420,11420,6446,6446,53002,53002,18546,18546,5114,5114,20400,20400,15196,15196,4675,4675,11803,11803,9802,9802,14539,14539,43523,43523,10474,10474,18496,18496,13620,13620,6966,6966,30652,30652,34328,34328,101439,101439,39658,39658,35615,35615,11858,11858,19148,19148,4259,4259,41058,41058,53095,53095,107278,107278,22629,22629,11580,11580,20507,20507,47799,47799,6053,6053,26845,26845,35474,35474,56930,56930,4799,4799,29880,29880,8679,8679,18062,18062,18413,18413,12240,12240,28261,28261,10279,10279,27511,27511,17076,17076,9153,9153,43375,43375,13952,13952,15566,15566,4297,4297,66388,66388,12592,12592,16526,16526,11704,11704,61723,61723,55137,55137,3821,3821,16766,16766,8163,8163,8924,8924,10099,10099,27285,27285,5591,5591,11678,11678,27663,27663,12726,12726,10002,10002,56966,56966,18458,18458,16475,16475,16138,16138,24438,24438,9622,9622,11511,11511,68206,68206,8044,8044,88431,88431,3927,3927,6414,6414,6343,6343,13399,13399,19239,19239,9569,9569,10660,10660,12791,12791,6449,6449,6136,6136,13692,13692,14216,14216,35003,35003,6354,6354,5507,5507,7547,7547,20287,20287
3,5380,5380,19856,19856,1689,1689,12684,12684,6966,6966,6022,6022,16496,16496,62897,62897,26248,26248,10542,10542,3426,3426,24716,24716,34350,34350,23912,23912,40028,40028,11111,11111,6543,6543,49838,49838,17862,17862,4865,4865,19702,19702,14757,14757,4599,4599,11128,11128,9314,9314,14109,14109,43288,43288,10149,10149,17631,17631,12368,12368,6890,6890,30448,30448,33911,33911,103150,103150,38426,38426,34511,34511,12047,12047,18303,18303,4274,4274,39676,39676,54469,54469,102418,102418,20973,20973,11531,11531,20207,20207,47206,47206,5778,5778,25661,25661,25364,25364,58014,58014,4608,4608,28528,28528,8348,8348,17660,17660,18443,18443,11729,11729,27315,27315,10090,10090,27477,27477,16365,16365,9051,9051,42816,42816,12881,12881,15580,15580,4301,4301,62422,62422,12465,12465,14294,14294,8698,8698,60540,60540,52212,52212,3631,3631,16630,16630,7805,7805,8365,8365,9551,9551,26380,26380,5263,5263,11493,11493,26054,26054,11749,11749,9549,9549,54187,54187,17917,17917,15855,15855,15549,15549,24001,24001,9130,9130,11534,11534,65921,65921,7496,7496,86957,86957,3772,3772,5976,5976,5953,5953,13231,13231,19690,19690,9005,9005,10506,10506,13019,13019,6394,6394,7080,7080,13618,13618,13427,13427,33021,33021,6160,6160,5322,5322,7932,7932,19810,19810
4,5370,5370,19223,19223,1604,1604,12347,12347,6795,6795,5804,5804,16059,16059,60773,60773,25592,25592,10193,10193,3455,3455,24199,24199,33025,33025,24763,24763,39417,39417,10877,10877,6231,6231,48483,48483,17997,17997,5893,5893,19717,19717,14557,14557,4193,4193,10720,10720,9762,9762,16244,16244,42805,42805,9881,9881,17719,17719,12068,12068,6839,6839,30139,30139,33022,33022,103599,103599,36995,36995,34393,34393,11741,11741,17899,17899,4148,4148,40082,40082,55025,55025,97641,97641,21352,21352,11001,11001,19488,19488,47350,47350,5598,5598,25268,25268,19409,19409,56234,56234,4721,4721,27937,27937,7949,7949,18003,18003,17754,17754,11162,11162,25785,25785,9961,9961,27410,27410,16159,16159,8170,8170,41723,41723,12545,12545,15222,15222,4336,4336,60080,60080,13271,13271,15239,15239,8430,8430,59344,59344,51279,51279,3521,3521,16452,16452,7535,7535,8784,8784,10116,10116,25535,25535,5403,5403,11451,11451,26156,26156,11306,11306,9452,9452,51379,51379,17854,17854,15848,15848,15927,15927,23513,23513,8755,8755,11186,11186,66005,66005,7050,7050,87384,87384,3726,3726,6037,6037,5674,5674,12291,12291,19123,19123,8669,8669,10128,10128,13053,13053,6295,6295,5482,5482,13071,13071,12885,12885,32281,32281,5896,5896,5345,5345,7500,7500,19679,19679
5,5268,5268,19247,19247,1571,1571,11910,11910,6578,6578,6128,6128,16033,16033,60254,60254,24653,24653,9860,9860,4024,4024,23399,23399,31451,31451,25590,25590,37703,37703,10343,10343,5872,5872,47621,47621,17672,17672,10091,10091,20104,20104,15074,15074,4506,4506,10848,10848,9012,9012,23442,23442,42828,42828,9946,9946,18360,18360,11206,11206,6955,6955,31186,31186,33784,33784,108719,108719,36806,36806,35074,35074,11557,11557,18445,18445,4452,4452,41096,41096,56910,56910,94981,94981,21418,21418,10780,10780,19858,19858,47835,47835,5934,5934,24980,24980,18624,18624,56882,56882,4494,4494,26829,26829,7478,7478,17835,17835,17064,17064,10985,10985,25147,25147,9526,9526,27007,27007,16522,16522,10012,10012,41870,41870,12866,12866,15076,15076,4268,4268,58974,58974,13165,13165,16597,16597,9588,9588,57017,57017,48854,48854,3505,3505,16389,16389,7797,7797,8397,8397,9872,9872,24772,24772,5259,5259,11342,11342,25207,25207,11424,11424,9451,9451,49165,49165,16744,16744,15857,15857,14760,14760,22952,22952,8464,8464,10817,10817,64103,64103,6840,6840,88120,88120,3483,3483,5627,5627,5995,5995,11238,11238,17399,17399,8093,8093,10628,10628,12866,12866,5973,5973,7586,7586,13111,13111,12592,12592,31949,31949,6271,6271,5305,5305,7388,7388,20045,20045
6,5205,5205,19202,19202,1644,1644,11812,11812,6141,6141,5747,5747,15999,15999,59784,59784,25010,25010,9424,9424,7283,7283,23024,23024,30032,30032,25597,25597,36119,36119,10200,10200,6026,6026,47848,47848,17879,17879,10677,10677,20254,20254,14439,14439,4493,4493,10555,10555,9267,9267,24769,24769,42621,42621,9836,9836,18059,18059,10665,10665,6817,6817,31259,31259,32489,32489,108316,108316,35282,35282,34972,34972,11441,11441,19102,19102,4280,4280,41400,41400,59470,59470,91891,91891,21185,21185,10441,10441,19862,19862,47329,47329,5722,5722,25586,25586,18437,18437,57613,57613,4580,4580,25595,25595,7304,7304,17547,17547,15603,15603,10779,10779,24119,24119,9886,9886,27414,27414,15921,15921,11400,11400,40524,40524,11940,11940,14222,14222,3991,3991,58413,58413,13494,13494,15744,15744,8649,8649,56236,56236,46650,46650,3517,3517,16243,16243,7322,7322,8633,8633,9675,9675,24406,24406,5345,5345,11649,11649,25785,25785,11048,11048,9195,9195,44906,44906,16682,16682,15681,15681,14908,14908,22372,22372,7973,7973,11058,11058,63657,63657,7166,7166,87301,87301,3291,3291,5328,5328,5664,5664,10896,10896,17969,17969,8342,8342,10549,10549,12559,12559,5600,5600,7027,7027,12904,12904,12458,12458,31475,31475,5876,5876,5267,5267,7457,7457,20037,20037
7,5117,5117,19094,19094,1803,1803,11666,11666,6316,6316,6133,6133,16143,16143,60123,60123,24732,24732,9499,9499,6788,6788,22088,22088,29453,29453,25287,25287,35016,35016,9771,9771,5911,5911,49165,49165,17072,17072,8456,8456,21074,21074,13979,13979,4334,4334,10337,10337,8793,8793,22444,22444,41829,41829,9492,9492,18316,18316,11012,11012,7078,7078,32332,32332,32517,32517,108588,108588,35246,35246,34081,34081,11674,11674,18152,18152,4294,4294,39577,39577,61467,61467,90715,90715,21957,21957,10270,10270,19420,19420,48256,48256,5462,5462,25094,25094,18801,18801,58975,58975,4144,4144,25862,25862,7240,7240,17935,17935,15775,15775,10397,10397,22224,22224,9819,9819,26935,26935,16611,16611,8012,8012,40776,40776,11572,11572,14263,14263,4129,4129,57109,57109,12839,12839,15014,15014,11583,11583,55634,55634,45522,45522,3480,3480,16266,16266,7810,7810,8642,8642,9630,9630,24289,24289,5331,5331,11521,11521,26157,26157,10912,10912,9283,9283,44909,44909,15939,15939,16003,16003,14751,14751,21985,21985,7932,7932,11158,11158,63880,63880,7114,7114,88762,88762,3557,3557,5236,5236,5544,5544,10789,10789,17730,17730,7512,7512,10433,10433,12526,12526,5855,5855,6063,6063,12896,12896,12396,12396,30975,30975,6092,6092,5292,5292,8112,8112,21191,21191
8,4972,4972,19350,19350,1794,1794,11647,11647,5980,5980,5702,5702,15662,15662,60409,60409,24793,24793,8904,8904,6194,6194,21548,21548,28405,28405,25370,25370,33845,33845,10009,10009,6151,6151,48093,48093,17367,17367,7906,7906,21817,21817,14392,14392,4304,4304,9831,9831,9001,9001,21556,21556,40962,40962,9835,9835,17552,17552,9918,9918,7054,7054,33182,33182,31911,31911,110415,110415,35084,35084,35525,35525,11381,11381,19273,19273,4486,4486,44578,44578,62561,62561,87868,87868,21377,21377,10463,10463,19592,19592,48701,48701,5228,5228,25755,25755,18840,18840,59050,59050,4243,4243,24828,24828,7268,7268,18141,18141,15191,15191,10307,10307,19949,19949,9790,9790,26426,26426,17111,17111,8337,8337,40185,40185,11320,11320,14435,14435,4063,4063,55771,55771,13187,13187,15915,15915,9410,9410,53679,53679,43330,43330,3288,3288,15846,15846,7704,7704,8320,8320,9732,9732,23339,23339,5319,5319,11174,11174,26106,26106,10105,10105,8987,8987,41399,41399,15690,15690,15848,15848,14713,14713,22479,22479,7577,7577,10988,10988,62360,62360,7007,7007,89710,89710,3741,3741,5221,5221,5504,5504,10509,10509,17249,17249,7585,7585,10541,10541,11737,11737,5476,5476,8274,8274,12829,12829,12682,12682,30338,30338,5807,5807,5150,5150,7651,7651,20805,20805
9,4861,4861,19556,19556,1692,1692,11863,11863,5763,5763,5910,5910,16223,16223,60487,60487,25004,25004,9281,9281,5579,5579,21343,21343,28299,28299,26402,26402,33344,33344,9681,9681,6071,6071,42565,42565,16998,16998,7740,7740,21841,21841,13963,13963,4311,4311,9586,9586,9024,9024,20904,20904,39542,39542,8846,8846,17392,17392,9939,9939,6622,6622,33892,33892,31586,31586,113729,113729,35582,35582,36633,36633,11156,11156,19251,19251,4520,4520,46148,46148,64181,64181,86042,86042,21807,21807,10499,10499,20116,20116,48894,48894,6937,6937,26267,26267,19239,19239,61962,61962,4130,4130,24341,24341,6859,6859,17778,17778,15131,15131,10660,10660,17384,17384,9841,9841,26327,26327,17015,17015,10491,10491,40016,40016,11592,11592,14145,14145,4245,4245,55237,55237,13102,13102,14927,14927,9029,9029,55440,55440,41311,41311,3787,3787,16509,16509,7926,7926,8344,8344,9875,9875,22283,22283,5274,5274,11696,11696,26448,26448,10289,10289,8888,8888,39788,39788,15389,15389,16206,16206,14630,14630,20850,20850,7718,7718,10858,10858,62067,62067,6937,6937,87694,87694,3432,3432,5087,5087,5602,5602,10673,10673,17652,17652,7956,7956,10720,10720,12125,12125,5627,5627,8037,8037,12472,12472,12868,12868,29912,29912,6093,6093,5168,5168,7777,7777,21313,21313
10,5168,5168,20218,20218,1632,1632,11661,11661,5802,5802,5872,5872,16043,16043,59415,59415,24226,24226,8984,8984,5479,5479,20693,20693,28016,28016,26329,26329,32291,32291,9717,9717,5654,5654,38164,38164,16545,16545,7686,7686,22252,22252,13598,13598,4082,4082,9847,9847,9030,9030,20667,20667,38993,38993,8402,8402,15570,15570,9576,9576,6751,6751,34346,34346,31519,31519,115099,115099,35271,35271,37590,37590,10829,10829,19649,19649,4635,4635,43659,43659,65670,65670,84517,84517,21401,21401,10315,10315,20286,20286,48440,48440,8197,8197,25939,25939,19400,19400,59870,59870,3709,3709,23742,23742,7017,7017,18354,18354,14852,14852,10766,10766,16490,16490,9775,9775,25242,25242,16813,16813,15831,15831,39768,39768,11408,11408,14414,14414,4073,4073,54885,54885,13676,13676,20128,20128,9179,9179,54005,54005,40583,40583,3516,3516,15663,15663,9298,9298,8216,8216,10141,10141,22886,22886,5343,5343,11776,11776,25258,25258,10206,10206,9012,9012,37979,37979,15108,15108,15993,15993,14066,14066,21029,21029,7978,7978,11072,11072,60747,60747,6840,6840,89781,89781,3408,3408,5325,5325,5554,5554,10635,10635,17110,17110,7835,7835,10587,10587,11475,11475,5258,5258,5475,5475,12655,12655,12636,12636,28848,28848,6141,6141,5185,5185,8248,8248,21432,21432
