 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88
1,20246,20246,33154,33154,34583,34583,21276,21276,13783,13783,42351,42351,14077,14077,22809,22809,36298,36298,52155,52155,45191,45191,19841,19841,11300,11300,17359,17359,174827,174827,14038,14038,15947,15947,12924,12924,90139,90139,5269,5269,15946,15946,29571,29571,32381,32381,16092,16092,30915,30915,70589,70589,8604,8604,7344,7344,51131,51131,29186,29186,13907,13907,30879,30879,23683,23683,17720,17720,38317,38317,30264,30264,21888,21888,37191,37191,37755,37755,12132,12132,22254,22254,25003,25003,142731,142731,24763,24763,47632,47632,9984,9984,5810,5810,55875,55875,16906,16906,25361,25361,1483,1483,40507,40507,131415,131415,21239,21239,16924,16924,31416,31416,75903,75903,18780,18780,25617,25617,46709,46709,84012,84012,2831,2831,21290,21290,35036,35036,1987,1987,3967,3967,17562,17562,25206,25206,24939,24939,2134,2134,27907,27907,25034,25034,14945,14945,14198,14198,19673,19673,19938,19938,7489,7489,3785,3785,16285,16285,21086,21086,9766,9766,9222,9222,71433,71433,4430,4430,1821,1821,19763,19763,13453,13453,30263,30263
2,19956,19956,32058,32058,33902,33902,21829,21829,13717,13717,41314,41314,14490,14490,23343,23343,35323,35323,54039,54039,45392,45392,19203,19203,10794,10794,16319,16319,174474,174474,13597,13597,15883,15883,12588,12588,82908,82908,5269,5269,15035,15035,29304,29304,32295,32295,15347,15347,31254,31254,68570,68570,8109,8109,7063,7063,48973,48973,28225,28225,13861,13861,30029,30029,22626,22626,16655,16655,37381,37381,30013,30013,21108,21108,31915,31915,38181,38181,12297,12297,21389,21389,25157,25157,151589,151589,24634,24634,36098,36098,10408,10408,5766,5766,46978,46978,16820,16820,25100,25100,1450,1450,39063,39063,85188,85188,20132,20132,16587,16587,30633,30633,64594,64594,20602,20602,23821,23821,38196,38196,54898,54898,2773,2773,21658,21658,31440,31440,1889,1889,4193,4193,15229,15229,24544,24544,25554,25554,2213,2213,26567,26567,23702,23702,14638,14638,14190,14190,19367,19367,19042,19042,7178,7178,3658,3658,15683,15683,21093,21093,9469,9469,8725,8725,76307,76307,4351,4351,2243,2243,19100,19100,13230,13230,29785,29785
3,20466,20466,32324,32324,34563,34563,21519,21519,14107,14107,41290,41290,14440,14440,22849,22849,35752,35752,55569,55569,44561,44561,19545,19545,11389,11389,15861,15861,174038,174038,13354,13354,16128,16128,12341,12341,75273,75273,5342,5342,15052,15052,28641,28641,31896,31896,15218,15218,31300,31300,69847,69847,8436,8436,6607,6607,47078,47078,27339,27339,13589,13589,30573,30573,21114,21114,14481,14481,36671,36671,30071,30071,20305,20305,28869,28869,37105,37105,12035,12035,21337,21337,24377,24377,158674,158674,23578,23578,29000,29000,10085,10085,5714,5714,41492,41492,16403,16403,25210,25210,1391,1391,38353,38353,78683,78683,19741,19741,16365,16365,30543,30543,67198,67198,21288,21288,22223,22223,32257,32257,48962,48962,2592,2592,21862,21862,26970,26970,1968,1968,4089,4089,13594,13594,23697,23697,24318,24318,1858,1858,26253,26253,22403,22403,14505,14505,14607,14607,18317,18317,18675,18675,7022,7022,3662,3662,15282,15282,19996,19996,9460,9460,8912,8912,77425,77425,4907,4907,2194,2194,20107,20107,12823,12823,28642,28642
4,19791,19791,32975,32975,33478,33478,21319,21319,14282,14282,40633,40633,14178,14178,22459,22459,35029,35029,59323,59323,43721,43721,18712,18712,10890,10890,14197,14197,170507,170507,13529,13529,15921,15921,12075,12075,65684,65684,5291,5291,14705,14705,28823,28823,31260,31260,15214,15214,30389,30389,55936,55936,8059,8059,6820,6820,46643,46643,26565,26565,13739,13739,29376,29376,20328,20328,13693,13693,36823,36823,29467,29467,20403,20403,26525,26525,37350,37350,11451,11451,21405,21405,23934,23934,168021,168021,23922,23922,28393,28393,10186,10186,5329,5329,39563,39563,18583,18583,24603,24603,1510,1510,38195,38195,77487,77487,18922,18922,16193,16193,29620,29620,74812,74812,23291,23291,21481,21481,31959,31959,48259,48259,2611,2611,22547,22547,24878,24878,1823,1823,4150,4150,13393,13393,22773,22773,23676,23676,1919,1919,25460,25460,21416,21416,14492,14492,14391,14391,18135,18135,18155,18155,6958,6958,3925,3925,15113,15113,19732,19732,9873,9873,8639,8639,75835,75835,4714,4714,2057,2057,18440,18440,12551,12551,27957,27957
5,20634,20634,32098,32098,33522,33522,21224,21224,14158,14158,39836,39836,13944,13944,22612,22612,35275,35275,65240,65240,44118,44118,19127,19127,11142,11142,13566,13566,171524,171524,13593,13593,16017,16017,11844,11844,56642,56642,5172,5172,13715,13715,28458,28458,30899,30899,15494,15494,29685,29685,41391,41391,7977,7977,6532,6532,45883,45883,25026,25026,13050,13050,27151,27151,20130,20130,13778,13778,36884,36884,29931,29931,20354,20354,23116,23116,37395,37395,11519,11519,21217,21217,24406,24406,175961,175961,22913,22913,29258,29258,10287,10287,5317,5317,44774,44774,18994,18994,24424,24424,1302,1302,37627,37627,74924,74924,18963,18963,16366,16366,30557,30557,77192,77192,25665,25665,22418,22418,33206,33206,47976,47976,2874,2874,24174,24174,25329,25329,1771,1771,4129,4129,12837,12837,21765,21765,23694,23694,1911,1911,24614,24614,21101,21101,14263,14263,14580,14580,17685,17685,17789,17789,6814,6814,3708,3708,15018,15018,19648,19648,9874,9874,8844,8844,74275,74275,4801,4801,2297,2297,18037,18037,12158,12158,25896,25896
6,20756,20756,32778,32778,35137,35137,21359,21359,14231,14231,40146,40146,14495,14495,23484,23484,35261,35261,71496,71496,43581,43581,18857,18857,11418,11418,12889,12889,169430,169430,13596,13596,16154,16154,12156,12156,49725,49725,5056,5056,13485,13485,29116,29116,30517,30517,15753,15753,29879,29879,33435,33435,8073,8073,6502,6502,45235,45235,25127,25127,12953,12953,25442,25442,19722,19722,12588,12588,37238,37238,29687,29687,19854,19854,21548,21548,37671,37671,11234,11234,20667,20667,24166,24166,180373,180373,23691,23691,30862,30862,10249,10249,5392,5392,58450,58450,18606,18606,25075,25075,1320,1320,37681,37681,74130,74130,18443,18443,15589,15589,30066,30066,79129,79129,28931,28931,21345,21345,38758,38758,47718,47718,2614,2614,27838,27838,24769,24769,1814,1814,4172,4172,12680,12680,21417,21417,23482,23482,1759,1759,24912,24912,20894,20894,14555,14555,14360,14360,18420,18420,17984,17984,6526,6526,3794,3794,14769,14769,19139,19139,9717,9717,8746,8746,73393,73393,5073,5073,2284,2284,18316,18316,12318,12318,25209,25209
7,21274,21274,33034,33034,34130,34130,22042,22042,14082,14082,40176,40176,14370,14370,23152,23152,34928,34928,75935,75935,44771,44771,18684,18684,11185,11185,11571,11571,170055,170055,12971,12971,16102,16102,12054,12054,43678,43678,5263,5263,13347,13347,28896,28896,30091,30091,19962,19962,29957,29957,30001,30001,7838,7838,6802,6802,44878,44878,24240,24240,12806,12806,24460,24460,19204,19204,12539,12539,37098,37098,29370,29370,19997,19997,20531,20531,38769,38769,11258,11258,21423,21423,24093,24093,187671,187671,23774,23774,35852,35852,10166,10166,5258,5258,63240,63240,18794,18794,23944,23944,1426,1426,37229,37229,74887,74887,18854,18854,16172,16172,29710,29710,80264,80264,32929,32929,21409,21409,45302,45302,47471,47471,2528,2528,27527,27527,24410,24410,1917,1917,3881,3881,12682,12682,21076,21076,22828,22828,1696,1696,24094,24094,20582,20582,14261,14261,14232,14232,17531,17531,17632,17632,6658,6658,3897,3897,15091,15091,18929,18929,10158,10158,8842,8842,73196,73196,4921,4921,2146,2146,17856,17856,12740,12740,24103,24103
8,20750,20750,32639,32639,35534,35534,21555,21555,14169,14169,40414,40414,14387,14387,23385,23385,35373,35373,80980,80980,45682,45682,19170,19170,11594,11594,11535,11535,167986,167986,12997,12997,16096,16096,11636,11636,39085,39085,5232,5232,13156,13156,29094,29094,29900,29900,24418,24418,29425,29425,28515,28515,7675,7675,6772,6772,45061,45061,23795,23795,12741,12741,23456,23456,19221,19221,12262,12262,36784,36784,29581,29581,19884,19884,19694,19694,38103,38103,10937,10937,21004,21004,24641,24641,192530,192530,23627,23627,45124,45124,10422,10422,5190,5190,63841,63841,19562,19562,24906,24906,2143,2143,38181,38181,73712,73712,18801,18801,16064,16064,30058,30058,81582,81582,34260,34260,22998,22998,46778,46778,47402,47402,2650,2650,27193,27193,24387,24387,1863,1863,4187,4187,13062,13062,20645,20645,23034,23034,1609,1609,23957,23957,20410,20410,14422,14422,14418,14418,17287,17287,17206,17206,6478,6478,3812,3812,14823,14823,18720,18720,9864,9864,8859,8859,77433,77433,4887,4887,2019,2019,18034,18034,12312,12312,23129,23129
9,20825,20825,33346,33346,34263,34263,22019,22019,14346,14346,39934,39934,14553,14553,24025,24025,35518,35518,85279,85279,46621,46621,19025,19025,11152,11152,10222,10222,167440,167440,13714,13714,16267,16267,11450,11450,34189,34189,5268,5268,12873,12873,28870,28870,29650,29650,22485,22485,28410,28410,29520,29520,8215,8215,6804,6804,45096,45096,23410,23410,12627,12627,22625,22625,19104,19104,12763,12763,36502,36502,30642,30642,20275,20275,19262,19262,38800,38800,10763,10763,20998,20998,24770,24770,198183,198183,23711,23711,48550,48550,10778,10778,5266,5266,63623,63623,20050,20050,24755,24755,2516,2516,36881,36881,84639,84639,18229,18229,16121,16121,30421,30421,82032,82032,35995,35995,23539,23539,46403,46403,47430,47430,2522,2522,27617,27617,24213,24213,1808,1808,4178,4178,12863,12863,20352,20352,22671,22671,1657,1657,23411,23411,20150,20150,14621,14621,14825,14825,17415,17415,18220,18220,6900,6900,3858,3858,14659,14659,18562,18562,10075,10075,9240,9240,86020,86020,4887,4887,2273,2273,17889,17889,12502,12502,22230,22230
10,20596,20596,33106,33106,34529,34529,22450,22450,14549,14549,40583,40583,14587,14587,23535,23535,35420,35420,87157,87157,47283,47283,19213,19213,11005,11005,9737,9737,166068,166068,13526,13526,15647,15647,11217,11217,29973,29973,4958,4958,12787,12787,29766,29766,30222,30222,22061,22061,27906,27906,29691,29691,7974,7974,6521,6521,44156,44156,23580,23580,12677,12677,21478,21478,19094,19094,12911,12911,36735,36735,29860,29860,19949,19949,18882,18882,39179,39179,10851,10851,20893,20893,24055,24055,203436,203436,23366,23366,52103,52103,10447,10447,5358,5358,64755,64755,20706,20706,24525,24525,2418,2418,37097,37097,151258,151258,18405,18405,15811,15811,30902,30902,84046,84046,36780,36780,21337,21337,49169,49169,54965,54965,2952,2952,27672,27672,22971,22971,1724,1724,3954,3954,12422,12422,21011,21011,21756,21756,1720,1720,23593,23593,20065,20065,14439,14439,14198,14198,17290,17290,17567,17567,6722,6722,4176,4176,14408,14408,18477,18477,10006,10006,8995,8995,94402,94402,5224,5224,2300,2300,17694,17694,12245,12245,21033,21033
