 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155
1,65414,65414,49156,49156,29018,29018,20451,20451,197805,197805,49666,49666,18472,18472,107208,107208,31918,31918,34805,34805,132613,132613,152171,152171,260796,260796,33597,33597,93065,93065,135410,135410,124422,124422,36493,36493,66412,66412,83040,83040,77025,77025,93337,93337,195876,195876,22998,22998,137862,137862,38304,38304,109334,109334,28791,28791,33541,33541,104447,104447,37374,37374,48487,48487,23064,23064,18934,18934,33216,33216,113914,113914,47307,47307,68114,68114,184659,184659,302313,302313,80454,80454,84413,84413,83994,83994,28894,28894,46574,46574,70145,70145,76209,76209,38158,38158,41609,41609,80099,80099,127520,127520,191036,191036,10507,10507,120760,120760,111297,111297,84875,84875,104813,104813,30632,30632,77248,77248,13038,13038,45276,45276,111123,111123,53098,53098,72501,72501,186509,186509,62547,62547,24916,24916,68911,68911,23805,23805,21745,21745,24564,24564,31872,31872,59203,59203,48171,48171,119390,119390,119204,119204,19964,19964,39156,39156,37768,37768,24960,24960,33205,33205,100418,100418,24494,24494,16113,16113,33001,33001,23553,23553,84412,84412,29909,29909,24774,24774,51144,51144,40371,40371,37866,37866,87801,87801,48849,48849,26404,26404,48736,48736,87384,87384,232678,232678,51795,51795,34638,34638,8461,8461,101214,101214,57349,57349,33883,33883,43699,43699,51554,51554,27759,27759,64558,64558,41441,41441,42279,42279,102295,102295,127619,127619,73207,73207,82789,82789,53001,53001,28443,28443,59256,59256,11781,11781,166243,166243,16223,16223,12949,12949,17392,17392,148603,148603,203520,203520,44301,44301,226044,226044,42107,42107,113624,113624,51012,51012,53150,53150,68205,68205,25776,25776,53668,53668,27517,27517,42952,42952,25570,25570,19765,19765,23442,23442,47285,47285,114766,114766,10657,10657,54216,54216,76997,76997,42429,42429,22825,22825,38232,38232,61442,61442,30450,30450,52043,52043,14286,14286,24419,24419,12697,12697,4105,4105,20445,20445,17776,17776
2,62972,62972,47141,47141,31036,31036,17544,17544,181579,181579,48799,48799,19213,19213,104084,104084,32113,32113,34991,34991,126304,126304,138986,138986,257914,257914,30699,30699,92383,92383,134661,134661,111379,111379,32935,32935,63501,63501,81767,81767,70079,70079,88400,88400,173849,173849,25570,25570,134696,134696,40320,40320,106627,106627,27500,27500,33190,33190,98440,98440,40292,40292,48945,48945,21649,21649,21352,21352,33974,33974,102185,102185,43657,43657,74022,74022,178317,178317,298193,298193,81183,81183,83426,83426,78824,78824,30942,30942,49710,49710,65153,65153,68854,68854,36884,36884,37928,37928,81668,81668,124648,124648,186979,186979,11226,11226,128160,128160,109974,109974,89924,89924,103016,103016,31506,31506,76591,76591,12254,12254,45311,45311,108114,108114,54579,54579,72425,72425,193066,193066,54430,54430,24132,24132,70912,70912,25209,25209,22142,22142,24795,24795,33390,33390,61475,61475,49207,49207,111677,111677,123234,123234,15276,15276,38740,38740,37712,37712,24674,24674,37842,37842,106086,106086,25168,25168,16772,16772,36872,36872,25176,25176,80937,80937,30124,30124,25830,25830,51981,51981,46787,46787,38128,38128,96143,96143,52305,52305,28087,28087,52635,52635,87849,87849,241512,241512,54000,54000,36607,36607,9343,9343,106839,106839,58554,58554,34773,34773,45366,45366,61089,61089,27723,27723,67419,67419,44083,44083,45923,45923,101865,101865,129157,129157,73401,73401,88733,88733,52861,52861,31114,31114,58110,58110,12264,12264,177000,177000,16393,16393,12585,12585,19121,19121,148761,148761,222226,222226,44414,44414,232954,232954,44028,44028,120105,120105,57510,57510,55720,55720,70437,70437,26903,26903,55906,55906,31367,31367,42039,42039,26328,26328,19880,19880,22559,22559,48585,48585,114321,114321,11165,11165,52855,52855,84980,84980,43338,43338,23978,23978,40101,40101,62644,62644,31474,31474,56288,56288,15595,15595,25221,25221,13660,13660,4483,4483,22025,22025,18714,18714
3,62796,62796,46649,46649,34032,34032,15963,15963,169413,169413,51967,51967,19733,19733,101223,101223,33469,33469,32999,32999,123670,123670,132473,132473,253259,253259,29763,29763,88673,88673,132604,132604,104949,104949,30792,30792,61778,61778,82415,82415,65111,65111,86898,86898,154538,154538,23653,23653,132152,132152,42710,42710,106377,106377,27586,27586,31667,31667,94080,94080,41227,41227,49457,49457,21195,21195,25537,25537,34590,34590,94283,94283,40970,40970,74562,74562,173712,173712,294307,294307,83056,83056,85218,85218,75984,75984,36861,36861,55061,55061,61941,61941,62812,62812,36141,36141,34693,34693,82940,82940,119491,119491,179945,179945,12366,12366,131118,131118,108447,108447,92675,92675,102759,102759,33305,33305,78223,78223,12075,12075,44712,44712,107502,107502,56478,56478,72080,72080,197825,197825,48637,48637,24056,24056,71603,71603,26186,26186,23164,23164,23829,23829,33853,33853,63076,63076,50494,50494,104739,104739,124599,124599,12812,12812,40252,40252,37971,37971,24914,24914,43953,43953,111195,111195,29861,29861,18271,18271,38742,38742,25840,25840,77651,77651,30794,30794,27424,27424,52684,52684,52346,52346,38502,38502,109367,109367,53221,53221,29120,29120,54891,54891,86100,86100,246892,246892,54206,54206,38667,38667,9506,9506,111689,111689,57092,57092,35730,35730,46915,46915,70366,70366,28835,28835,70545,70545,43616,43616,52246,52246,103633,103633,141594,141594,72332,72332,92976,92976,53838,53838,32271,32271,56925,56925,12466,12466,189246,189246,17023,17023,12097,12097,20878,20878,147600,147600,241296,241296,42919,42919,238079,238079,47010,47010,126939,126939,68211,68211,53827,53827,72000,72000,27165,27165,59362,59362,33879,33879,41470,41470,27024,27024,21253,21253,22719,22719,48771,48771,115454,115454,11837,11837,53337,53337,91133,91133,45067,45067,24856,24856,39685,39685,65916,65916,31922,31922,59003,59003,16400,16400,25771,25771,14086,14086,4686,4686,23050,23050,19274,19274
4,61149,61149,46929,46929,35923,35923,14685,14685,156856,156856,52202,52202,21090,21090,98722,98722,37303,37303,32280,32280,119843,119843,122901,122901,248746,248746,30017,30017,85965,85965,130309,130309,101094,101094,28591,28591,59944,59944,80796,80796,59975,59975,85003,85003,140382,140382,22349,22349,128442,128442,45125,45125,106510,106510,26549,26549,30094,30094,90926,90926,41867,41867,49949,49949,20841,20841,25872,25872,33600,33600,86273,86273,39186,39186,73630,73630,165041,165041,291723,291723,83940,83940,85514,85514,71520,71520,38113,38113,64787,64787,59908,59908,57515,57515,35582,35582,33282,33282,85546,85546,113922,113922,172707,172707,11680,11680,134172,134172,108267,108267,95465,95465,104136,104136,34265,34265,79411,79411,10804,10804,45497,45497,106285,106285,57656,57656,72969,72969,198429,198429,45492,45492,24296,24296,74023,74023,26917,26917,23940,23940,24362,24362,33573,33573,63221,63221,53078,53078,98707,98707,126649,126649,12252,12252,41420,41420,38655,38655,25194,25194,46956,46956,116516,116516,37942,37942,19195,19195,40937,40937,27449,27449,74023,74023,31268,31268,27699,27699,53473,53473,54303,54303,40105,40105,118859,118859,54688,54688,31715,31715,56694,56694,84952,84952,250726,250726,55782,55782,39159,39159,10037,10037,116284,116284,58171,58171,36300,36300,49007,49007,71874,71874,29739,29739,71510,71510,45532,45532,60712,60712,103479,103479,147506,147506,70893,70893,97558,97558,54711,54711,34732,34732,55691,55691,12991,12991,198809,198809,17437,17437,11717,11717,21195,21195,147944,147944,255774,255774,40578,40578,242005,242005,50082,50082,128530,128530,84607,84607,52259,52259,72485,72485,27818,27818,62666,62666,34085,34085,41060,41060,27302,27302,21329,21329,23250,23250,53266,53266,115311,115311,12164,12164,56143,56143,97751,97751,46803,46803,25194,25194,38442,38442,66583,66583,32540,32540,61432,61432,17545,17545,26823,26823,14380,14380,4812,4812,23074,23074,20253,20253
5,61049,61049,47516,47516,37813,37813,14107,14107,146409,146409,52539,52539,21744,21744,94693,94693,39949,39949,30368,30368,116194,116194,116392,116392,243290,243290,29321,29321,81556,81556,130460,130460,97479,97479,28017,28017,57178,57178,79691,79691,57287,57287,81910,81910,130711,130711,21246,21246,125722,125722,46893,46893,102550,102550,26560,26560,29907,29907,86517,86517,43531,43531,50616,50616,20246,20246,26293,26293,32671,32671,80570,80570,38069,38069,75012,75012,160853,160853,287046,287046,82787,82787,86046,86046,68836,68836,37085,37085,73590,73590,57873,57873,53444,53444,34919,34919,30926,30926,88348,88348,108753,108753,167304,167304,12386,12386,138397,138397,104112,104112,95964,95964,104589,104589,35181,35181,79349,79349,10527,10527,44153,44153,104098,104098,57334,57334,73394,73394,197182,197182,41887,41887,23885,23885,75122,75122,26408,26408,23586,23586,24578,24578,32806,32806,63394,63394,53845,53845,92265,92265,126069,126069,12002,12002,42313,42313,38347,38347,24527,24527,48773,48773,119670,119670,39726,39726,19469,19469,41202,41202,27869,27869,71225,71225,32519,32519,27780,27780,53429,53429,56134,56134,41221,41221,121069,121069,55827,55827,32033,32033,58349,58349,85012,85012,250849,250849,57574,57574,40688,40688,10115,10115,120877,120877,58076,58076,37173,37173,50030,50030,72923,72923,30003,30003,71716,71716,45188,45188,77134,77134,104947,104947,150225,150225,71413,71413,102546,102546,53872,53872,35795,35795,55717,55717,13131,13131,206239,206239,17305,17305,11324,11324,22829,22829,147139,147139,266052,266052,35539,35539,243355,243355,51587,51587,133918,133918,98524,98524,52582,52582,74091,74091,28075,28075,65891,65891,35088,35088,41107,41107,27855,27855,21640,21640,23818,23818,55345,55345,113942,113942,12343,12343,60080,60080,101665,101665,49188,49188,25826,25826,35764,35764,67283,67283,32871,32871,64346,64346,19741,19741,26565,26565,14297,14297,5013,5013,23698,23698,20916,20916
6,62781,62781,48006,48006,39323,39323,12594,12594,137720,137720,54483,54483,22267,22267,92870,92870,40377,40377,29726,29726,113043,113043,112117,112117,237290,237290,29653,29653,78698,78698,126253,126253,93901,93901,26960,26960,55642,55642,78954,78954,54835,54835,82839,82839,123121,123121,20866,20866,124998,124998,48900,48900,101839,101839,27057,27057,28083,28083,82989,82989,43387,43387,50920,50920,20581,20581,26457,26457,32390,32390,76249,76249,35527,35527,73297,73297,154458,154458,281443,281443,81641,81641,86178,86178,65822,65822,36499,36499,82579,82579,57394,57394,49482,49482,34361,34361,29303,29303,94272,94272,105086,105086,162839,162839,12125,12125,139519,139519,104081,104081,97018,97018,104937,104937,35051,35051,76995,76995,10157,10157,42011,42011,101450,101450,58667,58667,73395,73395,198595,198595,39638,39638,24099,24099,73774,73774,27163,27163,24749,24749,24525,24525,32268,32268,64135,64135,59177,59177,87669,87669,127400,127400,11546,11546,42065,42065,38071,38071,25145,25145,50112,50112,122384,122384,40015,40015,19724,19724,43849,43849,28067,28067,69308,69308,32314,32314,26733,26733,54167,54167,57456,57456,41909,41909,125908,125908,57232,57232,33589,33589,60589,60589,83891,83891,253563,253563,58713,58713,40943,40943,10777,10777,119080,119080,56750,56750,37407,37407,50714,50714,74224,74224,30793,30793,72497,72497,46606,46606,89053,89053,103838,103838,150988,150988,69977,69977,104624,104624,55607,55607,36944,36944,56075,56075,13270,13270,211211,211211,18086,18086,11229,11229,23437,23437,147668,147668,272665,272665,29642,29642,247089,247089,53229,53229,136070,136070,106880,106880,52935,52935,74000,74000,28408,28408,70110,70110,36455,36455,40465,40465,25559,25559,22457,22457,23971,23971,55306,55306,113023,113023,12966,12966,62350,62350,109682,109682,51630,51630,25979,25979,33718,33718,68378,68378,32472,32472,67070,67070,21203,21203,27364,27364,14534,14534,5159,5159,24058,24058,21144,21144
7,61332,61332,50419,50419,41426,41426,12120,12120,132702,132702,55009,55009,23624,23624,92592,92592,39056,39056,28816,28816,110662,110662,110974,110974,235668,235668,28881,28881,76061,76061,126221,126221,92144,92144,26655,26655,54344,54344,77380,77380,53933,53933,81756,81756,117993,117993,19813,19813,122289,122289,50780,50780,102532,102532,26204,26204,28190,28190,79940,79940,43619,43619,51918,51918,20908,20908,26224,26224,31802,31802,72747,72747,35184,35184,74176,74176,151442,151442,278252,278252,83781,83781,88617,88617,65084,65084,36013,36013,90256,90256,56880,56880,47464,47464,33508,33508,28911,28911,98043,98043,101010,101010,160016,160016,11912,11912,141061,141061,102953,102953,99060,99060,104493,104493,36772,36772,77817,77817,9913,9913,40940,40940,101999,101999,58493,58493,74176,74176,198266,198266,38201,38201,23659,23659,73621,73621,26953,26953,25353,25353,24697,24697,32139,32139,63176,63176,63265,63265,83585,83585,128925,128925,11432,11432,41696,41696,37983,37983,24876,24876,51676,51676,122934,122934,40246,40246,19912,19912,44626,44626,28456,28456,67981,67981,33443,33443,26965,26965,55081,55081,59198,59198,44293,44293,127414,127414,57532,57532,34898,34898,62637,62637,84486,84486,257771,257771,60668,60668,42292,42292,10689,10689,121584,121584,57188,57188,38091,38091,51754,51754,75574,75574,31583,31583,73395,73395,46763,46763,95315,95315,105877,105877,150737,150737,68729,68729,107236,107236,56690,56690,37847,37847,56137,56137,13666,13666,220006,220006,18120,18120,11318,11318,24138,24138,145249,145249,278973,278973,26142,26142,246571,246571,56760,56760,140328,140328,113198,113198,53891,53891,75748,75748,29557,29557,75368,75368,37482,37482,40674,40674,25382,25382,22764,22764,24044,24044,53798,53798,112782,112782,13068,13068,63404,63404,112577,112577,52836,52836,26797,26797,33206,33206,69155,69155,32709,32709,69031,69031,20477,20477,28001,28001,15003,15003,5351,5351,24656,24656,22464,22464
8,58476,58476,52338,52338,42955,42955,11625,11625,129455,129455,55979,55979,27285,27285,91299,91299,39168,39168,28746,28746,109381,109381,105240,105240,230588,230588,29572,29572,73452,73452,123418,123418,90632,90632,26821,26821,54225,54225,76691,76691,51445,51445,80470,80470,113908,113908,20117,20117,118202,118202,52919,52919,102051,102051,25993,25993,27599,27599,75945,75945,44325,44325,51816,51816,20356,20356,26379,26379,32475,32475,70203,70203,34298,34298,74207,74207,146257,146257,277614,277614,83091,83091,91577,91577,62727,62727,35832,35832,91335,91335,56602,56602,44949,44949,33134,33134,27391,27391,98393,98393,98547,98547,157689,157689,11911,11911,140163,140163,102291,102291,99631,99631,105402,105402,36560,36560,76443,76443,9696,9696,40423,40423,101017,101017,56792,56792,74129,74129,196932,196932,36781,36781,23969,23969,74684,74684,27035,27035,25685,25685,24641,24641,32221,32221,63226,63226,67423,67423,79719,79719,130013,130013,11531,11531,41375,41375,37959,37959,24658,24658,52100,52100,126334,126334,40890,40890,19820,19820,46132,46132,28430,28430,65457,65457,33534,33534,26898,26898,54772,54772,61427,61427,46220,46220,130463,130463,57383,57383,36380,36380,62881,62881,83523,83523,262441,262441,61900,61900,42546,42546,11115,11115,123014,123014,57266,57266,38106,38106,52533,52533,77619,77619,32035,32035,75359,75359,46733,46733,100621,100621,105463,105463,152166,152166,68084,68084,109672,109672,57277,57277,40672,40672,56346,56346,13558,13558,227662,227662,18421,18421,10836,10836,25200,25200,145382,145382,288243,288243,23787,23787,249996,249996,59248,59248,142403,142403,118954,118954,56758,56758,76550,76550,29436,29436,82491,82491,38663,38663,40583,40583,24667,24667,23122,23122,24359,24359,54929,54929,110837,110837,13702,13702,63718,63718,115870,115870,53283,53283,27079,27079,34057,34057,70022,70022,33784,33784,71147,71147,20249,20249,28426,28426,15451,15451,5632,5632,25291,25291,22206,22206
9,57737,57737,54162,54162,43530,43530,11838,11838,125113,125113,56127,56127,29267,29267,89933,89933,38943,38943,27671,27671,107191,107191,105509,105509,227491,227491,29275,29275,70186,70186,122118,122118,90868,90868,26019,26019,52795,52795,74723,74723,50643,50643,80907,80907,114311,114311,19808,19808,118213,118213,54187,54187,100226,100226,26366,26366,26987,26987,73067,73067,44858,44858,52830,52830,20135,20135,26050,26050,31917,31917,68107,68107,33484,33484,75450,75450,143403,143403,272319,272319,82983,82983,94764,94764,61135,61135,35409,35409,92380,92380,55965,55965,43146,43146,32662,32662,27014,27014,98204,98204,96944,96944,155897,155897,11764,11764,142347,142347,100271,100271,98230,98230,105767,105767,36585,36585,78129,78129,9596,9596,38900,38900,100816,100816,55446,55446,75702,75702,196734,196734,36139,36139,23383,23383,75618,75618,27977,27977,25619,25619,24318,24318,31293,31293,62937,62937,72843,72843,78569,78569,130746,130746,12154,12154,39998,39998,37909,37909,24788,24788,53633,53633,127623,127623,40734,40734,19186,19186,46952,46952,29015,29015,63883,63883,33685,33685,26475,26475,54378,54378,62728,62728,47832,47832,131720,131720,57937,57937,36433,36433,65033,65033,82489,82489,273615,273615,62741,62741,43133,43133,10952,10952,124992,124992,57497,57497,38655,38655,53447,53447,77916,77916,32208,32208,75720,75720,47548,47548,104062,104062,106681,106681,153346,153346,68550,68550,111394,111394,57734,57734,42807,42807,56932,56932,13882,13882,232225,232225,18446,18446,10742,10742,25183,25183,145299,145299,293383,293383,23148,23148,250884,250884,60964,60964,145776,145776,123095,123095,58279,58279,77716,77716,30196,30196,91217,91217,40009,40009,39865,39865,24213,24213,23593,23593,24673,24673,57715,57715,109456,109456,13630,13630,65563,65563,117355,117355,54451,54451,28056,28056,35864,35864,70113,70113,33662,33662,72394,72394,19590,19590,29132,29132,15977,15977,5451,5451,26053,26053,22658,22658
10,56790,56790,55925,55925,45455,45455,11669,11669,124898,124898,56827,56827,29215,29215,90553,90553,38162,38162,27285,27285,106845,106845,105289,105289,223307,223307,29437,29437,68230,68230,119353,119353,90036,90036,25840,25840,50991,50991,73592,73592,50509,50509,78554,78554,111749,111749,19542,19542,116798,116798,56480,56480,101753,101753,26037,26037,27049,27049,72151,72151,44764,44764,53286,53286,20750,20750,26358,26358,31717,31717,66183,66183,33292,33292,74264,74264,141452,141452,272173,272173,81712,81712,95883,95883,60551,60551,35499,35499,92156,92156,56005,56005,42576,42576,32524,32524,26844,26844,98677,98677,94867,94867,156211,156211,11946,11946,141880,141880,100847,100847,97338,97338,104040,104040,37656,37656,76658,76658,9578,9578,38014,38014,102401,102401,55109,55109,75950,75950,194163,194163,35761,35761,23281,23281,74457,74457,28217,28217,26095,26095,24097,24097,31708,31708,62680,62680,79822,79822,76302,76302,131351,131351,12003,12003,39535,39535,38305,38305,24991,24991,53682,53682,128383,128383,41201,41201,19150,19150,48217,48217,28766,28766,61168,61168,34532,34532,26845,26845,54851,54851,63759,63759,49783,49783,133380,133380,57848,57848,36281,36281,66532,66532,80546,80546,289490,289490,62777,62777,43764,43764,11235,11235,123380,123380,57343,57343,38408,38408,54173,54173,77567,77567,32190,32190,76366,76366,48204,48204,107712,107712,109271,109271,153138,153138,66594,66594,112996,112996,58974,58974,45425,45425,56750,56750,14558,14558,238192,238192,18868,18868,10008,10008,25706,25706,145044,145044,298138,298138,23398,23398,250998,250998,63354,63354,146018,146018,125399,125399,58684,58684,78314,78314,29703,29703,100295,100295,41359,41359,41621,41621,24014,24014,23676,23676,24482,24482,58534,58534,110146,110146,13729,13729,65513,65513,120488,120488,55536,55536,27948,27948,36699,36699,71821,71821,34119,34119,73933,73933,18762,18762,29305,29305,16611,16611,5582,5582,26476,26476,23292,23292
