 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73
1,7700,7700,24690,24690,114318,114318,18238,18238,45897,45897,36876,36876,6025,6025,484,484,22351,22351,45409,45409,63333,63333,28328,28328,18840,18840,30587,30587,35731,35731,26978,26978,45657,45657,4389,4389,71891,71891,2083,2083,40398,40398,28133,28133,24548,24548,36583,36583,9931,9931,33291,33291,19852,19852,121692,121692,23569,23569,2507,2507,31917,31917,18221,18221,4890,4890,71595,71595,130303,130303,151578,151578,3745,3745,3755,3755,127008,127008,9368,9368,11646,11646,5059,5059,10202,10202,118075,118075,46044,46044,13635,13635,7096,7096,11144,11144,4868,4868,6152,6152,11582,11582,58111,58111,5085,5085,20077,20077,94789,94789,3935,3935,17687,17687,23452,23452,83563,83563,18856,18856,127375,127375,27424,27424,66969,66969,15730,15730,19660,19660,10877,10877,47647,47647,5217,5217,10359,10359,16420,16420,8015,8015,6658,6658,9340,9340
2,9238,9238,24028,24028,110030,110030,18463,18463,42986,42986,35652,35652,5843,5843,535,535,21138,21138,45149,45149,62219,62219,28568,28568,19152,19152,30643,30643,34768,34768,26094,26094,37013,37013,4317,4317,71537,71537,2533,2533,38781,38781,27640,27640,24025,24025,32886,32886,10546,10546,22561,22561,20466,20466,101264,101264,23131,23131,2201,2201,32569,32569,17616,17616,4961,4961,77696,77696,130286,130286,153070,153070,4142,4142,3714,3714,131192,131192,8579,8579,11363,11363,5165,5165,10288,10288,149081,149081,45239,45239,13638,13638,7329,7329,11101,11101,4954,4954,6226,6226,10162,10162,63247,63247,5659,5659,19427,19427,92885,92885,4045,4045,18604,18604,23009,23009,96290,96290,20101,20101,124958,124958,31494,31494,75320,75320,15864,15864,19926,19926,10679,10679,47538,47538,5425,5425,10514,10514,16783,16783,8283,8283,6382,6382,9520,9520
3,10303,10303,23540,23540,107992,107992,18265,18265,42994,42994,35581,35581,6233,6233,623,623,21210,21210,45082,45082,61829,61829,39611,39611,18733,18733,31500,31500,34226,34226,24697,24697,31765,31765,4494,4494,71133,71133,2442,2442,38317,38317,26497,26497,22835,22835,30697,30697,10850,10850,17976,17976,20827,20827,99043,99043,22583,22583,2335,2335,36632,36632,17493,17493,5277,5277,86256,86256,127631,127631,157447,157447,4138,4138,3988,3988,136341,136341,8650,8650,10502,10502,5159,5159,10451,10451,168283,168283,44012,44012,14174,14174,7879,7879,11329,11329,5203,5203,6476,6476,9159,9159,67671,67671,5706,5706,19513,19513,94230,94230,4226,4226,19929,19929,23543,23543,115436,115436,22329,22329,125988,125988,61362,61362,93411,93411,16215,16215,20748,20748,11166,11166,47814,47814,5319,5319,10627,10627,17316,17316,8485,8485,6798,6798,9199,9199
4,10748,10748,22824,22824,106533,106533,18845,18845,44859,44859,34961,34961,6395,6395,599,599,20580,20580,43600,43600,61172,61172,49543,49543,19760,19760,32451,32451,33304,33304,24080,24080,28379,28379,4075,4075,71668,71668,2649,2649,36378,36378,25446,25446,22151,22151,30188,30188,11260,11260,16864,16864,21466,21466,107486,107486,21744,21744,2634,2634,41607,41607,17809,17809,5368,5368,91337,91337,121824,121824,160293,160293,4674,4674,3999,3999,140506,140506,8525,8525,10955,10955,5537,5537,10886,10886,172027,172027,43308,43308,15201,15201,8464,8464,11227,11227,5648,5648,6258,6258,8822,8822,72440,72440,5507,5507,18515,18515,93266,93266,4498,4498,19452,19452,23262,23262,123593,123593,23832,23832,124004,124004,64511,64511,102851,102851,16685,16685,21172,21172,11686,11686,46950,46950,5291,5291,11683,11683,17300,17300,7876,7876,6707,6707,9377,9377
5,10683,10683,22199,22199,103421,103421,19398,19398,52157,52157,34827,34827,6347,6347,541,541,20207,20207,44181,44181,62140,62140,48505,48505,19237,19237,33262,33262,33392,33392,23774,23774,27845,27845,4633,4633,71968,71968,2427,2427,36190,36190,25362,25362,22764,22764,28793,28793,11360,11360,15776,15776,21721,21721,118035,118035,21337,21337,2841,2841,47238,47238,18064,18064,5468,5468,96493,96493,117887,117887,164106,164106,4624,4624,4150,4150,141669,141669,8363,8363,11296,11296,5436,5436,10336,10336,174164,174164,42888,42888,15534,15534,8468,8468,11178,11178,5572,5572,6470,6470,8844,8844,75980,75980,6008,6008,18132,18132,94316,94316,4617,4617,19750,19750,25056,25056,126336,126336,25194,25194,123153,123153,64359,64359,107471,107471,16764,16764,22136,22136,11871,11871,47146,47146,5588,5588,11635,11635,17773,17773,8001,8001,7327,7327,9640,9640
6,10573,10573,22211,22211,100256,100256,19345,19345,60764,60764,33803,33803,6758,6758,561,561,20152,20152,43798,43798,61008,61008,47853,47853,20068,20068,33518,33518,34620,34620,23986,23986,27290,27290,4631,4631,71661,71661,2621,2621,35776,35776,25460,25460,22639,22639,29282,29282,12073,12073,15760,15760,22032,22032,120380,120380,21156,21156,2827,2827,53540,53540,18877,18877,5205,5205,99239,99239,114952,114952,164849,164849,4935,4935,4273,4273,145992,145992,8573,8573,11519,11519,5360,5360,10402,10402,176227,176227,41604,41604,16452,16452,8613,8613,11540,11540,5802,5802,6308,6308,8702,8702,80634,80634,6093,6093,17819,17819,92856,92856,4532,4532,20111,20111,25262,25262,129701,129701,26167,26167,122333,122333,64360,64360,111532,111532,16428,16428,23027,23027,12270,12270,46634,46634,5350,5350,12048,12048,18163,18163,8137,8137,7415,7415,9561,9561
7,10935,10935,21637,21637,96644,96644,21976,21976,62765,62765,34291,34291,6962,6962,623,623,19643,19643,42905,42905,61763,61763,47594,47594,20969,20969,33852,33852,38942,38942,23614,23614,28567,28567,4540,4540,72960,72960,2619,2619,35810,35810,25359,25359,22295,22295,29413,29413,11943,11943,15527,15527,21946,21946,120719,120719,20769,20769,2704,2704,55036,55036,19046,19046,5322,5322,98596,98596,110334,110334,167061,167061,5318,5318,4160,4160,147632,147632,8784,8784,11484,11484,5367,5367,10442,10442,176816,176816,41606,41606,16531,16531,7893,7893,11712,11712,5961,5961,6325,6325,8602,8602,84798,84798,6172,6172,18266,18266,92337,92337,4554,4554,20681,20681,25918,25918,132219,132219,27054,27054,122654,122654,67960,67960,112814,112814,16773,16773,23792,23792,12848,12848,46729,46729,5573,5573,12058,12058,18415,18415,7884,7884,7495,7495,9714,9714
8,10757,10757,21033,21033,95094,95094,22359,22359,64651,64651,34865,34865,7362,7362,630,630,19346,19346,42015,42015,60812,60812,47417,47417,24473,24473,34837,34837,49768,49768,23842,23842,28810,28810,4546,4546,73155,73155,2680,2680,35251,35251,26446,26446,22964,22964,29623,29623,12036,12036,15067,15067,22075,22075,120214,120214,20647,20647,2890,2890,54162,54162,18868,18868,5340,5340,102869,102869,106623,106623,169944,169944,5614,5614,4172,4172,149668,149668,8970,8970,11098,11098,5584,5584,10578,10578,180597,180597,40858,40858,16196,16196,7808,7808,11737,11737,6132,6132,6506,6506,8698,8698,88056,88056,6200,6200,17919,17919,91100,91100,4640,4640,21136,21136,26078,26078,136707,136707,28651,28651,120818,120818,70727,70727,114542,114542,17247,17247,24924,24924,13278,13278,47635,47635,5586,5586,12874,12874,18640,18640,8304,8304,7516,7516,9434,9434
9,11121,11121,21813,21813,93901,93901,22618,22618,64616,64616,34823,34823,7796,7796,517,517,19164,19164,41880,41880,61820,61820,48044,48044,28348,28348,35154,35154,63041,63041,23729,23729,30638,30638,4660,4660,73495,73495,2601,2601,34230,34230,26517,26517,23209,23209,29949,29949,12145,12145,15369,15369,23106,23106,118257,118257,20624,20624,3060,3060,48208,48208,19432,19432,5204,5204,107430,107430,104936,104936,169871,169871,6161,6161,4202,4202,151944,151944,9285,9285,11819,11819,5502,5502,10862,10862,182738,182738,40258,40258,16080,16080,8148,8148,12030,12030,5896,5896,6347,6347,8652,8652,92303,92303,6214,6214,17844,17844,89509,89509,4582,4582,21034,21034,25730,25730,138593,138593,30441,30441,118389,118389,72150,72150,117177,117177,17273,17273,27520,27520,13754,13754,48949,48949,5635,5635,12987,12987,18642,18642,8051,8051,7881,7881,9852,9852
10,11146,11146,21412,21412,90929,90929,22477,22477,62770,62770,34783,34783,7064,7064,506,506,18989,18989,41642,41642,62953,62953,47222,47222,29417,29417,37062,37062,76588,76588,22850,22850,30247,30247,4893,4893,72324,72324,2565,2565,34102,34102,26303,26303,22862,22862,30669,30669,12970,12970,15030,15030,23694,23694,116505,116505,20443,20443,3454,3454,42567,42567,19636,19636,5591,5591,106590,106590,100079,100079,171595,171595,6124,6124,4297,4297,152665,152665,9162,9162,11673,11673,5380,5380,10494,10494,183853,183853,40769,40769,15935,15935,8238,8238,12283,12283,6128,6128,6302,6302,9122,9122,93497,93497,6276,6276,17728,17728,88231,88231,4854,4854,21434,21434,24964,24964,141837,141837,30289,30289,118177,118177,74307,74307,116873,116873,17074,17074,29647,29647,13639,13639,48581,48581,5346,5346,13356,13356,19004,19004,8271,8271,7459,7459,9587,9587
