 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156,IntDen157,RawIntDen157,IntDen158,RawIntDen158,IntDen159,RawIntDen159,IntDen160,RawIntDen160,IntDen161,RawIntDen161,IntDen162,RawIntDen162,IntDen163,RawIntDen163,IntDen164,RawIntDen164,IntDen165,RawIntDen165,IntDen166,RawIntDen166,IntDen167,RawIntDen167,IntDen168,RawIntDen168,IntDen169,RawIntDen169,IntDen170,RawIntDen170,IntDen171,RawIntDen171,IntDen172,RawIntDen172,IntDen173,RawIntDen173,IntDen174,RawIntDen174,IntDen175,RawIntDen175,IntDen176,RawIntDen176,IntDen177,RawIntDen177
1,13047,13047,11307,11307,18011,18011,29159,29159,20933,20933,16866,16866,93951,93951,49394,49394,8589,8589,45676,45676,33235,33235,14790,14790,20598,20598,27860,27860,6556,6556,14816,14816,115562,115562,38287,38287,32388,32388,21044,21044,21827,21827,10739,10739,17626,17626,23264,23264,26589,26589,21351,21351,27733,27733,13916,13916,114943,114943,10522,10522,31089,31089,98236,98236,11919,11919,28569,28569,26445,26445,41348,41348,17844,17844,9734,9734,29812,29812,19921,19921,30439,30439,24455,24455,32063,32063,11183,11183,36075,36075,125744,125744,48250,48250,35300,35300,9455,9455,90086,90086,38300,38300,4081,4081,40146,40146,4878,4878,18214,18214,10690,10690,47019,47019,60486,60486,20363,20363,4046,4046,31916,31916,87613,87613,10345,10345,26614,26614,26188,26188,23711,23711,4872,4872,16929,16929,32767,32767,105774,105774,23981,23981,16309,16309,52499,52499,44172,44172,25046,25046,18672,18672,43047,43047,12190,12190,102860,102860,63323,63323,32665,32665,34403,34403,118160,118160,22943,22943,70809,70809,27377,27377,47536,47536,89342,89342,33124,33124,24460,24460,13996,13996,25476,25476,12250,12250,7067,7067,33039,33039,12450,12450,37156,37156,16281,16281,15600,15600,38781,38781,44777,44777,10408,10408,20125,20125,16141,16141,44903,44903,10928,10928,11174,11174,22215,22215,22312,22312,10407,10407,22330,22330,9403,9403,35659,35659,25718,25718,41829,41829,32101,32101,35852,35852,18976,18976,13467,13467,24756,24756,51569,51569,17977,17977,16128,16128,13796,13796,21570,21570,33505,33505,13516,13516,50369,50369,23396,23396,10082,10082,17427,17427,11190,11190,18658,18658,7946,7946,28201,28201,35405,35405,53103,53103,6307,6307,10053,10053,22738,22738,12294,12294,25724,25724,34460,34460,11945,11945,6147,6147,56374,56374,13475,13475,18862,18862,44708,44708,56721,56721,6202,6202,27754,27754,12865,12865,140483,140483,10766,10766,29365,29365,24422,24422,42121,42121,31648,31648,3055,3055,18998,18998,12876,12876,12268,12268,13813,13813,14002,14002,17759,17759,13533,13533,25134,25134,79469,79469,9954,9954,15636,15636,1314,1314,11091,11091,27446,27446,24920,24920,23852,23852,7028,7028
2,13211,13211,11459,11459,20416,20416,30419,30419,23320,23320,16900,16900,91834,91834,48889,48889,8868,8868,43494,43494,41017,41017,14101,14101,22123,22123,28393,28393,6652,6652,14737,14737,114392,114392,36870,36870,31477,31477,21369,21369,21616,21616,11056,11056,18285,18285,24636,24636,27729,27729,21178,21178,27937,27937,13944,13944,116859,116859,10731,10731,33550,33550,99750,99750,11968,11968,30609,30609,26465,26465,42634,42634,17885,17885,12862,12862,33229,33229,20100,20100,29058,29058,24421,24421,31512,31512,11804,11804,36449,36449,119928,119928,47859,47859,35776,35776,9155,9155,105762,105762,39278,39278,3744,3744,41028,41028,4866,4866,17643,17643,10427,10427,43748,43748,62321,62321,20886,20886,4281,4281,32534,32534,105603,105603,9800,9800,27196,27196,27432,27432,29773,29773,5277,5277,16345,16345,33206,33206,110853,110853,23978,23978,16520,16520,53212,53212,41799,41799,24104,24104,19049,19049,43338,43338,13731,13731,100242,100242,63516,63516,37001,37001,35520,35520,121743,121743,22552,22552,70012,70012,27849,27849,44226,44226,90502,90502,33441,33441,24277,24277,14328,14328,26103,26103,14357,14357,7174,7174,33278,33278,12397,12397,36632,36632,18928,18928,15648,15648,41442,41442,66222,66222,12661,12661,22299,22299,17108,17108,44645,44645,10878,10878,11006,11006,23779,23779,20232,20232,11546,11546,22765,22765,10111,10111,37093,37093,25875,25875,35421,35421,32545,32545,35699,35699,19806,19806,17602,17602,23804,23804,50635,50635,18824,18824,17040,17040,13684,13684,21381,21381,31793,31793,13928,13928,50349,50349,23650,23650,10434,10434,18108,18108,11596,11596,16431,16431,7676,7676,36205,36205,35287,35287,58027,58027,6791,6791,10172,10172,23159,23159,12296,12296,33153,33153,35292,35292,12646,12646,6192,6192,57814,57814,12887,12887,18548,18548,43910,43910,55669,55669,6378,6378,35817,35817,13486,13486,137310,137310,14125,14125,29222,29222,30827,30827,47255,47255,30211,30211,2995,2995,19653,19653,13196,13196,12975,12975,13534,13534,14350,14350,18082,18082,14226,14226,25308,25308,74519,74519,10443,10443,15795,15795,1377,1377,11012,11012,27400,27400,25004,25004,23360,23360,7077,7077
3,13178,13178,12229,12229,24218,24218,30719,30719,25377,25377,18791,18791,91277,91277,49174,49174,8968,8968,42836,42836,50344,50344,14915,14915,25448,25448,29146,29146,7214,7214,15578,15578,117681,117681,37321,37321,29732,29732,21909,21909,21787,21787,11128,11128,18900,18900,25858,25858,28700,28700,21595,21595,28132,28132,13921,13921,121870,121870,10922,10922,31585,31585,111166,111166,12368,12368,37687,37687,26049,26049,42702,42702,19440,19440,15041,15041,35673,35673,20627,20627,28388,28388,25217,25217,34448,34448,11674,11674,36816,36816,117809,117809,49526,49526,36084,36084,9142,9142,112737,112737,37574,37574,3950,3950,40806,40806,4816,4816,18344,18344,11239,11239,43753,43753,64757,64757,22145,22145,5183,5183,32743,32743,128570,128570,10515,10515,28489,28489,27135,27135,32582,32582,5495,5495,16541,16541,32311,32311,130266,130266,23895,23895,16807,16807,53352,53352,38325,38325,24315,24315,18918,18918,48338,48338,16903,16903,101552,101552,64140,64140,45140,45140,36019,36019,123268,123268,23180,23180,70003,70003,28356,28356,43177,43177,87659,87659,33778,33778,24201,24201,16003,16003,27171,27171,22181,22181,7316,7316,34407,34407,12068,12068,37079,37079,20722,20722,15333,15333,47001,47001,72293,72293,15890,15890,24894,24894,18629,18629,43882,43882,11206,11206,11244,11244,27293,27293,18974,18974,12038,12038,24602,24602,10098,10098,38530,38530,26230,26230,31552,31552,33110,33110,37080,37080,19674,19674,20255,20255,23906,23906,50593,50593,20853,20853,19019,19019,14428,14428,20291,20291,30944,30944,13858,13858,51990,51990,24296,24296,10461,10461,18492,18492,12147,12147,20243,20243,7796,7796,52295,52295,36702,36702,55500,55500,6743,6743,10150,10150,24157,24157,14262,14262,45004,45004,37417,37417,13067,13067,6430,6430,61022,61022,12982,12982,17352,17352,45342,45342,62478,62478,6627,6627,41151,41151,14044,14044,137526,137526,16404,16404,29709,29709,37103,37103,58013,58013,29791,29791,3384,3384,19600,19600,13330,13330,14997,14997,13885,13885,15098,15098,19069,19069,14592,14592,26388,26388,71714,71714,10587,10587,16169,16169,1470,1470,10582,10582,27991,27991,24206,24206,23242,23242,7365,7365
4,14902,14902,15042,15042,24219,24219,31655,31655,27287,27287,21628,21628,90784,90784,50770,50770,9485,9485,42391,42391,61958,61958,15194,15194,27508,27508,30836,30836,7755,7755,16660,16660,116922,116922,37212,37212,28459,28459,22538,22538,22419,22419,11717,11717,19564,19564,25745,25745,29400,29400,22359,22359,28441,28441,14363,14363,124168,124168,11144,11144,30465,30465,118533,118533,12390,12390,41530,41530,26465,26465,40884,40884,25910,25910,15277,15277,33605,33605,20864,20864,30113,30113,26115,26115,32824,32824,12053,12053,37281,37281,113271,113271,50191,50191,36818,36818,9671,9671,113994,113994,38721,38721,4064,4064,41068,41068,5015,5015,18373,18373,11272,11272,41990,41990,65789,65789,24239,24239,6686,6686,33639,33639,152379,152379,10845,10845,29798,29798,26871,26871,32612,32612,6022,6022,16587,16587,33391,33391,153750,153750,23872,23872,17018,17018,54475,54475,33833,33833,24170,24170,19022,19022,56631,56631,17678,17678,100537,100537,65205,65205,45720,45720,39258,39258,124912,124912,23538,23538,70480,70480,29065,29065,40880,40880,81353,81353,34138,34138,24458,24458,26305,26305,27353,27353,25734,25734,7591,7591,35583,35583,12532,12532,43012,43012,21130,21130,16408,16408,51259,51259,72523,72523,17645,17645,26576,26576,19669,19669,44501,44501,11096,11096,11492,11492,29819,29819,17716,17716,12109,12109,33921,33921,9792,9792,39362,39362,27692,27692,27933,27933,33325,33325,37845,37845,20096,20096,19818,19818,28764,28764,52138,52138,24900,24900,19809,19809,16713,16713,21276,21276,30526,30526,14185,14185,52317,52317,24733,24733,10572,10572,19383,19383,11972,11972,25263,25263,8295,8295,54631,54631,37898,37898,51954,51954,6249,6249,10375,10375,26119,26119,17542,17542,56188,56188,38669,38669,14076,14076,6662,6662,62856,62856,12915,12915,16495,16495,45857,45857,74715,74715,6704,6704,42097,42097,14574,14574,138240,138240,16132,16132,29968,29968,38614,38614,79856,79856,28985,28985,3424,3424,19315,19315,13641,13641,17936,17936,13749,13749,14853,14853,19168,19168,15330,15330,25996,25996,71064,71064,11309,11309,16145,16145,1553,1553,10395,10395,27869,27869,23778,23778,22780,22780,7467,7467
5,15646,15646,17557,17557,25696,25696,31095,31095,28256,28256,24393,24393,90450,90450,50595,50595,9680,9680,41858,41858,75058,75058,15255,15255,27969,27969,30932,30932,8795,8795,19937,19937,118524,118524,37475,37475,27996,27996,24283,24283,22233,22233,11901,11901,20425,20425,23770,23770,30626,30626,24190,24190,29617,29617,14322,14322,127682,127682,11397,11397,28804,28804,121730,121730,12594,12594,42897,42897,27673,27673,37921,37921,33065,33065,14553,14553,30300,30300,21510,21510,31871,31871,27979,27979,30363,30363,12111,12111,37851,37851,110985,110985,50826,50826,37589,37589,9554,9554,115066,115066,39984,39984,4046,4046,40789,40789,5011,5011,18407,18407,12831,12831,40600,40600,67984,67984,31874,31874,7631,7631,33694,33694,162372,162372,10791,10791,30258,30258,26733,26733,32865,32865,6670,6670,16647,16647,33145,33145,161178,161178,24996,24996,16397,16397,54866,54866,30624,30624,24312,24312,19551,19551,60637,60637,17448,17448,99596,99596,66568,66568,44999,44999,52131,52131,128035,128035,23934,23934,77018,77018,29604,29604,39713,39713,77505,77505,34979,34979,25666,25666,37934,37934,26230,26230,25905,25905,7321,7321,37172,37172,12296,12296,52784,52784,22045,22045,16084,16084,52994,52994,72553,72553,17155,17155,28051,28051,18974,18974,44999,44999,11148,11148,11697,11697,29518,29518,17574,17574,12164,12164,37544,37544,9989,9989,41971,41971,29257,29257,25630,25630,34111,34111,38405,38405,20773,20773,19798,19798,32803,32803,53166,53166,36348,36348,20563,20563,22069,22069,22251,22251,30381,30381,14348,14348,53184,53184,25101,25101,10688,10688,19711,19711,12431,12431,31664,31664,7913,7913,55158,55158,39417,39417,47223,47223,6395,6395,10452,10452,38833,38833,18145,18145,64774,64774,39479,39479,14423,14423,7165,7165,67471,67471,13111,13111,15469,15469,47169,47169,97655,97655,6794,6794,43619,43619,16209,16209,142557,142557,16862,16862,29792,29792,40524,40524,94652,94652,28939,28939,3440,3440,20261,20261,14061,14061,19590,19590,14045,14045,15102,15102,19484,19484,16930,16930,27089,27089,67822,67822,11703,11703,16893,16893,1523,1523,10790,10790,28811,28811,23758,23758,22976,22976,7879,7879
6,17023,17023,18123,18123,25323,25323,30761,30761,29056,29056,25113,25113,89161,89161,51259,51259,9831,9831,41583,41583,87572,87572,15665,15665,28610,28610,31809,31809,10330,10330,29661,29661,117556,117556,37349,37349,26029,26029,25960,25960,22093,22093,12970,12970,20873,20873,20773,20773,30895,30895,32698,32698,29892,29892,14237,14237,130002,130002,12004,12004,27302,27302,125501,125501,13100,13100,44755,44755,28118,28118,34379,34379,32826,32826,13355,13355,26846,26846,21480,21480,40918,40918,31414,31414,30639,30639,12556,12556,37617,37617,107068,107068,52624,52624,39980,39980,9670,9670,117560,117560,42503,42503,4011,4011,41228,41228,5112,5112,18861,18861,13969,13969,40386,40386,70313,70313,33940,33940,7566,7566,33634,33634,167762,167762,11055,11055,31121,31121,26649,26649,32871,32871,7481,7481,17096,17096,34214,34214,163361,163361,26568,26568,17159,17159,55071,55071,28472,28472,24570,24570,18995,18995,61885,61885,17579,17579,100435,100435,67490,67490,45446,45446,64215,64215,127875,127875,24127,24127,101086,101086,29906,29906,37369,37369,73461,73461,35504,35504,27466,27466,38232,38232,26587,26587,25839,25839,7557,7557,45190,45190,12561,12561,56183,56183,22249,22249,16724,16724,53398,53398,72590,72590,17147,17147,26876,26876,19303,19303,46735,46735,11677,11677,12365,12365,29935,29935,17034,17034,11973,11973,37671,37671,10442,10442,46744,46744,33105,33105,24823,24823,35184,35184,37761,37761,21542,21542,20117,20117,33205,33205,54027,54027,48136,48136,20915,20915,27910,27910,21618,21618,29415,29415,14232,14232,53522,53522,25271,25271,10701,10701,20007,20007,12783,12783,35272,35272,8323,8323,55241,55241,40891,40891,43203,43203,6296,6296,10504,10504,61345,61345,18588,18588,70387,70387,39897,39897,15417,15417,7874,7874,74267,74267,13507,13507,14936,14936,48475,48475,128930,128930,7104,7104,46913,46913,17889,17889,145825,145825,16845,16845,30013,30013,42255,42255,99843,99843,28739,28739,3217,3217,19883,19883,14263,14263,24598,24598,13947,13947,15743,15743,19623,19623,20328,20328,26557,26557,67504,67504,12483,12483,17295,17295,1593,1593,11143,11143,29212,29212,23444,23444,22339,22339,7685,7685
7,20395,20395,18828,18828,26046,26046,30181,30181,29406,29406,25416,25416,88888,88888,51030,51030,10429,10429,41016,41016,95218,95218,15788,15788,28807,28807,31817,31817,11779,11779,34199,34199,117102,117102,37301,37301,26806,26806,27464,27464,22570,22570,13322,13322,20983,20983,20249,20249,31902,31902,40932,40932,30095,30095,14404,14404,130616,130616,11981,11981,26251,26251,127499,127499,13540,13540,46172,46172,30526,30526,31336,31336,31892,31892,12044,12044,23459,23459,22866,22866,49232,49232,33315,33315,30856,30856,13472,13472,38382,38382,105945,105945,54157,54157,46868,46868,9939,9939,119080,119080,43586,43586,4028,4028,42314,42314,4992,4992,19422,19422,14387,14387,39238,39238,84233,84233,33347,33347,8078,8078,33922,33922,172414,172414,11046,11046,31433,31433,26182,26182,33124,33124,8066,8066,16889,16889,34398,34398,165254,165254,28463,28463,17368,17368,57020,57020,26431,26431,24608,24608,18502,18502,62822,62822,17745,17745,101398,101398,70235,70235,45584,45584,65821,65821,128139,128139,24578,24578,160039,160039,29992,29992,36586,36586,71332,71332,36275,36275,36639,36639,38136,38136,26622,26622,25768,25768,7364,7364,61980,61980,12480,12480,57392,57392,24136,24136,16322,16322,54498,54498,72636,72636,15287,15287,24658,24658,19965,19965,46356,46356,11667,11667,14888,14888,29753,29753,17181,17181,11846,11846,37119,37119,10748,10748,54314,54314,40702,40702,24294,24294,37755,37755,38617,38617,24628,24628,20614,20614,33590,33590,54305,54305,55626,55626,20676,20676,29499,29499,22498,22498,28987,28987,14678,14678,55063,55063,26207,26207,14495,14495,19945,19945,13002,13002,35490,35490,8409,8409,56789,56789,41790,41790,40856,40856,6545,6545,11068,11068,65292,65292,18283,18283,69513,69513,39346,39346,15847,15847,8366,8366,87169,87169,13623,13623,14511,14511,49849,49849,144031,144031,7218,7218,49099,49099,25933,25933,149537,149537,16964,16964,29851,29851,43354,43354,105031,105031,28908,28908,3375,3375,20575,20575,14554,14554,29680,29680,14358,14358,16338,16338,19822,19822,27216,27216,27505,27505,66115,66115,13859,13859,17898,17898,1705,1705,11475,11475,29033,29033,23294,23294,22459,22459,7793,7793
8,21231,21231,19906,19906,25134,25134,29753,29753,28834,28834,26283,26283,87030,87030,50596,50596,10512,10512,40395,40395,99849,99849,16317,16317,29437,29437,33066,33066,12237,12237,34781,34781,116794,116794,37865,37865,24858,24858,28074,28074,23268,23268,13795,13795,21519,21519,18880,18880,31792,31792,41507,41507,30872,30872,14500,14500,136034,136034,12190,12190,26245,26245,128457,128457,14115,14115,47753,47753,34816,34816,28491,28491,31534,31534,11108,11108,20646,20646,27450,27450,50910,50910,36952,36952,32160,32160,15810,15810,40105,40105,102612,102612,53514,53514,49960,49960,10088,10088,119209,119209,45425,45425,4050,4050,42052,42052,5076,5076,19502,19502,14649,14649,39663,39663,108428,108428,33663,33663,7994,7994,34289,34289,176724,176724,11115,11115,32931,32931,25881,25881,32930,32930,10335,10335,16949,16949,33814,33814,165548,165548,32123,32123,17707,17707,58032,58032,24985,24985,24108,24108,18925,18925,62443,62443,17309,17309,101099,101099,74509,74509,45432,45432,65041,65041,128134,128134,24839,24839,211024,211024,31099,31099,34849,34849,71401,71401,36854,36854,58890,58890,38742,38742,26416,26416,25549,25549,7786,7786,69965,69965,12288,12288,57373,57373,25980,25980,16841,16841,55580,55580,73339,73339,12548,12548,21912,21912,20200,20200,47583,47583,11388,11388,16964,16964,30792,30792,17713,17713,12012,12012,37482,37482,11168,11168,63526,63526,55407,55407,23992,23992,43094,43094,41014,41014,28955,28955,20500,20500,33850,33850,54836,54836,56956,56956,20322,20322,29839,29839,21879,21879,28648,28648,14694,14694,54209,54209,26561,26561,18717,18717,19769,19769,13323,13323,34563,34563,8485,8485,56456,56456,42416,42416,38370,38370,6246,6246,14633,14633,66866,66866,18706,18706,62756,62756,39827,39827,16544,16544,8551,8551,111701,111701,13317,13317,14352,14352,52002,52002,152295,152295,8351,8351,51266,51266,29557,29557,151994,151994,17237,17237,29778,29778,44559,44559,108579,108579,29002,29002,3414,3414,21427,21427,14454,14454,28563,28563,14281,14281,17052,17052,20709,20709,34339,34339,27076,27076,63598,63598,14579,14579,18329,18329,1879,1879,11613,11613,30289,30289,23775,23775,22637,22637,8147,8147
9,23225,23225,20043,20043,25907,25907,30068,30068,29380,29380,26352,26352,87848,87848,51162,51162,11030,11030,39678,39678,100253,100253,16301,16301,30084,30084,34586,34586,12293,12293,35208,35208,117839,117839,37870,37870,20371,20371,31560,31560,23025,23025,13978,13978,22106,22106,18734,18734,32940,32940,42503,42503,30482,30482,14729,14729,137290,137290,12609,12609,25557,25557,130677,130677,14147,14147,49972,49972,38923,38923,26267,26267,30297,30297,10902,10902,19677,19677,40439,40439,51872,51872,37719,37719,33595,33595,23548,23548,52094,52094,99549,99549,55087,55087,50308,50308,10423,10423,122741,122741,47769,47769,4307,4307,41975,41975,5104,5104,19344,19344,15005,15005,38991,38991,125907,125907,33638,33638,8388,8388,35060,35060,178229,178229,11304,11304,45925,45925,26222,26222,33020,33020,11116,11116,16510,16510,34195,34195,167242,167242,37990,37990,18158,18158,59459,59459,24944,24944,24167,24167,18830,18830,63178,63178,17988,17988,102333,102333,82358,82358,45454,45454,65285,65285,129088,129088,25378,25378,226090,226090,31940,31940,33989,33989,72461,72461,37479,37479,64310,64310,39182,39182,26426,26426,25821,25821,7651,7651,72276,72276,12769,12769,58592,58592,29344,29344,17084,17084,56281,56281,74905,74905,11511,11511,19884,19884,20308,20308,49241,49241,11695,11695,17062,17062,31149,31149,17443,17443,12046,12046,37154,37154,10996,10996,71415,71415,67266,67266,23523,23523,48429,48429,45758,45758,33212,33212,20668,20668,33981,33981,55634,55634,55722,55722,20895,20895,28729,28729,20342,20342,28867,28867,14898,14898,56072,56072,28486,28486,18704,18704,20218,20218,13869,13869,31304,31304,8055,8055,56619,56619,44902,44902,37141,37141,6373,6373,22005,22005,68631,68631,18813,18813,51842,51842,40379,40379,16955,16955,8701,8701,156549,156549,13145,13145,13847,13847,53449,53449,162189,162189,10901,10901,53612,53612,30593,30593,154859,154859,17354,17354,30228,30228,45327,45327,110275,110275,27922,27922,3479,3479,23132,23132,14901,14901,28754,28754,14025,14025,19621,19621,20605,20605,37757,37757,27085,27085,62548,62548,15558,15558,18246,18246,2168,2168,11290,11290,30411,30411,23894,23894,22421,22421,8189,8189
10,25213,25213,20092,20092,26052,26052,29354,29354,29008,29008,26360,26360,88737,88737,52266,52266,11150,11150,39968,39968,104531,104531,16620,16620,30218,30218,34285,34285,12996,12996,37049,37049,117897,117897,38917,38917,18361,18361,33986,33986,23186,23186,14174,14174,22667,22667,17948,17948,34078,34078,42893,42893,32007,32007,14633,14633,139334,139334,12514,12514,25201,25201,132608,132608,14440,14440,49929,49929,40264,40264,25855,25855,28901,28901,10276,10276,18999,18999,54471,54471,53453,53453,37006,37006,35273,35273,32409,32409,86270,86270,97320,97320,55383,55383,50613,50613,10143,10143,125013,125013,49046,49046,4074,4074,42311,42311,5230,5230,19685,19685,14975,14975,38936,38936,132065,132065,34277,34277,8148,8148,34831,34831,180197,180197,11379,11379,49128,49128,25632,25632,33474,33474,11193,11193,16624,16624,34956,34956,171121,171121,41517,41517,19015,19015,62524,62524,24552,24552,24276,24276,18855,18855,64171,64171,17991,17991,103506,103506,94002,94002,45908,45908,64310,64310,129193,129193,24558,24558,227980,227980,32830,32830,33026,33026,74426,74426,38313,38313,65867,65867,38502,38502,26909,26909,25345,25345,7767,7767,73997,73997,12666,12666,58595,58595,30199,30199,17251,17251,55872,55872,75196,75196,10330,10330,17938,17938,20102,20102,50309,50309,11847,11847,17222,17222,30904,30904,17376,17376,12343,12343,37021,37021,11338,11338,77677,77677,76182,76182,24808,24808,55263,55263,56955,56955,35466,35466,21138,21138,34986,34986,57149,57149,51267,51267,20835,20835,27469,27469,20483,20483,28155,28155,15095,15095,56370,56370,32722,32722,18750,18750,20798,20798,13988,13988,27828,27828,8321,8321,58158,58158,48336,48336,36076,36076,6333,6333,23548,23548,69936,69936,19271,19271,40571,40571,40833,40833,17329,17329,8998,8998,195596,195596,13464,13464,14399,14399,56534,56534,169338,169338,10746,10746,54821,54821,31321,31321,158595,158595,17446,17446,30751,30751,46658,46658,113546,113546,28149,28149,3645,3645,27570,27570,15151,15151,29176,29176,13639,13639,23288,23288,20546,20546,38625,38625,28169,28169,59671,59671,16222,16222,19268,19268,2106,2106,11458,11458,31222,31222,23326,23326,22983,22983,8216,8216
