 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96
1,14692,14692,15193,15193,14130,14130,18513,18513,79483,79483,14177,14177,20714,20714,35452,35452,53445,53445,32945,32945,15343,15343,37581,37581,9058,9058,48342,48342,45601,45601,14777,14777,155699,155699,33735,33735,156411,156411,50864,50864,67404,67404,47033,47033,27625,27625,92452,92452,38246,38246,40700,40700,72009,72009,80757,80757,26767,26767,139755,139755,39519,39519,157063,157063,66286,66286,22863,22863,22989,22989,25994,25994,42126,42126,64576,64576,16285,16285,14954,14954,97303,97303,140184,140184,34061,34061,101257,101257,44098,44098,74274,74274,26536,26536,62230,62230,32003,32003,123932,123932,31126,31126,75652,75652,18641,18641,78840,78840,31784,31784,31335,31335,13037,13037,116671,116671,78427,78427,58483,58483,9042,9042,5409,5409,70517,70517,12295,12295,99823,99823,16147,16147,92536,92536,13115,13115,10949,10949,39332,39332,48843,48843,84910,84910,22745,22745,87752,87752,16693,16693,76767,76767,33814,33814,91549,91549,64090,64090,30986,30986,106736,106736,89182,89182,57259,57259,28403,28403,46681,46681,17206,17206,23590,23590,25673,25673,42749,42749,16106,16106,54049,54049,22423,22423,9464,9464,45961,45961,17349,17349,11844,11844
2,14619,14619,14947,14947,14103,14103,17836,17836,77303,77303,14261,14261,20859,20859,35328,35328,52431,52431,31097,31097,16139,16139,35188,35188,8699,8699,49286,49286,45588,45588,14960,14960,153653,153653,33326,33326,155068,155068,51401,51401,68202,68202,49981,49981,28888,28888,90479,90479,37186,37186,42190,42190,72009,72009,83830,83830,27122,27122,140794,140794,40569,40569,147570,147570,65882,65882,23289,23289,23881,23881,25972,25972,43482,43482,65215,65215,16295,16295,15515,15515,95232,95232,134491,134491,38791,38791,98908,98908,45502,45502,74873,74873,27013,27013,62542,62542,33756,33756,120599,120599,31141,31141,74833,74833,19142,19142,78250,78250,31316,31316,30403,30403,12624,12624,107554,107554,77345,77345,59580,59580,8749,8749,5256,5256,69704,69704,12326,12326,99043,99043,23053,23053,90530,90530,13002,13002,11150,11150,36484,36484,49754,49754,84554,84554,22358,22358,92670,92670,16658,16658,78974,78974,33878,33878,89351,89351,63872,63872,27730,27730,101947,101947,86688,86688,56048,56048,27681,27681,46042,46042,17410,17410,23197,23197,25971,25971,41899,41899,15974,15974,53536,53536,21799,21799,9795,9795,44365,44365,17442,17442,11620,11620
3,14878,14878,14477,14477,14627,14627,18150,18150,76305,76305,13966,13966,21319,21319,34933,34933,52787,52787,29172,29172,15552,15552,35203,35203,9128,9128,51214,51214,46022,46022,14946,14946,156378,156378,33918,33918,157579,157579,52321,52321,69722,69722,52263,52263,29605,29605,93316,93316,37174,37174,44410,44410,74956,74956,89201,89201,27290,27290,143881,143881,40618,40618,138159,138159,66555,66555,23283,23283,24410,24410,26511,26511,41995,41995,66119,66119,16626,16626,14924,14924,95513,95513,132941,132941,51718,51718,98724,98724,45407,45407,76932,76932,26065,26065,63349,63349,34533,34533,118876,118876,31627,31627,74093,74093,19097,19097,78716,78716,31653,31653,31015,31015,12436,12436,105204,105204,77634,77634,58956,58956,8884,8884,5416,5416,70095,70095,12522,12522,99470,99470,22555,22555,91872,91872,13463,13463,10597,10597,34710,34710,49308,49308,84886,84886,22581,22581,100129,100129,15767,15767,80033,80033,33927,33927,88615,88615,64623,64623,26927,26927,104471,104471,84975,84975,55266,55266,27885,27885,45666,45666,17105,17105,22840,22840,25660,25660,42782,42782,15751,15751,52947,52947,21407,21407,9789,9789,44806,44806,17496,17496,11552,11552
4,15066,15066,14197,14197,14427,14427,18306,18306,76397,76397,14315,14315,21137,21137,34255,34255,53669,53669,28221,28221,15693,15693,33916,33916,8862,8862,52045,52045,47182,47182,14891,14891,158078,158078,34231,34231,159384,159384,51360,51360,71686,71686,56349,56349,33357,33357,95580,95580,37518,37518,45475,45475,75175,75175,92957,92957,26866,26866,144368,144368,41915,41915,128015,128015,67301,67301,24162,24162,24103,24103,25930,25930,42993,42993,67025,67025,16438,16438,15056,15056,95064,95064,132095,132095,62206,62206,98052,98052,45366,45366,78683,78683,26397,26397,64486,64486,35581,35581,116926,116926,31628,31628,73705,73705,19361,19361,80963,80963,31435,31435,31211,31211,12804,12804,101213,101213,78852,78852,59206,59206,8986,8986,5700,5700,69118,69118,12572,12572,100015,100015,17645,17645,91607,91607,14101,14101,10853,10853,33278,33278,50532,50532,83796,83796,22780,22780,113026,113026,16793,16793,80748,80748,34337,34337,88519,88519,63856,63856,25905,25905,103333,103333,84351,84351,55521,55521,28223,28223,46123,46123,17332,17332,22754,22754,25573,25573,42981,42981,15837,15837,52402,52402,21582,21582,10024,10024,44295,44295,17459,17459,11602,11602
5,14827,14827,14952,14952,14027,14027,17761,17761,74075,74075,14165,14165,20901,20901,33855,33855,53322,53322,26794,26794,15535,15535,33705,33705,9087,9087,51528,51528,47708,47708,14779,14779,156466,156466,34531,34531,159894,159894,52383,52383,71834,71834,58722,58722,35955,35955,94854,94854,37546,37546,46205,46205,77809,77809,91302,91302,27027,27027,145414,145414,42497,42497,116999,116999,66899,66899,23978,23978,24883,24883,26871,26871,42571,42571,67533,67533,16920,16920,15509,15509,95784,95784,130989,130989,63641,63641,97733,97733,46690,46690,80887,80887,26450,26450,64151,64151,36554,36554,115419,115419,32450,32450,73848,73848,20114,20114,81673,81673,31114,31114,30878,30878,12685,12685,101236,101236,77886,77886,57266,57266,9168,9168,5284,5284,68943,68943,12155,12155,99036,99036,14202,14202,91151,91151,13266,13266,10653,10653,32139,32139,51122,51122,82833,82833,22987,22987,124326,124326,16549,16549,80845,80845,34282,34282,86914,86914,64225,64225,25432,25432,103884,103884,84127,84127,55890,55890,28671,28671,45714,45714,17173,17173,23268,23268,25295,25295,43114,43114,15617,15617,51667,51667,22115,22115,10438,10438,43645,43645,17503,17503,11799,11799
6,14875,14875,15172,15172,14421,14421,18380,18380,73567,73567,14243,14243,21612,21612,34173,34173,54133,54133,27153,27153,16073,16073,34519,34519,9334,9334,47475,47475,50219,50219,15241,15241,158882,158882,34818,34818,163717,163717,53794,53794,72668,72668,61279,61279,40009,40009,97728,97728,38111,38111,47733,47733,78230,78230,94892,94892,26800,26800,147620,147620,44002,44002,107452,107452,66624,66624,24672,24672,24165,24165,27271,27271,43408,43408,69301,69301,17131,17131,15351,15351,96340,96340,128478,128478,64663,64663,98452,98452,47363,47363,83342,83342,26056,26056,65427,65427,37161,37161,112503,112503,32279,32279,73446,73446,19498,19498,81803,81803,31876,31876,31159,31159,12596,12596,97570,97570,79238,79238,57400,57400,8936,8936,5446,5446,69001,69001,12603,12603,100064,100064,14559,14559,90954,90954,13247,13247,10754,10754,30685,30685,51254,51254,83220,83220,22564,22564,142062,142062,16948,16948,79519,79519,34514,34514,87055,87055,64119,64119,23929,23929,102467,102467,82649,82649,55125,55125,28900,28900,45806,45806,17396,17396,22561,22561,25368,25368,43397,43397,15859,15859,50668,50668,22048,22048,10524,10524,43198,43198,17451,17451,11645,11645
7,15090,15090,14802,14802,14165,14165,17669,17669,73371,73371,14296,14296,21592,21592,35260,35260,53213,53213,26465,26465,19126,19126,31748,31748,9058,9058,44978,44978,50597,50597,14183,14183,159090,159090,34929,34929,165164,165164,54243,54243,75440,75440,64978,64978,42746,42746,98574,98574,37583,37583,49108,49108,78611,78611,96234,96234,27432,27432,149346,149346,46897,46897,97844,97844,67373,67373,23955,23955,25372,25372,27049,27049,43141,43141,71627,71627,16913,16913,15274,15274,97989,97989,128030,128030,66523,66523,98437,98437,47840,47840,82830,82830,26340,26340,65108,65108,38324,38324,111176,111176,33145,33145,74423,74423,19731,19731,82821,82821,32415,32415,30963,30963,13077,13077,95515,95515,79653,79653,57956,57956,8623,8623,5538,5538,68037,68037,12677,12677,100571,100571,13699,13699,89818,89818,13174,13174,10902,10902,30606,30606,51293,51293,82538,82538,24030,24030,160086,160086,17267,17267,81500,81500,35444,35444,87030,87030,64533,64533,23033,23033,103951,103951,80854,80854,56405,56405,29605,29605,45659,45659,17778,17778,23163,23163,26783,26783,43645,43645,15870,15870,51197,51197,22445,22445,10936,10936,43754,43754,17735,17735,11813,11813
8,15370,15370,14958,14958,13800,13800,17738,17738,72534,72534,14110,14110,22078,22078,35479,35479,52884,52884,26626,26626,16697,16697,32546,32546,9273,9273,42567,42567,51418,51418,14500,14500,159606,159606,34815,34815,168847,168847,56026,56026,76991,76991,68520,68520,44376,44376,100893,100893,38451,38451,51317,51317,78911,78911,103011,103011,26627,26627,149515,149515,50620,50620,92292,92292,68650,68650,23972,23972,25527,25527,27800,27800,43554,43554,72711,72711,17324,17324,15624,15624,97564,97564,127697,127697,66280,66280,99257,99257,48554,48554,85542,85542,26201,26201,66735,66735,38256,38256,110277,110277,33281,33281,74671,74671,20266,20266,84441,84441,32352,32352,32075,32075,13530,13530,93065,93065,78562,78562,59268,59268,8900,8900,5208,5208,69386,69386,12939,12939,99710,99710,18844,18844,89072,89072,13657,13657,11150,11150,30103,30103,52813,52813,81939,81939,23532,23532,178192,178192,17181,17181,82131,82131,35152,35152,87103,87103,63770,63770,23389,23389,104560,104560,80743,80743,56712,56712,30216,30216,45666,45666,17726,17726,22818,22818,26895,26895,44420,44420,16157,16157,49947,49947,22071,22071,10857,10857,43604,43604,17899,17899,11963,11963
9,15204,15204,15153,15153,14431,14431,18052,18052,71188,71188,14213,14213,22174,22174,36091,36091,52724,52724,26558,26558,16850,16850,32555,32555,9138,9138,40916,40916,51707,51707,14681,14681,161747,161747,34245,34245,169802,169802,56048,56048,78173,78173,69893,69893,45113,45113,102244,102244,39234,39234,52554,52554,79863,79863,105374,105374,26749,26749,150499,150499,54089,54089,84779,84779,68488,68488,24213,24213,25027,25027,28548,28548,44899,44899,74334,74334,17435,17435,15869,15869,98662,98662,124875,124875,66952,66952,98939,98939,48987,48987,86147,86147,27488,27488,65994,65994,38682,38682,108235,108235,34188,34188,75302,75302,20133,20133,85865,85865,33255,33255,31452,31452,13680,13680,91531,91531,78212,78212,59088,59088,8967,8967,5402,5402,68712,68712,13073,13073,100901,100901,17445,17445,91054,91054,13725,13725,11147,11147,29393,29393,51629,51629,83351,83351,23448,23448,197381,197381,17018,17018,82550,82550,35413,35413,87143,87143,65324,65324,21987,21987,104540,104540,79581,79581,56443,56443,30299,30299,46377,46377,17554,17554,23104,23104,27206,27206,44577,44577,16098,16098,50017,50017,22836,22836,11322,11322,43163,43163,17916,17916,11717,11717
10,15685,15685,14854,14854,14436,14436,18376,18376,70236,70236,14199,14199,22389,22389,37854,37854,53224,53224,27193,27193,16704,16704,32147,32147,9189,9189,39965,39965,51680,51680,14827,14827,164719,164719,34251,34251,171225,171225,57694,57694,79188,79188,71720,71720,46188,46188,104303,104303,39495,39495,53934,53934,81624,81624,109905,109905,27131,27131,153711,153711,56720,56720,79645,79645,67909,67909,24394,24394,25075,25075,28321,28321,44468,44468,75536,75536,16919,16919,15635,15635,100211,100211,124359,124359,66700,66700,98469,98469,50030,50030,86272,86272,26484,26484,66701,66701,40027,40027,104909,104909,34260,34260,75697,75697,19987,19987,86271,86271,33151,33151,31570,31570,13502,13502,88678,88678,79677,79677,59230,59230,9252,9252,5381,5381,69772,69772,13063,13063,101779,101779,13393,13393,90997,90997,13908,13908,11298,11298,29041,29041,52413,52413,82987,82987,23829,23829,207505,207505,17918,17918,82302,82302,35711,35711,87749,87749,65161,65161,21378,21378,103768,103768,77401,77401,57203,57203,30392,30392,45817,45817,17820,17820,23361,23361,26465,26465,44101,44101,16302,16302,50285,50285,23351,23351,11208,11208,43660,43660,17908,17908,12112,12112
