 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92
1,6792,6792,24726,24726,9936,9936,55990,55990,17846,17846,10948,10948,22006,22006,35080,35080,8860,8860,28979,28979,17450,17450,17674,17674,40429,40429,83697,83697,28521,28521,34333,34333,43291,43291,20699,20699,37742,37742,16561,16561,158939,158939,22159,22159,27689,27689,28837,28837,68065,68065,36313,36313,19043,19043,11189,11189,37365,37365,125429,125429,97862,97862,12607,12607,17474,17474,18964,18964,55682,55682,225282,225282,4221,4221,86240,86240,74076,74076,68222,68222,52000,52000,44729,44729,43416,43416,36718,36718,15422,15422,19638,19638,24832,24832,33390,33390,28223,28223,67498,67498,45562,45562,50377,50377,111336,111336,136491,136491,28323,28323,25348,25348,8470,8470,141321,141321,71127,71127,26382,26382,73446,73446,51774,51774,101726,101726,177683,177683,26437,26437,42235,42235,93325,93325,20139,20139,123295,123295,74750,74750,69538,69538,150223,150223,139491,139491,217999,217999,13973,13973,106713,106713,47699,47699,45453,45453,77677,77677,47809,47809,79018,79018,14811,14811,159374,159374,31518,31518,18768,18768,81687,81687,105790,105790,8202,8202,38667,38667,70622,70622,96996,96996,42472,42472
2,6581,6581,23611,23611,10040,10040,52779,52779,17018,17018,11107,11107,21528,21528,34188,34188,8996,8996,27684,27684,17499,17499,16719,16719,39945,39945,76870,76870,27141,27141,32912,32912,43373,43373,19777,19777,36772,36772,16296,16296,152216,152216,21138,21138,26576,26576,29145,29145,62535,62535,35225,35225,17955,17955,10997,10997,36644,36644,122123,122123,97895,97895,11862,11862,17141,17141,18706,18706,58053,58053,211801,211801,4383,4383,82715,82715,68067,68067,69032,69032,51401,51401,43093,43093,41893,41893,36189,36189,15517,15517,19904,19904,25499,25499,32968,32968,27444,27444,63556,63556,46060,46060,47625,47625,108733,108733,134863,134863,27575,27575,25767,25767,8706,8706,137380,137380,70242,70242,26126,26126,70954,70954,48147,48147,98300,98300,168777,168777,25730,25730,42885,42885,90969,90969,20208,20208,121672,121672,72421,72421,68596,68596,149703,149703,139307,139307,226241,226241,14132,14132,108161,108161,48898,48898,44647,44647,78592,78592,48363,48363,79486,79486,14839,14839,162628,162628,31022,31022,19364,19364,81457,81457,107099,107099,8297,8297,40483,40483,73457,73457,99709,99709,43865,43865
3,6416,6416,22792,22792,9905,9905,49139,49139,16239,16239,10629,10629,21089,21089,32671,32671,8561,8561,27615,27615,16836,16836,16613,16613,40508,40508,70563,70563,26819,26819,31797,31797,43433,43433,19404,19404,35864,35864,15574,15574,145449,145449,19792,19792,27003,27003,29672,29672,57844,57844,35000,35000,18452,18452,10827,10827,36751,36751,116014,116014,97449,97449,11525,11525,16591,16591,18291,18291,60127,60127,198821,198821,4071,4071,80054,80054,61899,61899,71166,71166,49968,49968,42365,42365,41731,41731,37701,37701,12169,12169,19840,19840,26431,26431,33116,33116,28406,28406,60916,60916,47792,47792,47996,47996,109838,109838,138839,138839,27918,27918,25462,25462,8472,8472,134044,134044,71331,71331,25867,25867,69721,69721,44491,44491,94747,94747,163445,163445,24821,24821,42550,42550,88601,88601,21026,21026,117481,117481,69454,69454,68802,68802,150786,150786,144650,144650,235817,235817,14259,14259,110371,110371,50432,50432,46014,46014,78449,78449,49347,49347,81027,81027,15129,15129,166464,166464,30808,30808,18403,18403,82059,82059,110245,110245,8161,8161,40392,40392,76098,76098,101235,101235,45557,45557
4,6820,6820,21989,21989,9926,9926,47107,47107,15582,15582,10240,10240,21699,21699,32461,32461,8420,8420,27263,27263,16554,16554,15793,15793,40100,40100,63383,63383,26307,26307,30855,30855,43842,43842,19320,19320,36072,36072,16060,16060,138985,138985,19774,19774,26523,26523,29908,29908,55639,55639,35080,35080,18783,18783,10531,10531,37088,37088,112234,112234,98294,98294,11048,11048,16444,16444,18473,18473,63398,63398,190783,190783,4491,4491,77751,77751,56150,56150,73297,73297,49722,49722,41486,41486,40937,40937,38430,38430,11582,11582,20294,20294,27207,27207,32919,32919,28426,28426,58232,58232,49422,49422,46851,46851,109629,109629,137934,137934,28022,28022,25351,25351,8953,8953,133533,133533,72364,72364,25496,25496,68261,68261,41930,41930,94987,94987,154147,154147,23888,23888,42868,42868,87807,87807,20792,20792,116584,116584,67765,67765,67603,67603,150758,150758,143740,143740,244885,244885,14349,14349,111447,111447,51962,51962,46901,46901,78988,78988,48996,48996,81261,81261,17248,17248,171576,171576,31058,31058,18400,18400,81788,81788,112560,112560,7885,7885,41382,41382,78725,78725,104395,104395,47719,47719
5,7061,7061,21523,21523,9164,9164,43943,43943,14986,14986,9738,9738,22323,22323,31645,31645,8712,8712,26655,26655,16290,16290,15129,15129,39668,39668,57508,57508,25248,25248,30513,30513,43043,43043,18483,18483,35653,35653,15824,15824,132641,132641,18440,18440,26663,26663,30962,30962,53189,53189,35637,35637,18762,18762,10357,10357,38786,38786,107110,107110,97839,97839,11505,11505,16974,16974,17238,17238,64584,64584,182118,182118,4294,4294,75359,75359,52082,52082,74058,74058,49600,49600,39848,39848,39297,39297,38830,38830,15686,15686,20447,20447,27549,27549,32878,32878,27761,27761,57918,57918,49546,49546,45823,45823,108603,108603,137304,137304,28487,28487,25827,25827,9183,9183,131666,131666,72917,72917,24721,24721,67443,67443,39227,39227,94967,94967,150124,150124,23303,23303,43870,43870,87229,87229,21030,21030,114631,114631,66967,66967,67085,67085,150790,150790,149894,149894,252735,252735,14428,14428,113882,113882,52075,52075,47096,47096,79018,79018,49882,49882,83873,83873,16716,16716,177086,177086,30367,30367,18678,18678,83294,83294,116102,116102,8132,8132,41609,41609,80804,80804,106712,106712,48992,48992
6,9497,9497,20287,20287,9557,9557,42205,42205,13990,13990,9204,9204,20933,20933,31643,31643,8168,8168,26221,26221,16268,16268,15346,15346,39388,39388,54007,54007,24454,24454,30096,30096,43805,43805,18402,18402,35866,35866,16110,16110,128731,128731,18984,18984,26593,26593,31388,31388,51681,51681,35762,35762,19308,19308,10447,10447,40076,40076,104556,104556,96991,96991,11073,11073,16778,16778,17305,17305,68622,68622,176760,176760,4521,4521,72038,72038,49116,49116,75867,75867,48233,48233,39604,39604,39273,39273,39343,39343,11968,11968,20582,20582,28350,28350,33026,33026,28118,28118,55958,55958,51668,51668,44608,44608,107404,107404,136328,136328,28814,28814,26805,26805,9698,9698,130520,130520,72951,72951,25805,25805,67047,67047,38201,38201,93975,93975,144720,144720,23285,23285,43931,43931,86538,86538,21552,21552,114351,114351,64486,64486,67098,67098,159753,159753,147925,147925,255577,255577,14749,14749,115839,115839,53557,53557,47433,47433,78002,78002,49246,49246,84460,84460,16507,16507,181124,181124,30218,30218,17513,17513,83052,83052,122407,122407,8305,8305,42048,42048,82159,82159,108816,108816,50984,50984
7,8771,8771,19931,19931,9281,9281,38847,38847,12865,12865,9598,9598,21070,21070,30926,30926,7589,7589,26385,26385,15623,15623,14606,14606,39008,39008,49993,49993,24354,24354,28568,28568,42691,42691,18184,18184,35117,35117,14951,14951,123782,123782,18398,18398,26083,26083,31980,31980,50823,50823,35562,35562,20088,20088,10202,10202,42430,42430,99445,99445,94180,94180,10721,10721,16348,16348,16902,16902,71674,71674,168017,168017,4417,4417,69549,69549,45279,45279,77828,77828,46778,46778,38368,38368,39030,39030,39773,39773,11252,11252,20943,20943,29674,29674,32433,32433,27815,27815,55367,55367,54486,54486,43205,43205,105707,105707,132020,132020,28964,28964,26821,26821,9518,9518,127976,127976,74884,74884,25125,25125,65781,65781,37164,37164,90823,90823,140847,140847,23244,23244,44689,44689,86374,86374,22437,22437,114859,114859,62663,62663,66932,66932,159481,159481,152535,152535,261624,261624,15015,15015,116944,116944,54918,54918,48839,48839,77371,77371,50047,50047,87647,87647,16334,16334,187922,187922,30662,30662,17714,17714,81775,81775,125080,125080,8079,8079,43293,43293,83119,83119,110415,110415,53186,53186
8,8644,8644,19190,19190,9045,9045,36448,36448,12508,12508,10318,10318,20816,20816,31049,31049,7572,7572,26039,26039,14918,14918,14818,14818,38804,38804,47694,47694,24037,24037,27569,27569,42652,42652,18032,18032,34533,34533,15689,15689,119241,119241,18035,18035,26068,26068,32497,32497,49852,49852,35013,35013,19733,19733,9887,9887,44537,44537,97264,97264,91616,91616,10524,10524,16409,16409,17142,17142,74661,74661,165186,165186,4240,4240,65072,65072,43173,43173,77838,77838,46408,46408,38334,38334,37589,37589,41111,41111,11360,11360,21117,21117,30070,30070,32648,32648,28363,28363,54372,54372,55333,55333,42946,42946,105537,105537,128717,128717,30211,30211,26533,26533,9403,9403,128180,128180,74661,74661,25065,25065,65906,65906,35678,35678,88116,88116,135039,135039,22274,22274,44682,44682,85157,85157,22118,22118,111654,111654,62382,62382,66945,66945,155395,155395,150554,150554,265618,265618,15588,15588,118484,118484,55563,55563,50006,50006,78613,78613,49974,49974,86943,86943,16449,16449,191840,191840,29807,29807,17674,17674,82421,82421,133129,133129,8407,8407,44054,44054,83900,83900,112408,112408,54877,54877
9,7547,7547,19045,19045,8785,8785,34632,34632,12431,12431,10911,10911,20387,20387,30219,30219,7372,7372,26056,26056,14759,14759,14563,14563,38166,38166,44914,44914,24155,24155,25810,25810,43030,43030,17490,17490,33913,33913,15278,15278,114893,114893,17607,17607,25914,25914,32233,32233,48929,48929,34182,34182,20216,20216,9783,9783,45784,45784,95177,95177,91819,91819,10364,10364,16386,16386,16807,16807,77292,77292,158602,158602,4294,4294,61324,61324,41104,41104,79414,79414,45149,45149,37263,37263,37676,37676,41393,41393,11026,11026,20543,20543,30222,30222,33046,33046,28096,28096,53470,53470,55129,55129,41262,41262,105927,105927,126734,126734,30311,30311,26554,26554,9663,9663,125939,125939,74541,74541,25261,25261,64031,64031,34985,34985,84132,84132,130462,130462,22031,22031,44253,44253,84517,84517,22290,22290,111030,111030,61243,61243,65612,65612,153172,153172,150874,150874,268180,268180,15628,15628,119081,119081,56147,56147,51922,51922,77104,77104,49375,49375,88955,88955,17459,17459,194807,194807,29621,29621,17746,17746,82936,82936,137130,137130,8598,8598,43531,43531,84897,84897,111512,111512,55240,55240
10,6860,6860,18402,18402,8769,8769,33115,33115,11485,11485,11149,11149,20678,20678,29831,29831,7515,7515,26160,26160,14417,14417,13922,13922,38571,38571,42911,42911,23605,23605,24334,24334,42547,42547,17356,17356,33898,33898,15575,15575,109498,109498,17477,17477,25392,25392,33028,33028,48780,48780,34729,34729,20024,20024,9199,9199,47826,47826,89679,89679,89751,89751,10310,10310,16014,16014,16257,16257,78691,78691,153753,153753,3906,3906,56518,56518,40469,40469,79140,79140,44545,44545,36257,36257,37469,37469,42148,42148,11055,11055,21086,21086,30473,30473,32694,32694,26842,26842,52413,52413,56218,56218,41145,41145,103803,103803,123132,123132,29759,29759,27215,27215,9553,9553,125131,125131,74352,74352,23990,23990,63150,63150,34606,34606,79561,79561,125331,125331,21812,21812,43393,43393,83882,83882,22658,22658,107728,107728,58984,58984,64972,64972,149193,149193,152050,152050,269163,269163,15862,15862,119411,119411,55973,55973,51987,51987,78189,78189,48955,48955,88618,88618,15818,15818,198309,198309,29017,29017,18004,18004,81923,81923,138493,138493,8087,8087,44005,44005,83648,83648,113113,113113,57420,57420
