 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142
1,12195,12195,51587,51587,27562,27562,32409,32409,89731,89731,3882,3882,26612,26612,20959,20959,13218,13218,3632,3632,9179,9179,25289,25289,25153,25153,22476,22476,15017,15017,4305,4305,5913,5913,18206,18206,36386,36386,27593,27593,6335,6335,20322,20322,14493,14493,26687,26687,47427,47427,96913,96913,43767,43767,55446,55446,14065,14065,20581,20581,13881,13881,3787,3787,16162,16162,11249,11249,7427,7427,33062,33062,19536,19536,18287,18287,17576,17576,12743,12743,18156,18156,24937,24937,21747,21747,34834,34834,23964,23964,32717,32717,97029,97029,12356,12356,17085,17085,96780,96780,4958,4958,28758,28758,49721,49721,40178,40178,103108,103108,36975,36975,6932,6932,38780,38780,54395,54395,78381,78381,25678,25678,11800,11800,13737,13737,3933,3933,35527,35527,20272,20272,17023,17023,46514,46514,12462,12462,12590,12590,25608,25608,37120,37120,7442,7442,62818,62818,9842,9842,16326,16326,15800,15800,27525,27525,24022,24022,7767,7767,17778,17778,11540,11540,67333,67333,93092,93092,46905,46905,25821,25821,88350,88350,7012,7012,22772,22772,45419,45419,43419,43419,13023,13023,42808,42808,5279,5279,67530,67530,5415,5415,28530,28530,14558,14558,28142,28142,27769,27769,46821,46821,34854,34854,44088,44088,39311,39311,46088,46088,25474,25474,155322,155322,22080,22080,14560,14560,37738,37738,28098,28098,9162,9162,11599,11599,130082,130082,12595,12595,34911,34911,13394,13394,31529,31529,18018,18018,5821,5821,32018,32018,17002,17002,21612,21612,17579,17579,4180,4180,16693,16693,31150,31150,22643,22643,8101,8101,22117,22117,20115,20115,13877,13877,25478,25478,27962,27962,41402,41402,11642,11642,27027,27027,15856,15856,11877,11877,17948,17948,33982,33982,4233,4233
2,11444,11444,49817,49817,28501,28501,30825,30825,84413,84413,3697,3697,26164,26164,20807,20807,13143,13143,3733,3733,9155,9155,24861,24861,24572,24572,23240,23240,15406,15406,4354,4354,6228,6228,18175,18175,35508,35508,26362,26362,6183,6183,20611,20611,14680,14680,27469,27469,50861,50861,98498,98498,44360,44360,55530,55530,14665,14665,19722,19722,13842,13842,3697,3697,16726,16726,11344,11344,7109,7109,33918,33918,19744,19744,18901,18901,17094,17094,12495,12495,18201,18201,25112,25112,22133,22133,33931,33931,24517,24517,28888,28888,95971,95971,12336,12336,16375,16375,96338,96338,5081,5081,29467,29467,50274,50274,39310,39310,102393,102393,36404,36404,6793,6793,38880,38880,54899,54899,78489,78489,25970,25970,12003,12003,14027,14027,4210,4210,36355,36355,20042,20042,17864,17864,47820,47820,12640,12640,12496,12496,26357,26357,37754,37754,7303,7303,65862,65862,10294,10294,16493,16493,15324,15324,27840,27840,23724,23724,8091,8091,17708,17708,11191,11191,67293,67293,92702,92702,47452,47452,25812,25812,88962,88962,7267,7267,23268,23268,44861,44861,47079,47079,13139,13139,42664,42664,5359,5359,66650,66650,5736,5736,28531,28531,14589,14589,28011,28011,27604,27604,48407,48407,37332,37332,43488,43488,39425,39425,46286,46286,25367,25367,153467,153467,19854,19854,14905,14905,38722,38722,28739,28739,9328,9328,11298,11298,126242,126242,12708,12708,35229,35229,13465,13465,31486,31486,17948,17948,5990,5990,32017,32017,17589,17589,21092,21092,17283,17283,4253,4253,16450,16450,31162,31162,23165,23165,8049,8049,22031,22031,19797,19797,13360,13360,25804,25804,27614,27614,41776,41776,11488,11488,26960,26960,15823,15823,11905,11905,18129,18129,34335,34335,4467,4467
3,11445,11445,46742,46742,29419,29419,29924,29924,81970,81970,3643,3643,25128,25128,20239,20239,13364,13364,3685,3685,9592,9592,24679,24679,23314,23314,23025,23025,15627,15627,4685,4685,5988,5988,18791,18791,35464,35464,27032,27032,5837,5837,21585,21585,14549,14549,28251,28251,49610,49610,99736,99736,44168,44168,54694,54694,14536,14536,20119,20119,14156,14156,3493,3493,17480,17480,11282,11282,7344,7344,35328,35328,18996,18996,17890,17890,17383,17383,12359,12359,18031,18031,25492,25492,22525,22525,37384,37384,23765,23765,27544,27544,94681,94681,12188,12188,15865,15865,96048,96048,5378,5378,28728,28728,50445,50445,38066,38066,102596,102596,36341,36341,6876,6876,38496,38496,54287,54287,76740,76740,25942,25942,11491,11491,14152,14152,3761,3761,39050,39050,20351,20351,15915,15915,47928,47928,12540,12540,12889,12889,26101,26101,36921,36921,7158,7158,66325,66325,10107,10107,16430,16430,15138,15138,27717,27717,24411,24411,8062,8062,17912,17912,9832,9832,67047,67047,92487,92487,47480,47480,26083,26083,87421,87421,7345,7345,23233,23233,45415,45415,50587,50587,13198,13198,43390,43390,5541,5541,66384,66384,5281,5281,28560,28560,14506,14506,27872,27872,27668,27668,48070,48070,38432,38432,43777,43777,39255,39255,45574,45574,25986,25986,154419,154419,18499,18499,14737,14737,38440,38440,30570,30570,9535,9535,11948,11948,124544,124544,12938,12938,35372,35372,13520,13520,31967,31967,17885,17885,5881,5881,31474,31474,17331,17331,21069,21069,17446,17446,4312,4312,16624,16624,30710,30710,23255,23255,7767,7767,21898,21898,19807,19807,13599,13599,24956,24956,27494,27494,41162,41162,11908,11908,26784,26784,15784,15784,12175,12175,18183,18183,34013,34013,4515,4515
4,11663,11663,45590,45590,29909,29909,28721,28721,79848,79848,3505,3505,24333,24333,21080,21080,13574,13574,3800,3800,9572,9572,25293,25293,23323,23323,23572,23572,16215,16215,5010,5010,6244,6244,18788,18788,35826,35826,27006,27006,5660,5660,22039,22039,14510,14510,27818,27818,58999,58999,101498,101498,45156,45156,56452,56452,14786,14786,20608,20608,14409,14409,3908,3908,17836,17836,11367,11367,6845,6845,36494,36494,18943,18943,18904,18904,18464,18464,12794,12794,17992,17992,26706,26706,23337,23337,39699,39699,23983,23983,24165,24165,93431,93431,12636,12636,15258,15258,96420,96420,5141,5141,29191,29191,51514,51514,37529,37529,103063,103063,36403,36403,6793,6793,37839,37839,54269,54269,75177,75177,26804,26804,11460,11460,14499,14499,4155,4155,41787,41787,20108,20108,16252,16252,49408,49408,13216,13216,12771,12771,26222,26222,38301,38301,7216,7216,69755,69755,9967,9967,16268,16268,15825,15825,27399,27399,24053,24053,8508,8508,17733,17733,9717,9717,70071,70071,92734,92734,48252,48252,26724,26724,88778,88778,7893,7893,23440,23440,45774,45774,53391,53391,13609,13609,44114,44114,5770,5770,66564,66564,5295,5295,28435,28435,14895,14895,28252,28252,27316,27316,48649,48649,39314,39314,44077,44077,39751,39751,46866,46866,25571,25571,154304,154304,17485,17485,15134,15134,38729,38729,32460,32460,9380,9380,11461,11461,123825,123825,13094,13094,35325,35325,13504,13504,32816,32816,17769,17769,6194,6194,31693,31693,17445,17445,20892,20892,17463,17463,4162,4162,16735,16735,30939,30939,23103,23103,8000,8000,21920,21920,19782,19782,13816,13816,25261,25261,27805,27805,41704,41704,11607,11607,26358,26358,15954,15954,11883,11883,18086,18086,33589,33589,5045,5045
5,10782,10782,44728,44728,31393,31393,27858,27858,79436,79436,3815,3815,24854,24854,20753,20753,13598,13598,4008,4008,9736,9736,25124,25124,22549,22549,23553,23553,16456,16456,6260,6260,5873,5873,19384,19384,36526,36526,26460,26460,6084,6084,22321,22321,14574,14574,28810,28810,68467,68467,102599,102599,44789,44789,55454,55454,15148,15148,20140,20140,13967,13967,3868,3868,17445,17445,11415,11415,7185,7185,37267,37267,19385,19385,18955,18955,18241,18241,12072,12072,18170,18170,26715,26715,23935,23935,40487,40487,24678,24678,24699,24699,94881,94881,12739,12739,14654,14654,96936,96936,5325,5325,29048,29048,50840,50840,37018,37018,102868,102868,37465,37465,6837,6837,38431,38431,53924,53924,74566,74566,26358,26358,11474,11474,14569,14569,4210,4210,45880,45880,20661,20661,15031,15031,48806,48806,13571,13571,12990,12990,27155,27155,37814,37814,7711,7711,71070,71070,10279,10279,17135,17135,14998,14998,26692,26692,24413,24413,8593,8593,17734,17734,9406,9406,69796,69796,92097,92097,49407,49407,26073,26073,89773,89773,8343,8343,23639,23639,46218,46218,57398,57398,13345,13345,44294,44294,5813,5813,65631,65631,5592,5592,29040,29040,14703,14703,28647,28647,28098,28098,48738,48738,40894,40894,44510,44510,40094,40094,47533,47533,26488,26488,154071,154071,17300,17300,15174,15174,39392,39392,31359,31359,9780,9780,11626,11626,124243,124243,13217,13217,35961,35961,13870,13870,32559,32559,18009,18009,6303,6303,31732,31732,18132,18132,21961,21961,17312,17312,4330,4330,16559,16559,30741,30741,23202,23202,8103,8103,22265,22265,19383,19383,14629,14629,25491,25491,27693,27693,41702,41702,12355,12355,26375,26375,15324,15324,11450,11450,18364,18364,34322,34322,5368,5368
6,10893,10893,42945,42945,31398,31398,27953,27953,76219,76219,3713,3713,23821,23821,20351,20351,13625,13625,3941,3941,9850,9850,24649,24649,22289,22289,24158,24158,16478,16478,6531,6531,5905,5905,19446,19446,36401,36401,25603,25603,6322,6322,22568,22568,15132,15132,29079,29079,65004,65004,101893,101893,46024,46024,54808,54808,15433,15433,20051,20051,13564,13564,3932,3932,17961,17961,11560,11560,6447,6447,37783,37783,19277,19277,19249,19249,17572,17572,11765,11765,18071,18071,26846,26846,24285,24285,40131,40131,24213,24213,25139,25139,92043,92043,12774,12774,13281,13281,94638,94638,5215,5215,28969,28969,51977,51977,36239,36239,101982,101982,36870,36870,7020,7020,37234,37234,53724,53724,71793,71793,26163,26163,11573,11573,14264,14264,4070,4070,49640,49640,20650,20650,14738,14738,49462,49462,13535,13535,13192,13192,27207,27207,38240,38240,7562,7562,70678,70678,10641,10641,17342,17342,15747,15747,27011,27011,24237,24237,8408,8408,17840,17840,9566,9566,69668,69668,90972,90972,50238,50238,26130,26130,89514,89514,8071,8071,23409,23409,46217,46217,62484,62484,13965,13965,43975,43975,5894,5894,65332,65332,5612,5612,28767,28767,15013,15013,29212,29212,28376,28376,48652,48652,45761,45761,44773,44773,41133,41133,47974,47974,26923,26923,153617,153617,17117,17117,15054,15054,40176,40176,30475,30475,9737,9737,11975,11975,122511,122511,13421,13421,36116,36116,13861,13861,32138,32138,17723,17723,6336,6336,32083,32083,17991,17991,21009,21009,17624,17624,4180,4180,17104,17104,31282,31282,23236,23236,8300,8300,21996,21996,20047,20047,15161,15161,25575,25575,28072,28072,41993,41993,12291,12291,26606,26606,16020,16020,11854,11854,17654,17654,35174,35174,6028,6028
7,10903,10903,41949,41949,32242,32242,27096,27096,75753,75753,3833,3833,24158,24158,20633,20633,14321,14321,3954,3954,10769,10769,25301,25301,21782,21782,24131,24131,17088,17088,8509,8509,5927,5927,19370,19370,37190,37190,25674,25674,6181,6181,22927,22927,15549,15549,29322,29322,62241,62241,103514,103514,45590,45590,55943,55943,15482,15482,20201,20201,14119,14119,4268,4268,18368,18368,11793,11793,6694,6694,38739,38739,19563,19563,19437,19437,18157,18157,11911,11911,18144,18144,27686,27686,24756,24756,40991,40991,23981,23981,24744,24744,92400,92400,12859,12859,13532,13532,95178,95178,5445,5445,28161,28161,52600,52600,35532,35532,100980,100980,36506,36506,6882,6882,37299,37299,54732,54732,69400,69400,26966,26966,11479,11479,14626,14626,3670,3670,52764,52764,20415,20415,14746,14746,50232,50232,13626,13626,13744,13744,27710,27710,35793,35793,7507,7507,69964,69964,10376,10376,17302,17302,15920,15920,26310,26310,24361,24361,9506,9506,17775,17775,10263,10263,69234,69234,92665,92665,49777,49777,26607,26607,88651,88651,8681,8681,23230,23230,46895,46895,64803,64803,13276,13276,45096,45096,5734,5734,66083,66083,5426,5426,28961,28961,14903,14903,29166,29166,28150,28150,49608,49608,49796,49796,45812,45812,41008,41008,47798,47798,26724,26724,152040,152040,16693,16693,15349,15349,39580,39580,32672,32672,9823,9823,11999,11999,120778,120778,13349,13349,36714,36714,14263,14263,32968,32968,18097,18097,6626,6626,32203,32203,18063,18063,22020,22020,18186,18186,4257,4257,16258,16258,32974,32974,24182,24182,8367,8367,22075,22075,20081,20081,15592,15592,25477,25477,28993,28993,42057,42057,14853,14853,26351,26351,16211,16211,11743,11743,17928,17928,35081,35081,6201,6201
8,10578,10578,41484,41484,32680,32680,26874,26874,74248,74248,3772,3772,24009,24009,20923,20923,14274,14274,3947,3947,10748,10748,25108,25108,21622,21622,24333,24333,17072,17072,9327,9327,6026,6026,19840,19840,36133,36133,25968,25968,5876,5876,23514,23514,15559,15559,29695,29695,59706,59706,104701,104701,46483,46483,56461,56461,15628,15628,20292,20292,13735,13735,4000,4000,18345,18345,11470,11470,7020,7020,39706,39706,19283,19283,19557,19557,18487,18487,11620,11620,18271,18271,27967,27967,24954,24954,42171,42171,23636,23636,23916,23916,92327,92327,12760,12760,13635,13635,95186,95186,5147,5147,28872,28872,53105,53105,34424,34424,102051,102051,36379,36379,6433,6433,36946,36946,54159,54159,66971,66971,26917,26917,11394,11394,14499,14499,3822,3822,54539,54539,20871,20871,14918,14918,49789,49789,13325,13325,13357,13357,27557,27557,35174,35174,7392,7392,71914,71914,10216,10216,18267,18267,15719,15719,27266,27266,24844,24844,9309,9309,17863,17863,9653,9653,69884,69884,91328,91328,50843,50843,26909,26909,88985,88985,8287,8287,23371,23371,47710,47710,69203,69203,13771,13771,45325,45325,5886,5886,66599,66599,5716,5716,29632,29632,15289,15289,29964,29964,28039,28039,49667,49667,54942,54942,46273,46273,41391,41391,48043,48043,27630,27630,153295,153295,15959,15959,15215,15215,41266,41266,33736,33736,9651,9651,11447,11447,117732,117732,13647,13647,36815,36815,14271,14271,33038,33038,18196,18196,6473,6473,31698,31698,18124,18124,21495,21495,18381,18381,4337,4337,16726,16726,32198,32198,23471,23471,8315,8315,22060,22060,20106,20106,16822,16822,25673,25673,28572,28572,42086,42086,17012,17012,26977,26977,15959,15959,12030,12030,17738,17738,35936,35936,6382,6382
9,10515,10515,40408,40408,33339,33339,25908,25908,72309,72309,3830,3830,24433,24433,21315,21315,14316,14316,3991,3991,10572,10572,25071,25071,21835,21835,25259,25259,17376,17376,9565,9565,5907,5907,19750,19750,37147,37147,25449,25449,5316,5316,24529,24529,15847,15847,30652,30652,55778,55778,104959,104959,47425,47425,57046,57046,16013,16013,20585,20585,13615,13615,4205,4205,18735,18735,11659,11659,6850,6850,40775,40775,19242,19242,20290,20290,18701,18701,12021,12021,17896,17896,29371,29371,25786,25786,41790,41790,24410,24410,23441,23441,91311,91311,13465,13465,13487,13487,95501,95501,5167,5167,29250,29250,54148,54148,33606,33606,101268,101268,36652,36652,6888,6888,37274,37274,54584,54584,66289,66289,26942,26942,11679,11679,14899,14899,3818,3818,55466,55466,21036,21036,17857,17857,50762,50762,14121,14121,14112,14112,28807,28807,35497,35497,7397,7397,73132,73132,10507,10507,18180,18180,15701,15701,25754,25754,24824,24824,9149,9149,18341,18341,9925,9925,72251,72251,90984,90984,52018,52018,26595,26595,91968,91968,8356,8356,23863,23863,48936,48936,72453,72453,13499,13499,46354,46354,5750,5750,67372,67372,6108,6108,29994,29994,14810,14810,29703,29703,29001,29001,50401,50401,60875,60875,46763,46763,41442,41442,48595,48595,27951,27951,153081,153081,16550,16550,15434,15434,42265,42265,32334,32334,10138,10138,11865,11865,118207,118207,13423,13423,37056,37056,14048,14048,33678,33678,18301,18301,6274,6274,31831,31831,18478,18478,21638,21638,19284,19284,4352,4352,17215,17215,32488,32488,24202,24202,8398,8398,22622,22622,20739,20739,19281,19281,25308,25308,28266,28266,41718,41718,22538,22538,26788,26788,15840,15840,11977,11977,18145,18145,35254,35254,6564,6564
10,10527,10527,40590,40590,33902,33902,24666,24666,71530,71530,3705,3705,24471,24471,21438,21438,14556,14556,4098,4098,11002,11002,25379,25379,22079,22079,25270,25270,18228,18228,8744,8744,5905,5905,20210,20210,37014,37014,25781,25781,5323,5323,24346,24346,16523,16523,31578,31578,51637,51637,105840,105840,48065,48065,57048,57048,16013,16013,20467,20467,14340,14340,4421,4421,19315,19315,12033,12033,7071,7071,40432,40432,19678,19678,20368,20368,19011,19011,11824,11824,18713,18713,30209,30209,25896,25896,42536,42536,24102,24102,23099,23099,92376,92376,13717,13717,13932,13932,95643,95643,5195,5195,28990,28990,55929,55929,33076,33076,101832,101832,37017,37017,6801,6801,37511,37511,55513,55513,61849,61849,27348,27348,11323,11323,14688,14688,3978,3978,56437,56437,21109,21109,14774,14774,51605,51605,14033,14033,14341,14341,29430,29430,35781,35781,7485,7485,73642,73642,10479,10479,18337,18337,15811,15811,25844,25844,24572,24572,9309,9309,18429,18429,10085,10085,73165,73165,91146,91146,52994,52994,27178,27178,92347,92347,8497,8497,24568,24568,48361,48361,73799,73799,13963,13963,47785,47785,5945,5945,66355,66355,6182,6182,30866,30866,15615,15615,30018,30018,29505,29505,51682,51682,63249,63249,47558,47558,42541,42541,48471,48471,28983,28983,154657,154657,15998,15998,15927,15927,41179,41179,32279,32279,10120,10120,12160,12160,116971,116971,14305,14305,37867,37867,14529,14529,33679,33679,18851,18851,6653,6653,32114,32114,18932,18932,22061,22061,20920,20920,4497,4497,17412,17412,32604,32604,24530,24530,8580,8580,22427,22427,20476,20476,20670,20670,25541,25541,29179,29179,42895,42895,28600,28600,27360,27360,16054,16054,11969,11969,17935,17935,36095,36095,6549,6549
