 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81
1,295485,295485,86401,86401,16771,16771,70710,70710,24574,24574,7897,7897,13804,13804,66225,66225,33715,33715,35212,35212,17703,17703,84865,84865,21922,21922,139359,139359,149140,149140,8559,8559,34147,34147,20942,20942,58136,58136,176143,176143,40318,40318,64290,64290,55325,55325,23936,23936,16549,16549,11835,11835,30719,30719,42052,42052,33794,33794,5188,5188,12318,12318,58336,58336,31784,31784,26745,26745,39417,39417,55179,55179,20339,20339,14725,14725,11498,11498,16200,16200,43806,43806,19233,19233,17262,17262,17455,17455,37392,37392,13870,13870,6823,6823,12418,12418,30651,30651,13969,13969,14802,14802,22266,22266,44643,44643,60865,60865,20866,20866,19801,19801,13157,13157,7865,7865,22477,22477,111385,111385,14774,14774,8403,8403,18914,18914,14121,14121,66082,66082,17196,17196,47072,47072,17452,17452,2466,2466,5788,5788,11794,11794,8200,8200,20323,20323,52140,52140,25947,25947,4523,4523,561,561,3947,3947,5008,5008,45915,45915,10192,10192
2,281493,281493,81045,81045,17264,17264,68638,68638,22938,22938,9142,9142,13363,13363,63045,63045,33247,33247,32464,32464,17443,17443,83211,83211,22358,22358,135540,135540,149124,149124,8342,8342,34878,34878,20695,20695,58959,58959,172829,172829,23483,23483,61876,61876,51854,51854,23780,23780,17036,17036,12994,12994,30158,30158,40747,40747,33336,33336,5163,5163,12095,12095,59151,59151,26977,26977,26221,26221,34623,34623,54983,54983,20178,20178,15148,15148,11776,11776,16407,16407,40444,40444,18563,18563,17492,17492,17401,17401,36781,36781,13117,13117,6865,6865,11788,11788,30201,30201,14102,14102,14862,14862,21691,21691,43980,43980,59483,59483,20329,20329,17762,17762,12530,12530,8036,8036,22217,22217,107818,107818,14833,14833,8504,8504,18366,18366,14413,14413,64902,64902,17287,17287,47358,47358,16868,16868,2554,2554,5531,5531,11005,11005,7923,7923,19675,19675,52747,52747,26262,26262,4642,4642,572,572,4061,4061,4964,4964,45404,45404,10395,10395
3,271439,271439,77531,77531,16872,16872,67480,67480,22497,22497,9100,9100,13087,13087,62150,62150,32674,32674,30300,30300,16689,16689,78022,78022,22409,22409,135102,135102,150667,150667,8341,8341,33888,33888,21352,21352,58576,58576,169588,169588,18317,18317,57845,57845,45854,45854,24238,24238,16777,16777,12429,12429,28954,28954,41194,41194,33928,33928,5067,5067,11894,11894,57914,57914,25289,25289,25426,25426,22555,22555,54028,54028,19739,19739,14792,14792,11544,11544,16613,16613,39572,39572,18748,18748,16980,16980,16923,16923,36889,36889,13494,13494,6773,6773,12294,12294,30274,30274,13297,13297,13351,13351,21874,21874,44661,44661,57674,57674,20137,20137,16945,16945,12799,12799,8100,8100,21865,21865,103711,103711,14336,14336,8603,8603,18709,18709,13604,13604,64891,64891,17317,17317,47408,47408,17488,17488,2641,2641,5498,5498,10771,10771,8028,8028,20292,20292,51141,51141,24839,24839,4558,4558,593,593,3686,3686,4552,4552,45646,45646,9773,9773
4,256976,256976,72746,72746,16231,16231,62882,62882,21661,21661,8036,8036,12918,12918,60341,60341,32066,32066,25874,25874,16107,16107,71717,71717,21878,21878,133126,133126,150925,150925,8810,8810,34134,34134,21123,21123,58556,58556,163837,163837,19608,19608,56630,56630,40733,40733,23973,23973,15866,15866,12513,12513,28648,28648,40583,40583,32332,32332,5152,5152,12077,12077,58162,58162,25106,25106,24882,24882,18198,18198,54041,54041,20424,20424,15029,15029,11547,11547,17089,17089,39096,39096,18685,18685,17294,17294,17171,17171,36937,36937,13767,13767,6885,6885,12346,12346,30462,30462,13545,13545,13540,13540,21249,21249,43765,43765,57458,57458,19846,19846,13636,13636,11821,11821,8357,8357,22360,22360,100479,100479,14511,14511,8500,8500,18382,18382,13803,13803,64140,64140,16908,16908,47893,47893,16949,16949,2596,2596,5458,5458,10821,10821,8176,8176,20254,20254,51169,51169,23385,23385,4609,4609,601,601,3722,3722,4773,4773,46384,46384,10293,10293
5,247644,247644,71154,71154,16268,16268,58801,58801,20450,20450,8816,8816,13149,13149,57342,57342,31128,31128,24027,24027,15348,15348,60394,60394,21891,21891,128938,128938,147812,147812,8231,8231,33376,33376,20779,20779,57670,57670,162070,162070,11282,11282,55848,55848,36174,36174,24048,24048,14681,14681,11137,11137,27833,27833,39413,39413,32284,32284,5235,5235,11649,11649,57711,57711,24606,24606,24444,24444,17061,17061,54521,54521,20193,20193,14752,14752,11571,11571,17197,17197,38311,38311,18541,18541,17774,17774,17629,17629,37202,37202,13413,13413,6780,6780,12165,12165,30201,30201,13623,13623,12664,12664,21557,21557,45617,45617,56434,56434,18885,18885,11231,11231,11752,11752,8255,8255,23758,23758,97616,97616,14317,14317,8581,8581,18761,18761,13305,13305,63719,63719,16982,16982,48820,48820,17087,17087,2544,2544,5394,5394,10795,10795,7970,7970,20695,20695,50509,50509,19246,19246,4593,4593,543,543,3511,3511,4786,4786,46273,46273,9942,9942
6,235690,235690,67654,67654,16225,16225,54802,54802,20214,20214,8921,8921,12481,12481,55434,55434,30942,30942,23876,23876,14562,14562,47370,47370,21895,21895,130207,130207,149121,149121,8209,8209,32650,32650,20853,20853,56493,56493,156240,156240,11473,11473,58335,58335,34143,34143,23771,23771,13982,13982,10502,10502,26744,26744,38382,38382,30625,30625,4984,4984,11570,11570,57135,57135,24176,24176,25750,25750,16742,16742,53697,53697,20578,20578,14780,14780,11716,11716,17075,17075,38940,38940,18960,18960,17115,17115,17655,17655,37592,37592,13460,13460,6777,6777,12345,12345,30733,30733,13317,13317,12550,12550,21083,21083,45316,45316,54567,54567,18840,18840,9445,9445,11895,11895,7979,7979,22564,22564,94160,94160,14033,14033,8009,8009,17916,17916,13627,13627,63638,63638,16836,16836,48532,48532,16857,16857,2603,2603,5585,5585,10380,10380,8139,8139,19945,19945,51546,51546,16899,16899,4322,4322,540,540,3486,3486,4876,4876,46502,46502,10162,10162
7,227676,227676,64215,64215,16359,16359,49490,49490,19211,19211,8192,8192,12518,12518,55201,55201,30217,30217,23304,23304,14088,14088,38083,38083,21504,21504,125317,125317,148334,148334,7815,7815,33414,33414,20863,20863,55596,55596,156401,156401,21065,21065,63944,63944,32654,32654,24353,24353,14782,14782,9141,9141,26400,26400,38236,38236,24813,24813,5115,5115,11656,11656,58070,58070,23900,23900,24517,24517,16462,16462,52877,52877,20581,20581,14978,14978,11425,11425,17625,17625,38624,38624,18669,18669,18069,18069,17421,17421,37476,37476,13565,13565,6922,6922,12077,12077,30451,30451,13536,13536,12935,12935,20676,20676,43128,43128,54706,54706,19061,19061,8968,8968,11201,11201,8193,8193,23212,23212,92700,92700,14022,14022,7873,7873,18621,18621,13201,13201,62578,62578,16913,16913,49611,49611,17216,17216,2549,2549,5547,5547,10266,10266,8039,8039,20352,20352,50672,50672,16697,16697,4672,4672,521,521,3312,3312,4464,4464,44049,44049,9682,9682
8,218132,218132,63780,63780,16309,16309,49748,49748,18302,18302,10055,10055,12206,12206,51370,51370,29601,29601,22424,22424,13062,13062,34404,34404,22058,22058,124124,124124,146803,146803,7380,7380,34247,34247,19895,19895,54617,54617,152644,152644,14732,14732,65815,65815,31183,31183,24808,24808,14575,14575,8442,8442,26794,26794,37997,37997,19333,19333,4881,4881,11434,11434,57541,57541,23212,23212,24732,24732,16377,16377,52817,52817,20652,20652,15005,15005,11854,11854,17471,17471,39056,39056,18502,18502,17420,17420,17515,17515,37226,37226,13141,13141,6563,6563,12312,12312,30421,30421,13068,13068,13087,13087,21055,21055,45076,45076,54738,54738,19077,19077,8024,8024,11716,11716,8135,8135,22372,22372,91597,91597,14341,14341,8028,8028,18442,18442,13178,13178,62343,62343,16825,16825,49076,49076,17279,17279,2647,2647,5344,5344,9928,9928,8596,8596,19566,19566,50077,50077,15971,15971,4546,4546,508,508,3513,3513,4588,4588,44047,44047,9656,9656
9,210076,210076,61126,61126,15976,15976,49054,49054,18423,18423,9159,9159,12212,12212,49339,49339,29185,29185,22062,22062,12062,12062,31740,31740,22145,22145,124096,124096,144907,144907,7706,7706,34858,34858,19169,19169,55356,55356,148438,148438,11405,11405,65696,65696,32386,32386,24740,24740,14102,14102,7021,7021,25940,25940,37898,37898,13272,13272,5213,5213,11395,11395,57043,57043,24128,24128,25672,25672,16500,16500,52945,52945,20675,20675,15063,15063,12127,12127,17306,17306,38910,38910,18608,18608,17506,17506,17493,17493,37266,37266,13356,13356,6855,6855,12415,12415,30591,30591,13185,13185,13932,13932,20937,20937,44572,44572,53433,53433,18536,18536,7950,7950,10537,10537,8213,8213,23247,23247,91010,91010,14595,14595,7837,7837,18551,18551,13005,13005,63768,63768,16638,16638,49437,49437,17239,17239,2590,2590,5503,5503,9704,9704,8734,8734,19070,19070,49031,49031,16201,16201,4249,4249,547,547,3407,3407,4627,4627,45993,45993,9942,9942
10,203100,203100,60534,60534,16246,16246,52769,52769,17976,17976,8028,8028,12177,12177,48347,48347,28603,28603,20966,20966,11175,11175,29905,29905,21447,21447,122473,122473,145587,145587,7442,7442,34834,34834,18233,18233,54468,54468,146942,146942,13034,13034,62236,62236,30698,30698,24216,24216,14479,14479,7120,7120,25242,25242,38329,38329,10880,10880,4915,4915,11824,11824,57739,57739,24045,24045,24685,24685,16495,16495,52152,52152,21199,21199,15348,15348,11784,11784,18038,18038,38993,38993,18292,18292,17756,17756,17882,17882,38843,38843,13517,13517,6785,6785,12185,12185,31248,31248,12873,12873,13967,13967,20317,20317,44342,44342,53502,53502,18914,18914,7830,7830,10492,10492,8274,8274,23510,23510,89518,89518,14508,14508,8192,8192,18967,18967,13098,13098,63619,63619,16011,16011,49389,49389,16966,16966,2653,2653,5508,5508,9856,9856,8075,8075,19921,19921,47546,47546,15876,15876,4351,4351,474,474,3509,3509,4503,4503,45138,45138,9419,9419
