 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156,IntDen157,RawIntDen157,IntDen158,RawIntDen158,IntDen159,RawIntDen159,IntDen160,RawIntDen160,IntDen161,RawIntDen161,IntDen162,RawIntDen162,IntDen163,RawIntDen163,IntDen164,RawIntDen164,IntDen165,RawIntDen165,IntDen166,RawIntDen166,IntDen167,RawIntDen167,IntDen168,RawIntDen168,IntDen169,RawIntDen169,IntDen170,RawIntDen170
1,11645,11645,6953,6953,89860,89860,27546,27546,35893,35893,24989,24989,13681,13681,27948,27948,88860,88860,10088,10088,40636,40636,139078,139078,110189,110189,33150,33150,32999,32999,44095,44095,159559,159559,231461,231461,24122,24122,50310,50310,85480,85480,32827,32827,145538,145538,153553,153553,18123,18123,45847,45847,186778,186778,41675,41675,21030,21030,117311,117311,28876,28876,44235,44235,32202,32202,126034,126034,18185,18185,18655,18655,46888,46888,14464,14464,15827,15827,41529,41529,23812,23812,23177,23177,39167,39167,17128,17128,30376,30376,64119,64119,19474,19474,33245,33245,27676,27676,17834,17834,16053,16053,18004,18004,84112,84112,35645,35645,128210,128210,14993,14993,27672,27672,15276,15276,35050,35050,37933,37933,42359,42359,34476,34476,39374,39374,21305,21305,52656,52656,200044,200044,17315,17315,105014,105014,19882,19882,21282,21282,15502,15502,24115,24115,10212,10212,94386,94386,19771,19771,10868,10868,40040,40040,5478,5478,38687,38687,12032,12032,69819,69819,28633,28633,31301,31301,44474,44474,28575,28575,64726,64726,21600,21600,31637,31637,34444,34444,89285,89285,45277,45277,24043,24043,6783,6783,141532,141532,8142,8142,63410,63410,13388,13388,25278,25278,27793,27793,19251,19251,27551,27551,15740,15740,26170,26170,115127,115127,25713,25713,22182,22182,58224,58224,32808,32808,4021,4021,41062,41062,18456,18456,10055,10055,17598,17598,19170,19170,34223,34223,28914,28914,14732,14732,140278,140278,5371,5371,13060,13060,23231,23231,40196,40196,27501,27501,21901,21901,123959,123959,48428,48428,14403,14403,25391,25391,37878,37878,44295,44295,21885,21885,22099,22099,20247,20247,12038,12038,148133,148133,19262,19262,41494,41494,9631,9631,22214,22214,4392,4392,7668,7668,12716,12716,50211,50211,75461,75461,29337,29337,64762,64762,35973,35973,16225,16225,45344,45344,60420,60420,50083,50083,67289,67289,11088,11088,16830,16830,30002,30002,21107,21107,20621,20621,73333,73333,24702,24702,43699,43699,17780,17780,17605,17605,74092,74092,65840,65840,10954,10954,13618,13618,15648,15648,3794,3794,9420,9420,5381,5381
2,11360,11360,6550,6550,90441,90441,27481,27481,35407,35407,25211,25211,13937,13937,26580,26580,86366,86366,10252,10252,40710,40710,135807,135807,115345,115345,33784,33784,32275,32275,46185,46185,160705,160705,231248,231248,23440,23440,49921,49921,85295,85295,34898,34898,145496,145496,152195,152195,18509,18509,46409,46409,188894,188894,41303,41303,20878,20878,118511,118511,29110,29110,43886,43886,33000,33000,144955,144955,17970,17970,18874,18874,45652,45652,14809,14809,16399,16399,43184,43184,24245,24245,22835,22835,39873,39873,17814,17814,31059,31059,62363,62363,19883,19883,32682,32682,28758,28758,17872,17872,16709,16709,17583,17583,86166,86166,35702,35702,127069,127069,14422,14422,27778,27778,15551,15551,40966,40966,38192,38192,43482,43482,33899,33899,39082,39082,22026,22026,56594,56594,200406,200406,16372,16372,104674,104674,20210,20210,20900,20900,15592,15592,24007,24007,10051,10051,94494,94494,19869,19869,11045,11045,38988,38988,5149,5149,38464,38464,11675,11675,71830,71830,27521,27521,30296,30296,44979,44979,27634,27634,63917,63917,21564,21564,32517,32517,34416,34416,88269,88269,44662,44662,23858,23858,6999,6999,140626,140626,8365,8365,63537,63537,13468,13468,24660,24660,27982,27982,19358,19358,27705,27705,16005,16005,25746,25746,113760,113760,25353,25353,21985,21985,57753,57753,32050,32050,3927,3927,40896,40896,18324,18324,10158,10158,18306,18306,18645,18645,34302,34302,29233,29233,14790,14790,135381,135381,5258,5258,12750,12750,22881,22881,39840,39840,28313,28313,21067,21067,125582,125582,47513,47513,14541,14541,24451,24451,37582,37582,42004,42004,21783,21783,21629,21629,20366,20366,12450,12450,145445,145445,24458,24458,41133,41133,9573,9573,23022,23022,4209,4209,7381,7381,12382,12382,49854,49854,74497,74497,28052,28052,64849,64849,35906,35906,16714,16714,44546,44546,61015,61015,50740,50740,62989,62989,10985,10985,18906,18906,30738,30738,21335,21335,20581,20581,75095,75095,24292,24292,42184,42184,17030,17030,17251,17251,72544,72544,67306,67306,11600,11600,13161,13161,15657,15657,3723,3723,9664,9664,5168,5168
3,11748,11748,6565,6565,87884,87884,26794,26794,37357,37357,26202,26202,13513,13513,25550,25550,85907,85907,10134,10134,40388,40388,133328,133328,121188,121188,34352,34352,32393,32393,47624,47624,163316,163316,229193,229193,23891,23891,49391,49391,85187,85187,33996,33996,146188,146188,151032,151032,18564,18564,46088,46088,190571,190571,42038,42038,20960,20960,117887,117887,29383,29383,44965,44965,33541,33541,161228,161228,17693,17693,19164,19164,45286,45286,15004,15004,16301,16301,46866,46866,24093,24093,22789,22789,40402,40402,17868,17868,30397,30397,62771,62771,19203,19203,32924,32924,30024,30024,18809,18809,16715,16715,16073,16073,85437,85437,35687,35687,125683,125683,14742,14742,27679,27679,15139,15139,49054,49054,38344,38344,45813,45813,33338,33338,38166,38166,21856,21856,58122,58122,202448,202448,15669,15669,105566,105566,19522,19522,21327,21327,15650,15650,24475,24475,10167,10167,94891,94891,19382,19382,10883,10883,38145,38145,5300,5300,38789,38789,11770,11770,73675,73675,27427,27427,30788,30788,45716,45716,27541,27541,64067,64067,21392,21392,33490,33490,34111,34111,88841,88841,45268,45268,23612,23612,7523,7523,142739,142739,8244,8244,65293,65293,13472,13472,25751,25751,28192,28192,19817,19817,27367,27367,18174,18174,25960,25960,110761,110761,25808,25808,22548,22548,56755,56755,33182,33182,4110,4110,41897,41897,18296,18296,10351,10351,18468,18468,18994,18994,28192,28192,29096,29096,15401,15401,132637,132637,5069,5069,12298,12298,23450,23450,39684,39684,29124,29124,21213,21213,131731,131731,48885,48885,14604,14604,24890,24890,37718,37718,42291,42291,22074,22074,22605,22605,20321,20321,11602,11602,147021,147021,29311,29311,41996,41996,9795,9795,24852,24852,4439,4439,7539,7539,12377,12377,51048,51048,75678,75678,27774,27774,66960,66960,35999,35999,17306,17306,45337,45337,61240,61240,50450,50450,59319,59319,11211,11211,25779,25779,31514,31514,21509,21509,20621,20621,76567,76567,24656,24656,42867,42867,15654,15654,17238,17238,72949,72949,67058,67058,13724,13724,13113,13113,16053,16053,4012,4012,9629,9629,5402,5402
4,11675,11675,6485,6485,87725,87725,26910,26910,39992,39992,26540,26540,13878,13878,25386,25386,87128,87128,10051,10051,40807,40807,131962,131962,123112,123112,33666,33666,32258,32258,50207,50207,167211,167211,229752,229752,23631,23631,49369,49369,87095,87095,34918,34918,147048,147048,149129,149129,17986,17986,47731,47731,190540,190540,41749,41749,20932,20932,116628,116628,28784,28784,44275,44275,33476,33476,171511,171511,17953,17953,20452,20452,42560,42560,15295,15295,16643,16643,54530,54530,22974,22974,22720,22720,40748,40748,18656,18656,30110,30110,63549,63549,19694,19694,34052,34052,29894,29894,18794,18794,16755,16755,15480,15480,83701,83701,35130,35130,125738,125738,14976,14976,27801,27801,15290,15290,58320,58320,38317,38317,48725,48725,34003,34003,38128,38128,23385,23385,59354,59354,202566,202566,15223,15223,106640,106640,20282,20282,21286,21286,15403,15403,24369,24369,10393,10393,94736,94736,19686,19686,11154,11154,38364,38364,5484,5484,38900,38900,12226,12226,76799,76799,25288,25288,31508,31508,46647,46647,27016,27016,63887,63887,22664,22664,35154,35154,35003,35003,88310,88310,46071,46071,23935,23935,7894,7894,143093,143093,8207,8207,64580,64580,14062,14062,26210,26210,28750,28750,21452,21452,27496,27496,22201,22201,25663,25663,111815,111815,25818,25818,22387,22387,54849,54849,33293,33293,3783,3783,41926,41926,18104,18104,10336,10336,18113,18113,19518,19518,22119,22119,27651,27651,16241,16241,129098,129098,5316,5316,12117,12117,23745,23745,38900,38900,29032,29032,21869,21869,133467,133467,48594,48594,14809,14809,24618,24618,38085,38085,41725,41725,22397,22397,22838,22838,20553,20553,11177,11177,147987,147987,29362,29362,42404,42404,9729,9729,26059,26059,4463,4463,7824,7824,12088,12088,51146,51146,77041,77041,27684,27684,68585,68585,37589,37589,17874,17874,46274,46274,61808,61808,51883,51883,55055,55055,11337,11337,29766,29766,32463,32463,21551,21551,21153,21153,78665,78665,25129,25129,42515,42515,15091,15091,17821,17821,72977,72977,68018,68018,16339,16339,13290,13290,15795,15795,3924,3924,9817,9817,5426,5426
5,12219,12219,6265,6265,87868,87868,27330,27330,42783,42783,25446,25446,13851,13851,25723,25723,86965,86965,9997,9997,41893,41893,129591,129591,123302,123302,31909,31909,32060,32060,50879,50879,168988,168988,232015,232015,23584,23584,49371,49371,88742,88742,35551,35551,148686,148686,146826,146826,18653,18653,47179,47179,191461,191461,42355,42355,20844,20844,117132,117132,28936,28936,44506,44506,33805,33805,178202,178202,17509,17509,21307,21307,39487,39487,17207,17207,16134,16134,71836,71836,23944,23944,21977,21977,41240,41240,18582,18582,30252,30252,63026,63026,20123,20123,33044,33044,31022,31022,20785,20785,16405,16405,14722,14722,84516,84516,35159,35159,124457,124457,15003,15003,27792,27792,16103,16103,59733,59733,39522,39522,54173,54173,34467,34467,37142,37142,23100,23100,60151,60151,203930,203930,15276,15276,107079,107079,19895,19895,21782,21782,15145,15145,24215,24215,10074,10074,94946,94946,19645,19645,11107,11107,36709,36709,5382,5382,38959,38959,12178,12178,79140,79140,25259,25259,31370,31370,47160,47160,26519,26519,63918,63918,22575,22575,36718,36718,35168,35168,88937,88937,45741,45741,23892,23892,8280,8280,142606,142606,8452,8452,65635,65635,13596,13596,25944,25944,28553,28553,21758,21758,27605,27605,28532,28532,25711,25711,111702,111702,26130,26130,23018,23018,50069,50069,33245,33245,3838,3838,42062,42062,18467,18467,10131,10131,18613,18613,19483,19483,18686,18686,26708,26708,16847,16847,126327,126327,5323,5323,12324,12324,23672,23672,36879,36879,29690,29690,21519,21519,137779,137779,49876,49876,15089,15089,25700,25700,38572,38572,42551,42551,22286,22286,22011,22011,20137,20137,11274,11274,149790,149790,30144,30144,42992,42992,10068,10068,26347,26347,4630,4630,8161,8161,12306,12306,52282,52282,76655,76655,27594,27594,69744,69744,37628,37628,18010,18010,46174,46174,62427,62427,51882,51882,51187,51187,10948,10948,29478,29478,32862,32862,21395,21395,20516,20516,79278,79278,25101,25101,42325,42325,15053,15053,17689,17689,71231,71231,68789,68789,18181,18181,13393,13393,15753,15753,4202,4202,9726,9726,4930,4930
6,12118,12118,6130,6130,88768,88768,27538,27538,46268,46268,23810,23810,13860,13860,27345,27345,87766,87766,10058,10058,43143,43143,126532,126532,122360,122360,30180,30180,31322,31322,51823,51823,170059,170059,234220,234220,23683,23683,49889,49889,89562,89562,35623,35623,150761,150761,146407,146407,19002,19002,47730,47730,191817,191817,42219,42219,21206,21206,116892,116892,29676,29676,44616,44616,34854,34854,183557,183557,17634,17634,21576,21576,34724,34724,26335,26335,16742,16742,101920,101920,24715,24715,16902,16902,41596,41596,19157,19157,30679,30679,62393,62393,20004,20004,33084,33084,31729,31729,21981,21981,10305,10305,14317,14317,83071,83071,36051,36051,124596,124596,14719,14719,27368,27368,16501,16501,60421,60421,40158,40158,61491,61491,34496,34496,37733,37733,26600,26600,58328,58328,205158,205158,14618,14618,108212,108212,20614,20614,21663,21663,14626,14626,25138,25138,10221,10221,96462,96462,19831,19831,11312,11312,37205,37205,5431,5431,39295,39295,12502,12502,80199,80199,24634,24634,32079,32079,47519,47519,25858,25858,64780,64780,22571,22571,36708,36708,35072,35072,88608,88608,46073,46073,24258,24258,8211,8211,143431,143431,8063,8063,65683,65683,13508,13508,26131,26131,28396,28396,22517,22517,27241,27241,28985,28985,25352,25352,111469,111469,26149,26149,23124,23124,46398,46398,32943,32943,3814,3814,42528,42528,18070,18070,9987,9987,18645,18645,19454,19454,17232,17232,27331,27331,17804,17804,124310,124310,5236,5236,12108,12108,24132,24132,34639,34639,29718,29718,21502,21502,136950,136950,49402,49402,15672,15672,25459,25459,38626,38626,40918,40918,22559,22559,21824,21824,20007,20007,10873,10873,150415,150415,29617,29617,42856,42856,9719,9719,26437,26437,4508,4508,7711,7711,12060,12060,52455,52455,76534,76534,26821,26821,70793,70793,37015,37015,18551,18551,46166,46166,62070,62070,51352,51352,49763,49763,11345,11345,30523,30523,32884,32884,21664,21664,20748,20748,80328,80328,25528,25528,41975,41975,14209,14209,17838,17838,72767,72767,70400,70400,19989,19989,13616,13616,15899,15899,3702,3702,9710,9710,5494,5494
7,12369,12369,6455,6455,89072,89072,27223,27223,47876,47876,19836,19836,13884,13884,27215,27215,87098,87098,10166,10166,43498,43498,124363,124363,119940,119940,32302,32302,30981,30981,52799,52799,174528,174528,234591,234591,23555,23555,49990,49990,91188,91188,36102,36102,151584,151584,144648,144648,19058,19058,47502,47502,194272,194272,42528,42528,21611,21611,117451,117451,29437,29437,44222,44222,34372,34372,184817,184817,18228,18228,21398,21398,31868,31868,30804,30804,16624,16624,122462,122462,25083,25083,14307,14307,41475,41475,19390,19390,30181,30181,61717,61717,20040,20040,33365,33365,32021,32021,24066,24066,8460,8460,13949,13949,82935,82935,35396,35396,123180,123180,15468,15468,27860,27860,17910,17910,59298,59298,39692,39692,68138,68138,34426,34426,37386,37386,36110,36110,53713,53713,203048,203048,14484,14484,108589,108589,20422,20422,22520,22520,14564,14564,25179,25179,10013,10013,96200,96200,19809,19809,11083,11083,35512,35512,5649,5649,39774,39774,12404,12404,82552,82552,23640,23640,31526,31526,48595,48595,25555,25555,64356,64356,22102,22102,37966,37966,36113,36113,89161,89161,47845,47845,24418,24418,8222,8222,145451,145451,8141,8141,66133,66133,13731,13731,26827,26827,28453,28453,24164,24164,27782,27782,29540,29540,25860,25860,110850,110850,26285,26285,23046,23046,43315,43315,33356,33356,4057,4057,43130,43130,18505,18505,10180,10180,19019,19019,19590,19590,15902,15902,26925,26925,20282,20282,121419,121419,5361,5361,12115,12115,24181,24181,32315,32315,29882,29882,21960,21960,139701,139701,49240,49240,15885,15885,24852,24852,38893,38893,41622,41622,23400,23400,22269,22269,20509,20509,10431,10431,150356,150356,31021,31021,43408,43408,9821,9821,25504,25504,4600,4600,8180,8180,11931,11931,52376,52376,77226,77226,27189,27189,72577,72577,37809,37809,18972,18972,46877,46877,63402,63402,51673,51673,48244,48244,11323,11323,30939,30939,32706,32706,21940,21940,20791,20791,80961,80961,24878,24878,42167,42167,14207,14207,18784,18784,73198,73198,71986,71986,20669,20669,13177,13177,16007,16007,4147,4147,10034,10034,5598,5598
8,11776,11776,5773,5773,87716,87716,27676,27676,46731,46731,18513,18513,13957,13957,28116,28116,87995,87995,10570,10570,43558,43558,120535,120535,117165,117165,36786,36786,30582,30582,52714,52714,172832,172832,231913,231913,23297,23297,49839,49839,90497,90497,35936,35936,153096,153096,142268,142268,18641,18641,47424,47424,195758,195758,41218,41218,21847,21847,118284,118284,29263,29263,45024,45024,34641,34641,185874,185874,17735,17735,21217,21217,31399,31399,30823,30823,16538,16538,128735,128735,25586,25586,13849,13849,41775,41775,19750,19750,30420,30420,62951,62951,20098,20098,33212,33212,32343,32343,24463,24463,8694,8694,13225,13225,84335,84335,35279,35279,122829,122829,15480,15480,28589,28589,28503,28503,57242,57242,40247,40247,69821,69821,35115,35115,37008,37008,57152,57152,50737,50737,203502,203502,14162,14162,109682,109682,20620,20620,22955,22955,14943,14943,25216,25216,10036,10036,96892,96892,20116,20116,11390,11390,35590,35590,5448,5448,39109,39109,13858,13858,83801,83801,23362,23362,31984,31984,49092,49092,25236,25236,64005,64005,22781,22781,38474,38474,35621,35621,88544,88544,47372,47372,23546,23546,8372,8372,143933,143933,8344,8344,66160,66160,13603,13603,26672,26672,28948,28948,25507,25507,27826,27826,29513,29513,25390,25390,112385,112385,26493,26493,23094,23094,40907,40907,34148,34148,3977,3977,43580,43580,18849,18849,9901,9901,18822,18822,19981,19981,15583,15583,27511,27511,22599,22599,118037,118037,5404,5404,12330,12330,23987,23987,29643,29643,29753,29753,21802,21802,138136,138136,49389,49389,16042,16042,24647,24647,37894,37894,41244,41244,23322,23322,21609,21609,19611,19611,10586,10586,149901,149901,31398,31398,43231,43231,10022,10022,24630,24630,4159,4159,8280,8280,11964,11964,51467,51467,77058,77058,25567,25567,72918,72918,37657,37657,18915,18915,46334,46334,63141,63141,51057,51057,46731,46731,11110,11110,29437,29437,32750,32750,21127,21127,20560,20560,81089,81089,25752,25752,40404,40404,13391,13391,18528,18528,71841,71841,73807,73807,19478,19478,13423,13423,15877,15877,3740,3740,9884,9884,4722,4722
9,11990,11990,5817,5817,87614,87614,27499,27499,45038,45038,16527,16527,14184,14184,28270,28270,88469,88469,10365,10365,44671,44671,118299,118299,115388,115388,41695,41695,30680,30680,51538,51538,175967,175967,229605,229605,23966,23966,48777,48777,91288,91288,35748,35748,154296,154296,139373,139373,18488,18488,47457,47457,194442,194442,42123,42123,23425,23425,117658,117658,29791,29791,44756,44756,34251,34251,189054,189054,17839,17839,21371,21371,32022,32022,30324,30324,16083,16083,128388,128388,26181,26181,13492,13492,41829,41829,19190,19190,29937,29937,62735,62735,20184,20184,33691,33691,33291,33291,23949,23949,8641,8641,13221,13221,82929,82929,36152,36152,122378,122378,15735,15735,28335,28335,30708,30708,53798,53798,40648,40648,69404,69404,35066,35066,37228,37228,61249,61249,49370,49370,204674,204674,13584,13584,109397,109397,20732,20732,22381,22381,14390,14390,25421,25421,10396,10396,96155,96155,20159,20159,11333,11333,34859,34859,5775,5775,38737,38737,15593,15593,85053,85053,22759,22759,31985,31985,49469,49469,25070,25070,64944,64944,22991,22991,38465,38465,35837,35837,89014,89014,47491,47491,24392,24392,8583,8583,144599,144599,8463,8463,67369,67369,13997,13997,26357,26357,29349,29349,26512,26512,27512,27512,30745,30745,25567,25567,112221,112221,26077,26077,23517,23517,39468,39468,33764,33764,4038,4038,43606,43606,18890,18890,10137,10137,19052,19052,20305,20305,14961,14961,27089,27089,24050,24050,115638,115638,5190,5190,12339,12339,23778,23778,29370,29370,30324,30324,21583,21583,137077,137077,49398,49398,16301,16301,24964,24964,38684,38684,41769,41769,23521,23521,21265,21265,20149,20149,10069,10069,150122,150122,31919,31919,43804,43804,9637,9637,24577,24577,4407,4407,7906,7906,12000,12000,52581,52581,77260,77260,25468,25468,73792,73792,37425,37425,18533,18533,46844,46844,63298,63298,52414,52414,45630,45630,11065,11065,30554,30554,33932,33932,21840,21840,20829,20829,82751,82751,24454,24454,40613,40613,13439,13439,19111,19111,70885,70885,74364,74364,19738,19738,12974,12974,15983,15983,4175,4175,9958,9958,5463,5463
10,12019,12019,5902,5902,86513,86513,27894,27894,40215,40215,13628,13628,13851,13851,28076,28076,88719,88719,10286,10286,43821,43821,115987,115987,113919,113919,44498,44498,30872,30872,51362,51362,177475,177475,225816,225816,23929,23929,49248,49248,91131,91131,35570,35570,153735,153735,139423,139423,18596,18596,47527,47527,196614,196614,41603,41603,26994,26994,118807,118807,29622,29622,44695,44695,35012,35012,192392,192392,17843,17843,19890,19890,31929,31929,31195,31195,16848,16848,128880,128880,26146,26146,13498,13498,42024,42024,19263,19263,30716,30716,62444,62444,20586,20586,34278,34278,33591,33591,24404,24404,8940,8940,12301,12301,83542,83542,35722,35722,120842,120842,16538,16538,28594,28594,30998,30998,49452,49452,40976,40976,64900,64900,34952,34952,36863,36863,62406,62406,48166,48166,204222,204222,13635,13635,110076,110076,20209,20209,22993,22993,13947,13947,25412,25412,9781,9781,96661,96661,20494,20494,11438,11438,33655,33655,5786,5786,39232,39232,24440,24440,86627,86627,21690,21690,31980,31980,48751,48751,24312,24312,63266,63266,22578,22578,38910,38910,36141,36141,88225,88225,47053,47053,23774,23774,8284,8284,144844,144844,10028,10028,67655,67655,13328,13328,25961,25961,28806,28806,27237,27237,27876,27876,31574,31574,25114,25114,113319,113319,26669,26669,22842,22842,37331,37331,33767,33767,3752,3752,43003,43003,18621,18621,10053,10053,18704,18704,20018,20018,14079,14079,27621,27621,25144,25144,113227,113227,5060,5060,12516,12516,24650,24650,28017,28017,30724,30724,22048,22048,137572,137572,49677,49677,16302,16302,25151,25151,38717,38717,42628,42628,24279,24279,21056,21056,19782,19782,10262,10262,153437,153437,32682,32682,44995,44995,10000,10000,24211,24211,4488,4488,7952,7952,12200,12200,52601,52601,77739,77739,26194,26194,74147,74147,38298,38298,19202,19202,47803,47803,64612,64612,52200,52200,44968,44968,11154,11154,30860,30860,33277,33277,21152,21152,21318,21318,82899,82899,25489,25489,40302,40302,13675,13675,19730,19730,71303,71303,76144,76144,20693,20693,12819,12819,16441,16441,3877,3877,9871,9871,5471,5471
