 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105
1,52408,52408,42938,42938,32,32,58643,58643,26774,26774,12113,12113,19929,19929,82861,82861,19843,19843,29368,29368,62443,62443,11257,11257,11849,11849,8798,8798,11556,11556,12821,12821,28625,28625,14775,14775,7096,7096,3673,3673,86134,86134,8896,8896,60612,60612,11492,11492,13476,13476,16587,16587,8371,8371,41256,41256,10536,10536,7627,7627,33984,33984,29817,29817,9763,9763,127683,127683,41451,41451,42248,42248,40999,40999,24418,24418,20028,20028,43676,43676,133165,133165,36934,36934,23779,23779,12848,12848,52026,52026,19318,19318,26223,26223,19889,19889,49259,49259,17708,17708,23700,23700,51616,51616,19858,19858,34273,34273,22883,22883,33969,33969,18252,18252,25041,25041,10239,10239,13226,13226,49148,49148,26837,26837,17636,17636,18827,18827,60473,60473,142776,142776,7120,7120,24122,24122,19470,19470,61612,61612,22673,22673,51169,51169,17156,17156,34374,34374,92204,92204,78625,78625,40584,40584,102081,102081,92179,92179,48662,48662,15003,15003,25706,25706,109863,109863,86336,86336,56095,56095,51792,51792,21378,21378,33269,33269,14610,14610,40830,40830,156165,156165,39634,39634,25881,25881,112243,112243,14803,14803,108115,108115,104857,104857,45393,45393,41496,41496,47719,47719,33239,33239,77498,77498,42853,42853,114603,114603,25534,25534
2,41909,41909,42179,42179,47,47,58007,58007,12030,12030,12153,12153,19262,19262,81076,81076,19691,19691,58264,58264,60271,60271,11158,11158,11454,11454,8133,8133,11453,11453,12219,12219,28042,28042,14365,14365,7113,7113,3200,3200,80666,80666,9527,9527,62220,62220,13505,13505,13596,13596,16337,16337,7915,7915,46899,46899,11377,11377,7371,7371,34332,34332,31250,31250,9774,9774,124655,124655,50172,50172,42576,42576,40672,40672,23760,23760,22467,22467,35945,35945,132931,132931,36852,36852,22650,22650,13172,13172,59236,59236,18766,18766,26695,26695,19248,19248,48449,48449,18112,18112,23783,23783,49730,49730,19409,19409,33748,33748,22201,22201,34727,34727,17915,17915,23594,23594,10301,10301,13138,13138,57792,57792,26634,26634,17283,17283,17932,17932,61569,61569,139753,139753,6655,6655,23566,23566,19367,19367,55130,55130,21653,21653,51317,51317,16927,16927,33234,33234,82052,82052,77544,77544,39722,39722,104986,104986,92534,92534,50104,50104,14498,14498,24925,24925,108284,108284,90662,90662,56690,56690,50790,50790,19770,19770,32063,32063,14404,14404,40662,40662,147581,147581,37550,37550,25739,25739,112286,112286,14417,14417,111264,111264,101803,101803,44907,44907,36481,36481,42594,42594,33888,33888,115126,115126,40032,40032,113333,113333,24500,24500
3,38457,38457,43020,43020,33,33,56944,56944,11818,11818,12414,12414,18693,18693,80279,80279,19319,19319,29181,29181,59380,59380,11265,11265,12108,12108,7894,7894,11535,11535,11462,11462,27926,27926,14156,14156,8014,8014,3606,3606,77108,77108,9454,9454,60875,60875,17112,17112,13880,13880,16424,16424,7892,7892,70159,70159,12617,12617,7736,7736,33283,33283,32441,32441,10731,10731,121303,121303,53172,53172,42823,42823,45232,45232,23548,23548,20362,20362,33499,33499,136430,136430,35792,35792,22565,22565,13748,13748,78791,78791,19629,19629,28812,28812,20025,20025,50363,50363,17992,17992,23701,23701,48597,48597,19169,19169,34230,34230,22888,22888,36384,36384,18380,18380,22400,22400,10304,10304,13606,13606,65558,65558,26849,26849,19734,19734,17994,17994,64646,64646,141662,141662,6527,6527,23375,23375,19388,19388,48703,48703,20501,20501,51069,51069,17652,17652,32044,32044,74367,74367,76278,76278,40145,40145,110519,110519,95670,95670,50975,50975,13962,13962,24691,24691,108261,108261,94927,94927,53540,53540,52528,52528,18813,18813,32838,32838,14213,14213,40126,40126,145462,145462,34459,34459,25586,25586,108246,108246,14911,14911,115015,115015,99848,99848,44141,44141,33039,33039,36641,36641,34120,34120,119619,119619,39218,39218,112344,112344,23669,23669
4,33175,33175,43019,43019,24,24,56465,56465,7779,7779,12456,12456,18271,18271,79369,79369,18107,18107,56763,56763,57740,57740,11150,11150,11642,11642,7466,7466,11104,11104,11177,11177,28038,28038,13120,13120,8350,8350,3489,3489,70723,70723,9253,9253,61534,61534,22260,22260,15171,15171,16382,16382,7836,7836,86249,86249,13456,13456,8100,8100,33376,33376,34105,34105,10760,10760,121246,121246,55010,55010,44147,44147,46786,46786,23516,23516,20766,20766,29076,29076,138793,138793,35153,35153,22660,22660,14756,14756,90464,90464,20119,20119,30749,30749,19807,19807,51689,51689,18454,18454,24207,24207,47386,47386,18928,18928,34723,34723,22535,22535,35821,35821,18263,18263,22155,22155,10224,10224,13796,13796,70885,70885,26346,26346,23465,23465,17387,17387,64699,64699,141811,141811,6530,6530,23617,23617,19148,19148,44723,44723,19975,19975,51445,51445,18706,18706,31148,31148,68191,68191,75726,75726,39371,39371,116412,116412,96414,96414,51552,51552,13694,13694,23763,23763,105875,105875,99125,99125,55957,55957,51897,51897,17040,17040,33945,33945,14027,14027,39972,39972,141152,141152,33227,33227,25798,25798,108920,108920,14666,14666,117426,117426,99999,99999,44523,44523,30591,30591,32986,32986,34444,34444,89923,89923,37360,37360,111020,111020,22626,22626
5,30324,30324,42259,42259,20,20,56195,56195,12113,12113,12571,12571,17692,17692,78625,78625,17488,17488,48413,48413,56846,56846,11410,11410,12268,12268,7268,7268,11709,11709,11469,11469,27444,27444,13127,13127,8874,8874,3531,3531,67780,67780,9772,9772,61460,61460,26080,26080,16796,16796,15980,15980,7682,7682,97216,97216,13686,13686,8601,8601,32820,32820,34598,34598,12389,12389,122198,122198,57423,57423,43569,43569,47431,47431,23076,23076,19075,19075,24724,24724,141536,141536,35929,35929,23498,23498,18099,18099,94962,94962,21739,21739,31766,31766,19742,19742,55189,55189,18613,18613,24211,24211,46180,46180,19246,19246,35089,35089,23114,23114,36653,36653,18249,18249,21465,21465,10124,10124,14191,14191,73464,73464,26838,26838,26121,26121,16809,16809,63729,63729,141284,141284,6884,6884,25486,25486,19637,19637,41704,41704,19327,19327,51832,51832,18590,18590,31031,31031,63607,63607,76295,76295,39216,39216,121044,121044,96413,96413,52294,52294,13458,13458,23879,23879,102176,102176,98582,98582,52956,52956,50623,50623,16223,16223,35264,35264,14525,14525,39921,39921,137196,137196,33728,33728,26775,26775,111259,111259,15278,15278,120388,120388,97578,97578,43819,43819,29646,29646,29870,29870,34846,34846,80981,80981,36104,36104,108849,108849,21655,21655
6,28235,28235,41958,41958,32,32,56464,56464,7257,7257,13080,13080,17420,17420,79841,79841,17127,17127,41863,41863,55623,55623,11142,11142,12155,12155,6953,6953,11233,11233,11081,11081,27504,27504,12372,12372,9039,9039,3492,3492,62942,62942,9993,9993,60818,60818,30723,30723,19278,19278,16016,16016,8035,8035,108678,108678,13534,13534,9251,9251,32461,32461,38987,38987,16090,16090,119522,119522,58292,58292,44989,44989,47840,47840,23050,23050,18937,18937,22240,22240,142285,142285,34481,34481,26595,26595,19632,19632,97752,97752,22373,22373,48427,48427,19348,19348,55343,55343,18742,18742,23616,23616,46395,46395,19143,19143,35758,35758,23020,23020,37170,37170,19080,19080,21333,21333,10215,10215,14642,14642,75440,75440,27060,27060,27096,27096,17181,17181,66341,66341,140702,140702,6693,6693,27753,27753,20216,20216,39258,39258,18892,18892,51847,51847,18736,18736,32667,32667,60355,60355,80223,80223,38346,38346,122546,122546,99101,99101,53607,53607,13227,13227,22908,22908,101182,101182,103385,103385,54919,54919,48653,48653,15400,15400,39065,39065,14219,14219,38642,38642,131455,131455,31676,31676,27484,27484,111584,111584,14799,14799,123073,123073,97891,97891,44338,44338,28705,28705,26720,26720,35544,35544,76418,76418,35126,35126,107148,107148,20815,20815
7,26670,26670,42163,42163,39,39,54674,54674,6810,6810,12389,12389,16855,16855,78273,78273,16460,16460,36200,36200,55074,55074,11303,11303,12121,12121,6767,6767,11556,11556,10593,10593,27590,27590,12319,12319,9410,9410,3370,3370,58902,58902,10307,10307,60223,60223,34600,34600,20606,20606,16359,16359,8460,8460,116912,116912,13245,13245,9720,9720,32977,32977,42118,42118,19398,19398,119391,119391,59060,59060,45095,45095,48407,48407,23246,23246,20253,20253,22163,22163,143645,143645,34533,34533,25431,25431,20308,20308,99620,99620,23020,23020,58265,58265,19058,19058,56713,56713,19330,19330,24188,24188,46284,46284,18938,18938,36123,36123,23696,23696,37134,37134,18823,18823,21408,21408,10361,10361,15006,15006,80448,80448,27401,27401,26900,26900,16703,16703,66772,66772,141729,141729,6808,6808,27036,27036,24457,24457,38654,38654,18595,18595,52535,52535,18801,18801,32425,32425,57330,57330,82058,82058,37405,37405,124130,124130,101194,101194,55181,55181,12646,12646,23760,23760,100252,100252,110144,110144,53525,53525,50803,50803,14789,14789,51036,51036,14536,14536,37117,37117,146140,146140,31281,31281,27879,27879,109849,109849,15146,15146,121578,121578,97675,97675,43820,43820,27270,27270,25065,25065,34133,34133,74477,74477,32854,32854,107035,107035,20508,20508
8,25563,25563,42287,42287,50,50,54864,54864,7054,7054,12026,12026,17034,17034,77352,77352,17027,17027,29692,29692,55601,55601,11631,11631,12300,12300,6720,6720,11684,11684,10466,10466,27638,27638,12210,12210,9241,9241,3505,3505,55692,55692,10734,10734,60002,60002,36113,36113,22058,22058,15235,15235,8627,8627,119800,119800,13173,13173,9315,9315,31991,31991,43071,43071,20753,20753,118312,118312,60097,60097,44924,44924,48298,48298,23744,23744,19388,19388,25264,25264,146068,146068,34357,34357,25521,25521,20831,20831,102471,102471,24026,24026,60165,60165,19125,19125,56678,56678,19342,19342,25223,25223,45244,45244,18450,18450,35253,35253,23720,23720,37317,37317,18520,18520,21139,21139,10789,10789,15036,15036,80954,80954,28295,28295,27206,27206,16240,16240,68727,68727,142958,142958,6731,6731,27624,27624,27807,27807,37705,37705,17734,17734,53676,53676,18967,18967,33024,33024,55810,55810,82798,82798,37567,37567,121766,121766,103726,103726,56236,56236,12427,12427,23169,23169,98897,98897,115351,115351,54800,54800,48344,48344,14228,14228,63513,63513,14323,14323,34970,34970,126816,126816,29683,29683,27501,27501,108950,108950,15248,15248,122115,122115,96784,96784,43942,43942,27398,27398,23626,23626,34007,34007,74902,74902,31993,31993,105454,105454,20631,20631
9,24058,24058,43033,43033,14,14,54644,54644,7293,7293,12579,12579,17261,17261,77284,77284,16695,16695,15108,15108,55549,55549,11622,11622,12595,12595,6750,6750,11730,11730,10590,10590,27958,27958,11791,11791,9168,9168,3586,3586,51844,51844,10718,10718,60624,60624,38813,38813,22248,22248,15989,15989,8784,8784,121585,121585,13085,13085,9511,9511,31548,31548,42844,42844,21559,21559,119151,119151,61150,61150,45262,45262,47745,47745,23265,23265,20282,20282,27603,27603,146247,146247,34036,34036,24876,24876,20922,20922,102007,102007,24568,24568,61020,61020,19103,19103,57416,57416,19627,19627,41448,41448,44310,44310,21810,21810,35437,35437,24294,24294,37768,37768,18897,18897,21142,21142,16860,16860,15085,15085,83346,83346,29165,29165,27704,27704,16458,16458,68547,68547,143612,143612,6650,6650,26875,26875,30080,30080,36441,36441,16991,16991,54723,54723,18959,18959,33231,33231,53432,53432,82132,82132,39492,39492,120978,120978,107458,107458,55973,55973,13553,13553,23963,23963,97637,97637,118215,118215,114441,114441,48443,48443,14255,14255,67036,67036,14328,14328,35721,35721,124859,124859,28663,28663,27490,27490,108975,108975,15634,15634,122459,122459,95527,95527,45569,45569,26559,26559,21502,21502,34318,34318,76347,76347,31232,31232,102326,102326,19449,19449
10,23099,23099,42285,42285,22,22,54763,54763,11487,11487,12711,12711,17130,17130,77206,77206,16558,16558,14670,14670,55088,55088,12801,12801,12499,12499,6797,6797,11529,11529,10261,10261,27940,27940,11568,11568,8962,8962,3133,3133,49313,49313,10989,10989,59198,59198,39796,39796,22588,22588,16278,16278,9784,9784,123031,123031,13687,13687,9358,9358,33657,33657,43230,43230,20919,20919,114748,114748,63482,63482,43327,43327,48288,48288,23393,23393,19084,19084,24851,24851,146746,146746,34568,34568,24320,24320,20844,20844,103368,103368,24534,24534,60365,60365,19360,19360,58656,58656,19382,19382,69591,69591,44811,44811,18684,18684,36103,36103,24469,24469,37364,37364,19716,19716,19925,19925,27935,27935,16337,16337,86666,86666,32407,32407,27496,27496,16498,16498,66281,66281,142132,142132,6662,6662,27136,27136,30956,30956,33894,33894,16822,16822,53034,53034,19054,19054,35184,35184,52334,52334,82351,82351,39367,39367,113942,113942,112329,112329,57716,57716,12706,12706,24327,24327,95564,95564,120418,120418,84767,84767,48096,48096,13357,13357,67476,67476,14252,14252,35810,35810,128077,128077,27755,27755,27535,27535,108761,108761,15142,15142,125708,125708,94191,94191,44318,44318,25838,25838,20607,20607,35648,35648,78564,78564,30977,30977,102844,102844,19754,19754
