 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156,IntDen157,RawIntDen157,IntDen158,RawIntDen158,IntDen159,RawIntDen159,IntDen160,RawIntDen160,IntDen161,RawIntDen161,IntDen162,RawIntDen162,IntDen163,RawIntDen163,IntDen164,RawIntDen164,IntDen165,RawIntDen165,IntDen166,RawIntDen166,IntDen167,RawIntDen167,IntDen168,RawIntDen168,IntDen169,RawIntDen169,IntDen170,RawIntDen170,IntDen171,RawIntDen171
1,50778,50778,42073,42073,14553,14553,54228,54228,46147,46147,32050,32050,18037,18037,28247,28247,15759,15759,40776,40776,80137,80137,28706,28706,28040,28040,43623,43623,37209,37209,23103,23103,24052,24052,16137,16137,29624,29624,148503,148503,12372,12372,42561,42561,95314,95314,34373,34373,73469,73469,51751,51751,19184,19184,90223,90223,26976,26976,168981,168981,51078,51078,24917,24917,74503,74503,13952,13952,34834,34834,100624,100624,61928,61928,142108,142108,13059,13059,122779,122779,15733,15733,11630,11630,31078,31078,103411,103411,27706,27706,60522,60522,37256,37256,32151,32151,12895,12895,56064,56064,124273,124273,50413,50413,27294,27294,37475,37475,24740,24740,99909,99909,42748,42748,8828,8828,21155,21155,42773,42773,167461,167461,49495,49495,32160,32160,32507,32507,120789,120789,122550,122550,53292,53292,42214,42214,5633,5633,29945,29945,18859,18859,76232,76232,42602,42602,31330,31330,33003,33003,150931,150931,11505,11505,19803,19803,69894,69894,33720,33720,79315,79315,58000,58000,58518,58518,157664,157664,1167,1167,8575,8575,22867,22867,50093,50093,31139,31139,124174,124174,49027,49027,17992,17992,20929,20929,41804,41804,26041,26041,13471,13471,58901,58901,85714,85714,155957,155957,66787,66787,82022,82022,21908,21908,12862,12862,45299,45299,43334,43334,58201,58201,5085,5085,38575,38575,57823,57823,15993,15993,101865,101865,9838,9838,3882,3882,45419,45419,31230,31230,33507,33507,33043,33043,13972,13972,97017,97017,23969,23969,58708,58708,18694,18694,22420,22420,32415,32415,65284,65284,176232,176232,36668,36668,23541,23541,40807,40807,64,64,31292,31292,11707,11707,63277,63277,68374,68374,9540,9540,21901,21901,19571,19571,51446,51446,6056,6056,139651,139651,24686,24686,14633,14633,35715,35715,10111,10111,23884,23884,26496,26496,32808,32808,128407,128407,15517,15517,20364,20364,3420,3420,52588,52588,32011,32011,52574,52574,125316,125316,81782,81782,53533,53533,75498,75498,22004,22004,24127,24127,41829,41829,8528,8528,9818,9818,33468,33468,21679,21679,52131,52131,26818,26818,95368,95368,12627,12627,34929,34929,25989,25989
2,51173,51173,39085,39085,13251,13251,44181,44181,68913,68913,34627,34627,18168,18168,28236,28236,13978,13978,53747,53747,78733,78733,28135,28135,27105,27105,46665,46665,36725,36725,22107,22107,23437,23437,14037,14037,33717,33717,148206,148206,12782,12782,34070,34070,116284,116284,33603,33603,72540,72540,49153,49153,20097,20097,92541,92541,27312,27312,164511,164511,59441,59441,22937,22937,75109,75109,13390,13390,33741,33741,103127,103127,59766,59766,148164,148164,12834,12834,142541,142541,15891,15891,11792,11792,30294,30294,97946,97946,28907,28907,57682,57682,37863,37863,37108,37108,13111,13111,54822,54822,120538,120538,85760,85760,28444,28444,39233,39233,22150,22150,100676,100676,74034,74034,9697,9697,20947,20947,36929,36929,164508,164508,49294,49294,33909,33909,31955,31955,125586,125586,120834,120834,72380,72380,40013,40013,6003,6003,29859,29859,19669,19669,81191,81191,53198,53198,29128,29128,33230,33230,157776,157776,12243,12243,17619,17619,86345,86345,32913,32913,107723,107723,59995,59995,87538,87538,157980,157980,1295,1295,9878,9878,24730,24730,50040,50040,31333,31333,120765,120765,51642,51642,18134,18134,20566,20566,40182,40182,25296,25296,13484,13484,51718,51718,84617,84617,149116,149116,62934,62934,78207,78207,21761,21761,13492,13492,45101,45101,44012,44012,60423,60423,5304,5304,37834,37834,54039,54039,15784,15784,97672,97672,9658,9658,3968,3968,69346,69346,38610,38610,33527,33527,33747,33747,14148,14148,95410,95410,24896,24896,52367,52367,18548,18548,21943,21943,34862,34862,63154,63154,176139,176139,37370,37370,21960,21960,40978,40978,34,34,31919,31919,12182,12182,64701,64701,66156,66156,9548,9548,21659,21659,20591,20591,52493,52493,6330,6330,142598,142598,25869,25869,15400,15400,36843,36843,9944,9944,23565,23565,26051,26051,33736,33736,172415,172415,15448,15448,21498,21498,3856,3856,56547,56547,30636,30636,52817,52817,123060,123060,89698,89698,54907,54907,69404,69404,20783,20783,23380,23380,43013,43013,8443,8443,9786,9786,32048,32048,21327,21327,54329,54329,25294,25294,95915,95915,12240,12240,34508,34508,23192,23192
3,50497,50497,39845,39845,14415,14415,38773,38773,104320,104320,41519,41519,18192,18192,27650,27650,13739,13739,59765,59765,78526,78526,27710,27710,26320,26320,63125,63125,36852,36852,21007,21007,22737,22737,13273,13273,34034,34034,148510,148510,12927,12927,29488,29488,121746,121746,33721,33721,73279,73279,51203,51203,23028,23028,96020,96020,29682,29682,162899,162899,65735,65735,21981,21981,81427,81427,12878,12878,32271,32271,108531,108531,61775,61775,153063,153063,12529,12529,147916,147916,16238,16238,12016,12016,30460,30460,90984,90984,30288,30288,56807,56807,38549,38549,44710,44710,13473,13473,54899,54899,122756,122756,112295,112295,28441,28441,63249,63249,19721,19721,104273,104273,103594,103594,11276,11276,21126,21126,34156,34156,166586,166586,50179,50179,34574,34574,32969,32969,129916,129916,120297,120297,79276,79276,40406,40406,6238,6238,31089,31089,21115,21115,81453,81453,56908,56908,29567,29567,34017,34017,165786,165786,12773,12773,15898,15898,89090,89090,31207,31207,119825,119825,62513,62513,93161,93161,158786,158786,1677,1677,11195,11195,26088,26088,51507,51507,31984,31984,122052,122052,52914,52914,18057,18057,20491,20491,41025,41025,24002,24002,13847,13847,45787,45787,84686,84686,147193,147193,63774,63774,75710,75710,23144,23144,14109,14109,46014,46014,44054,44054,62017,62017,5086,5086,35951,35951,56826,56826,15118,15118,95254,95254,10212,10212,3795,3795,79844,79844,44491,44491,34113,34113,33035,33035,13501,13501,94830,94830,24613,24613,48464,48464,18106,18106,22196,22196,34396,34396,64639,64639,176535,176535,38127,38127,20044,20044,41383,41383,47,47,31809,31809,12394,12394,64693,64693,65646,65646,9546,9546,20784,20784,20943,20943,54298,54298,6276,6276,148631,148631,25582,25582,16458,16458,37398,37398,9997,9997,23957,23957,26225,26225,33601,33601,179245,179245,14737,14737,22322,22322,3875,3875,57666,57666,29943,29943,53780,53780,124266,124266,84583,84583,56593,56593,67149,67149,20763,20763,22889,22889,44856,44856,9319,9319,10082,10082,31201,31201,21862,21862,55396,55396,24915,24915,96570,96570,12060,12060,34704,34704,21787,21787
4,51628,51628,47183,47183,15459,15459,34682,34682,103897,103897,45459,45459,17973,17973,27379,27379,12862,12862,61305,61305,77344,77344,27298,27298,26655,26655,69368,69368,37089,37089,19693,19693,22223,22223,11560,11560,35171,35171,148885,148885,10765,10765,26120,26120,122631,122631,33404,33404,68382,68382,56839,56839,28704,28704,101340,101340,32988,32988,155155,155155,99026,99026,22741,22741,87249,87249,12786,12786,31085,31085,109981,109981,71506,71506,156700,156700,12045,12045,154037,154037,17254,17254,12456,12456,30040,30040,87360,87360,31628,31628,55016,55016,38596,38596,49891,49891,12827,12827,54223,54223,125276,125276,116563,116563,29507,29507,90464,90464,18320,18320,106560,106560,105971,105971,14009,14009,21458,21458,32322,32322,169856,169856,50584,50584,35380,35380,33613,33613,130809,130809,121153,121153,84447,84447,40513,40513,6239,6239,33524,33524,23533,23533,73074,73074,57588,57588,27672,27672,33492,33492,171024,171024,12511,12511,15295,15295,92818,92818,31283,31283,123409,123409,64137,64137,93066,93066,157339,157339,1846,1846,12663,12663,26472,26472,52208,52208,31401,31401,120912,120912,54563,54563,17846,17846,19916,19916,39556,39556,22923,22923,13996,13996,43296,43296,84085,84085,144337,144337,67859,67859,75352,75352,24040,24040,14441,14441,46310,46310,45209,45209,64081,64081,5135,5135,36568,36568,65930,65930,15160,15160,93622,93622,10251,10251,3556,3556,81660,81660,47449,47449,35506,35506,34383,34383,13209,13209,93753,93753,25790,25790,45310,45310,18179,18179,21995,21995,37574,37574,63859,63859,175259,175259,38946,38946,19656,19656,40891,40891,45,45,32503,32503,12515,12515,64950,64950,63257,63257,9806,9806,19896,19896,21311,21311,55947,55947,6757,6757,158095,158095,25242,25242,16907,16907,37709,37709,9803,9803,24570,24570,25852,25852,35304,35304,183271,183271,14150,14150,23074,23074,3876,3876,58497,58497,28857,28857,54086,54086,121432,121432,83699,83699,56876,56876,66284,66284,20997,20997,22831,22831,47805,47805,9294,9294,10106,10106,30285,30285,21787,21787,56123,56123,25269,25269,95016,95016,12409,12409,34267,34267,19992,19992
5,52018,52018,57298,57298,15694,15694,33118,33118,95422,95422,45944,45944,18232,18232,27071,27071,12243,12243,60546,60546,77456,77456,27202,27202,26215,26215,69769,69769,37574,37574,19198,19198,22174,22174,10321,10321,35578,35578,150852,150852,9072,9072,23421,23421,126660,126660,33609,33609,66970,66970,70993,70993,32346,32346,99595,99595,41718,41718,150096,150096,134954,134954,21903,21903,91149,91149,12372,12372,30531,30531,112812,112812,92697,92697,157632,157632,11473,11473,157733,157733,17487,17487,12373,12373,29821,29821,84839,84839,32625,32625,53594,53594,39812,39812,51807,51807,13272,13272,54426,54426,126169,126169,118094,118094,28957,28957,94372,94372,17169,17169,109469,109469,109017,109017,16493,16493,22283,22283,31278,31278,168310,168310,49706,49706,35649,35649,33266,33266,129257,129257,120250,120250,85876,85876,39524,39524,6337,6337,37222,37222,24857,24857,67782,67782,58952,58952,27803,27803,34440,34440,172839,172839,13080,13080,14518,14518,94185,94185,31087,31087,128802,128802,64319,64319,92057,92057,156517,156517,1859,1859,13257,13257,27641,27641,51929,51929,32258,32258,122063,122063,55836,55836,17904,17904,20062,20062,39154,39154,22475,22475,13981,13981,39798,39798,83054,83054,142882,142882,74946,74946,76467,76467,24428,24428,14957,14957,47004,47004,44796,44796,63839,63839,5369,5369,36536,36536,70488,70488,14594,14594,90547,90547,9908,9908,3373,3373,82840,82840,50623,50623,35241,35241,34596,34596,13403,13403,93623,93623,25935,25935,48856,48856,17440,17440,21738,21738,42620,42620,64420,64420,172660,172660,39083,39083,19259,19259,40312,40312,48,48,33580,33580,12982,12982,66111,66111,62585,62585,9843,9843,18981,18981,21460,21460,55483,55483,6563,6563,163072,163072,25381,25381,18713,18713,37550,37550,9671,9671,23857,23857,25802,25802,36139,36139,185082,185082,14435,14435,23703,23703,4093,4093,57592,57592,28874,28874,55066,55066,123175,123175,81843,81843,59376,59376,65105,65105,20507,20507,23171,23171,65201,65201,9275,9275,10371,10371,29680,29680,21625,21625,56881,56881,24415,24415,94470,94470,12466,12466,33849,33849,19211,19211
6,53415,53415,60074,60074,16765,16765,29092,29092,95588,95588,45357,45357,17973,17973,26871,26871,12389,12389,58810,58810,76423,76423,26739,26739,25313,25313,70176,70176,36802,36802,18669,18669,21888,21888,10567,10567,35656,35656,149737,149737,8219,8219,22663,22663,126726,126726,33769,33769,67824,67824,112925,112925,33441,33441,101489,101489,53754,53754,142814,142814,147204,147204,22299,22299,93567,93567,12550,12550,30513,30513,113738,113738,111635,111635,159235,159235,10815,10815,160184,160184,17384,17384,12121,12121,29411,29411,85082,85082,32982,32982,52578,52578,39714,39714,50210,50210,13276,13276,54555,54555,122660,122660,119472,119472,28808,28808,94117,94117,17917,17917,110963,110963,107196,107196,17501,17501,22248,22248,33429,33429,166972,166972,49729,49729,36832,36832,33636,33636,131858,131858,121091,121091,87070,87070,39792,39792,6759,6759,42127,42127,26662,26662,67777,67777,58816,58816,27446,27446,34863,34863,175399,175399,13960,13960,14482,14482,98031,98031,31004,31004,129362,129362,65575,65575,92493,92493,155411,155411,1991,1991,13736,13736,28472,28472,52664,52664,33241,33241,120844,120844,56090,56090,18293,18293,19671,19671,38716,38716,23414,23414,15042,15042,38570,38570,80534,80534,140673,140673,79577,79577,76674,76674,23867,23867,14883,14883,46809,46809,45647,45647,64192,64192,5243,5243,35931,35931,72782,72782,14321,14321,87590,87590,10450,10450,3450,3450,84356,84356,52682,52682,36870,36870,34914,34914,12922,12922,93237,93237,26003,26003,56103,56103,17275,17275,22041,22041,46557,46557,62212,62212,172087,172087,39487,39487,19286,19286,40181,40181,39,39,34351,34351,13234,13234,67041,67041,61362,61362,9362,9362,19464,19464,22178,22178,57077,57077,6860,6860,163860,163860,27480,27480,19297,19297,40621,40621,9606,9606,24611,24611,24922,24922,36408,36408,187866,187866,14473,14473,23613,23613,4016,4016,57509,57509,29384,29384,54533,54533,121518,121518,78751,78751,60006,60006,63798,63798,19875,19875,22747,22747,90475,90475,9647,9647,11012,11012,28386,28386,21733,21733,55448,55448,24031,24031,92356,92356,12247,12247,33006,33006,19882,19882
7,55716,55716,60283,60283,16440,16440,26192,26192,95389,95389,46256,46256,17674,17674,26636,26636,11541,11541,57796,57796,75218,75218,26756,26756,25479,25479,67629,67629,36812,36812,17623,17623,21873,21873,7754,7754,35523,35523,149493,149493,7421,7421,24426,24426,127841,127841,32797,32797,69548,69548,139030,139030,32645,32645,101260,101260,62881,62881,130860,130860,149743,149743,21163,21163,92604,92604,12345,12345,29875,29875,111981,111981,119349,119349,160230,160230,10220,10220,161255,161255,18202,18202,12151,12151,29247,29247,83358,83358,34483,34483,50400,50400,41556,41556,47753,47753,13097,13097,55012,55012,123548,123548,119584,119584,29015,29015,94455,94455,17092,17092,110097,110097,110127,110127,17388,17388,22498,22498,35791,35791,166107,166107,49465,49465,36812,36812,34904,34904,132060,132060,120711,120711,88813,88813,39409,39409,7017,7017,48369,48369,28942,28942,70215,70215,59647,59647,27242,27242,35242,35242,179539,179539,13721,13721,13773,13773,98446,98446,31635,31635,130972,130972,67110,67110,91944,91944,155432,155432,1975,1975,14165,14165,32669,32669,52400,52400,33234,33234,121568,121568,56591,56591,18130,18130,19885,19885,37767,37767,21980,21980,14286,14286,36919,36919,82076,82076,140998,140998,78703,78703,79809,79809,25054,25054,14810,14810,47301,47301,45789,45789,65121,65121,5317,5317,36503,36503,73234,73234,14186,14186,85543,85543,10792,10792,3214,3214,84067,84067,55043,55043,36689,36689,34683,34683,13229,13229,91390,91390,25486,25486,69738,69738,17536,17536,21896,21896,47679,47679,64642,64642,171255,171255,39213,39213,19190,19190,39862,39862,34,34,34969,34969,14136,14136,66412,66412,61345,61345,9874,9874,19743,19743,21756,21756,57087,57087,6835,6835,168953,168953,27671,27671,19754,19754,40994,40994,9628,9628,25748,25748,25074,25074,37586,37586,190175,190175,14482,14482,24256,24256,4239,4239,56184,56184,28592,28592,54538,54538,122082,122082,78419,78419,61804,61804,64288,64288,19931,19931,22478,22478,92654,92654,9863,9863,14265,14265,27664,27664,21889,21889,56713,56713,23406,23406,91957,91957,12541,12541,32280,32280,21040,21040
8,59103,59103,59746,59746,15785,15785,23790,23790,93774,93774,45307,45307,16655,16655,25843,25843,11522,11522,55617,55617,74374,74374,27229,27229,25947,25947,65881,65881,36878,36878,17420,17420,21105,21105,7632,7632,35766,35766,145388,145388,7155,7155,27419,27419,127663,127663,33232,33232,66099,66099,143935,143935,31414,31414,101915,101915,67149,67149,120858,120858,152452,152452,20852,20852,97271,97271,12510,12510,29139,29139,113112,113112,126774,126774,160406,160406,10153,10153,164180,164180,18036,18036,11973,11973,29145,29145,82008,82008,34168,34168,49344,49344,41415,41415,44679,44679,13418,13418,55380,55380,121487,121487,121498,121498,29159,29159,94535,94535,16565,16565,111482,111482,108542,108542,15942,15942,22872,22872,41782,41782,165525,165525,48019,48019,36388,36388,35863,35863,135587,135587,121172,121172,89108,89108,39491,39491,7132,7132,53158,53158,30666,30666,71759,71759,59600,59600,26612,26612,34831,34831,178752,178752,14215,14215,13771,13771,99046,99046,31505,31505,132059,132059,65181,65181,93014,93014,155173,155173,2078,2078,14530,14530,59272,59272,52384,52384,39291,39291,120024,120024,57384,57384,18175,18175,19227,19227,37473,37473,20195,20195,14250,14250,36113,36113,82999,82999,140511,140511,81279,81279,79234,79234,25485,25485,15504,15504,47488,47488,44172,44172,65513,65513,5603,5603,36668,36668,75854,75854,14337,14337,83911,83911,10818,10818,3425,3425,85697,85697,55404,55404,38414,38414,34045,34045,12894,12894,92111,92111,25648,25648,76298,76298,17022,17022,21901,21901,47732,47732,62839,62839,169008,169008,39375,39375,19208,19208,40025,40025,61,61,36250,36250,16649,16649,67421,67421,59924,59924,10144,10144,19087,19087,22163,22163,57608,57608,6862,6862,178600,178600,28786,28786,20506,20506,42751,42751,9445,9445,28655,28655,24798,24798,41027,41027,190228,190228,13965,13965,24093,24093,4147,4147,56891,56891,28647,28647,54887,54887,122175,122175,76295,76295,64497,64497,69268,69268,20218,20218,22591,22591,95021,95021,10516,10516,21417,21417,26955,26955,21258,21258,56849,56849,23490,23490,92785,92785,12382,12382,31765,31765,24884,24884
9,65517,65517,60039,60039,16056,16056,22731,22731,93697,93697,45489,45489,16977,16977,25274,25274,11149,11149,54888,54888,74537,74537,26501,26501,25744,25744,65748,65748,35831,35831,17339,17339,21148,21148,7353,7353,35201,35201,141077,141077,7050,7050,32053,32053,127630,127630,33239,33239,65520,65520,146216,146216,31795,31795,101210,101210,68120,68120,115283,115283,155747,155747,20443,20443,97161,97161,12072,12072,28381,28381,112535,112535,135286,135286,163527,163527,10155,10155,162663,162663,18529,18529,12651,12651,28827,28827,81094,81094,34266,34266,47493,47493,41883,41883,44358,44358,13676,13676,57069,57069,122846,122846,120316,120316,29514,29514,94227,94227,16403,16403,110940,110940,110196,110196,15869,15869,23490,23490,46491,46491,163662,163662,49179,49179,36689,36689,37929,37929,137640,137640,121299,121299,90657,90657,39132,39132,7657,7657,54210,54210,32399,32399,79777,79777,59816,59816,25158,25158,35157,35157,181099,181099,14015,14015,13605,13605,100411,100411,31826,31826,134396,134396,66601,66601,91972,91972,154183,154183,1968,1968,14635,14635,81704,81704,53212,53212,41821,41821,121851,121851,56826,56826,18729,18729,19284,19284,37029,37029,17713,17713,13824,13824,33839,33839,81321,81321,140584,140584,80561,80561,79344,79344,25912,25912,15201,15201,47071,47071,45609,45609,65499,65499,5607,5607,36258,36258,78270,78270,14208,14208,81233,81233,10877,10877,3275,3275,84675,84675,56842,56842,38933,38933,34325,34325,12759,12759,89988,89988,26280,26280,78592,78592,16720,16720,21590,21590,48947,48947,63860,63860,166450,166450,39408,39408,18891,18891,40069,40069,48,48,36262,36262,18402,18402,66578,66578,58161,58161,10420,10420,18677,18677,23379,23379,57469,57469,6602,6602,192761,192761,28919,28919,21162,21162,41895,41895,9167,9167,42623,42623,25213,25213,50727,50727,190339,190339,14020,14020,24318,24318,4164,4164,56638,56638,27797,27797,54108,54108,121873,121873,75010,75010,68575,68575,84689,84689,20527,20527,22175,22175,96496,96496,12386,12386,21718,21718,26341,26341,21951,21951,59255,59255,22859,22859,90812,90812,12624,12624,32152,32152,29198,29198
10,72840,72840,58871,58871,16300,16300,21539,21539,93821,93821,45301,45301,17275,17275,25759,25759,10904,10904,53523,53523,72965,72965,26751,26751,24944,24944,62971,62971,35989,35989,17735,17735,21149,21149,7139,7139,36641,36641,137173,137173,6962,6962,37027,37027,127667,127667,32998,32998,63841,63841,146268,146268,31882,31882,102747,102747,68682,68682,110627,110627,159079,159079,19835,19835,99322,99322,12300,12300,28061,28061,112085,112085,144623,144623,162096,162096,9626,9626,164602,164602,19086,19086,12171,12171,29064,29064,81624,81624,34907,34907,48401,48401,42041,42041,44431,44431,13384,13384,60117,60117,123593,123593,122202,122202,29310,29310,95905,95905,16214,16214,111366,111366,109681,109681,15896,15896,23194,23194,47461,47461,164477,164477,48874,48874,36694,36694,36823,36823,142582,142582,121514,121514,90953,90953,39895,39895,8357,8357,54235,54235,35060,35060,90410,90410,60624,60624,23704,23704,34759,34759,182658,182658,14136,14136,13382,13382,100941,100941,31808,31808,134372,134372,67068,67068,90789,90789,154463,154463,1920,1920,15649,15649,83644,83644,52635,52635,37636,37636,120863,120863,56948,56948,18975,18975,19516,19516,36565,36565,16506,16506,13942,13942,34916,34916,81351,81351,140349,140349,80903,80903,78442,78442,25556,25556,16011,16011,46914,46914,46178,46178,65866,65866,5506,5506,35704,35704,80264,80264,13892,13892,79729,79729,10749,10749,3408,3408,85365,85365,57210,57210,39617,39617,34297,34297,12493,12493,90975,90975,26323,26323,80715,80715,16856,16856,21171,21171,49652,49652,64501,64501,164241,164241,39421,39421,18265,18265,41002,41002,38,38,35551,35551,19201,19201,66792,66792,57977,57977,10203,10203,18671,18671,27962,27962,58050,58050,7018,7018,206934,206934,28940,28940,20927,20927,43210,43210,9032,9032,65548,65548,24555,24555,76661,76661,190233,190233,13460,13460,24609,24609,4350,4350,56560,56560,27765,27765,54671,54671,121290,121290,73987,73987,76947,76947,110890,110890,22001,22001,22330,22330,97399,97399,14753,14753,21612,21612,26074,26074,21423,21423,62671,62671,22814,22814,90221,90221,12805,12805,32364,32364,32232,32232
