 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80
1,53137,53137,25730,25730,44701,44701,69693,69693,62501,62501,38809,38809,27136,27136,52206,52206,160352,160352,86178,86178,54188,54188,99377,99377,49583,49583,26231,26231,10074,10074,66981,66981,176573,176573,160891,160891,194227,194227,133558,133558,20122,20122,11264,11264,91730,91730,58049,58049,26572,26572,26336,26336,23288,23288,121373,121373,22520,22520,31550,31550,80886,80886,20089,20089,30340,30340,110874,110874,28155,28155,15542,15542,58403,58403,38254,38254,14550,14550,69309,69309,69770,69770,219525,219525,20806,20806,51624,51624,105944,105944,73902,73902,47072,47072,18420,18420,86332,86332,26998,26998,12590,12590,48377,48377,362311,362311,99710,99710,86195,86195,26166,26166,36782,36782,61742,61742,136838,136838,50773,50773,41555,41555,26860,26860,115227,115227,30133,30133,25696,25696,31288,31288,68021,68021,119084,119084,28207,28207,123892,123892,79783,79783,106658,106658,50354,50354,64245,64245,51181,51181,41235,41235,35618,35618,36400,36400,12824,12824,4980,4980
2,53398,53398,26420,26420,45405,45405,69214,69214,60907,60907,41262,41262,26970,26970,52810,52810,152557,152557,76923,76923,51421,51421,98899,98899,49455,49455,25694,25694,9779,9779,66799,66799,174165,174165,159025,159025,193733,193733,127935,127935,21411,21411,10967,10967,92359,92359,59539,59539,27530,27530,25084,25084,24516,24516,122780,122780,22642,22642,35324,35324,85813,85813,20067,20067,31389,31389,107421,107421,28753,28753,15203,15203,55658,55658,37955,37955,15998,15998,70561,70561,70711,70711,215166,215166,21126,21126,49451,49451,112316,112316,74421,74421,49756,49756,18653,18653,93212,93212,26685,26685,13049,13049,47631,47631,365970,365970,85949,85949,91852,91852,25396,25396,37060,37060,57899,57899,137979,137979,49934,49934,43053,43053,29698,29698,143715,143715,30573,30573,26066,26066,33420,33420,69610,69610,125403,125403,29190,29190,110810,110810,82634,82634,115941,115941,46260,46260,60154,60154,49433,49433,49612,49612,31116,31116,34849,34849,13129,13129,4852,4852
3,53177,53177,26821,26821,49129,49129,69347,69347,60401,60401,42532,42532,27079,27079,51962,51962,146458,146458,71614,71614,50917,50917,98785,98785,49603,49603,23505,23505,9872,9872,66446,66446,167935,167935,153360,153360,194944,194944,121977,121977,24640,24640,10733,10733,93208,93208,61822,61822,27611,27611,26394,26394,25850,25850,122699,122699,21526,21526,36585,36585,88769,88769,20836,20836,32045,32045,103497,103497,28702,28702,14527,14527,54947,54947,37918,37918,16987,16987,72138,72138,72592,72592,208633,208633,21095,21095,47777,47777,121513,121513,73403,73403,52268,52268,18065,18065,103916,103916,26426,26426,12904,12904,47220,47220,372907,372907,75155,75155,102254,102254,26569,26569,38608,38608,57766,57766,138004,138004,47491,47491,44963,44963,32889,32889,179514,179514,30840,30840,26363,26363,34521,34521,72135,72135,123603,123603,31988,31988,99405,99405,82565,82565,118240,118240,46116,46116,59303,59303,49200,49200,56407,56407,29378,29378,34171,34171,12771,12771,5010,5010
4,53551,53551,25987,25987,59294,59294,70177,70177,58429,58429,43420,43420,27238,27238,52031,52031,141500,141500,69065,69065,52527,52527,100690,100690,49828,49828,23338,23338,9664,9664,64417,64417,159321,159321,149000,149000,196422,196422,116253,116253,29268,29268,10572,10572,94494,94494,63880,63880,25939,25939,29072,29072,28555,28555,128171,128171,20469,20469,40202,40202,90051,90051,21600,21600,33530,33530,101763,101763,29143,29143,14968,14968,53735,53735,38404,38404,17292,17292,72202,72202,72547,72547,197751,197751,21660,21660,47795,47795,130095,130095,72812,72812,54108,54108,19024,19024,130494,130494,26076,26076,12614,12614,46459,46459,377912,377912,66351,66351,125446,125446,26268,26268,39926,39926,57801,57801,136554,136554,44958,44958,46831,46831,28269,28269,201675,201675,31505,31505,27275,27275,36157,36157,71089,71089,117984,117984,34307,34307,90553,90553,81421,81421,111899,111899,45511,45511,56279,56279,48196,48196,65466,65466,27500,27500,32848,32848,12774,12774,4917,4917
5,53755,53755,26653,26653,69770,69770,69924,69924,57411,57411,44188,44188,28564,28564,50882,50882,134878,134878,67669,67669,51079,51079,101007,101007,49413,49413,22594,22594,9925,9925,62801,62801,146665,146665,147650,147650,200414,200414,112992,112992,31157,31157,12128,12128,97551,97551,74690,74690,25540,25540,29403,29403,30856,30856,131683,131683,19516,19516,43272,43272,90570,90570,21765,21765,35403,35403,99125,99125,29560,29560,14444,14444,52398,52398,39347,39347,16584,16584,69111,69111,71040,71040,183605,183605,21942,21942,46813,46813,138045,138045,69837,69837,57353,57353,18941,18941,201066,201066,26377,26377,12368,12368,47033,47033,381478,381478,59357,59357,139481,139481,26560,26560,43488,43488,54226,54226,135233,135233,42477,42477,50136,50136,28433,28433,214971,214971,31586,31586,28679,28679,37077,37077,68753,68753,116136,116136,35717,35717,83426,83426,81238,81238,108984,108984,44617,44617,54565,54565,47753,47753,68968,68968,25319,25319,32382,32382,11382,11382,5010,5010
6,54393,54393,26842,26842,74231,74231,69693,69693,56937,56937,43022,43022,28473,28473,50404,50404,129337,129337,65440,65440,50821,50821,100236,100236,49159,49159,21265,21265,9971,9971,63538,63538,139204,139204,144177,144177,202087,202087,109792,109792,31594,31594,13792,13792,97951,97951,93878,93878,23476,23476,27258,27258,29759,29759,133074,133074,17745,17745,43223,43223,86532,86532,21901,21901,35405,35405,95809,95809,29367,29367,14320,14320,52090,52090,40155,40155,15481,15481,67417,67417,67996,67996,174052,174052,22460,22460,45841,45841,148775,148775,67960,67960,61306,61306,19657,19657,248603,248603,26343,26343,12282,12282,48618,48618,376784,376784,55000,55000,140284,140284,26168,26168,46337,46337,55703,55703,130756,130756,40253,40253,51769,51769,27904,27904,221476,221476,32852,32852,34238,34238,37757,37757,66755,66755,108587,108587,36509,36509,77958,77958,78487,78487,103296,103296,44313,44313,52463,52463,46896,46896,64585,64585,23395,23395,31989,31989,9388,9388,5252,5252
7,53838,53838,26855,26855,77864,77864,69758,69758,53707,53707,43181,43181,29031,29031,50349,50349,123916,123916,62609,62609,49250,49250,98314,98314,48577,48577,20752,20752,9901,9901,60887,60887,130191,130191,140674,140674,201444,201444,107226,107226,30419,30419,13169,13169,99820,99820,114081,114081,22200,22200,25901,25901,29526,29526,134931,134931,16192,16192,43083,43083,86149,86149,21976,21976,34487,34487,92924,92924,29605,29605,14028,14028,50589,50589,41023,41023,14087,14087,64980,64980,68097,68097,162561,162561,21662,21662,44729,44729,156739,156739,65908,65908,63970,63970,19778,19778,254953,254953,25765,25765,12226,12226,50184,50184,374673,374673,49473,49473,143058,143058,26425,26425,47885,47885,53822,53822,126564,126564,36884,36884,54801,54801,27309,27309,225618,225618,34768,34768,37323,37323,39685,39685,62921,62921,105469,105469,37156,37156,74412,74412,77240,77240,102657,102657,41129,41129,50808,50808,46340,46340,57120,57120,22464,22464,31422,31422,7828,7828,5179,5179
8,53079,53079,26751,26751,80123,80123,68410,68410,52830,52830,41937,41937,29126,29126,50123,50123,120141,120141,61784,61784,46660,46660,95754,95754,47358,47358,20188,20188,10341,10341,59632,59632,122182,122182,140217,140217,200730,200730,105997,105997,30588,30588,13208,13208,100044,100044,125813,125813,20890,20890,24417,24417,29543,29543,138951,138951,15702,15702,43861,43861,82848,82848,24386,24386,34632,34632,89937,89937,29898,29898,13783,13783,50234,50234,41673,41673,15260,15260,60449,60449,67667,67667,151373,151373,22526,22526,43685,43685,165085,165085,63278,63278,67411,67411,19731,19731,257448,257448,26570,26570,11995,11995,48243,48243,369413,369413,46686,46686,146108,146108,26459,26459,49661,49661,53285,53285,121158,121158,36367,36367,57293,57293,26104,26104,228513,228513,38258,38258,37501,37501,41123,41123,61659,61659,100816,100816,37956,37956,71535,71535,74164,74164,100397,100397,39822,39822,49371,49371,46303,46303,46747,46747,20700,20700,30895,30895,7164,7164,5162,5162
9,52559,52559,27144,27144,81079,81079,68667,68667,52297,52297,42218,42218,29966,29966,50421,50421,118154,118154,59201,59201,45638,45638,94785,94785,46999,46999,18910,18910,10692,10692,58241,58241,116853,116853,135295,135295,200008,200008,102815,102815,30454,30454,13212,13212,100770,100770,128444,128444,20061,20061,24465,24465,29718,29718,139434,139434,14700,14700,43628,43628,81029,81029,30114,30114,35366,35366,89003,89003,29739,29739,12810,12810,49586,49586,42336,42336,16339,16339,57745,57745,70220,70220,141570,141570,22214,22214,42497,42497,171161,171161,59253,59253,70879,70879,19381,19381,259398,259398,26807,26807,12188,12188,48245,48245,357929,357929,43621,43621,148836,148836,27137,27137,50958,50958,50108,50108,113002,113002,34204,34204,59244,59244,23953,23953,230644,230644,40991,40991,38483,38483,42969,42969,59123,59123,98182,98182,37151,37151,67736,67736,71608,71608,99298,99298,38055,38055,47888,47888,45102,45102,39247,39247,19991,19991,29610,29610,6794,6794,5448,5448
10,51196,51196,26648,26648,80075,80075,68112,68112,50436,50436,40390,40390,28897,28897,49384,49384,116362,116362,56810,56810,43652,43652,93789,93789,46904,46904,19018,19018,11242,11242,57124,57124,112891,112891,134002,134002,199449,199449,102578,102578,29607,29607,13680,13680,101126,101126,126758,126758,18559,18559,24944,24944,29484,29484,136545,136545,13520,13520,43113,43113,77379,77379,31762,31762,34518,34518,85479,85479,29999,29999,13114,13114,48758,48758,43094,43094,17664,17664,54049,54049,71024,71024,134944,134944,22405,22405,41968,41968,172083,172083,56454,56454,72911,72911,19473,19473,255108,255108,26627,26627,11845,11845,49184,49184,352047,352047,42017,42017,154102,154102,27052,27052,52516,52516,45159,45159,107391,107391,32165,32165,60238,60238,29155,29155,227091,227091,43390,43390,37857,37857,44457,44457,55977,55977,91842,91842,37900,37900,65152,65152,70073,70073,99587,99587,36420,36420,45835,45835,43447,43447,37397,37397,19250,19250,29256,29256,7010,7010,5709,5709
11,49641,49641,25979,25979,78759,78759,67131,67131,48871,48871,38901,38901,30420,30420,47287,47287,110701,110701,54654,54654,42251,42251,89777,89777,45077,45077,17093,17093,11764,11764,54364,54364,106256,106256,125841,125841,196789,196789,97727,97727,28286,28286,12934,12934,103118,103118,121117,121117,17965,17965,23609,23609,27726,27726,140155,140155,12658,12658,42716,42716,73022,73022,31013,31013,34351,34351,82630,82630,29423,29423,12507,12507,46790,46790,44717,44717,17247,17247,50001,50001,70266,70266,126007,126007,21952,21952,39748,39748,177541,177541,52669,52669,79673,79673,18845,18845,247482,247482,24601,24601,11289,11289,48548,48548,337379,337379,38713,38713,153557,153557,26380,26380,55952,55952,41530,41530,98902,98902,30557,30557,61935,61935,26813,26813,224912,224912,46467,46467,40164,40164,50961,50961,53228,53228,87039,87039,38021,38021,60918,60918,65847,65847,95634,95634,33660,33660,44118,44118,41776,41776,33668,33668,18005,18005,28497,28497,6662,6662,5909,5909
12,46897,46897,25496,25496,75200,75200,68060,68060,48365,48365,37329,37329,30222,30222,47312,47312,104676,104676,53767,53767,38958,38958,86488,86488,45353,45353,17139,17139,12196,12196,52764,52764,98238,98238,122048,122048,201289,201289,96151,96151,27002,27002,12678,12678,100417,100417,119931,119931,16257,16257,21151,21151,25735,25735,143277,143277,11941,11941,29226,29226,67365,67365,29860,29860,31252,31252,76479,76479,28908,28908,11706,11706,44945,44945,46551,46551,12461,12461,43618,43618,63720,63720,111684,111684,21617,21617,38108,38108,177556,177556,48489,48489,80909,80909,19889,19889,243259,243259,23861,23861,11553,11553,56375,56375,316687,316687,35499,35499,151619,151619,25984,25984,56385,56385,34490,34490,83089,83089,27746,27746,61877,61877,27622,27622,217149,217149,47618,47618,40635,40635,51996,51996,48853,48853,79134,79134,38203,38203,56669,56669,62942,62942,91757,91757,30858,30858,42036,42036,40360,40360,33209,33209,16797,16797,28424,28424,6544,6544,6157,6157
13,47552,47552,24833,24833,74983,74983,68045,68045,48321,48321,36965,36965,30315,30315,46771,46771,105948,105948,55205,55205,38486,38486,87330,87330,86076,86076,16707,16707,13557,13557,52620,52620,96463,96463,120070,120070,206729,206729,94983,94983,26866,26866,13058,13058,94156,94156,117137,117137,16328,16328,20687,20687,26217,26217,205576,205576,11368,11368,23038,23038,67429,67429,30416,30416,29649,29649,74730,74730,29520,29520,11866,11866,47908,47908,49039,49039,11318,11318,43057,43057,64610,64610,109252,109252,21694,21694,41177,41177,176678,176678,46994,46994,80326,80326,37044,37044,241654,241654,23340,23340,11227,11227,71603,71603,310660,310660,34477,34477,153751,153751,26260,26260,56181,56181,31014,31014,79773,79773,27479,27479,61703,61703,28716,28716,215541,215541,47892,47892,40477,40477,51812,51812,48700,48700,77923,77923,37498,37498,56323,56323,59848,59848,90397,90397,30070,30070,41932,41932,39670,39670,31233,31233,16735,16735,28582,28582,6281,6281,6085,6085
14,47634,47634,24556,24556,75347,75347,68727,68727,47796,47796,35962,35962,30445,30445,46338,46338,104442,104442,55998,55998,39086,39086,86610,86610,111756,111756,16787,16787,13963,13963,52017,52017,95066,95066,121331,121331,212786,212786,94376,94376,26889,26889,12421,12421,89580,89580,116464,116464,16202,16202,20807,20807,26084,26084,221395,221395,11023,11023,22935,22935,66147,66147,29754,29754,29057,29057,75162,75162,28721,28721,11747,11747,87340,87340,49051,49051,11603,11603,42171,42171,73062,73062,106849,106849,21688,21688,81486,81486,171910,171910,46436,46436,82863,82863,35044,35044,235031,235031,23538,23538,10907,10907,92913,92913,308765,308765,33906,33906,155554,155554,25550,25550,57933,57933,28915,28915,74316,74316,27118,27118,60236,60236,33578,33578,214366,214366,48416,48416,40604,40604,51951,51951,48029,48029,79051,79051,36758,36758,55625,55625,57333,57333,90576,90576,29505,29505,41500,41500,39583,39583,29489,29489,16629,16629,28009,28009,6252,6252,6121,6121
15,45884,45884,24480,24480,74597,74597,70662,70662,47510,47510,35703,35703,31756,31756,46404,46404,104549,104549,60876,60876,37833,37833,85632,85632,105899,105899,16384,16384,14364,14364,51819,51819,95699,95699,119236,119236,215814,215814,93522,93522,26908,26908,10651,10651,82786,82786,111802,111802,15818,15818,20593,20593,25137,25137,218664,218664,10495,10495,23077,23077,63332,63332,29979,29979,28040,28040,74716,74716,28385,28385,11505,11505,73606,73606,48722,48722,12826,12826,41478,41478,115012,115012,103567,103567,21615,21615,102245,102245,172260,172260,45600,45600,81852,81852,36085,36085,235161,235161,22447,22447,11083,11083,113008,113008,304070,304070,32808,32808,156768,156768,26556,26556,57261,57261,25864,25864,72308,72308,26837,26837,60397,60397,35570,35570,213865,213865,49060,49060,39003,39003,50609,50609,47790,47790,76901,76901,36960,36960,55066,55066,55132,55132,89141,89141,29054,29054,41826,41826,39663,39663,28540,28540,16548,16548,28648,28648,5877,5877,6465,6465
16,44584,44584,24363,24363,75405,75405,71679,71679,47711,47711,34638,34638,35923,35923,45813,45813,103912,103912,63574,63574,36894,36894,82523,82523,99164,99164,16282,16282,14348,14348,47752,47752,93547,93547,117688,117688,216404,216404,92215,92215,26588,26588,8235,8235,77468,77468,108873,108873,15608,15608,20610,20610,25109,25109,216515,216515,10278,10278,23759,23759,60995,60995,28700,28700,28012,28012,74673,74673,28540,28540,11798,11798,63997,63997,47837,47837,12554,12554,39752,39752,118114,118114,101488,101488,21088,21088,117622,117622,168406,168406,44793,44793,81531,81531,32960,32960,225528,225528,22980,22980,10714,10714,106805,106805,298981,298981,31399,31399,156153,156153,25060,25060,57389,57389,25351,25351,67289,67289,25803,25803,59520,59520,37604,37604,212452,212452,49637,49637,39799,39799,49822,49822,46267,46267,76349,76349,36240,36240,52954,52954,51590,51590,88291,88291,28083,28083,41016,41016,38431,38431,28124,28124,16259,16259,28212,28212,6009,6009,6188,6188
