 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53
1,14652,14652,22371,22371,23215,23215,122772,122772,19324,19324,64379,64379,44546,44546,21559,21559,37281,37281,83196,83196,41378,41378,33951,33951,15356,15356,25391,25391,46283,46283,17256,17256,35744,35744,95073,95073,87949,87949,41232,41232,57987,57987,21154,21154,69224,69224,54226,54226,48467,48467,17149,17149,60995,60995,51294,51294,47549,47549,101186,101186,100402,100402,29020,29020,97751,97751,10922,10922,91309,91309,35894,35894,145321,145321,33039,33039,48816,48816,60400,60400,30682,30682,104749,104749,41977,41977,85771,85771,12460,12460,108290,108290,214007,214007,179369,179369,29980,29980,118205,118205,37016,37016,74435,74435,94321,94321
2,15275,15275,22835,22835,23449,23449,121995,121995,20150,20150,63816,63816,44609,44609,21658,21658,37579,37579,83974,83974,41688,41688,31823,31823,15519,15519,14859,14859,46957,46957,16625,16625,35095,35095,93284,93284,89386,89386,41201,41201,58023,58023,20486,20486,67603,67603,53370,53370,47599,47599,16877,16877,59003,59003,49943,49943,47072,47072,100293,100293,99759,99759,28356,28356,95614,95614,11135,11135,89577,89577,35076,35076,145306,145306,32485,32485,50572,50572,61568,61568,32328,32328,104960,104960,42834,42834,85980,85980,12209,12209,106611,106611,216749,216749,173678,173678,29994,29994,111857,111857,35751,35751,70894,70894,87120,87120
3,15232,15232,23538,23538,22588,22588,122994,122994,19977,19977,64834,64834,44320,44320,20197,20197,37501,37501,81038,81038,44094,44094,30682,30682,16085,16085,13279,13279,46831,46831,17143,17143,34784,34784,91928,91928,93420,93420,43875,43875,57625,57625,20684,20684,65572,65572,51739,51739,47001,47001,16627,16627,54374,54374,50661,50661,46383,46383,101212,101212,98409,98409,27568,27568,94940,94940,10916,10916,90499,90499,34898,34898,145460,145460,33477,33477,51066,51066,61966,61966,31712,31712,103354,103354,41240,41240,85942,85942,11987,11987,102940,102940,214461,214461,167097,167097,29334,29334,103726,103726,34963,34963,67195,67195,81512,81512
4,15595,15595,24542,24542,22415,22415,126989,126989,20730,20730,65812,65812,45998,45998,19975,19975,36461,36461,79892,79892,44893,44893,31533,31533,15875,15875,12497,12497,48014,48014,16860,16860,34656,34656,91093,91093,95349,95349,45399,45399,56523,56523,20528,20528,63829,63829,50182,50182,46269,46269,16404,16404,51483,51483,49788,49788,46505,46505,104891,104891,98083,98083,27237,27237,94185,94185,10992,10992,89045,89045,35150,35150,146211,146211,33436,33436,52601,52601,62148,62148,31915,31915,103620,103620,41356,41356,86380,86380,12080,12080,101216,101216,211090,211090,162773,162773,29187,29187,98529,98529,35201,35201,64934,64934,75643,75643
5,15979,15979,24344,24344,22181,22181,126126,126126,20974,20974,66652,66652,46811,46811,19769,19769,37812,37812,79912,79912,48067,48067,31029,31029,16646,16646,12722,12722,49906,49906,16869,16869,33316,33316,90075,90075,95547,95547,46968,46968,56344,56344,20038,20038,61835,61835,50584,50584,45343,45343,16586,16586,48429,48429,50816,50816,46603,46603,111654,111654,97240,97240,27047,27047,94586,94586,11306,11306,87468,87468,34930,34930,147701,147701,33746,33746,53595,53595,63476,63476,32893,32893,104883,104883,42183,42183,85574,85574,11803,11803,99752,99752,207819,207819,158221,158221,28569,28569,96949,96949,34131,34131,62890,62890,72724,72724
6,16142,16142,25523,25523,21777,21777,129970,129970,21454,21454,67279,67279,47727,47727,19979,19979,37640,37640,80486,80486,50421,50421,31693,31693,17766,17766,12530,12530,51232,51232,17211,17211,33394,33394,92095,92095,96078,96078,48500,48500,55795,55795,20101,20101,60485,60485,49528,49528,45627,45627,16444,16444,45505,45505,50484,50484,47402,47402,110744,110744,94960,94960,26898,26898,95458,95458,11456,11456,89134,89134,35475,35475,148562,148562,34258,34258,53790,53790,64783,64783,32883,32883,105361,105361,41865,41865,87958,87958,11750,11750,97799,97799,206617,206617,152985,152985,27150,27150,92641,92641,33413,33413,60945,60945,68181,68181
7,17115,17115,25712,25712,21812,21812,133522,133522,22351,22351,68152,68152,48986,48986,19889,19889,37445,37445,82064,82064,53109,53109,31780,31780,18615,18615,12263,12263,52892,52892,17325,17325,33226,33226,101208,101208,97656,97656,50397,50397,57358,57358,20953,20953,59401,59401,49921,49921,46792,46792,17103,17103,43692,43692,49968,49968,47078,47078,110311,110311,96428,96428,27098,27098,95535,95535,11679,11679,88329,88329,35017,35017,150492,150492,34822,34822,55782,55782,66025,66025,33133,33133,105098,105098,43235,43235,86004,86004,11699,11699,95518,95518,203335,203335,149389,149389,27233,27233,88988,88988,32878,32878,58586,58586,64302,64302
8,17586,17586,26544,26544,22078,22078,136360,136360,22207,22207,68487,68487,49844,49844,19498,19498,36945,36945,82341,82341,54487,54487,31911,31911,19028,19028,12243,12243,52778,52778,17873,17873,33148,33148,89327,89327,100588,100588,52513,52513,57995,57995,21521,21521,59495,59495,49187,49187,45660,45660,16540,16540,43506,43506,50493,50493,47714,47714,109318,109318,95360,95360,26368,26368,97056,97056,11450,11450,89839,89839,36624,36624,152507,152507,35542,35542,58476,58476,67320,67320,34540,34540,104828,104828,44150,44150,86376,86376,11896,11896,96246,96246,203790,203790,145750,145750,26451,26451,85487,85487,32725,32725,57123,57123,61294,61294
9,17606,17606,26526,26526,21260,21260,139799,139799,22735,22735,69492,69492,50477,50477,19336,19336,37122,37122,83589,83589,53770,53770,31862,31862,18614,18614,12430,12430,53967,53967,17904,17904,33316,33316,89482,89482,98746,98746,52590,52590,56209,56209,21098,21098,57715,57715,47410,47410,45644,45644,16664,16664,42932,42932,50107,50107,47706,47706,103810,103810,95014,95014,25826,25826,96862,96862,11434,11434,88817,88817,36668,36668,153837,153837,35764,35764,58787,58787,68716,68716,34750,34750,105993,105993,43441,43441,85896,85896,11428,11428,94193,94193,202273,202273,141862,141862,26131,26131,83708,83708,31885,31885,55575,55575,57319,57319
10,17374,17374,26532,26532,20697,20697,142680,142680,22463,22463,69106,69106,50252,50252,18593,18593,37022,37022,82961,82961,54586,54586,31312,31312,18463,18463,12091,12091,54708,54708,17255,17255,33052,33052,89255,89255,99762,99762,53219,53219,56465,56465,20715,20715,56430,56430,47544,47544,43968,43968,16811,16811,42280,42280,50433,50433,46884,46884,101527,101527,92553,92553,25991,25991,96805,96805,11738,11738,88659,88659,36962,36962,153808,153808,35101,35101,59836,59836,68770,68770,34151,34151,104343,104343,44165,44165,85298,85298,11149,11149,93630,93630,196115,196115,139147,139147,25446,25446,81371,81371,31726,31726,53573,53573,54900,54900
