 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90,IntDen91,RawIntDen91,IntDen92,RawIntDen92,IntDen93,RawIntDen93,IntDen94,RawIntDen94,IntDen95,RawIntDen95,IntDen96,RawIntDen96,IntDen97,RawIntDen97,IntDen98,RawIntDen98,IntDen99,RawIntDen99,IntDen100,RawIntDen100,IntDen101,RawIntDen101,IntDen102,RawIntDen102,IntDen103,RawIntDen103,IntDen104,RawIntDen104,IntDen105,RawIntDen105,IntDen106,RawIntDen106,IntDen107,RawIntDen107,IntDen108,RawIntDen108,IntDen109,RawIntDen109,IntDen110,RawIntDen110,IntDen111,RawIntDen111,IntDen112,RawIntDen112,IntDen113,RawIntDen113,IntDen114,RawIntDen114,IntDen115,RawIntDen115,IntDen116,RawIntDen116,IntDen117,RawIntDen117,IntDen118,RawIntDen118,IntDen119,RawIntDen119,IntDen120,RawIntDen120,IntDen121,RawIntDen121,IntDen122,RawIntDen122,IntDen123,RawIntDen123,IntDen124,RawIntDen124,IntDen125,RawIntDen125,IntDen126,RawIntDen126,IntDen127,RawIntDen127,IntDen128,RawIntDen128,IntDen129,RawIntDen129,IntDen130,RawIntDen130,IntDen131,RawIntDen131,IntDen132,RawIntDen132,IntDen133,RawIntDen133,IntDen134,RawIntDen134,IntDen135,RawIntDen135,IntDen136,RawIntDen136,IntDen137,RawIntDen137,IntDen138,RawIntDen138,IntDen139,RawIntDen139,IntDen140,RawIntDen140,IntDen141,RawIntDen141,IntDen142,RawIntDen142,IntDen143,RawIntDen143,IntDen144,RawIntDen144,IntDen145,RawIntDen145,IntDen146,RawIntDen146,IntDen147,RawIntDen147,IntDen148,RawIntDen148,IntDen149,RawIntDen149,IntDen150,RawIntDen150,IntDen151,RawIntDen151,IntDen152,RawIntDen152,IntDen153,RawIntDen153,IntDen154,RawIntDen154,IntDen155,RawIntDen155,IntDen156,RawIntDen156,IntDen157,RawIntDen157,IntDen158,RawIntDen158,IntDen159,RawIntDen159,IntDen160,RawIntDen160,IntDen161,RawIntDen161,IntDen162,RawIntDen162,IntDen163,RawIntDen163,IntDen164,RawIntDen164,IntDen165,RawIntDen165,IntDen166,RawIntDen166,IntDen167,RawIntDen167,IntDen168,RawIntDen168,IntDen169,RawIntDen169,IntDen170,RawIntDen170,IntDen171,RawIntDen171,IntDen172,RawIntDen172,IntDen173,RawIntDen173,IntDen174,RawIntDen174,IntDen175,RawIntDen175
1,40670,40670,40686,40686,33176,33176,28209,28209,23836,23836,17589,17589,46260,46260,38850,38850,52307,52307,38882,38882,28608,28608,15254,15254,20252,20252,26169,26169,39033,39033,30926,30926,60808,60808,67933,67933,32461,32461,27236,27236,10635,10635,19763,19763,31705,31705,32469,32469,39495,39495,147255,147255,38369,38369,18938,18938,44794,44794,17786,17786,30927,30927,65810,65810,35381,35381,28013,28013,13337,13337,20569,20569,26223,26223,161384,161384,20680,20680,133018,133018,32078,32078,21090,21090,29286,29286,64078,64078,72591,72591,54319,54319,24925,24925,49913,49913,114313,114313,46346,46346,40929,40929,35044,35044,66565,66565,92178,92178,15717,15717,171677,171677,46098,46098,52319,52319,40699,40699,211159,211159,37132,37132,71294,71294,66815,66815,34771,34771,42054,42054,185426,185426,46005,46005,11622,11622,33831,33831,54775,54775,136338,136338,183021,183021,102123,102123,17040,17040,81476,81476,67400,67400,41548,41548,242168,242168,123663,123663,23673,23673,100324,100324,201639,201639,32794,32794,114624,114624,3242,3242,31923,31923,226429,226429,42779,42779,335043,335043,198117,198117,42745,42745,28927,28927,60402,60402,159534,159534,46747,46747,118440,118440,91872,91872,65599,65599,79201,79201,54082,54082,134097,134097,40423,40423,109263,109263,69428,69428,171025,171025,24472,24472,285143,285143,76337,76337,16745,16745,42046,42046,12543,12543,38770,38770,28550,28550,82724,82724,63765,63765,30358,30358,26501,26501,148892,148892,60751,60751,28293,28293,134967,134967,69518,69518,96565,96565,35435,35435,206881,206881,38713,38713,44068,44068,30685,30685,32646,32646,96299,96299,58733,58733,125730,125730,49800,49800,7698,7698,16590,16590,93348,93348,31175,31175,46416,46416,85800,85800,75081,75081,69641,69641,46146,46146,16387,16387,67407,67407,97719,97719,105103,105103,435818,435818,135416,135416,188289,188289,75539,75539,129386,129386,47189,47189,71998,71998,35230,35230,5668,5668,169249,169249,11823,11823,110679,110679,90154,90154,8131,8131,120389,120389,142542,142542,30372,30372,97018,97018,14758,14758,91013,91013,78141,78141,18996,18996,133170,133170,23673,23673,16417,16417,17006,17006,33852,33852,231463,231463,48153,48153
2,39543,39543,40851,40851,28922,28922,27874,27874,23299,23299,17344,17344,45508,45508,38851,38851,52600,52600,38218,38218,27947,27947,14935,14935,20157,20157,25924,25924,37862,37862,32099,32099,63230,63230,67704,67704,32025,32025,26996,26996,10405,10405,18996,18996,31007,31007,31723,31723,40765,40765,145749,145749,38131,38131,18597,18597,43267,43267,17782,17782,30350,30350,66396,66396,35072,35072,28807,28807,13263,13263,20332,20332,26740,26740,165309,165309,20621,20621,130596,130596,31142,31142,20558,20558,29642,29642,63782,63782,73878,73878,53678,53678,26164,26164,49145,49145,116005,116005,45350,45350,47637,47637,35486,35486,64878,64878,103425,103425,15706,15706,179750,179750,45558,45558,52564,52564,41855,41855,211213,211213,36571,36571,72501,72501,65318,65318,36830,36830,43073,43073,178939,178939,46161,46161,11983,11983,31702,31702,54579,54579,137758,137758,181139,181139,111472,111472,16804,16804,81646,81646,65374,65374,41054,41054,234579,234579,127017,127017,23457,23457,99208,99208,201357,201357,32661,32661,117354,117354,3262,3262,29845,29845,228898,228898,43254,43254,339011,339011,190622,190622,40579,40579,27511,27511,61408,61408,165883,165883,45852,45852,117132,117132,88318,88318,66204,66204,78201,78201,55044,55044,134071,134071,39251,39251,107492,107492,69081,69081,169901,169901,23889,23889,281611,281611,69165,69165,16303,16303,40560,40560,11812,11812,39552,39552,29262,29262,83062,83062,61887,61887,31306,31306,25950,25950,148924,148924,65277,65277,28217,28217,133878,133878,74645,74645,95411,95411,35811,35811,207790,207790,38039,38039,44539,44539,31745,31745,32620,32620,94286,94286,61485,61485,121240,121240,52205,52205,7564,7564,16048,16048,91556,91556,31790,31790,45901,45901,88675,88675,73895,73895,69197,69197,45092,45092,16053,16053,65976,65976,98269,98269,106289,106289,429582,429582,137072,137072,187995,187995,74367,74367,132592,132592,47707,47707,66858,66858,35455,35455,5437,5437,169614,169614,11999,11999,107975,107975,88150,88150,8384,8384,122613,122613,144473,144473,31027,31027,98199,98199,14890,14890,91382,91382,74390,74390,18589,18589,132733,132733,23228,23228,16138,16138,16691,16691,34949,34949,230945,230945,48751,48751
3,38597,38597,42085,42085,27049,27049,27713,27713,22824,22824,17521,17521,44871,44871,40431,40431,51128,51128,38458,38458,28525,28525,15647,15647,20827,20827,26348,26348,37022,37022,32274,32274,75086,75086,68464,68464,31895,31895,26065,26065,10980,10980,19157,19157,30908,30908,32429,32429,41165,41165,145570,145570,38786,38786,18296,18296,43011,43011,18263,18263,29728,29728,67948,67948,34515,34515,28923,28923,13351,13351,20060,20060,27121,27121,172015,172015,21501,21501,128973,128973,30751,30751,20509,20509,28789,28789,62763,62763,72841,72841,53111,53111,31981,31981,48960,48960,116534,116534,45738,45738,49389,49389,35580,35580,65226,65226,115568,115568,15838,15838,192052,192052,44569,44569,55182,55182,42324,42324,213194,213194,36734,36734,75938,75938,64811,64811,39493,39493,43670,43670,175017,175017,47182,47182,12159,12159,31905,31905,55305,55305,137992,137992,186085,186085,127826,127826,16916,16916,79560,79560,64625,64625,41003,41003,230951,230951,130009,130009,22739,22739,101529,101529,202174,202174,31655,31655,120610,120610,3428,3428,27989,27989,231013,231013,44950,44950,341352,341352,192990,192990,41414,41414,27263,27263,63291,63291,174081,174081,44568,44568,116032,116032,87642,87642,75210,75210,76254,76254,56101,56101,136354,136354,39493,39493,110496,110496,68392,68392,170680,170680,23204,23204,282078,282078,68154,68154,16345,16345,40353,40353,11870,11870,40564,40564,28921,28921,83028,83028,63028,63028,31885,31885,26469,26469,155260,155260,85677,85677,28645,28645,136391,136391,76952,76952,94617,94617,36348,36348,218197,218197,36960,36960,43839,43839,31343,31343,32095,32095,93282,93282,67669,67669,119864,119864,55714,55714,7826,7826,16604,16604,93104,93104,31352,31352,44781,44781,93311,93311,75083,75083,70635,70635,45484,45484,16878,16878,65873,65873,98305,98305,106049,106049,435739,435739,137453,137453,186960,186960,72781,72781,134508,134508,47471,47471,66562,66562,34993,34993,5234,5234,165110,165110,12538,12538,107421,107421,85723,85723,8507,8507,124176,124176,146987,146987,31808,31808,101395,101395,14967,14967,92863,92863,70710,70710,18738,18738,133295,133295,23690,23690,16803,16803,17210,17210,34910,34910,231273,231273,49565,49565
4,38719,38719,44000,44000,25141,25141,27385,27385,23026,23026,17221,17221,44863,44863,43408,43408,50415,50415,38073,38073,29118,29118,16011,16011,20673,20673,25575,25575,37722,37722,32810,32810,76009,76009,69930,69930,31920,31920,26302,26302,11169,11169,18752,18752,31224,31224,32515,32515,41050,41050,148488,148488,38799,38799,17066,17066,42888,42888,18193,18193,30406,30406,72801,72801,34128,34128,29504,29504,13131,13131,19798,19798,27153,27153,175193,175193,21659,21659,127939,127939,30750,30750,21083,21083,29759,29759,64363,64363,74722,74722,54346,54346,40102,40102,48910,48910,120861,120861,45034,45034,50078,50078,35644,35644,63794,63794,118871,118871,15387,15387,198259,198259,42709,42709,61290,61290,42030,42030,216539,216539,35968,35968,85410,85410,66317,66317,45142,45142,44336,44336,168888,168888,47113,47113,12515,12515,32196,32196,55151,55151,148041,148041,193808,193808,144033,144033,17104,17104,82072,82072,64177,64177,40695,40695,228339,228339,128621,128621,23093,23093,102268,102268,205555,205555,32349,32349,126479,126479,3638,3638,28436,28436,232557,232557,46791,46791,342632,342632,193304,193304,39930,39930,26540,26540,64278,64278,177061,177061,45217,45217,115730,115730,89986,89986,86405,86405,76826,76826,58906,58906,139140,139140,40402,40402,110309,110309,69283,69283,170396,170396,24086,24086,286928,286928,68964,68964,23686,23686,39510,39510,12604,12604,42445,42445,29391,29391,84813,84813,63070,63070,31714,31714,26535,26535,164559,164559,117389,117389,28955,28955,142273,142273,80376,80376,97172,97172,36299,36299,224627,224627,35929,35929,45749,45749,32388,32388,31395,31395,96162,96162,70428,70428,120667,120667,58226,58226,7774,7774,16586,16586,92868,92868,31827,31827,45474,45474,95896,95896,78425,78425,71867,71867,46269,46269,18610,18610,66851,66851,98345,98345,106972,106972,440322,440322,140998,140998,188687,188687,74567,74567,137736,137736,47640,47640,64469,64469,35399,35399,5038,5038,157390,157390,13441,13441,108461,108461,84079,84079,8878,8878,126352,126352,148128,148128,32115,32115,104722,104722,15181,15181,96218,96218,69838,69838,18621,18621,135281,135281,24082,24082,16965,16965,17259,17259,35405,35405,232143,232143,49020,49020
5,40472,40472,45800,45800,24302,24302,27446,27446,23100,23100,16810,16810,45430,45430,48071,48071,51090,51090,38089,38089,28733,28733,16579,16579,21453,21453,26101,26101,37576,37576,32684,32684,73343,73343,71383,71383,32240,32240,26087,26087,11291,11291,19244,19244,31622,31622,33740,33740,42718,42718,149781,149781,39012,39012,18191,18191,42929,42929,18087,18087,30788,30788,83148,83148,34227,34227,29132,29132,13383,13383,20265,20265,28104,28104,182396,182396,22834,22834,128916,128916,31132,31132,20526,20526,30582,30582,63731,63731,74288,74288,55833,55833,43504,43504,49211,49211,122383,122383,46136,46136,45431,45431,36281,36281,64786,64786,114552,114552,15596,15596,203460,203460,41372,41372,70574,70574,42302,42302,222785,222785,35045,35045,95500,95500,65548,65548,50150,50150,44860,44860,165789,165789,47409,47409,13301,13301,33294,33294,57091,57091,161037,161037,196350,196350,158836,158836,16921,16921,80437,80437,61483,61483,40647,40647,234444,234444,127839,127839,22830,22830,101645,101645,209884,209884,32178,32178,128419,128419,3897,3897,27825,27825,236206,236206,47671,47671,343707,343707,195775,195775,38938,38938,26612,26612,65709,65709,175289,175289,44427,44427,116577,116577,89597,89597,89627,89627,76969,76969,58997,58997,143485,143485,40402,40402,110357,110357,69367,69367,169939,169939,24181,24181,288957,288957,68294,68294,41782,41782,39246,39246,12375,12375,43309,43309,29480,29480,84402,84402,62384,62384,32366,32366,27018,27018,174265,174265,125407,125407,32553,32553,151597,151597,81477,81477,98711,98711,36437,36437,231146,231146,35354,35354,46385,46385,32798,32798,31955,31955,95981,95981,73019,73019,120905,120905,63152,63152,8057,8057,16489,16489,93620,93620,32029,32029,46547,46547,97058,97058,85684,85684,74349,74349,46531,46531,20184,20184,65085,65085,98787,98787,109768,109768,443099,443099,140777,140777,190602,190602,75997,75997,139273,139273,48477,48477,64808,64808,36313,36313,5211,5211,148230,148230,13814,13814,107768,107768,75385,75385,9278,9278,128868,128868,147648,147648,33217,33217,108138,108138,15672,15672,97213,97213,68252,68252,19179,19179,135627,135627,24603,24603,16991,16991,17438,17438,35290,35290,234245,234245,50166,50166
6,39654,39654,47505,47505,23786,23786,28298,28298,23317,23317,16963,16963,45663,45663,51685,51685,51025,51025,38421,38421,28717,28717,16096,16096,21832,21832,26189,26189,36609,36609,33092,33092,71331,71331,71910,71910,32504,32504,26376,26376,11574,11574,18917,18917,32721,32721,33759,33759,43970,43970,150763,150763,38933,38933,17675,17675,42071,42071,18399,18399,31007,31007,92137,92137,35252,35252,28662,28662,13234,13234,20141,20141,28580,28580,187583,187583,23318,23318,129298,129298,30970,30970,20888,20888,31299,31299,63391,63391,75169,75169,55919,55919,44834,44834,49092,49092,122510,122510,45487,45487,43843,43843,36170,36170,67655,67655,107201,107201,15046,15046,209060,209060,40558,40558,76726,76726,42101,42101,231168,231168,33649,33649,103712,103712,66099,66099,53509,53509,45790,45790,164755,164755,48027,48027,15027,15027,33412,33412,58731,58731,168851,168851,200582,200582,168029,168029,17023,17023,80706,80706,61149,61149,41264,41264,237669,237669,124786,124786,23085,23085,101232,101232,217074,217074,32348,32348,129313,129313,3945,3945,28017,28017,240691,240691,48673,48673,345033,345033,198417,198417,39151,39151,26531,26531,66456,66456,182286,182286,44613,44613,115246,115246,89423,89423,92304,92304,76042,76042,60774,60774,151165,151165,42927,42927,111726,111726,71628,71628,171281,171281,24311,24311,296530,296530,69522,69522,30052,30052,37764,37764,13120,13120,44976,44976,30156,30156,85706,85706,62971,62971,32481,32481,28645,28645,188838,188838,129495,129495,37558,37558,161215,161215,81052,81052,102408,102408,37583,37583,239295,239295,36043,36043,45000,45000,32980,32980,31795,31795,99082,99082,73689,73689,121864,121864,66856,66856,8315,8315,16459,16459,94910,94910,31511,31511,46598,46598,98851,98851,88327,88327,78871,78871,47592,47592,20757,20757,67430,67430,97879,97879,110799,110799,447795,447795,143985,143985,189923,189923,77479,77479,142712,142712,50064,50064,61909,61909,37355,37355,5172,5172,139891,139891,14493,14493,108818,108818,73572,73572,9366,9366,129838,129838,144696,144696,34825,34825,113557,113557,16636,16636,97832,97832,67692,67692,18446,18446,137404,137404,24790,24790,17004,17004,17486,17486,35765,35765,238586,238586,51036,51036
7,39835,39835,49324,49324,22845,22845,27666,27666,22876,22876,17001,17001,45522,45522,57972,57972,50206,50206,38623,38623,28889,28889,16156,16156,21696,21696,26441,26441,36650,36650,33871,33871,71189,71189,73586,73586,32847,32847,26653,26653,11836,11836,19803,19803,32372,32372,33728,33728,43695,43695,152182,152182,39632,39632,17582,17582,41753,41753,19594,19594,30859,30859,98761,98761,33834,33834,28477,28477,13850,13850,20228,20228,28872,28872,190637,190637,24381,24381,128685,128685,31352,31352,20425,20425,35681,35681,62847,62847,75601,75601,57741,57741,44843,44843,49437,49437,122628,122628,45458,45458,41503,41503,36884,36884,68283,68283,101694,101694,15143,15143,208392,208392,39634,39634,77116,77116,43142,43142,238996,238996,33001,33001,105402,105402,66133,66133,55802,55802,47099,47099,159830,159830,48758,48758,16394,16394,33158,33158,62889,62889,171264,171264,198610,198610,173806,173806,17210,17210,81594,81594,62279,62279,42155,42155,238819,238819,121195,121195,23445,23445,99701,99701,219495,219495,32221,32221,133595,133595,3765,3765,27705,27705,241648,241648,49276,49276,342959,342959,202761,202761,38795,38795,26108,26108,68118,68118,185946,185946,44187,44187,114191,114191,90425,90425,94527,94527,76288,76288,61308,61308,152311,152311,44056,44056,111809,111809,71461,71461,168859,168859,24068,24068,296073,296073,70348,70348,17508,17508,38027,38027,13487,13487,46705,46705,31197,31197,84660,84660,62336,62336,32577,32577,29433,29433,202914,202914,132014,132014,41432,41432,166906,166906,81884,81884,102192,102192,37111,37111,246986,246986,38428,38428,46434,46434,32233,32233,31648,31648,98932,98932,74268,74268,124952,124952,71113,71113,7895,7895,16538,16538,94570,94570,32868,32868,46197,46197,98225,98225,90546,90546,82754,82754,47932,47932,20668,20668,67773,67773,96807,96807,110678,110678,447841,447841,142930,142930,190891,190891,81816,81816,142847,142847,50993,50993,61479,61479,38518,38518,5326,5326,132494,132494,15076,15076,109045,109045,74974,74974,9895,9895,132403,132403,141957,141957,35433,35433,110728,110728,17081,17081,98186,98186,66944,66944,19639,19639,140593,140593,25996,25996,17115,17115,17936,17936,35496,35496,238877,238877,50906,50906
8,40789,40789,49133,49133,22594,22594,27391,27391,22676,22676,17094,17094,45554,45554,62811,62811,49717,49717,38416,38416,29696,29696,16490,16490,21976,21976,26238,26238,36439,36439,33305,33305,72579,72579,72925,72925,32659,32659,26423,26423,11930,11930,21879,21879,33300,33300,34735,34735,43956,43956,151685,151685,39862,39862,17021,17021,41568,41568,23313,23313,30800,30800,100006,100006,34420,34420,27515,27515,13696,13696,20406,20406,28549,28549,195204,195204,24560,24560,126013,126013,30851,30851,20107,20107,40799,40799,62835,62835,75926,75926,56965,56965,44049,44049,48429,48429,122448,122448,45641,45641,39667,39667,36741,36741,69159,69159,96094,96094,15671,15671,210704,210704,38252,38252,78428,78428,42185,42185,247947,247947,32727,32727,105459,105459,64631,64631,60549,60549,52513,52513,158651,158651,48245,48245,16434,16434,33023,33023,64309,64309,171331,171331,194118,194118,175128,175128,16761,16761,80769,80769,61454,61454,41747,41747,239596,239596,116765,116765,23160,23160,99838,99838,227313,227313,32007,32007,135477,135477,3843,3843,27079,27079,241564,241564,50882,50882,342788,342788,205401,205401,37472,37472,25529,25529,67362,67362,196920,196920,43412,43412,112545,112545,89307,89307,94109,94109,76143,76143,62462,62462,152668,152668,46870,46870,113063,113063,70989,70989,166431,166431,24224,24224,297256,297256,72479,72479,16736,16736,38412,38412,13286,13286,47978,47978,30443,30443,84886,84886,61575,61575,31850,31850,33200,33200,216603,216603,133476,133476,42847,42847,172067,172067,82231,82231,101847,101847,37010,37010,252579,252579,39603,39603,46444,46444,32395,32395,32897,32897,97501,97501,73420,73420,130985,130985,75748,75748,7850,7850,16195,16195,93531,93531,31812,31812,45227,45227,96799,96799,91349,91349,89313,89313,48123,48123,21104,21104,67006,67006,96413,96413,111351,111351,445643,445643,143008,143008,191229,191229,84738,84738,143529,143529,50966,50966,59199,59199,39595,39595,5225,5225,126166,126166,16127,16127,107457,107457,80315,80315,10082,10082,134356,134356,140317,140317,37102,37102,108727,108727,16616,16616,96464,96464,65111,65111,19252,19252,138734,138734,26092,26092,17227,17227,17786,17786,35090,35090,238594,238594,50512,50512
9,39881,39881,49422,49422,22054,22054,27399,27399,22483,22483,16941,16941,45446,45446,64071,64071,49470,49470,38095,38095,29101,29101,17093,17093,21864,21864,27113,27113,36974,36974,33284,33284,75830,75830,73566,73566,32472,32472,27707,27707,12365,12365,20744,20744,32672,32672,34210,34210,44327,44327,151534,151534,39653,39653,16865,16865,41927,41927,19961,19961,30473,30473,101675,101675,34013,34013,26675,26675,13315,13315,20534,20534,28692,28692,199265,199265,25526,25526,126433,126433,30862,30862,20063,20063,45475,45475,62553,62553,75537,75537,57421,57421,44860,44860,48806,48806,120821,120821,44900,44900,37222,37222,37285,37285,68757,68757,96035,96035,15034,15034,211060,211060,37533,37533,79234,79234,43408,43408,255943,255943,32775,32775,105374,105374,64854,64854,68437,68437,63008,63008,159271,159271,49326,49326,16493,16493,31678,31678,64540,64540,170845,170845,195354,195354,175785,175785,16728,16728,81811,81811,62299,62299,42079,42079,242332,242332,113757,113757,22883,22883,99619,99619,235753,235753,32537,32537,134071,134071,3839,3839,26818,26818,245677,245677,51460,51460,341750,341750,209576,209576,37064,37064,25743,25743,68074,68074,206692,206692,42050,42050,111433,111433,88954,88954,93538,93538,75577,75577,63369,63369,154594,154594,48784,48784,110473,110473,71857,71857,167149,167149,24247,24247,295466,295466,76676,76676,16516,16516,37839,37839,13257,13257,48514,48514,30357,30357,85399,85399,61554,61554,31770,31770,42548,42548,226739,226739,135497,135497,43666,43666,176693,176693,82288,82288,102971,102971,37032,37032,254020,254020,40286,40286,45461,45461,32878,32878,33188,33188,96547,96547,72614,72614,150495,150495,78054,78054,7922,7922,15967,15967,94587,94587,31397,31397,45468,45468,98710,98710,92000,92000,94152,94152,48140,48140,21194,21194,68563,68563,96423,96423,110909,110909,446421,446421,143887,143887,192091,192091,88685,88685,143424,143424,51905,51905,58056,58056,43538,43538,5387,5387,123879,123879,17736,17736,108789,108789,97209,97209,10522,10522,138190,138190,137608,137608,36814,36814,107324,107324,16843,16843,99559,99559,63884,63884,19261,19261,139152,139152,27212,27212,16990,16990,18221,18221,35476,35476,237914,237914,50761,50761
10,40187,40187,48737,48737,20881,20881,27882,27882,22514,22514,16832,16832,45224,45224,66423,66423,49328,49328,37581,37581,29231,29231,16994,16994,22144,22144,26472,26472,36605,36605,34229,34229,76497,76497,73142,73142,32409,32409,28937,28937,13365,13365,20463,20463,34076,34076,34411,34411,43853,43853,152448,152448,39687,39687,17329,17329,42287,42287,19405,19405,29778,29778,102738,102738,35699,35699,26162,26162,14243,14243,20777,20777,28710,28710,198275,198275,24902,24902,124662,124662,31529,31529,20299,20299,46185,46185,62499,62499,76970,76970,58290,58290,45550,45550,48801,48801,119272,119272,42957,42957,37055,37055,38165,38165,70259,70259,97122,97122,15538,15538,211083,211083,37912,37912,81201,81201,43272,43272,263419,263419,33025,33025,105737,105737,66457,66457,73861,73861,75122,75122,157308,157308,50090,50090,16644,16644,31515,31515,64898,64898,172401,172401,196103,196103,179250,179250,16806,16806,81830,81830,65966,65966,42278,42278,243591,243591,112829,112829,23335,23335,100786,100786,242185,242185,32576,32576,136609,136609,4267,4267,26699,26699,247983,247983,54044,54044,342206,342206,209799,209799,37305,37305,25712,25712,68498,68498,214898,214898,41719,41719,109684,109684,89293,89293,94685,94685,76269,76269,63339,63339,154709,154709,50364,50364,111424,111424,73493,73493,165976,165976,24396,24396,298993,298993,83920,83920,16513,16513,37736,37736,14255,14255,49271,49271,29570,29570,84997,84997,62193,62193,32460,32460,50224,50224,234601,234601,136290,136290,43837,43837,181110,181110,82493,82493,104576,104576,39313,39313,250538,250538,40992,40992,46085,46085,32924,32924,33003,33003,94457,94457,73523,73523,162226,162226,81734,81734,7916,7916,16544,16544,94015,94015,31550,31550,46310,46310,100048,100048,91794,91794,100581,100581,47466,47466,21179,21179,67724,67724,95156,95156,112163,112163,448504,448504,145770,145770,193215,193215,89337,89337,146201,146201,53256,53256,55402,55402,50066,50066,5190,5190,124200,124200,18892,18892,108559,108559,118902,118902,10513,10513,143717,143717,137250,137250,34862,34862,107335,107335,17388,17388,99391,99391,64576,64576,19268,19268,139569,139569,27266,27266,17298,17298,17647,17647,35964,35964,237181,237181,52164,52164
